
Camera index: 1
Total frame number: 92058.0
Processing frame: 0
Elapsed time: 2.193450927734375e-05s
Processing frame: 2000
Elapsed time: 96.16463613510132s
Processing frame: 4000
Elapsed time: 197.25453090667725s
Processing frame: 6000
Elapsed time: 297.12890338897705s
Processing frame: 8000
Elapsed time: 398.7950825691223s
Processing frame: 10000
Elapsed time: 498.2577302455902s
Processing frame: 12000
Elapsed time: 600.7145764827728s
Processing frame: 14000
Elapsed time: 700.3288774490356s
Processing frame: 16000
Elapsed time: 799.7500436306s
Processing frame: 18000
Elapsed time: 897.1397109031677s
Processing frame: 20000
Elapsed time: 993.2868454456329s
Processing frame: 22000
Elapsed time: 1094.8503530025482s
Processing frame: 24000
Elapsed time: 1193.9147808551788s
Processing frame: 26000
Elapsed time: 1300.0483782291412s
Processing frame: 28000
Elapsed time: 1400.8741292953491s
Processing frame: 30000
Elapsed time: 1503.9450597763062s
Processing frame: 32000
Elapsed time: 1610.3786962032318s
Processing frame: 34000
Elapsed time: 1715.8220701217651s
Processing frame: 36000
Elapsed time: 1812.4849750995636s
Processing frame: 38000
Elapsed time: 1915.2073001861572s
Processing frame: 40000
Elapsed time: 2014.663417816162s
Processing frame: 42000
Elapsed time: 2118.048117160797s
Processing frame: 44000
Elapsed time: 2221.553985595703s
Processing frame: 46000
Elapsed time: 2323.451419353485s
Processing frame: 48000
Elapsed time: 2429.1657288074493s
Processing frame: 50000
Elapsed time: 2529.0503277778625s
Processing frame: 52000
Elapsed time: 2632.984939098358s
Processing frame: 54000
Elapsed time: 2733.2942554950714s
Processing frame: 56000
Elapsed time: 2831.786217689514s
Processing frame: 58000
Elapsed time: 2936.223648071289s
Processing frame: 60000
Elapsed time: 3034.914204120636s
Processing frame: 62000
Elapsed time: 3136.485097885132s
Processing frame: 64000
Elapsed time: 3227.279722213745s
Processing frame: 66000
Elapsed time: 3325.138918876648s
Processing frame: 68000
Elapsed time: 3420.9861240386963s
Processing frame: 70000
Elapsed time: 3522.7753896713257s
Processing frame: 72000
Elapsed time: 3621.455671787262s
Processing frame: 74000
Elapsed time: 3720.410324573517s
Processing frame: 76000
Elapsed time: 3820.7003259658813s
Processing frame: 78000
Elapsed time: 3917.595558166504s
Processing frame: 80000
Elapsed time: 4021.0100412368774s
Processing frame: 82000
Elapsed time: 4119.777850866318s
Processing frame: 84000
Elapsed time: 4228.630177021027s
Processing frame: 86000
Elapsed time: 4323.597754716873s
Processing frame: 88000
Elapsed time: 4424.752908706665s
Processing frame: 90000
Elapsed time: 4527.979047775269s
Processing frame: 92000
Elapsed time: 4629.371697902679s
