
Camera index: 1
Total frame number: 80649.0
Processing frame: 0
Elapsed time: 1.6450881958007812e-05s
Processing frame: 2000
Elapsed time: 99.50278425216675s
Processing frame: 4000
Elapsed time: 195.9193880558014s
Processing frame: 6000
Elapsed time: 297.7832419872284s
Processing frame: 8000
Elapsed time: 395.60972452163696s
Processing frame: 10000
Elapsed time: 500.5340301990509s
Processing frame: 12000
Elapsed time: 603.8034896850586s
Processing frame: 14000
Elapsed time: 712.5745341777802s
Processing frame: 16000
Elapsed time: 816.0435824394226s
Processing frame: 18000
Elapsed time: 917.4401550292969s
Processing frame: 20000
Elapsed time: 1018.4628338813782s
Processing frame: 22000
Elapsed time: 1117.1524012088776s
Processing frame: 24000
Elapsed time: 1215.9354429244995s
Processing frame: 26000
Elapsed time: 1316.6755254268646s
Processing frame: 28000
Elapsed time: 1417.360149383545s
Processing frame: 30000
Elapsed time: 1513.517466545105s
Processing frame: 32000
Elapsed time: 1613.9426264762878s
Processing frame: 34000
Elapsed time: 1717.816174030304s
Processing frame: 36000
Elapsed time: 1825.8290579319s
Processing frame: 38000
Elapsed time: 1930.4097816944122s
Processing frame: 40000
Elapsed time: 2028.2455024719238s
Processing frame: 42000
Elapsed time: 2132.4358315467834s
Processing frame: 44000
Elapsed time: 2234.100276708603s
Processing frame: 46000
Elapsed time: 2332.205806493759s
Processing frame: 48000
Elapsed time: 2436.0612287521362s
Processing frame: 50000
Elapsed time: 2533.6218802928925s
Processing frame: 52000
Elapsed time: 2634.6034705638885s
Processing frame: 54000
Elapsed time: 2731.954903125763s
Processing frame: 56000
Elapsed time: 2833.0189142227173s
Processing frame: 58000
Elapsed time: 2933.3172931671143s
Processing frame: 60000
Elapsed time: 3036.094317674637s
Processing frame: 62000
Elapsed time: 3138.0573070049286s
Processing frame: 64000
Elapsed time: 3237.194157600403s
Processing frame: 66000
Elapsed time: 3342.2719070911407s
Processing frame: 68000
Elapsed time: 3443.1015214920044s
Processing frame: 70000
Elapsed time: 3543.3171038627625s
Processing frame: 72000
Elapsed time: 3645.761063814163s
Processing frame: 74000
Elapsed time: 3744.4494709968567s
Processing frame: 76000
Elapsed time: 3851.709438085556s
Processing frame: 78000
Elapsed time: 3945.5582756996155s
Processing frame: 80000
Elapsed time: 4050.1590704917908s
