
Camera index: 1
Total frame number: 82062.0
Processing frame: 0
Elapsed time: 1.52587890625e-05s
Processing frame: 2000
Elapsed time: 101.79332304000854s
Processing frame: 4000
Elapsed time: 208.32170414924622s
Processing frame: 6000
Elapsed time: 319.001713514328s
Processing frame: 8000
Elapsed time: 423.66486287117004s
Processing frame: 10000
Elapsed time: 528.3743047714233s
Processing frame: 12000
Elapsed time: 633.6949570178986s
Processing frame: 14000
Elapsed time: 733.278302192688s
Processing frame: 16000
Elapsed time: 842.669614315033s
Processing frame: 18000
Elapsed time: 946.0776669979095s
Processing frame: 20000
Elapsed time: 1052.9524240493774s
Processing frame: 22000
Elapsed time: 1157.7187728881836s
Processing frame: 24000
Elapsed time: 1259.1386182308197s
Processing frame: 26000
Elapsed time: 1363.2523913383484s
Processing frame: 28000
Elapsed time: 1471.0808947086334s
Processing frame: 30000
Elapsed time: 1569.7908182144165s
Processing frame: 32000
Elapsed time: 1672.1741194725037s
Processing frame: 34000
Elapsed time: 1782.7245116233826s
Processing frame: 36000
Elapsed time: 1884.0129725933075s
Processing frame: 38000
Elapsed time: 1992.9472889900208s
Processing frame: 40000
Elapsed time: 2093.9215693473816s
Processing frame: 42000
Elapsed time: 2204.7699694633484s
Processing frame: 44000
Elapsed time: 2304.6600453853607s
Processing frame: 46000
Elapsed time: 2414.7790966033936s
Processing frame: 48000
Elapsed time: 2517.8744847774506s
Processing frame: 50000
Elapsed time: 2624.9515573978424s
Processing frame: 52000
Elapsed time: 2728.7596638202667s
Processing frame: 54000
Elapsed time: 2837.5887842178345s
Processing frame: 56000
Elapsed time: 2937.301609992981s
Processing frame: 58000
Elapsed time: 3048.9286818504333s
Processing frame: 60000
Elapsed time: 3153.7241270542145s
Processing frame: 62000
Elapsed time: 3262.821604013443s
Processing frame: 64000
Elapsed time: 3368.5714859962463s
Processing frame: 66000
Elapsed time: 3475.8013031482697s
Processing frame: 68000
Elapsed time: 3583.8645479679108s
Processing frame: 70000
Elapsed time: 3692.6546416282654s
Processing frame: 72000
Elapsed time: 3798.652916431427s
Processing frame: 74000
Elapsed time: 3908.37237405777s
Processing frame: 76000
Elapsed time: 4011.055454969406s
Processing frame: 78000
Elapsed time: 4115.778790473938s
Processing frame: 80000
Elapsed time: 4219.273039340973s
Processing frame: 82000
Elapsed time: 4325.163442611694s
