
Camera index: 1
Total frame number: 95325.0
Processing frame: 0
Elapsed time: 1.239776611328125e-05s
Processing frame: 2000
Elapsed time: 36.136194705963135s
Processing frame: 4000
Elapsed time: 71.53275561332703s
Processing frame: 6000
Elapsed time: 106.62400150299072s
Processing frame: 8000
Elapsed time: 141.69353652000427s
Processing frame: 10000
Elapsed time: 176.8691897392273s
Processing frame: 12000
Elapsed time: 212.50350761413574s
Processing frame: 14000
Elapsed time: 247.70605659484863s
Processing frame: 16000
Elapsed time: 283.150328874588s
Processing frame: 18000
Elapsed time: 318.6073353290558s
Processing frame: 20000
Elapsed time: 353.86647057533264s
Processing frame: 22000
Elapsed time: 389.1562135219574s
Processing frame: 24000
Elapsed time: 424.5048062801361s
Processing frame: 26000
Elapsed time: 460.13818311691284s
Processing frame: 28000
Elapsed time: 495.63925409317017s
Processing frame: 30000
Elapsed time: 531.3632645606995s
Processing frame: 32000
Elapsed time: 566.3775181770325s
Processing frame: 34000
Elapsed time: 601.4210920333862s
Processing frame: 36000
Elapsed time: 636.9818987846375s
Processing frame: 38000
Elapsed time: 672.5764918327332s
Processing frame: 40000
Elapsed time: 708.146966457367s
Processing frame: 42000
Elapsed time: 743.4704995155334s
Processing frame: 44000
Elapsed time: 778.8128714561462s
Processing frame: 46000
Elapsed time: 813.7721755504608s
Processing frame: 48000
Elapsed time: 848.6529078483582s
Processing frame: 50000
Elapsed time: 884.0680711269379s
Processing frame: 52000
Elapsed time: 918.9870080947876s
Processing frame: 54000
Elapsed time: 953.9367234706879s
Processing frame: 56000
Elapsed time: 988.9777626991272s
Processing frame: 58000
Elapsed time: 1024.3978662490845s
Processing frame: 60000
Elapsed time: 1059.8160843849182s
Processing frame: 62000
Elapsed time: 1094.8151595592499s
Processing frame: 64000
Elapsed time: 1130.2219772338867s
Processing frame: 66000
Elapsed time: 1165.4561126232147s
Processing frame: 68000
Elapsed time: 1201.5535707473755s
Processing frame: 70000
Elapsed time: 1237.0114936828613s
Processing frame: 72000
Elapsed time: 1272.9121270179749s
Processing frame: 74000
Elapsed time: 1308.467903137207s
Processing frame: 76000
Elapsed time: 1344.0306906700134s
Processing frame: 78000
Elapsed time: 1379.343346118927s
Processing frame: 80000
Elapsed time: 1414.491635799408s
Processing frame: 82000
Elapsed time: 1449.5518324375153s
Processing frame: 84000
Elapsed time: 1484.464375257492s
Processing frame: 86000
Elapsed time: 1519.4258077144623s
Processing frame: 88000
Elapsed time: 1554.083606004715s
Processing frame: 90000
Elapsed time: 1589.7474942207336s
Processing frame: 92000
Elapsed time: 1624.5466830730438s
Processing frame: 94000
Elapsed time: 1659.7216341495514s
