
Camera index: 1
Total frame number: 78474.0
Processing frame: 0
Elapsed time: 1.8835067749023438e-05s
Processing frame: 2000
Elapsed time: 104.7698163986206s
Processing frame: 4000
Elapsed time: 213.9549629688263s
Processing frame: 6000
Elapsed time: 315.6093850135803s
Processing frame: 8000
Elapsed time: 423.73771262168884s
Processing frame: 10000
Elapsed time: 531.3339433670044s
Processing frame: 12000
Elapsed time: 634.967737197876s
Processing frame: 14000
Elapsed time: 740.3976624011993s
Processing frame: 16000
Elapsed time: 841.6323056221008s
Processing frame: 18000
Elapsed time: 940.0397551059723s
Processing frame: 20000
Elapsed time: 1034.994202375412s
Processing frame: 22000
Elapsed time: 1140.165589094162s
Processing frame: 24000
Elapsed time: 1231.4444642066956s
Processing frame: 26000
Elapsed time: 1331.276272058487s
Processing frame: 28000
Elapsed time: 1432.2797639369965s
Processing frame: 30000
Elapsed time: 1538.711688041687s
Frame: 31436, grabbed=False
Frame: 31437, grabbed=False
Frame: 31438, grabbed=False
Frame: 31439, grabbed=False
Frame: 31440, grabbed=False
Frame: 31441, grabbed=False
Frame: 31442, grabbed=False
Frame: 31443, grabbed=False
Frame: 31444, grabbed=False
Frame: 31445, grabbed=False
Frame: 31446, grabbed=False
Frame: 31447, grabbed=False
Frame: 31448, grabbed=False
Frame: 31449, grabbed=False
Frame: 31450, grabbed=False
Frame: 31451, grabbed=False
Frame: 31452, grabbed=False
Frame: 31453, grabbed=False
Frame: 31454, grabbed=False
Frame: 31455, grabbed=False
Frame: 31456, grabbed=False
Frame: 31457, grabbed=False
Frame: 31458, grabbed=False
Frame: 31460, grabbed=False
Frame: 31461, grabbed=False
Frame: 31463, grabbed=False
Frame: 31464, grabbed=False
Frame: 31466, grabbed=False
Frame: 31467, grabbed=False
Frame: 31469, grabbed=False
Frame: 31470, grabbed=False
Frame: 31472, grabbed=False
Frame: 31473, grabbed=False
Frame: 31475, grabbed=False
Frame: 31476, grabbed=False
Frame: 31478, grabbed=False
Processing frame: 32000
Elapsed time: 1629.137945175171s
Processing frame: 34000
Elapsed time: 1720.9034578800201s
Frame: 35260, grabbed=False
Frame: 35262, grabbed=False
Frame: 35263, grabbed=False
Frame: 35265, grabbed=False
Frame: 35266, grabbed=False
Frame: 35268, grabbed=False
Frame: 35269, grabbed=False
Frame: 35271, grabbed=False
Frame: 35272, grabbed=False
Frame: 35274, grabbed=False
Frame: 35275, grabbed=False
Frame: 35277, grabbed=False
Frame: 35278, grabbed=False
Frame: 35280, grabbed=False
Frame: 35281, grabbed=False
Frame: 35283, grabbed=False
Frame: 35284, grabbed=False
Frame: 35286, grabbed=False
Frame: 35287, grabbed=False
Frame: 35289, grabbed=False
Frame: 35290, grabbed=False
Frame: 35292, grabbed=False
Frame: 35293, grabbed=False
Frame: 35295, grabbed=False
Frame: 35296, grabbed=False
Processing frame: 36000
Elapsed time: 1814.4794404506683s
Processing frame: 38000
Elapsed time: 1917.104712486267s
Processing frame: 40000
Elapsed time: 2015.2145500183105s
Processing frame: 42000
Elapsed time: 2107.59317445755s
Processing frame: 44000
Elapsed time: 2202.0101215839386s
Processing frame: 46000
Elapsed time: 2295.499209880829s
Processing frame: 48000
Elapsed time: 2390.5482664108276s
Processing frame: 50000
Elapsed time: 2492.732046842575s
Processing frame: 52000
Elapsed time: 2585.7848403453827s
Processing frame: 54000
Elapsed time: 2682.539582014084s
Processing frame: 56000
Elapsed time: 2779.1180629730225s
Processing frame: 58000
Elapsed time: 2873.2713689804077s
Processing frame: 60000
Elapsed time: 2971.615381002426s
Processing frame: 62000
Elapsed time: 3063.8124828338623s
Processing frame: 64000
Elapsed time: 3165.0865845680237s
Processing frame: 66000
Elapsed time: 3259.2971048355103s
Processing frame: 68000
Elapsed time: 3354.9684047698975s
Processing frame: 70000
Elapsed time: 3456.9675171375275s
Processing frame: 72000
Elapsed time: 3554.138831615448s
Processing frame: 74000
Elapsed time: 3654.5148043632507s
Processing frame: 76000
Elapsed time: 3752.48073720932s
Processing frame: 78000
Elapsed time: 3853.056563615799s
