
Camera index: 1
Total frame number: 37770.0
Processing frame: 0
Elapsed time: 1.3113021850585938e-05s
Processing frame: 2000
Elapsed time: 34.454795360565186s
Processing frame: 4000
Elapsed time: 69.7299256324768s
Processing frame: 6000
Elapsed time: 104.61064577102661s
Processing frame: 8000
Elapsed time: 139.79374027252197s
Processing frame: 10000
Elapsed time: 174.77509307861328s
Processing frame: 12000
Elapsed time: 210.4555103778839s
Processing frame: 14000
Elapsed time: 245.85654473304749s
Processing frame: 16000
Elapsed time: 281.3074643611908s
Processing frame: 18000
Elapsed time: 316.1296353340149s
Processing frame: 20000
Elapsed time: 350.80121541023254s
Processing frame: 22000
Elapsed time: 385.2985773086548s
Processing frame: 24000
Elapsed time: 419.9361140727997s
Processing frame: 26000
Elapsed time: 454.60228633880615s
Processing frame: 28000
Elapsed time: 489.30673336982727s
Processing frame: 30000
Elapsed time: 524.3029704093933s
Processing frame: 32000
Elapsed time: 559.1708703041077s
Processing frame: 34000
Elapsed time: 594.2171411514282s
Processing frame: 36000
Elapsed time: 628.1453866958618s
