
Camera index: 1
Total frame number: 59427.0
Processing frame: 0
Elapsed time: 1.33514404296875e-05s
Processing frame: 2000
Elapsed time: 36.25360155105591s
Processing frame: 4000
Elapsed time: 72.82118129730225s
Processing frame: 6000
Elapsed time: 108.4227089881897s
Processing frame: 8000
Elapsed time: 145.42767000198364s
Processing frame: 10000
Elapsed time: 180.77009105682373s
Processing frame: 12000
Elapsed time: 217.17453813552856s
Processing frame: 14000
Elapsed time: 252.08708667755127s
Processing frame: 16000
Elapsed time: 288.5131576061249s
Processing frame: 18000
Elapsed time: 323.48295855522156s
Processing frame: 20000
Elapsed time: 358.81208515167236s
Processing frame: 22000
Elapsed time: 394.8570439815521s
Processing frame: 24000
Elapsed time: 430.0016872882843s
Processing frame: 26000
Elapsed time: 464.9883646965027s
Processing frame: 28000
Elapsed time: 499.5487005710602s
Processing frame: 30000
Elapsed time: 533.5617527961731s
Processing frame: 32000
Elapsed time: 567.2987587451935s
Processing frame: 34000
Elapsed time: 601.3960618972778s
Processing frame: 36000
Elapsed time: 635.9182493686676s
Processing frame: 38000
Elapsed time: 670.1978826522827s
Processing frame: 40000
Elapsed time: 704.4868879318237s
Processing frame: 42000
Elapsed time: 738.7150332927704s
Processing frame: 44000
Elapsed time: 772.9567682743073s
Processing frame: 46000
Elapsed time: 806.9271528720856s
Processing frame: 48000
Elapsed time: 841.5006234645844s
Processing frame: 50000
Elapsed time: 875.7530097961426s
Processing frame: 52000
Elapsed time: 909.9357147216797s
Processing frame: 54000
Elapsed time: 943.6402523517609s
Processing frame: 56000
Elapsed time: 978.8325791358948s
Processing frame: 58000
Elapsed time: 1013.7264294624329s
