
Camera index: 1
Total frame number: 60864.0
Processing frame: 0
Elapsed time: 1.3828277587890625e-05s
Processing frame: 2000
Elapsed time: 34.988900899887085s
Processing frame: 4000
Elapsed time: 69.60848999023438s
Processing frame: 6000
Elapsed time: 104.66225934028625s
Processing frame: 8000
Elapsed time: 138.50458240509033s
Processing frame: 10000
Elapsed time: 172.94477939605713s
Processing frame: 12000
Elapsed time: 208.04407930374146s
Processing frame: 14000
Elapsed time: 243.1842017173767s
Processing frame: 16000
Elapsed time: 277.5675985813141s
Processing frame: 18000
Elapsed time: 311.5238947868347s
Processing frame: 20000
Elapsed time: 344.8113479614258s
Processing frame: 22000
Elapsed time: 378.40410923957825s
Processing frame: 24000
Elapsed time: 412.18288111686707s
Processing frame: 26000
Elapsed time: 446.67639923095703s
Processing frame: 28000
Elapsed time: 481.26862025260925s
Processing frame: 30000
Elapsed time: 514.9664812088013s
Processing frame: 32000
Elapsed time: 548.8684415817261s
Processing frame: 34000
Elapsed time: 582.6985323429108s
Processing frame: 36000
Elapsed time: 616.1801359653473s
Processing frame: 38000
Elapsed time: 649.4524116516113s
Processing frame: 40000
Elapsed time: 682.9518804550171s
Processing frame: 42000
Elapsed time: 717.6060245037079s
Processing frame: 44000
Elapsed time: 751.8627278804779s
Processing frame: 46000
Elapsed time: 786.4334571361542s
Processing frame: 48000
Elapsed time: 820.6795990467072s
Processing frame: 50000
Elapsed time: 855.2230861186981s
Processing frame: 52000
Elapsed time: 889.893548488617s
Processing frame: 54000
Elapsed time: 924.307220697403s
Processing frame: 56000
Elapsed time: 958.6333839893341s
Processing frame: 58000
Elapsed time: 993.0537748336792s
Processing frame: 60000
Elapsed time: 1027.4502248764038s
