
Camera index: 1
Total frame number: 65076.0
Processing frame: 0
Elapsed time: 2.0503997802734375e-05s
Processing frame: 2000
Elapsed time: 95.93144965171814s
Processing frame: 4000
Elapsed time: 196.28409886360168s
Processing frame: 6000
Elapsed time: 283.5629758834839s
Processing frame: 8000
Elapsed time: 385.27727127075195s
Processing frame: 10000
Elapsed time: 484.11339354515076s
Processing frame: 12000
Elapsed time: 579.8924813270569s
Processing frame: 14000
Elapsed time: 683.3349182605743s
Processing frame: 16000
Elapsed time: 775.2650804519653s
Processing frame: 18000
Elapsed time: 874.0277011394501s
Processing frame: 20000
Elapsed time: 969.0105412006378s
Processing frame: 22000
Elapsed time: 1064.8755581378937s
Processing frame: 24000
Elapsed time: 1167.146797657013s
Processing frame: 26000
Elapsed time: 1259.5363178253174s
Processing frame: 28000
Elapsed time: 1358.0464658737183s
Processing frame: 30000
Elapsed time: 1458.6795926094055s
Processing frame: 32000
Elapsed time: 1560.0362794399261s
Processing frame: 34000
Elapsed time: 1660.0878367424011s
Processing frame: 36000
Elapsed time: 1769.540289402008s
Processing frame: 38000
Elapsed time: 1873.7450623512268s
Processing frame: 40000
Elapsed time: 1974.4184849262238s
Processing frame: 42000
Elapsed time: 2073.732318162918s
Processing frame: 44000
Elapsed time: 2171.668424129486s
Processing frame: 46000
Elapsed time: 2258.990079164505s
Processing frame: 48000
Elapsed time: 2357.785359144211s
Processing frame: 50000
Elapsed time: 2461.5768463611603s
Processing frame: 52000
Elapsed time: 2559.9254336357117s
Processing frame: 54000
Elapsed time: 2664.3838386535645s
Processing frame: 56000
Elapsed time: 2764.247424840927s
Processing frame: 58000
Elapsed time: 2863.217294692993s
Processing frame: 60000
Elapsed time: 2963.074981689453s
Processing frame: 62000
Elapsed time: 3059.7040436267853s
Processing frame: 64000
Elapsed time: 3147.8426654338837s
