
Camera index: 2
Total frame number: 96825.0
Processing frame: 0
Elapsed time: 2.0742416381835938e-05s
Processing frame: 2000
Elapsed time: 96.16821193695068s
Processing frame: 4000
Elapsed time: 193.03683996200562s
Processing frame: 6000
Elapsed time: 291.9466407299042s
Processing frame: 8000
Elapsed time: 392.1064453125s
Processing frame: 10000
Elapsed time: 491.36769247055054s
Processing frame: 12000
Elapsed time: 588.7784159183502s
Processing frame: 14000
Elapsed time: 689.6751911640167s
Processing frame: 16000
Elapsed time: 785.4198143482208s
Processing frame: 18000
Elapsed time: 881.8503053188324s
Processing frame: 20000
Elapsed time: 976.931720495224s
Processing frame: 22000
Elapsed time: 1076.3141694068909s
Processing frame: 24000
Elapsed time: 1176.9642758369446s
Processing frame: 26000
Elapsed time: 1276.2763698101044s
Processing frame: 28000
Elapsed time: 1377.3631093502045s
Processing frame: 30000
Elapsed time: 1474.7760260105133s
Processing frame: 32000
Elapsed time: 1575.6006753444672s
Processing frame: 34000
Elapsed time: 1675.9043447971344s
Processing frame: 36000
Elapsed time: 1775.160768032074s
Processing frame: 38000
Elapsed time: 1871.290204524994s
Processing frame: 40000
Elapsed time: 1970.811208486557s
Processing frame: 42000
Elapsed time: 2068.7432312965393s
Processing frame: 44000
Elapsed time: 2168.2196428775787s
Processing frame: 46000
Elapsed time: 2265.474096298218s
Processing frame: 48000
Elapsed time: 2363.833338737488s
Processing frame: 50000
Elapsed time: 2462.9959897994995s
Processing frame: 52000
Elapsed time: 2562.041848897934s
Processing frame: 54000
Elapsed time: 2667.674580335617s
Processing frame: 56000
Elapsed time: 2761.0008087158203s
Processing frame: 58000
Elapsed time: 2858.857535123825s
Processing frame: 60000
Elapsed time: 2953.8604130744934s
Processing frame: 62000
Elapsed time: 3050.4068336486816s
Processing frame: 64000
Elapsed time: 3152.954738855362s
Processing frame: 66000
Elapsed time: 3246.356611251831s
Processing frame: 68000
Elapsed time: 3341.744729280472s
Processing frame: 70000
Elapsed time: 3442.959248304367s
Processing frame: 72000
Elapsed time: 3542.339694261551s
Processing frame: 74000
Elapsed time: 3643.4404726028442s
Processing frame: 76000
Elapsed time: 3738.8184463977814s
Processing frame: 78000
Elapsed time: 3833.2451782226562s
Processing frame: 80000
Elapsed time: 3931.7821106910706s
Processing frame: 82000
Elapsed time: 4027.460087299347s
Processing frame: 84000
Elapsed time: 4127.016214609146s
Processing frame: 86000
Elapsed time: 4223.21094584465s
Processing frame: 88000
Elapsed time: 4322.547196388245s
Processing frame: 90000
Elapsed time: 4421.6233949661255s
Processing frame: 92000
Elapsed time: 4522.664703130722s
Processing frame: 94000
Elapsed time: 4622.9189965724945s
Processing frame: 96000
Elapsed time: 4717.728410243988s
