
Camera index: 2
Total frame number: 31848.0
Processing frame: 0
Elapsed time: 2.09808349609375e-05s
Processing frame: 2000
Elapsed time: 103.79307198524475s
Processing frame: 4000
Elapsed time: 217.78452610969543s
Processing frame: 6000
Elapsed time: 323.1446268558502s
Processing frame: 8000
Elapsed time: 429.1820204257965s
Processing frame: 10000
Elapsed time: 534.4272885322571s
Processing frame: 12000
Elapsed time: 636.7040338516235s
Processing frame: 14000
Elapsed time: 740.5465924739838s
Processing frame: 16000
Elapsed time: 844.7015566825867s
Processing frame: 18000
Elapsed time: 947.1378846168518s
Processing frame: 20000
Elapsed time: 1052.1020424365997s
Processing frame: 22000
Elapsed time: 1153.2166922092438s
Processing frame: 24000
Elapsed time: 1254.1425433158875s
Processing frame: 26000
Elapsed time: 1357.881979227066s
Processing frame: 28000
Elapsed time: 1465.161857366562s
Processing frame: 30000
Elapsed time: 1572.563803434372s
