
Camera index: 2
Total frame number: 67854.0
Processing frame: 0
Elapsed time: 2.0503997802734375e-05s
Processing frame: 2000
Elapsed time: 105.58767533302307s
Processing frame: 4000
Elapsed time: 204.89474749565125s
Processing frame: 6000
Elapsed time: 306.40139532089233s
Processing frame: 8000
Elapsed time: 410.7371995449066s
Processing frame: 10000
Elapsed time: 513.3793199062347s
Processing frame: 12000
Elapsed time: 617.205287694931s
Processing frame: 14000
Elapsed time: 719.659677028656s
Processing frame: 16000
Elapsed time: 819.0994970798492s
Processing frame: 18000
Elapsed time: 919.0661680698395s
Processing frame: 20000
Elapsed time: 1013.1820549964905s
Processing frame: 22000
Elapsed time: 1109.46959233284s
Processing frame: 24000
Elapsed time: 1205.289312839508s
Processing frame: 26000
Elapsed time: 1310.7762846946716s
Processing frame: 28000
Elapsed time: 1409.1814806461334s
Processing frame: 30000
Elapsed time: 1510.7837009429932s
Processing frame: 32000
Elapsed time: 1610.4540526866913s
Processing frame: 34000
Elapsed time: 1713.478874206543s
Processing frame: 36000
Elapsed time: 1818.399570465088s
Processing frame: 38000
Elapsed time: 1925.4462578296661s
Processing frame: 40000
Elapsed time: 2029.7511727809906s
Processing frame: 42000
Elapsed time: 2130.9349870681763s
Processing frame: 44000
Elapsed time: 2233.0415613651276s
Processing frame: 46000
Elapsed time: 2333.833868741989s
Processing frame: 48000
Elapsed time: 2440.0327463150024s
Processing frame: 50000
Elapsed time: 2544.982680797577s
Processing frame: 52000
Elapsed time: 2645.830629348755s
Processing frame: 54000
Elapsed time: 2751.300405025482s
Processing frame: 56000
Elapsed time: 2851.7317283153534s
Processing frame: 58000
Elapsed time: 2957.1034791469574s
Processing frame: 60000
Elapsed time: 3061.309514284134s
Processing frame: 62000
Elapsed time: 3167.858095884323s
Processing frame: 64000
Elapsed time: 3271.886606693268s
Processing frame: 66000
Elapsed time: 3376.180810213089s
