ffmpeg version 3.1.7 Copyright (c) 2000-2017 the FFmpeg developers
  built with gcc 5.4.0 (GCC)
  configuration: --disable-static --prefix=/cvmfs/soft.computecanada.ca/nix/store/n7qiyrcpyixibg8mijm826nb3hdb23j1-ffmpeg-3.1.7 --enable-gpl --enable-version3 --enable-shared --disable-static --enable-pic --enable-runtime-cpudetect --enable-hardcoded-tables --enable-pthreads --disable-w32threads --disable-os2threads --enable-network --enable-pixelutils --enable-ffmpeg --disable-ffplay --enable-ffprobe --disable-ffserver --enable-avcodec --enable-avdevice --enable-avfilter --enable-avformat --enable-avresample --enable-avutil --enable-postproc --enable-swresample --enable-swscale --disable-doc --enable-bzlib --enable-gnutls --enable-fontconfig --enable-libfreetype --enable-libmp3lame --enable-iconv --enable-libtheora --enable-vaapi --enable-vdpau --enable-libvorbis --enable-libvpx --enable-lzma --disable-opengl --enable-libpulse --enable-sdl --enable-libsoxr --enable-libx264 --enable-libxvid --enable-zlib --enable-libopus --enable-libx265 --disable-debug --enable-optimizations --disable-extra-warnings --disable-stripping
  libavutil      55. 28.100 / 55. 28.100
  libavcodec     57. 48.101 / 57. 48.101
  libavformat    57. 41.100 / 57. 41.100
  libavdevice    57.  0.101 / 57.  0.101
  libavfilter     6. 47.100 /  6. 47.100
  libavresample   3.  0.  0 /  3.  0.  0
  libswscale      4.  1.100 /  4.  1.100
  libswresample   2.  1.100 /  2.  1.100
  libpostproc    54.  0.100 / 54.  0.100
Input #0, mov,mp4,m4a,3gp,3g2,mj2, from '/project/6001934/lingheng/ROM_Video_Process/ROM_raw_videos/Oct_02/Camera1_Oct_02_1400_1500_Parameterized_Learning_Agent.mp4':
  Metadata:
    major_brand     : isom
    minor_version   : 1
    compatible_brands: isom
    creation_time   : 2018-10-03 00:19:19
  Duration: 00:59:59.55, start: 0.000000, bitrate: 743 kb/s
    Stream #0:0(und): Video: h264 (Main) (avc1 / 0x31637661), yuvj420p(pc, bt709), 1920x1080 [SAR 1:1 DAR 16:9], 723 kb/s, 25.58 fps, 30 tbr, 16k tbn, 30 tbc (default)
    Metadata:
      handler_name    : VideoHandler
    Stream #0:1(und): Audio: aac (LC) (mp4a / 0x6134706D), 16000 Hz, mono, fltp, 16 kb/s (default)
    Metadata:
      creation_time   : 2018-10-03 00:19:24
      handler_name    : GPAC ISO Audio Handler
    Stream #0:2(eng): Subtitle: mov_text (tx3g / 0x67337874), 800x60, 0 kb/s (default)
    Metadata:
      rotate          : 0
      creation_time   : 2018-10-03 00:19:24
      handler_name    : ca3c7ac4107f4fb1ac357e481901372c.subtitles.ttxt:hdlr=sbtl:lang=en:group=2:layer=1 - Imported with GPAC 0.5.0-rev4065
Input #1, png_pipe, from '/project/6001934/lingheng/ROM_Video_Process/Openpose_Video_Analysis_Code/camera1_transparent_img.png':
  Duration: N/A, bitrate: N/A
    Stream #1:0: Video: png, rgba(pc), 1920x1080, 25 tbr, 25 tbn, 25 tbc
[swscaler @ 0x1572d20] deprecated pixel format used, make sure you did set range correctly
[libx264 @ 0x1550d80] using SAR=1/1
[libx264 @ 0x1550d80] using cpu capabilities: MMX2 SSE2Fast SSSE3 SSE4.2 AVX FMA3 AVX2 LZCNT BMI2
[libx264 @ 0x1550d80] profile High, level 4.0
[libx264 @ 0x1550d80] 264 - core 148 - H.264/MPEG-4 AVC codec - Copyleft 2003-2016 - http://www.videolan.org/x264.html - options: cabac=1 ref=3 deblock=1:0:0 analyse=0x3:0x113 me=hex subme=7 psy=1 psy_rd=1.00:0.00 mixed_ref=1 me_range=16 chroma_me=1 trellis=1 8x8dct=1 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=-2 threads=3 lookahead_threads=1 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=15 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=crf mbtree=1 crf=23.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
[mp4 @ 0x15b5060] Using AVStream.codec to pass codec parameters to muxers is deprecated, use AVStream.codecpar instead.
    Last message repeated 1 times
Output #0, mp4, to '/project/6001934/lingheng/ROM_Video_Process/ROM_raw_videos_with_interst_area_ffmpeg_new3/Oct_02/Camera1_Oct_02_1400_1500_Parameterized_Learning_Agent_ffmpeg_with_interest_area.mp4':
  Metadata:
    major_brand     : isom
    minor_version   : 1
    compatible_brands: isom
    encoder         : Lavf57.41.100
    Stream #0:0: Video: h264 (libx264) ([33][0][0][0] / 0x0021), yuv420p, 1920x1080 [SAR 1:1 DAR 16:9], q=-1--1, 15 fps, 15360 tbn, 15 tbc (default)
    Metadata:
      encoder         : Lavc57.48.101 libx264
    Side data:
      cpb: bitrate max/min/avg: 0/0/0 buffer size: 0 vbv_delay: -1
    Stream #0:1(und): Audio: aac (LC) ([64][0][0][0] / 0x0040), 16000 Hz, mono, 16 kb/s (default)
    Metadata:
      creation_time   : 2018-10-03 00:19:24
      handler_name    : GPAC ISO Audio Handler
Stream mapping:
  Stream #0:0 (h264) -> overlay:main
  Stream #1:0 (png) -> overlay:overlay
  overlay -> Stream #0:0 (libx264)
  Stream #0:1 -> #0:1 (copy)
Press [q] to stop, [?] for help
frame=   19 fps=0.0 q=0.0 size=       0kB time=00:00:00.96 bitrate=   0.4kbits/s dup=1 drop=0 speed=1.92x    
frame=   43 fps= 42 q=0.0 size=       0kB time=00:00:02.30 bitrate=   0.2kbits/s dup=1 drop=0 speed=2.28x    
frame=   51 fps= 33 q=27.0 size=     184kB time=00:00:02.81 bitrate= 535.0kbits/s dup=1 drop=0 speed=1.83x    
frame=   65 fps= 32 q=27.0 size=     208kB time=00:00:03.71 bitrate= 459.0kbits/s dup=1 drop=0 speed=1.82x    
frame=   79 fps= 31 q=27.0 size=     231kB time=00:00:04.54 bitrate= 416.0kbits/s dup=1 drop=0 speed=1.76x    
frame=   93 fps= 30 q=27.0 size=     254kB time=00:00:05.44 bitrate= 382.3kbits/s dup=1 drop=0 speed=1.76x    
frame=  107 fps= 30 q=27.0 size=     271kB time=00:00:06.33 bitrate= 350.1kbits/s dup=1 drop=0 speed=1.76x    
frame=  114 fps= 28 q=27.0 size=     394kB time=00:00:06.78 bitrate= 476.2kbits/s dup=1 drop=0 speed=1.64x    
frame=  125 fps= 27 q=27.0 size=     454kB time=00:00:07.68 bitrate= 484.4kbits/s dup=1 drop=0 speed=1.64x    
frame=  132 fps= 25 q=27.0 size=     506kB time=00:00:08.12 bitrate= 510.2kbits/s dup=1 drop=0 speed=1.57x    
frame=  142 fps= 25 q=27.0 size=     555kB time=00:00:08.64 bitrate= 525.8kbits/s dup=1 drop=0 speed=1.51x    
frame=  155 fps= 25 q=27.0 size=     578kB time=00:00:09.53 bitrate= 496.4kbits/s dup=2 drop=0 speed=1.53x    
frame=  169 fps= 24 q=27.0 size=     708kB time=00:00:10.43 bitrate= 556.2kbits/s dup=2 drop=0 speed=1.48x    
frame=  182 fps= 24 q=27.0 size=     729kB time=00:00:11.32 bitrate= 527.4kbits/s dup=2 drop=0 speed= 1.5x    
frame=  196 fps= 24 q=27.0 size=     776kB time=00:00:12.22 bitrate= 519.8kbits/s dup=2 drop=0 speed=1.49x    
frame=  208 fps= 24 q=27.0 size=     854kB time=00:00:13.05 bitrate= 536.1kbits/s dup=2 drop=0 speed= 1.5x    
frame=  217 fps= 23 q=27.0 size=     908kB time=00:00:13.63 bitrate= 545.7kbits/s dup=2 drop=0 speed=1.48x    
frame=  229 fps= 23 q=27.0 size=    1087kB time=00:00:14.40 bitrate= 618.3kbits/s dup=2 drop=0 speed=1.48x    
frame=  235 fps= 23 q=27.0 size=    1115kB time=00:00:14.84 bitrate= 615.3kbits/s dup=2 drop=0 speed=1.45x    
frame=  245 fps= 23 q=27.0 size=    1172kB time=00:00:15.48 bitrate= 620.0kbits/s dup=2 drop=0 speed=1.43x    
frame=  256 fps= 22 q=27.0 size=    1224kB time=00:00:16.25 bitrate= 616.8kbits/s dup=2 drop=0 speed=1.42x    
frame=  267 fps= 22 q=27.0 size=    1289kB time=00:00:16.96 bitrate= 622.7kbits/s dup=2 drop=0 speed=1.41x    
frame=  280 fps= 22 q=27.0 size=    1315kB time=00:00:17.85 bitrate= 603.4kbits/s dup=2 drop=0 speed=1.42x    
frame=  287 fps= 22 q=27.0 size=    1459kB time=00:00:18.30 bitrate= 653.1kbits/s dup=2 drop=0 speed=1.39x    
frame=  301 fps= 22 q=27.0 size=    1703kB time=00:00:19.20 bitrate= 726.7kbits/s dup=7 drop=0 speed= 1.4x    
frame=  317 fps= 22 q=27.0 size=    1722kB time=00:00:20.22 bitrate= 697.5kbits/s dup=7 drop=0 speed=1.42x    
frame=  331 fps= 22 q=27.0 size=    1748kB time=00:00:21.24 bitrate= 673.7kbits/s dup=7 drop=0 speed=1.44x    
frame=  342 fps= 22 q=27.0 size=    1823kB time=00:00:21.95 bitrate= 680.3kbits/s dup=7 drop=0 speed=1.43x    
frame=  353 fps= 22 q=27.0 size=    1887kB time=00:00:22.72 bitrate= 680.3kbits/s dup=7 drop=0 speed=1.43x    
frame=  358 fps= 22 q=27.0 size=    2042kB time=00:00:23.04 bitrate= 726.1kbits/s dup=7 drop=0 speed= 1.4x    
frame=  368 fps= 22 q=27.0 size=    2093kB time=00:00:23.68 bitrate= 723.9kbits/s dup=7 drop=0 speed= 1.4x    
frame=  378 fps= 22 q=27.0 size=    2148kB time=00:00:24.38 bitrate= 721.7kbits/s dup=7 drop=0 speed=1.39x    
frame=  388 fps= 22 q=27.0 size=    2197kB time=00:00:25.02 bitrate= 719.2kbits/s dup=7 drop=0 speed=1.39x    
frame=  399 fps= 22 q=27.0 size=    2253kB time=00:00:25.79 bitrate= 715.7kbits/s dup=7 drop=0 speed=1.39x    
frame=  407 fps= 21 q=27.0 size=    2305kB time=00:00:26.30 bitrate= 717.8kbits/s dup=7 drop=0 speed=1.38x    
frame=  414 fps= 21 q=27.0 size=    2456kB time=00:00:26.75 bitrate= 752.2kbits/s dup=7 drop=0 speed=1.36x    
frame=  424 fps= 21 q=27.0 size=    2515kB time=00:00:27.45 bitrate= 750.3kbits/s dup=7 drop=0 speed=1.36x    
frame=  432 fps= 21 q=27.0 size=    2578kB time=00:00:27.96 bitrate= 755.0kbits/s dup=7 drop=0 speed=1.35x    
frame=  440 fps= 21 q=27.0 size=    2669kB time=00:00:28.48 bitrate= 767.8kbits/s dup=7 drop=0 speed=1.33x    
frame=  447 fps= 20 q=27.0 size=    2731kB time=00:00:28.99 bitrate= 771.6kbits/s dup=7 drop=0 speed=1.32x    
frame=  456 fps= 20 q=27.0 size=    2812kB time=00:00:29.56 bitrate= 779.1kbits/s dup=7 drop=0 speed=1.31x    
frame=  464 fps= 20 q=27.0 size=    2874kB time=00:00:30.08 bitrate= 782.7kbits/s dup=7 drop=0 speed=1.31x    
frame=  472 fps= 20 q=27.0 size=    3043kB time=00:00:30.65 bitrate= 813.1kbits/s dup=7 drop=0 speed=1.29x    
frame=  483 fps= 20 q=27.0 size=    3082kB time=00:00:31.36 bitrate= 805.2kbits/s dup=7 drop=0 speed=1.29x    
frame=  492 fps= 20 q=27.0 size=    3167kB time=00:00:31.93 bitrate= 812.3kbits/s dup=7 drop=0 speed=1.28x    
frame=  501 fps= 20 q=27.0 size=    3232kB time=00:00:32.57 bitrate= 812.8kbits/s dup=7 drop=0 speed=1.28x    
frame=  511 fps= 20 q=27.0 size=    3296kB time=00:00:33.21 bitrate= 812.9kbits/s dup=7 drop=0 speed=1.28x    
frame=  519 fps= 20 q=27.0 size=    3364kB time=00:00:33.79 bitrate= 815.6kbits/s dup=7 drop=0 speed=1.28x    
frame=  526 fps= 19 q=27.0 size=    3423kB time=00:00:34.24 bitrate= 819.0kbits/s dup=7 drop=0 speed=1.27x    
frame=  534 fps= 19 q=27.0 size=    3576kB time=00:00:34.75 bitrate= 843.0kbits/s dup=7 drop=0 speed=1.26x    
frame=  544 fps= 19 q=27.0 size=    3625kB time=00:00:35.45 bitrate= 837.6kbits/s dup=7 drop=0 speed=1.26x    
frame=  555 fps= 19 q=27.0 size=    3912kB time=00:00:36.16 bitrate= 886.2kbits/s dup=7 drop=0 speed=1.26x    
frame=  565 fps= 19 q=27.0 size=    3965kB time=00:00:36.60 bitrate= 887.2kbits/s dup=7 drop=4 speed=1.25x    
frame=  571 fps= 19 q=27.0 size=    4020kB time=00:00:37.05 bitrate= 888.6kbits/s dup=7 drop=10 speed=1.25x    
frame=  579 fps= 19 q=27.0 size=    4077kB time=00:00:37.50 bitrate= 890.5kbits/s dup=7 drop=18 speed=1.24x    
frame=  587 fps= 19 q=27.0 size=    4127kB time=00:00:38.08 bitrate= 887.8kbits/s dup=7 drop=26 speed=1.24x    
frame=  595 fps= 19 q=27.0 size=    4277kB time=00:00:38.59 bitrate= 907.9kbits/s dup=7 drop=34 speed=1.22x    
frame=  603 fps= 19 q=27.0 size=    4335kB time=00:00:39.10 bitrate= 908.1kbits/s dup=7 drop=42 speed=1.22x    
frame=  613 fps= 19 q=27.0 size=    4364kB time=00:00:39.74 bitrate= 899.5kbits/s dup=7 drop=52 speed=1.22x    
frame=  621 fps= 19 q=27.0 size=    4396kB time=00:00:40.32 bitrate= 893.2kbits/s dup=7 drop=60 speed=1.22x    
frame=  629 fps= 19 q=27.0 size=    4536kB time=00:00:40.83 bitrate= 910.1kbits/s dup=7 drop=68 speed=1.21x    
frame=  639 fps= 19 q=27.0 size=    4587kB time=00:00:41.53 bitrate= 904.6kbits/s dup=7 drop=78 speed=1.21x    
frame=  648 fps= 19 q=27.0 size=    4628kB time=00:00:42.11 bitrate= 900.3kbits/s dup=7 drop=87 speed=1.21x    
frame=  656 fps= 19 q=27.0 size=    4678kB time=00:00:42.62 bitrate= 899.1kbits/s dup=7 drop=95 speed= 1.2x    
frame=  662 fps= 18 q=27.0 size=    4730kB time=00:00:43.07 bitrate= 899.7kbits/s dup=7 drop=101 speed= 1.2x    
frame=  669 fps= 18 q=27.0 size=    4779kB time=00:00:43.52 bitrate= 899.5kbits/s dup=7 drop=108 speed=1.19x    
frame=  677 fps= 18 q=27.0 size=    4829kB time=00:00:44.03 bitrate= 898.4kbits/s dup=7 drop=116 speed=1.19x    
frame=  685 fps= 18 q=27.0 size=    4868kB time=00:00:44.67 bitrate= 892.8kbits/s dup=7 drop=124 speed=1.19x    
frame=  691 fps= 18 q=27.0 size=    5003kB time=00:00:44.99 bitrate= 911.0kbits/s dup=7 drop=128 speed=1.18x    
frame=  699 fps= 18 q=27.0 size=    5044kB time=00:00:45.56 bitrate= 906.8kbits/s dup=7 drop=136 speed=1.18x    
frame=  708 fps= 18 q=27.0 size=    5082kB time=00:00:46.14 bitrate= 902.3kbits/s dup=7 drop=145 speed=1.18x    
frame=  717 fps= 18 q=27.0 size=    5137kB time=00:00:46.72 bitrate= 900.7kbits/s dup=7 drop=154 speed=1.17x    
frame=  725 fps= 18 q=27.0 size=    5181kB time=00:00:47.23 bitrate= 898.6kbits/s dup=7 drop=162 speed=1.17x    
frame=  731 fps= 18 q=27.0 size=    5263kB time=00:00:47.68 bitrate= 904.3kbits/s dup=7 drop=168 speed=1.17x    
frame=  739 fps= 18 q=27.0 size=    5325kB time=00:00:48.19 bitrate= 905.2kbits/s dup=7 drop=176 speed=1.16x    
frame=  745 fps= 18 q=27.0 size=    5378kB time=00:00:48.64 bitrate= 905.7kbits/s dup=7 drop=182 speed=1.16x    
frame=  753 fps= 18 q=27.0 size=    5532kB time=00:00:49.15 bitrate= 922.0kbits/s dup=7 drop=190 speed=1.15x    
frame=  765 fps= 18 q=27.0 size=    5582kB time=00:00:50.04 bitrate= 913.6kbits/s dup=7 drop=191 speed=1.16x    
frame=  776 fps= 18 q=27.0 size=    5630kB time=00:00:50.75 bitrate= 908.7kbits/s dup=7 drop=191 speed=1.16x    
frame=  787 fps= 18 q=27.0 size=    5686kB time=00:00:51.52 bitrate= 904.1kbits/s dup=7 drop=191 speed=1.16x    
frame=  798 fps= 18 q=27.0 size=    5959kB time=00:00:52.22 bitrate= 934.7kbits/s dup=7 drop=191 speed=1.16x    
frame=  812 fps= 18 q=27.0 size=    5995kB time=00:00:53.18 bitrate= 923.4kbits/s dup=7 drop=191 speed=1.17x    
frame=  823 fps= 18 q=27.0 size=    6130kB time=00:00:53.88 bitrate= 931.9kbits/s dup=7 drop=191 speed=1.17x    
frame=  836 fps= 18 q=27.0 size=    6156kB time=00:00:54.78 bitrate= 920.5kbits/s dup=7 drop=191 speed=1.17x    
frame=  849 fps= 18 q=27.0 size=    6187kB time=00:00:55.61 bitrate= 911.3kbits/s dup=7 drop=191 speed=1.18x    
frame=  861 fps= 18 q=27.0 size=    6218kB time=00:00:56.44 bitrate= 902.3kbits/s dup=7 drop=191 speed=1.18x    
frame=  873 fps= 18 q=27.0 size=    6259kB time=00:00:57.21 bitrate= 896.2kbits/s dup=7 drop=191 speed=1.19x    
frame=  883 fps= 18 q=27.0 size=    6383kB time=00:00:57.92 bitrate= 902.8kbits/s dup=7 drop=191 speed=1.19x    
frame=  896 fps= 18 q=27.0 size=    6409kB time=00:00:58.75 bitrate= 893.6kbits/s dup=7 drop=191 speed=1.19x    
frame=  910 fps= 18 q=27.0 size=    6428kB time=00:00:59.77 bitrate= 881.0kbits/s dup=7 drop=191 speed= 1.2x    
frame=  923 fps= 18 q=27.0 size=    6458kB time=00:01:00.60 bitrate= 872.9kbits/s dup=7 drop=191 speed= 1.2x    
frame=  937 fps= 18 q=27.0 size=    6477kB time=00:01:01.44 bitrate= 863.6kbits/s dup=7 drop=191 speed=1.21x    
frame=  943 fps= 18 q=27.0 size=    6588kB time=00:01:01.82 bitrate= 873.0kbits/s dup=7 drop=194 speed= 1.2x    
frame=  952 fps= 18 q=27.0 size=    6635kB time=00:01:02.40 bitrate= 871.0kbits/s dup=7 drop=203 speed= 1.2x    
frame=  962 fps= 18 q=27.0 size=    6656kB time=00:01:03.04 bitrate= 864.9kbits/s dup=7 drop=213 speed= 1.2x    
frame=  970 fps= 18 q=27.0 size=    6686kB time=00:01:03.61 bitrate= 861.0kbits/s dup=7 drop=220 speed= 1.2x    
frame=  980 fps= 18 q=27.0 size=    6712kB time=00:01:04.25 bitrate= 855.8kbits/s dup=7 drop=230 speed= 1.2x    
frame=  987 fps= 18 q=27.0 size=    6762kB time=00:01:04.76 bitrate= 855.3kbits/s dup=7 drop=237 speed= 1.2x    
frame=  993 fps= 18 q=27.0 size=    6899kB time=00:01:05.15 bitrate= 867.4kbits/s dup=7 drop=243 speed= 1.2x    
frame= 1002 fps= 18 q=27.0 size=    6946kB time=00:01:05.72 bitrate= 865.8kbits/s dup=7 drop=252 speed=1.19x    
frame= 1010 fps= 18 q=27.0 size=    6995kB time=00:01:06.24 bitrate= 865.1kbits/s dup=7 drop=260 speed=1.19x    
frame= 1016 fps= 18 q=27.0 size=    7070kB time=00:01:06.68 bitrate= 868.5kbits/s dup=7 drop=266 speed=1.19x    
frame= 1024 fps= 18 q=27.0 size=    7221kB time=00:01:07.20 bitrate= 880.3kbits/s dup=7 drop=274 speed=1.18x    
frame= 1033 fps= 18 q=27.0 size=    7265kB time=00:01:07.77 bitrate= 878.2kbits/s dup=7 drop=283 speed=1.18x    
frame= 1041 fps= 18 q=27.0 size=    7312kB time=00:01:08.35 bitrate= 876.3kbits/s dup=7 drop=291 speed=1.18x    
frame= 1048 fps= 18 q=27.0 size=    7558kB time=00:01:08.80 bitrate= 899.9kbits/s dup=7 drop=298 speed=1.18x    
frame= 1056 fps= 18 q=27.0 size=    7619kB time=00:01:09.31 bitrate= 900.5kbits/s dup=7 drop=306 speed=1.18x    
frame= 1062 fps= 18 q=27.0 size=    7678kB time=00:01:09.76 bitrate= 901.7kbits/s dup=7 drop=312 speed=1.17x    
frame= 1069 fps= 18 q=27.0 size=    7750kB time=00:01:10.20 bitrate= 904.3kbits/s dup=7 drop=319 speed=1.17x    
frame= 1077 fps= 18 q=27.0 size=    7799kB time=00:01:10.72 bitrate= 903.4kbits/s dup=7 drop=327 speed=1.17x    
frame= 1085 fps= 18 q=27.0 size=    7945kB time=00:01:11.23 bitrate= 913.7kbits/s dup=7 drop=335 speed=1.16x    
frame= 1094 fps= 18 q=27.0 size=    7985kB time=00:01:11.87 bitrate= 910.2kbits/s dup=7 drop=344 speed=1.16x    
frame= 1101 fps= 18 q=27.0 size=    8044kB time=00:01:12.32 bitrate= 911.2kbits/s dup=7 drop=351 speed=1.16x    
frame= 1110 fps= 18 q=27.0 size=    8099kB time=00:01:12.96 bitrate= 909.3kbits/s dup=7 drop=360 speed=1.16x    
frame= 1119 fps= 18 q=27.0 size=    8153kB time=00:01:13.47 bitrate= 909.1kbits/s dup=7 drop=369 speed=1.16x    
frame= 1125 fps= 18 q=27.0 size=    8186kB time=00:01:13.98 bitrate= 906.4kbits/s dup=7 drop=375 speed=1.16x    
frame= 1131 fps= 18 q=27.0 size=    8241kB time=00:01:14.30 bitrate= 908.6kbits/s dup=7 drop=381 speed=1.15x    
frame= 1139 fps= 18 q=27.0 size=    8296kB time=00:01:14.88 bitrate= 907.6kbits/s dup=7 drop=389 speed=1.15x    
frame= 1145 fps= 17 q=27.0 size=    8425kB time=00:01:15.26 bitrate= 917.0kbits/s dup=7 drop=395 speed=1.15x    
frame= 1154 fps= 17 q=27.0 size=    8469kB time=00:01:15.84 bitrate= 914.8kbits/s dup=7 drop=404 speed=1.15x    
frame= 1161 fps= 17 q=27.0 size=    8535kB time=00:01:16.35 bitrate= 915.7kbits/s dup=7 drop=411 speed=1.15x    
frame= 1169 fps= 17 q=27.0 size=    8605kB time=00:01:16.80 bitrate= 917.8kbits/s dup=7 drop=419 speed=1.14x    
frame= 1174 fps= 17 q=27.0 size=    8644kB time=00:01:17.18 bitrate= 917.4kbits/s dup=7 drop=424 speed=1.14x    
frame= 1181 fps= 17 q=27.0 size=    8700kB time=00:01:17.63 bitrate= 918.0kbits/s dup=7 drop=431 speed=1.14x    
frame= 1189 fps= 17 q=27.0 size=    8761kB time=00:01:18.20 bitrate= 917.7kbits/s dup=7 drop=439 speed=1.14x    
frame= 1197 fps= 17 q=27.0 size=    8809kB time=00:01:18.72 bitrate= 916.7kbits/s dup=7 drop=447 speed=1.14x    
frame= 1205 fps= 17 q=27.0 size=    8936kB time=00:01:19.23 bitrate= 923.9kbits/s dup=7 drop=455 speed=1.13x    
frame= 1213 fps= 17 q=27.0 size=    9007kB time=00:01:19.80 bitrate= 924.5kbits/s dup=7 drop=463 speed=1.13x    
frame= 1220 fps= 17 q=27.0 size=    9056kB time=00:01:20.32 bitrate= 923.6kbits/s dup=7 drop=470 speed=1.13x    
frame= 1226 fps= 17 q=27.0 size=    9124kB time=00:01:20.64 bitrate= 926.8kbits/s dup=7 drop=476 speed=1.13x    
frame= 1233 fps= 17 q=27.0 size=    9177kB time=00:01:21.15 bitrate= 926.4kbits/s dup=7 drop=483 speed=1.12x    
frame= 1241 fps= 17 q=27.0 size=    9239kB time=00:01:21.60 bitrate= 927.5kbits/s dup=7 drop=491 speed=1.12x    
frame= 1248 fps= 17 q=27.0 size=    9274kB time=00:01:22.11 bitrate= 925.3kbits/s dup=7 drop=498 speed=1.12x    
frame= 1254 fps= 17 q=27.0 size=    9329kB time=00:01:22.56 bitrate= 925.7kbits/s dup=7 drop=504 speed=1.12x    
frame= 1261 fps= 17 q=27.0 size=    9370kB time=00:01:23.00 bitrate= 924.8kbits/s dup=7 drop=509 speed=1.12x    
frame= 1266 fps= 17 q=27.0 size=    9497kB time=00:01:23.39 bitrate= 933.0kbits/s dup=7 drop=514 speed=1.11x    
frame= 1275 fps= 17 q=27.0 size=    9541kB time=00:01:23.90 bitrate= 931.5kbits/s dup=7 drop=523 speed=1.11x    
frame= 1283 fps= 17 q=27.0 size=    9600kB time=00:01:24.41 bitrate= 931.6kbits/s dup=7 drop=531 speed=1.11x    
frame= 1289 fps= 17 q=27.0 size=    9643kB time=00:01:24.86 bitrate= 930.9kbits/s dup=7 drop=537 speed=1.11x    
frame= 1297 fps= 17 q=27.0 size=    9677kB time=00:01:25.44 bitrate= 927.8kbits/s dup=7 drop=545 speed=1.11x    
frame= 1305 fps= 17 q=27.0 size=    9988kB time=00:01:25.95 bitrate= 952.0kbits/s dup=7 drop=553 speed=1.11x    
frame= 1313 fps= 17 q=27.0 size=   10059kB time=00:01:26.40 bitrate= 953.7kbits/s dup=7 drop=561 speed=1.11x    
frame= 1320 fps= 17 q=27.0 size=   10096kB time=00:01:26.91 bitrate= 951.6kbits/s dup=7 drop=568 speed=1.11x    
frame= 1325 fps= 17 q=27.0 size=   10242kB time=00:01:27.23 bitrate= 961.8kbits/s dup=7 drop=573 speed= 1.1x    
frame= 1333 fps= 17 q=27.0 size=   10282kB time=00:01:27.80 bitrate= 959.2kbits/s dup=7 drop=581 speed= 1.1x    
frame= 1340 fps= 17 q=27.0 size=   10332kB time=00:01:28.32 bitrate= 958.4kbits/s dup=7 drop=588 speed= 1.1x    
frame= 1347 fps= 17 q=27.0 size=   10379kB time=00:01:28.70 bitrate= 958.5kbits/s dup=7 drop=595 speed= 1.1x    
frame= 1355 fps= 17 q=27.0 size=   10445kB time=00:01:29.28 bitrate= 958.4kbits/s dup=7 drop=603 speed= 1.1x    
frame= 1362 fps= 17 q=27.0 size=   10492kB time=00:01:29.79 bitrate= 957.2kbits/s dup=7 drop=610 speed= 1.1x    
frame= 1367 fps= 17 q=27.0 size=   10566kB time=00:01:30.04 bitrate= 961.2kbits/s dup=7 drop=614 speed=1.09x    
frame= 1374 fps= 17 q=27.0 size=   10615kB time=00:01:30.56 bitrate= 960.2kbits/s dup=7 drop=621 speed=1.09x    
frame= 1379 fps= 17 q=27.0 size=   10687kB time=00:01:30.88 bitrate= 963.3kbits/s dup=7 drop=626 speed=1.09x    
frame= 1386 fps= 17 q=27.0 size=   10735kB time=00:01:31.39 bitrate= 962.3kbits/s dup=7 drop=633 speed=1.09x    
frame= 1391 fps= 16 q=27.0 size=   10860kB time=00:01:31.64 bitrate= 970.7kbits/s dup=7 drop=638 speed=1.09x    
frame= 1399 fps= 16 q=27.0 size=   10921kB time=00:01:32.22 bitrate= 970.0kbits/s dup=7 drop=646 speed=1.08x    
frame= 1407 fps= 16 q=27.0 size=   11023kB time=00:01:32.67 bitrate= 974.4kbits/s dup=7 drop=654 speed=1.08x    
frame= 1411 fps= 16 q=27.0 size=   11079kB time=00:01:32.99 bitrate= 976.0kbits/s dup=7 drop=658 speed=1.08x    
frame= 1418 fps= 16 q=27.0 size=   11140kB time=00:01:33.50 bitrate= 976.0kbits/s dup=7 drop=665 speed=1.08x    
frame= 1425 fps= 16 q=27.0 size=   11194kB time=00:01:33.95 bitrate= 976.1kbits/s dup=7 drop=672 speed=1.08x    
frame= 1433 fps= 16 q=27.0 size=   11255kB time=00:01:34.46 bitrate= 976.0kbits/s dup=7 drop=680 speed=1.08x    
frame= 1442 fps= 16 q=27.0 size=   11293kB time=00:01:35.04 bitrate= 973.4kbits/s dup=7 drop=689 speed=1.08x    
frame= 1448 fps= 16 q=27.0 size=   11431kB time=00:01:35.48 bitrate= 980.7kbits/s dup=7 drop=695 speed=1.07x    
frame= 1456 fps= 16 q=27.0 size=   11492kB time=00:01:36.00 bitrate= 980.6kbits/s dup=7 drop=703 speed=1.07x    
frame= 1464 fps= 16 q=27.0 size=   11552kB time=00:01:36.51 bitrate= 980.5kbits/s dup=7 drop=711 speed=1.07x    
