ffmpeg version 3.1.7 Copyright (c) 2000-2017 the FFmpeg developers
  built with gcc 5.4.0 (GCC)
  configuration: --disable-static --prefix=/cvmfs/soft.computecanada.ca/nix/store/n7qiyrcpyixibg8mijm826nb3hdb23j1-ffmpeg-3.1.7 --enable-gpl --enable-version3 --enable-shared --disable-static --enable-pic --enable-runtime-cpudetect --enable-hardcoded-tables --enable-pthreads --disable-w32threads --disable-os2threads --enable-network --enable-pixelutils --enable-ffmpeg --disable-ffplay --enable-ffprobe --disable-ffserver --enable-avcodec --enable-avdevice --enable-avfilter --enable-avformat --enable-avresample --enable-avutil --enable-postproc --enable-swresample --enable-swscale --disable-doc --enable-bzlib --enable-gnutls --enable-fontconfig --enable-libfreetype --enable-libmp3lame --enable-iconv --enable-libtheora --enable-vaapi --enable-vdpau --enable-libvorbis --enable-libvpx --enable-lzma --disable-opengl --enable-libpulse --enable-sdl --enable-libsoxr --enable-libx264 --enable-libxvid --enable-zlib --enable-libopus --enable-libx265 --disable-debug --enable-optimizations --disable-extra-warnings --disable-stripping
  libavutil      55. 28.100 / 55. 28.100
  libavcodec     57. 48.101 / 57. 48.101
  libavformat    57. 41.100 / 57. 41.100
  libavdevice    57.  0.101 / 57.  0.101
  libavfilter     6. 47.100 /  6. 47.100
  libavresample   3.  0.  0 /  3.  0.  0
  libswscale      4.  1.100 /  4.  1.100
  libswresample   2.  1.100 /  2.  1.100
  libpostproc    54.  0.100 / 54.  0.100
Input #0, mov,mp4,m4a,3gp,3g2,mj2, from '/project/6001934/lingheng/ROM_Video_Process/ROM_raw_videos/Oct_03/Camera1_Oct_03_1300_1400_Agent_Community_raw_act.mp4':
  Metadata:
    major_brand     : isom
    minor_version   : 1
    compatible_brands: isom
    creation_time   : 2018-10-03 19:48:13
  Duration: 00:56:00.00, start: 0.000000, bitrate: 686 kb/s
    Stream #0:0(und): Video: h264 (Main) (avc1 / 0x31637661), yuvj420p(pc, bt709), 1920x1080 [SAR 1:1 DAR 16:9], 666 kb/s, 25.49 fps, 30 tbr, 16k tbn, 60 tbc (default)
    Metadata:
      handler_name    : VideoHandler
    Stream #0:1(und): Audio: aac (LC) (mp4a / 0x6134706D), 16000 Hz, mono, fltp, 16 kb/s (default)
    Metadata:
      creation_time   : 2018-10-03 19:48:18
      handler_name    : GPAC ISO Audio Handler
    Stream #0:2(eng): Subtitle: mov_text (tx3g / 0x67337874), 800x60, 0 kb/s (default)
    Metadata:
      rotate          : 0
      creation_time   : 2018-10-03 19:48:19
      handler_name    : 620ca140997e40a9977b319ba0e2e34e.subtitles.ttxt:hdlr=sbtl:lang=en:group=2:layer=1 - Imported with GPAC 0.5.0-rev4065
Input #1, png_pipe, from '/project/6001934/lingheng/ROM_Video_Process/Openpose_Video_Analysis_Code/camera1_transparent_img.png':
  Duration: N/A, bitrate: N/A
    Stream #1:0: Video: png, rgba(pc), 1920x1080, 25 tbr, 25 tbn, 25 tbc
[swscaler @ 0xe30180] deprecated pixel format used, make sure you did set range correctly
[avi @ 0xbcdd40] Using AVStream.codec to pass codec parameters to muxers is deprecated, use AVStream.codecpar instead.
    Last message repeated 1 times
Output #0, avi, to '/project/6001934/lingheng/ROM_Video_Process/ROM_raw_videos_with_interst_area_ffmpeg_new2/Oct_03/Camera1_Oct_03_1300_1400_Agent_Community_raw_act_ffmpeg_with_interest_area.avi':
  Metadata:
    major_brand     : isom
    minor_version   : 1
    compatible_brands: isom
    ISFT            : Lavf57.41.100
    Stream #0:0: Video: mpeg4 (FMP4 / 0x34504D46), yuv420p, 1920x1080 [SAR 1:1 DAR 16:9], q=2-31, 200 kb/s, 30 fps, 30 tbn, 30 tbc (default)
    Metadata:
      encoder         : Lavc57.48.101 mpeg4
    Side data:
      cpb: bitrate max/min/avg: 0/0/200000 buffer size: 0 vbv_delay: -1
    Stream #0:1(und): Audio: aac (LC) ([255][0][0][0] / 0x00FF), 16000 Hz, mono, 16 kb/s (default)
    Metadata:
      creation_time   : 2018-10-03 19:48:18
      handler_name    : GPAC ISO Audio Handler
Stream mapping:
  Stream #0:0 (h264) -> overlay:main
  Stream #1:0 (png) -> overlay:overlay
  overlay -> Stream #0:0 (mpeg4)
  Stream #0:1 -> #0:1 (copy)
Press [q] to stop, [?] for help
frame=   14 fps=0.0 q=27.5 size=     298kB time=00:00:00.56 bitrate=4301.8kbits/s speed=1.11x    
frame=   35 fps= 34 q=31.0 size=     363kB time=00:00:01.26 bitrate=2344.4kbits/s speed=1.22x    
frame=   59 fps= 38 q=31.0 size=     526kB time=00:00:02.06 bitrate=2083.1kbits/s speed=1.34x    
frame=   83 fps= 40 q=31.0 size=     587kB time=00:00:02.86 bitrate=1677.3kbits/s speed=1.39x    
frame=  108 fps= 42 q=31.0 size=     708kB time=00:00:03.70 bitrate=1568.2kbits/s speed=1.44x    
frame=  132 fps= 43 q=31.0 size=     772kB time=00:00:04.50 bitrate=1404.8kbits/s speed=1.46x    
frame=  157 fps= 44 q=24.8 size=     892kB time=00:00:05.33 bitrate=1370.2kbits/s speed=1.48x    
frame=  182 fps= 44 q=31.0 size=    1057kB time=00:00:06.16 bitrate=1404.3kbits/s speed= 1.5x    
frame=  206 fps= 45 q=31.0 size=    1127kB time=00:00:06.96 bitrate=1325.1kbits/s speed=1.51x    
frame=  231 fps= 45 q=31.0 size=    1246kB time=00:00:07.80 bitrate=1309.0kbits/s speed=1.52x    
frame=  256 fps= 45 q=31.0 size=    1364kB time=00:00:08.63 bitrate=1293.8kbits/s speed=1.53x    
frame=  282 fps= 46 q=31.0 size=    1523kB time=00:00:09.53 bitrate=1308.9kbits/s speed=1.55x    
frame=  307 fps= 46 q=31.0 size=    1653kB time=00:00:10.36 bitrate=1306.3kbits/s speed=1.56x    
frame=  332 fps= 46 q=31.0 size=    1779kB time=00:00:11.20 bitrate=1301.4kbits/s speed=1.56x    
frame=  357 fps= 46 q=31.0 size=    1897kB time=00:00:12.03 bitrate=1291.5kbits/s speed=1.57x    
frame=  380 fps= 46 q=31.0 size=    2014kB time=00:00:12.80 bitrate=1289.2kbits/s speed=1.56x    
frame=  405 fps= 47 q=31.0 size=    2131kB time=00:00:13.63 bitrate=1280.5kbits/s speed=1.57x    
frame=  430 fps= 47 q=31.0 size=    2257kB time=00:00:14.46 bitrate=1278.3kbits/s speed=1.57x    
frame=  451 fps= 46 q=31.0 size=    2375kB time=00:00:15.16 bitrate=1282.9kbits/s speed=1.56x    
frame=  476 fps= 47 q=31.0 size=    2495kB time=00:00:16.00 bitrate=1277.3kbits/s speed=1.56x    
frame=  501 fps= 47 q=31.0 size=    2618kB time=00:00:16.83 bitrate=1274.1kbits/s speed=1.57x    
frame=  526 fps= 47 q=31.0 size=    2741kB time=00:00:17.66 bitrate=1270.8kbits/s speed=1.57x    
frame=  551 fps= 47 q=31.0 size=    2865kB time=00:00:18.50 bitrate=1268.6kbits/s speed=1.58x    
frame=  576 fps= 47 q=31.0 size=    2988kB time=00:00:19.33 bitrate=1266.1kbits/s speed=1.58x    
frame=  600 fps= 47 q=31.0 size=    3171kB time=00:00:20.73 bitrate=1252.9kbits/s speed=1.62x    
frame=  625 fps= 47 q=24.8 size=    3235kB time=00:00:21.56 bitrate=1228.9kbits/s speed=1.63x    
frame=  650 fps= 47 q=31.0 size=    3355kB time=00:00:22.40 bitrate=1227.0kbits/s speed=1.62x    
frame=  673 fps= 47 q=24.8 size=    3474kB time=00:00:23.16 bitrate=1228.5kbits/s speed=1.62x    
frame=  696 fps= 47 q=31.0 size=    3597kB time=00:00:23.93 bitrate=1231.1kbits/s speed=1.62x    
frame=  721 fps= 47 q=24.8 size=    3714kB time=00:00:24.76 bitrate=1228.5kbits/s speed=1.62x    
frame=  746 fps= 47 q=31.0 size=    3834kB time=00:00:25.60 bitrate=1226.9kbits/s speed=1.62x    
frame=  771 fps= 47 q=31.0 size=    3956kB time=00:00:26.43 bitrate=1226.0kbits/s speed=1.62x    
frame=  796 fps= 47 q=31.0 size=    4078kB time=00:00:27.26 bitrate=1225.3kbits/s speed=1.62x    
frame=  821 fps= 47 q=31.0 size=    4201kB time=00:00:28.10 bitrate=1224.6kbits/s speed=1.62x    
frame=  846 fps= 47 q=31.0 size=    4323kB time=00:00:28.93 bitrate=1223.9kbits/s speed=1.62x    
frame=  871 fps= 47 q=31.0 size=    4484kB time=00:00:29.76 bitrate=1234.1kbits/s speed=1.62x    
frame=  896 fps= 48 q=31.0 size=    4609kB time=00:00:30.60 bitrate=1234.0kbits/s speed=1.62x    
frame=  919 fps= 47 q=31.0 size=    4733kB time=00:00:31.36 bitrate=1236.1kbits/s speed=1.62x    
frame=  944 fps= 48 q=31.0 size=    4854kB time=00:00:32.20 bitrate=1235.0kbits/s speed=1.62x    
frame=  970 fps= 48 q=31.0 size=    4976kB time=00:00:33.06 bitrate=1232.8kbits/s speed=1.62x    
frame=  995 fps= 48 q=31.0 size=    5097kB time=00:00:33.90 bitrate=1231.7kbits/s speed=1.62x    
frame= 1020 fps= 48 q=31.0 size=    5221kB time=00:00:34.73 bitrate=1231.3kbits/s speed=1.62x    
frame= 1045 fps= 48 q=24.8 size=    5344kB time=00:00:35.56 bitrate=1230.8kbits/s speed=1.63x    
frame= 1070 fps= 48 q=31.0 size=    5468kB time=00:00:36.40 bitrate=1230.5kbits/s speed=1.63x    
frame= 1095 fps= 48 q=31.0 size=    5587kB time=00:00:37.23 bitrate=1229.1kbits/s speed=1.63x    
frame= 1120 fps= 48 q=31.0 size=    5706kB time=00:00:38.06 bitrate=1228.0kbits/s speed=1.63x    
frame= 1145 fps= 48 q=31.0 size=    5832kB time=00:00:38.90 bitrate=1228.2kbits/s speed=1.63x    
frame= 1170 fps= 48 q=31.0 size=    5954kB time=00:00:39.73 bitrate=1227.6kbits/s speed=1.63x    
frame= 1195 fps= 48 q=31.0 size=    6116kB time=00:00:40.56 bitrate=1235.1kbits/s speed=1.63x    
frame= 1220 fps= 48 q=31.0 size=    6243kB time=00:00:41.40 bitrate=1235.3kbits/s speed=1.63x    
frame= 1245 fps= 48 q=31.0 size=    6370kB time=00:00:42.23 bitrate=1235.5kbits/s speed=1.63x    
frame= 1270 fps= 48 q=31.0 size=    6498kB time=00:00:43.06 bitrate=1236.1kbits/s speed=1.63x    
frame= 1295 fps= 48 q=31.0 size=    6626kB time=00:00:43.90 bitrate=1236.5kbits/s speed=1.63x    
frame= 1320 fps= 48 q=31.0 size=    6757kB time=00:00:44.73 bitrate=1237.3kbits/s speed=1.63x    
frame= 1345 fps= 48 q=24.8 size=    6883kB time=00:00:45.56 bitrate=1237.4kbits/s speed=1.63x    
frame= 1370 fps= 48 q=31.0 size=    7005kB time=00:00:46.40 bitrate=1236.8kbits/s speed=1.63x    
frame= 1395 fps= 48 q=31.0 size=    7127kB time=00:00:47.23 bitrate=1236.1kbits/s speed=1.63x    
frame= 1420 fps= 48 q=31.0 size=    7249kB time=00:00:48.06 bitrate=1235.5kbits/s speed=1.63x    
frame= 1445 fps= 48 q=31.0 size=    7374kB time=00:00:48.90 bitrate=1235.4kbits/s speed=1.63x    
frame= 1469 fps= 48 q=31.0 size=    7545kB time=00:00:49.80 bitrate=1241.2kbits/s speed=1.63x    
frame= 1493 fps= 48 q=31.0 size=    7681kB time=00:00:50.60 bitrate=1243.6kbits/s speed=1.63x    
frame= 1518 fps= 48 q=31.0 size=    7822kB time=00:00:51.43 bitrate=1245.8kbits/s speed=1.63x    
frame= 1543 fps= 48 q=31.0 size=    7960kB time=00:00:52.26 bitrate=1247.6kbits/s speed=1.63x    
frame= 1568 fps= 48 q=31.0 size=    8099kB time=00:00:53.10 bitrate=1249.5kbits/s speed=1.63x    
frame= 1593 fps= 48 q=31.0 size=    8228kB time=00:00:53.93 bitrate=1249.8kbits/s speed=1.63x    
frame= 1618 fps= 48 q=31.0 size=    8367kB time=00:00:54.76 bitrate=1251.6kbits/s speed=1.63x    
frame= 1643 fps= 48 q=31.0 size=    8505kB time=00:00:55.60 bitrate=1253.1kbits/s speed=1.63x    
frame= 1668 fps= 48 q=31.0 size=    8643kB time=00:00:56.43 bitrate=1254.6kbits/s speed=1.63x    
frame= 1693 fps= 48 q=24.8 size=    8775kB time=00:00:57.26 bitrate=1255.3kbits/s speed=1.63x    
frame= 1718 fps= 48 q=31.0 size=    8906kB time=00:00:58.10 bitrate=1255.7kbits/s speed=1.63x    
frame= 1742 fps= 48 q=31.0 size=    9036kB time=00:00:58.90 bitrate=1256.8kbits/s speed=1.63x    
frame= 1766 fps= 48 q=31.0 size=    9168kB time=00:00:59.70 bitrate=1258.0kbits/s speed=1.63x    
frame= 1791 fps= 48 q=31.0 size=    9307kB time=00:01:00.53 bitrate=1259.5kbits/s speed=1.63x    
frame= 1816 fps= 48 q=31.0 size=    9442kB time=00:01:01.36 bitrate=1260.4kbits/s speed=1.63x    
frame= 1841 fps= 48 q=31.0 size=    9584kB time=00:01:02.20 bitrate=1262.3kbits/s speed=1.63x    
frame= 1864 fps= 48 q=31.0 size=    9785kB time=00:01:03.10 bitrate=1270.3kbits/s speed=1.63x    
frame= 1888 fps= 48 q=31.0 size=   10002kB time=00:01:04.70 bitrate=1266.4kbits/s speed=1.65x    
frame= 1913 fps= 48 q=31.0 size=   10150kB time=00:01:06.36 bitrate=1252.8kbits/s speed=1.67x    
frame= 1938 fps= 48 q=31.0 size=   10290kB time=00:01:08.03 bitrate=1239.0kbits/s speed=1.69x    
frame= 1963 fps= 48 q=31.0 size=   10431kB time=00:01:09.70 bitrate=1226.0kbits/s speed=1.71x    
frame= 1988 fps= 48 q=31.0 size=   10572kB time=00:01:11.36 bitrate=1213.6kbits/s speed=1.73x    
frame= 2013 fps= 48 q=31.0 size=   10711kB time=00:01:13.03 bitrate=1201.5kbits/s speed=1.75x    
frame= 2038 fps= 48 q=31.0 size=   10839kB time=00:01:14.70 bitrate=1188.6kbits/s speed=1.77x    
frame= 2060 fps= 48 q=31.0 size=   10962kB time=00:01:16.16 bitrate=1179.0kbits/s speed=1.78x    
frame= 2085 fps= 48 q=31.0 size=   11097kB time=00:01:17.83 bitrate=1168.0kbits/s speed= 1.8x    
frame= 2110 fps= 48 q=31.0 size=   11225kB time=00:01:19.50 bitrate=1156.6kbits/s speed=1.81x    
frame= 2133 fps= 48 q=31.0 size=   11349kB time=00:01:21.03 bitrate=1147.3kbits/s speed=1.83x    
frame= 2158 fps= 48 q=31.0 size=   11479kB time=00:01:22.70 bitrate=1137.0kbits/s speed=1.84x    
frame= 2183 fps= 48 q=31.0 size=   11610kB time=00:01:24.36 bitrate=1127.3kbits/s speed=1.86x    
frame= 2208 fps= 48 q=31.0 size=   11755kB time=00:01:26.10 bitrate=1118.4kbits/s speed=1.88x    
frame= 2231 fps= 48 q=31.0 size=   11822kB time=00:01:27.03 bitrate=1112.8kbits/s speed=1.88x    
frame= 2254 fps= 48 q=31.0 size=   11945kB time=00:01:27.80 bitrate=1114.5kbits/s speed=1.87x    
frame= 2279 fps= 48 q=31.0 size=   12079kB time=00:01:28.63 bitrate=1116.4kbits/s speed=1.87x    
frame= 2304 fps= 48 q=31.0 size=   12216kB time=00:01:29.46 bitrate=1118.6kbits/s speed=1.87x    
frame= 2325 fps= 48 q=31.0 size=   12342kB time=00:01:30.16 bitrate=1121.3kbits/s speed=1.86x    
frame= 2348 fps= 48 q=31.0 size=   12475kB time=00:01:30.93 bitrate=1123.8kbits/s speed=1.86x    
frame= 2371 fps= 48 q=31.0 size=   12597kB time=00:01:31.70 bitrate=1125.4kbits/s speed=1.86x    
frame= 2394 fps= 48 q=31.0 size=   12731kB time=00:01:32.46 bitrate=1127.9kbits/s speed=1.85x    
frame= 2417 fps= 48 q=31.0 size=   12813kB time=00:01:33.23 bitrate=1125.8kbits/s speed=1.85x    
frame= 2442 fps= 48 q=31.0 size=   12950kB time=00:01:34.06 bitrate=1127.8kbits/s speed=1.85x    
frame= 2467 fps= 48 q=31.0 size=   13128kB time=00:01:34.90 bitrate=1133.2kbits/s speed=1.84x    
frame= 2492 fps= 48 q=31.0 size=   13266kB time=00:01:35.73 bitrate=1135.2kbits/s speed=1.84x    
frame= 2517 fps= 48 q=31.0 size=   13398kB time=00:01:36.56 bitrate=1136.5kbits/s speed=1.84x    
frame= 2542 fps= 48 q=31.0 size=   13532kB time=00:01:37.40 bitrate=1138.2kbits/s speed=1.84x    
frame= 2565 fps= 48 q=31.0 size=   13667kB time=00:01:38.16 bitrate=1140.5kbits/s speed=1.84x    
frame= 2589 fps= 48 q=31.0 size=   13801kB time=00:01:38.96 bitrate=1142.4kbits/s speed=1.83x    
frame= 2614 fps= 48 q=31.0 size=   13930kB time=00:01:39.83 bitrate=1143.0kbits/s speed=1.83x    
frame= 2639 fps= 48 q=31.0 size=   14071kB time=00:01:40.66 bitrate=1145.0kbits/s speed=1.83x    
frame= 2664 fps= 48 q=31.0 size=   14202kB time=00:01:41.50 bitrate=1146.2kbits/s speed=1.83x    
frame= 2685 fps= 48 q=31.0 size=   14330kB time=00:01:42.20 bitrate=1148.7kbits/s speed=1.82x    
frame= 2708 fps= 48 q=31.0 size=   14468kB time=00:01:42.96 bitrate=1151.1kbits/s speed=1.82x    
frame= 2733 fps= 48 q=31.0 size=   14600kB time=00:01:43.80 bitrate=1152.3kbits/s speed=1.82x    
frame= 2758 fps= 48 q=31.0 size=   14732kB time=00:01:44.63 bitrate=1153.4kbits/s speed=1.82x    
frame= 2783 fps= 48 q=31.0 size=   14861kB time=00:01:45.46 bitrate=1154.3kbits/s speed=1.81x    
frame= 2808 fps= 48 q=31.0 size=   14987kB time=00:01:46.30 bitrate=1155.0kbits/s speed=1.81x    
frame= 2833 fps= 48 q=24.8 size=   15115kB time=00:01:47.13 bitrate=1155.8kbits/s speed=1.81x    
frame= 2858 fps= 48 q=31.0 size=   15250kB time=00:01:47.96 bitrate=1157.1kbits/s speed=1.81x    
frame= 2883 fps= 48 q=31.0 size=   15377kB time=00:01:48.80 bitrate=1157.8kbits/s speed=1.81x    
frame= 2908 fps= 48 q=31.0 size=   15498kB time=00:01:49.63 bitrate=1158.1kbits/s speed=1.81x    
frame= 2933 fps= 48 q=31.0 size=   15619kB time=00:01:50.46 bitrate=1158.3kbits/s speed=1.81x    
frame= 2957 fps= 48 q=31.0 size=   15847kB time=00:01:51.90 bitrate=1160.2kbits/s speed=1.81x    
frame= 2982 fps= 48 q=31.0 size=   15969kB time=00:01:53.56 bitrate=1151.9kbits/s speed=1.83x    
frame= 3007 fps= 48 q=31.0 size=   16096kB time=00:01:55.23 bitrate=1144.3kbits/s speed=1.84x    
frame= 3032 fps= 48 q=31.0 size=   16235kB time=00:01:56.90 bitrate=1137.7kbits/s speed=1.85x    
frame= 3057 fps= 48 q=31.0 size=   16375kB time=00:01:58.56 bitrate=1131.4kbits/s speed=1.86x    
frame= 3082 fps= 48 q=31.0 size=   16511kB time=00:02:00.23 bitrate=1125.0kbits/s speed=1.87x    
frame= 3108 fps= 48 q=31.0 size=   16628kB time=00:02:01.60 bitrate=1120.2kbits/s speed=1.88x    
frame= 3131 fps= 48 q=31.0 size=   16701kB time=00:02:02.36 bitrate=1118.1kbits/s speed=1.88x    
frame= 3157 fps= 48 q=24.8 size=   16832kB time=00:02:03.33 bitrate=1118.0kbits/s speed=1.88x    
frame= 3182 fps= 48 q=31.0 size=   16965kB time=00:02:04.16 bitrate=1119.3kbits/s speed=1.87x    
frame= 3207 fps= 48 q=31.0 size=   17093kB time=00:02:05.00 bitrate=1120.2kbits/s speed=1.87x    
frame= 3231 fps= 48 q=31.0 size=   17219kB time=00:02:05.80 bitrate=1121.3kbits/s speed=1.87x    
frame= 3256 fps= 48 q=31.0 size=   17342kB time=00:02:06.63 bitrate=1121.9kbits/s speed=1.87x    
frame= 3281 fps= 48 q=31.0 size=   17506kB time=00:02:07.46 bitrate=1125.0kbits/s speed=1.87x    
frame= 3306 fps= 48 q=31.0 size=   17633kB time=00:02:08.30 bitrate=1125.8kbits/s speed=1.87x    
frame= 3331 fps= 48 q=31.0 size=   17755kB time=00:02:09.13 bitrate=1126.4kbits/s speed=1.86x    
frame= 3356 fps= 48 q=31.0 size=   17878kB time=00:02:09.96 bitrate=1126.9kbits/s speed=1.86x    
frame= 3381 fps= 48 q=31.0 size=   18000kB time=00:02:10.80 bitrate=1127.3kbits/s speed=1.86x    
frame= 3404 fps= 48 q=31.0 size=   18145kB time=00:02:11.56 bitrate=1129.8kbits/s speed=1.86x    
frame= 3429 fps= 48 q=31.0 size=   18272kB time=00:02:12.40 bitrate=1130.6kbits/s speed=1.86x    
frame= 3454 fps= 48 q=31.0 size=   18403kB time=00:02:13.23 bitrate=1131.5kbits/s speed=1.85x    
frame= 3475 fps= 48 q=31.0 size=   18525kB time=00:02:13.93 bitrate=1133.1kbits/s speed=1.85x    
frame= 3500 fps= 48 q=31.0 size=   18646kB time=00:02:14.76 bitrate=1133.4kbits/s speed=1.85x    
frame= 3525 fps= 48 q=31.0 size=   18768kB time=00:02:15.60 bitrate=1133.8kbits/s speed=1.85x    
frame= 3548 fps= 48 q=31.0 size=   18893kB time=00:02:16.36 bitrate=1135.0kbits/s speed=1.85x    
frame= 3573 fps= 48 q=31.0 size=   19015kB time=00:02:17.20 bitrate=1135.3kbits/s speed=1.84x    
frame= 3597 fps= 48 q=31.0 size=   19133kB time=00:02:18.03 bitrate=1135.5kbits/s speed=1.84x    
frame= 3622 fps= 48 q=31.0 size=   19258kB time=00:02:18.86 bitrate=1136.1kbits/s speed=1.84x    
frame= 3647 fps= 48 q=31.0 size=   19390kB time=00:02:19.70 bitrate=1137.0kbits/s speed=1.84x    
frame= 3671 fps= 48 q=31.0 size=   19519kB time=00:02:20.50 bitrate=1138.1kbits/s speed=1.84x    
frame= 3695 fps= 48 q=31.0 size=   19646kB time=00:02:21.30 bitrate=1139.0kbits/s speed=1.84x    
frame= 3718 fps= 48 q=31.0 size=   19768kB time=00:02:22.06 bitrate=1139.9kbits/s speed=1.83x    
frame= 3744 fps= 48 q=31.0 size=   19893kB time=00:02:22.96 bitrate=1139.8kbits/s speed=1.83x    
frame= 3769 fps= 48 q=24.8 size=   20029kB time=00:02:23.80 bitrate=1141.0kbits/s speed=1.83x    
