ffmpeg version 3.1.7 Copyright (c) 2000-2017 the FFmpeg developers
  built with gcc 5.4.0 (GCC)
  configuration: --disable-static --prefix=/cvmfs/soft.computecanada.ca/nix/store/n7qiyrcpyixibg8mijm826nb3hdb23j1-ffmpeg-3.1.7 --enable-gpl --enable-version3 --enable-shared --disable-static --enable-pic --enable-runtime-cpudetect --enable-hardcoded-tables --enable-pthreads --disable-w32threads --disable-os2threads --enable-network --enable-pixelutils --enable-ffmpeg --disable-ffplay --enable-ffprobe --disable-ffserver --enable-avcodec --enable-avdevice --enable-avfilter --enable-avformat --enable-avresample --enable-avutil --enable-postproc --enable-swresample --enable-swscale --disable-doc --enable-bzlib --enable-gnutls --enable-fontconfig --enable-libfreetype --enable-libmp3lame --enable-iconv --enable-libtheora --enable-vaapi --enable-vdpau --enable-libvorbis --enable-libvpx --enable-lzma --disable-opengl --enable-libpulse --enable-sdl --enable-libsoxr --enable-libx264 --enable-libxvid --enable-zlib --enable-libopus --enable-libx265 --disable-debug --enable-optimizations --disable-extra-warnings --disable-stripping
  libavutil      55. 28.100 / 55. 28.100
  libavcodec     57. 48.101 / 57. 48.101
  libavformat    57. 41.100 / 57. 41.100
  libavdevice    57.  0.101 / 57.  0.101
  libavfilter     6. 47.100 /  6. 47.100
  libavresample   3.  0.  0 /  3.  0.  0
  libswscale      4.  1.100 /  4.  1.100
  libswresample   2.  1.100 /  2.  1.100
  libpostproc    54.  0.100 / 54.  0.100
Input #0, mov,mp4,m4a,3gp,3g2,mj2, from '/project/6001934/lingheng/ROM_Video_Process/ROM_raw_videos/Oct_05/Camera1_Oct_05_1300_1400_Prescribed_behavior.mp4':
  Metadata:
    major_brand     : isom
    minor_version   : 1
    compatible_brands: isom
    creation_time   : 2018-10-05 21:39:11
  Duration: 01:00:02.05, start: 0.000000, bitrate: 702 kb/s
    Stream #0:0(und): Video: h264 (Main) (avc1 / 0x31637661), yuvj420p(pc, bt709), 1920x1080 [SAR 1:1 DAR 16:9], 682 kb/s, 22.79 fps, 30 tbr, 16k tbn, 60 tbc (default)
    Metadata:
      handler_name    : VideoHandler
    Stream #0:1(und): Audio: aac (LC) (mp4a / 0x6134706D), 16000 Hz, mono, fltp, 16 kb/s (default)
    Metadata:
      creation_time   : 2018-10-05 21:39:16
      handler_name    : GPAC ISO Audio Handler
    Stream #0:2(eng): Subtitle: mov_text (tx3g / 0x67337874), 800x60, 0 kb/s (default)
    Metadata:
      rotate          : 0
      creation_time   : 2018-10-05 21:39:16
      handler_name    : 2dbc7fe894b748008e1f7744a9515142.subtitles.ttxt:hdlr=sbtl:lang=en:group=2:layer=1 - Imported with GPAC 0.5.0-rev4065
Input #1, png_pipe, from '/project/6001934/lingheng/ROM_Video_Process/Openpose_Video_Analysis_Code/camera1_transparent_img.png':
  Duration: N/A, bitrate: N/A
    Stream #1:0: Video: png, rgba(pc), 1920x1080, 25 tbr, 25 tbn, 25 tbc
[swscaler @ 0x273a240] deprecated pixel format used, make sure you did set range correctly
[avi @ 0x2701b60] Using AVStream.codec to pass codec parameters to muxers is deprecated, use AVStream.codecpar instead.
    Last message repeated 1 times
Output #0, avi, to '/project/6001934/lingheng/ROM_Video_Process/ROM_raw_videos_with_interst_area_ffmpeg_new2/Oct_05/Camera1_Oct_05_1300_1400_Prescribed_behavior_ffmpeg_with_interest_area.avi':
  Metadata:
    major_brand     : isom
    minor_version   : 1
    compatible_brands: isom
    ISFT            : Lavf57.41.100
    Stream #0:0: Video: mpeg4 (FMP4 / 0x34504D46), yuv420p, 1920x1080 [SAR 1:1 DAR 16:9], q=2-31, 200 kb/s, 30 fps, 30 tbn, 30 tbc (default)
    Metadata:
      encoder         : Lavc57.48.101 mpeg4
    Side data:
      cpb: bitrate max/min/avg: 0/0/200000 buffer size: 0 vbv_delay: -1
    Stream #0:1(und): Audio: aac (LC) ([255][0][0][0] / 0x00FF), 16000 Hz, mono, 16 kb/s (default)
    Metadata:
      creation_time   : 2018-10-05 21:39:16
      handler_name    : GPAC ISO Audio Handler
Stream mapping:
  Stream #0:0 (h264) -> overlay:main
  Stream #1:0 (png) -> overlay:overlay
  overlay -> Stream #0:0 (mpeg4)
  Stream #0:1 -> #0:1 (copy)
Press [q] to stop, [?] for help
frame=   14 fps=0.0 q=27.5 size=      10kB time=00:00:00.50 bitrate= 159.8kbits/s speed=0.961x    
frame=   34 fps= 33 q=31.0 size=     382kB time=00:00:01.16 bitrate=2685.1kbits/s speed=1.14x    
frame=   56 fps= 37 q=31.0 size=     448kB time=00:00:01.90 bitrate=1933.4kbits/s speed=1.24x    
frame=   81 fps= 40 q=31.0 size=     579kB time=00:00:02.73 bitrate=1734.0kbits/s speed=1.33x    
frame=  105 fps= 41 q=31.0 size=     730kB time=00:00:03.53 bitrate=1692.5kbits/s speed=1.38x    
frame=  129 fps= 42 q=31.0 size=     797kB time=00:00:04.33 bitrate=1507.0kbits/s speed=1.42x    
frame=  154 fps= 43 q=31.0 size=     975kB time=00:00:05.16 bitrate=1545.2kbits/s speed=1.45x    
frame=  177 fps= 43 q=31.0 size=    1046kB time=00:00:05.93 bitrate=1444.3kbits/s speed=1.45x    
frame=  203 fps= 44 q=31.0 size=    1178kB time=00:00:06.80 bitrate=1418.5kbits/s speed=1.48x    
frame=  227 fps= 44 q=31.0 size=    1317kB time=00:00:07.60 bitrate=1419.8kbits/s speed=1.49x    
frame=  250 fps= 45 q=31.0 size=    1438kB time=00:00:08.36 bitrate=1407.8kbits/s speed=1.49x    
frame=  273 fps= 45 q=31.0 size=    1565kB time=00:00:09.13 bitrate=1403.3kbits/s speed=1.49x    
frame=  298 fps= 45 q=31.0 size=    1689kB time=00:00:09.96 bitrate=1387.9kbits/s speed= 1.5x    
frame=  321 fps= 45 q=31.0 size=    1817kB time=00:00:10.73 bitrate=1386.7kbits/s speed= 1.5x    
frame=  344 fps= 45 q=31.0 size=    1939kB time=00:00:11.50 bitrate=1381.0kbits/s speed= 1.5x    
frame=  369 fps= 45 q=31.0 size=    2061kB time=00:00:12.33 bitrate=1368.7kbits/s speed=1.51x    
frame=  394 fps= 45 q=31.0 size=    2185kB time=00:00:13.16 bitrate=1359.6kbits/s speed=1.52x    
frame=  418 fps= 46 q=31.0 size=    2314kB time=00:00:13.96 bitrate=1357.3kbits/s speed=1.52x    
frame=  440 fps= 45 q=31.0 size=    2440kB time=00:00:14.70 bitrate=1359.8kbits/s speed=1.52x    
frame=  465 fps= 46 q=31.0 size=    2569kB time=00:00:15.53 bitrate=1354.8kbits/s speed=1.52x    
frame=  485 fps= 45 q=31.0 size=    2644kB time=00:00:16.20 bitrate=1336.9kbits/s speed=1.51x    
frame=  508 fps= 45 q=31.0 size=    2771kB time=00:00:16.96 bitrate=1338.0kbits/s speed=1.51x    
frame=  533 fps= 45 q=31.0 size=    2897kB time=00:00:17.80 bitrate=1333.3kbits/s speed=1.52x    
frame=  556 fps= 45 q=31.0 size=    3023kB time=00:00:18.56 bitrate=1333.6kbits/s speed=1.52x    
frame=  581 fps= 46 q=31.0 size=    3146kB time=00:00:19.40 bitrate=1328.4kbits/s speed=1.52x    
frame=  607 fps= 46 q=31.0 size=    3310kB time=00:00:20.26 bitrate=1338.1kbits/s speed=1.53x    
frame=  632 fps= 46 q=31.0 size=    3437kB time=00:00:21.10 bitrate=1334.3kbits/s speed=1.53x    
frame=  656 fps= 46 q=31.0 size=    3565kB time=00:00:21.90 bitrate=1333.5kbits/s speed=1.53x    
frame=  680 fps= 46 q=31.0 size=    3691kB time=00:00:22.70 bitrate=1331.8kbits/s speed=1.53x    
frame=  705 fps= 46 q=31.0 size=    3813kB time=00:00:23.53 bitrate=1327.4kbits/s speed=1.54x    
frame=  730 fps= 46 q=31.0 size=    3941kB time=00:00:24.36 bitrate=1325.1kbits/s speed=1.54x    
frame=  755 fps= 46 q=31.0 size=    4067kB time=00:00:25.20 bitrate=1322.2kbits/s speed=1.54x    
frame=  780 fps= 46 q=31.0 size=    4194kB time=00:00:26.03 bitrate=1319.6kbits/s speed=1.55x    
frame=  805 fps= 46 q=24.8 size=    4319kB time=00:00:26.86 bitrate=1317.0kbits/s speed=1.55x    
frame=  830 fps= 46 q=31.0 size=    4445kB time=00:00:27.70 bitrate=1314.6kbits/s speed=1.55x    
frame=  855 fps= 47 q=31.0 size=    4568kB time=00:00:28.53 bitrate=1311.5kbits/s speed=1.55x    
frame=  878 fps= 46 q=31.0 size=    4691kB time=00:00:29.30 bitrate=1311.5kbits/s speed=1.55x    
frame=  901 fps= 46 q=24.8 size=    4812kB time=00:00:30.06 bitrate=1311.1kbits/s speed=1.55x    
frame=  926 fps= 47 q=31.0 size=    4935kB time=00:00:30.90 bitrate=1308.2kbits/s speed=1.55x    
frame=  951 fps= 47 q=31.0 size=    5060kB time=00:00:31.73 bitrate=1306.2kbits/s speed=1.55x    
frame=  976 fps= 47 q=31.0 size=    5186kB time=00:00:32.56 bitrate=1304.5kbits/s speed=1.56x    
frame=  999 fps= 47 q=31.0 size=    5366kB time=00:00:33.43 bitrate=1314.9kbits/s speed=1.56x    
frame= 1021 fps= 47 q=24.8 size=    5507kB time=00:00:34.90 bitrate=1292.8kbits/s speed=1.59x    
frame= 1046 fps= 47 q=31.0 size=    5678kB time=00:00:36.56 bitrate=1272.1kbits/s speed=1.63x    
frame= 1070 fps= 47 q=31.0 size=    5807kB time=00:00:38.16 bitrate=1246.3kbits/s speed=1.66x    
frame= 1094 fps= 47 q=31.0 size=    5946kB time=00:00:39.76 bitrate=1224.8kbits/s speed=1.69x    
frame= 1118 fps= 47 q=31.0 size=    6077kB time=00:00:41.36 bitrate=1203.4kbits/s speed=1.73x    
frame= 1143 fps= 47 q=31.0 size=    6208kB time=00:00:43.03 bitrate=1181.7kbits/s speed=1.76x    
frame= 1167 fps= 47 q=31.0 size=    6335kB time=00:00:44.63 bitrate=1162.7kbits/s speed=1.79x    
frame= 1191 fps= 47 q=31.0 size=    6465kB time=00:00:46.23 bitrate=1145.5kbits/s speed=1.81x    
frame= 1216 fps= 47 q=31.0 size=    6596kB time=00:00:47.90 bitrate=1128.0kbits/s speed=1.84x    
frame= 1241 fps= 47 q=31.0 size=    6727kB time=00:00:49.56 bitrate=1111.8kbits/s speed=1.87x    
frame= 1265 fps= 47 q=31.0 size=    6854kB time=00:00:51.16 bitrate=1097.4kbits/s speed=1.89x    
frame= 1290 fps= 47 q=31.0 size=    6984kB time=00:00:52.83 bitrate=1082.9kbits/s speed=1.92x    
frame= 1314 fps= 47 q=31.0 size=    7117kB time=00:00:54.43 bitrate=1071.1kbits/s speed=1.94x    
frame= 1339 fps= 47 q=31.0 size=    7193kB time=00:00:55.80 bitrate=1056.0kbits/s speed=1.95x    
frame= 1362 fps= 47 q=31.0 size=    7257kB time=00:00:56.56 bitrate=1051.0kbits/s speed=1.94x    
frame= 1383 fps= 47 q=31.0 size=    7379kB time=00:00:57.26 bitrate=1055.6kbits/s speed=1.94x    
frame= 1408 fps= 47 q=31.0 size=    7505kB time=00:00:58.10 bitrate=1058.2kbits/s speed=1.93x    
frame= 1431 fps= 47 q=31.0 size=    7635kB time=00:00:58.86 bitrate=1062.5kbits/s speed=1.92x    
frame= 1456 fps= 47 q=31.0 size=    7762kB time=00:00:59.70 bitrate=1065.1kbits/s speed=1.92x    
frame= 1479 fps= 47 q=31.0 size=    7893kB time=00:01:00.46 bitrate=1069.4kbits/s speed=1.91x    
frame= 1504 fps= 47 q=31.0 size=    8019kB time=00:01:01.30 bitrate=1071.6kbits/s speed=1.91x    
frame= 1527 fps= 47 q=31.0 size=    8146kB time=00:01:02.06 bitrate=1075.2kbits/s speed= 1.9x    
frame= 1552 fps= 47 q=31.0 size=    8273kB time=00:01:02.90 bitrate=1077.4kbits/s speed= 1.9x    
frame= 1577 fps= 47 q=31.0 size=    8395kB time=00:01:03.73 bitrate=1079.0kbits/s speed=1.89x    
frame= 1600 fps= 47 q=31.0 size=    8529kB time=00:01:04.50 bitrate=1083.2kbits/s speed=1.89x    
frame= 1625 fps= 47 q=31.0 size=    8655kB time=00:01:05.33 bitrate=1085.3kbits/s speed=1.89x    
frame= 1648 fps= 47 q=31.0 size=    8785kB time=00:01:06.10 bitrate=1088.7kbits/s speed=1.88x    
frame= 1673 fps= 47 q=31.0 size=    8907kB time=00:01:06.93 bitrate=1090.1kbits/s speed=1.88x    
frame= 1696 fps= 47 q=31.0 size=    9031kB time=00:01:07.70 bitrate=1092.8kbits/s speed=1.87x    
frame= 1721 fps= 47 q=31.0 size=    9151kB time=00:01:08.53 bitrate=1093.8kbits/s speed=1.87x    
frame= 1744 fps= 47 q=31.0 size=    9276kB time=00:01:09.30 bitrate=1096.5kbits/s speed=1.86x    
frame= 1769 fps= 47 q=31.0 size=    9395kB time=00:01:10.13 bitrate=1097.4kbits/s speed=1.86x    
frame= 1792 fps= 47 q=31.0 size=    9517kB time=00:01:10.90 bitrate=1099.6kbits/s speed=1.86x    
frame= 1817 fps= 47 q=31.0 size=    9633kB time=00:01:11.73 bitrate=1100.1kbits/s speed=1.85x    
frame= 1840 fps= 47 q=31.0 size=    9752kB time=00:01:12.50 bitrate=1102.0kbits/s speed=1.85x    
frame= 1863 fps= 47 q=31.0 size=    9986kB time=00:01:13.70 bitrate=1110.0kbits/s speed=1.86x    
frame= 1888 fps= 47 q=31.0 size=   10060kB time=00:01:15.00 bitrate=1098.8kbits/s speed=1.86x    
frame= 1911 fps= 47 q=31.0 size=   10129kB time=00:01:15.76 bitrate=1095.1kbits/s speed=1.86x    
frame= 1936 fps= 47 q=31.0 size=   10249kB time=00:01:16.60 bitrate=1096.1kbits/s speed=1.86x    
frame= 1957 fps= 47 q=24.8 size=   10370kB time=00:01:17.30 bitrate=1099.0kbits/s speed=1.85x    
frame= 1980 fps= 47 q=31.0 size=   10494kB time=00:01:18.06 bitrate=1101.2kbits/s speed=1.85x    
frame= 2004 fps= 47 q=31.0 size=   10625kB time=00:01:18.90 bitrate=1103.1kbits/s speed=1.84x    
frame= 2029 fps= 47 q=24.8 size=   10760kB time=00:01:19.73 bitrate=1105.5kbits/s speed=1.84x    
frame= 2052 fps= 47 q=31.0 size=   10887kB time=00:01:20.50 bitrate=1107.9kbits/s speed=1.84x    
frame= 2077 fps= 47 q=24.8 size=   11014kB time=00:01:21.33 bitrate=1109.4kbits/s speed=1.84x    
frame= 2100 fps= 47 q=31.0 size=   11144kB time=00:01:22.10 bitrate=1112.0kbits/s speed=1.83x    
frame= 2125 fps= 47 q=24.8 size=   11266kB time=00:01:22.93 bitrate=1112.9kbits/s speed=1.83x    
frame= 2148 fps= 47 q=31.0 size=   11388kB time=00:01:23.70 bitrate=1114.6kbits/s speed=1.83x    
frame= 2173 fps= 47 q=24.8 size=   11512kB time=00:01:24.53 bitrate=1115.6kbits/s speed=1.82x    
frame= 2198 fps= 47 q=31.0 size=   11635kB time=00:01:25.36 bitrate=1116.6kbits/s speed=1.82x    
frame= 2223 fps= 47 q=31.0 size=   11761kB time=00:01:26.20 bitrate=1117.7kbits/s speed=1.82x    
frame= 2248 fps= 47 q=31.0 size=   11885kB time=00:01:27.03 bitrate=1118.7kbits/s speed=1.82x    
frame= 2273 fps= 47 q=31.0 size=   12008kB time=00:01:27.86 bitrate=1119.5kbits/s speed=1.81x    
frame= 2294 fps= 47 q=31.0 size=   12130kB time=00:01:28.56 bitrate=1122.0kbits/s speed=1.81x    
frame= 2317 fps= 47 q=24.8 size=   12258kB time=00:01:29.33 bitrate=1124.1kbits/s speed=1.81x    
frame= 2342 fps= 47 q=31.0 size=   12389kB time=00:01:30.16 bitrate=1125.6kbits/s speed= 1.8x    
frame= 2363 fps= 47 q=31.0 size=   12514kB time=00:01:30.86 bitrate=1128.2kbits/s speed= 1.8x    
frame= 2384 fps= 47 q=31.0 size=   12640kB time=00:01:31.56 bitrate=1130.8kbits/s speed= 1.8x    
frame= 2409 fps= 47 q=31.0 size=   12764kB time=00:01:32.40 bitrate=1131.6kbits/s speed=1.79x    
frame= 2432 fps= 47 q=31.0 size=   12891kB time=00:01:33.16 bitrate=1133.5kbits/s speed=1.79x    
frame= 2455 fps= 47 q=31.0 size=   13011kB time=00:01:33.93 bitrate=1134.7kbits/s speed=1.79x    
frame= 2478 fps= 47 q=31.0 size=   13156kB time=00:01:34.70 bitrate=1138.1kbits/s speed=1.79x    
frame= 2501 fps= 47 q=31.0 size=   13280kB time=00:01:35.46 bitrate=1139.6kbits/s speed=1.78x    
frame= 2523 fps= 47 q=31.0 size=   13364kB time=00:01:36.20 bitrate=1138.0kbits/s speed=1.78x    
frame= 2547 fps= 47 q=31.0 size=   13488kB time=00:01:37.00 bitrate=1139.1kbits/s speed=1.78x    
frame= 2571 fps= 47 q=31.0 size=   13611kB time=00:01:37.80 bitrate=1140.1kbits/s speed=1.78x    
frame= 2595 fps= 47 q=31.0 size=   13739kB time=00:01:38.60 bitrate=1141.5kbits/s speed=1.78x    
frame= 2619 fps= 47 q=31.0 size=   13861kB time=00:01:39.40 bitrate=1142.4kbits/s speed=1.77x    
frame= 2645 fps= 47 q=31.0 size=   13984kB time=00:01:40.26 bitrate=1142.5kbits/s speed=1.77x    
frame= 2668 fps= 47 q=31.0 size=   14112kB time=00:01:41.03 bitrate=1144.2kbits/s speed=1.77x    
frame= 2693 fps= 47 q=31.0 size=   14241kB time=00:01:41.86 bitrate=1145.2kbits/s speed=1.77x    
frame= 2716 fps= 47 q=31.0 size=   14382kB time=00:01:42.63 bitrate=1147.9kbits/s speed=1.77x    
frame= 2741 fps= 47 q=31.0 size=   14514kB time=00:01:43.46 bitrate=1149.1kbits/s speed=1.77x    
frame= 2764 fps= 47 q=31.0 size=   14653kB time=00:01:44.23 bitrate=1151.7kbits/s speed=1.76x    
frame= 2789 fps= 47 q=31.0 size=   14784kB time=00:01:45.06 bitrate=1152.7kbits/s speed=1.76x    
frame= 2812 fps= 47 q=31.0 size=   14921kB time=00:01:45.83 bitrate=1155.0kbits/s speed=1.76x    
frame= 2834 fps= 47 q=31.0 size=   15046kB time=00:01:46.56 bitrate=1156.7kbits/s speed=1.76x    
frame= 2859 fps= 47 q=31.0 size=   15170kB time=00:01:47.40 bitrate=1157.1kbits/s speed=1.76x    
frame= 2882 fps= 47 q=31.0 size=   15295kB time=00:01:48.16 bitrate=1158.4kbits/s speed=1.76x    
frame= 2907 fps= 47 q=31.0 size=   15416kB time=00:01:49.00 bitrate=1158.6kbits/s speed=1.75x    
frame= 2930 fps= 47 q=31.0 size=   15538kB time=00:01:49.76 bitrate=1159.6kbits/s speed=1.75x    
frame= 2955 fps= 47 q=31.0 size=   15659kB time=00:01:50.60 bitrate=1159.9kbits/s speed=1.75x    
frame= 2981 fps= 47 q=31.0 size=   15780kB time=00:01:51.46 bitrate=1159.8kbits/s speed=1.75x    
frame= 3004 fps= 47 q=31.0 size=   15905kB time=00:01:52.23 bitrate=1160.9kbits/s speed=1.75x    
frame= 3027 fps= 47 q=31.0 size=   16022kB time=00:01:53.00 bitrate=1161.5kbits/s speed=1.75x    
frame= 3052 fps= 47 q=31.0 size=   16143kB time=00:01:53.83 bitrate=1161.7kbits/s speed=1.75x    
frame= 3077 fps= 47 q=31.0 size=   16305kB time=00:01:54.66 bitrate=1164.9kbits/s speed=1.75x    
frame= 3102 fps= 47 q=31.0 size=   16428kB time=00:01:55.50 bitrate=1165.2kbits/s speed=1.74x    
frame= 3127 fps= 47 q=31.0 size=   16548kB time=00:01:56.33 bitrate=1165.3kbits/s speed=1.74x    
frame= 3152 fps= 47 q=31.0 size=   16673kB time=00:01:57.23 bitrate=1165.1kbits/s speed=1.74x    
frame= 3177 fps= 47 q=31.0 size=   16806kB time=00:01:58.06 bitrate=1166.1kbits/s speed=1.74x    
frame= 3198 fps= 47 q=31.0 size=   16932kB time=00:01:58.76 bitrate=1167.9kbits/s speed=1.74x    
frame= 3221 fps= 47 q=31.0 size=   17049kB time=00:01:59.53 bitrate=1168.4kbits/s speed=1.74x    
frame= 3244 fps= 47 q=31.0 size=   17128kB time=00:02:00.30 bitrate=1166.4kbits/s speed=1.74x    
frame= 3267 fps= 47 q=31.0 size=   17246kB time=00:02:01.06 bitrate=1167.0kbits/s speed=1.73x    
frame= 3290 fps= 47 q=31.0 size=   17367kB time=00:02:01.83 bitrate=1167.8kbits/s speed=1.73x    
frame= 3315 fps= 47 q=31.0 size=   17493kB time=00:02:02.66 bitrate=1168.2kbits/s speed=1.73x    
frame= 3340 fps= 47 q=31.0 size=   17614kB time=00:02:03.50 bitrate=1168.4kbits/s speed=1.73x    
frame= 3361 fps= 47 q=24.8 size=   17733kB time=00:02:04.20 bitrate=1169.7kbits/s speed=1.73x    
frame= 3386 fps= 47 q=31.0 size=   17870kB time=00:02:05.03 bitrate=1170.8kbits/s speed=1.73x    
frame= 3411 fps= 47 q=31.0 size=   17996kB time=00:02:05.86 bitrate=1171.2kbits/s speed=1.73x    
frame= 3434 fps= 47 q=31.0 size=   18124kB time=00:02:06.63 bitrate=1172.4kbits/s speed=1.73x    
frame= 3459 fps= 47 q=31.0 size=   18251kB time=00:02:07.46 bitrate=1173.0kbits/s speed=1.72x    
frame= 3482 fps= 47 q=31.0 size=   18380kB time=00:02:08.23 bitrate=1174.2kbits/s speed=1.72x    
frame= 3507 fps= 47 q=31.0 size=   18509kB time=00:02:09.06 bitrate=1174.8kbits/s speed=1.72x    
frame= 3532 fps= 47 q=31.0 size=   18633kB time=00:02:09.90 bitrate=1175.1kbits/s speed=1.72x    
frame= 3557 fps= 47 q=31.0 size=   18764kB time=00:02:10.73 bitrate=1175.8kbits/s speed=1.72x    
frame= 3582 fps= 47 q=31.0 size=   18889kB time=00:02:11.56 bitrate=1176.1kbits/s speed=1.72x    
frame= 3606 fps= 47 q=31.0 size=   19057kB time=00:02:12.40 bitrate=1179.1kbits/s speed=1.72x    
frame= 3631 fps= 47 q=31.0 size=   19199kB time=00:02:13.23 bitrate=1180.5kbits/s speed=1.72x    
frame= 3656 fps= 47 q=31.0 size=   19335kB time=00:02:14.06 bitrate=1181.5kbits/s speed=1.72x    
frame= 3681 fps= 47 q=31.0 size=   19466kB time=00:02:14.90 bitrate=1182.1kbits/s speed=1.72x    
