ffmpeg version 3.1.7 Copyright (c) 2000-2017 the FFmpeg developers
  built with gcc 5.4.0 (GCC)
  configuration: --disable-static --prefix=/cvmfs/soft.computecanada.ca/nix/store/n7qiyrcpyixibg8mijm826nb3hdb23j1-ffmpeg-3.1.7 --enable-gpl --enable-version3 --enable-shared --disable-static --enable-pic --enable-runtime-cpudetect --enable-hardcoded-tables --enable-pthreads --disable-w32threads --disable-os2threads --enable-network --enable-pixelutils --enable-ffmpeg --disable-ffplay --enable-ffprobe --disable-ffserver --enable-avcodec --enable-avdevice --enable-avfilter --enable-avformat --enable-avresample --enable-avutil --enable-postproc --enable-swresample --enable-swscale --disable-doc --enable-bzlib --enable-gnutls --enable-fontconfig --enable-libfreetype --enable-libmp3lame --enable-iconv --enable-libtheora --enable-vaapi --enable-vdpau --enable-libvorbis --enable-libvpx --enable-lzma --disable-opengl --enable-libpulse --enable-sdl --enable-libsoxr --enable-libx264 --enable-libxvid --enable-zlib --enable-libopus --enable-libx265 --disable-debug --enable-optimizations --disable-extra-warnings --disable-stripping
  libavutil      55. 28.100 / 55. 28.100
  libavcodec     57. 48.101 / 57. 48.101
  libavformat    57. 41.100 / 57. 41.100
  libavdevice    57.  0.101 / 57.  0.101
  libavfilter     6. 47.100 /  6. 47.100
  libavresample   3.  0.  0 /  3.  0.  0
  libswscale      4.  1.100 /  4.  1.100
  libswresample   2.  1.100 /  2.  1.100
  libpostproc    54.  0.100 / 54.  0.100
Input #0, mov,mp4,m4a,3gp,3g2,mj2, from '/project/6001934/lingheng/ROM_Video_Process/ROM_raw_videos/Sep_13/Camera1_Sep_13_1400_1500_Prescribed_Behavior.mp4':
  Metadata:
    major_brand     : isom
    minor_version   : 1
    compatible_brands: isom
    creation_time   : 2018-09-18 02:56:25
  Duration: 01:00:00.51, start: 0.000000, bitrate: 633 kb/s
    Stream #0:0(und): Video: h264 (Main) (avc1 / 0x31637661), yuvj420p(pc, bt709), 1920x1080 [SAR 1:1 DAR 16:9], 614 kb/s, 14.69 fps, 30 tbr, 16k tbn, 30 tbc (default)
    Metadata:
      handler_name    : VideoHandler
    Stream #0:1(und): Audio: aac (LC) (mp4a / 0x6134706D), 16000 Hz, mono, fltp, 16 kb/s (default)
    Metadata:
      creation_time   : 2018-09-18 02:56:27
      handler_name    : GPAC ISO Audio Handler
    Stream #0:2(eng): Subtitle: mov_text (tx3g / 0x67337874), 800x60, 0 kb/s (default)
    Metadata:
      rotate          : 0
      creation_time   : 2018-09-18 02:56:27
      handler_name    : e861e114f51b42029239a26496c8fb93.subtitles.ttxt:hdlr=sbtl:lang=en:group=2:layer=1 - Imported with GPAC 0.5.0-rev4065
Input #1, png_pipe, from '/project/6001934/lingheng/ROM_Video_Process/Openpose_Video_Analysis_Code/camera1_transparent_img.png':
  Duration: N/A, bitrate: N/A
    Stream #1:0: Video: png, rgba(pc), 1920x1080, 25 tbr, 25 tbn, 25 tbc
[swscaler @ 0xe4fb60] deprecated pixel format used, make sure you did set range correctly
[libx264 @ 0xc80680] using SAR=1/1
[libx264 @ 0xc80680] using cpu capabilities: MMX2 SSE2Fast SSSE3 SSE4.2 AVX FMA3 AVX2 LZCNT BMI2
[libx264 @ 0xc80680] profile High, level 4.0
[libx264 @ 0xc80680] 264 - core 148 - H.264/MPEG-4 AVC codec - Copyleft 2003-2016 - http://www.videolan.org/x264.html - options: cabac=1 ref=3 deblock=1:0:0 analyse=0x3:0x113 me=hex subme=7 psy=1 psy_rd=1.00:0.00 mixed_ref=1 me_range=16 chroma_me=1 trellis=1 8x8dct=1 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=-2 threads=3 lookahead_threads=1 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=15 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=crf mbtree=1 crf=23.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
[mp4 @ 0xe46500] Using AVStream.codec to pass codec parameters to muxers is deprecated, use AVStream.codecpar instead.
    Last message repeated 1 times
Output #0, mp4, to '/project/6001934/lingheng/ROM_Video_Process/ROM_raw_videos_with_interst_area_ffmpeg_new3/Sep_13/Camera1_Sep_13_1400_1500_Prescribed_Behavior_ffmpeg_with_interest_area.mp4':
  Metadata:
    major_brand     : isom
    minor_version   : 1
    compatible_brands: isom
    encoder         : Lavf57.41.100
    Stream #0:0: Video: h264 (libx264) ([33][0][0][0] / 0x0021), yuv420p, 1920x1080 [SAR 1:1 DAR 16:9], q=-1--1, 15 fps, 15360 tbn, 15 tbc (default)
    Metadata:
      encoder         : Lavc57.48.101 libx264
    Side data:
      cpb: bitrate max/min/avg: 0/0/0 buffer size: 0 vbv_delay: -1
    Stream #0:1(und): Audio: aac (LC) ([64][0][0][0] / 0x0040), 16000 Hz, mono, 16 kb/s (default)
    Metadata:
      creation_time   : 2018-09-18 02:56:27
      handler_name    : GPAC ISO Audio Handler
Stream mapping:
  Stream #0:0 (h264) -> overlay:main
  Stream #1:0 (png) -> overlay:overlay
  overlay -> Stream #0:0 (libx264)
  Stream #0:1 -> #0:1 (copy)
Press [q] to stop, [?] for help
frame=   21 fps=0.0 q=0.0 size=       0kB time=00:00:00.96 bitrate=   0.4kbits/s dup=1 drop=0 speed=1.87x    
frame=   47 fps= 40 q=0.0 size=       0kB time=00:00:02.75 bitrate=   0.1kbits/s dup=1 drop=0 speed=2.35x    
frame=   58 fps= 34 q=27.0 size=     188kB time=00:00:03.20 bitrate= 482.6kbits/s dup=1 drop=3 speed= 1.9x    
frame=   68 fps= 31 q=27.0 size=     198kB time=00:00:04.09 bitrate= 396.1kbits/s dup=1 drop=13 speed=1.85x    
frame=   78 fps= 28 q=27.0 size=     236kB time=00:00:04.54 bitrate= 425.1kbits/s dup=1 drop=23 speed=1.65x    
frame=   88 fps= 27 q=27.0 size=     252kB time=00:00:04.99 bitrate= 413.0kbits/s dup=1 drop=31 speed=1.52x    
frame=   99 fps= 26 q=27.0 size=     280kB time=00:00:05.88 bitrate= 389.5kbits/s dup=1 drop=42 speed=1.55x    
frame=  103 fps= 24 q=27.0 size=     444kB time=00:00:05.88 bitrate= 618.1kbits/s dup=1 drop=46 speed=1.36x    
frame=  113 fps= 23 q=27.0 size=     495kB time=00:00:06.78 bitrate= 598.2kbits/s dup=1 drop=56 speed=1.38x    
frame=  121 fps= 22 q=27.0 size=     544kB time=00:00:07.23 bitrate= 616.7kbits/s dup=1 drop=64 speed=1.33x    
frame=  128 fps= 22 q=27.0 size=     624kB time=00:00:07.68 bitrate= 665.3kbits/s dup=1 drop=71 speed=1.29x    
frame=  140 fps= 21 q=27.0 size=     804kB time=00:00:08.57 bitrate= 768.3kbits/s dup=8 drop=74 speed=1.26x    
frame=  148 fps= 20 q=27.0 size=     864kB time=00:00:09.08 bitrate= 779.1kbits/s dup=10 drop=74 speed=1.24x    
frame=  156 fps= 20 q=27.0 size=     937kB time=00:00:09.60 bitrate= 799.7kbits/s dup=10 drop=74 speed=1.21x    
frame=  164 fps= 19 q=27.0 size=     996kB time=00:00:10.11 bitrate= 806.7kbits/s dup=10 drop=74 speed= 1.2x    
frame=  172 fps= 19 q=27.0 size=    1061kB time=00:00:10.68 bitrate= 813.5kbits/s dup=10 drop=74 speed=1.19x    
frame=  182 fps= 19 q=27.0 size=    1105kB time=00:00:11.32 bitrate= 799.3kbits/s dup=10 drop=74 speed=1.19x    
frame=  189 fps= 19 q=27.0 size=    1171kB time=00:00:11.77 bitrate= 814.4kbits/s dup=10 drop=74 speed=1.18x    
frame=  199 fps= 19 q=27.0 size=    1217kB time=00:00:12.48 bitrate= 798.9kbits/s dup=10 drop=74 speed=1.19x    
frame=  209 fps= 19 q=27.0 size=    1288kB time=00:00:13.05 bitrate= 808.4kbits/s dup=10 drop=74 speed=1.18x    
frame=  219 fps= 19 q=27.0 size=    1327kB time=00:00:13.82 bitrate= 786.2kbits/s dup=10 drop=74 speed=1.19x    
frame=  224 fps= 18 q=27.0 size=    1451kB time=00:00:14.14 bitrate= 840.7kbits/s dup=10 drop=74 speed=1.17x    
frame=  232 fps= 18 q=27.0 size=    1536kB time=00:00:14.65 bitrate= 858.7kbits/s dup=10 drop=74 speed=1.16x    
frame=  244 fps= 19 q=27.0 size=    1576kB time=00:00:15.48 bitrate= 833.4kbits/s dup=10 drop=74 speed=1.18x    
frame=  257 fps= 19 q=27.0 size=    1612kB time=00:00:16.32 bitrate= 809.0kbits/s dup=10 drop=74 speed=1.19x    
frame=  268 fps= 19 q=27.0 size=    1665kB time=00:00:17.08 bitrate= 798.3kbits/s dup=10 drop=74 speed= 1.2x    
frame=  281 fps= 19 q=27.0 size=    1699kB time=00:00:17.92 bitrate= 776.6kbits/s dup=10 drop=74 speed=1.22x    
frame=  289 fps= 19 q=27.0 size=    1822kB time=00:00:18.43 bitrate= 809.9kbits/s dup=10 drop=74 speed=1.21x    
frame=  301 fps= 19 q=27.0 size=    2040kB time=00:00:19.26 bitrate= 867.7kbits/s dup=10 drop=74 speed=1.22x    
frame=  314 fps= 19 q=27.0 size=    2088kB time=00:00:20.09 bitrate= 851.1kbits/s dup=11 drop=74 speed=1.23x    
frame=  328 fps= 19 q=27.0 size=    2112kB time=00:00:21.05 bitrate= 821.6kbits/s dup=11 drop=74 speed=1.25x    
frame=  343 fps= 19 q=27.0 size=    2231kB time=00:00:22.08 bitrate= 827.6kbits/s dup=11 drop=74 speed=1.25x    
frame=  352 fps= 19 q=27.0 size=    2326kB time=00:00:22.65 bitrate= 840.9kbits/s dup=13 drop=74 speed=1.24x    
frame=  363 fps= 19 q=27.0 size=    2369kB time=00:00:23.42 bitrate= 828.6kbits/s dup=13 drop=74 speed=1.25x    
frame=  374 fps= 19 q=27.0 size=    2415kB time=00:00:24.12 bitrate= 819.9kbits/s dup=14 drop=74 speed=1.25x    
frame=  386 fps= 19 q=27.0 size=    2442kB time=00:00:24.89 bitrate= 803.4kbits/s dup=14 drop=74 speed=1.26x    
frame=  393 fps= 19 q=27.0 size=    2519kB time=00:00:25.40 bitrate= 812.3kbits/s dup=14 drop=74 speed=1.25x    
frame=  403 fps= 19 q=27.0 size=    2574kB time=00:00:26.04 bitrate= 809.6kbits/s dup=14 drop=74 speed=1.25x    
frame=  410 fps= 19 q=27.0 size=    2714kB time=00:00:26.49 bitrate= 839.1kbits/s dup=14 drop=74 speed=1.24x    
frame=  418 fps= 19 q=27.0 size=    2792kB time=00:00:27.07 bitrate= 845.0kbits/s dup=14 drop=74 speed=1.23x    
frame=  425 fps= 19 q=27.0 size=    2883kB time=00:00:27.52 bitrate= 858.1kbits/s dup=14 drop=74 speed=1.23x    
frame=  435 fps= 19 q=27.0 size=    2925kB time=00:00:28.22 bitrate= 849.0kbits/s dup=14 drop=74 speed=1.23x    
frame=  445 fps= 19 q=27.0 size=    2981kB time=00:00:28.86 bitrate= 846.1kbits/s dup=14 drop=74 speed=1.23x    
frame=  453 fps= 19 q=27.0 size=    3040kB time=00:00:29.37 bitrate= 847.7kbits/s dup=14 drop=74 speed=1.22x    
frame=  461 fps= 19 q=27.0 size=    3109kB time=00:00:29.95 bitrate= 850.5kbits/s dup=14 drop=74 speed=1.22x    
frame=  467 fps= 19 q=27.0 size=    3277kB time=00:00:30.33 bitrate= 884.8kbits/s dup=14 drop=74 speed=1.21x    
frame=  479 fps= 19 q=27.0 size=    3311kB time=00:00:31.10 bitrate= 872.0kbits/s dup=14 drop=74 speed=1.21x    
frame=  493 fps= 19 q=27.0 size=    3330kB time=00:00:32.06 bitrate= 850.7kbits/s dup=14 drop=74 speed=1.23x    
frame=  507 fps= 19 q=27.0 size=    3344kB time=00:00:33.02 bitrate= 829.6kbits/s dup=14 drop=74 speed=1.24x    
frame=  520 fps= 19 q=27.0 size=    3370kB time=00:00:33.85 bitrate= 815.4kbits/s dup=14 drop=74 speed=1.24x    
frame=  525 fps= 19 q=27.0 size=    3504kB time=00:00:34.17 bitrate= 840.0kbits/s dup=14 drop=74 speed=1.23x    
frame=  538 fps= 19 q=27.0 size=    3527kB time=00:00:35.07 bitrate= 823.8kbits/s dup=14 drop=74 speed=1.24x    
frame=  548 fps= 19 q=27.0 size=    3803kB time=00:00:35.71 bitrate= 872.3kbits/s dup=14 drop=74 speed=1.24x    
frame=  561 fps= 19 q=27.0 size=    3841kB time=00:00:36.60 bitrate= 859.4kbits/s dup=14 drop=74 speed=1.25x    
frame=  575 fps= 19 q=27.0 size=    3867kB time=00:00:37.50 bitrate= 844.6kbits/s dup=16 drop=74 speed=1.26x    
frame=  585 fps= 19 q=27.0 size=    3997kB time=00:00:38.20 bitrate= 856.9kbits/s dup=16 drop=74 speed=1.25x    
frame=  596 fps= 19 q=27.0 size=    4064kB time=00:00:38.65 bitrate= 861.3kbits/s dup=16 drop=74 speed=1.24x    
frame=  607 fps= 19 q=27.0 size=    4079kB time=00:00:39.42 bitrate= 847.5kbits/s dup=16 drop=85 speed=1.25x    
frame=  615 fps= 19 q=27.0 size=    4141kB time=00:00:39.93 bitrate= 849.4kbits/s dup=16 drop=93 speed=1.24x    
frame=  621 fps= 19 q=27.0 size=    4218kB time=00:00:40.32 bitrate= 857.0kbits/s dup=16 drop=99 speed=1.23x    
frame=  631 fps= 19 q=27.0 size=    4241kB time=00:00:41.02 bitrate= 846.8kbits/s dup=16 drop=109 speed=1.24x    
frame=  640 fps= 19 q=27.0 size=    4276kB time=00:00:41.60 bitrate= 842.1kbits/s dup=16 drop=117 speed=1.23x    
frame=  645 fps= 19 q=27.0 size=    4422kB time=00:00:41.92 bitrate= 864.2kbits/s dup=16 drop=122 speed=1.22x    
frame=  653 fps= 19 q=27.0 size=    4455kB time=00:00:42.49 bitrate= 858.7kbits/s dup=16 drop=130 speed=1.22x    
frame=  662 fps= 19 q=27.0 size=    4496kB time=00:00:43.07 bitrate= 855.1kbits/s dup=16 drop=139 speed=1.22x    
frame=  670 fps= 19 q=27.0 size=    4537kB time=00:00:43.58 bitrate= 852.7kbits/s dup=16 drop=147 speed=1.22x    
frame=  677 fps= 19 q=27.0 size=    4646kB time=00:00:44.16 bitrate= 861.8kbits/s dup=16 drop=149 speed=1.22x    
frame=  686 fps= 19 q=27.0 size=    4717kB time=00:00:44.73 bitrate= 863.8kbits/s dup=16 drop=149 speed=1.21x    
frame=  694 fps= 19 q=27.0 size=    4785kB time=00:00:45.31 bitrate= 865.0kbits/s dup=16 drop=149 speed=1.21x    
frame=  701 fps= 19 q=27.0 size=    4849kB time=00:00:45.76 bitrate= 868.2kbits/s dup=16 drop=149 speed=1.21x    
frame=  710 fps= 18 q=27.0 size=    4920kB time=00:00:46.33 bitrate= 869.9kbits/s dup=16 drop=149 speed=1.21x    
frame=  718 fps= 18 q=27.0 size=    4982kB time=00:00:46.91 bitrate= 870.0kbits/s dup=16 drop=149 speed=1.21x    
frame=  726 fps= 18 q=27.0 size=    5034kB time=00:00:47.42 bitrate= 869.6kbits/s dup=16 drop=149 speed= 1.2x    
frame=  735 fps= 18 q=27.0 size=    5068kB time=00:00:47.93 bitrate= 866.2kbits/s dup=16 drop=155 speed= 1.2x    
frame=  744 fps= 18 q=27.0 size=    5093kB time=00:00:48.51 bitrate= 860.0kbits/s dup=16 drop=164 speed= 1.2x    
frame=  753 fps= 18 q=27.0 size=    5235kB time=00:00:49.15 bitrate= 872.5kbits/s dup=16 drop=171 speed=1.19x    
frame=  762 fps= 18 q=27.0 size=    5258kB time=00:00:49.79 bitrate= 865.1kbits/s dup=16 drop=178 speed=1.19x    
frame=  768 fps= 18 q=27.0 size=    5349kB time=00:00:50.11 bitrate= 874.3kbits/s dup=16 drop=184 speed=1.18x    
frame=  772 fps= 18 q=27.0 size=    5439kB time=00:00:50.43 bitrate= 883.5kbits/s dup=16 drop=188 speed=1.18x    
frame=  781 fps= 18 q=27.0 size=    5493kB time=00:00:51.00 bitrate= 882.2kbits/s dup=16 drop=197 speed=1.18x    
frame=  788 fps= 18 q=27.0 size=    5544kB time=00:00:51.45 bitrate= 882.7kbits/s dup=16 drop=204 speed=1.17x    
frame=  794 fps= 18 q=27.0 size=    5716kB time=00:00:51.84 bitrate= 903.2kbits/s dup=16 drop=210 speed=1.16x    
frame=  803 fps= 18 q=27.0 size=    5989kB time=00:00:52.48 bitrate= 934.8kbits/s dup=16 drop=219 speed=1.16x    
frame=  813 fps= 18 q=27.0 size=    6037kB time=00:00:53.24 bitrate= 928.7kbits/s dup=16 drop=224 speed=1.17x    
frame=  824 fps= 18 q=27.0 size=    6081kB time=00:00:54.01 bitrate= 922.3kbits/s dup=16 drop=224 speed=1.17x    
frame=  830 fps= 18 q=27.0 size=    6230kB time=00:00:54.40 bitrate= 938.2kbits/s dup=16 drop=224 speed=1.16x    
frame=  842 fps= 18 q=27.0 size=    6297kB time=00:00:55.23 bitrate= 934.0kbits/s dup=20 drop=224 speed=1.17x    
frame=  851 fps= 18 q=27.0 size=    6373kB time=00:00:55.61 bitrate= 938.7kbits/s dup=20 drop=226 speed=1.16x    
frame=  859 fps= 18 q=27.0 size=    6405kB time=00:00:56.19 bitrate= 933.8kbits/s dup=20 drop=234 speed=1.16x    
frame=  867 fps= 18 q=27.0 size=    6423kB time=00:00:56.70 bitrate= 928.0kbits/s dup=20 drop=242 speed=1.16x    
frame=  875 fps= 18 q=27.0 size=    6457kB time=00:00:57.28 bitrate= 923.4kbits/s dup=20 drop=250 speed=1.16x    
frame=  880 fps= 18 q=27.0 size=    6544kB time=00:00:57.60 bitrate= 930.8kbits/s dup=20 drop=255 speed=1.15x    
frame=  887 fps= 17 q=27.0 size=    6677kB time=00:00:58.04 bitrate= 942.3kbits/s dup=20 drop=262 speed=1.14x    
frame=  894 fps= 17 q=27.0 size=    6733kB time=00:00:58.56 bitrate= 941.9kbits/s dup=20 drop=268 speed=1.14x    
frame=  899 fps= 17 q=27.0 size=    6846kB time=00:00:58.88 bitrate= 952.4kbits/s dup=20 drop=273 speed=1.13x    
frame=  905 fps= 17 q=27.0 size=    6974kB time=00:00:59.26 bitrate= 964.0kbits/s dup=20 drop=279 speed=1.13x    
frame=  909 fps= 17 q=27.0 size=    7099kB time=00:00:59.58 bitrate= 976.0kbits/s dup=20 drop=283 speed=1.12x    
frame=  916 fps= 17 q=27.0 size=    7205kB time=00:00:59.96 bitrate= 984.2kbits/s dup=20 drop=290 speed=1.12x    
frame=  922 fps= 17 q=27.0 size=    7291kB time=00:01:00.41 bitrate= 988.6kbits/s dup=20 drop=296 speed=1.11x    
frame=  928 fps= 17 q=27.0 size=    7389kB time=00:01:00.73 bitrate= 996.6kbits/s dup=20 drop=302 speed=1.11x    
frame=  934 fps= 17 q=27.0 size=    7478kB time=00:01:01.18 bitrate=1001.3kbits/s dup=20 drop=308 speed= 1.1x    
frame=  941 fps= 17 q=27.0 size=    7557kB time=00:01:01.69 bitrate=1003.4kbits/s dup=20 drop=314 speed= 1.1x    
frame=  947 fps= 17 q=27.0 size=    7683kB time=00:01:02.27 bitrate=1010.7kbits/s dup=22 drop=316 speed= 1.1x    
frame=  953 fps= 17 q=27.0 size=    7768kB time=00:01:02.72 bitrate=1014.6kbits/s dup=25 drop=316 speed= 1.1x    
frame=  961 fps= 17 q=27.0 size=    7868kB time=00:01:03.23 bitrate=1019.3kbits/s dup=25 drop=316 speed= 1.1x    
frame=  968 fps= 17 q=27.0 size=    7952kB time=00:01:03.68 bitrate=1023.0kbits/s dup=25 drop=316 speed=1.09x    
frame=  973 fps= 17 q=27.0 size=    8069kB time=00:01:04.00 bitrate=1032.8kbits/s dup=25 drop=316 speed=1.09x    
frame=  981 fps= 17 q=27.0 size=    8156kB time=00:01:04.70 bitrate=1032.6kbits/s dup=26 drop=316 speed=1.09x    
frame=  988 fps= 17 q=27.0 size=    8258kB time=00:01:05.02 bitrate=1040.3kbits/s dup=28 drop=316 speed=1.09x    
frame=  993 fps= 16 q=27.0 size=    8393kB time=00:01:05.34 bitrate=1052.2kbits/s dup=28 drop=316 speed=1.08x    
frame= 1003 fps= 16 q=27.0 size=    8458kB time=00:01:06.04 bitrate=1049.0kbits/s dup=28 drop=316 speed=1.08x    
frame= 1009 fps= 16 q=27.0 size=    8540kB time=00:01:06.43 bitrate=1053.1kbits/s dup=28 drop=316 speed=1.08x    
frame= 1015 fps= 16 q=27.0 size=    8621kB time=00:01:06.81 bitrate=1057.0kbits/s dup=28 drop=316 speed=1.08x    
frame= 1021 fps= 16 q=27.0 size=    8755kB time=00:01:07.20 bitrate=1067.2kbits/s dup=28 drop=316 speed=1.07x    
frame= 1028 fps= 16 q=27.0 size=    8873kB time=00:01:07.71 bitrate=1073.5kbits/s dup=28 drop=316 speed=1.07x    
frame= 1034 fps= 16 q=27.0 size=    8981kB time=00:01:08.09 bitrate=1080.5kbits/s dup=28 drop=316 speed=1.07x    
frame= 1044 fps= 16 q=27.0 size=    9061kB time=00:01:08.73 bitrate=1080.0kbits/s dup=28 drop=316 speed=1.07x    
frame= 1055 fps= 16 q=27.0 size=    9323kB time=00:01:09.50 bitrate=1098.8kbits/s dup=28 drop=316 speed=1.07x    
frame= 1065 fps= 16 q=27.0 size=    9426kB time=00:01:10.14 bitrate=1100.9kbits/s dup=28 drop=316 speed=1.07x    
frame= 1074 fps= 16 q=27.0 size=    9519kB time=00:01:10.78 bitrate=1101.7kbits/s dup=29 drop=316 speed=1.07x    
frame= 1080 fps= 16 q=27.0 size=    9662kB time=00:01:11.16 bitrate=1112.2kbits/s dup=29 drop=316 speed=1.07x    
frame= 1086 fps= 16 q=27.0 size=    9809kB time=00:01:11.55 bitrate=1123.0kbits/s dup=29 drop=316 speed=1.07x    
frame= 1095 fps= 16 q=27.0 size=    9896kB time=00:01:12.19 bitrate=1123.0kbits/s dup=29 drop=316 speed=1.07x    
frame= 1104 fps= 16 q=27.0 size=    9961kB time=00:01:12.76 bitrate=1121.4kbits/s dup=29 drop=316 speed=1.07x    
frame= 1109 fps= 16 q=27.0 size=   10034kB time=00:01:13.08 bitrate=1124.6kbits/s dup=29 drop=316 speed=1.06x    
frame= 1116 fps= 16 q=27.0 size=   10122kB time=00:01:13.53 bitrate=1127.6kbits/s dup=29 drop=316 speed=1.06x    
frame= 1121 fps= 16 q=27.0 size=   10256kB time=00:01:13.92 bitrate=1136.6kbits/s dup=29 drop=316 speed=1.06x    
frame= 1133 fps= 16 q=27.0 size=   10283kB time=00:01:14.68 bitrate=1127.8kbits/s dup=30 drop=316 speed=1.06x    
frame= 1141 fps= 16 q=27.0 size=   10403kB time=00:01:15.20 bitrate=1133.2kbits/s dup=30 drop=316 speed=1.06x    
frame= 1154 fps= 16 q=27.0 size=   10421kB time=00:01:16.09 bitrate=1121.9kbits/s dup=30 drop=316 speed=1.06x    
frame= 1165 fps= 16 q=27.0 size=   10465kB time=00:01:16.80 bitrate=1116.2kbits/s dup=30 drop=316 speed=1.07x    
frame= 1171 fps= 16 q=27.0 size=   10567kB time=00:01:17.24 bitrate=1120.6kbits/s dup=30 drop=316 speed=1.07x    
frame= 1177 fps= 16 q=27.0 size=   10663kB time=00:01:17.63 bitrate=1125.2kbits/s dup=31 drop=316 speed=1.06x    
frame= 1184 fps= 16 q=27.0 size=   10754kB time=00:01:18.08 bitrate=1128.3kbits/s dup=31 drop=316 speed=1.06x    
frame= 1192 fps= 16 q=27.0 size=   10821kB time=00:01:18.65 bitrate=1127.0kbits/s dup=31 drop=316 speed=1.06x    
frame= 1199 fps= 16 q=27.0 size=   10891kB time=00:01:19.10 bitrate=1127.8kbits/s dup=31 drop=316 speed=1.06x    
frame= 1205 fps= 16 q=27.0 size=   11020kB time=00:01:19.48 bitrate=1135.8kbits/s dup=31 drop=316 speed=1.06x    
frame= 1213 fps= 16 q=27.0 size=   11095kB time=00:01:20.00 bitrate=1136.2kbits/s dup=32 drop=316 speed=1.06x    
frame= 1220 fps= 16 q=27.0 size=   11220kB time=00:01:20.51 bitrate=1141.7kbits/s dup=32 drop=316 speed=1.05x    
frame= 1227 fps= 16 q=27.0 size=   11324kB time=00:01:20.96 bitrate=1145.9kbits/s dup=32 drop=316 speed=1.05x    
frame= 1234 fps= 16 q=27.0 size=   11409kB time=00:01:21.40 bitrate=1148.1kbits/s dup=32 drop=316 speed=1.05x    
frame= 1242 fps= 16 q=27.0 size=   11504kB time=00:01:21.98 bitrate=1149.5kbits/s dup=32 drop=316 speed=1.05x    
frame= 1251 fps= 16 q=27.0 size=   11590kB time=00:01:22.56 bitrate=1150.0kbits/s dup=32 drop=316 speed=1.05x    
frame= 1261 fps= 16 q=27.0 size=   11732kB time=00:01:23.20 bitrate=1155.2kbits/s dup=32 drop=316 speed=1.05x    
frame= 1275 fps= 16 q=27.0 size=   11750kB time=00:01:24.16 bitrate=1143.8kbits/s dup=32 drop=316 speed=1.05x    
frame= 1289 fps= 16 q=27.0 size=   11790kB time=00:01:25.12 bitrate=1134.7kbits/s dup=32 drop=316 speed=1.06x    
frame= 1300 fps= 16 q=27.0 size=   12018kB time=00:01:25.82 bitrate=1147.1kbits/s dup=32 drop=316 speed=1.06x    
frame= 1312 fps= 16 q=27.0 size=   12061kB time=00:01:26.65 bitrate=1140.2kbits/s dup=32 drop=316 speed=1.06x    
frame= 1323 fps= 16 q=27.0 size=   12194kB time=00:01:27.36 bitrate=1143.4kbits/s dup=32 drop=316 speed=1.06x    
frame= 1336 fps= 16 q=27.0 size=   12240kB time=00:01:28.19 bitrate=1137.0kbits/s dup=32 drop=316 speed=1.07x    
frame= 1347 fps= 16 q=27.0 size=   12288kB time=00:01:28.96 bitrate=1131.5kbits/s dup=32 drop=316 speed=1.07x    
frame= 1361 fps= 16 q=27.0 size=   12316kB time=00:01:29.92 bitrate=1122.0kbits/s dup=32 drop=316 speed=1.07x    
frame= 1374 fps= 16 q=27.0 size=   12353kB time=00:01:30.75 bitrate=1115.1kbits/s dup=32 drop=316 speed=1.08x    
frame= 1382 fps= 16 q=27.0 size=   12482kB time=00:01:31.26 bitrate=1120.4kbits/s dup=32 drop=316 speed=1.07x    
frame= 1396 fps= 16 q=27.0 size=   12507kB time=00:01:32.16 bitrate=1111.7kbits/s dup=32 drop=316 speed=1.08x    
frame= 1410 fps= 16 q=27.0 size=   12530kB time=00:01:33.37 bitrate=1099.3kbits/s dup=39 drop=316 speed=1.09x    
frame= 1423 fps= 16 q=27.0 size=   12551kB time=00:01:34.01 bitrate=1093.6kbits/s dup=42 drop=316 speed=1.09x    
frame= 1437 fps= 17 q=27.0 size=   12574kB time=00:01:34.97 bitrate=1084.5kbits/s dup=42 drop=316 speed=1.09x    
frame= 1445 fps= 16 q=27.0 size=   12715kB time=00:01:35.48 bitrate=1090.9kbits/s dup=42 drop=316 speed=1.09x    
frame= 1455 fps= 16 q=27.0 size=   12862kB time=00:01:36.19 bitrate=1095.4kbits/s dup=42 drop=316 speed=1.09x    
frame= 1464 fps= 16 q=27.0 size=   12926kB time=00:01:36.76 bitrate=1094.3kbits/s dup=42 drop=316 speed=1.09x    
frame= 1469 fps= 16 q=27.0 size=   13021kB time=00:01:37.08 bitrate=1098.7kbits/s dup=42 drop=316 speed=1.08x    
frame= 1477 fps= 16 q=27.0 size=   13116kB time=00:01:37.60 bitrate=1100.8kbits/s dup=42 drop=316 speed=1.08x    
frame= 1484 fps= 16 q=27.0 size=   13187kB time=00:01:38.11 bitrate=1101.1kbits/s dup=43 drop=316 speed=1.08x    
