ffmpeg version 3.1.7 Copyright (c) 2000-2017 the FFmpeg developers
  built with gcc 5.4.0 (GCC)
  configuration: --disable-static --prefix=/cvmfs/soft.computecanada.ca/nix/store/n7qiyrcpyixibg8mijm826nb3hdb23j1-ffmpeg-3.1.7 --enable-gpl --enable-version3 --enable-shared --disable-static --enable-pic --enable-runtime-cpudetect --enable-hardcoded-tables --enable-pthreads --disable-w32threads --disable-os2threads --enable-network --enable-pixelutils --enable-ffmpeg --disable-ffplay --enable-ffprobe --disable-ffserver --enable-avcodec --enable-avdevice --enable-avfilter --enable-avformat --enable-avresample --enable-avutil --enable-postproc --enable-swresample --enable-swscale --disable-doc --enable-bzlib --enable-gnutls --enable-fontconfig --enable-libfreetype --enable-libmp3lame --enable-iconv --enable-libtheora --enable-vaapi --enable-vdpau --enable-libvorbis --enable-libvpx --enable-lzma --disable-opengl --enable-libpulse --enable-sdl --enable-libsoxr --enable-libx264 --enable-libxvid --enable-zlib --enable-libopus --enable-libx265 --disable-debug --enable-optimizations --disable-extra-warnings --disable-stripping
  libavutil      55. 28.100 / 55. 28.100
  libavcodec     57. 48.101 / 57. 48.101
  libavformat    57. 41.100 / 57. 41.100
  libavdevice    57.  0.101 / 57.  0.101
  libavfilter     6. 47.100 /  6. 47.100
  libavresample   3.  0.  0 /  3.  0.  0
  libswscale      4.  1.100 /  4.  1.100
  libswresample   2.  1.100 /  2.  1.100
  libpostproc    54.  0.100 / 54.  0.100
Input #0, mov,mp4,m4a,3gp,3g2,mj2, from '/project/6001934/lingheng/ROM_Video_Process/ROM_raw_videos/Sep_17/Camera1_Sep_17_1300_1400_Parameterized_Learning_Agent.mp4':
  Metadata:
    major_brand     : isom
    minor_version   : 1
    compatible_brands: isom
    creation_time   : 2018-09-18 16:20:46
  Duration: 01:00:00.83, start: 0.000000, bitrate: 700 kb/s
    Stream #0:0(und): Video: h264 (Main) (avc1 / 0x31637661), yuvj420p(pc, bt709), 1920x1080 [SAR 1:1 DAR 16:9], 680 kb/s, 25.52 fps, 30 tbr, 16k tbn, 60 tbc (default)
    Metadata:
      handler_name    : VideoHandler
    Stream #0:1(und): Audio: aac (LC) (mp4a / 0x6134706D), 16000 Hz, mono, fltp, 16 kb/s (default)
    Metadata:
      creation_time   : 2018-09-18 16:20:53
      handler_name    : GPAC ISO Audio Handler
    Stream #0:2(eng): Subtitle: mov_text (tx3g / 0x67337874), 800x60, 0 kb/s (default)
    Metadata:
      rotate          : 0
      creation_time   : 2018-09-18 16:20:53
      handler_name    : 35e66620714e4a6d9b3d18f70c50fc4a.subtitles.ttxt:hdlr=sbtl:lang=en:group=2:layer=1 - Imported with GPAC 0.5.0-rev4065
Input #1, png_pipe, from '/project/6001934/lingheng/ROM_Video_Process/Openpose_Video_Analysis_Code/camera1_transparent_img.png':
  Duration: N/A, bitrate: N/A
    Stream #1:0: Video: png, rgba(pc), 1920x1080, 25 tbr, 25 tbn, 25 tbc
[swscaler @ 0xf8e240] deprecated pixel format used, make sure you did set range correctly
[avi @ 0xd54f40] Using AVStream.codec to pass codec parameters to muxers is deprecated, use AVStream.codecpar instead.
    Last message repeated 1 times
Output #0, avi, to '/project/6001934/lingheng/ROM_Video_Process/ROM_raw_videos_with_interst_area_ffmpeg_new/Sep_17/Camera1_Sep_17_1300_1400_Parameterized_Learning_Agent_ffmpeg_with_interest_area.avi':
  Metadata:
    major_brand     : isom
    minor_version   : 1
    compatible_brands: isom
    ISFT            : Lavf57.41.100
    Stream #0:0: Video: mpeg4 (FMP4 / 0x34504D46), yuv420p, 1920x1080 [SAR 1:1 DAR 16:9], q=2-31, 200 kb/s, 30 fps, 30 tbn, 30 tbc (default)
    Metadata:
      encoder         : Lavc57.48.101 mpeg4
    Side data:
      cpb: bitrate max/min/avg: 0/0/200000 buffer size: 0 vbv_delay: -1
    Stream #0:1(und): Audio: aac (LC) ([255][0][0][0] / 0x00FF), 16000 Hz, mono, 16 kb/s (default)
    Metadata:
      creation_time   : 2018-09-18 16:20:53
      handler_name    : GPAC ISO Audio Handler
Stream mapping:
  Stream #0:0 (h264) -> overlay:main
  Stream #1:0 (png) -> overlay:overlay
  overlay -> Stream #0:0 (mpeg4)
  Stream #0:1 -> #0:1 (copy)
Press [q] to stop, [?] for help
frame=   14 fps=0.0 q=27.5 size=      10kB time=00:00:00.50 bitrate= 159.8kbits/s speed=0.987x    
frame=   32 fps= 32 q=31.0 size=     373kB time=00:00:01.10 bitrate=2780.6kbits/s speed=1.09x    
frame=   53 fps= 35 q=31.0 size=     438kB time=00:00:01.80 bitrate=1995.0kbits/s speed=1.18x    
frame=   78 fps= 38 q=31.0 size=     569kB time=00:00:02.63 bitrate=1770.9kbits/s speed=1.29x    
frame=  103 fps= 40 q=31.0 size=     631kB time=00:00:03.46 bitrate=1490.0kbits/s speed=1.36x    
frame=  126 fps= 41 q=31.0 size=     753kB time=00:00:04.23 bitrate=1456.3kbits/s speed=1.38x    
frame=  149 fps= 42 q=31.0 size=     857kB time=00:00:05.00 bitrate=1404.0kbits/s speed= 1.4x    
frame=  175 fps= 43 q=31.0 size=     984kB time=00:00:05.86 bitrate=1374.0kbits/s speed=1.44x    
frame=  200 fps= 44 q=31.0 size=    1120kB time=00:00:06.70 bitrate=1368.8kbits/s speed=1.46x    
frame=  224 fps= 44 q=31.0 size=    1246kB time=00:00:07.50 bitrate=1361.0kbits/s speed=1.47x    
frame=  250 fps= 44 q=31.0 size=    1368kB time=00:00:08.36 bitrate=1339.1kbits/s speed=1.49x    
frame=  275 fps= 45 q=31.0 size=    1491kB time=00:00:09.20 bitrate=1327.7kbits/s speed= 1.5x    
frame=  299 fps= 45 q=31.0 size=    1621kB time=00:00:10.03 bitrate=1323.2kbits/s speed=1.51x    
frame=  324 fps= 45 q=31.0 size=    1757kB time=00:00:10.86 bitrate=1324.2kbits/s speed=1.52x    
frame=  349 fps= 46 q=24.8 size=    1875kB time=00:00:11.70 bitrate=1312.7kbits/s speed=1.53x    
frame=  374 fps= 46 q=31.0 size=    1993kB time=00:00:12.53 bitrate=1302.6kbits/s speed=1.53x    
frame=  399 fps= 46 q=31.0 size=    2115kB time=00:00:13.36 bitrate=1296.4kbits/s speed=1.54x    
frame=  424 fps= 46 q=31.0 size=    2237kB time=00:00:14.20 bitrate=1290.8kbits/s speed=1.54x    
frame=  449 fps= 46 q=31.0 size=    2399kB time=00:00:15.03 bitrate=1307.4kbits/s speed=1.55x    
frame=  474 fps= 46 q=31.0 size=    2522kB time=00:00:15.86 bitrate=1302.3kbits/s speed=1.55x    
frame=  499 fps= 47 q=31.0 size=    2643kB time=00:00:16.70 bitrate=1296.3kbits/s speed=1.56x    
frame=  524 fps= 47 q=31.0 size=    2764kB time=00:00:17.53 bitrate=1291.2kbits/s speed=1.56x    
frame=  548 fps= 47 q=31.0 size=    2882kB time=00:00:18.36 bitrate=1285.2kbits/s speed=1.56x    
frame=  573 fps= 47 q=31.0 size=    3010kB time=00:00:19.20 bitrate=1284.1kbits/s speed=1.56x    
frame=  598 fps= 47 q=31.0 size=    3130kB time=00:00:20.03 bitrate=1279.9kbits/s speed=1.57x    
frame=  623 fps= 47 q=31.0 size=    3248kB time=00:00:20.86 bitrate=1275.2kbits/s speed=1.57x    
frame=  648 fps= 47 q=31.0 size=    3375kB time=00:00:21.70 bitrate=1274.1kbits/s speed=1.57x    
frame=  673 fps= 47 q=24.8 size=    3500kB time=00:00:22.53 bitrate=1272.3kbits/s speed=1.57x    
frame=  696 fps= 47 q=31.0 size=    3622kB time=00:00:23.36 bitrate=1269.9kbits/s speed=1.58x    
frame=  721 fps= 47 q=24.8 size=    3773kB time=00:00:24.20 bitrate=1277.3kbits/s speed=1.58x    
frame=  745 fps= 47 q=24.8 size=    3898kB time=00:00:25.00 bitrate=1277.2kbits/s speed=1.58x    
frame=  769 fps= 47 q=24.8 size=    4015kB time=00:00:25.80 bitrate=1274.7kbits/s speed=1.58x    
frame=  793 fps= 47 q=24.8 size=    4137kB time=00:00:26.60 bitrate=1274.1kbits/s speed=1.58x    
frame=  819 fps= 47 q=31.0 size=    4258kB time=00:00:27.50 bitrate=1268.3kbits/s speed=1.58x    
frame=  844 fps= 47 q=31.0 size=    4384kB time=00:00:28.33 bitrate=1267.5kbits/s speed=1.58x    
frame=  867 fps= 47 q=31.0 size=    4502kB time=00:00:29.10 bitrate=1267.4kbits/s speed=1.58x    
frame=  892 fps= 47 q=31.0 size=    4625kB time=00:00:29.93 bitrate=1265.9kbits/s speed=1.58x    
frame=  917 fps= 47 q=31.0 size=    4791kB time=00:00:30.76 bitrate=1275.6kbits/s speed=1.58x    
frame=  942 fps= 47 q=31.0 size=    4916kB time=00:00:31.60 bitrate=1274.3kbits/s speed=1.59x    
frame=  967 fps= 47 q=31.0 size=    5037kB time=00:00:32.43 bitrate=1272.4kbits/s speed=1.59x    
frame=  988 fps= 47 q=31.0 size=    5113kB time=00:00:33.13 bitrate=1264.0kbits/s speed=1.58x    
frame= 1013 fps= 47 q=31.0 size=    5263kB time=00:00:33.96 bitrate=1269.3kbits/s speed=1.58x    
frame= 1036 fps= 47 q=31.0 size=    5442kB time=00:00:34.80 bitrate=1281.0kbits/s speed=1.58x    
frame= 1061 fps= 47 q=31.0 size=    5594kB time=00:00:35.63 bitrate=1286.1kbits/s speed=1.58x    
frame= 1086 fps= 47 q=31.0 size=    5680kB time=00:00:36.46 bitrate=1276.0kbits/s speed=1.59x    
frame= 1109 fps= 47 q=31.0 size=    5843kB time=00:00:37.23 bitrate=1285.5kbits/s speed=1.59x    
frame= 1132 fps= 47 q=31.0 size=    5924kB time=00:00:38.00 bitrate=1277.0kbits/s speed=1.58x    
frame= 1155 fps= 47 q=31.0 size=    6043kB time=00:00:38.76 bitrate=1277.0kbits/s speed=1.58x    
frame= 1178 fps= 47 q=31.0 size=    6162kB time=00:00:39.53 bitrate=1276.8kbits/s speed=1.58x    
frame= 1203 fps= 47 q=31.0 size=    6275kB time=00:00:40.36 bitrate=1273.5kbits/s speed=1.58x    
frame= 1226 fps= 47 q=31.0 size=    6391kB time=00:00:41.20 bitrate=1270.8kbits/s speed=1.58x    
frame= 1251 fps= 47 q=31.0 size=    6528kB time=00:00:42.03 bitrate=1272.2kbits/s speed=1.58x    
frame= 1276 fps= 47 q=31.0 size=    6652kB time=00:00:42.86 bitrate=1271.2kbits/s speed=1.58x    
frame= 1301 fps= 47 q=31.0 size=    6771kB time=00:00:43.70 bitrate=1269.2kbits/s speed=1.58x    
frame= 1324 fps= 47 q=31.0 size=    6890kB time=00:00:44.46 bitrate=1269.3kbits/s speed=1.58x    
frame= 1349 fps= 47 q=31.0 size=    7048kB time=00:00:45.30 bitrate=1274.5kbits/s speed=1.58x    
frame= 1372 fps= 47 q=31.0 size=    7124kB time=00:00:46.06 bitrate=1266.8kbits/s speed=1.58x    
frame= 1397 fps= 47 q=31.0 size=    7247kB time=00:00:46.90 bitrate=1265.8kbits/s speed=1.58x    
frame= 1420 fps= 47 q=31.0 size=    7365kB time=00:00:47.66 bitrate=1265.8kbits/s speed=1.58x    
frame= 1444 fps= 47 q=31.0 size=    7486kB time=00:00:48.46 bitrate=1265.3kbits/s speed=1.58x    
frame= 1468 fps= 47 q=31.0 size=    7607kB time=00:00:49.26 bitrate=1264.9kbits/s speed=1.58x    
frame= 1490 fps= 47 q=31.0 size=    7722kB time=00:00:50.03 bitrate=1264.4kbits/s speed=1.58x    
frame= 1513 fps= 47 q=24.8 size=    7853kB time=00:00:50.80 bitrate=1266.4kbits/s speed=1.58x    
frame= 1538 fps= 47 q=31.0 size=    7973kB time=00:00:51.63 bitrate=1264.9kbits/s speed=1.58x    
frame= 1561 fps= 47 q=24.8 size=    8092kB time=00:00:52.40 bitrate=1265.0kbits/s speed=1.58x    
frame= 1584 fps= 47 q=31.0 size=    8204kB time=00:00:53.16 bitrate=1264.1kbits/s speed=1.58x    
frame= 1607 fps= 47 q=31.0 size=    8326kB time=00:00:53.93 bitrate=1264.7kbits/s speed=1.58x    
frame= 1632 fps= 47 q=31.0 size=    8450kB time=00:00:54.76 bitrate=1263.9kbits/s speed=1.58x    
frame= 1650 fps= 47 q=31.0 size=    8564kB time=00:00:55.36 bitrate=1267.1kbits/s speed=1.57x    
frame= 1667 fps= 47 q=31.0 size=    8628kB time=00:00:55.93 bitrate=1263.7kbits/s speed=1.57x    
frame= 1682 fps= 46 q=31.0 size=    8692kB time=00:00:56.43 bitrate=1261.7kbits/s speed=1.56x    
frame= 1701 fps= 46 q=31.0 size=    8808kB time=00:00:57.06 bitrate=1264.5kbits/s speed=1.55x    
frame= 1721 fps= 46 q=31.0 size=    8881kB time=00:00:57.73 bitrate=1260.2kbits/s speed=1.55x    
frame= 1744 fps= 46 q=31.0 size=    9002kB time=00:00:58.50 bitrate=1260.5kbits/s speed=1.55x    
frame= 1769 fps= 46 q=31.0 size=    9125kB time=00:00:59.33 bitrate=1259.9kbits/s speed=1.55x    
frame= 1794 fps= 46 q=31.0 size=    9249kB time=00:01:00.16 bitrate=1259.3kbits/s speed=1.55x    
frame= 1819 fps= 46 q=31.0 size=    9410kB time=00:01:01.00 bitrate=1263.7kbits/s speed=1.55x    
frame= 1842 fps= 46 q=31.0 size=    9536kB time=00:01:01.76 bitrate=1264.8kbits/s speed=1.55x    
frame= 1867 fps= 46 q=31.0 size=    9659kB time=00:01:02.60 bitrate=1264.0kbits/s speed=1.55x    
frame= 1893 fps= 46 q=31.0 size=    9783kB time=00:01:03.46 bitrate=1262.8kbits/s speed=1.55x    
frame= 1918 fps= 46 q=31.0 size=    9909kB time=00:01:04.30 bitrate=1262.5kbits/s speed=1.55x    
frame= 1939 fps= 46 q=31.0 size=   10029kB time=00:01:05.00 bitrate=1263.9kbits/s speed=1.55x    
frame= 1963 fps= 46 q=31.0 size=   10147kB time=00:01:05.80 bitrate=1263.2kbits/s speed=1.55x    
frame= 1987 fps= 46 q=31.0 size=   10267kB time=00:01:06.60 bitrate=1262.9kbits/s speed=1.55x    
frame= 2012 fps= 46 q=31.0 size=   10386kB time=00:01:07.43 bitrate=1261.8kbits/s speed=1.55x    
frame= 2037 fps= 46 q=31.0 size=   10500kB time=00:01:08.26 bitrate=1260.0kbits/s speed=1.56x    
frame= 2060 fps= 46 q=31.0 size=   10614kB time=00:01:09.03 bitrate=1259.6kbits/s speed=1.55x    
frame= 2085 fps= 46 q=31.0 size=   10730kB time=00:01:09.86 bitrate=1258.1kbits/s speed=1.56x    
frame= 2109 fps= 46 q=31.0 size=   10851kB time=00:01:10.66 bitrate=1257.9kbits/s speed=1.56x    
frame= 2133 fps= 46 q=31.0 size=   10969kB time=00:01:11.46 bitrate=1257.3kbits/s speed=1.56x    
frame= 2156 fps= 46 q=31.0 size=   11089kB time=00:01:12.23 bitrate=1257.6kbits/s speed=1.56x    
frame= 2181 fps= 46 q=31.0 size=   11206kB time=00:01:13.06 bitrate=1256.3kbits/s speed=1.56x    
frame= 2206 fps= 47 q=31.0 size=   11327kB time=00:01:13.90 bitrate=1255.7kbits/s speed=1.56x    
frame= 2229 fps= 46 q=31.0 size=   11449kB time=00:01:14.66 bitrate=1256.1kbits/s speed=1.56x    
frame= 2254 fps= 47 q=31.0 size=   11570kB time=00:01:15.50 bitrate=1255.4kbits/s speed=1.56x    
frame= 2279 fps= 47 q=31.0 size=   11688kB time=00:01:16.33 bitrate=1254.3kbits/s speed=1.56x    
frame= 2302 fps= 47 q=31.0 size=   11805kB time=00:01:17.10 bitrate=1254.3kbits/s speed=1.56x    
frame= 2325 fps= 46 q=31.0 size=   11926kB time=00:01:17.86 bitrate=1254.6kbits/s speed=1.56x    
frame= 2348 fps= 46 q=31.0 size=   12044kB time=00:01:18.63 bitrate=1254.8kbits/s speed=1.56x    
frame= 2373 fps= 47 q=31.0 size=   12167kB time=00:01:19.46 bitrate=1254.2kbits/s speed=1.56x    
frame= 2396 fps= 46 q=31.0 size=   12285kB time=00:01:20.23 bitrate=1254.3kbits/s speed=1.56x    
frame= 2419 fps= 46 q=31.0 size=   12399kB time=00:01:21.00 bitrate=1253.9kbits/s speed=1.56x    
frame= 2439 fps= 46 q=31.0 size=   12466kB time=00:01:21.66 bitrate=1250.4kbits/s speed=1.55x    
frame= 2462 fps= 46 q=31.0 size=   12582kB time=00:01:22.43 bitrate=1250.4kbits/s speed=1.55x    
frame= 2485 fps= 46 q=24.8 size=   12699kB time=00:01:23.20 bitrate=1250.4kbits/s speed=1.55x    
frame= 2510 fps= 46 q=31.0 size=   12815kB time=00:01:24.03 bitrate=1249.3kbits/s speed=1.55x    
frame= 2535 fps= 46 q=31.0 size=   12932kB time=00:01:24.86 bitrate=1248.3kbits/s speed=1.55x    
frame= 2560 fps= 46 q=31.0 size=   13058kB time=00:01:25.70 bitrate=1248.2kbits/s speed=1.55x    
frame= 2585 fps= 46 q=31.0 size=   13179kB time=00:01:26.53 bitrate=1247.7kbits/s speed=1.56x    
frame= 2610 fps= 46 q=31.0 size=   13302kB time=00:01:27.36 bitrate=1247.3kbits/s speed=1.56x    
frame= 2635 fps= 46 q=31.0 size=   13465kB time=00:01:28.20 bitrate=1250.6kbits/s speed=1.56x    
frame= 2659 fps= 47 q=31.0 size=   13590kB time=00:01:29.00 bitrate=1250.9kbits/s speed=1.56x    
frame= 2684 fps= 47 q=31.0 size=   13711kB time=00:01:29.83 bitrate=1250.3kbits/s speed=1.56x    
frame= 2709 fps= 47 q=31.0 size=   13832kB time=00:01:30.66 bitrate=1249.7kbits/s speed=1.56x    
frame= 2734 fps= 47 q=31.0 size=   13952kB time=00:01:31.50 bitrate=1249.2kbits/s speed=1.56x    
frame= 2759 fps= 47 q=31.0 size=   14072kB time=00:01:32.33 bitrate=1248.5kbits/s speed=1.56x    
frame= 2784 fps= 47 q=31.0 size=   14191kB time=00:01:33.16 bitrate=1247.8kbits/s speed=1.56x    
frame= 2809 fps= 47 q=24.8 size=   14312kB time=00:01:34.00 bitrate=1247.3kbits/s speed=1.56x    
frame= 2834 fps= 47 q=31.0 size=   14432kB time=00:01:34.83 bitrate=1246.7kbits/s speed=1.56x    
frame= 2859 fps= 47 q=31.0 size=   14553kB time=00:01:35.66 bitrate=1246.2kbits/s speed=1.56x    
frame= 2884 fps= 47 q=31.0 size=   14674kB time=00:01:36.50 bitrate=1245.7kbits/s speed=1.56x    
frame= 2909 fps= 47 q=31.0 size=   14834kB time=00:01:37.33 bitrate=1248.5kbits/s speed=1.56x    
frame= 2934 fps= 47 q=31.0 size=   14959kB time=00:01:38.16 bitrate=1248.3kbits/s speed=1.56x    
frame= 2957 fps= 47 q=31.0 size=   15076kB time=00:01:38.93 bitrate=1248.4kbits/s speed=1.56x    
frame= 2982 fps= 47 q=31.0 size=   15156kB time=00:01:39.76 bitrate=1244.4kbits/s speed=1.56x    
frame= 3007 fps= 47 q=31.0 size=   15317kB time=00:01:40.60 bitrate=1247.3kbits/s speed=1.56x    
frame= 3030 fps= 47 q=31.0 size=   15437kB time=00:01:41.36 bitrate=1247.6kbits/s speed=1.56x    
frame= 3055 fps= 47 q=31.0 size=   15562kB time=00:01:42.20 bitrate=1247.4kbits/s speed=1.56x    
frame= 3080 fps= 47 q=31.0 size=   15684kB time=00:01:43.03 bitrate=1247.0kbits/s speed=1.56x    
frame= 3105 fps= 47 q=31.0 size=   15806kB time=00:01:43.86 bitrate=1246.6kbits/s speed=1.57x    
frame= 3130 fps= 47 q=31.0 size=   15927kB time=00:01:44.70 bitrate=1246.1kbits/s speed=1.57x    
frame= 3155 fps= 47 q=31.0 size=   16048kB time=00:01:45.53 bitrate=1245.7kbits/s speed=1.57x    
frame= 3180 fps= 47 q=31.0 size=   16173kB time=00:01:46.36 bitrate=1245.6kbits/s speed=1.57x    
frame= 3205 fps= 47 q=24.8 size=   16298kB time=00:01:47.20 bitrate=1245.5kbits/s speed=1.57x    
frame= 3230 fps= 47 q=31.0 size=   16422kB time=00:01:48.03 bitrate=1245.3kbits/s speed=1.57x    
frame= 3255 fps= 47 q=31.0 size=   16546kB time=00:01:48.86 bitrate=1245.0kbits/s speed=1.57x    
frame= 3280 fps= 47 q=31.0 size=   16673kB time=00:01:49.70 bitrate=1245.1kbits/s speed=1.57x    
frame= 3305 fps= 47 q=31.0 size=   16847kB time=00:01:50.53 bitrate=1248.6kbits/s speed=1.57x    
frame= 3330 fps= 47 q=31.0 size=   16975kB time=00:01:51.36 bitrate=1248.6kbits/s speed=1.57x    
frame= 3355 fps= 47 q=31.0 size=   17097kB time=00:01:52.20 bitrate=1248.3kbits/s speed=1.57x    
frame= 3381 fps= 47 q=31.0 size=   17219kB time=00:01:53.06 bitrate=1247.6kbits/s speed=1.57x    
frame= 3406 fps= 47 q=31.0 size=   17344kB time=00:01:53.90 bitrate=1247.4kbits/s speed=1.57x    
frame= 3431 fps= 47 q=31.0 size=   17472kB time=00:01:54.73 bitrate=1247.5kbits/s speed=1.57x    
frame= 3456 fps= 47 q=31.0 size=   17600kB time=00:01:55.56 bitrate=1247.6kbits/s speed=1.57x    
frame= 3478 fps= 47 q=31.0 size=   17725kB time=00:01:56.30 bitrate=1248.5kbits/s speed=1.57x    
frame= 3503 fps= 47 q=31.0 size=   17850kB time=00:01:57.16 bitrate=1248.0kbits/s speed=1.57x    
frame= 3528 fps= 47 q=31.0 size=   17983kB time=00:01:58.00 bitrate=1248.5kbits/s speed=1.57x    
frame= 3553 fps= 47 q=24.8 size=   18111kB time=00:01:58.83 bitrate=1248.5kbits/s speed=1.57x    
frame= 3578 fps= 47 q=31.0 size=   18239kB time=00:01:59.66 bitrate=1248.6kbits/s speed=1.57x    
frame= 3603 fps= 47 q=31.0 size=   18364kB time=00:02:00.50 bitrate=1248.4kbits/s speed=1.57x    
frame= 3628 fps= 47 q=31.0 size=   18485kB time=00:02:01.33 bitrate=1248.1kbits/s speed=1.57x    
frame= 3653 fps= 47 q=31.0 size=   18648kB time=00:02:02.16 bitrate=1250.4kbits/s speed=1.57x    
frame= 3678 fps= 47 q=31.0 size=   18774kB time=00:02:03.00 bitrate=1250.4kbits/s speed=1.57x    
frame= 3703 fps= 47 q=31.0 size=   18896kB time=00:02:03.83 bitrate=1250.0kbits/s speed=1.58x    
