ffmpeg version 3.1.7 Copyright (c) 2000-2017 the FFmpeg developers
  built with gcc 5.4.0 (GCC)
  configuration: --disable-static --prefix=/cvmfs/soft.computecanada.ca/nix/store/n7qiyrcpyixibg8mijm826nb3hdb23j1-ffmpeg-3.1.7 --enable-gpl --enable-version3 --enable-shared --disable-static --enable-pic --enable-runtime-cpudetect --enable-hardcoded-tables --enable-pthreads --disable-w32threads --disable-os2threads --enable-network --enable-pixelutils --enable-ffmpeg --disable-ffplay --enable-ffprobe --disable-ffserver --enable-avcodec --enable-avdevice --enable-avfilter --enable-avformat --enable-avresample --enable-avutil --enable-postproc --enable-swresample --enable-swscale --disable-doc --enable-bzlib --enable-gnutls --enable-fontconfig --enable-libfreetype --enable-libmp3lame --enable-iconv --enable-libtheora --enable-vaapi --enable-vdpau --enable-libvorbis --enable-libvpx --enable-lzma --disable-opengl --enable-libpulse --enable-sdl --enable-libsoxr --enable-libx264 --enable-libxvid --enable-zlib --enable-libopus --enable-libx265 --disable-debug --enable-optimizations --disable-extra-warnings --disable-stripping
  libavutil      55. 28.100 / 55. 28.100
  libavcodec     57. 48.101 / 57. 48.101
  libavformat    57. 41.100 / 57. 41.100
  libavdevice    57.  0.101 / 57.  0.101
  libavfilter     6. 47.100 /  6. 47.100
  libavresample   3.  0.  0 /  3.  0.  0
  libswscale      4.  1.100 /  4.  1.100
  libswresample   2.  1.100 /  2.  1.100
  libpostproc    54.  0.100 / 54.  0.100
Input #0, mov,mp4,m4a,3gp,3g2,mj2, from '/project/6001934/lingheng/ROM_Video_Process/ROM_raw_videos/Sep_17/Camera1_Sep_17_1400_1500_Parameterized_Learning_Agent.mp4':
  Metadata:
    major_brand     : isom
    minor_version   : 1
    compatible_brands: isom
    creation_time   : 2018-09-18 16:20:43
  Duration: 01:00:03.65, start: 0.000000, bitrate: 663 kb/s
    Stream #0:0(und): Video: h264 (Main) (avc1 / 0x31637661), yuvj420p(pc, bt709), 1920x1080 [SAR 1:1 DAR 16:9], 643 kb/s, 24.67 fps, 30 tbr, 16k tbn, 60 tbc (default)
    Metadata:
      handler_name    : VideoHandler
    Stream #0:1(und): Audio: aac (LC) (mp4a / 0x6134706D), 16000 Hz, mono, fltp, 16 kb/s (default)
    Metadata:
      creation_time   : 2018-09-18 16:20:49
      handler_name    : GPAC ISO Audio Handler
    Stream #0:2(eng): Subtitle: mov_text (tx3g / 0x67337874), 800x60, 0 kb/s (default)
    Metadata:
      rotate          : 0
      creation_time   : 2018-09-18 16:20:49
      handler_name    : f63ade98485c4499abb1b5acaf9cbde8.subtitles.ttxt:hdlr=sbtl:lang=en:group=2:layer=1 - Imported with GPAC 0.5.0-rev4065
Input #1, png_pipe, from '/project/6001934/lingheng/ROM_Video_Process/Openpose_Video_Analysis_Code/camera1_transparent_img.png':
  Duration: N/A, bitrate: N/A
    Stream #1:0: Video: png, rgba(pc), 1920x1080, 25 tbr, 25 tbn, 25 tbc
[swscaler @ 0x10bb580] deprecated pixel format used, make sure you did set range correctly
[libx264 @ 0x10a40e0] using SAR=1/1
[libx264 @ 0x10a40e0] using cpu capabilities: MMX2 SSE2Fast SSSE3 SSE4.2 AVX FMA3 AVX2 LZCNT BMI2
[libx264 @ 0x10a40e0] profile High, level 4.0
[libx264 @ 0x10a40e0] 264 - core 148 - H.264/MPEG-4 AVC codec - Copyleft 2003-2016 - http://www.videolan.org/x264.html - options: cabac=1 ref=3 deblock=1:0:0 analyse=0x3:0x113 me=hex subme=7 psy=1 psy_rd=1.00:0.00 mixed_ref=1 me_range=16 chroma_me=1 trellis=1 8x8dct=1 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=-2 threads=3 lookahead_threads=1 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=crf mbtree=1 crf=23.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
[mp4 @ 0x10a3200] Using AVStream.codec to pass codec parameters to muxers is deprecated, use AVStream.codecpar instead.
    Last message repeated 1 times
Output #0, mp4, to '/project/6001934/lingheng/ROM_Video_Process/ROM_raw_videos_with_interst_area_ffmpeg_new3/Sep_17/Camera1_Sep_17_1400_1500_Parameterized_Learning_Agent_ffmpeg_with_interest_area.mp4':
  Metadata:
    major_brand     : isom
    minor_version   : 1
    compatible_brands: isom
    encoder         : Lavf57.41.100
    Stream #0:0: Video: h264 (libx264) ([33][0][0][0] / 0x0021), yuv420p, 1920x1080 [SAR 1:1 DAR 16:9], q=-1--1, 30 fps, 15360 tbn, 30 tbc (default)
    Metadata:
      encoder         : Lavc57.48.101 libx264
    Side data:
      cpb: bitrate max/min/avg: 0/0/0 buffer size: 0 vbv_delay: -1
    Stream #0:1(und): Audio: aac (LC) ([64][0][0][0] / 0x0040), 16000 Hz, mono, 16 kb/s (default)
    Metadata:
      creation_time   : 2018-09-18 16:20:49
      handler_name    : GPAC ISO Audio Handler
Stream mapping:
  Stream #0:0 (h264) -> overlay:main
  Stream #1:0 (png) -> overlay:overlay
  overlay -> Stream #0:0 (libx264)
  Stream #0:1 -> #0:1 (copy)
Press [q] to stop, [?] for help
frame=   18 fps=0.0 q=0.0 size=       0kB time=00:00:00.51 bitrate=   0.8kbits/s dup=1 drop=0 speed=1.02x    
frame=   43 fps= 42 q=0.0 size=       0kB time=00:00:00.96 bitrate=   0.4kbits/s dup=1 drop=0 speed=0.948x    
frame=   52 fps= 34 q=29.0 size=     180kB time=00:00:01.40 bitrate=1049.4kbits/s dup=4 drop=0 speed=0.908x    
frame=   64 fps= 31 q=29.0 size=     217kB time=00:00:01.85 bitrate= 958.6kbits/s dup=10 drop=0 speed=0.888x    
frame=   76 fps= 29 q=29.0 size=     256kB time=00:00:02.30 bitrate= 911.5kbits/s dup=16 drop=0 speed=0.865x    
frame=   88 fps= 26 q=29.0 size=     299kB time=00:00:02.75 bitrate= 888.6kbits/s dup=22 drop=0 speed=0.823x    
frame=   98 fps= 25 q=29.0 size=     326kB time=00:00:02.81 bitrate= 949.5kbits/s dup=27 drop=0 speed=0.706x    
frame=  112 fps= 25 q=29.0 size=     350kB time=00:00:03.26 bitrate= 877.2kbits/s dup=34 drop=0 speed=0.723x    
frame=  124 fps= 24 q=29.0 size=     371kB time=00:00:03.64 bitrate= 833.2kbits/s dup=40 drop=0 speed=0.72x    
frame=  138 fps= 25 q=29.0 size=     396kB time=00:00:04.09 bitrate= 791.9kbits/s dup=47 drop=0 speed=0.73x    
frame=  152 fps= 25 q=29.0 size=     413kB time=00:00:04.54 bitrate= 744.5kbits/s dup=54 drop=0 speed=0.737x    
frame=  164 fps= 24 q=29.0 size=     428kB time=00:00:04.99 bitrate= 701.7kbits/s dup=60 drop=0 speed=0.74x    
frame=  176 fps= 24 q=29.0 size=     487kB time=00:00:05.44 bitrate= 733.4kbits/s dup=66 drop=0 speed=0.73x    
frame=  182 fps= 23 q=29.0 size=     514kB time=00:00:05.50 bitrate= 764.9kbits/s dup=69 drop=0 speed=0.691x    
frame=  196 fps= 23 q=29.0 size=     544kB time=00:00:05.88 bitrate= 756.4kbits/s dup=76 drop=0 speed=0.683x    
frame=  206 fps= 23 q=29.0 size=     560kB time=00:00:06.33 bitrate= 724.0kbits/s dup=81 drop=0 speed=0.693x    
frame=  216 fps= 22 q=29.0 size=     572kB time=00:00:06.78 bitrate= 690.4kbits/s dup=86 drop=0 speed=0.692x    
frame=  224 fps= 22 q=29.0 size=     590kB time=00:00:06.84 bitrate= 706.0kbits/s dup=90 drop=0 speed=0.661x    
frame=  236 fps= 21 q=29.0 size=     611kB time=00:00:07.23 bitrate= 691.9kbits/s dup=96 drop=0 speed=0.657x    
frame=  244 fps= 21 q=29.0 size=     720kB time=00:00:07.68 bitrate= 768.5kbits/s dup=100 drop=0 speed=0.655x    
frame=  256 fps= 21 q=29.0 size=     735kB time=00:00:08.12 bitrate= 740.4kbits/s dup=106 drop=0 speed=0.658x    
frame=  266 fps= 20 q=29.0 size=     742kB time=00:00:08.19 bitrate= 741.9kbits/s dup=111 drop=0 speed=0.631x    
frame=  280 fps= 21 q=29.0 size=     751kB time=00:00:08.57 bitrate= 717.5kbits/s dup=118 drop=0 speed=0.628x    
frame=  290 fps= 20 q=29.0 size=     759kB time=00:00:09.02 bitrate= 688.6kbits/s dup=123 drop=0 speed=0.637x    
frame=  300 fps= 20 q=29.0 size=     945kB time=00:00:09.47 bitrate= 817.2kbits/s dup=128 drop=0 speed=0.64x    
frame=  312 fps= 20 q=29.0 size=     958kB time=00:00:09.92 bitrate= 790.9kbits/s dup=134 drop=0 speed=0.648x    
frame=  321 fps= 20 q=29.0 size=     967kB time=00:00:09.92 bitrate= 798.2kbits/s dup=138 drop=0 speed=0.626x    
frame=  332 fps= 20 q=29.0 size=     978kB time=00:00:10.36 bitrate= 772.8kbits/s dup=141 drop=0 speed=0.633x    
frame=  347 fps= 20 q=29.0 size=     992kB time=00:00:10.81 bitrate= 751.5kbits/s dup=145 drop=0 speed=0.639x    
frame=  359 fps= 20 q=29.0 size=    1002kB time=00:00:11.26 bitrate= 728.4kbits/s dup=151 drop=0 speed=0.641x    
frame=  363 fps= 20 q=29.0 size=    1108kB time=00:00:11.32 bitrate= 801.1kbits/s dup=153 drop=0 speed=0.625x    
frame=  373 fps= 20 q=29.0 size=    1182kB time=00:00:11.71 bitrate= 826.4kbits/s dup=158 drop=0 speed=0.619x    
frame=  381 fps= 19 q=29.0 size=    1236kB time=00:00:12.16 bitrate= 832.4kbits/s dup=162 drop=0 speed=0.617x    
frame=  387 fps= 19 q=29.0 size=    1276kB time=00:00:12.16 bitrate= 859.4kbits/s dup=165 drop=0 speed=0.602x    
frame=  391 fps= 19 q=29.0 size=    1291kB time=00:00:12.22 bitrate= 865.1kbits/s dup=167 drop=0 speed=0.589x    
frame=  401 fps= 19 q=29.0 size=    1313kB time=00:00:12.60 bitrate= 852.8kbits/s dup=172 drop=0 speed=0.591x    
frame=  409 fps= 19 q=29.0 size=    1333kB time=00:00:13.05 bitrate= 836.2kbits/s dup=176 drop=0 speed=0.596x    
frame=  417 fps= 19 q=29.0 size=    1364kB time=00:00:13.12 bitrate= 851.6kbits/s dup=180 drop=0 speed=0.583x    
frame=  427 fps= 19 q=29.0 size=    1415kB time=00:00:13.50 bitrate= 858.7kbits/s dup=185 drop=0 speed=0.587x    
frame=  431 fps= 18 q=29.0 size=    1427kB time=00:00:13.56 bitrate= 861.4kbits/s dup=187 drop=0 speed=0.576x    
frame=  441 fps= 18 q=29.0 size=    1449kB time=00:00:13.95 bitrate= 850.7kbits/s dup=192 drop=0 speed=0.578x    
frame=  447 fps= 18 q=29.0 size=    1463kB time=00:00:14.08 bitrate= 851.3kbits/s dup=195 drop=0 speed=0.571x    
frame=  457 fps= 18 q=29.0 size=    1488kB time=00:00:14.40 bitrate= 846.5kbits/s dup=200 drop=0 speed=0.57x    
frame=  465 fps= 18 q=29.0 size=    1504kB time=00:00:14.84 bitrate= 829.8kbits/s dup=204 drop=0 speed=0.577x    
frame=  471 fps= 18 q=29.0 size=    1608kB time=00:00:14.91 bitrate= 883.4kbits/s dup=207 drop=0 speed=0.563x    
frame=  483 fps= 18 q=29.0 size=    1627kB time=00:00:15.29 bitrate= 871.3kbits/s dup=213 drop=0 speed=0.566x    
frame=  493 fps= 18 q=29.0 size=    1640kB time=00:00:15.74 bitrate= 853.2kbits/s dup=218 drop=0 speed=0.57x    
frame=  499 fps= 18 q=29.0 size=    1657kB time=00:00:15.80 bitrate= 858.8kbits/s dup=221 drop=0 speed=0.562x    
frame=  509 fps= 18 q=29.0 size=    1700kB time=00:00:16.19 bitrate= 860.1kbits/s dup=226 drop=0 speed=0.563x    
frame=  515 fps= 18 q=29.0 size=    1732kB time=00:00:16.38 bitrate= 866.0kbits/s dup=229 drop=0 speed=0.557x    
frame=  525 fps= 18 q=29.0 size=    1743kB time=00:00:16.70 bitrate= 854.9kbits/s dup=234 drop=0 speed=0.557x    
frame=  537 fps= 18 q=29.0 size=    1757kB time=00:00:17.08 bitrate= 842.1kbits/s dup=240 drop=0 speed=0.559x    
frame=  545 fps= 18 q=29.0 size=    1766kB time=00:00:17.34 bitrate= 834.1kbits/s dup=244 drop=0 speed=0.557x    
frame=  555 fps= 18 q=29.0 size=    1983kB time=00:00:17.66 bitrate= 919.6kbits/s dup=249 drop=0 speed=0.557x    
frame=  565 fps= 18 q=29.0 size=    1994kB time=00:00:18.04 bitrate= 905.2kbits/s dup=254 drop=0 speed=0.56x    
frame=  577 fps= 18 q=29.0 size=    2012kB time=00:00:18.43 bitrate= 894.1kbits/s dup=260 drop=0 speed=0.562x    
frame=  585 fps= 17 q=29.0 size=    2027kB time=00:00:18.68 bitrate= 888.7kbits/s dup=264 drop=0 speed=0.559x    
frame=  591 fps= 17 q=29.0 size=    2130kB time=00:00:18.88 bitrate= 924.1kbits/s dup=267 drop=0 speed=0.555x    
frame=  599 fps= 17 q=29.0 size=    2140kB time=00:00:19.13 bitrate= 916.1kbits/s dup=271 drop=0 speed=0.554x    
frame=  607 fps= 17 q=29.0 size=    2171kB time=00:00:19.45 bitrate= 914.0kbits/s dup=275 drop=0 speed=0.554x    
frame=  613 fps= 17 q=29.0 size=    2200kB time=00:00:19.64 bitrate= 917.4kbits/s dup=278 drop=0 speed=0.552x    
frame=  623 fps= 17 q=29.0 size=    2214kB time=00:00:19.96 bitrate= 908.5kbits/s dup=283 drop=0 speed=0.553x    
frame=  633 fps= 17 q=29.0 size=    2232kB time=00:00:20.28 bitrate= 901.3kbits/s dup=288 drop=0 speed=0.553x    
frame=  643 fps= 17 q=29.0 size=    2245kB time=00:00:20.60 bitrate= 892.5kbits/s dup=293 drop=0 speed=0.553x    
frame=  653 fps= 17 q=29.0 size=    2266kB time=00:00:20.99 bitrate= 884.1kbits/s dup=298 drop=0 speed=0.554x    
frame=  663 fps= 17 q=29.0 size=    2281kB time=00:00:21.31 bitrate= 876.9kbits/s dup=303 drop=0 speed=0.555x    
frame=  673 fps= 17 q=29.0 size=    2298kB time=00:00:21.63 bitrate= 870.2kbits/s dup=308 drop=0 speed=0.555x    
frame=  683 fps= 17 q=29.0 size=    2309kB time=00:00:21.95 bitrate= 861.6kbits/s dup=313 drop=0 speed=0.556x    
frame=  693 fps= 17 q=29.0 size=    2320kB time=00:00:22.27 bitrate= 853.2kbits/s dup=318 drop=0 speed=0.557x    
frame=  703 fps= 17 q=29.0 size=    2329kB time=00:00:22.65 bitrate= 842.1kbits/s dup=323 drop=0 speed=0.559x    
frame=  709 fps= 17 q=29.0 size=    2424kB time=00:00:22.84 bitrate= 869.2kbits/s dup=326 drop=0 speed=0.555x    
frame=  719 fps= 17 q=29.0 size=    2438kB time=00:00:23.16 bitrate= 862.0kbits/s dup=331 drop=0 speed=0.556x    
frame=  729 fps= 17 q=29.0 size=    2447kB time=00:00:23.48 bitrate= 853.6kbits/s dup=336 drop=0 speed=0.556x    
frame=  739 fps= 17 q=29.0 size=    2456kB time=00:00:23.80 bitrate= 845.1kbits/s dup=341 drop=0 speed=0.557x    
frame=  749 fps= 17 q=29.0 size=    2466kB time=00:00:24.19 bitrate= 835.2kbits/s dup=346 drop=0 speed=0.559x    
frame=  761 fps= 17 q=29.0 size=    2476kB time=00:00:24.57 bitrate= 825.4kbits/s dup=352 drop=0 speed=0.56x    
frame=  771 fps= 17 q=29.0 size=    2487kB time=00:00:24.89 bitrate= 818.4kbits/s dup=357 drop=0 speed=0.561x    
frame=  781 fps= 17 q=29.0 size=    2502kB time=00:00:25.21 bitrate= 813.0kbits/s dup=362 drop=0 speed=0.561x    
frame=  791 fps= 17 q=29.0 size=    2513kB time=00:00:25.53 bitrate= 806.1kbits/s dup=367 drop=0 speed=0.561x    
frame=  801 fps= 17 q=29.0 size=    2704kB time=00:00:25.92 bitrate= 854.5kbits/s dup=372 drop=0 speed=0.562x    
frame=  811 fps= 17 q=29.0 size=    2740kB time=00:00:26.24 bitrate= 855.5kbits/s dup=377 drop=0 speed=0.561x    
frame=  821 fps= 17 q=29.0 size=    2762kB time=00:00:26.56 bitrate= 851.9kbits/s dup=382 drop=0 speed=0.561x    
frame=  829 fps= 17 q=29.0 size=    2779kB time=00:00:26.81 bitrate= 849.0kbits/s dup=386 drop=0 speed=0.561x    
frame=  835 fps= 17 q=29.0 size=    2883kB time=00:00:27.00 bitrate= 874.5kbits/s dup=389 drop=0 speed=0.558x    
frame=  845 fps= 17 q=29.0 size=    2898kB time=00:00:27.39 bitrate= 866.8kbits/s dup=394 drop=0 speed=0.559x    
frame=  853 fps= 17 q=29.0 size=    2918kB time=00:00:27.64 bitrate= 864.5kbits/s dup=398 drop=0 speed=0.559x    
frame=  861 fps= 17 q=29.0 size=    2941kB time=00:00:27.90 bitrate= 863.4kbits/s dup=402 drop=0 speed=0.558x    
frame=  871 fps= 17 q=29.0 size=    2963kB time=00:00:28.22 bitrate= 859.9kbits/s dup=407 drop=0 speed=0.557x    
frame=  881 fps= 17 q=29.0 size=    2976kB time=00:00:28.54 bitrate= 854.0kbits/s dup=412 drop=0 speed=0.558x    
frame=  891 fps= 17 q=29.0 size=    2993kB time=00:00:28.86 bitrate= 849.6kbits/s dup=417 drop=0 speed=0.558x    
frame=  899 fps= 17 q=29.0 size=    3011kB time=00:00:29.18 bitrate= 845.3kbits/s dup=421 drop=0 speed=0.558x    
frame=  907 fps= 17 q=29.0 size=    3045kB time=00:00:29.44 bitrate= 847.2kbits/s dup=425 drop=0 speed=0.557x    
frame=  915 fps= 17 q=29.0 size=    3068kB time=00:00:29.69 bitrate= 846.3kbits/s dup=429 drop=0 speed=0.556x    
frame=  923 fps= 17 q=29.0 size=    3089kB time=00:00:29.95 bitrate= 844.8kbits/s dup=433 drop=0 speed=0.555x    
frame=  931 fps= 17 q=29.0 size=    3108kB time=00:00:30.20 bitrate= 842.8kbits/s dup=437 drop=0 speed=0.554x    
frame=  939 fps= 17 q=29.0 size=    3127kB time=00:00:30.46 bitrate= 840.8kbits/s dup=441 drop=0 speed=0.553x    
frame=  947 fps= 17 q=29.0 size=    3143kB time=00:00:30.78 bitrate= 836.4kbits/s dup=445 drop=0 speed=0.554x    
frame=  953 fps= 17 q=29.0 size=    3237kB time=00:00:30.97 bitrate= 856.2kbits/s dup=448 drop=0 speed=0.552x    
frame=  961 fps= 17 q=29.0 size=    3257kB time=00:00:31.23 bitrate= 854.3kbits/s dup=452 drop=0 speed=0.551x    
frame=  971 fps= 17 q=29.0 size=    3276kB time=00:00:31.55 bitrate= 850.5kbits/s dup=457 drop=0 speed=0.551x    
frame=  981 fps= 17 q=29.0 size=    3287kB time=00:00:31.87 bitrate= 844.7kbits/s dup=462 drop=0 speed=0.552x    
frame=  991 fps= 17 q=29.0 size=    3303kB time=00:00:32.25 bitrate= 838.7kbits/s dup=467 drop=0 speed=0.553x    
frame= 1001 fps= 17 q=29.0 size=    3311kB time=00:00:32.57 bitrate= 832.7kbits/s dup=472 drop=0 speed=0.553x    
frame= 1011 fps= 17 q=29.0 size=    3322kB time=00:00:32.89 bitrate= 827.3kbits/s dup=477 drop=0 speed=0.554x    
frame= 1021 fps= 17 q=29.0 size=    3330kB time=00:00:33.21 bitrate= 821.3kbits/s dup=482 drop=0 speed=0.554x    
frame= 1031 fps= 17 q=29.0 size=    3339kB time=00:00:33.53 bitrate= 815.6kbits/s dup=487 drop=0 speed=0.555x    
frame= 1041 fps= 17 q=29.0 size=    3351kB time=00:00:33.92 bitrate= 809.2kbits/s dup=492 drop=0 speed=0.556x    
frame= 1049 fps= 17 q=29.0 size=    3550kB time=00:00:34.17 bitrate= 850.9kbits/s dup=496 drop=0 speed=0.556x    
frame= 1059 fps= 17 q=29.0 size=    3558kB time=00:00:34.49 bitrate= 845.1kbits/s dup=501 drop=0 speed=0.556x    
frame= 1069 fps= 17 q=29.0 size=    3645kB time=00:00:34.81 bitrate= 857.6kbits/s dup=506 drop=0 speed=0.555x    
frame= 1079 fps= 17 q=29.0 size=    3657kB time=00:00:35.13 bitrate= 852.7kbits/s dup=511 drop=0 speed=0.555x    
frame= 1089 fps= 17 q=29.0 size=    3714kB time=00:00:35.52 bitrate= 856.6kbits/s dup=516 drop=0 speed=0.554x    
frame= 1095 fps= 17 q=29.0 size=    3760kB time=00:00:35.71 bitrate= 862.4kbits/s dup=519 drop=0 speed=0.553x    
frame= 1101 fps= 17 q=29.0 size=    3797kB time=00:00:35.90 bitrate= 866.3kbits/s dup=522 drop=0 speed=0.551x    
frame= 1109 fps= 17 q=29.0 size=    3818kB time=00:00:36.16 bitrate= 865.0kbits/s dup=526 drop=0 speed=0.551x    
frame= 1117 fps= 17 q=29.0 size=    3837kB time=00:00:36.41 bitrate= 863.1kbits/s dup=530 drop=0 speed=0.55x    
frame= 1125 fps= 17 q=29.0 size=    3858kB time=00:00:36.67 bitrate= 861.8kbits/s dup=534 drop=0 speed=0.55x    
frame= 1133 fps= 17 q=29.0 size=    3882kB time=00:00:36.99 bitrate= 859.8kbits/s dup=538 drop=0 speed=0.55x    
frame= 1141 fps= 17 q=29.0 size=    3903kB time=00:00:37.24 bitrate= 858.5kbits/s dup=542 drop=0 speed=0.55x    
frame= 1151 fps= 17 q=29.0 size=    3925kB time=00:00:37.56 bitrate= 855.8kbits/s dup=547 drop=0 speed=0.55x    
frame= 1159 fps= 17 q=29.0 size=    3946kB time=00:00:37.82 bitrate= 854.7kbits/s dup=551 drop=0 speed=0.549x    
frame= 1167 fps= 17 q=29.0 size=    3966kB time=00:00:38.08 bitrate= 853.1kbits/s dup=555 drop=0 speed=0.549x    
frame= 1175 fps= 17 q=29.0 size=    3982kB time=00:00:38.33 bitrate= 850.9kbits/s dup=559 drop=0 speed=0.548x    
frame= 1183 fps= 17 q=29.0 size=    4003kB time=00:00:38.65 bitrate= 848.4kbits/s dup=563 drop=0 speed=0.549x    
frame= 1189 fps= 17 q=29.0 size=    4103kB time=00:00:38.84 bitrate= 865.2kbits/s dup=566 drop=0 speed=0.546x    
frame= 1199 fps= 17 q=29.0 size=    4121kB time=00:00:39.16 bitrate= 862.0kbits/s dup=571 drop=0 speed=0.546x    
frame= 1209 fps= 17 q=29.0 size=    4146kB time=00:00:39.48 bitrate= 860.1kbits/s dup=577 drop=0 speed=0.546x    
frame= 1217 fps= 17 q=29.0 size=    4181kB time=00:00:39.74 bitrate= 861.8kbits/s dup=581 drop=0 speed=0.544x    
frame= 1225 fps= 17 q=29.0 size=    4209kB time=00:00:40.00 bitrate= 862.0kbits/s dup=585 drop=0 speed=0.543x    
frame= 1233 fps= 17 q=29.0 size=    4238kB time=00:00:40.32 bitrate= 861.1kbits/s dup=589 drop=0 speed=0.543x    
frame= 1241 fps= 17 q=29.0 size=    4283kB time=00:00:40.57 bitrate= 864.6kbits/s dup=593 drop=0 speed=0.541x    
frame= 1249 fps= 16 q=29.0 size=    4326kB time=00:00:40.83 bitrate= 867.9kbits/s dup=597 drop=0 speed=0.539x    
frame= 1257 fps= 16 q=29.0 size=    4346kB time=00:00:41.08 bitrate= 866.4kbits/s dup=601 drop=0 speed=0.539x    
frame= 1265 fps= 16 q=29.0 size=    4366kB time=00:00:41.34 bitrate= 865.2kbits/s dup=605 drop=0 speed=0.538x    
frame= 1273 fps= 16 q=29.0 size=    4398kB time=00:00:41.60 bitrate= 866.1kbits/s dup=609 drop=0 speed=0.537x    
frame= 1281 fps= 16 q=29.0 size=    4420kB time=00:00:41.92 bitrate= 863.9kbits/s dup=613 drop=0 speed=0.537x    
frame= 1291 fps= 16 q=29.0 size=    4440kB time=00:00:42.24 bitrate= 861.0kbits/s dup=618 drop=0 speed=0.537x    
frame= 1297 fps= 16 q=29.0 size=    4467kB time=00:00:42.43 bitrate= 862.4kbits/s dup=621 drop=0 speed=0.536x    
frame= 1305 fps= 16 q=29.0 size=    4665kB time=00:00:42.68 bitrate= 895.2kbits/s dup=625 drop=0 speed=0.535x    
frame= 1311 fps= 16 q=29.0 size=    4770kB time=00:00:42.88 bitrate= 911.3kbits/s dup=628 drop=0 speed=0.533x    
frame= 1321 fps= 16 q=29.0 size=    4783kB time=00:00:43.20 bitrate= 906.9kbits/s dup=633 drop=0 speed=0.534x    
frame= 1333 fps= 16 q=29.0 size=    4790kB time=00:00:43.64 bitrate= 899.1kbits/s dup=639 drop=0 speed=0.536x    
frame= 1349 fps= 16 q=29.0 size=    4804kB time=00:00:44.16 bitrate= 891.2kbits/s dup=647 drop=0 speed=0.538x    
frame= 1361 fps= 16 q=29.0 size=    4823kB time=00:00:44.54 bitrate= 887.0kbits/s dup=653 drop=0 speed=0.539x    
frame= 1371 fps= 16 q=29.0 size=    4861kB time=00:00:44.86 bitrate= 887.6kbits/s dup=658 drop=0 speed=0.538x    
frame= 1381 fps= 16 q=29.0 size=    4884kB time=00:00:45.24 bitrate= 884.3kbits/s dup=664 drop=0 speed=0.539x    
frame= 1391 fps= 16 q=29.0 size=    4905kB time=00:00:45.56 bitrate= 881.9kbits/s dup=669 drop=0 speed=0.539x    
frame= 1399 fps= 16 q=29.0 size=    4931kB time=00:00:45.82 bitrate= 881.5kbits/s dup=673 drop=0 speed=0.539x    
frame= 1409 fps= 16 q=29.0 size=    4950kB time=00:00:46.14 bitrate= 878.8kbits/s dup=678 drop=0 speed=0.539x    
frame= 1419 fps= 16 q=29.0 size=    4990kB time=00:00:46.46 bitrate= 879.8kbits/s dup=683 drop=0 speed=0.538x    
frame= 1427 fps= 16 q=29.0 size=    5022kB time=00:00:46.78 bitrate= 879.3kbits/s dup=687 drop=0 speed=0.538x    
frame= 1435 fps= 16 q=29.0 size=    5132kB time=00:00:47.04 bitrate= 893.8kbits/s dup=691 drop=0 speed=0.536x    
frame= 1445 fps= 16 q=29.0 size=    5144kB time=00:00:47.36 bitrate= 889.7kbits/s dup=696 drop=0 speed=0.537x    
frame= 1451 fps= 16 q=29.0 size=    5191kB time=00:00:47.55 bitrate= 894.3kbits/s dup=699 drop=0 speed=0.536x    
frame= 1463 fps= 16 q=29.0 size=    5223kB time=00:00:47.93 bitrate= 892.5kbits/s dup=705 drop=0 speed=0.536x    
frame= 1475 fps= 16 q=29.0 size=    5250kB time=00:00:48.38 bitrate= 888.8kbits/s dup=711 drop=0 speed=0.538x    
frame= 1487 fps= 16 q=29.0 size=    5274kB time=00:00:48.76 bitrate= 885.9kbits/s dup=717 drop=0 speed=0.539x    
frame= 1501 fps= 16 q=29.0 size=    5302kB time=00:00:49.21 bitrate= 882.6kbits/s dup=725 drop=0 speed=0.54x    
frame= 1513 fps= 16 q=29.0 size=    5331kB time=00:00:49.60 bitrate= 880.4kbits/s dup=731 drop=0 speed=0.541x    
frame= 1525 fps= 17 q=29.0 size=    5353kB time=00:00:50.04 bitrate= 876.2kbits/s dup=737 drop=0 speed=0.543x    
frame= 1535 fps= 17 q=29.0 size=    5393kB time=00:00:50.36 bitrate= 877.1kbits/s dup=742 drop=0 speed=0.543x    
frame= 1545 fps= 17 q=29.0 size=    5443kB time=00:00:50.68 bitrate= 879.7kbits/s dup=747 drop=0 speed=0.543x    
frame= 1557 fps= 17 q=29.0 size=    5725kB time=00:00:51.07 bitrate= 918.3kbits/s dup=753 drop=0 speed=0.543x    
frame= 1569 fps= 17 q=29.0 size=    5748kB time=00:00:51.52 bitrate= 913.9kbits/s dup=759 drop=0 speed=0.544x    
