ffmpeg version 3.1.7 Copyright (c) 2000-2017 the FFmpeg developers
  built with gcc 5.4.0 (GCC)
  configuration: --disable-static --prefix=/cvmfs/soft.computecanada.ca/nix/store/n7qiyrcpyixibg8mijm826nb3hdb23j1-ffmpeg-3.1.7 --enable-gpl --enable-version3 --enable-shared --disable-static --enable-pic --enable-runtime-cpudetect --enable-hardcoded-tables --enable-pthreads --disable-w32threads --disable-os2threads --enable-network --enable-pixelutils --enable-ffmpeg --disable-ffplay --enable-ffprobe --disable-ffserver --enable-avcodec --enable-avdevice --enable-avfilter --enable-avformat --enable-avresample --enable-avutil --enable-postproc --enable-swresample --enable-swscale --disable-doc --enable-bzlib --enable-gnutls --enable-fontconfig --enable-libfreetype --enable-libmp3lame --enable-iconv --enable-libtheora --enable-vaapi --enable-vdpau --enable-libvorbis --enable-libvpx --enable-lzma --disable-opengl --enable-libpulse --enable-sdl --enable-libsoxr --enable-libx264 --enable-libxvid --enable-zlib --enable-libopus --enable-libx265 --disable-debug --enable-optimizations --disable-extra-warnings --disable-stripping
  libavutil      55. 28.100 / 55. 28.100
  libavcodec     57. 48.101 / 57. 48.101
  libavformat    57. 41.100 / 57. 41.100
  libavdevice    57.  0.101 / 57.  0.101
  libavfilter     6. 47.100 /  6. 47.100
  libavresample   3.  0.  0 /  3.  0.  0
  libswscale      4.  1.100 /  4.  1.100
  libswresample   2.  1.100 /  2.  1.100
  libpostproc    54.  0.100 / 54.  0.100
Input #0, mov,mp4,m4a,3gp,3g2,mj2, from '/project/6001934/lingheng/ROM_Video_Process/ROM_raw_videos/Sep_17/Camera1_Sep_17_1500_1600_Prescribed_Behavior.mp4':
  Metadata:
    major_brand     : isom
    minor_version   : 1
    compatible_brands: isom
    creation_time   : 2018-09-18 16:59:35
  Duration: 01:00:01.41, start: 0.000000, bitrate: 654 kb/s
    Stream #0:0(und): Video: h264 (Main) (avc1 / 0x31637661), yuvj420p(pc, bt709), 1920x1080 [SAR 1:1 DAR 16:9], 634 kb/s, 24.59 fps, 30 tbr, 16k tbn, 60 tbc (default)
    Metadata:
      handler_name    : VideoHandler
    Stream #0:1(und): Audio: aac (LC) (mp4a / 0x6134706D), 16000 Hz, mono, fltp, 16 kb/s (default)
    Metadata:
      creation_time   : 2018-09-18 16:59:40
      handler_name    : GPAC ISO Audio Handler
    Stream #0:2(eng): Subtitle: mov_text (tx3g / 0x67337874), 800x60, 0 kb/s (default)
    Metadata:
      rotate          : 0
      creation_time   : 2018-09-18 16:59:40
      handler_name    : 1f4f5376d6dc4549b22b305ac7a4822d.subtitles.ttxt:hdlr=sbtl:lang=en:group=2:layer=1 - Imported with GPAC 0.5.0-rev4065
Input #1, png_pipe, from '/project/6001934/lingheng/ROM_Video_Process/Openpose_Video_Analysis_Code/camera1_transparent_img.png':
  Duration: N/A, bitrate: N/A
    Stream #1:0: Video: png, rgba(pc), 1920x1080, 25 tbr, 25 tbn, 25 tbc
[swscaler @ 0x23594c0] deprecated pixel format used, make sure you did set range correctly
[libx264 @ 0x233fa80] using SAR=1/1
[libx264 @ 0x233fa80] using cpu capabilities: MMX2 SSE2Fast SSSE3 SSE4.2 AVX FMA3 AVX2 LZCNT BMI2
[libx264 @ 0x233fa80] profile High, level 4.0
[libx264 @ 0x233fa80] 264 - core 148 - H.264/MPEG-4 AVC codec - Copyleft 2003-2016 - http://www.videolan.org/x264.html - options: cabac=1 ref=3 deblock=1:0:0 analyse=0x3:0x113 me=hex subme=7 psy=1 psy_rd=1.00:0.00 mixed_ref=1 me_range=16 chroma_me=1 trellis=1 8x8dct=1 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=-2 threads=3 lookahead_threads=1 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=crf mbtree=1 crf=23.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
[mp4 @ 0x233e900] Using AVStream.codec to pass codec parameters to muxers is deprecated, use AVStream.codecpar instead.
    Last message repeated 1 times
Output #0, mp4, to '/project/6001934/lingheng/ROM_Video_Process/ROM_raw_videos_with_interst_area_ffmpeg_new3/Sep_17/Camera1_Sep_17_1500_1600_Prescribed_Behavior_ffmpeg_with_interest_area.mp4':
  Metadata:
    major_brand     : isom
    minor_version   : 1
    compatible_brands: isom
    encoder         : Lavf57.41.100
    Stream #0:0: Video: h264 (libx264) ([33][0][0][0] / 0x0021), yuv420p, 1920x1080 [SAR 1:1 DAR 16:9], q=-1--1, 30 fps, 15360 tbn, 30 tbc (default)
    Metadata:
      encoder         : Lavc57.48.101 libx264
    Side data:
      cpb: bitrate max/min/avg: 0/0/0 buffer size: 0 vbv_delay: -1
    Stream #0:1(und): Audio: aac (LC) ([64][0][0][0] / 0x0040), 16000 Hz, mono, 16 kb/s (default)
    Metadata:
      creation_time   : 2018-09-18 16:59:40
      handler_name    : GPAC ISO Audio Handler
Stream mapping:
  Stream #0:0 (h264) -> overlay:main
  Stream #1:0 (png) -> overlay:overlay
  overlay -> Stream #0:0 (libx264)
  Stream #0:1 -> #0:1 (copy)
Press [q] to stop, [?] for help
frame=   19 fps=0.0 q=0.0 size=       0kB time=00:00:00.51 bitrate=   0.8kbits/s dup=1 drop=0 speed=1.02x    
frame=   44 fps= 43 q=0.0 size=       0kB time=00:00:00.96 bitrate=   0.4kbits/s dup=1 drop=0 speed=0.938x    
frame=   52 fps= 34 q=29.0 size=     171kB time=00:00:01.40 bitrate= 994.5kbits/s dup=1 drop=0 speed=0.91x    
frame=   67 fps= 32 q=29.0 size=     213kB time=00:00:01.85 bitrate= 940.3kbits/s dup=4 drop=0 speed=0.885x    
frame=   81 fps= 31 q=29.0 size=     272kB time=00:00:02.30 bitrate= 965.4kbits/s dup=11 drop=0 speed=0.874x    
frame=   93 fps= 29 q=29.0 size=     326kB time=00:00:02.75 bitrate= 971.6kbits/s dup=17 drop=0 speed=0.868x    
frame=  105 fps= 29 q=29.0 size=     377kB time=00:00:03.20 bitrate= 964.7kbits/s dup=23 drop=0 speed=0.871x    
frame=  119 fps= 28 q=29.0 size=     396kB time=00:00:03.64 bitrate= 888.2kbits/s dup=30 drop=0 speed=0.872x    
frame=  135 fps= 29 q=29.0 size=     416kB time=00:00:04.09 bitrate= 831.3kbits/s dup=38 drop=0 speed=0.87x    
frame=  151 fps= 29 q=29.0 size=     438kB time=00:00:04.54 bitrate= 789.3kbits/s dup=46 drop=0 speed=0.866x    
frame=  167 fps= 29 q=29.0 size=     456kB time=00:00:04.99 bitrate= 748.3kbits/s dup=54 drop=0 speed=0.864x    
frame=  181 fps= 29 q=29.0 size=     473kB time=00:00:05.44 bitrate= 712.8kbits/s dup=61 drop=0 speed=0.865x    
frame=  197 fps= 29 q=29.0 size=     523kB time=00:00:05.88 bitrate= 727.2kbits/s dup=69 drop=0 speed=0.862x    
frame=  211 fps= 29 q=29.0 size=     541kB time=00:00:06.33 bitrate= 700.1kbits/s dup=76 drop=0 speed=0.861x    
frame=  229 fps= 29 q=29.0 size=     658kB time=00:00:07.23 bitrate= 745.7kbits/s dup=85 drop=0 speed=0.91x    
frame=  239 fps= 28 q=29.0 size=     670kB time=00:00:07.23 bitrate= 759.2kbits/s dup=90 drop=0 speed=0.854x    
frame=  257 fps= 29 q=29.0 size=     682kB time=00:00:08.12 bitrate= 687.6kbits/s dup=99 drop=0 speed=0.905x    
frame=  277 fps= 29 q=29.0 size=     694kB time=00:00:08.57 bitrate= 663.0kbits/s dup=109 drop=0 speed=0.898x    
frame=  295 fps= 29 q=29.0 size=     716kB time=00:00:09.02 bitrate= 649.7kbits/s dup=118 drop=0 speed=0.891x    
frame=  309 fps= 29 q=29.0 size=     916kB time=00:00:09.53 bitrate= 787.1kbits/s dup=125 drop=0 speed=0.896x    
frame=  331 fps= 30 q=29.0 size=     936kB time=00:00:10.36 bitrate= 739.3kbits/s dup=136 drop=0 speed=0.928x    
frame=  349 fps= 29 q=29.0 size=    1029kB time=00:00:10.81 bitrate= 779.4kbits/s dup=145 drop=0 speed=0.907x    
frame=  365 fps= 29 q=29.0 size=    1047kB time=00:00:11.39 bitrate= 752.8kbits/s dup=153 drop=0 speed=0.915x    
frame=  383 fps= 29 q=29.0 size=    1107kB time=00:00:12.16 bitrate= 745.9kbits/s dup=162 drop=0 speed=0.936x    
frame=  399 fps= 29 q=29.0 size=    1128kB time=00:00:12.60 bitrate= 732.7kbits/s dup=170 drop=0 speed=0.929x    
frame=  417 fps= 30 q=29.0 size=    1142kB time=00:00:13.05 bitrate= 716.3kbits/s dup=179 drop=0 speed=0.927x    
frame=  433 fps= 30 q=29.0 size=    1156kB time=00:00:13.63 bitrate= 694.9kbits/s dup=187 drop=0 speed=0.929x    
frame=  455 fps= 30 q=29.0 size=    1176kB time=00:00:14.40 bitrate= 669.1kbits/s dup=198 drop=0 speed=0.945x    
frame=  469 fps= 30 q=29.0 size=    1272kB time=00:00:14.84 bitrate= 701.9kbits/s dup=205 drop=0 speed=0.937x    
frame=  485 fps= 30 q=29.0 size=    1291kB time=00:00:15.36 bitrate= 688.4kbits/s dup=213 drop=0 speed=0.937x    
frame=  503 fps= 30 q=29.0 size=    1307kB time=00:00:15.80 bitrate= 677.1kbits/s dup=221 drop=0 speed=0.936x    
frame=  518 fps= 30 q=29.0 size=    1318kB time=00:00:16.32 bitrate= 661.8kbits/s dup=221 drop=0 speed=0.938x    
frame=  532 fps= 30 q=29.0 size=    1333kB time=00:00:16.76 bitrate= 651.2kbits/s dup=221 drop=0 speed=0.936x    
frame=  545 fps= 30 q=29.0 size=    1354kB time=00:00:17.21 bitrate= 644.5kbits/s dup=221 drop=0 speed=0.934x    
frame=  557 fps= 29 q=29.0 size=    1571kB time=00:00:17.66 bitrate= 728.5kbits/s dup=221 drop=0 speed=0.933x    
frame=  570 fps= 29 q=29.0 size=    1706kB time=00:00:18.04 bitrate= 774.3kbits/s dup=221 drop=0 speed=0.919x    
frame=  582 fps= 29 q=29.0 size=    1751kB time=00:00:18.43 bitrate= 778.2kbits/s dup=221 drop=0 speed=0.912x    
frame=  593 fps= 29 q=29.0 size=    1797kB time=00:00:18.88 bitrate= 779.6kbits/s dup=221 drop=0 speed=0.909x    
frame=  605 fps= 28 q=29.0 size=    1839kB time=00:00:19.26 bitrate= 782.2kbits/s dup=221 drop=0 speed=0.905x    
frame=  618 fps= 28 q=29.0 size=    1877kB time=00:00:19.71 bitrate= 780.1kbits/s dup=221 drop=0 speed=0.904x    
frame=  630 fps= 28 q=29.0 size=    1988kB time=00:00:20.03 bitrate= 813.0kbits/s dup=221 drop=0 speed=0.891x    
frame=  641 fps= 28 q=29.0 size=    2035kB time=00:00:20.48 bitrate= 814.0kbits/s dup=221 drop=0 speed=0.888x    
frame=  653 fps= 28 q=29.0 size=    2077kB time=00:00:20.86 bitrate= 815.3kbits/s dup=221 drop=0 speed=0.883x    
frame=  666 fps= 28 q=29.0 size=    2126kB time=00:00:21.37 bitrate= 814.9kbits/s dup=225 drop=0 speed=0.883x    
frame=  678 fps= 27 q=29.0 size=    2182kB time=00:00:21.82 bitrate= 819.0kbits/s dup=231 drop=0 speed=0.881x    
frame=  690 fps= 27 q=29.0 size=    2233kB time=00:00:22.20 bitrate= 823.6kbits/s dup=237 drop=0 speed=0.877x    
frame=  702 fps= 27 q=29.0 size=    2286kB time=00:00:22.59 bitrate= 828.9kbits/s dup=243 drop=0 speed=0.873x    
frame=  716 fps= 27 q=29.0 size=    2316kB time=00:00:23.04 bitrate= 823.3kbits/s dup=250 drop=0 speed=0.873x    
frame=  728 fps= 27 q=29.0 size=    2355kB time=00:00:23.48 bitrate= 821.2kbits/s dup=256 drop=0 speed=0.873x    
frame=  742 fps= 27 q=29.0 size=    2382kB time=00:00:23.93 bitrate= 815.2kbits/s dup=263 drop=0 speed=0.873x    
frame=  754 fps= 27 q=29.0 size=    2413kB time=00:00:24.32 bitrate= 813.0kbits/s dup=269 drop=0 speed=0.871x    
frame=  768 fps= 27 q=29.0 size=    2448kB time=00:00:24.76 bitrate= 809.7kbits/s dup=276 drop=0 speed=0.869x    
frame=  784 fps= 27 q=29.0 size=    2471kB time=00:00:25.34 bitrate= 798.9kbits/s dup=284 drop=0 speed=0.872x    
frame=  792 fps= 27 q=29.0 size=    2575kB time=00:00:25.60 bitrate= 824.1kbits/s dup=288 drop=0 speed=0.866x    
frame=  808 fps= 27 q=29.0 size=    2763kB time=00:00:26.04 bitrate= 868.9kbits/s dup=293 drop=0 speed=0.865x    
frame=  825 fps= 27 q=29.0 size=    2775kB time=00:00:26.56 bitrate= 856.1kbits/s dup=293 drop=0 speed=0.867x    
frame=  839 fps= 27 q=29.0 size=    2806kB time=00:00:27.07 bitrate= 849.1kbits/s dup=293 drop=0 speed=0.868x    
frame=  848 fps= 27 q=29.0 size=    2877kB time=00:00:27.32 bitrate= 862.5kbits/s dup=293 drop=0 speed=0.861x    
frame=  860 fps= 27 q=29.0 size=    2923kB time=00:00:27.71 bitrate= 864.2kbits/s dup=293 drop=0 speed=0.859x    
frame=  870 fps= 27 q=29.0 size=    2970kB time=00:00:28.09 bitrate= 865.9kbits/s dup=293 drop=0 speed=0.857x    
frame=  881 fps= 26 q=29.0 size=    3096kB time=00:00:28.48 bitrate= 890.5kbits/s dup=293 drop=0 speed=0.85x    
frame=  894 fps= 26 q=29.0 size=    3127kB time=00:00:28.92 bitrate= 885.5kbits/s dup=293 drop=0 speed=0.849x    
frame=  906 fps= 26 q=29.0 size=    3161kB time=00:00:29.31 bitrate= 883.3kbits/s dup=293 drop=0 speed=0.848x    
frame=  918 fps= 26 q=29.0 size=    3224kB time=00:00:29.63 bitrate= 891.2kbits/s dup=293 drop=0 speed=0.843x    
frame=  927 fps= 26 q=29.0 size=    3269kB time=00:00:29.95 bitrate= 894.0kbits/s dup=293 drop=0 speed=0.84x    
frame=  937 fps= 26 q=29.0 size=    3321kB time=00:00:30.27 bitrate= 898.6kbits/s dup=293 drop=0 speed=0.837x    
frame=  941 fps= 26 q=29.0 size=    3402kB time=00:00:30.46 bitrate= 914.7kbits/s dup=293 drop=0 speed=0.83x    
frame=  954 fps= 26 q=29.0 size=    3448kB time=00:00:30.84 bitrate= 915.8kbits/s dup=293 drop=0 speed=0.827x    
frame=  963 fps= 25 q=29.0 size=    3492kB time=00:00:31.29 bitrate= 914.1kbits/s dup=294 drop=0 speed=0.828x    
frame=  973 fps= 25 q=29.0 size=    3554kB time=00:00:31.61 bitrate= 920.8kbits/s dup=299 drop=0 speed=0.825x    
frame=  985 fps= 25 q=29.0 size=    3618kB time=00:00:32.00 bitrate= 926.1kbits/s dup=305 drop=0 speed=0.823x    
frame=  995 fps= 25 q=29.0 size=    3664kB time=00:00:32.32 bitrate= 928.8kbits/s dup=310 drop=0 speed=0.82x    
frame= 1006 fps= 25 q=29.0 size=    3737kB time=00:00:32.57 bitrate= 939.9kbits/s dup=313 drop=0 speed=0.815x    
frame= 1017 fps= 25 q=29.0 size=    3760kB time=00:00:33.02 bitrate= 932.8kbits/s dup=313 drop=0 speed=0.816x    
frame= 1029 fps= 25 q=29.0 size=    3782kB time=00:00:33.40 bitrate= 927.3kbits/s dup=313 drop=0 speed=0.815x    
frame= 1042 fps= 25 q=29.0 size=    3818kB time=00:00:33.79 bitrate= 925.6kbits/s dup=313 drop=0 speed=0.814x    
frame= 1052 fps= 25 q=29.0 size=    4038kB time=00:00:34.17 bitrate= 967.8kbits/s dup=313 drop=0 speed=0.813x    
frame= 1065 fps= 25 q=29.0 size=    4090kB time=00:00:34.56 bitrate= 969.4kbits/s dup=313 drop=0 speed=0.812x    
frame= 1075 fps= 25 q=29.0 size=    4117kB time=00:00:34.94 bitrate= 965.3kbits/s dup=313 drop=0 speed=0.811x    
frame= 1085 fps= 25 q=29.0 size=    4242kB time=00:00:35.20 bitrate= 987.3kbits/s dup=313 drop=0 speed=0.807x    
frame= 1096 fps= 25 q=29.0 size=    4279kB time=00:00:35.64 bitrate= 983.3kbits/s dup=313 drop=0 speed=0.807x    
frame= 1108 fps= 25 q=29.0 size=    4317kB time=00:00:36.03 bitrate= 981.6kbits/s dup=313 drop=0 speed=0.806x    
frame= 1121 fps= 25 q=29.0 size=    4366kB time=00:00:36.48 bitrate= 980.3kbits/s dup=313 drop=0 speed=0.806x    
frame= 1133 fps= 25 q=29.0 size=    4417kB time=00:00:36.86 bitrate= 981.5kbits/s dup=313 drop=0 speed=0.804x    
frame= 1144 fps= 25 q=29.0 size=    4481kB time=00:00:37.18 bitrate= 987.2kbits/s dup=313 drop=0 speed=0.802x    
frame= 1154 fps= 25 q=29.0 size=    4524kB time=00:00:37.50 bitrate= 988.2kbits/s dup=313 drop=0 speed= 0.8x    
frame= 1165 fps= 25 q=29.0 size=    4570kB time=00:00:37.88 bitrate= 988.1kbits/s dup=313 drop=0 speed= 0.8x    
frame= 1177 fps= 25 q=29.0 size=    4612kB time=00:00:38.27 bitrate= 987.1kbits/s dup=313 drop=0 speed=0.799x    
frame= 1188 fps= 25 q=29.0 size=    4648kB time=00:00:38.65 bitrate= 985.0kbits/s dup=313 drop=0 speed=0.798x    
frame= 1200 fps= 24 q=29.0 size=    4778kB time=00:00:39.04 bitrate=1002.6kbits/s dup=313 drop=0 speed=0.794x    
frame= 1213 fps= 24 q=29.0 size=    4822kB time=00:00:39.48 bitrate=1000.3kbits/s dup=313 drop=0 speed=0.795x    
frame= 1225 fps= 24 q=29.0 size=    4874kB time=00:00:39.87 bitrate=1001.5kbits/s dup=313 drop=0 speed=0.794x    
frame= 1234 fps= 24 q=29.0 size=    4916kB time=00:00:40.25 bitrate=1000.4kbits/s dup=313 drop=0 speed=0.793x    
frame= 1246 fps= 24 q=29.0 size=    4963kB time=00:00:40.57 bitrate=1002.1kbits/s dup=313 drop=0 speed=0.791x    
frame= 1257 fps= 24 q=29.0 size=    5012kB time=00:00:41.02 bitrate=1000.9kbits/s dup=313 drop=0 speed=0.791x    
frame= 1269 fps= 24 q=29.0 size=    5059kB time=00:00:41.40 bitrate=1000.8kbits/s dup=313 drop=0 speed=0.79x    
frame= 1282 fps= 24 q=29.0 size=    5106kB time=00:00:41.79 bitrate=1000.9kbits/s dup=313 drop=0 speed=0.789x    
frame= 1294 fps= 24 q=29.0 size=    5149kB time=00:00:42.17 bitrate=1000.0kbits/s dup=313 drop=0 speed=0.787x    
frame= 1305 fps= 24 q=29.0 size=    5400kB time=00:00:42.56 bitrate=1039.3kbits/s dup=314 drop=0 speed=0.786x    
frame= 1315 fps= 24 q=29.0 size=    5440kB time=00:00:42.94 bitrate=1037.6kbits/s dup=314 drop=0 speed=0.786x    
frame= 1323 fps= 24 q=29.0 size=    5549kB time=00:00:43.20 bitrate=1052.2kbits/s dup=314 drop=0 speed=0.782x    
frame= 1336 fps= 24 q=29.0 size=    5587kB time=00:00:43.64 bitrate=1048.6kbits/s dup=314 drop=0 speed=0.783x    
frame= 1346 fps= 24 q=29.0 size=    5648kB time=00:00:43.90 bitrate=1053.9kbits/s dup=314 drop=0 speed=0.78x    
frame= 1355 fps= 24 q=29.0 size=    5694kB time=00:00:44.28 bitrate=1053.2kbits/s dup=314 drop=0 speed=0.779x    
frame= 1365 fps= 24 q=29.0 size=    5753kB time=00:00:44.54 bitrate=1058.0kbits/s dup=314 drop=0 speed=0.777x    
frame= 1374 fps= 24 q=29.0 size=    5792kB time=00:00:44.92 bitrate=1056.1kbits/s dup=314 drop=0 speed=0.776x    
frame= 1386 fps= 24 q=29.0 size=    5846kB time=00:00:45.24 bitrate=1058.4kbits/s dup=314 drop=0 speed=0.774x    
frame= 1396 fps= 24 q=29.0 size=    5893kB time=00:00:45.56 bitrate=1059.4kbits/s dup=314 drop=0 speed=0.773x    
frame= 1405 fps= 24 q=29.0 size=    5941kB time=00:00:45.95 bitrate=1059.1kbits/s dup=314 drop=0 speed=0.772x    
frame= 1416 fps= 24 q=29.0 size=    5982kB time=00:00:46.33 bitrate=1057.6kbits/s dup=314 drop=0 speed=0.772x    
frame= 1428 fps= 24 q=29.0 size=    6036kB time=00:00:46.78 bitrate=1057.0kbits/s dup=319 drop=0 speed=0.772x    
frame= 1440 fps= 24 q=29.0 size=    6085kB time=00:00:47.16 bitrate=1056.9kbits/s dup=325 drop=0 speed=0.772x    
frame= 1452 fps= 24 q=29.0 size=    6215kB time=00:00:47.48 bitrate=1072.2kbits/s dup=331 drop=0 speed=0.77x    
frame= 1463 fps= 24 q=29.0 size=    6264kB time=00:00:47.87 bitrate=1071.9kbits/s dup=332 drop=0 speed=0.769x    
frame= 1478 fps= 24 q=29.0 size=    6280kB time=00:00:48.32 bitrate=1064.6kbits/s dup=332 drop=0 speed=0.77x    
frame= 1492 fps= 24 q=29.0 size=    6299kB time=00:00:48.76 bitrate=1058.1kbits/s dup=332 drop=0 speed=0.771x    
frame= 1503 fps= 24 q=29.0 size=    6344kB time=00:00:49.21 bitrate=1056.0kbits/s dup=332 drop=0 speed=0.771x    
frame= 1515 fps= 24 q=29.0 size=    6392kB time=00:00:49.60 bitrate=1055.8kbits/s dup=332 drop=0 speed=0.77x    
frame= 1528 fps= 24 q=29.0 size=    6445kB time=00:00:49.98 bitrate=1056.3kbits/s dup=332 drop=0 speed=0.769x    
frame= 1538 fps= 23 q=29.0 size=    6481kB time=00:00:50.36 bitrate=1054.2kbits/s dup=332 drop=0 speed=0.769x    
frame= 1549 fps= 23 q=29.0 size=    6735kB time=00:00:50.68 bitrate=1088.4kbits/s dup=332 drop=0 speed=0.768x    
frame= 1561 fps= 23 q=29.0 size=    6779kB time=00:00:51.07 bitrate=1087.3kbits/s dup=332 drop=0 speed=0.768x    
frame= 1572 fps= 23 q=29.0 size=    6822kB time=00:00:51.45 bitrate=1086.2kbits/s dup=334 drop=0 speed=0.767x    
frame= 1580 fps= 23 q=29.0 size=    6926kB time=00:00:51.71 bitrate=1097.2kbits/s dup=334 drop=0 speed=0.764x    
frame= 1593 fps= 23 q=29.0 size=    6974kB time=00:00:52.16 bitrate=1095.3kbits/s dup=334 drop=0 speed=0.764x    
frame= 1603 fps= 23 q=29.0 size=    7011kB time=00:00:52.48 bitrate=1094.4kbits/s dup=334 drop=0 speed=0.763x    
frame= 1611 fps= 23 q=29.0 size=    7092kB time=00:00:52.73 bitrate=1101.7kbits/s dup=334 drop=0 speed=0.761x    
frame= 1618 fps= 23 q=29.0 size=    7119kB time=00:00:53.05 bitrate=1099.1kbits/s dup=334 drop=0 speed=0.76x    
frame= 1628 fps= 23 q=29.0 size=    7177kB time=00:00:53.31 bitrate=1102.9kbits/s dup=334 drop=0 speed=0.758x    
frame= 1638 fps= 23 q=29.0 size=    7217kB time=00:00:53.63 bitrate=1102.4kbits/s dup=334 drop=0 speed=0.757x    
frame= 1647 fps= 23 q=29.0 size=    7269kB time=00:00:53.95 bitrate=1103.8kbits/s dup=334 drop=0 speed=0.756x    
frame= 1657 fps= 23 q=29.0 size=    7310kB time=00:00:54.33 bitrate=1102.2kbits/s dup=334 drop=0 speed=0.755x    
frame= 1668 fps= 23 q=29.0 size=    7358kB time=00:00:54.72 bitrate=1101.6kbits/s dup=334 drop=0 speed=0.755x    
frame= 1678 fps= 23 q=29.0 size=    7408kB time=00:00:54.97 bitrate=1103.8kbits/s dup=334 drop=0 speed=0.753x    
frame= 1687 fps= 23 q=29.0 size=    7443kB time=00:00:55.36 bitrate=1101.4kbits/s dup=334 drop=0 speed=0.753x    
frame= 1699 fps= 23 q=29.0 size=    7488kB time=00:00:55.74 bitrate=1100.4kbits/s dup=334 drop=0 speed=0.753x    
frame= 1705 fps= 23 q=29.0 size=    7599kB time=00:00:55.93 bitrate=1112.9kbits/s dup=334 drop=0 speed=0.75x    
frame= 1718 fps= 23 q=29.0 size=    7634kB time=00:00:56.38 bitrate=1109.1kbits/s dup=334 drop=0 speed=0.751x    
frame= 1730 fps= 23 q=29.0 size=    7678kB time=00:00:56.70 bitrate=1109.2kbits/s dup=334 drop=0 speed=0.75x    
frame= 1741 fps= 23 q=29.0 size=    7714kB time=00:00:57.15 bitrate=1105.8kbits/s dup=334 drop=0 speed=0.751x    
frame= 1753 fps= 23 q=29.0 size=    7758kB time=00:00:57.53 bitrate=1104.6kbits/s dup=334 drop=0 speed=0.751x    
frame= 1764 fps= 23 q=29.0 size=    7799kB time=00:00:57.92 bitrate=1103.1kbits/s dup=334 drop=0 speed=0.751x    
frame= 1776 fps= 23 q=29.0 size=    7844kB time=00:00:58.24 bitrate=1103.4kbits/s dup=334 drop=0 speed=0.75x    
frame= 1785 fps= 23 q=29.0 size=    7887kB time=00:00:58.62 bitrate=1102.1kbits/s dup=334 drop=0 speed=0.75x    
frame= 1797 fps= 23 q=29.0 size=    7924kB time=00:00:59.00 bitrate=1100.0kbits/s dup=334 drop=0 speed=0.75x    
frame= 1808 fps= 23 q=29.0 size=    8159kB time=00:00:59.39 bitrate=1125.3kbits/s dup=334 drop=0 speed=0.75x    
frame= 1820 fps= 23 q=29.0 size=    8199kB time=00:00:59.77 bitrate=1123.6kbits/s dup=334 drop=0 speed=0.749x    
frame= 1828 fps= 23 q=29.0 size=    8314kB time=00:00:59.96 bitrate=1135.7kbits/s dup=334 drop=0 speed=0.747x    
frame= 1839 fps= 23 q=29.0 size=    8355kB time=00:01:00.41 bitrate=1132.8kbits/s dup=334 drop=0 speed=0.748x    
frame= 1849 fps= 23 q=29.0 size=    8417kB time=00:01:00.73 bitrate=1135.3kbits/s dup=334 drop=0 speed=0.747x    
frame= 1862 fps= 23 q=29.0 size=    8467kB time=00:01:01.12 bitrate=1134.8kbits/s dup=334 drop=0 speed=0.746x    
frame= 1874 fps= 23 q=29.0 size=    8507kB time=00:01:01.50 bitrate=1133.1kbits/s dup=334 drop=0 speed=0.746x    
frame= 1885 fps= 23 q=29.0 size=    8552kB time=00:01:01.95 bitrate=1130.8kbits/s dup=334 drop=0 speed=0.746x    
frame= 1897 fps= 23 q=29.0 size=    8608kB time=00:01:02.27 bitrate=1132.4kbits/s dup=334 drop=0 speed=0.745x    
frame= 1906 fps= 23 q=29.0 size=    8645kB time=00:01:02.59 bitrate=1131.5kbits/s dup=334 drop=0 speed=0.744x    
frame= 1916 fps= 23 q=29.0 size=    8680kB time=00:01:02.97 bitrate=1129.1kbits/s dup=334 drop=0 speed=0.744x    
frame= 1926 fps= 23 q=29.0 size=    8723kB time=00:01:03.29 bitrate=1129.0kbits/s dup=334 drop=0 speed=0.743x    
frame= 1937 fps= 23 q=29.0 size=    8759kB time=00:01:03.68 bitrate=1126.8kbits/s dup=334 drop=0 speed=0.743x    
frame= 1945 fps= 23 q=29.0 size=    8880kB time=00:01:03.87 bitrate=1139.0kbits/s dup=334 drop=0 speed=0.741x    
frame= 1956 fps= 23 q=29.0 size=    8913kB time=00:01:04.25 bitrate=1136.4kbits/s dup=334 drop=0 speed=0.741x    
frame= 1966 fps= 23 q=29.0 size=    8957kB time=00:01:04.64 bitrate=1135.1kbits/s dup=334 drop=0 speed=0.741x    
frame= 1977 fps= 23 q=29.0 size=    9002kB time=00:01:05.02 bitrate=1134.1kbits/s dup=334 drop=0 speed=0.741x    
frame= 1989 fps= 23 q=29.0 size=    9058kB time=00:01:05.34 bitrate=1135.6kbits/s dup=334 drop=0 speed=0.74x    
frame= 2000 fps= 23 q=29.0 size=    9095kB time=00:01:05.79 bitrate=1132.4kbits/s dup=335 drop=0 speed=0.741x    
