ffmpeg version 3.1.7 Copyright (c) 2000-2017 the FFmpeg developers
  built with gcc 5.4.0 (GCC)
  configuration: --disable-static --prefix=/cvmfs/soft.computecanada.ca/nix/store/n7qiyrcpyixibg8mijm826nb3hdb23j1-ffmpeg-3.1.7 --enable-gpl --enable-version3 --enable-shared --disable-static --enable-pic --enable-runtime-cpudetect --enable-hardcoded-tables --enable-pthreads --disable-w32threads --disable-os2threads --enable-network --enable-pixelutils --enable-ffmpeg --disable-ffplay --enable-ffprobe --disable-ffserver --enable-avcodec --enable-avdevice --enable-avfilter --enable-avformat --enable-avresample --enable-avutil --enable-postproc --enable-swresample --enable-swscale --disable-doc --enable-bzlib --enable-gnutls --enable-fontconfig --enable-libfreetype --enable-libmp3lame --enable-iconv --enable-libtheora --enable-vaapi --enable-vdpau --enable-libvorbis --enable-libvpx --enable-lzma --disable-opengl --enable-libpulse --enable-sdl --enable-libsoxr --enable-libx264 --enable-libxvid --enable-zlib --enable-libopus --enable-libx265 --disable-debug --enable-optimizations --disable-extra-warnings --disable-stripping
  libavutil      55. 28.100 / 55. 28.100
  libavcodec     57. 48.101 / 57. 48.101
  libavformat    57. 41.100 / 57. 41.100
  libavdevice    57.  0.101 / 57.  0.101
  libavfilter     6. 47.100 /  6. 47.100
  libavresample   3.  0.  0 /  3.  0.  0
  libswscale      4.  1.100 /  4.  1.100
  libswresample   2.  1.100 /  2.  1.100
  libpostproc    54.  0.100 / 54.  0.100
Input #0, mov,mp4,m4a,3gp,3g2,mj2, from '/project/6001934/lingheng/ROM_Video_Process/ROM_raw_videos/Sep_18/Camera1_Sep_18_1500_1600_Prescribed_Behavior.mp4':
  Metadata:
    major_brand     : isom
    minor_version   : 1
    compatible_brands: isom
    creation_time   : 2018-09-19 01:29:00
  Duration: 01:00:00.64, start: 0.000000, bitrate: 694 kb/s
    Stream #0:0(und): Video: h264 (Main) (avc1 / 0x31637661), yuvj420p(pc, bt709), 1920x1080 [SAR 1:1 DAR 16:9], 674 kb/s, 23.22 fps, 30 tbr, 16k tbn, 30 tbc (default)
    Metadata:
      handler_name    : VideoHandler
    Stream #0:1(und): Audio: aac (LC) (mp4a / 0x6134706D), 16000 Hz, mono, fltp, 16 kb/s (default)
    Metadata:
      creation_time   : 2018-09-19 01:29:04
      handler_name    : GPAC ISO Audio Handler
    Stream #0:2(eng): Subtitle: mov_text (tx3g / 0x67337874), 800x60, 0 kb/s (default)
    Metadata:
      rotate          : 0
      creation_time   : 2018-09-19 01:29:04
      handler_name    : 0f44e50cfd724d8fbc11c05be7272ce4.subtitles.ttxt:hdlr=sbtl:lang=en:group=2:layer=1 - Imported with GPAC 0.5.0-rev4065
Input #1, png_pipe, from '/project/6001934/lingheng/ROM_Video_Process/Openpose_Video_Analysis_Code/camera1_transparent_img.png':
  Duration: N/A, bitrate: N/A
    Stream #1:0: Video: png, rgba(pc), 1920x1080, 25 tbr, 25 tbn, 25 tbc
[swscaler @ 0x1d462a0] deprecated pixel format used, make sure you did set range correctly
[avi @ 0x1a9aec0] Using AVStream.codec to pass codec parameters to muxers is deprecated, use AVStream.codecpar instead.
    Last message repeated 1 times
Output #0, avi, to '/project/6001934/lingheng/ROM_Video_Process/ROM_raw_videos_with_interst_area_ffmpeg_new2/Sep_18/Camera1_Sep_18_1500_1600_Prescribed_Behavior_ffmpeg_with_interest_area.avi':
  Metadata:
    major_brand     : isom
    minor_version   : 1
    compatible_brands: isom
    ISFT            : Lavf57.41.100
    Stream #0:0: Video: mpeg4 (FMP4 / 0x34504D46), yuv420p, 1920x1080 [SAR 1:1 DAR 16:9], q=2-31, 200 kb/s, 15 fps, 15 tbn, 15 tbc (default)
    Metadata:
      encoder         : Lavc57.48.101 mpeg4
    Side data:
      cpb: bitrate max/min/avg: 0/0/200000 buffer size: 0 vbv_delay: -1
    Stream #0:1(und): Audio: aac (LC) ([255][0][0][0] / 0x00FF), 16000 Hz, mono, 16 kb/s (default)
    Metadata:
      creation_time   : 2018-09-19 01:29:04
      handler_name    : GPAC ISO Audio Handler
Stream mapping:
  Stream #0:0 (h264) -> overlay:main
  Stream #1:0 (png) -> overlay:overlay
  overlay -> Stream #0:0 (mpeg4)
  Stream #0:1 -> #0:1 (copy)
Press [q] to stop, [?] for help
frame=   19 fps=0.0 q=31.0 size=     342kB time=00:00:01.33 bitrate=2104.2kbits/s speed= 2.6x    
frame=   35 fps= 34 q=31.0 size=     413kB time=00:00:02.40 bitrate=1410.0kbits/s dup=0 drop=9 speed=2.34x    
frame=   49 fps= 32 q=24.8 size=     504kB time=00:00:03.33 bitrate=1238.8kbits/s dup=0 drop=23 speed=2.17x    
frame=   63 fps= 31 q=31.0 size=     579kB time=00:00:04.26 bitrate=1111.2kbits/s dup=0 drop=37 speed=2.08x    
frame=   77 fps= 30 q=31.0 size=     656kB time=00:00:05.20 bitrate=1033.3kbits/s dup=0 drop=51 speed=2.04x    
frame=   90 fps= 29 q=31.0 size=     711kB time=00:00:06.06 bitrate= 959.9kbits/s dup=0 drop=64 speed=1.99x    
frame=  103 fps= 29 q=31.0 size=     784kB time=00:00:06.93 bitrate= 926.6kbits/s dup=0 drop=77 speed=1.95x    
frame=  117 fps= 29 q=31.0 size=     856kB time=00:00:07.86 bitrate= 891.9kbits/s dup=0 drop=91 speed=1.93x    
frame=  131 fps= 29 q=31.0 size=     936kB time=00:00:08.80 bitrate= 871.4kbits/s dup=0 drop=105 speed=1.92x    
frame=  145 fps= 28 q=24.8 size=    1009kB time=00:00:09.73 bitrate= 849.2kbits/s dup=0 drop=119 speed=1.91x    
frame=  158 fps= 28 q=31.0 size=    1081kB time=00:00:10.60 bitrate= 835.1kbits/s dup=0 drop=132 speed=1.89x    
frame=  171 fps= 28 q=31.0 size=    1171kB time=00:00:11.46 bitrate= 836.9kbits/s dup=0 drop=145 speed=1.87x    
frame=  184 fps= 28 q=31.0 size=    1260kB time=00:00:12.33 bitrate= 836.6kbits/s dup=0 drop=158 speed=1.86x    
frame=  196 fps= 27 q=31.0 size=    1332kB time=00:00:13.13 bitrate= 831.0kbits/s dup=0 drop=170 speed=1.84x    
frame=  207 fps= 27 q=31.0 size=    1401kB time=00:00:13.86 bitrate= 827.4kbits/s dup=0 drop=181 speed=1.81x    
frame=  220 fps= 27 q=31.0 size=    1472kB time=00:00:14.73 bitrate= 818.6kbits/s dup=0 drop=194 speed= 1.8x    
frame=  233 fps= 27 q=31.0 size=    1590kB time=00:00:15.60 bitrate= 834.7kbits/s dup=0 drop=207 speed= 1.8x    
frame=  246 fps= 27 q=31.0 size=    1664kB time=00:00:16.46 bitrate= 827.8kbits/s dup=0 drop=220 speed=1.79x    
frame=  260 fps= 27 q=31.0 size=    1737kB time=00:00:17.40 bitrate= 817.9kbits/s dup=0 drop=234 speed= 1.8x    
frame=  272 fps= 27 q=31.0 size=    1814kB time=00:00:18.20 bitrate= 816.6kbits/s dup=0 drop=246 speed=1.78x    
frame=  285 fps= 27 q=31.0 size=    1881kB time=00:00:19.06 bitrate= 808.1kbits/s dup=0 drop=259 speed=1.78x    
frame=  298 fps= 27 q=31.0 size=    1952kB time=00:00:19.93 bitrate= 802.3kbits/s dup=0 drop=272 speed=1.78x    
frame=  311 fps= 27 q=31.0 size=    2026kB time=00:00:20.80 bitrate= 797.8kbits/s dup=0 drop=285 speed=1.77x    
frame=  324 fps= 26 q=31.0 size=    2097kB time=00:00:21.66 bitrate= 792.9kbits/s dup=0 drop=298 speed=1.77x    
frame=  337 fps= 26 q=24.8 size=    2171kB time=00:00:22.53 bitrate= 789.3kbits/s dup=0 drop=311 speed=1.77x    
frame=  350 fps= 26 q=31.0 size=    2244kB time=00:00:23.40 bitrate= 785.5kbits/s dup=0 drop=324 speed=1.77x    
frame=  364 fps= 26 q=31.0 size=    2329kB time=00:00:24.33 bitrate= 784.2kbits/s dup=0 drop=338 speed=1.77x    
frame=  377 fps= 26 q=31.0 size=    2445kB time=00:00:25.20 bitrate= 794.7kbits/s dup=0 drop=351 speed=1.77x    
frame=  390 fps= 26 q=31.0 size=    2517kB time=00:00:26.06 bitrate= 790.9kbits/s dup=0 drop=364 speed=1.76x    
frame=  403 fps= 26 q=31.0 size=    2591kB time=00:00:26.93 bitrate= 788.0kbits/s dup=0 drop=377 speed=1.76x    
frame=  416 fps= 26 q=31.0 size=    2663kB time=00:00:27.80 bitrate= 784.6kbits/s dup=0 drop=389 speed=1.76x    
frame=  430 fps= 26 q=31.0 size=    2753kB time=00:00:28.73 bitrate= 785.0kbits/s dup=0 drop=403 speed=1.76x    
frame=  444 fps= 26 q=31.0 size=    2836kB time=00:00:29.66 bitrate= 783.0kbits/s dup=0 drop=417 speed=1.77x    
frame=  458 fps= 26 q=31.0 size=    2903kB time=00:00:30.60 bitrate= 777.2kbits/s dup=0 drop=431 speed=1.77x    
frame=  471 fps= 26 q=31.0 size=    2969kB time=00:00:31.46 bitrate= 772.9kbits/s dup=0 drop=444 speed=1.76x    
frame=  484 fps= 26 q=31.0 size=    3038kB time=00:00:32.33 bitrate= 769.7kbits/s dup=0 drop=457 speed=1.76x    
frame=  498 fps= 26 q=31.0 size=    3147kB time=00:00:33.26 bitrate= 775.1kbits/s dup=0 drop=471 speed=1.76x    
frame=  511 fps= 26 q=31.0 size=    3221kB time=00:00:34.13 bitrate= 773.0kbits/s dup=0 drop=484 speed=1.76x    
frame=  526 fps= 26 q=31.0 size=    3288kB time=00:00:35.13 bitrate= 766.6kbits/s dup=0 drop=499 speed=1.77x    
frame=  539 fps= 26 q=31.0 size=    3362kB time=00:00:36.00 bitrate= 765.1kbits/s dup=0 drop=512 speed=1.77x    
frame=  552 fps= 26 q=31.0 size=    3431kB time=00:00:36.86 bitrate= 762.4kbits/s dup=0 drop=525 speed=1.77x    
frame=  564 fps= 26 q=31.0 size=    3500kB time=00:00:37.66 bitrate= 761.3kbits/s dup=0 drop=537 speed=1.76x    
frame=  577 fps= 26 q=24.8 size=    3579kB time=00:00:38.53 bitrate= 761.0kbits/s dup=0 drop=550 speed=1.76x    
frame=  591 fps= 26 q=31.0 size=    3681kB time=00:00:39.46 bitrate= 764.1kbits/s dup=0 drop=563 speed=1.76x    
frame=  605 fps= 26 q=31.0 size=    3796kB time=00:00:40.40 bitrate= 769.8kbits/s dup=0 drop=576 speed=1.76x    
frame=  619 fps= 26 q=31.0 size=    3901kB time=00:00:41.33 bitrate= 773.1kbits/s dup=0 drop=590 speed=1.76x    
frame=  631 fps= 26 q=31.0 size=    3971kB time=00:00:42.13 bitrate= 772.1kbits/s dup=0 drop=602 speed=1.76x    
frame=  644 fps= 26 q=31.0 size=    4039kB time=00:00:43.00 bitrate= 769.5kbits/s dup=0 drop=615 speed=1.76x    
frame=  657 fps= 26 q=31.0 size=    4111kB time=00:00:43.86 bitrate= 767.7kbits/s dup=0 drop=628 speed=1.76x    
frame=  672 fps= 26 q=31.0 size=    4187kB time=00:00:44.86 bitrate= 764.4kbits/s dup=0 drop=643 speed=1.76x    
frame=  684 fps= 26 q=31.0 size=    4260kB time=00:00:45.66 bitrate= 764.1kbits/s dup=0 drop=655 speed=1.76x    
frame=  698 fps= 26 q=31.0 size=    4331kB time=00:00:46.60 bitrate= 761.4kbits/s dup=0 drop=667 speed=1.76x    
frame=  710 fps= 26 q=31.0 size=    4411kB time=00:00:47.40 bitrate= 762.3kbits/s dup=0 drop=679 speed=1.75x    
frame=  724 fps= 26 q=31.0 size=    4475kB time=00:00:48.33 bitrate= 758.4kbits/s dup=0 drop=693 speed=1.76x    
frame=  737 fps= 26 q=31.0 size=    4539kB time=00:00:49.20 bitrate= 755.8kbits/s dup=0 drop=706 speed=1.75x    
frame=  750 fps= 26 q=31.0 size=    4649kB time=00:00:50.06 bitrate= 760.7kbits/s dup=0 drop=719 speed=1.75x    
frame=  765 fps= 26 q=31.0 size=    4716kB time=00:00:51.06 bitrate= 756.5kbits/s dup=0 drop=734 speed=1.76x    
frame=  778 fps= 26 q=31.0 size=    4785kB time=00:00:51.93 bitrate= 754.8kbits/s dup=0 drop=747 speed=1.76x    
frame=  791 fps= 26 q=31.0 size=    4853kB time=00:00:52.80 bitrate= 752.9kbits/s dup=0 drop=760 speed=1.76x    
frame=  804 fps= 26 q=31.0 size=    4917kB time=00:00:53.66 bitrate= 750.6kbits/s dup=0 drop=773 speed=1.75x    
frame=  817 fps= 26 q=24.8 size=    4982kB time=00:00:54.53 bitrate= 748.4kbits/s dup=0 drop=786 speed=1.75x    
frame=  831 fps= 26 q=31.0 size=    5048kB time=00:00:55.46 bitrate= 745.6kbits/s dup=0 drop=800 speed=1.76x    
frame=  844 fps= 26 q=31.0 size=    5168kB time=00:00:56.33 bitrate= 751.5kbits/s dup=0 drop=813 speed=1.76x    
frame=  858 fps= 26 q=31.0 size=    5238kB time=00:00:57.26 bitrate= 749.3kbits/s dup=0 drop=827 speed=1.76x    
frame=  870 fps= 26 q=31.0 size=    5308kB time=00:00:58.06 bitrate= 748.9kbits/s dup=0 drop=839 speed=1.75x    
frame=  884 fps= 26 q=31.0 size=    5373kB time=00:00:59.00 bitrate= 746.1kbits/s dup=0 drop=853 speed=1.76x    
frame=  897 fps= 26 q=31.0 size=    5447kB time=00:00:59.86 bitrate= 745.4kbits/s dup=0 drop=866 speed=1.75x    
frame=  911 fps= 26 q=31.0 size=    5522kB time=00:01:00.80 bitrate= 744.1kbits/s dup=0 drop=880 speed=1.76x    
frame=  924 fps= 26 q=31.0 size=    5592kB time=00:01:01.66 bitrate= 742.8kbits/s dup=0 drop=893 speed=1.75x    
frame=  938 fps= 26 q=31.0 size=    5659kB time=00:01:02.60 bitrate= 740.5kbits/s dup=0 drop=907 speed=1.76x    
frame=  950 fps= 26 q=31.0 size=    5728kB time=00:01:03.40 bitrate= 740.2kbits/s dup=0 drop=919 speed=1.75x    
frame=  964 fps= 26 q=31.0 size=    5803kB time=00:01:04.33 bitrate= 738.9kbits/s dup=0 drop=933 speed=1.75x    
frame=  978 fps= 26 q=31.0 size=    5913kB time=00:01:05.26 bitrate= 742.2kbits/s dup=0 drop=947 speed=1.76x    
frame=  991 fps= 26 q=31.0 size=    5995kB time=00:01:06.13 bitrate= 742.6kbits/s dup=0 drop=960 speed=1.75x    
frame= 1004 fps= 26 q=31.0 size=    6066kB time=00:01:07.00 bitrate= 741.7kbits/s dup=0 drop=973 speed=1.75x    
frame= 1017 fps= 26 q=31.0 size=    6142kB time=00:01:07.86 bitrate= 741.4kbits/s dup=0 drop=986 speed=1.75x    
frame= 1030 fps= 26 q=31.0 size=    6220kB time=00:01:08.73 bitrate= 741.3kbits/s dup=0 drop=999 speed=1.75x    
frame= 1043 fps= 26 q=31.0 size=    6303kB time=00:01:09.60 bitrate= 741.9kbits/s dup=0 drop=1012 speed=1.75x    
frame= 1057 fps= 26 q=24.8 size=    6385kB time=00:01:10.53 bitrate= 741.6kbits/s dup=0 drop=1026 speed=1.75x    
frame= 1070 fps= 26 q=31.0 size=    6472kB time=00:01:11.40 bitrate= 742.5kbits/s dup=0 drop=1039 speed=1.75x    
frame= 1083 fps= 26 q=31.0 size=    6552kB time=00:01:12.26 bitrate= 742.7kbits/s dup=0 drop=1052 speed=1.75x    
frame= 1095 fps= 26 q=31.0 size=    6626kB time=00:01:13.06 bitrate= 742.9kbits/s dup=0 drop=1064 speed=1.75x    
frame= 1108 fps= 26 q=31.0 size=    6699kB time=00:01:13.93 bitrate= 742.3kbits/s dup=0 drop=1077 speed=1.75x    
frame= 1122 fps= 26 q=31.0 size=    6811kB time=00:01:14.86 bitrate= 745.3kbits/s dup=0 drop=1091 speed=1.75x    
frame= 1135 fps= 26 q=31.0 size=    6884kB time=00:01:15.73 bitrate= 744.6kbits/s dup=0 drop=1104 speed=1.75x    
frame= 1148 fps= 26 q=31.0 size=    6952kB time=00:01:16.60 bitrate= 743.5kbits/s dup=0 drop=1117 speed=1.75x    
frame= 1161 fps= 26 q=31.0 size=    7021kB time=00:01:17.46 bitrate= 742.5kbits/s dup=0 drop=1130 speed=1.75x    
frame= 1174 fps= 26 q=31.0 size=    7085kB time=00:01:18.33 bitrate= 740.9kbits/s dup=0 drop=1143 speed=1.75x    
frame= 1186 fps= 26 q=31.0 size=    7153kB time=00:01:19.13 bitrate= 740.5kbits/s dup=0 drop=1155 speed=1.75x    
frame= 1200 fps= 26 q=31.0 size=    7217kB time=00:01:20.06 bitrate= 738.4kbits/s dup=0 drop=1169 speed=1.75x    
frame= 1213 fps= 26 q=24.8 size=    7288kB time=00:01:20.93 bitrate= 737.7kbits/s dup=0 drop=1182 speed=1.75x    
frame= 1227 fps= 26 q=31.0 size=    7356kB time=00:01:21.86 bitrate= 736.1kbits/s dup=0 drop=1196 speed=1.75x    
frame= 1241 fps= 26 q=31.0 size=    7421kB time=00:01:22.80 bitrate= 734.2kbits/s dup=0 drop=1210 speed=1.75x    
frame= 1253 fps= 26 q=31.0 size=    7530kB time=00:01:23.60 bitrate= 737.9kbits/s dup=0 drop=1222 speed=1.75x    
frame= 1266 fps= 26 q=31.0 size=    7598kB time=00:01:24.46 bitrate= 736.9kbits/s dup=0 drop=1235 speed=1.75x    
frame= 1278 fps= 26 q=31.0 size=    7669kB time=00:01:25.26 bitrate= 736.8kbits/s dup=0 drop=1247 speed=1.75x    
frame= 1292 fps= 26 q=31.0 size=    7740kB time=00:01:26.20 bitrate= 735.6kbits/s dup=0 drop=1261 speed=1.75x    
frame= 1305 fps= 26 q=31.0 size=    7812kB time=00:01:27.06 bitrate= 735.1kbits/s dup=0 drop=1274 speed=1.75x    
frame= 1320 fps= 26 q=31.0 size=    7880kB time=00:01:28.06 bitrate= 733.0kbits/s dup=0 drop=1289 speed=1.75x    
frame= 1332 fps= 26 q=31.0 size=    7956kB time=00:01:28.86 bitrate= 733.4kbits/s dup=0 drop=1301 speed=1.75x    
frame= 1346 fps= 26 q=31.0 size=    8025kB time=00:01:29.80 bitrate= 732.1kbits/s dup=0 drop=1315 speed=1.75x    
frame= 1359 fps= 26 q=31.0 size=    8105kB time=00:01:30.66 bitrate= 732.3kbits/s dup=0 drop=1328 speed=1.75x    
frame= 1372 fps= 26 q=31.0 size=    8222kB time=00:01:31.53 bitrate= 735.8kbits/s dup=0 drop=1341 speed=1.75x    
frame= 1386 fps= 26 q=31.0 size=    8298kB time=00:01:32.46 bitrate= 735.2kbits/s dup=0 drop=1355 speed=1.75x    
frame= 1399 fps= 26 q=31.0 size=    8374kB time=00:01:33.33 bitrate= 735.0kbits/s dup=0 drop=1368 speed=1.75x    
frame= 1413 fps= 26 q=31.0 size=    8444kB time=00:01:34.26 bitrate= 733.8kbits/s dup=0 drop=1382 speed=1.75x    
frame= 1425 fps= 26 q=31.0 size=    8518kB time=00:01:35.06 bitrate= 734.0kbits/s dup=0 drop=1394 speed=1.75x    
frame= 1439 fps= 26 q=31.0 size=    8588kB time=00:01:36.00 bitrate= 732.8kbits/s dup=0 drop=1408 speed=1.75x    
frame= 1453 fps= 26 q=24.8 size=    8666kB time=00:01:36.93 bitrate= 732.4kbits/s dup=0 drop=1422 speed=1.75x    
frame= 1467 fps= 26 q=31.0 size=    8742kB time=00:01:37.86 bitrate= 731.7kbits/s dup=0 drop=1436 speed=1.75x    
frame= 1481 fps= 26 q=31.0 size=    8858kB time=00:01:38.80 bitrate= 734.5kbits/s dup=0 drop=1450 speed=1.75x    
frame= 1494 fps= 26 q=31.0 size=    8932kB time=00:01:39.66 bitrate= 734.1kbits/s dup=0 drop=1463 speed=1.75x    
frame= 1507 fps= 26 q=31.0 size=    9003kB time=00:01:40.53 bitrate= 733.6kbits/s dup=0 drop=1476 speed=1.75x    
frame= 1520 fps= 26 q=31.0 size=    9075kB time=00:01:41.40 bitrate= 733.1kbits/s dup=0 drop=1489 speed=1.75x    
frame= 1534 fps= 26 q=31.0 size=    9150kB time=00:01:42.33 bitrate= 732.5kbits/s dup=0 drop=1503 speed=1.75x    
frame= 1548 fps= 26 q=31.0 size=    9226kB time=00:01:43.26 bitrate= 731.9kbits/s dup=0 drop=1517 speed=1.75x    
frame= 1562 fps= 26 q=31.0 size=    9300kB time=00:01:44.20 bitrate= 731.1kbits/s dup=0 drop=1531 speed=1.75x    
frame= 1575 fps= 26 q=31.0 size=    9374kB time=00:01:45.06 bitrate= 730.9kbits/s dup=0 drop=1544 speed=1.75x    
frame= 1588 fps= 26 q=31.0 size=    9448kB time=00:01:45.93 bitrate= 730.6kbits/s dup=0 drop=1557 speed=1.75x    
frame= 1602 fps= 26 q=31.0 size=    9558kB time=00:01:46.86 bitrate= 732.7kbits/s dup=0 drop=1571 speed=1.75x    
frame= 1615 fps= 26 q=31.0 size=    9635kB time=00:01:47.73 bitrate= 732.6kbits/s dup=0 drop=1584 speed=1.75x    
frame= 1630 fps= 26 q=31.0 size=    9707kB time=00:01:48.73 bitrate= 731.4kbits/s dup=0 drop=1599 speed=1.75x    
frame= 1643 fps= 26 q=31.0 size=    9776kB time=00:01:49.60 bitrate= 730.7kbits/s dup=0 drop=1612 speed=1.75x    
frame= 1657 fps= 26 q=24.8 size=    9846kB time=00:01:50.53 bitrate= 729.7kbits/s dup=0 drop=1626 speed=1.75x    
frame= 1669 fps= 26 q=24.8 size=    9913kB time=00:01:51.33 bitrate= 729.4kbits/s dup=0 drop=1638 speed=1.75x    
frame= 1682 fps= 26 q=31.0 size=    9977kB time=00:01:52.20 bitrate= 728.5kbits/s dup=0 drop=1651 speed=1.75x    
frame= 1694 fps= 26 q=31.0 size=   10050kB time=00:01:53.00 bitrate= 728.6kbits/s dup=0 drop=1663 speed=1.75x    
frame= 1708 fps= 26 q=31.0 size=   10159kB time=00:01:53.93 bitrate= 730.5kbits/s dup=0 drop=1677 speed=1.75x    
frame= 1723 fps= 26 q=31.0 size=   10230kB time=00:01:54.93 bitrate= 729.1kbits/s dup=0 drop=1692 speed=1.75x    
frame= 1736 fps= 26 q=31.0 size=   10300kB time=00:01:55.80 bitrate= 728.6kbits/s dup=0 drop=1705 speed=1.75x    
frame= 1749 fps= 26 q=31.0 size=   10372kB time=00:01:56.66 bitrate= 728.3kbits/s dup=0 drop=1718 speed=1.75x    
frame= 1762 fps= 26 q=31.0 size=   10437kB time=00:01:57.53 bitrate= 727.5kbits/s dup=0 drop=1731 speed=1.75x    
frame= 1775 fps= 26 q=31.0 size=   10503kB time=00:01:58.40 bitrate= 726.7kbits/s dup=0 drop=1744 speed=1.75x    
frame= 1789 fps= 26 q=24.8 size=   10574kB time=00:01:59.33 bitrate= 725.9kbits/s dup=0 drop=1758 speed=1.75x    
frame= 1806 fps= 26 q=31.0 size=   10696kB time=00:02:00.46 bitrate= 727.3kbits/s dup=0 drop=1767 speed=1.75x    
frame= 1829 fps= 26 q=31.0 size=   10825kB time=00:02:02.00 bitrate= 726.9kbits/s dup=0 drop=1767 speed=1.76x    
frame= 1852 fps= 27 q=31.0 size=   10952kB time=00:02:03.53 bitrate= 726.3kbits/s dup=0 drop=1767 speed=1.77x    
frame= 1873 fps= 27 q=24.8 size=   11034kB time=00:02:04.93 bitrate= 723.5kbits/s dup=0 drop=1767 speed=1.78x    
frame= 1896 fps= 27 q=31.0 size=   11168kB time=00:02:06.46 bitrate= 723.4kbits/s dup=0 drop=1767 speed=1.79x    
frame= 1919 fps= 27 q=31.0 size=   11308kB time=00:02:08.00 bitrate= 723.7kbits/s dup=0 drop=1767 speed= 1.8x    
frame= 1943 fps= 27 q=31.0 size=   11438kB time=00:02:09.60 bitrate= 723.0kbits/s dup=0 drop=1767 speed=1.81x    
frame= 1967 fps= 27 q=31.0 size=   11575kB time=00:02:11.20 bitrate= 722.8kbits/s dup=0 drop=1767 speed=1.82x    
frame= 1990 fps= 27 q=31.0 size=   11718kB time=00:02:12.73 bitrate= 723.2kbits/s dup=0 drop=1767 speed=1.82x    
frame= 2012 fps= 27 q=31.0 size=   11849kB time=00:02:14.20 bitrate= 723.3kbits/s dup=0 drop=1767 speed=1.83x    
frame= 2035 fps= 28 q=31.0 size=   11981kB time=00:02:15.73 bitrate= 723.1kbits/s dup=0 drop=1767 speed=1.84x    
frame= 2058 fps= 28 q=31.0 size=   12114kB time=00:02:17.26 bitrate= 723.0kbits/s dup=0 drop=1767 speed=1.85x    
frame= 2082 fps= 28 q=31.0 size=   12253kB time=00:02:18.86 bitrate= 722.8kbits/s dup=0 drop=1767 speed=1.86x    
frame= 2106 fps= 28 q=31.0 size=   12399kB time=00:02:20.46 bitrate= 723.1kbits/s dup=0 drop=1767 speed=1.87x    
frame= 2129 fps= 28 q=31.0 size=   12534kB time=00:02:22.00 bitrate= 723.1kbits/s dup=0 drop=1767 speed=1.87x    
frame= 2144 fps= 28 q=31.0 size=   12603kB time=00:02:23.00 bitrate= 722.0kbits/s dup=0 drop=1778 speed=1.87x    
frame= 2157 fps= 28 q=31.0 size=   12682kB time=00:02:23.86 bitrate= 722.2kbits/s dup=0 drop=1791 speed=1.87x    
frame= 2170 fps= 28 q=31.0 size=   12764kB time=00:02:24.73 bitrate= 722.4kbits/s dup=0 drop=1804 speed=1.87x    
frame= 2185 fps= 28 q=24.8 size=   12841kB time=00:02:25.73 bitrate= 721.8kbits/s dup=0 drop=1819 speed=1.87x    
frame= 2198 fps= 28 q=31.0 size=   12929kB time=00:02:26.60 bitrate= 722.4kbits/s dup=0 drop=1832 speed=1.87x    
frame= 2212 fps= 28 q=31.0 size=   13012kB time=00:02:27.53 bitrate= 722.5kbits/s dup=0 drop=1846 speed=1.87x    
