ffmpeg version 3.1.7 Copyright (c) 2000-2017 the FFmpeg developers
  built with gcc 5.4.0 (GCC)
  configuration: --disable-static --prefix=/cvmfs/soft.computecanada.ca/nix/store/n7qiyrcpyixibg8mijm826nb3hdb23j1-ffmpeg-3.1.7 --enable-gpl --enable-version3 --enable-shared --disable-static --enable-pic --enable-runtime-cpudetect --enable-hardcoded-tables --enable-pthreads --disable-w32threads --disable-os2threads --enable-network --enable-pixelutils --enable-ffmpeg --disable-ffplay --enable-ffprobe --disable-ffserver --enable-avcodec --enable-avdevice --enable-avfilter --enable-avformat --enable-avresample --enable-avutil --enable-postproc --enable-swresample --enable-swscale --disable-doc --enable-bzlib --enable-gnutls --enable-fontconfig --enable-libfreetype --enable-libmp3lame --enable-iconv --enable-libtheora --enable-vaapi --enable-vdpau --enable-libvorbis --enable-libvpx --enable-lzma --disable-opengl --enable-libpulse --enable-sdl --enable-libsoxr --enable-libx264 --enable-libxvid --enable-zlib --enable-libopus --enable-libx265 --disable-debug --enable-optimizations --disable-extra-warnings --disable-stripping
  libavutil      55. 28.100 / 55. 28.100
  libavcodec     57. 48.101 / 57. 48.101
  libavformat    57. 41.100 / 57. 41.100
  libavdevice    57.  0.101 / 57.  0.101
  libavfilter     6. 47.100 /  6. 47.100
  libavresample   3.  0.  0 /  3.  0.  0
  libswscale      4.  1.100 /  4.  1.100
  libswresample   2.  1.100 /  2.  1.100
  libpostproc    54.  0.100 / 54.  0.100
Input #0, mov,mp4,m4a,3gp,3g2,mj2, from '/project/6001934/lingheng/ROM_Video_Process/ROM_raw_videos/Sep_19/Camera1_Sep_19_1500_1600_Prescribed_Behavior.mp4':
  Metadata:
    major_brand     : isom
    minor_version   : 1
    compatible_brands: isom
    creation_time   : 2018-09-20 19:59:49
  Duration: 01:00:00.90, start: 0.000000, bitrate: 587 kb/s
    Stream #0:0(und): Video: h264 (Main) (avc1 / 0x31637661), yuvj420p(pc, bt709), 1920x1080 [SAR 1:1 DAR 16:9], 568 kb/s, 21.45 fps, 30 tbr, 16k tbn, 30 tbc (default)
    Metadata:
      handler_name    : VideoHandler
    Stream #0:1(und): Audio: aac (LC) (mp4a / 0x6134706D), 16000 Hz, mono, fltp, 16 kb/s (default)
    Metadata:
      creation_time   : 2018-09-20 19:59:54
      handler_name    : GPAC ISO Audio Handler
    Stream #0:2(eng): Subtitle: mov_text (tx3g / 0x67337874), 800x60, 0 kb/s (default)
    Metadata:
      rotate          : 0
      creation_time   : 2018-09-20 19:59:54
      handler_name    : 5276a05421224444bfbd4ad930474964.subtitles.ttxt:hdlr=sbtl:lang=en:group=2:layer=1 - Imported with GPAC 0.5.0-rev4065
Input #1, png_pipe, from '/project/6001934/lingheng/ROM_Video_Process/Openpose_Video_Analysis_Code/camera1_transparent_img.png':
  Duration: N/A, bitrate: N/A
    Stream #1:0: Video: png, rgba(pc), 1920x1080, 25 tbr, 25 tbn, 25 tbc
[swscaler @ 0xd11c20] deprecated pixel format used, make sure you did set range correctly
[avi @ 0xa72e80] Using AVStream.codec to pass codec parameters to muxers is deprecated, use AVStream.codecpar instead.
    Last message repeated 1 times
Output #0, avi, to '/project/6001934/lingheng/ROM_Video_Process/ROM_raw_videos_with_interst_area_ffmpeg_new2/Sep_19/Camera1_Sep_19_1500_1600_Prescribed_Behavior_ffmpeg_with_interest_area.avi':
  Metadata:
    major_brand     : isom
    minor_version   : 1
    compatible_brands: isom
    ISFT            : Lavf57.41.100
    Stream #0:0: Video: mpeg4 (FMP4 / 0x34504D46), yuv420p, 1920x1080 [SAR 1:1 DAR 16:9], q=2-31, 200 kb/s, 15 fps, 15 tbn, 15 tbc (default)
    Metadata:
      encoder         : Lavc57.48.101 mpeg4
    Side data:
      cpb: bitrate max/min/avg: 0/0/200000 buffer size: 0 vbv_delay: -1
    Stream #0:1(und): Audio: aac (LC) ([255][0][0][0] / 0x00FF), 16000 Hz, mono, 16 kb/s (default)
    Metadata:
      creation_time   : 2018-09-20 19:59:54
      handler_name    : GPAC ISO Audio Handler
Stream mapping:
  Stream #0:0 (h264) -> overlay:main
  Stream #1:0 (png) -> overlay:overlay
  overlay -> Stream #0:0 (mpeg4)
  Stream #0:1 -> #0:1 (copy)
Press [q] to stop, [?] for help
frame=   13 fps=0.0 q=21.8 size=     277kB time=00:00:00.93 bitrate=2432.5kbits/s speed=1.84x    
frame=   32 fps= 31 q=31.0 size=     408kB time=00:00:02.20 bitrate=1519.0kbits/s speed=2.16x    
frame=   52 fps= 34 q=31.0 size=     489kB time=00:00:03.53 bitrate=1134.7kbits/s speed=2.32x    
frame=   75 fps= 37 q=31.0 size=     611kB time=00:00:05.06 bitrate= 987.3kbits/s speed= 2.5x    
frame=   96 fps= 38 q=31.0 size=     733kB time=00:00:06.46 bitrate= 928.3kbits/s speed=2.55x    
frame=  118 fps= 39 q=31.0 size=     816kB time=00:00:07.93 bitrate= 842.9kbits/s speed= 2.6x    
frame=  141 fps= 40 q=31.0 size=     938kB time=00:00:09.46 bitrate= 811.9kbits/s speed=2.65x    
frame=  165 fps= 41 q=31.0 size=    1071kB time=00:00:11.06 bitrate= 793.0kbits/s speed=2.72x    
frame=  189 fps= 41 q=31.0 size=    1191kB time=00:00:12.66 bitrate= 770.2kbits/s speed=2.76x    
frame=  204 fps= 40 q=31.0 size=    1259kB time=00:00:13.66 bitrate= 754.5kbits/s dup=0 drop=12 speed=2.68x    
frame=  217 fps= 39 q=24.8 size=    1323kB time=00:00:14.53 bitrate= 746.0kbits/s dup=0 drop=25 speed=2.59x    
frame=  231 fps= 38 q=31.0 size=    1389kB time=00:00:15.46 bitrate= 735.5kbits/s dup=0 drop=39 speed=2.53x    
frame=  243 fps= 37 q=31.0 size=    1451kB time=00:00:16.26 bitrate= 730.9kbits/s dup=0 drop=51 speed=2.46x    
frame=  254 fps= 36 q=31.0 size=    1517kB time=00:00:17.00 bitrate= 731.1kbits/s dup=0 drop=62 speed=2.39x    
frame=  266 fps= 35 q=31.0 size=    1584kB time=00:00:17.80 bitrate= 728.9kbits/s dup=0 drop=74 speed=2.33x    
frame=  279 fps= 34 q=31.0 size=    1656kB time=00:00:18.66 bitrate= 726.6kbits/s dup=0 drop=87 speed=2.29x    
frame=  293 fps= 34 q=31.0 size=    1765kB time=00:00:19.60 bitrate= 737.6kbits/s dup=0 drop=101 speed=2.26x    
frame=  307 fps= 33 q=31.0 size=    1833kB time=00:00:20.53 bitrate= 731.2kbits/s dup=0 drop=115 speed=2.24x    
frame=  320 fps= 33 q=31.0 size=    1903kB time=00:00:21.40 bitrate= 728.6kbits/s dup=0 drop=128 speed=2.21x    
frame=  334 fps= 33 q=31.0 size=    1980kB time=00:00:22.33 bitrate= 726.1kbits/s dup=0 drop=142 speed=2.19x    
frame=  348 fps= 33 q=31.0 size=    2051kB time=00:00:23.26 bitrate= 722.3kbits/s dup=0 drop=156 speed=2.17x    
frame=  362 fps= 32 q=31.0 size=    2124kB time=00:00:24.20 bitrate= 719.0kbits/s dup=0 drop=170 speed=2.16x    
frame=  375 fps= 32 q=31.0 size=    2192kB time=00:00:25.06 bitrate= 716.5kbits/s dup=0 drop=183 speed=2.14x    
frame=  389 fps= 32 q=31.0 size=    2300kB time=00:00:26.00 bitrate= 724.7kbits/s dup=0 drop=197 speed=2.12x    
frame=  410 fps= 32 q=31.0 size=    2395kB time=00:00:27.40 bitrate= 716.0kbits/s dup=0 drop=200 speed=2.14x    
frame=  434 fps= 33 q=31.0 size=    2520kB time=00:00:29.00 bitrate= 712.0kbits/s dup=0 drop=200 speed=2.18x    
frame=  457 fps= 33 q=24.8 size=    2646kB time=00:00:30.53 bitrate= 709.9kbits/s dup=0 drop=200 speed=2.22x    
frame=  481 fps= 34 q=24.8 size=    2775kB time=00:00:32.13 bitrate= 707.4kbits/s dup=0 drop=200 speed=2.25x    
frame=  505 fps= 34 q=24.8 size=    2907kB time=00:00:33.73 bitrate= 705.9kbits/s dup=0 drop=200 speed=2.28x    
frame=  529 fps= 35 q=24.8 size=    3030kB time=00:00:35.33 bitrate= 702.4kbits/s dup=0 drop=200 speed=2.31x    
frame=  553 fps= 35 q=24.8 size=    3152kB time=00:00:36.93 bitrate= 699.2kbits/s dup=0 drop=200 speed=2.33x    
frame=  577 fps= 35 q=24.8 size=    3273kB time=00:00:38.53 bitrate= 695.7kbits/s dup=0 drop=200 speed=2.36x    
frame=  601 fps= 36 q=24.8 size=    3393kB time=00:00:40.13 bitrate= 692.6kbits/s dup=0 drop=200 speed=2.38x    
frame=  625 fps= 36 q=24.8 size=    3517kB time=00:00:41.73 bitrate= 690.4kbits/s dup=0 drop=200 speed= 2.4x    
frame=  649 fps= 36 q=24.8 size=    3651kB time=00:00:43.33 bitrate= 690.3kbits/s dup=0 drop=200 speed=2.42x    
frame=  671 fps= 36 q=31.0 size=    3777kB time=00:00:44.80 bitrate= 690.7kbits/s dup=0 drop=200 speed=2.43x    
frame=  694 fps= 37 q=31.0 size=    3899kB time=00:00:46.33 bitrate= 689.4kbits/s dup=0 drop=200 speed=2.45x    
frame=  716 fps= 37 q=31.0 size=    4022kB time=00:00:47.80 bitrate= 689.3kbits/s dup=0 drop=200 speed=2.46x    
frame=  740 fps= 37 q=31.0 size=    4151kB time=00:00:49.40 bitrate= 688.3kbits/s dup=0 drop=200 speed=2.48x    
frame=  763 fps= 37 q=31.0 size=    4280kB time=00:00:50.93 bitrate= 688.5kbits/s dup=0 drop=200 speed=2.49x    
frame=  785 fps= 37 q=31.0 size=    4408kB time=00:00:52.40 bitrate= 689.2kbits/s dup=0 drop=200 speed= 2.5x    
frame=  807 fps= 38 q=31.0 size=    4531kB time=00:00:53.86 bitrate= 689.1kbits/s dup=0 drop=200 speed=2.51x    
frame=  831 fps= 38 q=31.0 size=    4657kB time=00:00:55.46 bitrate= 687.8kbits/s dup=0 drop=200 speed=2.52x    
frame=  854 fps= 38 q=31.0 size=    4782kB time=00:00:57.00 bitrate= 687.2kbits/s dup=0 drop=200 speed=2.54x    
frame=  876 fps= 38 q=31.0 size=    4868kB time=00:00:58.46 bitrate= 682.1kbits/s dup=0 drop=200 speed=2.54x    
frame=  900 fps= 38 q=31.0 size=    4993kB time=00:01:00.06 bitrate= 680.9kbits/s dup=0 drop=200 speed=2.56x    
frame=  924 fps= 38 q=31.0 size=    5123kB time=00:01:01.66 bitrate= 680.5kbits/s dup=0 drop=200 speed=2.57x    
frame=  948 fps= 39 q=31.0 size=    5245kB time=00:01:03.26 bitrate= 679.2kbits/s dup=0 drop=200 speed=2.58x    
frame=  970 fps= 39 q=31.0 size=    5378kB time=00:01:04.73 bitrate= 680.6kbits/s dup=0 drop=200 speed=2.58x    
frame=  994 fps= 39 q=31.0 size=    5508kB time=00:01:06.33 bitrate= 680.2kbits/s dup=0 drop=200 speed=2.59x    
frame= 1018 fps= 39 q=31.0 size=    5634kB time=00:01:07.93 bitrate= 679.3kbits/s dup=0 drop=200 speed=2.61x    
frame= 1041 fps= 39 q=31.0 size=    5757kB time=00:01:09.46 bitrate= 679.0kbits/s dup=0 drop=200 speed=2.61x    
frame= 1062 fps= 39 q=31.0 size=    5872kB time=00:01:10.86 bitrate= 678.8kbits/s dup=0 drop=203 speed=2.62x    
frame= 1076 fps= 39 q=31.0 size=    5938kB time=00:01:11.80 bitrate= 677.5kbits/s dup=0 drop=217 speed= 2.6x    
frame= 1088 fps= 39 q=31.0 size=    6009kB time=00:01:12.60 bitrate= 678.1kbits/s dup=0 drop=229 speed=2.58x    
frame= 1102 fps= 39 q=31.0 size=    6082kB time=00:01:13.53 bitrate= 677.6kbits/s dup=0 drop=243 speed=2.57x    
frame= 1116 fps= 38 q=31.0 size=    6155kB time=00:01:14.46 bitrate= 677.1kbits/s dup=0 drop=257 speed=2.56x    
frame= 1130 fps= 38 q=31.0 size=    6225kB time=00:01:15.40 bitrate= 676.3kbits/s dup=0 drop=271 speed=2.54x    
frame= 1143 fps= 38 q=31.0 size=    6300kB time=00:01:16.26 bitrate= 676.7kbits/s dup=0 drop=284 speed=2.53x    
frame= 1157 fps= 38 q=31.0 size=    6408kB time=00:01:17.20 bitrate= 680.0kbits/s dup=0 drop=298 speed=2.52x    
frame= 1171 fps= 38 q=31.0 size=    6484kB time=00:01:18.13 bitrate= 679.8kbits/s dup=0 drop=312 speed=2.51x    
frame= 1184 fps= 37 q=31.0 size=    6554kB time=00:01:19.00 bitrate= 679.6kbits/s dup=0 drop=325 speed=2.49x    
frame= 1198 fps= 37 q=31.0 size=    6625kB time=00:01:19.93 bitrate= 679.0kbits/s dup=0 drop=339 speed=2.48x    
frame= 1211 fps= 37 q=31.0 size=    6702kB time=00:01:20.80 bitrate= 679.5kbits/s dup=0 drop=351 speed=2.47x    
frame= 1225 fps= 37 q=24.8 size=    6793kB time=00:01:21.73 bitrate= 680.9kbits/s dup=0 drop=365 speed=2.46x    
frame= 1238 fps= 37 q=31.0 size=    6867kB time=00:01:22.60 bitrate= 681.1kbits/s dup=0 drop=378 speed=2.45x    
frame= 1252 fps= 37 q=31.0 size=    6981kB time=00:01:23.53 bitrate= 684.7kbits/s dup=0 drop=392 speed=2.44x    
frame= 1266 fps= 36 q=31.0 size=    7063kB time=00:01:24.46 bitrate= 685.0kbits/s dup=0 drop=406 speed=2.43x    
frame= 1280 fps= 36 q=31.0 size=    7137kB time=00:01:25.40 bitrate= 684.6kbits/s dup=0 drop=420 speed=2.42x    
frame= 1293 fps= 36 q=31.0 size=    7208kB time=00:01:26.26 bitrate= 684.5kbits/s dup=0 drop=433 speed=2.41x    
frame= 1305 fps= 36 q=31.0 size=    7278kB time=00:01:27.06 bitrate= 684.8kbits/s dup=0 drop=445 speed= 2.4x    
frame= 1318 fps= 36 q=31.0 size=    7349kB time=00:01:27.93 bitrate= 684.7kbits/s dup=0 drop=458 speed=2.39x    
frame= 1329 fps= 36 q=31.0 size=    7429kB time=00:01:28.66 bitrate= 686.4kbits/s dup=0 drop=469 speed=2.38x    
frame= 1340 fps= 35 q=31.0 size=    7495kB time=00:01:29.40 bitrate= 686.8kbits/s dup=0 drop=480 speed=2.37x    
frame= 1351 fps= 35 q=31.0 size=    7557kB time=00:01:30.13 bitrate= 686.9kbits/s dup=0 drop=491 speed=2.35x    
frame= 1363 fps= 35 q=31.0 size=    7624kB time=00:01:30.93 bitrate= 686.8kbits/s dup=0 drop=503 speed=2.34x    
frame= 1375 fps= 35 q=31.0 size=    7695kB time=00:01:31.73 bitrate= 687.2kbits/s dup=0 drop=515 speed=2.33x    
frame= 1389 fps= 35 q=31.0 size=    7772kB time=00:01:32.66 bitrate= 687.0kbits/s dup=0 drop=529 speed=2.33x    
frame= 1400 fps= 35 q=31.0 size=    7843kB time=00:01:33.40 bitrate= 687.9kbits/s dup=0 drop=540 speed=2.31x    
frame= 1413 fps= 35 q=31.0 size=    7907kB time=00:01:34.26 bitrate= 687.1kbits/s dup=0 drop=553 speed=2.31x    
frame= 1426 fps= 34 q=31.0 size=    7973kB time=00:01:35.13 bitrate= 686.5kbits/s dup=0 drop=565 speed= 2.3x    
frame= 1439 fps= 34 q=31.0 size=    8046kB time=00:01:36.00 bitrate= 686.6kbits/s dup=0 drop=578 speed=2.29x    
frame= 1450 fps= 34 q=31.0 size=    8112kB time=00:01:36.73 bitrate= 686.9kbits/s dup=0 drop=589 speed=2.28x    
frame= 1462 fps= 34 q=31.0 size=    8174kB time=00:01:37.53 bitrate= 686.5kbits/s dup=0 drop=601 speed=2.27x    
frame= 1475 fps= 34 q=31.0 size=    8237kB time=00:01:38.40 bitrate= 685.8kbits/s dup=0 drop=614 speed=2.27x    
frame= 1489 fps= 34 q=24.8 size=    8298kB time=00:01:39.33 bitrate= 684.3kbits/s dup=0 drop=628 speed=2.26x    
frame= 1502 fps= 34 q=31.0 size=    8366kB time=00:01:40.20 bitrate= 684.0kbits/s dup=0 drop=640 speed=2.26x    
frame= 1516 fps= 34 q=31.0 size=    8446kB time=00:01:41.13 bitrate= 684.2kbits/s dup=0 drop=654 speed=2.25x    
frame= 1529 fps= 34 q=31.0 size=    8511kB time=00:01:42.00 bitrate= 683.5kbits/s dup=0 drop=667 speed=2.24x    
frame= 1542 fps= 34 q=31.0 size=    8617kB time=00:01:42.86 bitrate= 686.2kbits/s dup=0 drop=680 speed=2.24x    
frame= 1556 fps= 33 q=31.0 size=    8684kB time=00:01:43.80 bitrate= 685.4kbits/s dup=0 drop=694 speed=2.23x    
frame= 1568 fps= 33 q=31.0 size=    8751kB time=00:01:44.60 bitrate= 685.4kbits/s dup=0 drop=706 speed=2.23x    
frame= 1582 fps= 33 q=31.0 size=    8818kB time=00:01:45.53 bitrate= 684.5kbits/s dup=0 drop=720 speed=2.22x    
frame= 1595 fps= 33 q=31.0 size=    8885kB time=00:01:46.40 bitrate= 684.1kbits/s dup=0 drop=733 speed=2.22x    
frame= 1609 fps= 33 q=24.8 size=    8953kB time=00:01:47.33 bitrate= 683.3kbits/s dup=0 drop=747 speed=2.21x    
frame= 1622 fps= 33 q=31.0 size=    9024kB time=00:01:48.20 bitrate= 683.2kbits/s dup=0 drop=760 speed=2.21x    
frame= 1635 fps= 33 q=31.0 size=    9144kB time=00:01:49.06 bitrate= 686.8kbits/s dup=0 drop=772 speed= 2.2x    
frame= 1658 fps= 33 q=31.0 size=    9274kB time=00:01:50.60 bitrate= 686.9kbits/s dup=0 drop=772 speed=2.21x    
frame= 1680 fps= 33 q=31.0 size=    9367kB time=00:01:52.13 bitrate= 684.3kbits/s dup=0 drop=772 speed=2.22x    
frame= 1704 fps= 33 q=31.0 size=    9538kB time=00:01:53.86 bitrate= 686.2kbits/s dup=0 drop=772 speed=2.23x    
frame= 1726 fps= 33 q=31.0 size=    9666kB time=00:01:55.33 bitrate= 686.6kbits/s dup=0 drop=772 speed=2.24x    
frame= 1750 fps= 34 q=31.0 size=    9801kB time=00:01:56.93 bitrate= 686.6kbits/s dup=0 drop=772 speed=2.25x    
frame= 1774 fps= 34 q=31.0 size=    9944kB time=00:01:58.53 bitrate= 687.3kbits/s dup=0 drop=772 speed=2.25x    
frame= 1797 fps= 34 q=31.0 size=   10069kB time=00:02:00.06 bitrate= 687.0kbits/s dup=0 drop=772 speed=2.26x    
frame= 1819 fps= 34 q=31.0 size=   10197kB time=00:02:01.53 bitrate= 687.3kbits/s dup=0 drop=772 speed=2.27x    
frame= 1842 fps= 34 q=31.0 size=   10330kB time=00:02:03.06 bitrate= 687.7kbits/s dup=0 drop=772 speed=2.27x    
frame= 1865 fps= 34 q=31.0 size=   10509kB time=00:02:04.66 bitrate= 690.6kbits/s dup=0 drop=772 speed=2.28x    
frame= 1887 fps= 34 q=31.0 size=   10669kB time=00:02:06.13 bitrate= 692.9kbits/s dup=0 drop=772 speed=2.29x    
frame= 1910 fps= 34 q=31.0 size=   10788kB time=00:02:07.66 bitrate= 692.2kbits/s dup=0 drop=772 speed=2.29x    
frame= 1932 fps= 34 q=31.0 size=   10877kB time=00:02:09.20 bitrate= 689.7kbits/s dup=0 drop=772 speed= 2.3x    
frame= 1954 fps= 34 q=31.0 size=   10998kB time=00:02:10.66 bitrate= 689.5kbits/s dup=0 drop=772 speed=2.31x    
frame= 1978 fps= 35 q=31.0 size=   11137kB time=00:02:12.40 bitrate= 689.1kbits/s dup=0 drop=773 speed=2.31x    
frame= 1991 fps= 35 q=31.0 size=   11208kB time=00:02:13.26 bitrate= 688.9kbits/s dup=0 drop=786 speed=2.31x    
frame= 2005 fps= 34 q=24.8 size=   11278kB time=00:02:14.20 bitrate= 688.4kbits/s dup=0 drop=800 speed= 2.3x    
frame= 2017 fps= 34 q=24.8 size=   11341kB time=00:02:15.00 bitrate= 688.2kbits/s dup=0 drop=812 speed= 2.3x    
frame= 2035 fps= 34 q=31.0 size=   11459kB time=00:02:16.20 bitrate= 689.2kbits/s dup=0 drop=816 speed= 2.3x    
frame= 2057 fps= 34 q=31.0 size=   11581kB time=00:02:17.66 bitrate= 689.1kbits/s dup=0 drop=816 speed= 2.3x    
frame= 2080 fps= 35 q=31.0 size=   11697kB time=00:02:19.20 bitrate= 688.4kbits/s dup=0 drop=816 speed=2.31x    
frame= 2102 fps= 35 q=31.0 size=   11774kB time=00:02:20.66 bitrate= 685.7kbits/s dup=0 drop=816 speed=2.32x    
frame= 2125 fps= 35 q=24.8 size=   11900kB time=00:02:22.20 bitrate= 685.5kbits/s dup=0 drop=816 speed=2.32x    
frame= 2146 fps= 35 q=31.0 size=   12017kB time=00:02:23.60 bitrate= 685.5kbits/s dup=0 drop=816 speed=2.32x    
frame= 2170 fps= 35 q=31.0 size=   12151kB time=00:02:25.20 bitrate= 685.5kbits/s dup=0 drop=816 speed=2.33x    
frame= 2193 fps= 35 q=31.0 size=   12275kB time=00:02:26.73 bitrate= 685.3kbits/s dup=0 drop=816 speed=2.34x    
frame= 2216 fps= 35 q=31.0 size=   12401kB time=00:02:28.26 bitrate= 685.2kbits/s dup=0 drop=816 speed=2.34x    
frame= 2240 fps= 35 q=31.0 size=   12529kB time=00:02:29.86 bitrate= 684.9kbits/s dup=0 drop=816 speed=2.35x    
frame= 2264 fps= 35 q=31.0 size=   12653kB time=00:02:31.46 bitrate= 684.3kbits/s dup=0 drop=816 speed=2.35x    
frame= 2286 fps= 35 q=31.0 size=   12779kB time=00:02:32.93 bitrate= 684.5kbits/s dup=0 drop=816 speed=2.36x    
frame= 2310 fps= 35 q=31.0 size=   12909kB time=00:02:34.53 bitrate= 684.3kbits/s dup=0 drop=816 speed=2.36x    
frame= 2334 fps= 35 q=31.0 size=   13036kB time=00:02:36.13 bitrate= 684.0kbits/s dup=0 drop=816 speed=2.37x    
frame= 2353 fps= 35 q=24.8 size=   13115kB time=00:02:37.40 bitrate= 682.6kbits/s dup=0 drop=816 speed=2.37x    
frame= 2376 fps= 36 q=31.0 size=   13234kB time=00:02:38.93 bitrate= 682.1kbits/s dup=0 drop=816 speed=2.38x    
frame= 2399 fps= 36 q=31.0 size=   13356kB time=00:02:40.46 bitrate= 681.8kbits/s dup=0 drop=816 speed=2.38x    
frame= 2423 fps= 36 q=31.0 size=   13482kB time=00:02:42.06 bitrate= 681.5kbits/s dup=0 drop=816 speed=2.38x    
frame= 2446 fps= 36 q=31.0 size=   13604kB time=00:02:43.60 bitrate= 681.2kbits/s dup=0 drop=816 speed=2.39x    
frame= 2470 fps= 36 q=31.0 size=   13732kB time=00:02:45.20 bitrate= 680.9kbits/s dup=0 drop=816 speed=2.39x    
frame= 2494 fps= 36 q=31.0 size=   13853kB time=00:02:46.80 bitrate= 680.4kbits/s dup=0 drop=816 speed= 2.4x    
frame= 2516 fps= 36 q=31.0 size=   13972kB time=00:02:48.26 bitrate= 680.2kbits/s dup=0 drop=816 speed= 2.4x    
frame= 2538 fps= 36 q=31.0 size=   14094kB time=00:02:49.73 bitrate= 680.2kbits/s dup=0 drop=816 speed=2.41x    
frame= 2562 fps= 36 q=31.0 size=   14212kB time=00:02:51.33 bitrate= 679.5kbits/s dup=0 drop=816 speed=2.41x    
frame= 2586 fps= 36 q=31.0 size=   14333kB time=00:02:52.93 bitrate= 679.0kbits/s dup=0 drop=816 speed=2.42x    
frame= 2608 fps= 36 q=31.0 size=   14451kB time=00:02:54.40 bitrate= 678.8kbits/s dup=0 drop=816 speed=2.42x    
frame= 2630 fps= 36 q=31.0 size=   14540kB time=00:02:55.86 bitrate= 677.3kbits/s dup=0 drop=816 speed=2.42x    
frame= 2652 fps= 36 q=31.0 size=   14661kB time=00:02:57.33 bitrate= 677.3kbits/s dup=0 drop=816 speed=2.43x    
frame= 2674 fps= 36 q=31.0 size=   14781kB time=00:02:58.80 bitrate= 677.2kbits/s dup=0 drop=816 speed=2.43x    
frame= 2693 fps= 36 q=31.0 size=   14896kB time=00:03:00.06 bitrate= 677.7kbits/s dup=0 drop=819 speed=2.43x    
frame= 2706 fps= 36 q=31.0 size=   14961kB time=00:03:00.93 bitrate= 677.4kbits/s dup=0 drop=832 speed=2.43x    
frame= 2718 fps= 36 q=31.0 size=   15023kB time=00:03:01.73 bitrate= 677.2kbits/s dup=0 drop=844 speed=2.42x    
frame= 2732 fps= 36 q=31.0 size=   15088kB time=00:03:02.66 bitrate= 676.7kbits/s dup=0 drop=858 speed=2.42x    
frame= 2745 fps= 36 q=31.0 size=   15150kB time=00:03:03.53 bitrate= 676.2kbits/s dup=0 drop=871 speed=2.41x    
frame= 2757 fps= 36 q=31.0 size=   15215kB time=00:03:04.33 bitrate= 676.2kbits/s dup=0 drop=883 speed= 2.4x    
frame= 2771 fps= 36 q=31.0 size=   15279kB time=00:03:05.26 bitrate= 675.6kbits/s dup=0 drop=897 speed= 2.4x    
frame= 2784 fps= 36 q=31.0 size=   15343kB time=00:03:06.13 bitrate= 675.3kbits/s dup=0 drop=910 speed= 2.4x    
frame= 2798 fps= 36 q=31.0 size=   15411kB time=00:03:07.06 bitrate= 674.9kbits/s dup=0 drop=924 speed=2.39x    
frame= 2812 fps= 36 q=31.0 size=   15478kB time=00:03:08.00 bitrate= 674.4kbits/s dup=0 drop=938 speed=2.39x    
frame= 2825 fps= 36 q=31.0 size=   15581kB time=00:03:08.86 bitrate= 675.8kbits/s dup=0 drop=951 speed=2.38x    
frame= 2839 fps= 36 q=31.0 size=   15652kB time=00:03:09.80 bitrate= 675.6kbits/s dup=0 drop=965 speed=2.38x    
frame= 2853 fps= 36 q=31.0 size=   15722kB time=00:03:10.73 bitrate= 675.3kbits/s dup=0 drop=979 speed=2.38x    
frame= 2867 fps= 35 q=31.0 size=   15792kB time=00:03:11.66 bitrate= 675.0kbits/s dup=0 drop=993 speed=2.37x    
frame= 2880 fps= 35 q=31.0 size=   15859kB time=00:03:12.53 bitrate= 674.8kbits/s dup=0 drop=1006 speed=2.37x    
frame= 2894 fps= 35 q=31.0 size=   15924kB time=00:03:13.46 bitrate= 674.3kbits/s dup=0 drop=1020 speed=2.37x    
frame= 2904 fps= 35 q=31.0 size=   15990kB time=00:03:14.13 bitrate= 674.7kbits/s dup=0 drop=1030 speed=2.36x    
frame= 2917 fps= 35 q=24.8 size=   16053kB time=00:03:15.00 bitrate= 674.4kbits/s dup=0 drop=1043 speed=2.35x    
frame= 2930 fps= 35 q=31.0 size=   16121kB time=00:03:15.86 bitrate= 674.3kbits/s dup=0 drop=1056 speed=2.35x    
frame= 2943 fps= 35 q=31.0 size=   16188kB time=00:03:16.73 bitrate= 674.1kbits/s dup=0 drop=1069 speed=2.35x    
frame= 2955 fps= 35 q=31.0 size=   16254kB time=00:03:17.53 bitrate= 674.1kbits/s dup=0 drop=1081 speed=2.34x    
