ffmpeg version 3.1.7 Copyright (c) 2000-2017 the FFmpeg developers
  built with gcc 5.4.0 (GCC)
  configuration: --disable-static --prefix=/cvmfs/soft.computecanada.ca/nix/store/n7qiyrcpyixibg8mijm826nb3hdb23j1-ffmpeg-3.1.7 --enable-gpl --enable-version3 --enable-shared --disable-static --enable-pic --enable-runtime-cpudetect --enable-hardcoded-tables --enable-pthreads --disable-w32threads --disable-os2threads --enable-network --enable-pixelutils --enable-ffmpeg --disable-ffplay --enable-ffprobe --disable-ffserver --enable-avcodec --enable-avdevice --enable-avfilter --enable-avformat --enable-avresample --enable-avutil --enable-postproc --enable-swresample --enable-swscale --disable-doc --enable-bzlib --enable-gnutls --enable-fontconfig --enable-libfreetype --enable-libmp3lame --enable-iconv --enable-libtheora --enable-vaapi --enable-vdpau --enable-libvorbis --enable-libvpx --enable-lzma --disable-opengl --enable-libpulse --enable-sdl --enable-libsoxr --enable-libx264 --enable-libxvid --enable-zlib --enable-libopus --enable-libx265 --disable-debug --enable-optimizations --disable-extra-warnings --disable-stripping
  libavutil      55. 28.100 / 55. 28.100
  libavcodec     57. 48.101 / 57. 48.101
  libavformat    57. 41.100 / 57. 41.100
  libavdevice    57.  0.101 / 57.  0.101
  libavfilter     6. 47.100 /  6. 47.100
  libavresample   3.  0.  0 /  3.  0.  0
  libswscale      4.  1.100 /  4.  1.100
  libswresample   2.  1.100 /  2.  1.100
  libpostproc    54.  0.100 / 54.  0.100
Input #0, mov,mp4,m4a,3gp,3g2,mj2, from '/project/6001934/lingheng/ROM_Video_Process/ROM_raw_videos/Sep_20/Camera1_Sep_20_1300_1400_Prescribed_Behavior.mp4':
  Metadata:
    major_brand     : isom
    minor_version   : 1
    compatible_brands: isom
    creation_time   : 2018-09-21 02:51:34
  Duration: 01:00:04.16, start: 0.000000, bitrate: 511 kb/s
    Stream #0:0(und): Video: h264 (Main) (avc1 / 0x31637661), yuvj420p(pc, bt709), 1920x1080 [SAR 1:1 DAR 16:9], 492 kb/s, 17.91 fps, 30 tbr, 16k tbn, 60 tbc (default)
    Metadata:
      handler_name    : VideoHandler
    Stream #0:1(und): Audio: aac (LC) (mp4a / 0x6134706D), 16000 Hz, mono, fltp, 16 kb/s (default)
    Metadata:
      creation_time   : 2018-09-21 02:51:37
      handler_name    : GPAC ISO Audio Handler
    Stream #0:2(eng): Subtitle: mov_text (tx3g / 0x67337874), 800x60, 0 kb/s (default)
    Metadata:
      rotate          : 0
      creation_time   : 2018-09-21 02:51:37
      handler_name    : 2208432cdf9548758e60bf5bd15a80bc.subtitles.ttxt:hdlr=sbtl:lang=en:group=2:layer=1 - Imported with GPAC 0.5.0-rev4065
Input #1, png_pipe, from '/project/6001934/lingheng/ROM_Video_Process/Openpose_Video_Analysis_Code/camera1_transparent_img.png':
  Duration: N/A, bitrate: N/A
    Stream #1:0: Video: png, rgba(pc), 1920x1080, 25 tbr, 25 tbn, 25 tbc
[swscaler @ 0x11f5240] deprecated pixel format used, make sure you did set range correctly
[libx264 @ 0xfefa80] using SAR=1/1
[libx264 @ 0xfefa80] using cpu capabilities: MMX2 SSE2Fast SSSE3 SSE4.2 AVX FMA3 AVX2 LZCNT BMI2
[libx264 @ 0xfefa80] profile High, level 4.0
[libx264 @ 0xfefa80] 264 - core 148 - H.264/MPEG-4 AVC codec - Copyleft 2003-2016 - http://www.videolan.org/x264.html - options: cabac=1 ref=3 deblock=1:0:0 analyse=0x3:0x113 me=hex subme=7 psy=1 psy_rd=1.00:0.00 mixed_ref=1 me_range=16 chroma_me=1 trellis=1 8x8dct=1 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=-2 threads=3 lookahead_threads=1 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=crf mbtree=1 crf=23.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
[mp4 @ 0xfee720] Using AVStream.codec to pass codec parameters to muxers is deprecated, use AVStream.codecpar instead.
    Last message repeated 1 times
Output #0, mp4, to '/project/6001934/lingheng/ROM_Video_Process/ROM_raw_videos_with_interst_area_ffmpeg_new3/Sep_20/Camera1_Sep_20_1300_1400_Prescribed_Behavior_ffmpeg_with_interest_area.mp4':
  Metadata:
    major_brand     : isom
    minor_version   : 1
    compatible_brands: isom
    encoder         : Lavf57.41.100
    Stream #0:0: Video: h264 (libx264) ([33][0][0][0] / 0x0021), yuv420p, 1920x1080 [SAR 1:1 DAR 16:9], q=-1--1, 30 fps, 15360 tbn, 30 tbc (default)
    Metadata:
      encoder         : Lavc57.48.101 libx264
    Side data:
      cpb: bitrate max/min/avg: 0/0/0 buffer size: 0 vbv_delay: -1
    Stream #0:1(und): Audio: aac (LC) ([64][0][0][0] / 0x0040), 16000 Hz, mono, 16 kb/s (default)
    Metadata:
      creation_time   : 2018-09-21 02:51:37
      handler_name    : GPAC ISO Audio Handler
Stream mapping:
  Stream #0:0 (h264) -> overlay:main
  Stream #1:0 (png) -> overlay:overlay
  overlay -> Stream #0:0 (libx264)
  Stream #0:1 -> #0:1 (copy)
Press [q] to stop, [?] for help
frame=   23 fps=0.0 q=0.0 size=       0kB time=00:00:00.51 bitrate=   0.8kbits/s speed=1.02x    
frame=   48 fps= 44 q=29.0 size=     131kB time=00:00:01.40 bitrate= 764.1kbits/s dup=1 drop=0 speed=1.29x    
frame=   62 fps= 38 q=29.0 size=     199kB time=00:00:01.85 bitrate= 876.8kbits/s dup=8 drop=0 speed=1.15x    
frame=   78 fps= 36 q=29.0 size=     249kB time=00:00:02.30 bitrate= 884.4kbits/s dup=16 drop=0 speed=1.06x    
frame=   92 fps= 34 q=29.0 size=     289kB time=00:00:02.75 bitrate= 859.8kbits/s dup=23 drop=0 speed=1.02x    
frame=  110 fps= 34 q=29.0 size=     305kB time=00:00:03.20 bitrate= 780.0kbits/s dup=32 drop=0 speed=0.995x    
frame=  126 fps= 34 q=29.0 size=     320kB time=00:00:03.71 bitrate= 705.5kbits/s dup=40 drop=0 speed=0.988x    
frame=  144 fps= 34 q=29.0 size=     344kB time=00:00:04.54 bitrate= 620.2kbits/s dup=49 drop=0 speed=1.07x    
frame=  160 fps= 34 q=29.0 size=     368kB time=00:00:04.99 bitrate= 604.3kbits/s dup=57 drop=0 speed=1.05x    
frame=  176 fps= 33 q=29.0 size=     393kB time=00:00:05.44 bitrate= 592.2kbits/s dup=65 drop=0 speed=1.03x    
frame=  192 fps= 33 q=29.0 size=     419kB time=00:00:05.88 bitrate= 583.2kbits/s dup=73 drop=0 speed=   1x    
frame=  208 fps= 33 q=29.0 size=     443kB time=00:00:06.33 bitrate= 573.1kbits/s dup=81 drop=0 speed=0.991x    
frame=  224 fps= 32 q=29.0 size=     481kB time=00:00:06.78 bitrate= 580.8kbits/s dup=89 drop=0 speed=0.971x    
frame=  238 fps= 32 q=29.0 size=     513kB time=00:00:07.23 bitrate= 581.2kbits/s dup=96 drop=0 speed=0.965x    
frame=  246 fps= 31 q=29.0 size=     620kB time=00:00:07.68 bitrate= 661.0kbits/s dup=100 drop=0 speed=0.956x    
frame=  264 fps= 31 q=29.0 size=     633kB time=00:00:08.12 bitrate= 637.9kbits/s dup=109 drop=0 speed=0.951x    
frame=  284 fps= 31 q=29.0 size=     644kB time=00:00:09.02 bitrate= 584.9kbits/s dup=119 drop=0 speed=0.992x    
frame=  300 fps= 31 q=29.0 size=     836kB time=00:00:09.47 bitrate= 723.4kbits/s dup=127 drop=0 speed=0.986x    
frame=  320 fps= 32 q=29.0 size=     851kB time=00:00:09.92 bitrate= 702.5kbits/s dup=137 drop=0 speed=0.978x    
frame=  340 fps= 32 q=29.0 size=     866kB time=00:00:10.81 bitrate= 656.2kbits/s dup=147 drop=0 speed=1.02x    
frame=  356 fps= 32 q=29.0 size=     895kB time=00:00:11.26 bitrate= 651.1kbits/s dup=155 drop=0 speed=1.01x    
frame=  368 fps= 31 q=29.0 size=     996kB time=00:00:11.71 bitrate= 696.7kbits/s dup=161 drop=0 speed=   1x    
frame=  386 fps= 32 q=29.0 size=    1011kB time=00:00:12.16 bitrate= 681.1kbits/s dup=170 drop=0 speed=0.994x    
frame=  404 fps= 32 q=29.0 size=    1027kB time=00:00:12.60 bitrate= 667.1kbits/s dup=179 drop=0 speed=0.989x    
frame=  420 fps= 32 q=29.0 size=    1042kB time=00:00:13.18 bitrate= 647.6kbits/s dup=187 drop=0 speed=0.994x    
frame=  440 fps= 32 q=29.0 size=    1061kB time=00:00:13.95 bitrate= 622.9kbits/s dup=197 drop=0 speed=1.01x    
frame=  458 fps= 32 q=29.0 size=    1080kB time=00:00:14.40 bitrate= 614.5kbits/s dup=206 drop=0 speed=   1x    
frame=  474 fps= 32 q=29.0 size=    1102kB time=00:00:14.97 bitrate= 602.6kbits/s dup=214 drop=0 speed=1.01x    
frame=  484 fps= 31 q=29.0 size=    1197kB time=00:00:15.36 bitrate= 638.6kbits/s dup=219 drop=0 speed=0.997x    
frame=  502 fps= 32 q=29.0 size=    1217kB time=00:00:15.93 bitrate= 625.8kbits/s dup=228 drop=0 speed=   1x    
frame=  518 fps= 32 q=29.0 size=    1238kB time=00:00:16.44 bitrate= 616.5kbits/s dup=236 drop=0 speed=   1x    
frame=  536 fps= 32 q=29.0 size=    1266kB time=00:00:17.08 bitrate= 607.1kbits/s dup=245 drop=0 speed=1.01x    
frame=  550 fps= 31 q=29.0 size=    1474kB time=00:00:17.53 bitrate= 688.7kbits/s dup=252 drop=0 speed=   1x    
frame=  566 fps= 31 q=29.0 size=    1513kB time=00:00:17.98 bitrate= 689.0kbits/s dup=260 drop=0 speed=   1x    
frame=  580 fps= 31 q=29.0 size=    1547kB time=00:00:18.43 bitrate= 687.4kbits/s dup=267 drop=0 speed=0.997x    
frame=  594 fps= 31 q=29.0 size=    1591kB time=00:00:19.00 bitrate= 685.5kbits/s dup=274 drop=0 speed=0.997x    
frame=  602 fps= 31 q=29.0 size=    1698kB time=00:00:19.26 bitrate= 722.1kbits/s dup=278 drop=0 speed=0.984x    
frame=  620 fps= 31 q=29.0 size=    1726kB time=00:00:19.84 bitrate= 712.5kbits/s dup=287 drop=0 speed=0.986x    
frame=  638 fps= 31 q=29.0 size=    1761kB time=00:00:20.48 bitrate= 704.4kbits/s dup=296 drop=0 speed=0.99x    
frame=  654 fps= 31 q=29.0 size=    1813kB time=00:00:20.99 bitrate= 707.5kbits/s dup=304 drop=0 speed=0.987x    
frame=  670 fps= 31 q=29.0 size=    1844kB time=00:00:21.50 bitrate= 702.4kbits/s dup=312 drop=0 speed=0.988x    
frame=  686 fps= 31 q=29.0 size=    1873kB time=00:00:22.08 bitrate= 694.9kbits/s dup=320 drop=0 speed=0.991x    
frame=  704 fps= 31 q=29.0 size=    1902kB time=00:00:22.65 bitrate= 687.8kbits/s dup=329 drop=0 speed=0.993x    
frame=  722 fps= 31 q=29.0 size=    2014kB time=00:00:23.23 bitrate= 710.0kbits/s dup=338 drop=0 speed=0.985x    
frame=  738 fps= 31 q=29.0 size=    2050kB time=00:00:23.80 bitrate= 705.5kbits/s dup=346 drop=0 speed=0.987x    
frame=  754 fps= 31 q=29.0 size=    2086kB time=00:00:24.32 bitrate= 702.7kbits/s dup=354 drop=0 speed=0.987x    
frame=  770 fps= 31 q=29.0 size=    2124kB time=00:00:24.83 bitrate= 700.8kbits/s dup=362 drop=0 speed=0.987x    
frame=  786 fps= 31 q=29.0 size=    2160kB time=00:00:25.40 bitrate= 696.5kbits/s dup=370 drop=0 speed=0.989x    
frame=  798 fps= 30 q=29.0 size=    2356kB time=00:00:25.79 bitrate= 748.3kbits/s dup=376 drop=0 speed=0.985x    
frame=  814 fps= 30 q=29.0 size=    2391kB time=00:00:26.30 bitrate= 744.7kbits/s dup=384 drop=0 speed=0.985x    
frame=  828 fps= 30 q=29.0 size=    2438kB time=00:00:26.81 bitrate= 744.7kbits/s dup=391 drop=0 speed=0.984x    
frame=  840 fps= 30 q=29.0 size=    2541kB time=00:00:27.20 bitrate= 765.3kbits/s dup=397 drop=0 speed=0.975x    
frame=  854 fps= 30 q=29.0 size=    2592kB time=00:00:27.64 bitrate= 767.9kbits/s dup=404 drop=0 speed=0.972x    
frame=  870 fps= 30 q=29.0 size=    2624kB time=00:00:28.22 bitrate= 761.7kbits/s dup=412 drop=0 speed=0.974x    
frame=  888 fps= 30 q=29.0 size=    2657kB time=00:00:28.80 bitrate= 755.7kbits/s dup=421 drop=0 speed=0.976x    
frame=  904 fps= 30 q=29.0 size=    2684kB time=00:00:29.31 bitrate= 750.2kbits/s dup=429 drop=0 speed=0.976x    
frame=  922 fps= 30 q=29.0 size=    2707kB time=00:00:29.95 bitrate= 740.5kbits/s dup=438 drop=0 speed=0.981x    
frame=  938 fps= 30 q=29.0 size=    2735kB time=00:00:30.46 bitrate= 735.6kbits/s dup=446 drop=0 speed=0.981x    
frame=  956 fps= 30 q=29.0 size=    2762kB time=00:00:31.04 bitrate= 729.0kbits/s dup=455 drop=0 speed=0.982x    
frame=  968 fps= 30 q=29.0 size=    2864kB time=00:00:31.48 bitrate= 745.0kbits/s dup=461 drop=0 speed=0.978x    
frame=  984 fps= 30 q=29.0 size=    2894kB time=00:00:32.00 bitrate= 741.0kbits/s dup=469 drop=0 speed=0.978x    
frame= 1000 fps= 30 q=29.0 size=    2931kB time=00:00:32.51 bitrate= 738.5kbits/s dup=477 drop=0 speed=0.978x    
frame= 1016 fps= 30 q=29.0 size=    2962kB time=00:00:33.08 bitrate= 733.3kbits/s dup=485 drop=0 speed=0.98x    
frame= 1032 fps= 30 q=29.0 size=    2993kB time=00:00:33.60 bitrate= 729.7kbits/s dup=493 drop=0 speed=0.98x    
frame= 1048 fps= 30 q=29.0 size=    3193kB time=00:00:34.11 bitrate= 766.7kbits/s dup=501 drop=0 speed=0.978x    
frame= 1066 fps= 30 q=29.0 size=    3232kB time=00:00:34.75 bitrate= 761.8kbits/s dup=510 drop=0 speed=0.98x    
frame= 1080 fps= 30 q=29.0 size=    3267kB time=00:00:35.20 bitrate= 760.4kbits/s dup=518 drop=0 speed=0.978x    
frame= 1090 fps= 30 q=29.0 size=    3361kB time=00:00:35.52 bitrate= 775.1kbits/s dup=523 drop=0 speed=0.972x    
frame= 1108 fps= 30 q=29.0 size=    3380kB time=00:00:36.09 bitrate= 767.1kbits/s dup=532 drop=0 speed=0.975x    
frame= 1116 fps= 30 q=29.0 size=    3457kB time=00:00:36.41 bitrate= 777.7kbits/s dup=536 drop=0 speed=0.97x    
frame= 1132 fps= 30 q=29.0 size=    3488kB time=00:00:36.92 bitrate= 773.7kbits/s dup=544 drop=0 speed=0.969x    
frame= 1146 fps= 30 q=29.0 size=    3525kB time=00:00:37.37 bitrate= 772.7kbits/s dup=551 drop=0 speed=0.968x    
frame= 1158 fps= 30 q=29.0 size=    3576kB time=00:00:37.82 bitrate= 774.6kbits/s dup=557 drop=0 speed=0.966x    
frame= 1172 fps= 30 q=29.0 size=    3619kB time=00:00:38.27 bitrate= 774.7kbits/s dup=564 drop=0 speed=0.964x    
frame= 1190 fps= 30 q=29.0 size=    3652kB time=00:00:38.84 bitrate= 770.0kbits/s dup=573 drop=0 speed=0.964x    
frame= 1202 fps= 29 q=29.0 size=    3759kB time=00:00:39.23 bitrate= 784.9kbits/s dup=579 drop=0 speed=0.958x    
frame= 1220 fps= 29 q=29.0 size=    3777kB time=00:00:39.87 bitrate= 776.0kbits/s dup=588 drop=0 speed=0.962x    
frame= 1238 fps= 29 q=29.0 size=    3800kB time=00:00:40.44 bitrate= 769.6kbits/s dup=597 drop=0 speed=0.963x    
frame= 1256 fps= 30 q=29.0 size=    3824kB time=00:00:41.08 bitrate= 762.3kbits/s dup=606 drop=0 speed=0.966x    
frame= 1274 fps= 30 q=29.0 size=    3851kB time=00:00:41.66 bitrate= 757.1kbits/s dup=615 drop=0 speed=0.966x    
frame= 1290 fps= 30 q=29.0 size=    3875kB time=00:00:42.17 bitrate= 752.6kbits/s dup=623 drop=0 speed=0.966x    
frame= 1306 fps= 30 q=29.0 size=    4075kB time=00:00:42.75 bitrate= 780.9kbits/s dup=631 drop=0 speed=0.967x    
frame= 1322 fps= 30 q=29.0 size=    4104kB time=00:00:43.26 bitrate= 777.1kbits/s dup=639 drop=0 speed=0.968x    
frame= 1332 fps= 29 q=29.0 size=    4206kB time=00:00:43.58 bitrate= 790.5kbits/s dup=644 drop=0 speed=0.963x    
frame= 1348 fps= 29 q=29.0 size=    4238kB time=00:00:44.09 bitrate= 787.3kbits/s dup=652 drop=0 speed=0.963x    
frame= 1364 fps= 29 q=29.0 size=    4277kB time=00:00:44.67 bitrate= 784.4kbits/s dup=660 drop=0 speed=0.964x    
frame= 1382 fps= 29 q=29.0 size=    4298kB time=00:00:45.24 bitrate= 778.1kbits/s dup=669 drop=0 speed=0.965x    
frame= 1394 fps= 29 q=29.0 size=    4349kB time=00:00:45.63 bitrate= 780.7kbits/s dup=675 drop=0 speed=0.962x    
frame= 1410 fps= 29 q=29.0 size=    4382kB time=00:00:46.20 bitrate= 776.9kbits/s dup=683 drop=0 speed=0.963x    
frame= 1426 fps= 29 q=29.0 size=    4405kB time=00:00:46.72 bitrate= 772.4kbits/s dup=691 drop=0 speed=0.963x    
frame= 1444 fps= 29 q=29.0 size=    4514kB time=00:00:47.29 bitrate= 781.9kbits/s dup=700 drop=0 speed=0.959x    
frame= 1462 fps= 29 q=29.0 size=    4541kB time=00:00:47.93 bitrate= 776.0kbits/s dup=709 drop=0 speed=0.961x    
frame= 1478 fps= 29 q=29.0 size=    4566kB time=00:00:48.44 bitrate= 772.1kbits/s dup=717 drop=0 speed=0.962x    
frame= 1492 fps= 29 q=29.0 size=    4613kB time=00:00:48.89 bitrate= 772.9kbits/s dup=724 drop=0 speed=0.96x    
frame= 1508 fps= 29 q=29.0 size=    4656kB time=00:00:49.47 bitrate= 771.0kbits/s dup=732 drop=0 speed=0.96x    
frame= 1524 fps= 29 q=29.0 size=    4698kB time=00:00:49.98 bitrate= 769.9kbits/s dup=740 drop=0 speed=0.959x    
frame= 1540 fps= 29 q=29.0 size=    4742kB time=00:00:50.49 bitrate= 769.4kbits/s dup=748 drop=0 speed=0.959x    
frame= 1552 fps= 29 q=29.0 size=    4962kB time=00:00:50.94 bitrate= 798.0kbits/s dup=754 drop=0 speed=0.958x    
frame= 1562 fps= 29 q=29.0 size=    5080kB time=00:00:51.26 bitrate= 811.8kbits/s dup=759 drop=0 speed=0.953x    
frame= 1578 fps= 29 q=29.0 size=    5116kB time=00:00:51.77 bitrate= 809.4kbits/s dup=767 drop=0 speed=0.953x    
frame= 1594 fps= 29 q=29.0 size=    5155kB time=00:00:52.35 bitrate= 806.6kbits/s dup=775 drop=0 speed=0.955x    
frame= 1610 fps= 29 q=29.0 size=    5192kB time=00:00:52.86 bitrate= 804.6kbits/s dup=783 drop=0 speed=0.955x    
frame= 1626 fps= 29 q=29.0 size=    5227kB time=00:00:53.37 bitrate= 802.2kbits/s dup=791 drop=0 speed=0.955x    
frame= 1642 fps= 29 q=29.0 size=    5257kB time=00:00:53.95 bitrate= 798.2kbits/s dup=799 drop=0 speed=0.957x    
frame= 1658 fps= 29 q=29.0 size=    5289kB time=00:00:54.46 bitrate= 795.6kbits/s dup=807 drop=0 speed=0.957x    
frame= 1674 fps= 29 q=29.0 size=    5320kB time=00:00:54.97 bitrate= 792.8kbits/s dup=815 drop=0 speed=0.958x    
frame= 1684 fps= 29 q=29.0 size=    5429kB time=00:00:55.29 bitrate= 804.3kbits/s dup=820 drop=0 speed=0.954x    
frame= 1700 fps= 29 q=29.0 size=    5463kB time=00:00:55.87 bitrate= 801.0kbits/s dup=828 drop=0 speed=0.956x    
frame= 1714 fps= 29 q=29.0 size=    5496kB time=00:00:56.32 bitrate= 799.4kbits/s dup=835 drop=0 speed=0.955x    
frame= 1730 fps= 29 q=29.0 size=    5546kB time=00:00:56.83 bitrate= 799.4kbits/s dup=843 drop=0 speed=0.954x    
frame= 1742 fps= 29 q=29.0 size=    5595kB time=00:00:57.28 bitrate= 800.2kbits/s dup=849 drop=0 speed=0.953x    
frame= 1754 fps= 29 q=29.0 size=    5654kB time=00:00:57.66 bitrate= 803.2kbits/s dup=855 drop=0 speed=0.95x    
frame= 1766 fps= 29 q=29.0 size=    5713kB time=00:00:58.04 bitrate= 806.3kbits/s dup=861 drop=0 speed=0.948x    
frame= 1778 fps= 29 q=29.0 size=    5758kB time=00:00:58.43 bitrate= 807.3kbits/s dup=867 drop=0 speed=0.946x    
frame= 1792 fps= 29 q=29.0 size=    5801kB time=00:00:58.94 bitrate= 806.3kbits/s dup=874 drop=0 speed=0.946x    
frame= 1804 fps= 29 q=29.0 size=    6076kB time=00:00:59.32 bitrate= 838.9kbits/s dup=880 drop=0 speed=0.942x    
frame= 1820 fps= 29 q=29.0 size=    6110kB time=00:00:59.84 bitrate= 836.4kbits/s dup=888 drop=0 speed=0.943x    
frame= 1838 fps= 29 q=29.0 size=    6140kB time=00:01:00.48 bitrate= 831.6kbits/s dup=897 drop=0 speed=0.945x    
frame= 1856 fps= 29 q=29.0 size=    6175kB time=00:01:01.05 bitrate= 828.5kbits/s dup=906 drop=0 speed=0.945x    
frame= 1872 fps= 29 q=29.0 size=    6215kB time=00:01:01.56 bitrate= 827.0kbits/s dup=914 drop=0 speed=0.945x    
frame= 1888 fps= 29 q=29.0 size=    6256kB time=00:01:02.14 bitrate= 824.7kbits/s dup=922 drop=0 speed=0.946x    
frame= 1904 fps= 29 q=29.0 size=    6294kB time=00:01:02.65 bitrate= 822.9kbits/s dup=930 drop=0 speed=0.945x    
frame= 1920 fps= 29 q=29.0 size=    6328kB time=00:01:03.16 bitrate= 820.7kbits/s dup=938 drop=0 speed=0.946x    
frame= 1930 fps= 29 q=29.0 size=    6429kB time=00:01:03.55 bitrate= 828.7kbits/s dup=943 drop=0 speed=0.944x    
frame= 1946 fps= 29 q=29.0 size=    6459kB time=00:01:04.06 bitrate= 825.9kbits/s dup=951 drop=0 speed=0.944x    
frame= 1964 fps= 29 q=29.0 size=    6498kB time=00:01:04.64 bitrate= 823.5kbits/s dup=960 drop=0 speed=0.944x    
frame= 1980 fps= 29 q=29.0 size=    6537kB time=00:01:05.21 bitrate= 821.1kbits/s dup=968 drop=0 speed=0.945x    
frame= 1996 fps= 29 q=29.0 size=    6570kB time=00:01:05.72 bitrate= 818.9kbits/s dup=976 drop=0 speed=0.945x    
frame= 2012 fps= 29 q=29.0 size=    6598kB time=00:01:06.24 bitrate= 816.0kbits/s dup=984 drop=0 speed=0.946x    
frame= 2028 fps= 29 q=29.0 size=    6632kB time=00:01:06.81 bitrate= 813.2kbits/s dup=992 drop=0 speed=0.947x    
frame= 2044 fps= 29 q=29.0 size=    6743kB time=00:01:07.32 bitrate= 820.4kbits/s dup=1000 drop=0 speed=0.944x    
frame= 2062 fps= 29 q=29.0 size=    6938kB time=00:01:07.90 bitrate= 837.0kbits/s dup=1009 drop=0 speed=0.945x    
frame= 2078 fps= 29 q=29.0 size=    6995kB time=00:01:08.48 bitrate= 836.8kbits/s dup=1017 drop=0 speed=0.945x    
frame= 2092 fps= 29 q=29.0 size=    7036kB time=00:01:08.92 bitrate= 836.2kbits/s dup=1024 drop=0 speed=0.945x    
frame= 2108 fps= 29 q=29.0 size=    7066kB time=00:01:09.44 bitrate= 833.6kbits/s dup=1032 drop=0 speed=0.945x    
frame= 2122 fps= 29 q=29.0 size=    7115kB time=00:01:09.95 bitrate= 833.2kbits/s dup=1039 drop=0 speed=0.945x    
frame= 2138 fps= 29 q=29.0 size=    7145kB time=00:01:10.46 bitrate= 830.7kbits/s dup=1047 drop=0 speed=0.945x    
frame= 2154 fps= 29 q=29.0 size=    7193kB time=00:01:10.97 bitrate= 830.2kbits/s dup=1055 drop=0 speed=0.945x    
frame= 2164 fps= 29 q=29.0 size=    7294kB time=00:01:11.29 bitrate= 838.1kbits/s dup=1060 drop=0 speed=0.942x    
frame= 2180 fps= 29 q=29.0 size=    7324kB time=00:01:11.87 bitrate= 834.8kbits/s dup=1068 drop=0 speed=0.943x    
frame= 2194 fps= 29 q=29.0 size=    7367kB time=00:01:12.32 bitrate= 834.5kbits/s dup=1075 drop=0 speed=0.943x    
frame= 2208 fps= 29 q=29.0 size=    7405kB time=00:01:12.76 bitrate= 833.6kbits/s dup=1082 drop=0 speed=0.942x    
frame= 2222 fps= 29 q=29.0 size=    7466kB time=00:01:13.28 bitrate= 834.7kbits/s dup=1089 drop=0 speed=0.941x    
frame= 2238 fps= 29 q=29.0 size=    7506kB time=00:01:13.79 bitrate= 833.3kbits/s dup=1097 drop=0 speed=0.941x    
frame= 2252 fps= 29 q=29.0 size=    7546kB time=00:01:14.24 bitrate= 832.6kbits/s dup=1104 drop=0 speed=0.941x    
frame= 2262 fps= 28 q=29.0 size=    7619kB time=00:01:14.62 bitrate= 836.4kbits/s dup=1109 drop=0 speed=0.939x    
frame= 2276 fps= 28 q=29.0 size=    7656kB time=00:01:15.07 bitrate= 835.4kbits/s dup=1116 drop=0 speed=0.938x    
frame= 2286 fps= 28 q=29.0 size=    7762kB time=00:01:15.39 bitrate= 843.4kbits/s dup=1121 drop=0 speed=0.936x    
frame= 2300 fps= 28 q=29.0 size=    7967kB time=00:01:15.84 bitrate= 860.6kbits/s dup=1128 drop=0 speed=0.935x    
frame= 2314 fps= 28 q=29.0 size=    8005kB time=00:01:16.35 bitrate= 858.9kbits/s dup=1135 drop=0 speed=0.936x    
frame= 2328 fps= 28 q=29.0 size=    8051kB time=00:01:16.80 bitrate= 858.7kbits/s dup=1142 drop=0 speed=0.935x    
frame= 2340 fps= 28 q=29.0 size=    8110kB time=00:01:17.18 bitrate= 860.8kbits/s dup=1148 drop=0 speed=0.933x    
frame= 2352 fps= 28 q=29.0 size=    8174kB time=00:01:17.56 bitrate= 863.3kbits/s dup=1154 drop=0 speed=0.931x    
frame= 2362 fps= 28 q=29.0 size=    8219kB time=00:01:17.95 bitrate= 863.7kbits/s dup=1159 drop=0 speed=0.93x    
frame= 2376 fps= 28 q=29.0 size=    8294kB time=00:01:18.40 bitrate= 866.6kbits/s dup=1166 drop=0 speed=0.928x    
frame= 2388 fps= 28 q=29.0 size=    8372kB time=00:01:18.78 bitrate= 870.5kbits/s dup=1172 drop=0 speed=0.926x    
frame= 2400 fps= 28 q=29.0 size=    8433kB time=00:01:19.16 bitrate= 872.6kbits/s dup=1178 drop=0 speed=0.924x    
frame= 2408 fps= 28 q=29.0 size=    8539kB time=00:01:19.48 bitrate= 880.0kbits/s dup=1182 drop=0 speed=0.922x    
frame= 2424 fps= 28 q=29.0 size=    8589kB time=00:01:20.00 bitrate= 879.5kbits/s dup=1190 drop=0 speed=0.921x    
frame= 2438 fps= 28 q=29.0 size=    8637kB time=00:01:20.44 bitrate= 879.5kbits/s dup=1198 drop=0 speed=0.92x    
frame= 2454 fps= 28 q=29.0 size=    8682kB time=00:01:21.02 bitrate= 877.8kbits/s dup=1206 drop=0 speed=0.921x    
frame= 2466 fps= 28 q=29.0 size=    8748kB time=00:01:21.40 bitrate= 880.3kbits/s dup=1212 drop=0 speed=0.919x    
frame= 2474 fps= 28 q=29.0 size=    8840kB time=00:01:21.66 bitrate= 886.8kbits/s dup=1216 drop=0 speed=0.916x    
frame= 2488 fps= 28 q=29.0 size=    8877kB time=00:01:22.11 bitrate= 885.7kbits/s dup=1223 drop=0 speed=0.916x    
