ffmpeg version 3.1.7 Copyright (c) 2000-2017 the FFmpeg developers
  built with gcc 5.4.0 (GCC)
  configuration: --disable-static --prefix=/cvmfs/soft.computecanada.ca/nix/store/n7qiyrcpyixibg8mijm826nb3hdb23j1-ffmpeg-3.1.7 --enable-gpl --enable-version3 --enable-shared --disable-static --enable-pic --enable-runtime-cpudetect --enable-hardcoded-tables --enable-pthreads --disable-w32threads --disable-os2threads --enable-network --enable-pixelutils --enable-ffmpeg --disable-ffplay --enable-ffprobe --disable-ffserver --enable-avcodec --enable-avdevice --enable-avfilter --enable-avformat --enable-avresample --enable-avutil --enable-postproc --enable-swresample --enable-swscale --disable-doc --enable-bzlib --enable-gnutls --enable-fontconfig --enable-libfreetype --enable-libmp3lame --enable-iconv --enable-libtheora --enable-vaapi --enable-vdpau --enable-libvorbis --enable-libvpx --enable-lzma --disable-opengl --enable-libpulse --enable-sdl --enable-libsoxr --enable-libx264 --enable-libxvid --enable-zlib --enable-libopus --enable-libx265 --disable-debug --enable-optimizations --disable-extra-warnings --disable-stripping
  libavutil      55. 28.100 / 55. 28.100
  libavcodec     57. 48.101 / 57. 48.101
  libavformat    57. 41.100 / 57. 41.100
  libavdevice    57.  0.101 / 57.  0.101
  libavfilter     6. 47.100 /  6. 47.100
  libavresample   3.  0.  0 /  3.  0.  0
  libswscale      4.  1.100 /  4.  1.100
  libswresample   2.  1.100 /  2.  1.100
  libpostproc    54.  0.100 / 54.  0.100
Input #0, mov,mp4,m4a,3gp,3g2,mj2, from '/project/6001934/lingheng/ROM_Video_Process/ROM_raw_videos/Sep_24/Camera1_Sep_24_1500_1600_Agent_Community_raw_act.mp4':
  Metadata:
    major_brand     : isom
    minor_version   : 1
    compatible_brands: isom
    creation_time   : 2018-09-24 20:59:40
  Duration: 01:00:02.24, start: 0.000000, bitrate: 515 kb/s
    Stream #0:0(und): Video: h264 (Main) (avc1 / 0x31637661), yuvj420p(pc, bt709), 1920x1080 [SAR 1:1 DAR 16:9], 496 kb/s, 17.94 fps, 15 tbr, 16k tbn, 30 tbc (default)
    Metadata:
      handler_name    : VideoHandler
    Stream #0:1(und): Audio: aac (LC) (mp4a / 0x6134706D), 16000 Hz, mono, fltp, 16 kb/s (default)
    Metadata:
      creation_time   : 2018-09-24 20:59:42
      handler_name    : GPAC ISO Audio Handler
    Stream #0:2(eng): Subtitle: mov_text (tx3g / 0x67337874), 800x60, 0 kb/s (default)
    Metadata:
      rotate          : 0
      creation_time   : 2018-09-24 20:59:43
      handler_name    : 1bedd89b143b4a8bad809ba208436315.subtitles.ttxt:hdlr=sbtl:lang=en:group=2:layer=1 - Imported with GPAC 0.5.0-rev4065
Input #1, png_pipe, from '/project/6001934/lingheng/ROM_Video_Process/Openpose_Video_Analysis_Code/camera1_transparent_img.png':
  Duration: N/A, bitrate: N/A
    Stream #1:0: Video: png, rgba(pc), 1920x1080, 25 tbr, 25 tbn, 25 tbc
[swscaler @ 0x23765c0] deprecated pixel format used, make sure you did set range correctly
[libx264 @ 0x2356680] using SAR=1/1
[libx264 @ 0x2356680] using cpu capabilities: MMX2 SSE2Fast SSSE3 SSE4.2 AVX FMA3 AVX2 LZCNT BMI2
[libx264 @ 0x2356680] profile High, level 4.0
[libx264 @ 0x2356680] 264 - core 148 - H.264/MPEG-4 AVC codec - Copyleft 2003-2016 - http://www.videolan.org/x264.html - options: cabac=1 ref=3 deblock=1:0:0 analyse=0x3:0x113 me=hex subme=7 psy=1 psy_rd=1.00:0.00 mixed_ref=1 me_range=16 chroma_me=1 trellis=1 8x8dct=1 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=-2 threads=3 lookahead_threads=1 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=15 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=crf mbtree=1 crf=23.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
[mp4 @ 0x2572820] Using AVStream.codec to pass codec parameters to muxers is deprecated, use AVStream.codecpar instead.
    Last message repeated 1 times
Output #0, mp4, to '/project/6001934/lingheng/ROM_Video_Process/ROM_raw_videos_with_interst_area_ffmpeg_new3/Sep_24/Camera1_Sep_24_1500_1600_Agent_Community_raw_act_ffmpeg_with_interest_area.mp4':
  Metadata:
    major_brand     : isom
    minor_version   : 1
    compatible_brands: isom
    encoder         : Lavf57.41.100
    Stream #0:0: Video: h264 (libx264) ([33][0][0][0] / 0x0021), yuv420p, 1920x1080 [SAR 1:1 DAR 16:9], q=-1--1, 15 fps, 15360 tbn, 15 tbc (default)
    Metadata:
      encoder         : Lavc57.48.101 libx264
    Side data:
      cpb: bitrate max/min/avg: 0/0/0 buffer size: 0 vbv_delay: -1
    Stream #0:1(und): Audio: aac (LC) ([64][0][0][0] / 0x0040), 16000 Hz, mono, 16 kb/s (default)
    Metadata:
      creation_time   : 2018-09-24 20:59:42
      handler_name    : GPAC ISO Audio Handler
Stream mapping:
  Stream #0:0 (h264) -> overlay:main
  Stream #1:0 (png) -> overlay:overlay
  overlay -> Stream #0:0 (libx264)
  Stream #0:1 -> #0:1 (copy)
Press [q] to stop, [?] for help
frame=   18 fps=0.0 q=0.0 size=       0kB time=00:00:00.96 bitrate=   0.4kbits/s dup=1 drop=0 speed=1.88x    
frame=   40 fps= 39 q=0.0 size=       0kB time=00:00:02.30 bitrate=   0.2kbits/s dup=1 drop=0 speed=2.27x    
frame=   49 fps= 32 q=27.0 size=     227kB time=00:00:02.75 bitrate= 676.9kbits/s dup=1 drop=0 speed=1.78x    
frame=   61 fps= 30 q=27.0 size=     275kB time=00:00:03.64 bitrate= 617.1kbits/s dup=1 drop=0 speed=1.78x    
frame=   71 fps= 28 q=27.0 size=     312kB time=00:00:04.16 bitrate= 614.4kbits/s dup=1 drop=0 speed=1.62x    
frame=   82 fps= 27 q=27.0 size=     373kB time=00:00:04.99 bitrate= 612.3kbits/s dup=1 drop=0 speed=1.62x    
frame=   92 fps= 25 q=27.0 size=     419kB time=00:00:05.50 bitrate= 623.3kbits/s dup=1 drop=0 speed=1.51x    
frame=  105 fps= 25 q=27.0 size=     474kB time=00:00:06.33 bitrate= 612.2kbits/s dup=1 drop=0 speed=1.52x    
frame=  112 fps= 24 q=27.0 size=     618kB time=00:00:06.78 bitrate= 745.9kbits/s dup=1 drop=0 speed=1.44x    
frame=  125 fps= 24 q=27.0 size=     637kB time=00:00:07.68 bitrate= 679.9kbits/s dup=1 drop=0 speed=1.48x    
frame=  139 fps= 24 q=27.0 size=     665kB time=00:00:08.57 bitrate= 635.0kbits/s dup=1 drop=0 speed= 1.5x    
frame=  152 fps= 24 q=27.0 size=     689kB time=00:00:09.47 bitrate= 596.0kbits/s dup=4 drop=0 speed=1.52x    
frame=  165 fps= 24 q=27.0 size=     716kB time=00:00:10.36 bitrate= 565.6kbits/s dup=4 drop=0 speed=1.54x    
frame=  173 fps= 24 q=27.0 size=     843kB time=00:00:10.81 bitrate= 638.4kbits/s dup=4 drop=0 speed=1.48x    
frame=  185 fps= 24 q=27.0 size=     876kB time=00:00:11.71 bitrate= 612.7kbits/s dup=4 drop=0 speed= 1.5x    
frame=  194 fps= 23 q=27.0 size=     970kB time=00:00:12.16 bitrate= 653.8kbits/s dup=4 drop=0 speed=1.46x    
frame=  204 fps= 23 q=27.0 size=    1026kB time=00:00:13.05 bitrate= 643.5kbits/s dup=4 drop=0 speed=1.48x    
frame=  214 fps= 23 q=27.0 size=    1093kB time=00:00:13.50 bitrate= 662.9kbits/s dup=4 drop=0 speed=1.44x    
frame=  225 fps= 23 q=27.0 size=    1151kB time=00:00:14.40 bitrate= 654.7kbits/s dup=4 drop=0 speed=1.46x    
frame=  232 fps= 22 q=27.0 size=    1298kB time=00:00:14.84 bitrate= 716.3kbits/s dup=4 drop=0 speed=1.42x    
frame=  242 fps= 22 q=27.0 size=    1358kB time=00:00:15.29 bitrate= 727.1kbits/s dup=4 drop=0 speed=1.39x    
frame=  250 fps= 22 q=27.0 size=    1424kB time=00:00:15.80 bitrate= 737.8kbits/s dup=4 drop=0 speed=1.37x    
frame=  261 fps= 22 q=27.0 size=    1502kB time=00:00:16.64 bitrate= 739.6kbits/s dup=4 drop=0 speed=1.38x    
frame=  270 fps= 21 q=27.0 size=    1549kB time=00:00:17.08 bitrate= 742.5kbits/s dup=4 drop=0 speed=1.36x    
frame=  278 fps= 21 q=27.0 size=    1598kB time=00:00:17.66 bitrate= 741.2kbits/s dup=4 drop=0 speed=1.35x    
frame=  288 fps= 21 q=27.0 size=    1659kB time=00:00:18.43 bitrate= 737.2kbits/s dup=4 drop=0 speed=1.35x    
frame=  295 fps= 21 q=27.0 size=    1799kB time=00:00:18.88 bitrate= 780.8kbits/s dup=4 drop=0 speed=1.34x    
frame=  303 fps= 21 q=27.0 size=    2090kB time=00:00:19.39 bitrate= 883.0kbits/s dup=4 drop=0 speed=1.33x    
frame=  313 fps= 21 q=27.0 size=    2149kB time=00:00:20.03 bitrate= 878.7kbits/s dup=4 drop=0 speed=1.32x    
frame=  324 fps= 21 q=27.0 size=    2208kB time=00:00:20.67 bitrate= 875.0kbits/s dup=4 drop=0 speed=1.31x    
frame=  333 fps= 21 q=27.0 size=    2268kB time=00:00:21.37 bitrate= 869.1kbits/s dup=4 drop=0 speed=1.32x    
frame=  344 fps= 21 q=27.0 size=    2313kB time=00:00:22.08 bitrate= 858.1kbits/s dup=4 drop=0 speed=1.32x    
frame=  351 fps= 20 q=27.0 size=    2454kB time=00:00:22.59 bitrate= 889.8kbits/s dup=4 drop=0 speed=1.31x    
frame=  362 fps= 20 q=27.0 size=    2500kB time=00:00:23.10 bitrate= 886.6kbits/s dup=4 drop=0 speed= 1.3x    
frame=  370 fps= 20 q=27.0 size=    2558kB time=00:00:23.61 bitrate= 887.2kbits/s dup=4 drop=7 speed=1.29x    
frame=  378 fps= 20 q=27.0 size=    2605kB time=00:00:24.12 bitrate= 884.5kbits/s dup=4 drop=15 speed=1.28x    
frame=  385 fps= 20 q=27.0 size=    2665kB time=00:00:24.64 bitrate= 885.9kbits/s dup=4 drop=22 speed=1.27x    
frame=  393 fps= 20 q=27.0 size=    2724kB time=00:00:25.15 bitrate= 887.2kbits/s dup=4 drop=30 speed=1.26x    
frame=  401 fps= 20 q=27.0 size=    2771kB time=00:00:25.66 bitrate= 884.5kbits/s dup=4 drop=38 speed=1.26x    
frame=  409 fps= 19 q=27.0 size=    2921kB time=00:00:26.17 bitrate= 914.2kbits/s dup=4 drop=46 speed=1.24x    
frame=  418 fps= 19 q=27.0 size=    2985kB time=00:00:26.81 bitrate= 911.9kbits/s dup=4 drop=55 speed=1.24x    
frame=  427 fps= 19 q=27.0 size=    3022kB time=00:00:27.45 bitrate= 901.5kbits/s dup=4 drop=64 speed=1.24x    
frame=  435 fps= 19 q=27.0 size=    3072kB time=00:00:27.96 bitrate= 899.9kbits/s dup=4 drop=72 speed=1.23x    
frame=  444 fps= 19 q=27.0 size=    3119kB time=00:00:28.60 bitrate= 893.1kbits/s dup=4 drop=81 speed=1.23x    
frame=  454 fps= 19 q=27.0 size=    3173kB time=00:00:29.37 bitrate= 884.9kbits/s dup=4 drop=82 speed=1.24x    
frame=  463 fps= 19 q=27.0 size=    3233kB time=00:00:30.01 bitrate= 882.5kbits/s dup=4 drop=82 speed=1.24x    
frame=  471 fps= 19 q=27.0 size=    3370kB time=00:00:30.52 bitrate= 904.2kbits/s dup=4 drop=82 speed=1.23x    
frame=  483 fps= 19 q=27.0 size=    3431kB time=00:00:31.29 bitrate= 898.1kbits/s dup=4 drop=82 speed=1.23x    
frame=  491 fps= 19 q=27.0 size=    3538kB time=00:00:31.87 bitrate= 909.4kbits/s dup=4 drop=82 speed=1.23x    
frame=  501 fps= 19 q=27.0 size=    3611kB time=00:00:32.51 bitrate= 909.9kbits/s dup=4 drop=82 speed=1.23x    
frame=  512 fps= 19 q=27.0 size=    3655kB time=00:00:33.28 bitrate= 899.7kbits/s dup=4 drop=82 speed=1.23x    
frame=  522 fps= 19 q=27.0 size=    3711kB time=00:00:33.92 bitrate= 896.3kbits/s dup=4 drop=82 speed=1.23x    
frame=  533 fps= 19 q=27.0 size=    3765kB time=00:00:34.68 bitrate= 889.1kbits/s dup=4 drop=82 speed=1.24x    
frame=  543 fps= 19 q=27.0 size=    3805kB time=00:00:35.32 bitrate= 882.3kbits/s dup=4 drop=82 speed=1.23x    
frame=  554 fps= 19 q=27.0 size=    4117kB time=00:00:36.03 bitrate= 935.9kbits/s dup=4 drop=82 speed=1.24x    
frame=  564 fps= 19 q=27.0 size=    4156kB time=00:00:36.73 bitrate= 926.9kbits/s dup=4 drop=82 speed=1.24x    
frame=  571 fps= 19 q=27.0 size=    4305kB time=00:00:37.18 bitrate= 948.4kbits/s dup=4 drop=82 speed=1.23x    
frame=  582 fps= 19 q=27.0 size=    4349kB time=00:00:37.95 bitrate= 938.8kbits/s dup=4 drop=82 speed=1.23x    
frame=  593 fps= 19 q=27.0 size=    4394kB time=00:00:38.65 bitrate= 931.1kbits/s dup=4 drop=82 speed=1.24x    
frame=  603 fps= 19 q=27.0 size=    4443kB time=00:00:39.29 bitrate= 926.1kbits/s dup=4 drop=82 speed=1.24x    
frame=  609 fps= 19 q=27.0 size=    4569kB time=00:00:39.74 bitrate= 941.8kbits/s dup=4 drop=82 speed=1.23x    
frame=  618 fps= 19 q=27.0 size=    4639kB time=00:00:40.32 bitrate= 942.4kbits/s dup=4 drop=82 speed=1.23x    
frame=  626 fps= 19 q=27.0 size=    4702kB time=00:00:40.83 bitrate= 943.3kbits/s dup=4 drop=82 speed=1.22x    
frame=  632 fps= 19 q=27.0 size=    4827kB time=00:00:41.28 bitrate= 958.0kbits/s dup=4 drop=82 speed=1.22x    
frame=  640 fps= 19 q=27.0 size=    4892kB time=00:00:41.79 bitrate= 959.0kbits/s dup=4 drop=82 speed=1.21x    
frame=  648 fps= 19 q=27.0 size=    4955kB time=00:00:42.30 bitrate= 959.6kbits/s dup=4 drop=82 speed=1.21x    
frame=  657 fps= 18 q=27.0 size=    5015kB time=00:00:42.94 bitrate= 956.6kbits/s dup=4 drop=82 speed=1.21x    
frame=  666 fps= 18 q=27.0 size=    5064kB time=00:00:43.52 bitrate= 953.3kbits/s dup=4 drop=82 speed=1.21x    
frame=  677 fps= 18 q=27.0 size=    5127kB time=00:00:44.28 bitrate= 948.4kbits/s dup=4 drop=82 speed=1.21x    
frame=  687 fps= 19 q=27.0 size=    5176kB time=00:00:44.92 bitrate= 943.7kbits/s dup=4 drop=82 speed=1.21x    
frame=  693 fps= 18 q=27.0 size=    5321kB time=00:00:45.31 bitrate= 962.0kbits/s dup=4 drop=82 speed= 1.2x    
frame=  704 fps= 18 q=27.0 size=    5365kB time=00:00:46.08 bitrate= 953.8kbits/s dup=4 drop=82 speed=1.21x    
frame=  715 fps= 18 q=27.0 size=    5425kB time=00:00:46.78 bitrate= 949.8kbits/s dup=4 drop=82 speed=1.21x    
frame=  726 fps= 18 q=27.0 size=    5483kB time=00:00:47.55 bitrate= 944.5kbits/s dup=4 drop=82 speed=1.21x    
frame=  737 fps= 19 q=27.0 size=    5541kB time=00:00:48.25 bitrate= 940.6kbits/s dup=4 drop=82 speed=1.21x    
frame=  749 fps= 18 q=27.0 size=    5706kB time=00:00:49.08 bitrate= 952.3kbits/s dup=4 drop=82 speed=1.21x    
frame=  761 fps= 18 q=27.0 size=    5770kB time=00:00:49.85 bitrate= 948.1kbits/s dup=4 drop=82 speed=1.21x    
frame=  772 fps= 19 q=27.0 size=    5822kB time=00:00:50.62 bitrate= 942.1kbits/s dup=4 drop=82 speed=1.22x    
frame=  783 fps= 19 q=27.0 size=    5876kB time=00:00:51.32 bitrate= 937.8kbits/s dup=4 drop=82 speed=1.22x    
frame=  792 fps= 19 q=27.0 size=    5911kB time=00:00:51.90 bitrate= 932.9kbits/s dup=4 drop=82 speed=1.22x    
frame=  804 fps= 19 q=27.0 size=    6185kB time=00:00:52.73 bitrate= 960.8kbits/s dup=4 drop=82 speed=1.22x    
frame=  812 fps= 19 q=27.0 size=    6327kB time=00:00:53.24 bitrate= 973.4kbits/s dup=4 drop=82 speed=1.22x    
frame=  824 fps= 19 q=27.0 size=    6381kB time=00:00:54.08 bitrate= 966.5kbits/s dup=4 drop=82 speed=1.22x    
frame=  835 fps= 19 q=27.0 size=    6434kB time=00:00:54.78 bitrate= 962.1kbits/s dup=4 drop=82 speed=1.22x    
frame=  846 fps= 19 q=27.0 size=    6489kB time=00:00:55.55 bitrate= 956.9kbits/s dup=4 drop=82 speed=1.23x    
frame=  857 fps= 19 q=27.0 size=    6548kB time=00:00:56.25 bitrate= 953.6kbits/s dup=4 drop=82 speed=1.23x    
frame=  867 fps= 19 q=27.0 size=    6720kB time=00:00:56.89 bitrate= 967.6kbits/s dup=4 drop=82 speed=1.22x    
frame=  879 fps= 19 q=27.0 size=    6777kB time=00:00:57.72 bitrate= 961.7kbits/s dup=4 drop=82 speed=1.23x    
frame=  891 fps= 19 q=27.0 size=    6831kB time=00:00:58.49 bitrate= 956.6kbits/s dup=4 drop=82 speed=1.23x    
frame=  903 fps= 19 q=27.0 size=    6881kB time=00:00:59.32 bitrate= 950.2kbits/s dup=4 drop=82 speed=1.23x    
frame=  915 fps= 19 q=27.0 size=    6934kB time=00:01:00.09 bitrate= 945.3kbits/s dup=4 drop=82 speed=1.23x    
frame=  927 fps= 19 q=27.0 size=    7102kB time=00:01:00.92 bitrate= 954.9kbits/s dup=4 drop=82 speed=1.23x    
frame=  939 fps= 19 q=27.0 size=    7161kB time=00:01:01.69 bitrate= 950.9kbits/s dup=4 drop=82 speed=1.23x    
frame=  950 fps= 19 q=27.0 size=    7207kB time=00:01:02.46 bitrate= 945.1kbits/s dup=4 drop=82 speed=1.23x    
frame=  961 fps= 19 q=27.0 size=    7263kB time=00:01:03.16 bitrate= 942.0kbits/s dup=4 drop=82 speed=1.24x    
frame=  972 fps= 19 q=27.0 size=    7321kB time=00:01:03.93 bitrate= 938.0kbits/s dup=4 drop=82 speed=1.24x    
frame=  982 fps= 19 q=27.0 size=    7386kB time=00:01:04.57 bitrate= 936.9kbits/s dup=4 drop=82 speed=1.24x    
frame=  988 fps= 19 q=27.0 size=    7527kB time=00:01:05.02 bitrate= 948.2kbits/s dup=4 drop=82 speed=1.23x    
frame=  999 fps= 19 q=27.0 size=    7582kB time=00:01:05.72 bitrate= 945.0kbits/s dup=4 drop=82 speed=1.23x    
frame= 1007 fps= 19 q=27.0 size=    7654kB time=00:01:06.24 bitrate= 946.5kbits/s dup=4 drop=82 speed=1.23x    
frame= 1015 fps= 19 q=27.0 size=    7736kB time=00:01:06.81 bitrate= 948.5kbits/s dup=4 drop=82 speed=1.23x    
frame= 1023 fps= 19 q=27.0 size=    7793kB time=00:01:07.32 bitrate= 948.2kbits/s dup=4 drop=82 speed=1.23x    
frame= 1033 fps= 19 q=27.0 size=    7870kB time=00:01:07.96 bitrate= 948.6kbits/s dup=4 drop=82 speed=1.23x    
frame= 1042 fps= 19 q=27.0 size=    7918kB time=00:01:08.60 bitrate= 945.4kbits/s dup=4 drop=82 speed=1.23x    
frame= 1052 fps= 19 q=27.0 size=    8291kB time=00:01:09.24 bitrate= 980.8kbits/s dup=4 drop=82 speed=1.23x    
frame= 1064 fps= 19 q=27.0 size=    8349kB time=00:01:10.08 bitrate= 976.0kbits/s dup=4 drop=82 speed=1.23x    
frame= 1077 fps= 19 q=27.0 size=    8401kB time=00:01:10.91 bitrate= 970.5kbits/s dup=4 drop=82 speed=1.23x    
frame= 1090 fps= 19 q=27.0 size=    8440kB time=00:01:11.80 bitrate= 962.9kbits/s dup=4 drop=82 speed=1.24x    
frame= 1103 fps= 19 q=27.0 size=    8480kB time=00:01:12.64 bitrate= 956.3kbits/s dup=4 drop=82 speed=1.24x    
frame= 1110 fps= 19 q=27.0 size=    8619kB time=00:01:13.15 bitrate= 965.2kbits/s dup=4 drop=82 speed=1.24x    
frame= 1123 fps= 19 q=27.0 size=    8653kB time=00:01:13.98 bitrate= 958.1kbits/s dup=4 drop=82 speed=1.24x    
frame= 1137 fps= 19 q=27.0 size=    8697kB time=00:01:14.94 bitrate= 950.7kbits/s dup=4 drop=82 speed=1.24x    
frame= 1149 fps= 19 q=27.0 size=    8746kB time=00:01:15.71 bitrate= 946.3kbits/s dup=4 drop=82 speed=1.25x    
frame= 1162 fps= 19 q=27.0 size=    8786kB time=00:01:16.60 bitrate= 939.5kbits/s dup=4 drop=82 speed=1.25x    
frame= 1171 fps= 19 q=27.0 size=    8911kB time=00:01:17.18 bitrate= 945.8kbits/s dup=4 drop=82 speed=1.25x    
frame= 1183 fps= 19 q=27.0 size=    8952kB time=00:01:18.01 bitrate= 940.0kbits/s dup=4 drop=82 speed=1.25x    
frame= 1194 fps= 19 q=27.0 size=    8994kB time=00:01:18.72 bitrate= 935.9kbits/s dup=4 drop=82 speed=1.25x    
frame= 1207 fps= 19 q=27.0 size=    9036kB time=00:01:19.61 bitrate= 929.7kbits/s dup=4 drop=82 speed=1.26x    
frame= 1219 fps= 19 q=27.0 size=    9074kB time=00:01:20.38 bitrate= 924.7kbits/s dup=4 drop=82 speed=1.26x    
frame= 1229 fps= 19 q=27.0 size=    9209kB time=00:01:21.08 bitrate= 930.4kbits/s dup=4 drop=82 speed=1.26x    
frame= 1241 fps= 19 q=27.0 size=    9254kB time=00:01:21.85 bitrate= 926.1kbits/s dup=4 drop=82 speed=1.26x    
frame= 1253 fps= 19 q=27.0 size=    9296kB time=00:01:22.68 bitrate= 921.0kbits/s dup=4 drop=82 speed=1.26x    
frame= 1266 fps= 19 q=27.0 size=    9336kB time=00:01:23.52 bitrate= 915.7kbits/s dup=4 drop=82 speed=1.26x    
frame= 1279 fps= 19 q=27.0 size=    9369kB time=00:01:24.41 bitrate= 909.2kbits/s dup=4 drop=82 speed=1.27x    
frame= 1289 fps= 19 q=27.0 size=    9497kB time=00:01:25.05 bitrate= 914.7kbits/s dup=4 drop=82 speed=1.27x    
frame= 1301 fps= 19 q=27.0 size=    9763kB time=00:01:25.88 bitrate= 931.2kbits/s dup=4 drop=82 speed=1.27x    
frame= 1314 fps= 19 q=27.0 size=    9815kB time=00:01:26.72 bitrate= 927.2kbits/s dup=4 drop=82 speed=1.27x    
frame= 1326 fps= 19 q=27.0 size=    9864kB time=00:01:27.55 bitrate= 922.9kbits/s dup=4 drop=82 speed=1.27x    
frame= 1339 fps= 19 q=27.0 size=    9908kB time=00:01:28.38 bitrate= 918.3kbits/s dup=4 drop=82 speed=1.28x    
frame= 1347 fps= 19 q=27.0 size=   10054kB time=00:01:28.89 bitrate= 926.5kbits/s dup=4 drop=82 speed=1.27x    
frame= 1360 fps= 19 q=27.0 size=   10092kB time=00:01:29.79 bitrate= 920.8kbits/s dup=4 drop=82 speed=1.28x    
frame= 1372 fps= 19 q=27.0 size=   10129kB time=00:01:30.62 bitrate= 915.6kbits/s dup=4 drop=82 speed=1.28x    
frame= 1385 fps= 19 q=27.0 size=   10165kB time=00:01:31.45 bitrate= 910.5kbits/s dup=4 drop=82 speed=1.28x    
frame= 1398 fps= 19 q=27.0 size=   10207kB time=00:01:32.35 bitrate= 905.4kbits/s dup=4 drop=82 speed=1.28x    
frame= 1407 fps= 19 q=27.0 size=   10343kB time=00:01:32.92 bitrate= 911.8kbits/s dup=4 drop=82 speed=1.28x    
frame= 1420 fps= 19 q=27.0 size=   10386kB time=00:01:33.82 bitrate= 906.8kbits/s dup=4 drop=82 speed=1.28x    
frame= 1433 fps= 19 q=27.0 size=   10429kB time=00:01:34.65 bitrate= 902.5kbits/s dup=4 drop=82 speed=1.29x    
frame= 1445 fps= 19 q=27.0 size=   10474kB time=00:01:35.48 bitrate= 898.6kbits/s dup=4 drop=82 speed=1.29x    
frame= 1458 fps= 20 q=27.0 size=   10513kB time=00:01:36.32 bitrate= 894.2kbits/s dup=4 drop=82 speed=1.29x    
frame= 1467 fps= 19 q=27.0 size=   10656kB time=00:01:36.89 bitrate= 900.9kbits/s dup=4 drop=82 speed=1.29x    
frame= 1479 fps= 20 q=27.0 size=   10707kB time=00:01:37.72 bitrate= 897.5kbits/s dup=4 drop=82 speed=1.29x    
frame= 1491 fps= 20 q=27.0 size=   10760kB time=00:01:38.49 bitrate= 895.0kbits/s dup=4 drop=82 speed=1.29x    
frame= 1503 fps= 20 q=27.0 size=   10807kB time=00:01:39.32 bitrate= 891.3kbits/s dup=4 drop=82 speed=1.29x    
frame= 1515 fps= 20 q=27.0 size=   10864kB time=00:01:40.09 bitrate= 889.1kbits/s dup=4 drop=82 speed=1.29x    
frame= 1527 fps= 20 q=27.0 size=   11016kB time=00:01:40.92 bitrate= 894.1kbits/s dup=4 drop=82 speed=1.29x    
frame= 1539 fps= 20 q=27.0 size=   11079kB time=00:01:41.69 bitrate= 892.5kbits/s dup=4 drop=82 speed=1.29x    
frame= 1548 fps= 20 q=27.0 size=   11350kB time=00:01:42.33 bitrate= 908.6kbits/s dup=4 drop=82 speed=1.29x    
frame= 1561 fps= 20 q=27.0 size=   11415kB time=00:01:43.16 bitrate= 906.4kbits/s dup=4 drop=82 speed=1.29x    
frame= 1574 fps= 20 q=27.0 size=   11466kB time=00:01:44.06 bitrate= 902.6kbits/s dup=4 drop=82 speed=1.29x    
frame= 1588 fps= 20 q=27.0 size=   11506kB time=00:01:45.02 bitrate= 897.5kbits/s dup=4 drop=82 speed= 1.3x    
frame= 1596 fps= 20 q=27.0 size=   11642kB time=00:01:45.53 bitrate= 903.7kbits/s dup=4 drop=82 speed= 1.3x    
frame= 1608 fps= 20 q=27.0 size=   11689kB time=00:01:46.30 bitrate= 900.8kbits/s dup=4 drop=82 speed= 1.3x    
frame= 1619 fps= 20 q=27.0 size=   11737kB time=00:01:47.07 bitrate= 898.0kbits/s dup=4 drop=82 speed= 1.3x    
frame= 1632 fps= 20 q=27.0 size=   11779kB time=00:01:47.90 bitrate= 894.3kbits/s dup=4 drop=82 speed= 1.3x    
frame= 1643 fps= 20 q=27.0 size=   11818kB time=00:01:48.67 bitrate= 890.8kbits/s dup=4 drop=82 speed= 1.3x    
frame= 1651 fps= 20 q=27.0 size=   11950kB time=00:01:49.18 bitrate= 896.6kbits/s dup=4 drop=82 speed= 1.3x    
frame= 1661 fps= 20 q=27.0 size=   12012kB time=00:01:49.88 bitrate= 895.5kbits/s dup=4 drop=82 speed= 1.3x    
frame= 1673 fps= 20 q=27.0 size=   12062kB time=00:01:50.65 bitrate= 893.0kbits/s dup=4 drop=82 speed= 1.3x    
frame= 1685 fps= 20 q=27.0 size=   12115kB time=00:01:51.48 bitrate= 890.2kbits/s dup=4 drop=82 speed= 1.3x    
frame= 1697 fps= 20 q=27.0 size=   12167kB time=00:01:52.25 bitrate= 887.9kbits/s dup=4 drop=82 speed= 1.3x    
frame= 1707 fps= 20 q=27.0 size=   12215kB time=00:01:52.89 bitrate= 886.3kbits/s dup=4 drop=82 speed= 1.3x    
frame= 1715 fps= 20 q=27.0 size=   12353kB time=00:01:53.47 bitrate= 891.8kbits/s dup=4 drop=82 speed= 1.3x    
frame= 1727 fps= 20 q=27.0 size=   12401kB time=00:01:54.24 bitrate= 889.3kbits/s dup=4 drop=82 speed= 1.3x    
frame= 1737 fps= 20 q=27.0 size=   12484kB time=00:01:54.94 bitrate= 889.7kbits/s dup=4 drop=82 speed= 1.3x    
