ffmpeg version 3.1.7 Copyright (c) 2000-2017 the FFmpeg developers
  built with gcc 5.4.0 (GCC)
  configuration: --disable-static --prefix=/cvmfs/soft.computecanada.ca/nix/store/n7qiyrcpyixibg8mijm826nb3hdb23j1-ffmpeg-3.1.7 --enable-gpl --enable-version3 --enable-shared --disable-static --enable-pic --enable-runtime-cpudetect --enable-hardcoded-tables --enable-pthreads --disable-w32threads --disable-os2threads --enable-network --enable-pixelutils --enable-ffmpeg --disable-ffplay --enable-ffprobe --disable-ffserver --enable-avcodec --enable-avdevice --enable-avfilter --enable-avformat --enable-avresample --enable-avutil --enable-postproc --enable-swresample --enable-swscale --disable-doc --enable-bzlib --enable-gnutls --enable-fontconfig --enable-libfreetype --enable-libmp3lame --enable-iconv --enable-libtheora --enable-vaapi --enable-vdpau --enable-libvorbis --enable-libvpx --enable-lzma --disable-opengl --enable-libpulse --enable-sdl --enable-libsoxr --enable-libx264 --enable-libxvid --enable-zlib --enable-libopus --enable-libx265 --disable-debug --enable-optimizations --disable-extra-warnings --disable-stripping
  libavutil      55. 28.100 / 55. 28.100
  libavcodec     57. 48.101 / 57. 48.101
  libavformat    57. 41.100 / 57. 41.100
  libavdevice    57.  0.101 / 57.  0.101
  libavfilter     6. 47.100 /  6. 47.100
  libavresample   3.  0.  0 /  3.  0.  0
  libswscale      4.  1.100 /  4.  1.100
  libswresample   2.  1.100 /  2.  1.100
  libpostproc    54.  0.100 / 54.  0.100
Input #0, mov,mp4,m4a,3gp,3g2,mj2, from '/project/6001934/lingheng/ROM_Video_Process/ROM_raw_videos/Sep_25/Camera1_Sep_25_1400_1500_Single_Agent_Raw_Act.mp4':
  Metadata:
    major_brand     : isom
    minor_version   : 1
    compatible_brands: isom
    creation_time   : 2018-09-25 20:59:51
  Duration: 01:00:00.20, start: 0.000000, bitrate: 563 kb/s
    Stream #0:0(und): Video: h264 (Main) (avc1 / 0x31637661), yuvj420p(pc, bt709), 1920x1080 [SAR 1:1 DAR 16:9], 543 kb/s, 18.08 fps, 15 tbr, 16k tbn, 30 tbc (default)
    Metadata:
      handler_name    : VideoHandler
    Stream #0:1(und): Audio: aac (LC) (mp4a / 0x6134706D), 16000 Hz, mono, fltp, 16 kb/s (default)
    Metadata:
      creation_time   : 2018-09-25 20:59:53
      handler_name    : GPAC ISO Audio Handler
    Stream #0:2(eng): Subtitle: mov_text (tx3g / 0x67337874), 800x60, 0 kb/s (default)
    Metadata:
      rotate          : 0
      creation_time   : 2018-09-25 20:59:53
      handler_name    : a6aa442704ae4f84911edf2ba110f12f.subtitles.ttxt:hdlr=sbtl:lang=en:group=2:layer=1 - Imported with GPAC 0.5.0-rev4065
Input #1, png_pipe, from '/project/6001934/lingheng/ROM_Video_Process/Openpose_Video_Analysis_Code/camera1_transparent_img.png':
  Duration: N/A, bitrate: N/A
    Stream #1:0: Video: png, rgba(pc), 1920x1080, 25 tbr, 25 tbn, 25 tbc
[swscaler @ 0xbc0d40] deprecated pixel format used, make sure you did set range correctly
[libx264 @ 0xba00e0] using SAR=1/1
[libx264 @ 0xba00e0] using cpu capabilities: MMX2 SSE2Fast SSSE3 SSE4.2 AVX FMA3 AVX2 LZCNT BMI2
[libx264 @ 0xba00e0] profile High, level 4.0
[libx264 @ 0xba00e0] 264 - core 148 - H.264/MPEG-4 AVC codec - Copyleft 2003-2016 - http://www.videolan.org/x264.html - options: cabac=1 ref=3 deblock=1:0:0 analyse=0x3:0x113 me=hex subme=7 psy=1 psy_rd=1.00:0.00 mixed_ref=1 me_range=16 chroma_me=1 trellis=1 8x8dct=1 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=-2 threads=3 lookahead_threads=1 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=15 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=crf mbtree=1 crf=23.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
[mp4 @ 0xb9ed80] Using AVStream.codec to pass codec parameters to muxers is deprecated, use AVStream.codecpar instead.
    Last message repeated 1 times
Output #0, mp4, to '/project/6001934/lingheng/ROM_Video_Process/ROM_raw_videos_with_interst_area_ffmpeg_new3/Sep_25/Camera1_Sep_25_1400_1500_Single_Agent_Raw_Act_ffmpeg_with_interest_area.mp4':
  Metadata:
    major_brand     : isom
    minor_version   : 1
    compatible_brands: isom
    encoder         : Lavf57.41.100
    Stream #0:0: Video: h264 (libx264) ([33][0][0][0] / 0x0021), yuv420p, 1920x1080 [SAR 1:1 DAR 16:9], q=-1--1, 15 fps, 15360 tbn, 15 tbc (default)
    Metadata:
      encoder         : Lavc57.48.101 libx264
    Side data:
      cpb: bitrate max/min/avg: 0/0/0 buffer size: 0 vbv_delay: -1
    Stream #0:1(und): Audio: aac (LC) ([64][0][0][0] / 0x0040), 16000 Hz, mono, 16 kb/s (default)
    Metadata:
      creation_time   : 2018-09-25 20:59:53
      handler_name    : GPAC ISO Audio Handler
Stream mapping:
  Stream #0:0 (h264) -> overlay:main
  Stream #1:0 (png) -> overlay:overlay
  overlay -> Stream #0:0 (libx264)
  Stream #0:1 -> #0:1 (copy)
Press [q] to stop, [?] for help
frame=   21 fps=0.0 q=0.0 size=       0kB time=00:00:00.96 bitrate=   0.4kbits/s dup=1 drop=0 speed=1.88x    
frame=   47 fps= 39 q=0.0 size=       0kB time=00:00:02.75 bitrate=   0.1kbits/s dup=1 drop=0 speed=2.31x    
frame=   57 fps= 33 q=27.0 size=     229kB time=00:00:03.26 bitrate= 575.7kbits/s dup=1 drop=0 speed=1.86x    
frame=   70 fps= 30 q=27.0 size=     275kB time=00:00:04.09 bitrate= 550.5kbits/s dup=1 drop=0 speed=1.77x    
frame=   82 fps= 29 q=27.0 size=     322kB time=00:00:04.99 bitrate= 528.0kbits/s dup=1 drop=0 speed=1.74x    
frame=   92 fps= 27 q=27.0 size=     360kB time=00:00:05.50 bitrate= 536.0kbits/s dup=1 drop=0 speed=1.63x    
frame=  104 fps= 27 q=27.0 size=     408kB time=00:00:06.33 bitrate= 527.8kbits/s dup=1 drop=0 speed=1.63x    
frame=  111 fps= 25 q=27.0 size=     538kB time=00:00:06.78 bitrate= 649.8kbits/s dup=1 drop=0 speed=1.54x    
frame=  120 fps= 24 q=27.0 size=     581kB time=00:00:07.29 bitrate= 652.8kbits/s dup=1 drop=0 speed=1.49x    
frame=  130 fps= 24 q=27.0 size=     647kB time=00:00:08.12 bitrate= 652.2kbits/s dup=1 drop=0 speed= 1.5x    
frame=  139 fps= 23 q=27.0 size=     712kB time=00:00:08.57 bitrate= 679.9kbits/s dup=1 drop=0 speed=1.44x    
frame=  148 fps= 23 q=27.0 size=     771kB time=00:00:09.02 bitrate= 700.1kbits/s dup=1 drop=0 speed= 1.4x    
frame=  157 fps= 23 q=27.0 size=     843kB time=00:00:09.92 bitrate= 696.2kbits/s dup=1 drop=0 speed=1.42x    
frame=  166 fps= 22 q=27.0 size=     890kB time=00:00:10.36 bitrate= 703.4kbits/s dup=1 drop=0 speed=1.38x    
frame=  173 fps= 21 q=27.0 size=    1040kB time=00:00:10.81 bitrate= 788.0kbits/s dup=1 drop=0 speed=1.34x    
frame=  185 fps= 21 q=27.0 size=    1088kB time=00:00:11.71 bitrate= 761.0kbits/s dup=1 drop=0 speed=1.36x    
frame=  197 fps= 22 q=27.0 size=    1130kB time=00:00:12.16 bitrate= 761.4kbits/s dup=1 drop=0 speed=1.33x    
frame=  209 fps= 22 q=27.0 size=    1176kB time=00:00:13.05 bitrate= 737.6kbits/s dup=1 drop=0 speed=1.35x    
frame=  221 fps= 22 q=27.0 size=    1209kB time=00:00:13.95 bitrate= 710.1kbits/s dup=1 drop=0 speed=1.37x    
frame=  229 fps= 21 q=27.0 size=    1349kB time=00:00:14.40 bitrate= 767.7kbits/s dup=1 drop=0 speed=1.34x    
frame=  239 fps= 21 q=27.0 size=    1395kB time=00:00:15.04 bitrate= 759.8kbits/s dup=1 drop=0 speed=1.34x    
frame=  251 fps= 21 q=27.0 size=    1444kB time=00:00:15.74 bitrate= 751.3kbits/s dup=1 drop=0 speed=1.34x    
frame=  263 fps= 21 q=27.0 size=    1488kB time=00:00:16.64 bitrate= 732.6kbits/s dup=1 drop=0 speed=1.35x    
frame=  274 fps= 21 q=27.0 size=    1522kB time=00:00:17.34 bitrate= 718.8kbits/s dup=1 drop=0 speed=1.35x    
frame=  286 fps= 21 q=27.0 size=    1558kB time=00:00:18.17 bitrate= 702.0kbits/s dup=1 drop=0 speed=1.36x    
frame=  294 fps= 21 q=27.0 size=    1705kB time=00:00:18.68 bitrate= 747.2kbits/s dup=1 drop=0 speed=1.34x    
frame=  306 fps= 21 q=27.0 size=    1991kB time=00:00:19.52 bitrate= 835.7kbits/s dup=1 drop=0 speed=1.35x    
frame=  318 fps= 21 q=27.0 size=    2031kB time=00:00:20.28 bitrate= 820.3kbits/s dup=1 drop=0 speed=1.35x    
frame=  330 fps= 21 q=27.0 size=    2076kB time=00:00:21.12 bitrate= 805.4kbits/s dup=1 drop=0 speed=1.36x    
frame=  341 fps= 21 q=27.0 size=    2128kB time=00:00:21.82 bitrate= 798.7kbits/s dup=1 drop=0 speed=1.36x    
frame=  349 fps= 21 q=27.0 size=    2274kB time=00:00:22.33 bitrate= 833.9kbits/s dup=1 drop=0 speed=1.34x    
frame=  361 fps= 21 q=27.0 size=    2326kB time=00:00:23.16 bitrate= 822.6kbits/s dup=1 drop=0 speed=1.35x    
frame=  373 fps= 21 q=27.0 size=    2376kB time=00:00:23.93 bitrate= 813.2kbits/s dup=1 drop=0 speed=1.35x    
frame=  385 fps= 21 q=27.0 size=    2421kB time=00:00:24.76 bitrate= 800.7kbits/s dup=1 drop=0 speed=1.35x    
frame=  397 fps= 21 q=27.0 size=    2469kB time=00:00:25.53 bitrate= 792.0kbits/s dup=1 drop=0 speed=1.35x    
frame=  409 fps= 21 q=27.0 size=    2623kB time=00:00:26.36 bitrate= 814.8kbits/s dup=1 drop=0 speed=1.34x    
frame=  421 fps= 21 q=27.0 size=    2674kB time=00:00:27.13 bitrate= 807.2kbits/s dup=1 drop=0 speed=1.35x    
frame=  433 fps= 21 q=27.0 size=    2731kB time=00:00:27.96 bitrate= 800.0kbits/s dup=1 drop=0 speed=1.35x    
frame=  444 fps= 21 q=27.0 size=    2775kB time=00:00:28.67 bitrate= 793.0kbits/s dup=1 drop=0 speed=1.35x    
frame=  456 fps= 21 q=27.0 size=    2828kB time=00:00:29.50 bitrate= 785.2kbits/s dup=1 drop=0 speed=1.35x    
frame=  467 fps= 21 q=27.0 size=    2875kB time=00:00:30.20 bitrate= 779.7kbits/s dup=1 drop=0 speed=1.35x    
frame=  473 fps= 21 q=27.0 size=    3013kB time=00:00:30.65 bitrate= 805.1kbits/s dup=1 drop=0 speed=1.34x    
frame=  483 fps= 21 q=27.0 size=    3060kB time=00:00:31.29 bitrate= 801.0kbits/s dup=1 drop=0 speed=1.34x    
frame=  493 fps= 21 q=27.0 size=    3123kB time=00:00:31.93 bitrate= 801.2kbits/s dup=1 drop=0 speed=1.34x    
frame=  503 fps= 21 q=27.0 size=    3169kB time=00:00:32.64 bitrate= 795.2kbits/s dup=1 drop=0 speed=1.34x    
frame=  513 fps= 21 q=27.0 size=    3238kB time=00:00:33.28 bitrate= 797.0kbits/s dup=1 drop=0 speed=1.33x    
frame=  520 fps= 20 q=27.0 size=    3319kB time=00:00:33.79 bitrate= 804.6kbits/s dup=1 drop=0 speed=1.32x    
frame=  528 fps= 20 q=27.0 size=    3399kB time=00:00:34.30 bitrate= 811.8kbits/s dup=1 drop=0 speed=1.32x    
frame=  534 fps= 20 q=27.0 size=    3542kB time=00:00:34.68 bitrate= 836.6kbits/s dup=1 drop=0 speed= 1.3x    
frame=  541 fps= 20 q=27.0 size=    3614kB time=00:00:35.13 bitrate= 842.7kbits/s dup=1 drop=0 speed=1.29x    
frame=  550 fps= 20 q=27.0 size=    3895kB time=00:00:35.77 bitrate= 891.8kbits/s dup=1 drop=0 speed=1.29x    
frame=  561 fps= 20 q=27.0 size=    3950kB time=00:00:36.48 bitrate= 886.9kbits/s dup=1 drop=0 speed=1.29x    
frame=  571 fps= 20 q=27.0 size=    3993kB time=00:00:37.18 bitrate= 879.7kbits/s dup=1 drop=0 speed=1.29x    
frame=  581 fps= 20 q=27.0 size=    4051kB time=00:00:37.82 bitrate= 877.3kbits/s dup=1 drop=0 speed=1.29x    
frame=  589 fps= 20 q=27.0 size=    4216kB time=00:00:38.33 bitrate= 900.9kbits/s dup=1 drop=0 speed=1.28x    
frame=  601 fps= 20 q=27.0 size=    4253kB time=00:00:39.16 bitrate= 889.5kbits/s dup=1 drop=0 speed=1.29x    
frame=  613 fps= 20 q=27.0 size=    4301kB time=00:00:39.93 bitrate= 882.2kbits/s dup=1 drop=0 speed=1.29x    
frame=  625 fps= 20 q=27.0 size=    4360kB time=00:00:40.76 bitrate= 876.2kbits/s dup=1 drop=0 speed=1.29x    
frame=  636 fps= 20 q=27.0 size=    4413kB time=00:00:41.47 bitrate= 871.7kbits/s dup=1 drop=0 speed=1.29x    
frame=  647 fps= 20 q=27.0 size=    4467kB time=00:00:42.24 bitrate= 866.3kbits/s dup=1 drop=0 speed= 1.3x    
frame=  653 fps= 20 q=27.0 size=    4603kB time=00:00:42.62 bitrate= 884.7kbits/s dup=1 drop=0 speed=1.29x    
frame=  661 fps= 20 q=27.0 size=    4675kB time=00:00:43.13 bitrate= 887.9kbits/s dup=1 drop=0 speed=1.28x    
frame=  671 fps= 20 q=27.0 size=    4724kB time=00:00:43.84 bitrate= 882.7kbits/s dup=1 drop=0 speed=1.28x    
frame=  681 fps= 20 q=27.0 size=    4790kB time=00:00:44.48 bitrate= 882.2kbits/s dup=1 drop=0 speed=1.28x    
frame=  691 fps= 20 q=27.0 size=    4835kB time=00:00:45.18 bitrate= 876.6kbits/s dup=1 drop=0 speed=1.28x    
frame=  701 fps= 20 q=27.0 size=    4890kB time=00:00:45.82 bitrate= 874.3kbits/s dup=1 drop=0 speed=1.28x    
frame=  709 fps= 20 q=27.0 size=    5048kB time=00:00:46.33 bitrate= 892.5kbits/s dup=1 drop=0 speed=1.28x    
frame=  721 fps= 20 q=27.0 size=    5090kB time=00:00:47.16 bitrate= 884.0kbits/s dup=1 drop=0 speed=1.28x    
frame=  732 fps= 20 q=27.0 size=    5138kB time=00:00:47.87 bitrate= 879.2kbits/s dup=1 drop=0 speed=1.28x    
frame=  743 fps= 20 q=27.0 size=    5195kB time=00:00:48.64 bitrate= 874.9kbits/s dup=1 drop=0 speed=1.28x    
frame=  754 fps= 20 q=27.0 size=    5246kB time=00:00:49.34 bitrate= 871.0kbits/s dup=1 drop=0 speed=1.28x    
frame=  765 fps= 20 q=27.0 size=    5299kB time=00:00:50.11 bitrate= 866.3kbits/s dup=1 drop=0 speed=1.29x    
frame=  772 fps= 20 q=27.0 size=    5455kB time=00:00:50.56 bitrate= 883.8kbits/s dup=1 drop=0 speed=1.28x    
frame=  783 fps= 20 q=27.0 size=    5519kB time=00:00:51.26 bitrate= 882.0kbits/s dup=1 drop=0 speed=1.28x    
frame=  794 fps= 20 q=27.0 size=    5564kB time=00:00:52.03 bitrate= 876.0kbits/s dup=1 drop=0 speed=1.29x    
frame=  805 fps= 20 q=27.0 size=    5873kB time=00:00:52.73 bitrate= 912.3kbits/s dup=1 drop=0 speed=1.29x    
frame=  818 fps= 20 q=27.0 size=    5925kB time=00:00:53.63 bitrate= 905.0kbits/s dup=1 drop=0 speed=1.29x    
frame=  829 fps= 20 q=27.0 size=    6097kB time=00:00:54.33 bitrate= 919.2kbits/s dup=1 drop=0 speed=1.28x    
frame=  840 fps= 20 q=27.0 size=    6140kB time=00:00:55.10 bitrate= 912.7kbits/s dup=1 drop=0 speed=1.29x    
frame=  849 fps= 20 q=27.0 size=    6219kB time=00:00:55.68 bitrate= 915.0kbits/s dup=1 drop=0 speed=1.28x    
frame=  860 fps= 20 q=27.0 size=    6270kB time=00:00:56.44 bitrate= 909.9kbits/s dup=1 drop=0 speed=1.29x    
frame=  870 fps= 20 q=27.0 size=    6324kB time=00:00:57.08 bitrate= 907.4kbits/s dup=1 drop=0 speed=1.29x    
frame=  880 fps= 20 q=27.0 size=    6379kB time=00:00:57.79 bitrate= 904.3kbits/s dup=1 drop=0 speed=1.29x    
frame=  889 fps= 19 q=27.0 size=    6561kB time=00:00:58.36 bitrate= 920.8kbits/s dup=1 drop=0 speed=1.28x    
frame=  902 fps= 20 q=27.0 size=    6600kB time=00:00:59.20 bitrate= 913.2kbits/s dup=1 drop=0 speed=1.28x    
frame=  916 fps= 20 q=27.0 size=    6618kB time=00:01:00.16 bitrate= 901.1kbits/s dup=1 drop=0 speed=1.29x    
frame=  929 fps= 20 q=27.0 size=    6646kB time=00:01:01.24 bitrate= 888.9kbits/s dup=1 drop=0 speed= 1.3x    
frame=  943 fps= 20 q=27.0 size=    6663kB time=00:01:02.01 bitrate= 880.2kbits/s dup=4 drop=0 speed= 1.3x    
frame=  952 fps= 20 q=27.0 size=    6805kB time=00:01:02.65 bitrate= 889.7kbits/s dup=4 drop=0 speed= 1.3x    
frame=  966 fps= 20 q=27.0 size=    6830kB time=00:01:03.55 bitrate= 880.4kbits/s dup=4 drop=0 speed= 1.3x    
frame=  977 fps= 20 q=27.0 size=    6896kB time=00:01:04.32 bitrate= 878.3kbits/s dup=4 drop=0 speed= 1.3x    
frame=  988 fps= 20 q=27.0 size=    6959kB time=00:01:05.02 bitrate= 876.7kbits/s dup=4 drop=0 speed= 1.3x    
frame=  999 fps= 20 q=27.0 size=    7010kB time=00:01:05.79 bitrate= 872.9kbits/s dup=4 drop=0 speed=1.31x    
frame= 1009 fps= 20 q=27.0 size=    7071kB time=00:01:06.43 bitrate= 871.9kbits/s dup=4 drop=0 speed=1.31x    
frame= 1016 fps= 20 q=27.0 size=    7227kB time=00:01:06.88 bitrate= 885.2kbits/s dup=4 drop=0 speed= 1.3x    
frame= 1026 fps= 20 q=27.0 size=    7274kB time=00:01:07.58 bitrate= 881.7kbits/s dup=4 drop=0 speed= 1.3x    
frame= 1037 fps= 20 q=27.0 size=    7326kB time=00:01:08.28 bitrate= 878.9kbits/s dup=4 drop=0 speed= 1.3x    
frame= 1046 fps= 20 q=24.0 size=    7383kB time=00:01:08.86 bitrate= 878.3kbits/s dup=4 drop=0 speed= 1.3x    
frame= 1056 fps= 20 q=27.0 size=    7680kB time=00:01:09.31 bitrate= 907.7kbits/s dup=4 drop=2 speed= 1.3x    
frame= 1065 fps= 20 q=27.0 size=    7734kB time=00:01:09.95 bitrate= 905.8kbits/s dup=4 drop=11 speed=1.29x    
frame= 1071 fps= 20 q=27.0 size=    7875kB time=00:01:10.33 bitrate= 917.2kbits/s dup=4 drop=17 speed=1.29x    
frame= 1080 fps= 20 q=27.0 size=    7924kB time=00:01:10.91 bitrate= 915.4kbits/s dup=4 drop=26 speed=1.29x    
frame= 1089 fps= 20 q=27.0 size=    7987kB time=00:01:11.48 bitrate= 915.2kbits/s dup=4 drop=35 speed=1.29x    
frame= 1096 fps= 20 q=27.0 size=    8017kB time=00:01:12.00 bitrate= 912.1kbits/s dup=4 drop=42 speed=1.28x    
frame= 1105 fps= 20 q=27.0 size=    8054kB time=00:01:12.57 bitrate= 909.1kbits/s dup=4 drop=51 speed=1.28x    
frame= 1114 fps= 20 q=27.0 size=    8091kB time=00:01:13.21 bitrate= 905.3kbits/s dup=4 drop=60 speed=1.28x    
frame= 1119 fps= 19 q=27.0 size=    8242kB time=00:01:13.53 bitrate= 918.2kbits/s dup=4 drop=65 speed=1.28x    
frame= 1128 fps= 19 q=27.0 size=    8279kB time=00:01:14.11 bitrate= 915.1kbits/s dup=4 drop=74 speed=1.27x    
frame= 1138 fps= 19 q=27.0 size=    8338kB time=00:01:14.75 bitrate= 913.8kbits/s dup=4 drop=84 speed=1.27x    
frame= 1146 fps= 19 q=27.0 size=    8378kB time=00:01:15.39 bitrate= 910.3kbits/s dup=4 drop=92 speed=1.27x    
frame= 1156 fps= 19 q=27.0 size=    8414kB time=00:01:15.96 bitrate= 907.4kbits/s dup=4 drop=102 speed=1.27x    
frame= 1165 fps= 19 q=27.0 size=    8463kB time=00:01:16.60 bitrate= 905.0kbits/s dup=4 drop=111 speed=1.27x    
frame= 1174 fps= 19 q=27.0 size=    8505kB time=00:01:17.24 bitrate= 902.0kbits/s dup=4 drop=120 speed=1.27x    
frame= 1181 fps= 19 q=27.0 size=    8645kB time=00:01:17.63 bitrate= 912.3kbits/s dup=4 drop=127 speed=1.27x    
frame= 1190 fps= 19 q=27.0 size=    8697kB time=00:01:18.27 bitrate= 910.3kbits/s dup=4 drop=136 speed=1.27x    
frame= 1199 fps= 19 q=27.0 size=    8754kB time=00:01:18.84 bitrate= 909.5kbits/s dup=4 drop=145 speed=1.26x    
frame= 1209 fps= 19 q=27.0 size=    8816kB time=00:01:19.48 bitrate= 908.6kbits/s dup=4 drop=155 speed=1.26x    
frame= 1217 fps= 19 q=27.0 size=    8852kB time=00:01:20.06 bitrate= 905.7kbits/s dup=4 drop=163 speed=1.26x    
frame= 1226 fps= 19 q=27.0 size=    8898kB time=00:01:20.70 bitrate= 903.3kbits/s dup=4 drop=172 speed=1.26x    
frame= 1236 fps= 19 q=27.0 size=    8936kB time=00:01:21.28 bitrate= 900.7kbits/s dup=4 drop=182 speed=1.26x    
frame= 1241 fps= 19 q=27.0 size=    9078kB time=00:01:21.66 bitrate= 910.6kbits/s dup=4 drop=187 speed=1.26x    
frame= 1250 fps= 19 q=27.0 size=    9120kB time=00:01:22.24 bitrate= 908.4kbits/s dup=4 drop=196 speed=1.26x    
frame= 1259 fps= 19 q=27.0 size=    9160kB time=00:01:22.88 bitrate= 905.4kbits/s dup=4 drop=205 speed=1.26x    
frame= 1268 fps= 19 q=27.0 size=    9209kB time=00:01:23.45 bitrate= 903.9kbits/s dup=4 drop=214 speed=1.25x    
frame= 1277 fps= 19 q=27.0 size=    9247kB time=00:01:24.09 bitrate= 900.8kbits/s dup=4 drop=223 speed=1.25x    
frame= 1287 fps= 19 q=27.0 size=    9285kB time=00:01:24.67 bitrate= 898.3kbits/s dup=4 drop=233 speed=1.25x    
frame= 1295 fps= 19 q=27.0 size=    9319kB time=00:01:25.24 bitrate= 895.5kbits/s dup=4 drop=241 speed=1.25x    
frame= 1302 fps= 19 q=27.0 size=    9617kB time=00:01:25.76 bitrate= 918.6kbits/s dup=4 drop=248 speed=1.25x    
frame= 1311 fps= 19 q=27.0 size=    9661kB time=00:01:26.33 bitrate= 916.7kbits/s dup=4 drop=257 speed=1.25x    
frame= 1320 fps= 19 q=27.0 size=    9699kB time=00:01:26.97 bitrate= 913.5kbits/s dup=4 drop=266 speed=1.25x    
frame= 1330 fps= 19 q=27.0 size=    9734kB time=00:01:27.61 bitrate= 910.1kbits/s dup=4 drop=276 speed=1.25x    
frame= 1339 fps= 19 q=27.0 size=    9781kB time=00:01:28.19 bitrate= 908.6kbits/s dup=4 drop=285 speed=1.25x    
frame= 1348 fps= 19 q=27.0 size=    9823kB time=00:01:28.76 bitrate= 906.5kbits/s dup=4 drop=294 speed=1.25x    
frame= 1355 fps= 19 q=27.0 size=    9957kB time=00:01:29.28 bitrate= 913.7kbits/s dup=4 drop=301 speed=1.24x    
frame= 1364 fps= 19 q=27.0 size=   10004kB time=00:01:29.85 bitrate= 912.1kbits/s dup=4 drop=310 speed=1.24x    
frame= 1372 fps= 19 q=27.0 size=   10046kB time=00:01:30.43 bitrate= 910.1kbits/s dup=4 drop=318 speed=1.24x    
frame= 1381 fps= 19 q=27.0 size=   10092kB time=00:01:31.00 bitrate= 908.4kbits/s dup=4 drop=327 speed=1.24x    
frame= 1390 fps= 19 q=27.0 size=   10138kB time=00:01:31.64 bitrate= 906.2kbits/s dup=4 drop=336 speed=1.24x    
frame= 1399 fps= 19 q=27.0 size=   10196kB time=00:01:32.22 bitrate= 905.7kbits/s dup=4 drop=345 speed=1.24x    
frame= 1407 fps= 19 q=27.0 size=   10242kB time=00:01:32.73 bitrate= 904.8kbits/s dup=4 drop=353 speed=1.24x    
frame= 1416 fps= 19 q=27.0 size=   10289kB time=00:01:33.31 bitrate= 903.3kbits/s dup=4 drop=362 speed=1.24x    
frame= 1422 fps= 19 q=27.0 size=   10417kB time=00:01:33.76 bitrate= 910.1kbits/s dup=4 drop=368 speed=1.23x    
frame= 1430 fps= 19 q=27.0 size=   10472kB time=00:01:34.27 bitrate= 910.0kbits/s dup=4 drop=376 speed=1.23x    
frame= 1438 fps= 19 q=27.0 size=   10524kB time=00:01:34.91 bitrate= 908.3kbits/s dup=4 drop=382 speed=1.23x    
frame= 1448 fps= 19 q=27.0 size=   10578kB time=00:01:35.55 bitrate= 906.9kbits/s dup=4 drop=382 speed=1.23x    
frame= 1457 fps= 19 q=27.0 size=   10646kB time=00:01:36.19 bitrate= 906.7kbits/s dup=4 drop=382 speed=1.23x    
frame= 1467 fps= 19 q=27.0 size=   10699kB time=00:01:36.83 bitrate= 905.2kbits/s dup=4 drop=382 speed=1.23x    
frame= 1477 fps= 19 q=27.0 size=   10888kB time=00:01:37.47 bitrate= 915.1kbits/s dup=4 drop=382 speed=1.23x    
frame= 1490 fps= 19 q=27.0 size=   10930kB time=00:01:38.36 bitrate= 910.2kbits/s dup=4 drop=382 speed=1.23x    
frame= 1504 fps= 19 q=27.0 size=   10955kB time=00:01:39.26 bitrate= 904.1kbits/s dup=4 drop=382 speed=1.23x    
frame= 1516 fps= 19 q=27.0 size=   10992kB time=00:01:40.09 bitrate= 899.6kbits/s dup=4 drop=382 speed=1.24x    
frame= 1527 fps= 19 q=27.0 size=   11046kB time=00:01:40.80 bitrate= 897.7kbits/s dup=4 drop=382 speed=1.24x    
frame= 1540 fps= 19 q=27.0 size=   11079kB time=00:01:41.69 bitrate= 892.5kbits/s dup=4 drop=382 speed=1.24x    
frame= 1551 fps= 19 q=27.0 size=   11374kB time=00:01:42.40 bitrate= 909.9kbits/s dup=4 drop=382 speed=1.24x    
frame= 1565 fps= 19 q=27.0 size=   11404kB time=00:01:43.36 bitrate= 903.8kbits/s dup=4 drop=382 speed=1.24x    
frame= 1578 fps= 19 q=27.0 size=   11429kB time=00:01:44.25 bitrate= 898.1kbits/s dup=4 drop=382 speed=1.25x    
frame= 1587 fps= 19 q=27.0 size=   11577kB time=00:01:44.89 bitrate= 904.1kbits/s dup=4 drop=382 speed=1.25x    
frame= 1601 fps= 19 q=27.0 size=   11599kB time=00:01:45.85 bitrate= 897.6kbits/s dup=4 drop=382 speed=1.25x    
frame= 1616 fps= 19 q=27.0 size=   11622kB time=00:01:46.81 bitrate= 891.4kbits/s dup=4 drop=382 speed=1.25x    
frame= 1628 fps= 19 q=27.0 size=   11700kB time=00:01:47.64 bitrate= 890.4kbits/s dup=4 drop=382 speed=1.26x    
frame= 1639 fps= 19 q=27.0 size=   11757kB time=00:01:48.35 bitrate= 888.9kbits/s dup=4 drop=382 speed=1.26x    
frame= 1650 fps= 19 q=27.0 size=   11931kB time=00:01:49.12 bitrate= 895.7kbits/s dup=4 drop=382 speed=1.25x    
frame= 1661 fps= 19 q=27.0 size=   11978kB time=00:01:49.82 bitrate= 893.4kbits/s dup=4 drop=382 speed=1.25x    
frame= 1670 fps= 19 q=27.0 size=   12057kB time=00:01:50.40 bitrate= 894.6kbits/s dup=4 drop=382 speed=1.25x    
