ffmpeg version 3.1.7 Copyright (c) 2000-2017 the FFmpeg developers
  built with gcc 5.4.0 (GCC)
  configuration: --disable-static --prefix=/cvmfs/soft.computecanada.ca/nix/store/n7qiyrcpyixibg8mijm826nb3hdb23j1-ffmpeg-3.1.7 --enable-gpl --enable-version3 --enable-shared --disable-static --enable-pic --enable-runtime-cpudetect --enable-hardcoded-tables --enable-pthreads --disable-w32threads --disable-os2threads --enable-network --enable-pixelutils --enable-ffmpeg --disable-ffplay --enable-ffprobe --disable-ffserver --enable-avcodec --enable-avdevice --enable-avfilter --enable-avformat --enable-avresample --enable-avutil --enable-postproc --enable-swresample --enable-swscale --disable-doc --enable-bzlib --enable-gnutls --enable-fontconfig --enable-libfreetype --enable-libmp3lame --enable-iconv --enable-libtheora --enable-vaapi --enable-vdpau --enable-libvorbis --enable-libvpx --enable-lzma --disable-opengl --enable-libpulse --enable-sdl --enable-libsoxr --enable-libx264 --enable-libxvid --enable-zlib --enable-libopus --enable-libx265 --disable-debug --enable-optimizations --disable-extra-warnings --disable-stripping
  libavutil      55. 28.100 / 55. 28.100
  libavcodec     57. 48.101 / 57. 48.101
  libavformat    57. 41.100 / 57. 41.100
  libavdevice    57.  0.101 / 57.  0.101
  libavfilter     6. 47.100 /  6. 47.100
  libavresample   3.  0.  0 /  3.  0.  0
  libswscale      4.  1.100 /  4.  1.100
  libswresample   2.  1.100 /  2.  1.100
  libpostproc    54.  0.100 / 54.  0.100
Input #0, mov,mp4,m4a,3gp,3g2,mj2, from '/project/6001934/lingheng/ROM_Video_Process/ROM_raw_videos/Sep_27/Camera1_Sep_27_1300_1400_Prescribed_behavior.mp4':
  Metadata:
    major_brand     : isom
    minor_version   : 1
    compatible_brands: isom
    creation_time   : 2018-09-28 01:29:04
  Duration: 01:00:03.97, start: 0.000000, bitrate: 561 kb/s
    Stream #0:0(und): Video: h264 (Main) (avc1 / 0x31637661), yuvj420p(pc, bt709), 1920x1080 [SAR 1:1 DAR 16:9], 542 kb/s, 18.43 fps, 30 tbr, 16k tbn, 30 tbc (default)
    Metadata:
      handler_name    : VideoHandler
    Stream #0:1(und): Audio: aac (LC) (mp4a / 0x6134706D), 16000 Hz, mono, fltp, 16 kb/s (default)
    Metadata:
      creation_time   : 2018-09-28 01:29:08
      handler_name    : GPAC ISO Audio Handler
    Stream #0:2(eng): Subtitle: mov_text (tx3g / 0x67337874), 800x60, 0 kb/s (default)
    Metadata:
      rotate          : 0
      creation_time   : 2018-09-28 01:29:08
      handler_name    : 427031b75cbb4d8ba90ec5a189efe366.subtitles.ttxt:hdlr=sbtl:lang=en:group=2:layer=1 - Imported with GPAC 0.5.0-rev4065
Input #1, png_pipe, from '/project/6001934/lingheng/ROM_Video_Process/Openpose_Video_Analysis_Code/camera1_transparent_img.png':
  Duration: N/A, bitrate: N/A
    Stream #1:0: Video: png, rgba(pc), 1920x1080, 25 tbr, 25 tbn, 25 tbc
[swscaler @ 0x2636ba0] deprecated pixel format used, make sure you did set range correctly
[avi @ 0x2499040] Using AVStream.codec to pass codec parameters to muxers is deprecated, use AVStream.codecpar instead.
    Last message repeated 1 times
Output #0, avi, to '/project/6001934/lingheng/ROM_Video_Process/ROM_raw_videos_with_interst_area_ffmpeg_new2/Sep_27/Camera1_Sep_27_1300_1400_Prescribed_behavior_ffmpeg_with_interest_area.avi':
  Metadata:
    major_brand     : isom
    minor_version   : 1
    compatible_brands: isom
    ISFT            : Lavf57.41.100
    Stream #0:0: Video: mpeg4 (FMP4 / 0x34504D46), yuv420p, 1920x1080 [SAR 1:1 DAR 16:9], q=2-31, 200 kb/s, 15 fps, 15 tbn, 15 tbc (default)
    Metadata:
      encoder         : Lavc57.48.101 mpeg4
    Side data:
      cpb: bitrate max/min/avg: 0/0/200000 buffer size: 0 vbv_delay: -1
    Stream #0:1(und): Audio: aac (LC) ([255][0][0][0] / 0x00FF), 16000 Hz, mono, 16 kb/s (default)
    Metadata:
      creation_time   : 2018-09-28 01:29:08
      handler_name    : GPAC ISO Audio Handler
Stream mapping:
  Stream #0:0 (h264) -> overlay:main
  Stream #1:0 (png) -> overlay:overlay
  overlay -> Stream #0:0 (mpeg4)
  Stream #0:1 -> #0:1 (copy)
Press [q] to stop, [?] for help
frame=   14 fps=0.0 q=23.7 size=     285kB time=00:00:01.00 bitrate=2336.5kbits/s speed=1.96x    
frame=   32 fps= 32 q=31.0 size=     409kB time=00:00:02.20 bitrate=1522.8kbits/s speed=2.18x    
frame=   51 fps= 33 q=31.0 size=     486kB time=00:00:03.46 bitrate=1147.5kbits/s speed=2.28x    
frame=   68 fps= 33 q=31.0 size=     549kB time=00:00:04.60 bitrate= 978.3kbits/s dup=0 drop=4 speed=2.25x    
frame=   80 fps= 31 q=31.0 size=     605kB time=00:00:05.40 bitrate= 917.2kbits/s dup=0 drop=16 speed=2.11x    
frame=   91 fps= 30 q=31.0 size=     673kB time=00:00:06.13 bitrate= 898.9kbits/s dup=0 drop=27 speed=   2x    
frame=  102 fps= 28 q=31.0 size=     728kB time=00:00:06.86 bitrate= 869.1kbits/s dup=0 drop=38 speed=1.92x    
frame=  116 fps= 28 q=31.0 size=     796kB time=00:00:07.80 bitrate= 835.9kbits/s dup=0 drop=52 speed= 1.9x    
frame=  130 fps= 28 q=31.0 size=     864kB time=00:00:08.73 bitrate= 810.6kbits/s dup=0 drop=66 speed=1.89x    
frame=  143 fps= 28 q=31.0 size=     931kB time=00:00:09.60 bitrate= 794.2kbits/s dup=0 drop=79 speed=1.87x    
frame=  156 fps= 28 q=31.0 size=     997kB time=00:00:10.46 bitrate= 780.2kbits/s dup=0 drop=92 speed=1.86x    
frame=  167 fps= 27 q=31.0 size=    1055kB time=00:00:11.20 bitrate= 771.8kbits/s dup=0 drop=103 speed=1.82x    
frame=  178 fps= 27 q=31.0 size=    1115kB time=00:00:11.93 bitrate= 765.6kbits/s dup=0 drop=114 speed=1.79x    
frame=  189 fps= 26 q=31.0 size=    1175kB time=00:00:12.66 bitrate= 760.2kbits/s dup=0 drop=125 speed=1.77x    
frame=  201 fps= 26 q=31.0 size=    1238kB time=00:00:13.46 bitrate= 752.9kbits/s dup=0 drop=137 speed=1.76x    
frame=  213 fps= 26 q=31.0 size=    1300kB time=00:00:14.26 bitrate= 746.7kbits/s dup=0 drop=149 speed=1.74x    
frame=  224 fps= 26 q=31.0 size=    1362kB time=00:00:15.00 bitrate= 744.0kbits/s dup=0 drop=160 speed=1.73x    
frame=  234 fps= 25 q=31.0 size=    1419kB time=00:00:15.66 bitrate= 742.2kbits/s dup=0 drop=170 speed= 1.7x    
frame=  244 fps= 25 q=31.0 size=    1437kB time=00:00:16.33 bitrate= 720.7kbits/s dup=0 drop=180 speed=1.68x    
frame=  255 fps= 25 q=31.0 size=    1498kB time=00:00:17.06 bitrate= 719.1kbits/s dup=0 drop=191 speed=1.67x    
frame=  267 fps= 25 q=31.0 size=    1564kB time=00:00:17.86 bitrate= 717.1kbits/s dup=0 drop=203 speed=1.66x    
frame=  279 fps= 25 q=31.0 size=    1632kB time=00:00:18.66 bitrate= 716.3kbits/s dup=0 drop=215 speed=1.66x    
frame=  292 fps= 25 q=31.0 size=    1702kB time=00:00:19.53 bitrate= 713.6kbits/s dup=0 drop=228 speed=1.66x    
frame=  306 fps= 25 q=31.0 size=    1813kB time=00:00:20.46 bitrate= 725.5kbits/s dup=0 drop=242 speed=1.67x    
frame=  328 fps= 26 q=31.0 size=    1943kB time=00:00:21.93 bitrate= 725.8kbits/s dup=0 drop=245 speed=1.72x    
frame=  352 fps= 26 q=31.0 size=    2072kB time=00:00:23.53 bitrate= 721.2kbits/s dup=0 drop=245 speed=1.77x    
frame=  375 fps= 27 q=31.0 size=    2158kB time=00:00:25.06 bitrate= 705.3kbits/s dup=0 drop=245 speed=1.82x    
frame=  393 fps= 27 q=31.0 size=    2276kB time=00:00:26.26 bitrate= 709.9kbits/s dup=0 drop=245 speed=1.84x    
frame=  411 fps= 28 q=31.0 size=    2350kB time=00:00:27.46 bitrate= 700.9kbits/s dup=0 drop=245 speed=1.85x    
frame=  430 fps= 28 q=31.0 size=    2473kB time=00:00:28.73 bitrate= 705.0kbits/s dup=0 drop=245 speed=1.88x    
frame=  450 fps= 28 q=31.0 size=    2601kB time=00:00:30.06 bitrate= 708.6kbits/s dup=0 drop=245 speed= 1.9x    
frame=  470 fps= 29 q=31.0 size=    2693kB time=00:00:31.40 bitrate= 702.5kbits/s dup=0 drop=245 speed=1.92x    
frame=  489 fps= 29 q=31.0 size=    2812kB time=00:00:32.66 bitrate= 705.3kbits/s dup=0 drop=245 speed=1.94x    
frame=  510 fps= 29 q=31.0 size=    2936kB time=00:00:34.06 bitrate= 706.1kbits/s dup=0 drop=245 speed=1.96x    
frame=  533 fps= 30 q=31.0 size=    3060kB time=00:00:35.60 bitrate= 704.1kbits/s dup=0 drop=245 speed=1.99x    
frame=  558 fps= 30 q=31.0 size=    3184kB time=00:00:37.26 bitrate= 699.9kbits/s dup=0 drop=245 speed=2.03x    
frame=  580 fps= 31 q=31.0 size=    3302kB time=00:00:38.73 bitrate= 698.4kbits/s dup=0 drop=245 speed=2.05x    
frame=  604 fps= 31 q=31.0 size=    3423kB time=00:00:40.33 bitrate= 695.2kbits/s dup=0 drop=245 speed=2.08x    
frame=  624 fps= 31 q=31.0 size=    3496kB time=00:00:41.66 bitrate= 687.4kbits/s dup=0 drop=245 speed=2.09x    
frame=  648 fps= 32 q=31.0 size=    3618kB time=00:00:43.26 bitrate= 685.0kbits/s dup=0 drop=245 speed=2.12x    
frame=  670 fps= 32 q=31.0 size=    3736kB time=00:00:44.73 bitrate= 684.1kbits/s dup=0 drop=245 speed=2.13x    
frame=  693 fps= 32 q=31.0 size=    3856kB time=00:00:46.26 bitrate= 682.7kbits/s dup=0 drop=245 speed=2.15x    
frame=  717 fps= 33 q=31.0 size=    3975kB time=00:00:47.86 bitrate= 680.3kbits/s dup=0 drop=245 speed=2.18x    
frame=  739 fps= 33 q=31.0 size=    4096kB time=00:00:49.33 bitrate= 680.1kbits/s dup=0 drop=245 speed=2.19x    
frame=  763 fps= 33 q=31.0 size=    4224kB time=00:00:50.93 bitrate= 679.5kbits/s dup=0 drop=245 speed=2.22x    
frame=  786 fps= 33 q=31.0 size=    4351kB time=00:00:52.46 bitrate= 679.4kbits/s dup=0 drop=245 speed=2.23x    
frame=  811 fps= 34 q=31.0 size=    4485kB time=00:00:54.13 bitrate= 678.8kbits/s dup=0 drop=245 speed=2.25x    
frame=  835 fps= 34 q=31.0 size=    4626kB time=00:00:55.93 bitrate= 677.6kbits/s dup=0 drop=245 speed=2.28x    
frame=  859 fps= 34 q=31.0 size=    4751kB time=00:00:57.53 bitrate= 676.5kbits/s dup=0 drop=245 speed= 2.3x    
frame=  881 fps= 34 q=31.0 size=    4869kB time=00:00:59.00 bitrate= 676.1kbits/s dup=0 drop=245 speed=2.31x    
frame=  905 fps= 35 q=31.0 size=    4992kB time=00:01:00.60 bitrate= 674.8kbits/s dup=0 drop=245 speed=2.33x    
frame=  929 fps= 35 q=31.0 size=    5122kB time=00:01:02.20 bitrate= 674.6kbits/s dup=0 drop=245 speed=2.34x    
frame=  953 fps= 35 q=31.0 size=    5248kB time=00:01:03.80 bitrate= 673.8kbits/s dup=0 drop=245 speed=2.36x    
frame=  975 fps= 35 q=31.0 size=    5322kB time=00:01:05.26 bitrate= 668.0kbits/s dup=0 drop=250 speed=2.37x    
frame=  988 fps= 35 q=31.0 size=    5388kB time=00:01:06.13 bitrate= 667.4kbits/s dup=0 drop=263 speed=2.35x    
frame= 1001 fps= 35 q=31.0 size=    5490kB time=00:01:07.00 bitrate= 671.3kbits/s dup=0 drop=276 speed=2.34x    
frame= 1013 fps= 35 q=31.0 size=    5552kB time=00:01:07.80 bitrate= 670.8kbits/s dup=0 drop=288 speed=2.33x    
frame= 1027 fps= 35 q=31.0 size=    5618kB time=00:01:08.73 bitrate= 669.6kbits/s dup=0 drop=302 speed=2.32x    
frame= 1047 fps= 35 q=31.0 size=    5737kB time=00:01:10.06 bitrate= 670.8kbits/s dup=0 drop=306 speed=2.32x    
frame= 1072 fps= 35 q=31.0 size=    5858kB time=00:01:11.73 bitrate= 669.0kbits/s dup=0 drop=306 speed=2.34x    
frame= 1094 fps= 35 q=31.0 size=    5973kB time=00:01:13.20 bitrate= 668.4kbits/s dup=0 drop=306 speed=2.35x    
frame= 1119 fps= 35 q=31.0 size=    6098kB time=00:01:14.86 bitrate= 667.3kbits/s dup=0 drop=306 speed=2.36x    
frame= 1144 fps= 36 q=31.0 size=    6222kB time=00:01:16.53 bitrate= 666.0kbits/s dup=0 drop=306 speed=2.38x    
frame= 1169 fps= 36 q=31.0 size=    6347kB time=00:01:18.20 bitrate= 664.9kbits/s dup=0 drop=306 speed=2.39x    
frame= 1194 fps= 36 q=31.0 size=    6471kB time=00:01:19.86 bitrate= 663.7kbits/s dup=0 drop=306 speed= 2.4x    
frame= 1218 fps= 36 q=31.0 size=    6593kB time=00:01:21.46 bitrate= 663.0kbits/s dup=0 drop=306 speed=2.42x    
frame= 1241 fps= 36 q=31.0 size=    6714kB time=00:01:23.00 bitrate= 662.7kbits/s dup=0 drop=306 speed=2.42x    
frame= 1265 fps= 36 q=31.0 size=    6838kB time=00:01:24.60 bitrate= 662.1kbits/s dup=0 drop=306 speed=2.44x    
frame= 1289 fps= 37 q=31.0 size=    6967kB time=00:01:26.20 bitrate= 662.1kbits/s dup=0 drop=306 speed=2.45x    
frame= 1311 fps= 37 q=31.0 size=    7091kB time=00:01:27.66 bitrate= 662.6kbits/s dup=0 drop=306 speed=2.45x    
frame= 1335 fps= 37 q=31.0 size=    7218kB time=00:01:29.26 bitrate= 662.4kbits/s dup=0 drop=306 speed=2.46x    
frame= 1360 fps= 37 q=31.0 size=    7343kB time=00:01:30.93 bitrate= 661.5kbits/s dup=0 drop=306 speed=2.47x    
frame= 1384 fps= 37 q=31.0 size=    7464kB time=00:01:32.53 bitrate= 660.8kbits/s dup=0 drop=306 speed=2.48x    
frame= 1405 fps= 37 q=24.8 size=    7541kB time=00:01:33.93 bitrate= 657.7kbits/s dup=0 drop=306 speed=2.49x    
frame= 1429 fps= 37 q=24.8 size=    7662kB time=00:01:35.53 bitrate= 657.0kbits/s dup=0 drop=306 speed= 2.5x    
frame= 1453 fps= 37 q=24.8 size=    7781kB time=00:01:37.13 bitrate= 656.2kbits/s dup=0 drop=306 speed= 2.5x    
frame= 1477 fps= 38 q=24.8 size=    7899kB time=00:01:38.73 bitrate= 655.4kbits/s dup=0 drop=306 speed=2.51x    
frame= 1501 fps= 38 q=24.8 size=    8017kB time=00:01:40.33 bitrate= 654.6kbits/s dup=0 drop=306 speed=2.52x    
frame= 1526 fps= 38 q=31.0 size=    8180kB time=00:01:42.00 bitrate= 657.0kbits/s dup=0 drop=306 speed=2.53x    
frame= 1551 fps= 38 q=31.0 size=    8301kB time=00:01:43.66 bitrate= 656.0kbits/s dup=0 drop=306 speed=2.54x    
frame= 1576 fps= 38 q=31.0 size=    8420kB time=00:01:45.33 bitrate= 654.8kbits/s dup=0 drop=306 speed=2.55x    
frame= 1601 fps= 38 q=31.0 size=    8536kB time=00:01:47.00 bitrate= 653.6kbits/s dup=0 drop=306 speed=2.56x    
frame= 1626 fps= 38 q=31.0 size=    8654kB time=00:01:48.66 bitrate= 652.4kbits/s dup=0 drop=306 speed=2.57x    
frame= 1651 fps= 39 q=31.0 size=    8775kB time=00:01:50.33 bitrate= 651.5kbits/s dup=0 drop=306 speed=2.58x    
frame= 1676 fps= 39 q=31.0 size=    8895kB time=00:01:52.00 bitrate= 650.6kbits/s dup=0 drop=306 speed=2.58x    
frame= 1698 fps= 39 q=31.0 size=    9004kB time=00:01:53.46 bitrate= 650.1kbits/s dup=0 drop=309 speed=2.59x    
frame= 1709 fps= 38 q=31.0 size=    9064kB time=00:01:54.20 bitrate= 650.2kbits/s dup=0 drop=320 speed=2.57x    
frame= 1721 fps= 38 q=31.0 size=    9124kB time=00:01:55.00 bitrate= 649.9kbits/s dup=0 drop=332 speed=2.56x    
frame= 1735 fps= 38 q=31.0 size=    9190kB time=00:01:55.93 bitrate= 649.4kbits/s dup=0 drop=346 speed=2.55x    
frame= 1748 fps= 38 q=31.0 size=    9253kB time=00:01:56.80 bitrate= 649.0kbits/s dup=0 drop=359 speed=2.54x    
frame= 1765 fps= 38 q=24.8 size=    9325kB time=00:01:57.93 bitrate= 647.7kbits/s dup=0 drop=365 speed=2.54x    
frame= 1789 fps= 38 q=24.8 size=    9446kB time=00:01:59.53 bitrate= 647.4kbits/s dup=0 drop=365 speed=2.55x    
frame= 1813 fps= 38 q=24.8 size=    9565kB time=00:02:01.13 bitrate= 646.9kbits/s dup=0 drop=365 speed=2.55x    
frame= 1838 fps= 38 q=31.0 size=    9686kB time=00:02:02.80 bitrate= 646.2kbits/s dup=0 drop=365 speed=2.56x    
frame= 1863 fps= 38 q=31.0 size=    9807kB time=00:02:04.46 bitrate= 645.5kbits/s dup=0 drop=365 speed=2.57x    
frame= 1888 fps= 39 q=31.0 size=    9968kB time=00:02:06.13 bitrate= 647.4kbits/s dup=0 drop=365 speed=2.57x    
frame= 1911 fps= 39 q=31.0 size=   10049kB time=00:02:07.66 bitrate= 644.8kbits/s dup=0 drop=365 speed=2.58x    
frame= 1936 fps= 39 q=31.0 size=   10212kB time=00:02:09.33 bitrate= 646.9kbits/s dup=0 drop=365 speed=2.58x    
frame= 1960 fps= 39 q=31.0 size=   10335kB time=00:02:10.93 bitrate= 646.6kbits/s dup=0 drop=365 speed=2.59x    
frame= 1984 fps= 39 q=31.0 size=   10457kB time=00:02:12.53 bitrate= 646.4kbits/s dup=0 drop=365 speed= 2.6x    
frame= 2008 fps= 39 q=31.0 size=   10578kB time=00:02:14.13 bitrate= 646.0kbits/s dup=0 drop=365 speed= 2.6x    
frame= 2032 fps= 39 q=31.0 size=   10697kB time=00:02:15.73 bitrate= 645.6kbits/s dup=0 drop=365 speed=2.61x    
frame= 2057 fps= 39 q=31.0 size=   10820kB time=00:02:17.40 bitrate= 645.1kbits/s dup=0 drop=365 speed=2.61x    
frame= 2082 fps= 39 q=31.0 size=   10942kB time=00:02:19.06 bitrate= 644.6kbits/s dup=0 drop=365 speed=2.62x    
frame= 2104 fps= 39 q=31.0 size=   11054kB time=00:02:20.53 bitrate= 644.4kbits/s dup=0 drop=365 speed=2.62x    
frame= 2129 fps= 39 q=31.0 size=   11177kB time=00:02:22.20 bitrate= 643.9kbits/s dup=0 drop=365 speed=2.63x    
frame= 2154 fps= 39 q=31.0 size=   11298kB time=00:02:23.86 bitrate= 643.3kbits/s dup=0 drop=365 speed=2.63x    
frame= 2179 fps= 40 q=31.0 size=   11420kB time=00:02:25.53 bitrate= 642.8kbits/s dup=0 drop=365 speed=2.64x    
frame= 2204 fps= 40 q=31.0 size=   11542kB time=00:02:27.20 bitrate= 642.4kbits/s dup=0 drop=365 speed=2.65x    
frame= 2229 fps= 40 q=31.0 size=   11663kB time=00:02:28.86 bitrate= 641.8kbits/s dup=0 drop=365 speed=2.65x    
frame= 2253 fps= 40 q=31.0 size=   11787kB time=00:02:30.46 bitrate= 641.7kbits/s dup=0 drop=365 speed=2.66x    
frame= 2276 fps= 40 q=31.0 size=   11909kB time=00:02:32.00 bitrate= 641.8kbits/s dup=0 drop=365 speed=2.66x    
frame= 2296 fps= 40 q=31.0 size=   12023kB time=00:02:33.33 bitrate= 642.3kbits/s dup=0 drop=365 speed=2.66x    
frame= 2319 fps= 40 q=31.0 size=   12105kB time=00:02:34.86 bitrate= 640.3kbits/s dup=0 drop=365 speed=2.66x    
frame= 2341 fps= 40 q=24.8 size=   12224kB time=00:02:36.33 bitrate= 640.5kbits/s dup=0 drop=365 speed=2.66x    
frame= 2365 fps= 40 q=24.8 size=   12348kB time=00:02:37.93 bitrate= 640.5kbits/s dup=0 drop=365 speed=2.67x    
frame= 2389 fps= 40 q=24.8 size=   12474kB time=00:02:39.53 bitrate= 640.5kbits/s dup=0 drop=365 speed=2.67x    
frame= 2413 fps= 40 q=24.8 size=   12606kB time=00:02:41.13 bitrate= 640.9kbits/s dup=0 drop=365 speed=2.67x    
frame= 2429 fps= 40 q=31.0 size=   12718kB time=00:02:42.20 bitrate= 642.3kbits/s dup=0 drop=373 speed=2.67x    
frame= 2443 fps= 40 q=31.0 size=   12781kB time=00:02:43.13 bitrate= 641.8kbits/s dup=0 drop=387 speed=2.66x    
frame= 2456 fps= 40 q=31.0 size=   12852kB time=00:02:44.00 bitrate= 642.0kbits/s dup=0 drop=400 speed=2.66x    
frame= 2470 fps= 40 q=31.0 size=   12923kB time=00:02:44.93 bitrate= 641.9kbits/s dup=0 drop=414 speed=2.65x    
frame= 2483 fps= 40 q=31.0 size=   12993kB time=00:02:45.80 bitrate= 642.0kbits/s dup=0 drop=427 speed=2.64x    
frame= 2498 fps= 39 q=31.0 size=   13060kB time=00:02:46.80 bitrate= 641.4kbits/s dup=0 drop=442 speed=2.63x    
frame= 2512 fps= 39 q=31.0 size=   13126kB time=00:02:47.73 bitrate= 641.1kbits/s dup=0 drop=456 speed=2.63x    
frame= 2526 fps= 39 q=31.0 size=   13238kB time=00:02:48.66 bitrate= 643.0kbits/s dup=0 drop=470 speed=2.62x    
frame= 2541 fps= 39 q=31.0 size=   13310kB time=00:02:49.66 bitrate= 642.6kbits/s dup=0 drop=483 speed=2.62x    
frame= 2560 fps= 39 q=31.0 size=   13384kB time=00:02:50.93 bitrate= 641.4kbits/s dup=0 drop=486 speed=2.62x    
frame= 2573 fps= 39 q=31.0 size=   13487kB time=00:02:51.80 bitrate= 643.1kbits/s dup=0 drop=499 speed=2.61x    
frame= 2586 fps= 39 q=31.0 size=   13554kB time=00:02:52.66 bitrate= 643.0kbits/s dup=0 drop=512 speed= 2.6x    
frame= 2599 fps= 39 q=31.0 size=   13617kB time=00:02:53.53 bitrate= 642.8kbits/s dup=0 drop=525 speed= 2.6x    
frame= 2613 fps= 39 q=31.0 size=   13683kB time=00:02:54.46 bitrate= 642.5kbits/s dup=0 drop=539 speed=2.59x    
frame= 2626 fps= 39 q=31.0 size=   13748kB time=00:02:55.33 bitrate= 642.3kbits/s dup=0 drop=552 speed=2.58x    
frame= 2639 fps= 39 q=31.0 size=   13810kB time=00:02:56.20 bitrate= 642.0kbits/s dup=0 drop=565 speed=2.58x    
frame= 2651 fps= 38 q=31.0 size=   13873kB time=00:02:57.00 bitrate= 642.1kbits/s dup=0 drop=577 speed=2.57x    
frame= 2668 fps= 38 q=31.0 size=   13987kB time=00:02:58.13 bitrate= 643.2kbits/s dup=0 drop=581 speed=2.57x    
frame= 2690 fps= 38 q=31.0 size=   14065kB time=00:02:59.60 bitrate= 641.5kbits/s dup=0 drop=581 speed=2.57x    
frame= 2714 fps= 39 q=31.0 size=   14183kB time=00:03:01.20 bitrate= 641.2kbits/s dup=0 drop=583 speed=2.57x    
frame= 2727 fps= 38 q=31.0 size=   14245kB time=00:03:02.06 bitrate= 640.9kbits/s dup=0 drop=596 speed=2.57x    
frame= 2740 fps= 38 q=31.0 size=   14310kB time=00:03:02.93 bitrate= 640.8kbits/s dup=0 drop=609 speed=2.56x    
frame= 2752 fps= 38 q=31.0 size=   14368kB time=00:03:03.73 bitrate= 640.6kbits/s dup=0 drop=621 speed=2.55x    
frame= 2764 fps= 38 q=31.0 size=   14469kB time=00:03:04.53 bitrate= 642.3kbits/s dup=0 drop=633 speed=2.55x    
frame= 2779 fps= 38 q=31.0 size=   14531kB time=00:03:05.53 bitrate= 641.6kbits/s dup=0 drop=648 speed=2.54x    
frame= 2791 fps= 38 q=31.0 size=   14595kB time=00:03:06.33 bitrate= 641.6kbits/s dup=0 drop=660 speed=2.54x    
frame= 2812 fps= 38 q=31.0 size=   14706kB time=00:03:07.73 bitrate= 641.7kbits/s dup=0 drop=663 speed=2.54x    
frame= 2827 fps= 38 q=31.0 size=   14771kB time=00:03:08.73 bitrate= 641.1kbits/s dup=0 drop=678 speed=2.53x    
frame= 2840 fps= 38 q=31.0 size=   14838kB time=00:03:09.60 bitrate= 641.1kbits/s dup=0 drop=691 speed=2.53x    
frame= 2855 fps= 38 q=31.0 size=   14901kB time=00:03:10.60 bitrate= 640.4kbits/s dup=0 drop=706 speed=2.52x    
frame= 2866 fps= 38 q=31.0 size=   14963kB time=00:03:11.33 bitrate= 640.7kbits/s dup=0 drop=717 speed=2.52x    
frame= 2881 fps= 38 q=24.8 size=   15029kB time=00:03:12.33 bitrate= 640.1kbits/s dup=0 drop=732 speed=2.51x    
frame= 2895 fps= 38 q=31.0 size=   15093kB time=00:03:13.26 bitrate= 639.8kbits/s dup=0 drop=746 speed=2.51x    
frame= 2908 fps= 37 q=31.0 size=   15200kB time=00:03:14.13 bitrate= 641.4kbits/s dup=0 drop=759 speed= 2.5x    
frame= 2923 fps= 37 q=31.0 size=   15265kB time=00:03:15.13 bitrate= 640.8kbits/s dup=0 drop=774 speed= 2.5x    
frame= 2935 fps= 37 q=31.0 size=   15328kB time=00:03:15.93 bitrate= 640.9kbits/s dup=0 drop=786 speed=2.49x    
