ffmpeg version 3.1.7 Copyright (c) 2000-2017 the FFmpeg developers
  built with gcc 5.4.0 (GCC)
  configuration: --disable-static --prefix=/cvmfs/soft.computecanada.ca/nix/store/n7qiyrcpyixibg8mijm826nb3hdb23j1-ffmpeg-3.1.7 --enable-gpl --enable-version3 --enable-shared --disable-static --enable-pic --enable-runtime-cpudetect --enable-hardcoded-tables --enable-pthreads --disable-w32threads --disable-os2threads --enable-network --enable-pixelutils --enable-ffmpeg --disable-ffplay --enable-ffprobe --disable-ffserver --enable-avcodec --enable-avdevice --enable-avfilter --enable-avformat --enable-avresample --enable-avutil --enable-postproc --enable-swresample --enable-swscale --disable-doc --enable-bzlib --enable-gnutls --enable-fontconfig --enable-libfreetype --enable-libmp3lame --enable-iconv --enable-libtheora --enable-vaapi --enable-vdpau --enable-libvorbis --enable-libvpx --enable-lzma --disable-opengl --enable-libpulse --enable-sdl --enable-libsoxr --enable-libx264 --enable-libxvid --enable-zlib --enable-libopus --enable-libx265 --disable-debug --enable-optimizations --disable-extra-warnings --disable-stripping
  libavutil      55. 28.100 / 55. 28.100
  libavcodec     57. 48.101 / 57. 48.101
  libavformat    57. 41.100 / 57. 41.100
  libavdevice    57.  0.101 / 57.  0.101
  libavfilter     6. 47.100 /  6. 47.100
  libavresample   3.  0.  0 /  3.  0.  0
  libswscale      4.  1.100 /  4.  1.100
  libswresample   2.  1.100 /  2.  1.100
  libpostproc    54.  0.100 / 54.  0.100
Input #0, mov,mp4,m4a,3gp,3g2,mj2, from '/project/6001934/lingheng/ROM_Video_Process/ROM_raw_videos/Oct_02/Camera2_Oct_02_1300_1400_Prescribed_behavior.mp4':
  Metadata:
    major_brand     : isom
    minor_version   : 1
    compatible_brands: isom
    creation_time   : 2018-10-03 00:24:43
  Duration: 01:00:02.37, start: 0.000000, bitrate: 651 kb/s
    Stream #0:0(und): Video: h264 (Main) (avc1 / 0x31637661), yuvj420p(pc, bt709), 1920x1080 [SAR 1:1 DAR 16:9], 632 kb/s, 22.14 fps, 30 tbr, 16k tbn, 30 tbc (default)
    Metadata:
      handler_name    : VideoHandler
    Stream #0:1(und): Audio: aac (LC) (mp4a / 0x6134706D), 16000 Hz, mono, fltp, 16 kb/s (default)
    Metadata:
      creation_time   : 2018-10-03 00:24:48
      handler_name    : GPAC ISO Audio Handler
    Stream #0:2(eng): Subtitle: mov_text (tx3g / 0x67337874), 800x60, 0 kb/s (default)
    Metadata:
      rotate          : 0
      creation_time   : 2018-10-03 00:24:48
      handler_name    : 7734ba2dc6d04e17a56a436b9add20dc.subtitles.ttxt:hdlr=sbtl:lang=en:group=2:layer=1 - Imported with GPAC 0.5.0-rev4065
Input #1, png_pipe, from '/project/6001934/lingheng/ROM_Video_Process/Openpose_Video_Analysis_Code/camera2_transparent_img.png':
  Duration: N/A, bitrate: N/A
    Stream #1:0: Video: png, rgba(pc), 1920x1080, 25 tbr, 25 tbn, 25 tbc
[swscaler @ 0x9e0be0] deprecated pixel format used, make sure you did set range correctly
[libx264 @ 0x983de0] using SAR=1/1
[libx264 @ 0x983de0] using cpu capabilities: MMX2 SSE2Fast SSSE3 SSE4.2 AVX FMA3 AVX2 LZCNT BMI2
[libx264 @ 0x983de0] profile High, level 4.0
[libx264 @ 0x983de0] 264 - core 148 - H.264/MPEG-4 AVC codec - Copyleft 2003-2016 - http://www.videolan.org/x264.html - options: cabac=1 ref=3 deblock=1:0:0 analyse=0x3:0x113 me=hex subme=7 psy=1 psy_rd=1.00:0.00 mixed_ref=1 me_range=16 chroma_me=1 trellis=1 8x8dct=1 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=-2 threads=3 lookahead_threads=1 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=15 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=crf mbtree=1 crf=23.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
[mp4 @ 0x7bf3e0] Using AVStream.codec to pass codec parameters to muxers is deprecated, use AVStream.codecpar instead.
    Last message repeated 1 times
Output #0, mp4, to '/project/6001934/lingheng/ROM_Video_Process/ROM_raw_videos_with_interst_area_ffmpeg_new3/Oct_02/Camera2_Oct_02_1300_1400_Prescribed_behavior_ffmpeg_with_interest_area.mp4':
  Metadata:
    major_brand     : isom
    minor_version   : 1
    compatible_brands: isom
    encoder         : Lavf57.41.100
    Stream #0:0: Video: h264 (libx264) ([33][0][0][0] / 0x0021), yuv420p, 1920x1080 [SAR 1:1 DAR 16:9], q=-1--1, 15 fps, 15360 tbn, 15 tbc (default)
    Metadata:
      encoder         : Lavc57.48.101 libx264
    Side data:
      cpb: bitrate max/min/avg: 0/0/0 buffer size: 0 vbv_delay: -1
    Stream #0:1(und): Audio: aac (LC) ([64][0][0][0] / 0x0040), 16000 Hz, mono, 16 kb/s (default)
    Metadata:
      creation_time   : 2018-10-03 00:24:48
      handler_name    : GPAC ISO Audio Handler
Stream mapping:
  Stream #0:0 (h264) -> overlay:main
  Stream #1:0 (png) -> overlay:overlay
  overlay -> Stream #0:0 (libx264)
  Stream #0:1 -> #0:1 (copy)
Press [q] to stop, [?] for help
frame=   20 fps=0.0 q=0.0 size=       0kB time=00:00:00.96 bitrate=   0.4kbits/s dup=1 drop=1 speed=1.89x    
frame=   35 fps= 34 q=0.0 size=       0kB time=00:00:01.85 bitrate=   0.2kbits/s dup=1 drop=16 speed=1.82x    
frame=   46 fps= 29 q=0.0 size=       0kB time=00:00:02.30 bitrate=   0.2kbits/s dup=1 drop=27 speed=1.46x    
frame=   54 fps= 26 q=27.0 size=     231kB time=00:00:02.75 bitrate= 687.5kbits/s dup=1 drop=35 speed=1.31x    
frame=   63 fps= 24 q=27.0 size=     273kB time=00:00:03.20 bitrate= 698.1kbits/s dup=1 drop=44 speed=1.23x    
frame=   73 fps= 23 q=27.0 size=     301kB time=00:00:04.09 bitrate= 602.6kbits/s dup=1 drop=54 speed=1.32x    
frame=   82 fps= 23 q=27.0 size=     335kB time=00:00:04.54 bitrate= 603.6kbits/s dup=1 drop=61 speed=1.26x    
frame=   89 fps= 21 q=27.0 size=     471kB time=00:00:05.12 bitrate= 753.1kbits/s dup=1 drop=61 speed=1.22x    
frame=   99 fps= 21 q=27.0 size=     543kB time=00:00:05.88 bitrate= 754.9kbits/s dup=1 drop=61 speed=1.25x    
frame=  108 fps= 21 q=27.0 size=     588kB time=00:00:06.33 bitrate= 760.6kbits/s dup=1 drop=61 speed=1.21x    
frame=  117 fps= 19 q=27.0 size=     765kB time=00:00:06.97 bitrate= 898.2kbits/s dup=1 drop=61 speed=1.14x    
frame=  129 fps= 19 q=27.0 size=     863kB time=00:00:07.68 bitrate= 920.4kbits/s dup=1 drop=61 speed=1.16x    
frame=  137 fps= 19 q=27.0 size=     918kB time=00:00:08.32 bitrate= 904.3kbits/s dup=1 drop=61 speed=1.17x    
frame=  148 fps= 19 q=27.0 size=     982kB time=00:00:09.02 bitrate= 891.6kbits/s dup=1 drop=61 speed=1.18x    
frame=  157 fps= 19 q=27.0 size=    1037kB time=00:00:09.60 bitrate= 884.5kbits/s dup=1 drop=61 speed=1.18x    
frame=  167 fps= 19 q=27.0 size=    1113kB time=00:00:10.30 bitrate= 885.0kbits/s dup=1 drop=61 speed=1.18x    
frame=  178 fps= 19 q=27.0 size=    1160kB time=00:00:11.00 bitrate= 863.5kbits/s dup=1 drop=61 speed=1.19x    
frame=  188 fps= 19 q=27.0 size=    1214kB time=00:00:11.71 bitrate= 848.9kbits/s dup=1 drop=61 speed= 1.2x    
frame=  199 fps= 19 q=27.0 size=    1254kB time=00:00:12.41 bitrate= 827.4kbits/s dup=1 drop=61 speed=1.21x    
frame=  210 fps= 19 q=27.0 size=    1301kB time=00:00:13.18 bitrate= 808.4kbits/s dup=1 drop=61 speed=1.22x    
frame=  220 fps= 19 q=27.0 size=    1338kB time=00:00:13.82 bitrate= 793.0kbits/s dup=1 drop=61 speed=1.22x    
frame=  227 fps= 19 q=27.0 size=    1485kB time=00:00:14.27 bitrate= 852.2kbits/s dup=1 drop=61 speed= 1.2x    
frame=  240 fps= 19 q=27.0 size=    1523kB time=00:00:15.16 bitrate= 822.4kbits/s dup=1 drop=61 speed=1.22x    
frame=  253 fps= 20 q=27.0 size=    1557kB time=00:00:16.00 bitrate= 797.4kbits/s dup=1 drop=61 speed=1.23x    
frame=  264 fps= 20 q=27.0 size=    1624kB time=00:00:16.76 bitrate= 793.2kbits/s dup=1 drop=61 speed=1.24x    
frame=  274 fps= 19 q=27.0 size=    1683kB time=00:00:17.40 bitrate= 791.8kbits/s dup=1 drop=61 speed=1.24x    
frame=  285 fps= 19 q=27.0 size=    1837kB time=00:00:18.17 bitrate= 827.9kbits/s dup=1 drop=61 speed=1.23x    
frame=  297 fps= 19 q=27.0 size=    1876kB time=00:00:18.94 bitrate= 811.4kbits/s dup=1 drop=61 speed=1.24x    
frame=  307 fps= 19 q=27.0 size=    2162kB time=00:00:19.64 bitrate= 901.6kbits/s dup=1 drop=61 speed=1.24x    
frame=  319 fps= 19 q=27.0 size=    2204kB time=00:00:20.41 bitrate= 884.4kbits/s dup=1 drop=61 speed=1.25x    
frame=  331 fps= 20 q=27.0 size=    2253kB time=00:00:21.24 bitrate= 868.6kbits/s dup=1 drop=61 speed=1.25x    
frame=  343 fps= 20 q=27.0 size=    2291kB time=00:00:22.01 bitrate= 852.5kbits/s dup=1 drop=61 speed=1.26x    
frame=  351 fps= 19 q=27.0 size=    2421kB time=00:00:22.59 bitrate= 877.9kbits/s dup=1 drop=61 speed=1.25x    
frame=  362 fps= 20 q=27.0 size=    2463kB time=00:00:23.29 bitrate= 866.2kbits/s dup=1 drop=61 speed=1.26x    
frame=  370 fps= 19 q=27.0 size=    2521kB time=00:00:23.80 bitrate= 867.6kbits/s dup=1 drop=61 speed=1.25x    
frame=  378 fps= 19 q=27.0 size=    2589kB time=00:00:24.38 bitrate= 869.9kbits/s dup=1 drop=61 speed=1.24x    
frame=  388 fps= 19 q=27.0 size=    2661kB time=00:00:25.02 bitrate= 871.1kbits/s dup=1 drop=61 speed=1.24x    
frame=  400 fps= 19 q=27.0 size=    2702kB time=00:00:25.85 bitrate= 856.2kbits/s dup=1 drop=61 speed=1.25x    
frame=  407 fps= 19 q=27.0 size=    2846kB time=00:00:26.30 bitrate= 886.2kbits/s dup=1 drop=61 speed=1.24x    
frame=  419 fps= 19 q=27.0 size=    2898kB time=00:00:27.07 bitrate= 876.9kbits/s dup=1 drop=61 speed=1.25x    
frame=  431 fps= 19 q=27.0 size=    2945kB time=00:00:27.90 bitrate= 864.5kbits/s dup=1 drop=61 speed=1.25x    
frame=  443 fps= 19 q=27.0 size=    2992kB time=00:00:28.67 bitrate= 854.8kbits/s dup=1 drop=61 speed=1.26x    
frame=  455 fps= 20 q=27.0 size=    3030kB time=00:00:29.50 bitrate= 841.3kbits/s dup=1 drop=61 speed=1.27x    
frame=  467 fps= 19 q=27.0 size=    3169kB time=00:00:30.27 bitrate= 857.6kbits/s dup=1 drop=61 speed=1.26x    
frame=  478 fps= 20 q=27.0 size=    3212kB time=00:00:31.04 bitrate= 847.7kbits/s dup=1 drop=61 speed=1.27x    
frame=  488 fps= 20 q=27.0 size=    3261kB time=00:00:31.68 bitrate= 843.2kbits/s dup=1 drop=61 speed=1.27x    
frame=  497 fps= 19 q=27.0 size=    3323kB time=00:00:32.32 bitrate= 842.3kbits/s dup=1 drop=61 speed=1.27x    
frame=  508 fps= 19 q=27.0 size=    3374kB time=00:00:33.02 bitrate= 837.0kbits/s dup=1 drop=61 speed=1.27x    
frame=  519 fps= 20 q=27.0 size=    3428kB time=00:00:33.79 bitrate= 831.0kbits/s dup=1 drop=61 speed=1.27x    
frame=  527 fps= 19 q=27.0 size=    3581kB time=00:00:34.30 bitrate= 855.2kbits/s dup=1 drop=61 speed=1.26x    
frame=  539 fps= 19 q=27.0 size=    3638kB time=00:00:35.07 bitrate= 849.8kbits/s dup=1 drop=61 speed=1.26x    
frame=  549 fps= 19 q=27.0 size=    3928kB time=00:00:35.77 bitrate= 899.4kbits/s dup=1 drop=61 speed=1.26x    
frame=  561 fps= 19 q=27.0 size=    3984kB time=00:00:36.54 bitrate= 893.0kbits/s dup=1 drop=61 speed=1.26x    
frame=  571 fps= 19 q=27.0 size=    4046kB time=00:00:37.24 bitrate= 889.8kbits/s dup=1 drop=61 speed=1.27x    
frame=  582 fps= 19 q=27.0 size=    4090kB time=00:00:37.95 bitrate= 882.8kbits/s dup=1 drop=61 speed=1.27x    
frame=  588 fps= 19 q=27.0 size=    4227kB time=00:00:38.33 bitrate= 903.2kbits/s dup=1 drop=61 speed=1.26x    
frame=  599 fps= 19 q=27.0 size=    4280kB time=00:00:39.10 bitrate= 896.6kbits/s dup=1 drop=61 speed=1.26x    
frame=  609 fps= 19 q=27.0 size=    4326kB time=00:00:39.74 bitrate= 891.6kbits/s dup=1 drop=61 speed=1.26x    
frame=  619 fps= 19 q=27.0 size=    4412kB time=00:00:40.44 bitrate= 893.7kbits/s dup=1 drop=61 speed=1.26x    
frame=  628 fps= 19 q=27.0 size=    4475kB time=00:00:41.02 bitrate= 893.6kbits/s dup=1 drop=61 speed=1.26x    
frame=  638 fps= 19 q=27.0 size=    4507kB time=00:00:41.66 bitrate= 886.2kbits/s dup=1 drop=61 speed=1.26x    
frame=  647 fps= 19 q=27.0 size=    4653kB time=00:00:42.30 bitrate= 901.1kbits/s dup=1 drop=61 speed=1.25x    
frame=  658 fps= 19 q=27.0 size=    4696kB time=00:00:43.00 bitrate= 894.5kbits/s dup=1 drop=61 speed=1.25x    
frame=  669 fps= 19 q=27.0 size=    4771kB time=00:00:43.77 bitrate= 892.9kbits/s dup=1 drop=61 speed=1.25x    
frame=  678 fps= 19 q=27.0 size=    4827kB time=00:00:44.35 bitrate= 891.5kbits/s dup=1 drop=61 speed=1.25x    
frame=  686 fps= 19 q=27.0 size=    4886kB time=00:00:44.86 bitrate= 892.1kbits/s dup=1 drop=61 speed=1.25x    
frame=  694 fps= 19 q=27.0 size=    4948kB time=00:00:45.44 bitrate= 892.0kbits/s dup=1 drop=61 speed=1.25x    
frame=  702 fps= 19 q=27.0 size=    5011kB time=00:00:45.95 bitrate= 893.3kbits/s dup=1 drop=61 speed=1.24x    
frame=  707 fps= 19 q=27.0 size=    5152kB time=00:00:46.27 bitrate= 912.2kbits/s dup=1 drop=61 speed=1.23x    
frame=  718 fps= 19 q=27.0 size=    5204kB time=00:00:47.04 bitrate= 906.3kbits/s dup=1 drop=61 speed=1.24x    
frame=  725 fps= 19 q=27.0 size=    5299kB time=00:00:47.48 bitrate= 914.2kbits/s dup=1 drop=61 speed=1.23x    
frame=  734 fps= 19 q=27.0 size=    5373kB time=00:00:48.06 bitrate= 915.8kbits/s dup=1 drop=61 speed=1.23x    
frame=  745 fps= 19 q=27.0 size=    5438kB time=00:00:48.83 bitrate= 912.2kbits/s dup=1 drop=61 speed=1.23x    
frame=  757 fps= 19 q=27.0 size=    5486kB time=00:00:49.60 bitrate= 906.1kbits/s dup=1 drop=61 speed=1.23x    
frame=  765 fps= 19 q=27.0 size=    5643kB time=00:00:50.17 bitrate= 921.3kbits/s dup=1 drop=61 speed=1.23x    
frame=  777 fps= 19 q=27.0 size=    5691kB time=00:00:50.94 bitrate= 915.1kbits/s dup=1 drop=61 speed=1.23x    
frame=  787 fps= 19 q=27.0 size=    5741kB time=00:00:51.64 bitrate= 910.6kbits/s dup=1 drop=61 speed=1.23x    
frame=  798 fps= 19 q=27.0 size=    6015kB time=00:00:52.35 bitrate= 941.3kbits/s dup=1 drop=61 speed=1.24x    
frame=  808 fps= 19 q=27.0 size=    6088kB time=00:00:53.05 bitrate= 940.0kbits/s dup=1 drop=61 speed=1.24x    
frame=  819 fps= 19 q=27.0 size=    6140kB time=00:00:53.76 bitrate= 935.6kbits/s dup=1 drop=61 speed=1.24x    
frame=  827 fps= 19 q=27.0 size=    6291kB time=00:00:54.27 bitrate= 949.6kbits/s dup=1 drop=61 speed=1.23x    
frame=  838 fps= 19 q=27.0 size=    6342kB time=00:00:55.04 bitrate= 943.9kbits/s dup=1 drop=61 speed=1.23x    
frame=  845 fps= 19 q=27.0 size=    6414kB time=00:00:55.48 bitrate= 947.0kbits/s dup=1 drop=61 speed=1.23x    
frame=  853 fps= 19 q=27.0 size=    6491kB time=00:00:56.00 bitrate= 949.5kbits/s dup=1 drop=61 speed=1.23x    
frame=  861 fps= 19 q=27.0 size=    6571kB time=00:00:56.57 bitrate= 951.4kbits/s dup=1 drop=61 speed=1.22x    
frame=  870 fps= 19 q=27.0 size=    6638kB time=00:00:57.15 bitrate= 951.5kbits/s dup=2 drop=61 speed=1.22x    
frame=  878 fps= 19 q=27.0 size=    6702kB time=00:00:57.66 bitrate= 952.1kbits/s dup=2 drop=61 speed=1.22x    
frame=  885 fps= 18 q=27.0 size=    6870kB time=00:00:58.17 bitrate= 967.4kbits/s dup=2 drop=61 speed=1.21x    
frame=  896 fps= 18 q=27.0 size=    6928kB time=00:00:58.88 bitrate= 963.8kbits/s dup=2 drop=61 speed=1.21x    
frame=  905 fps= 18 q=27.0 size=    7010kB time=00:00:59.52 bitrate= 964.8kbits/s dup=2 drop=61 speed=1.21x    
frame=  913 fps= 18 q=27.0 size=    7147kB time=00:01:00.03 bitrate= 975.3kbits/s dup=2 drop=61 speed=1.21x    
frame=  923 fps= 18 q=27.0 size=    7203kB time=00:01:00.67 bitrate= 972.5kbits/s dup=2 drop=61 speed=1.21x    
frame=  933 fps= 18 q=27.0 size=    7276kB time=00:01:01.37 bitrate= 971.2kbits/s dup=2 drop=61 speed=1.21x    
frame=  944 fps= 18 q=27.0 size=    7341kB time=00:01:02.08 bitrate= 968.7kbits/s dup=2 drop=61 speed=1.21x    
frame=  951 fps= 18 q=27.0 size=    7505kB time=00:01:02.59 bitrate= 982.3kbits/s dup=2 drop=61 speed=1.21x    
frame=  961 fps= 18 q=27.0 size=    7553kB time=00:01:03.23 bitrate= 978.6kbits/s dup=2 drop=61 speed=1.21x    
frame=  971 fps= 18 q=27.0 size=    7626kB time=00:01:03.87 bitrate= 978.1kbits/s dup=2 drop=61 speed=1.21x    
frame=  981 fps= 18 q=27.0 size=    7690kB time=00:01:04.57 bitrate= 975.6kbits/s dup=2 drop=61 speed=1.21x    
frame=  992 fps= 18 q=27.0 size=    7764kB time=00:01:05.28 bitrate= 974.3kbits/s dup=2 drop=61 speed=1.21x    
frame= 1003 fps= 18 q=27.0 size=    7827kB time=00:01:06.04 bitrate= 970.8kbits/s dup=2 drop=61 speed=1.21x    
frame= 1010 fps= 18 q=27.0 size=    7976kB time=00:01:06.49 bitrate= 982.6kbits/s dup=2 drop=61 speed=1.21x    
frame= 1021 fps= 18 q=27.0 size=    8044kB time=00:01:07.20 bitrate= 980.6kbits/s dup=2 drop=61 speed=1.21x    
frame= 1031 fps= 18 q=27.0 size=    8108kB time=00:01:07.90 bitrate= 978.2kbits/s dup=2 drop=61 speed=1.21x    
frame= 1040 fps= 18 q=27.0 size=    8183kB time=00:01:08.48 bitrate= 978.9kbits/s dup=2 drop=61 speed=1.21x    
frame= 1048 fps= 18 q=27.0 size=    8475kB time=00:01:09.05 bitrate=1005.4kbits/s dup=2 drop=61 speed=1.21x    
frame= 1059 fps= 18 q=27.0 size=    8548kB time=00:01:09.76 bitrate=1003.8kbits/s dup=2 drop=61 speed=1.21x    
frame= 1069 fps= 18 q=27.0 size=    8719kB time=00:01:10.40 bitrate=1014.5kbits/s dup=2 drop=61 speed= 1.2x    
frame= 1079 fps= 18 q=27.0 size=    8773kB time=00:01:11.10 bitrate=1010.7kbits/s dup=2 drop=61 speed= 1.2x    
frame= 1088 fps= 18 q=27.0 size=    8862kB time=00:01:11.68 bitrate=1012.9kbits/s dup=2 drop=61 speed= 1.2x    
frame= 1098 fps= 18 q=27.0 size=    8929kB time=00:01:12.38 bitrate=1010.5kbits/s dup=2 drop=61 speed= 1.2x    
frame= 1109 fps= 18 q=27.0 size=    9012kB time=00:01:13.08 bitrate=1010.1kbits/s dup=2 drop=61 speed= 1.2x    
frame= 1117 fps= 18 q=27.0 size=    9126kB time=00:01:13.60 bitrate=1015.8kbits/s dup=2 drop=61 speed= 1.2x    
frame= 1126 fps= 18 q=27.0 size=    9189kB time=00:01:14.24 bitrate=1014.0kbits/s dup=2 drop=61 speed= 1.2x    
frame= 1132 fps= 18 q=27.0 size=    9338kB time=00:01:14.62 bitrate=1025.1kbits/s dup=2 drop=61 speed=1.19x    
frame= 1143 fps= 18 q=27.0 size=    9399kB time=00:01:15.39 bitrate=1021.3kbits/s dup=2 drop=61 speed= 1.2x    
frame= 1153 fps= 18 q=27.0 size=    9469kB time=00:01:16.03 bitrate=1020.2kbits/s dup=2 drop=61 speed= 1.2x    
frame= 1163 fps= 18 q=27.0 size=    9528kB time=00:01:16.67 bitrate=1018.1kbits/s dup=2 drop=61 speed= 1.2x    
frame= 1173 fps= 18 q=27.0 size=    9603kB time=00:01:17.37 bitrate=1016.7kbits/s dup=2 drop=61 speed= 1.2x    
frame= 1182 fps= 18 q=27.0 size=    9683kB time=00:01:17.95 bitrate=1017.6kbits/s dup=2 drop=61 speed= 1.2x    
frame= 1189 fps= 18 q=27.0 size=    9853kB time=00:01:18.40 bitrate=1029.5kbits/s dup=2 drop=61 speed=1.19x    
frame= 1199 fps= 18 q=27.0 size=    9911kB time=00:01:19.10 bitrate=1026.3kbits/s dup=2 drop=61 speed=1.19x    
frame= 1208 fps= 18 q=27.0 size=    9983kB time=00:01:19.68 bitrate=1026.3kbits/s dup=2 drop=61 speed=1.19x    
frame= 1218 fps= 18 q=27.0 size=   10045kB time=00:01:20.32 bitrate=1024.5kbits/s dup=2 drop=61 speed=1.19x    
frame= 1225 fps= 18 q=27.0 size=   10114kB time=00:01:20.83 bitrate=1025.0kbits/s dup=2 drop=61 speed=1.19x    
frame= 1235 fps= 18 q=27.0 size=   10197kB time=00:01:21.47 bitrate=1025.3kbits/s dup=2 drop=61 speed=1.19x    
frame= 1243 fps= 18 q=27.0 size=   10278kB time=00:01:22.11 bitrate=1025.4kbits/s dup=2 drop=61 speed=1.19x    
frame= 1250 fps= 18 q=27.0 size=   10412kB time=00:01:22.49 bitrate=1033.9kbits/s dup=3 drop=61 speed=1.19x    
frame= 1258 fps= 18 q=27.0 size=   10499kB time=00:01:23.00 bitrate=1036.1kbits/s dup=3 drop=61 speed=1.18x    
frame= 1265 fps= 18 q=27.0 size=   10626kB time=00:01:23.52 bitrate=1042.3kbits/s dup=3 drop=61 speed=1.18x    
frame= 1273 fps= 18 q=27.0 size=   10701kB time=00:01:24.03 bitrate=1043.2kbits/s dup=3 drop=61 speed=1.18x    
frame= 1281 fps= 18 q=27.0 size=   10768kB time=00:01:24.54 bitrate=1043.3kbits/s dup=3 drop=61 speed=1.18x    
frame= 1287 fps= 18 q=27.0 size=   10891kB time=00:01:24.99 bitrate=1049.7kbits/s dup=3 drop=61 speed=1.17x    
frame= 1297 fps= 18 q=27.0 size=   10945kB time=00:01:25.63 bitrate=1047.0kbits/s dup=3 drop=61 speed=1.17x    
frame= 1307 fps= 18 q=27.0 size=   11347kB time=00:01:26.27 bitrate=1077.4kbits/s dup=3 drop=61 speed=1.17x    
frame= 1319 fps= 18 q=27.0 size=   11412kB time=00:01:27.10 bitrate=1073.3kbits/s dup=3 drop=61 speed=1.17x    
frame= 1327 fps= 18 q=27.0 size=   11484kB time=00:01:27.61 bitrate=1073.8kbits/s dup=3 drop=61 speed=1.17x    
frame= 1335 fps= 18 q=27.0 size=   11579kB time=00:01:28.19 bitrate=1075.6kbits/s dup=3 drop=61 speed=1.17x    
frame= 1344 fps= 18 q=27.0 size=   11652kB time=00:01:28.76 bitrate=1075.3kbits/s dup=4 drop=61 speed=1.17x    
frame= 1353 fps= 18 q=27.0 size=   11731kB time=00:01:29.34 bitrate=1075.6kbits/s dup=4 drop=61 speed=1.17x    
frame= 1362 fps= 18 q=27.0 size=   11805kB time=00:01:29.98 bitrate=1074.7kbits/s dup=4 drop=61 speed=1.17x    
frame= 1369 fps= 18 q=27.0 size=   11958kB time=00:01:30.43 bitrate=1083.3kbits/s dup=4 drop=61 speed=1.17x    
frame= 1380 fps= 18 q=27.0 size=   12021kB time=00:01:31.13 bitrate=1080.6kbits/s dup=4 drop=61 speed=1.17x    
frame= 1385 fps= 18 q=27.0 size=   12142kB time=00:01:31.52 bitrate=1086.8kbits/s dup=4 drop=61 speed=1.16x    
frame= 1393 fps= 18 q=27.0 size=   12213kB time=00:01:32.03 bitrate=1087.1kbits/s dup=4 drop=61 speed=1.16x    
frame= 1402 fps= 18 q=27.0 size=   12271kB time=00:01:32.60 bitrate=1085.5kbits/s dup=4 drop=61 speed=1.16x    
frame= 1412 fps= 18 q=27.0 size=   12337kB time=00:01:33.31 bitrate=1083.1kbits/s dup=4 drop=61 speed=1.16x    
frame= 1422 fps= 18 q=27.0 size=   12389kB time=00:01:33.95 bitrate=1080.3kbits/s dup=4 drop=61 speed=1.16x    
frame= 1431 fps= 18 q=27.0 size=   12545kB time=00:01:34.59 bitrate=1086.4kbits/s dup=4 drop=61 speed=1.16x    
frame= 1441 fps= 18 q=27.0 size=   12601kB time=00:01:35.04 bitrate=1086.2kbits/s dup=4 drop=61 speed=1.16x    
frame= 1448 fps= 18 q=27.0 size=   12661kB time=00:01:35.48 bitrate=1086.2kbits/s dup=4 drop=67 speed=1.16x    
frame= 1455 fps= 18 q=27.0 size=   12743kB time=00:01:35.93 bitrate=1088.1kbits/s dup=4 drop=74 speed=1.16x    
frame= 1463 fps= 18 q=27.0 size=   12826kB time=00:01:36.44 bitrate=1089.4kbits/s dup=4 drop=82 speed=1.15x    
frame= 1471 fps= 17 q=27.0 size=   12889kB time=00:01:37.02 bitrate=1088.2kbits/s dup=4 drop=90 speed=1.15x    
frame= 1478 fps= 17 q=27.0 size=   12945kB time=00:01:37.47 bitrate=1088.0kbits/s dup=4 drop=97 speed=1.15x    
frame= 1485 fps= 17 q=27.0 size=   13000kB time=00:01:37.98 bitrate=1086.9kbits/s dup=4 drop=104 speed=1.15x    
frame= 1490 fps= 17 q=27.0 size=   13142kB time=00:01:38.24 bitrate=1095.9kbits/s dup=4 drop=109 speed=1.15x    
frame= 1499 fps= 17 q=27.0 size=   13194kB time=00:01:38.88 bitrate=1093.1kbits/s dup=4 drop=118 speed=1.15x    
frame= 1508 fps= 17 q=27.0 size=   13238kB time=00:01:39.45 bitrate=1090.4kbits/s dup=4 drop=127 speed=1.15x    
frame= 1517 fps= 17 q=27.0 size=   13283kB time=00:01:40.09 bitrate=1087.1kbits/s dup=4 drop=136 speed=1.15x    
frame= 1523 fps= 17 q=27.0 size=   13465kB time=00:01:40.48 bitrate=1097.8kbits/s dup=4 drop=142 speed=1.14x    
frame= 1531 fps= 17 q=27.0 size=   13530kB time=00:01:40.99 bitrate=1097.5kbits/s dup=4 drop=150 speed=1.14x    
frame= 1540 fps= 17 q=27.0 size=   13581kB time=00:01:41.56 bitrate=1095.4kbits/s dup=4 drop=159 speed=1.14x    
frame= 1548 fps= 17 q=27.0 size=   13861kB time=00:01:42.14 bitrate=1111.7kbits/s dup=4 drop=167 speed=1.14x    
frame= 1557 fps= 17 q=27.0 size=   13934kB time=00:01:42.72 bitrate=1111.2kbits/s dup=4 drop=176 speed=1.14x    
