ffmpeg version 3.1.7 Copyright (c) 2000-2017 the FFmpeg developers
  built with gcc 5.4.0 (GCC)
  configuration: --disable-static --prefix=/cvmfs/soft.computecanada.ca/nix/store/n7qiyrcpyixibg8mijm826nb3hdb23j1-ffmpeg-3.1.7 --enable-gpl --enable-version3 --enable-shared --disable-static --enable-pic --enable-runtime-cpudetect --enable-hardcoded-tables --enable-pthreads --disable-w32threads --disable-os2threads --enable-network --enable-pixelutils --enable-ffmpeg --disable-ffplay --enable-ffprobe --disable-ffserver --enable-avcodec --enable-avdevice --enable-avfilter --enable-avformat --enable-avresample --enable-avutil --enable-postproc --enable-swresample --enable-swscale --disable-doc --enable-bzlib --enable-gnutls --enable-fontconfig --enable-libfreetype --enable-libmp3lame --enable-iconv --enable-libtheora --enable-vaapi --enable-vdpau --enable-libvorbis --enable-libvpx --enable-lzma --disable-opengl --enable-libpulse --enable-sdl --enable-libsoxr --enable-libx264 --enable-libxvid --enable-zlib --enable-libopus --enable-libx265 --disable-debug --enable-optimizations --disable-extra-warnings --disable-stripping
  libavutil      55. 28.100 / 55. 28.100
  libavcodec     57. 48.101 / 57. 48.101
  libavformat    57. 41.100 / 57. 41.100
  libavdevice    57.  0.101 / 57.  0.101
  libavfilter     6. 47.100 /  6. 47.100
  libavresample   3.  0.  0 /  3.  0.  0
  libswscale      4.  1.100 /  4.  1.100
  libswresample   2.  1.100 /  2.  1.100
  libpostproc    54.  0.100 / 54.  0.100
Input #0, mov,mp4,m4a,3gp,3g2,mj2, from '/project/6001934/lingheng/ROM_Video_Process/ROM_raw_videos/Oct_02/Camera2_Oct_02_1500_1600_Single_Agent_Raw_Act.mp4':
  Metadata:
    major_brand     : isom
    minor_version   : 1
    compatible_brands: isom
    creation_time   : 2018-10-03 00:23:01
  Duration: 01:00:03.14, start: 0.000000, bitrate: 746 kb/s
    Stream #0:0(und): Video: h264 (Main) (avc1 / 0x31637661), yuvj420p(pc, bt709), 1920x1080 [SAR 1:1 DAR 16:9], 726 kb/s, 26.14 fps, 30 tbr, 16k tbn, 60 tbc (default)
    Metadata:
      handler_name    : VideoHandler
    Stream #0:1(und): Audio: aac (LC) (mp4a / 0x6134706D), 16000 Hz, mono, fltp, 16 kb/s (default)
    Metadata:
      creation_time   : 2018-10-03 00:23:06
      handler_name    : GPAC ISO Audio Handler
    Stream #0:2(eng): Subtitle: mov_text (tx3g / 0x67337874), 800x60, 0 kb/s (default)
    Metadata:
      rotate          : 0
      creation_time   : 2018-10-03 00:23:06
      handler_name    : 878a57aae8714de6a855d354333f7213.subtitles.ttxt:hdlr=sbtl:lang=en:group=2:layer=1 - Imported with GPAC 0.5.0-rev4065
Input #1, png_pipe, from '/project/6001934/lingheng/ROM_Video_Process/Openpose_Video_Analysis_Code/camera2_transparent_img.png':
  Duration: N/A, bitrate: N/A
    Stream #1:0: Video: png, rgba(pc), 1920x1080, 25 tbr, 25 tbn, 25 tbc
[swscaler @ 0x1c9dbe0] deprecated pixel format used, make sure you did set range correctly
[avi @ 0x19d68a0] Using AVStream.codec to pass codec parameters to muxers is deprecated, use AVStream.codecpar instead.
    Last message repeated 1 times
Output #0, avi, to '/project/6001934/lingheng/ROM_Video_Process/ROM_raw_videos_with_interst_area_ffmpeg_new2/Oct_02/Camera2_Oct_02_1500_1600_Single_Agent_Raw_Act_ffmpeg_with_interest_area.avi':
  Metadata:
    major_brand     : isom
    minor_version   : 1
    compatible_brands: isom
    ISFT            : Lavf57.41.100
    Stream #0:0: Video: mpeg4 (FMP4 / 0x34504D46), yuv420p, 1920x1080 [SAR 1:1 DAR 16:9], q=2-31, 200 kb/s, 30 fps, 30 tbn, 30 tbc (default)
    Metadata:
      encoder         : Lavc57.48.101 mpeg4
    Side data:
      cpb: bitrate max/min/avg: 0/0/200000 buffer size: 0 vbv_delay: -1
    Stream #0:1(und): Audio: aac (LC) ([255][0][0][0] / 0x00FF), 16000 Hz, mono, 16 kb/s (default)
    Metadata:
      creation_time   : 2018-10-03 00:23:06
      handler_name    : GPAC ISO Audio Handler
Stream mapping:
  Stream #0:0 (h264) -> overlay:main
  Stream #1:0 (png) -> overlay:overlay
  overlay -> Stream #0:0 (mpeg4)
  Stream #0:1 -> #0:1 (copy)
Press [q] to stop, [?] for help
frame=   15 fps=0.0 q=30.6 size=      10kB time=00:00:00.53 bitrate= 149.8kbits/s speed=1.07x    
frame=   35 fps= 34 q=31.0 size=     420kB time=00:00:01.20 bitrate=2866.6kbits/s speed=1.18x    
frame=   55 fps= 36 q=31.0 size=     488kB time=00:00:01.86 bitrate=2141.8kbits/s speed=1.22x    
frame=   80 fps= 39 q=31.0 size=     622kB time=00:00:02.70 bitrate=1886.1kbits/s speed=1.33x    
frame=  105 fps= 41 q=31.0 size=     686kB time=00:00:03.53 bitrate=1591.0kbits/s speed=1.39x    
frame=  130 fps= 42 q=31.0 size=     850kB time=00:00:04.36 bitrate=1594.2kbits/s speed=1.43x    
frame=  154 fps= 43 q=31.0 size=    1042kB time=00:00:05.20 bitrate=1641.3kbits/s speed=1.46x    
frame=  178 fps= 44 q=31.0 size=    1137kB time=00:00:06.00 bitrate=1552.2kbits/s speed=1.47x    
frame=  203 fps= 44 q=31.0 size=    1280kB time=00:00:06.83 bitrate=1534.1kbits/s speed=1.49x    
frame=  228 fps= 45 q=31.0 size=    1420kB time=00:00:07.66 bitrate=1517.8kbits/s speed= 1.5x    
frame=  253 fps= 45 q=24.8 size=    1552kB time=00:00:08.50 bitrate=1495.6kbits/s speed=1.52x    
frame=  278 fps= 45 q=31.0 size=    1686kB time=00:00:09.33 bitrate=1480.0kbits/s speed=1.52x    
frame=  303 fps= 46 q=31.0 size=    1823kB time=00:00:10.16 bitrate=1468.6kbits/s speed=1.53x    
frame=  328 fps= 46 q=31.0 size=    1965kB time=00:00:11.00 bitrate=1463.7kbits/s speed=1.54x    
frame=  352 fps= 46 q=31.0 size=    2104kB time=00:00:11.83 bitrate=1456.3kbits/s speed=1.54x    
frame=  377 fps= 46 q=31.0 size=    2265kB time=00:00:12.66 bitrate=1464.9kbits/s speed=1.55x    
frame=  402 fps= 46 q=31.0 size=    2405kB time=00:00:13.50 bitrate=1459.3kbits/s speed=1.55x    
frame=  425 fps= 46 q=31.0 size=    2583kB time=00:00:14.26 bitrate=1483.2kbits/s speed=1.55x    
frame=  450 fps= 46 q=31.0 size=    2722kB time=00:00:15.10 bitrate=1476.8kbits/s speed=1.55x    
frame=  475 fps= 46 q=31.0 size=    2861kB time=00:00:15.93 bitrate=1470.8kbits/s speed=1.56x    
frame=  500 fps= 47 q=31.0 size=    2996kB time=00:00:16.76 bitrate=1463.6kbits/s speed=1.56x    
frame=  525 fps= 47 q=31.0 size=    3129kB time=00:00:17.60 bitrate=1456.4kbits/s speed=1.56x    
frame=  550 fps= 47 q=31.0 size=    3263kB time=00:00:18.43 bitrate=1450.1kbits/s speed=1.57x    
frame=  575 fps= 47 q=31.0 size=    3392kB time=00:00:19.26 bitrate=1442.1kbits/s speed=1.57x    
frame=  600 fps= 47 q=31.0 size=    3527kB time=00:00:20.10 bitrate=1437.4kbits/s speed=1.57x    
frame=  625 fps= 47 q=24.8 size=    3659kB time=00:00:20.93 bitrate=1432.0kbits/s speed=1.57x    
frame=  650 fps= 47 q=31.0 size=    3793kB time=00:00:21.76 bitrate=1427.4kbits/s speed=1.58x    
frame=  673 fps= 47 q=24.8 size=    3919kB time=00:00:22.53 bitrate=1424.6kbits/s speed=1.57x    
frame=  698 fps= 47 q=31.0 size=    4044kB time=00:00:23.36 bitrate=1417.8kbits/s speed=1.57x    
frame=  723 fps= 47 q=31.0 size=    4165kB time=00:00:24.20 bitrate=1410.0kbits/s speed=1.58x    
frame=  747 fps= 47 q=31.0 size=    4295kB time=00:00:25.00 bitrate=1407.4kbits/s speed=1.58x    
frame=  772 fps= 47 q=31.0 size=    4427kB time=00:00:25.83 bitrate=1403.7kbits/s speed=1.58x    
frame=  797 fps= 47 q=31.0 size=    4600kB time=00:00:26.66 bitrate=1413.1kbits/s speed=1.58x    
frame=  819 fps= 47 q=31.0 size=    4683kB time=00:00:27.40 bitrate=1400.1kbits/s speed=1.58x    
frame=  842 fps= 47 q=31.0 size=    4811kB time=00:00:28.16 bitrate=1399.1kbits/s speed=1.57x    
frame=  867 fps= 47 q=31.0 size=    4940kB time=00:00:29.00 bitrate=1395.4kbits/s speed=1.58x    
frame=  893 fps= 47 q=31.0 size=    5077kB time=00:00:29.86 bitrate=1392.5kbits/s speed=1.58x    
frame=  918 fps= 47 q=31.0 size=    5218kB time=00:00:30.70 bitrate=1392.4kbits/s speed=1.58x    
frame=  943 fps= 47 q=31.0 size=    5401kB time=00:00:31.53 bitrate=1403.1kbits/s speed=1.58x    
frame=  968 fps= 47 q=31.0 size=    5539kB time=00:00:32.36 bitrate=1402.0kbits/s speed=1.58x    
frame=  993 fps= 47 q=31.0 size=    5674kB time=00:00:33.20 bitrate=1400.0kbits/s speed=1.58x    
frame= 1018 fps= 47 q=31.0 size=    5808kB time=00:00:34.03 bitrate=1398.1kbits/s speed=1.58x    
frame= 1043 fps= 47 q=31.0 size=    5943kB time=00:00:34.86 bitrate=1396.3kbits/s speed=1.59x    
frame= 1068 fps= 47 q=31.0 size=    6075kB time=00:00:35.70 bitrate=1394.0kbits/s speed=1.59x    
frame= 1091 fps= 47 q=31.0 size=    6206kB time=00:00:36.46 bitrate=1394.2kbits/s speed=1.59x    
frame= 1116 fps= 47 q=31.0 size=    6333kB time=00:00:37.30 bitrate=1390.9kbits/s speed=1.59x    
frame= 1141 fps= 48 q=24.8 size=    6461kB time=00:00:38.13 bitrate=1388.0kbits/s speed=1.59x    
frame= 1166 fps= 48 q=31.0 size=    6590kB time=00:00:38.96 bitrate=1385.3kbits/s speed=1.59x    
frame= 1191 fps= 48 q=31.0 size=    6736kB time=00:00:39.80 bitrate=1386.4kbits/s speed=1.59x    
frame= 1216 fps= 48 q=31.0 size=    6874kB time=00:00:40.63 bitrate=1385.8kbits/s speed=1.59x    
frame= 1241 fps= 48 q=31.0 size=    7008kB time=00:00:41.46 bitrate=1384.4kbits/s speed=1.59x    
frame= 1264 fps= 48 q=31.0 size=    7138kB time=00:00:42.23 bitrate=1384.6kbits/s speed=1.59x    
frame= 1289 fps= 48 q=31.0 size=    7310kB time=00:00:43.06 bitrate=1390.5kbits/s speed=1.59x    
frame= 1314 fps= 48 q=31.0 size=    7441kB time=00:00:43.90 bitrate=1388.6kbits/s speed=1.59x    
frame= 1339 fps= 48 q=31.0 size=    7570kB time=00:00:44.73 bitrate=1386.3kbits/s speed=1.59x    
frame= 1364 fps= 48 q=31.0 size=    7702kB time=00:00:45.56 bitrate=1384.6kbits/s speed=1.59x    
frame= 1389 fps= 48 q=31.0 size=    7904kB time=00:00:46.96 bitrate=1378.6kbits/s speed=1.61x    
frame= 1414 fps= 48 q=31.0 size=    8036kB time=00:00:48.63 bitrate=1353.6kbits/s speed=1.64x    
frame= 1437 fps= 48 q=31.0 size=    8172kB time=00:00:50.16 bitrate=1334.4kbits/s speed=1.67x    
frame= 1462 fps= 48 q=31.0 size=    8307kB time=00:00:51.83 bitrate=1312.9kbits/s speed=1.69x    
frame= 1487 fps= 48 q=31.0 size=    8444kB time=00:00:53.50 bitrate=1292.9kbits/s speed=1.72x    
frame= 1512 fps= 48 q=31.0 size=    8577kB time=00:00:55.16 bitrate=1273.7kbits/s speed=1.74x    
frame= 1537 fps= 48 q=24.8 size=    8706kB time=00:00:56.83 bitrate=1254.8kbits/s speed=1.77x    
frame= 1562 fps= 48 q=31.0 size=    8878kB time=00:00:58.50 bitrate=1243.2kbits/s speed=1.79x    
frame= 1587 fps= 48 q=31.0 size=    9023kB time=00:01:00.16 bitrate=1228.5kbits/s speed=1.81x    
frame= 1612 fps= 48 q=31.0 size=    9191kB time=00:01:01.83 bitrate=1217.7kbits/s speed=1.84x    
frame= 1637 fps= 48 q=31.0 size=    9357kB time=00:01:03.50 bitrate=1207.2kbits/s speed=1.86x    
frame= 1662 fps= 48 q=31.0 size=    9514kB time=00:01:05.16 bitrate=1195.9kbits/s speed=1.88x    
frame= 1687 fps= 48 q=31.0 size=    9661kB time=00:01:06.83 bitrate=1184.2kbits/s speed= 1.9x    
frame= 1712 fps= 48 q=31.0 size=    9795kB time=00:01:08.26 bitrate=1175.3kbits/s speed=1.91x    
frame= 1737 fps= 48 q=31.0 size=    9867kB time=00:01:09.10 bitrate=1169.7kbits/s speed=1.91x    
frame= 1762 fps= 48 q=31.0 size=    9999kB time=00:01:09.93 bitrate=1171.3kbits/s speed= 1.9x    
frame= 1785 fps= 48 q=31.0 size=   10126kB time=00:01:10.70 bitrate=1173.4kbits/s speed= 1.9x    
frame= 1808 fps= 48 q=31.0 size=   10260kB time=00:01:11.46 bitrate=1176.1kbits/s speed=1.89x    
frame= 1831 fps= 48 q=31.0 size=   10390kB time=00:01:12.23 bitrate=1178.3kbits/s speed=1.89x    
frame= 1856 fps= 48 q=31.0 size=   10524kB time=00:01:13.06 bitrate=1179.9kbits/s speed=1.88x    
frame= 1881 fps= 48 q=31.0 size=   10656kB time=00:01:13.90 bitrate=1181.3kbits/s speed=1.88x    
frame= 1905 fps= 48 q=31.0 size=   10878kB time=00:01:15.16 bitrate=1185.5kbits/s speed=1.89x    
frame= 1930 fps= 48 q=31.0 size=   11045kB time=00:01:16.83 bitrate=1177.6kbits/s speed= 1.9x    
frame= 1955 fps= 48 q=31.0 size=   11244kB time=00:01:18.50 bitrate=1173.3kbits/s speed=1.92x    
frame= 1979 fps= 48 q=31.0 size=   11454kB time=00:01:20.10 bitrate=1171.5kbits/s speed=1.94x    
frame= 2004 fps= 48 q=31.0 size=   11651kB time=00:01:21.76 bitrate=1167.3kbits/s speed=1.95x    
frame= 2029 fps= 48 q=24.8 size=   11843kB time=00:01:23.43 bitrate=1162.8kbits/s speed=1.97x    
frame= 2054 fps= 48 q=31.0 size=   12101kB time=00:01:25.10 bitrate=1164.9kbits/s speed=1.98x    
frame= 2079 fps= 48 q=31.0 size=   12312kB time=00:01:26.76 bitrate=1162.4kbits/s speed=   2x    
frame= 2103 fps= 48 q=31.0 size=   12508kB time=00:01:28.36 bitrate=1159.5kbits/s speed=2.01x    
frame= 2128 fps= 48 q=31.0 size=   12682kB time=00:01:30.03 bitrate=1153.9kbits/s speed=2.02x    
frame= 2153 fps= 48 q=31.0 size=   12838kB time=00:01:31.70 bitrate=1146.9kbits/s speed=2.04x    
frame= 2177 fps= 48 q=31.0 size=   12979kB time=00:01:33.30 bitrate=1139.6kbits/s speed=2.05x    
frame= 2202 fps= 48 q=31.0 size=   13125kB time=00:01:34.96 bitrate=1132.2kbits/s speed=2.06x    
frame= 2228 fps= 48 q=31.0 size=   13262kB time=00:01:36.50 bitrate=1125.9kbits/s speed=2.07x    
frame= 2253 fps= 48 q=31.0 size=   13339kB time=00:01:37.33 bitrate=1122.6kbits/s speed=2.07x    
frame= 2276 fps= 48 q=31.0 size=   13478kB time=00:01:38.10 bitrate=1125.5kbits/s speed=2.06x    
frame= 2299 fps= 48 q=31.0 size=   13618kB time=00:01:38.86 bitrate=1128.4kbits/s speed=2.06x    
frame= 2324 fps= 48 q=31.0 size=   13764kB time=00:01:39.70 bitrate=1131.0kbits/s speed=2.05x    
frame= 2349 fps= 48 q=31.0 size=   13904kB time=00:01:40.53 bitrate=1133.0kbits/s speed=2.05x    
frame= 2374 fps= 48 q=31.0 size=   14042kB time=00:01:41.36 bitrate=1134.8kbits/s speed=2.04x    
frame= 2397 fps= 48 q=31.0 size=   14179kB time=00:01:42.13 bitrate=1137.3kbits/s speed=2.04x    
frame= 2422 fps= 48 q=31.0 size=   14312kB time=00:01:42.96 bitrate=1138.6kbits/s speed=2.03x    
frame= 2447 fps= 48 q=31.0 size=   14448kB time=00:01:43.80 bitrate=1140.2kbits/s speed=2.03x    
frame= 2468 fps= 48 q=31.0 size=   14584kB time=00:01:44.50 bitrate=1143.3kbits/s speed=2.02x    
frame= 2493 fps= 48 q=31.0 size=   14726kB time=00:01:45.33 bitrate=1145.3kbits/s speed=2.02x    
frame= 2518 fps= 48 q=31.0 size=   14866kB time=00:01:46.16 bitrate=1147.1kbits/s speed=2.02x    
frame= 2543 fps= 48 q=31.0 size=   15005kB time=00:01:47.00 bitrate=1148.8kbits/s speed=2.01x    
frame= 2566 fps= 48 q=31.0 size=   15139kB time=00:01:47.76 bitrate=1150.8kbits/s speed=2.01x    
frame= 2591 fps= 48 q=31.0 size=   15277kB time=00:01:48.60 bitrate=1152.4kbits/s speed=   2x    
frame= 2616 fps= 48 q=31.0 size=   15415kB time=00:01:49.43 bitrate=1153.9kbits/s speed=   2x    
frame= 2641 fps= 48 q=24.8 size=   15552kB time=00:01:50.26 bitrate=1155.4kbits/s speed=   2x    
frame= 2666 fps= 48 q=31.0 size=   15695kB time=00:01:51.10 bitrate=1157.3kbits/s speed=1.99x    
frame= 2691 fps= 48 q=31.0 size=   15832kB time=00:01:51.93 bitrate=1158.7kbits/s speed=1.99x    
frame= 2712 fps= 48 q=31.0 size=   15958kB time=00:01:52.63 bitrate=1160.7kbits/s speed=1.98x    
frame= 2737 fps= 48 q=24.8 size=   16098kB time=00:01:53.46 bitrate=1162.2kbits/s speed=1.98x    
frame= 2762 fps= 48 q=31.0 size=   16239kB time=00:01:54.30 bitrate=1163.9kbits/s speed=1.98x    
frame= 2785 fps= 48 q=24.8 size=   16374kB time=00:01:55.06 bitrate=1165.7kbits/s speed=1.97x    
frame= 2810 fps= 48 q=31.0 size=   16513kB time=00:01:55.90 bitrate=1167.2kbits/s speed=1.97x    
frame= 2833 fps= 48 q=24.8 size=   16651kB time=00:01:56.66 bitrate=1169.2kbits/s speed=1.97x    
frame= 2858 fps= 48 q=31.0 size=   16788kB time=00:01:57.50 bitrate=1170.5kbits/s speed=1.96x    
frame= 2881 fps= 48 q=24.8 size=   16917kB time=00:01:58.26 bitrate=1171.8kbits/s speed=1.96x    
frame= 2906 fps= 48 q=31.0 size=   17058kB time=00:01:59.10 bitrate=1173.3kbits/s speed=1.96x    
frame= 2931 fps= 48 q=31.0 size=   17199kB time=00:01:59.93 bitrate=1174.8kbits/s speed=1.95x    
frame= 2956 fps= 48 q=31.0 size=   17337kB time=00:02:00.76 bitrate=1176.0kbits/s speed=1.95x    
frame= 2979 fps= 48 q=31.0 size=   17473kB time=00:02:01.53 bitrate=1177.8kbits/s speed=1.95x    
frame= 3004 fps= 48 q=31.0 size=   17609kB time=00:02:02.36 bitrate=1178.9kbits/s speed=1.94x    
frame= 3027 fps= 48 q=31.0 size=   17743kB time=00:02:03.13 bitrate=1180.4kbits/s speed=1.94x    
frame= 3052 fps= 48 q=31.0 size=   17877kB time=00:02:03.96 bitrate=1181.4kbits/s speed=1.94x    
frame= 3077 fps= 48 q=31.0 size=   18054kB time=00:02:04.80 bitrate=1185.1kbits/s speed=1.94x    
frame= 3102 fps= 48 q=31.0 size=   18187kB time=00:02:05.63 bitrate=1185.9kbits/s speed=1.93x    
frame= 3127 fps= 48 q=31.0 size=   18312kB time=00:02:06.46 bitrate=1186.2kbits/s speed=1.93x    
frame= 3152 fps= 48 q=31.0 size=   18445kB time=00:02:07.30 bitrate=1186.9kbits/s speed=1.93x    
frame= 3177 fps= 48 q=31.0 size=   18577kB time=00:02:08.13 bitrate=1187.7kbits/s speed=1.93x    
frame= 3202 fps= 48 q=31.0 size=   18712kB time=00:02:08.96 bitrate=1188.6kbits/s speed=1.92x    
frame= 3227 fps= 48 q=31.0 size=   18846kB time=00:02:09.80 bitrate=1189.4kbits/s speed=1.92x    
frame= 3250 fps= 48 q=31.0 size=   18982kB time=00:02:10.56 bitrate=1191.0kbits/s speed=1.92x    
frame= 3275 fps= 48 q=31.0 size=   19119kB time=00:02:11.40 bitrate=1192.0kbits/s speed=1.92x    
frame= 3299 fps= 48 q=31.0 size=   19260kB time=00:02:12.20 bitrate=1193.5kbits/s speed=1.91x    
frame= 3324 fps= 48 q=31.0 size=   19404kB time=00:02:13.03 bitrate=1194.9kbits/s speed=1.91x    
frame= 3349 fps= 48 q=24.8 size=   19541kB time=00:02:13.86 bitrate=1195.8kbits/s speed=1.91x    
frame= 3374 fps= 48 q=31.0 size=   19679kB time=00:02:14.70 bitrate=1196.8kbits/s speed=1.91x    
frame= 3397 fps= 48 q=24.8 size=   19827kB time=00:02:15.46 bitrate=1199.0kbits/s speed=1.91x    
frame= 3420 fps= 48 q=31.0 size=   19963kB time=00:02:16.23 bitrate=1200.4kbits/s speed= 1.9x    
frame= 3445 fps= 48 q=24.8 size=   20102kB time=00:02:17.06 bitrate=1201.4kbits/s speed= 1.9x    
frame= 3468 fps= 48 q=31.0 size=   20240kB time=00:02:17.83 bitrate=1202.9kbits/s speed= 1.9x    
frame= 3493 fps= 48 q=24.8 size=   20377kB time=00:02:18.66 bitrate=1203.8kbits/s speed= 1.9x    
frame= 3515 fps= 48 q=31.0 size=   20516kB time=00:02:19.40 bitrate=1205.6kbits/s speed=1.89x    
frame= 3539 fps= 48 q=31.0 size=   20660kB time=00:02:20.20 bitrate=1207.2kbits/s speed=1.89x    
frame= 3563 fps= 48 q=31.0 size=   20798kB time=00:02:21.00 bitrate=1208.4kbits/s speed=1.89x    
frame= 3589 fps= 48 q=24.8 size=   20945kB time=00:02:21.86 bitrate=1209.5kbits/s speed=1.89x    
frame= 3613 fps= 48 q=24.8 size=   21101kB time=00:02:22.66 bitrate=1211.6kbits/s speed=1.89x    
frame= 3638 fps= 48 q=31.0 size=   21379kB time=00:02:24.30 bitrate=1213.7kbits/s speed=1.89x    
frame= 3663 fps= 48 q=31.0 size=   21553kB time=00:02:25.96 bitrate=1209.6kbits/s speed= 1.9x    
frame= 3688 fps= 48 q=31.0 size=   21727kB time=00:02:27.63 bitrate=1205.6kbits/s speed=1.91x    
frame= 3713 fps= 48 q=31.0 size=   21880kB time=00:02:29.30 bitrate=1200.5kbits/s speed=1.92x    
frame= 3738 fps= 48 q=31.0 size=   22036kB time=00:02:30.96 bitrate=1195.7kbits/s speed=1.93x    
frame= 3763 fps= 48 q=31.0 size=   22186kB time=00:02:32.63 bitrate=1190.7kbits/s speed=1.94x    
