ffmpeg version 3.1.7 Copyright (c) 2000-2017 the FFmpeg developers
  built with gcc 5.4.0 (GCC)
  configuration: --disable-static --prefix=/cvmfs/soft.computecanada.ca/nix/store/n7qiyrcpyixibg8mijm826nb3hdb23j1-ffmpeg-3.1.7 --enable-gpl --enable-version3 --enable-shared --disable-static --enable-pic --enable-runtime-cpudetect --enable-hardcoded-tables --enable-pthreads --disable-w32threads --disable-os2threads --enable-network --enable-pixelutils --enable-ffmpeg --disable-ffplay --enable-ffprobe --disable-ffserver --enable-avcodec --enable-avdevice --enable-avfilter --enable-avformat --enable-avresample --enable-avutil --enable-postproc --enable-swresample --enable-swscale --disable-doc --enable-bzlib --enable-gnutls --enable-fontconfig --enable-libfreetype --enable-libmp3lame --enable-iconv --enable-libtheora --enable-vaapi --enable-vdpau --enable-libvorbis --enable-libvpx --enable-lzma --disable-opengl --enable-libpulse --enable-sdl --enable-libsoxr --enable-libx264 --enable-libxvid --enable-zlib --enable-libopus --enable-libx265 --disable-debug --enable-optimizations --disable-extra-warnings --disable-stripping
  libavutil      55. 28.100 / 55. 28.100
  libavcodec     57. 48.101 / 57. 48.101
  libavformat    57. 41.100 / 57. 41.100
  libavdevice    57.  0.101 / 57.  0.101
  libavfilter     6. 47.100 /  6. 47.100
  libavresample   3.  0.  0 /  3.  0.  0
  libswscale      4.  1.100 /  4.  1.100
  libswresample   2.  1.100 /  2.  1.100
  libpostproc    54.  0.100 / 54.  0.100
Input #0, mov,mp4,m4a,3gp,3g2,mj2, from '/project/6001934/lingheng/ROM_Video_Process/ROM_raw_videos/Oct_03/Camera2_Oct_03_1400_1500_Parameterized_Learning_Agent.mp4':
  Metadata:
    major_brand     : isom
    minor_version   : 1
    compatible_brands: isom
    creation_time   : 2018-10-03 20:08:59
  Duration: 01:00:02.37, start: 0.000000, bitrate: 754 kb/s
    Stream #0:0(und): Video: h264 (Main) (avc1 / 0x31637661), yuvj420p(pc, bt709), 1920x1080 [SAR 1:1 DAR 16:9], 734 kb/s, 25.94 fps, 30 tbr, 16k tbn, 60 tbc (default)
    Metadata:
      handler_name    : VideoHandler
    Stream #0:1(und): Audio: aac (LC) (mp4a / 0x6134706D), 16000 Hz, mono, fltp, 16 kb/s (default)
    Metadata:
      creation_time   : 2018-10-03 20:09:05
      handler_name    : GPAC ISO Audio Handler
    Stream #0:2(eng): Subtitle: mov_text (tx3g / 0x67337874), 800x60, 0 kb/s (default)
    Metadata:
      rotate          : 0
      creation_time   : 2018-10-03 20:09:05
      handler_name    : 231434f9fd6545f1a54b00153801ae2c.subtitles.ttxt:hdlr=sbtl:lang=en:group=2:layer=1 - Imported with GPAC 0.5.0-rev4065
Input #1, png_pipe, from '/project/6001934/lingheng/ROM_Video_Process/Openpose_Video_Analysis_Code/camera2_transparent_img.png':
  Duration: N/A, bitrate: N/A
    Stream #1:0: Video: png, rgba(pc), 1920x1080, 25 tbr, 25 tbn, 25 tbc
[swscaler @ 0x113cd00] deprecated pixel format used, make sure you did set range correctly
[avi @ 0xe7a7e0] Using AVStream.codec to pass codec parameters to muxers is deprecated, use AVStream.codecpar instead.
    Last message repeated 1 times
Output #0, avi, to '/project/6001934/lingheng/ROM_Video_Process/ROM_raw_videos_with_interst_area_ffmpeg_new2/Oct_03/Camera2_Oct_03_1400_1500_Parameterized_Learning_Agent_ffmpeg_with_interest_area.avi':
  Metadata:
    major_brand     : isom
    minor_version   : 1
    compatible_brands: isom
    ISFT            : Lavf57.41.100
    Stream #0:0: Video: mpeg4 (FMP4 / 0x34504D46), yuv420p, 1920x1080 [SAR 1:1 DAR 16:9], q=2-31, 200 kb/s, 30 fps, 30 tbn, 30 tbc (default)
    Metadata:
      encoder         : Lavc57.48.101 mpeg4
    Side data:
      cpb: bitrate max/min/avg: 0/0/200000 buffer size: 0 vbv_delay: -1
    Stream #0:1(und): Audio: aac (LC) ([255][0][0][0] / 0x00FF), 16000 Hz, mono, 16 kb/s (default)
    Metadata:
      creation_time   : 2018-10-03 20:09:05
      handler_name    : GPAC ISO Audio Handler
Stream mapping:
  Stream #0:0 (h264) -> overlay:main
  Stream #1:0 (png) -> overlay:overlay
  overlay -> Stream #0:0 (mpeg4)
  Stream #0:1 -> #0:1 (copy)
Press [q] to stop, [?] for help
frame=   15 fps=0.0 q=30.7 size=      10kB time=00:00:00.53 bitrate= 149.8kbits/s speed=1.04x    
frame=   36 fps= 35 q=31.0 size=     416kB time=00:00:01.23 bitrate=2760.2kbits/s speed=1.21x    
frame=   60 fps= 39 q=31.0 size=     485kB time=00:00:02.03 bitrate=1953.6kbits/s speed=1.34x    
frame=   85 fps= 42 q=24.8 size=     624kB time=00:00:02.86 bitrate=1784.1kbits/s speed=1.42x    
frame=  110 fps= 44 q=31.0 size=     753kB time=00:00:03.70 bitrate=1668.1kbits/s speed=1.47x    
frame=  135 fps= 45 q=31.0 size=     819kB time=00:00:04.53 bitrate=1479.4kbits/s speed= 1.5x    
frame=  160 fps= 45 q=31.0 size=     999kB time=00:00:05.36 bitrate=1525.0kbits/s speed=1.52x    
frame=  185 fps= 46 q=31.0 size=    1134kB time=00:00:06.20 bitrate=1497.8kbits/s speed=1.54x    
frame=  209 fps= 46 q=31.0 size=    1258kB time=00:00:07.00 bitrate=1472.4kbits/s speed=1.54x    
frame=  235 fps= 47 q=31.0 size=    1380kB time=00:00:07.86 bitrate=1437.1kbits/s speed=1.56x    
frame=  260 fps= 47 q=31.0 size=    1517kB time=00:00:08.70 bitrate=1428.4kbits/s speed=1.57x    
frame=  285 fps= 47 q=31.0 size=    1655kB time=00:00:09.53 bitrate=1422.4kbits/s speed=1.58x    
frame=  310 fps= 47 q=31.0 size=    1797kB time=00:00:10.36 bitrate=1420.1kbits/s speed=1.58x    
frame=  335 fps= 48 q=31.0 size=    1934kB time=00:00:11.20 bitrate=1414.6kbits/s speed=1.59x    
frame=  359 fps= 47 q=31.0 size=    2070kB time=00:00:12.03 bitrate=1409.5kbits/s speed=1.59x    
frame=  384 fps= 48 q=31.0 size=    2208kB time=00:00:12.86 bitrate=1405.6kbits/s speed=1.59x    
frame=  409 fps= 48 q=24.8 size=    2334kB time=00:00:13.70 bitrate=1395.5kbits/s speed= 1.6x    
frame=  432 fps= 47 q=31.0 size=    2458kB time=00:00:14.46 bitrate=1392.1kbits/s speed=1.59x    
frame=  457 fps= 48 q=24.8 size=    2583kB time=00:00:15.30 bitrate=1382.8kbits/s speed=1.59x    
frame=  482 fps= 48 q=31.0 size=    2705kB time=00:00:16.13 bitrate=1373.4kbits/s speed= 1.6x    
frame=  507 fps= 48 q=31.0 size=    2828kB time=00:00:16.96 bitrate=1365.4kbits/s speed= 1.6x    
frame=  532 fps= 48 q=31.0 size=    2953kB time=00:00:17.80 bitrate=1359.2kbits/s speed= 1.6x    
frame=  558 fps= 48 q=31.0 size=    3080kB time=00:00:18.66 bitrate=1351.7kbits/s speed=1.61x    
frame=  583 fps= 48 q=31.0 size=    3250kB time=00:00:19.50 bitrate=1365.2kbits/s speed=1.61x    
frame=  608 fps= 48 q=31.0 size=    3378kB time=00:00:20.33 bitrate=1360.8kbits/s speed=1.61x    
frame=  633 fps= 48 q=31.0 size=    3506kB time=00:00:21.16 bitrate=1357.0kbits/s speed=1.61x    
frame=  658 fps= 48 q=31.0 size=    3638kB time=00:00:22.00 bitrate=1354.8kbits/s speed=1.61x    
frame=  683 fps= 48 q=31.0 size=    3766kB time=00:00:22.83 bitrate=1351.0kbits/s speed=1.61x    
frame=  704 fps= 48 q=31.0 size=    3884kB time=00:00:23.53 bitrate=1351.9kbits/s speed=1.61x    
frame=  729 fps= 48 q=31.0 size=    4012kB time=00:00:24.36 bitrate=1348.9kbits/s speed=1.61x    
frame=  754 fps= 48 q=31.0 size=    4137kB time=00:00:25.26 bitrate=1341.4kbits/s speed=1.61x    
frame=  775 fps= 48 q=31.0 size=    4283kB time=00:00:25.96 bitrate=1351.3kbits/s speed=1.61x    
frame=  800 fps= 48 q=31.0 size=    4409kB time=00:00:26.80 bitrate=1347.9kbits/s speed=1.61x    
frame=  823 fps= 48 q=31.0 size=    4531kB time=00:00:27.56 bitrate=1346.6kbits/s speed= 1.6x    
frame=  848 fps= 48 q=31.0 size=    4654kB time=00:00:28.40 bitrate=1342.6kbits/s speed= 1.6x    
frame=  873 fps= 48 q=31.0 size=    4778kB time=00:00:29.23 bitrate=1338.8kbits/s speed=1.61x    
frame=  898 fps= 48 q=31.0 size=    4900kB time=00:00:30.06 bitrate=1335.0kbits/s speed=1.61x    
frame=  923 fps= 48 q=31.0 size=    5024kB time=00:00:30.90 bitrate=1331.8kbits/s speed=1.61x    
frame=  948 fps= 48 q=31.0 size=    5155kB time=00:00:31.73 bitrate=1330.8kbits/s speed=1.61x    
frame=  973 fps= 48 q=24.8 size=    5292kB time=00:00:32.56 bitrate=1331.1kbits/s speed=1.61x    
frame=  998 fps= 48 q=31.0 size=    5433kB time=00:00:33.40 bitrate=1332.5kbits/s speed=1.61x    
frame= 1021 fps= 48 q=24.8 size=    5574kB time=00:00:34.16 bitrate=1336.6kbits/s speed=1.61x    
frame= 1046 fps= 48 q=31.0 size=    5722kB time=00:00:35.00 bitrate=1339.3kbits/s speed=1.61x    
frame= 1071 fps= 48 q=31.0 size=    5886kB time=00:00:35.83 bitrate=1345.7kbits/s speed=1.61x    
frame= 1095 fps= 48 q=31.0 size=    6041kB time=00:00:36.66 bitrate=1349.6kbits/s speed=1.61x    
frame= 1120 fps= 48 q=31.0 size=    6198kB time=00:00:37.50 bitrate=1353.9kbits/s speed=1.61x    
frame= 1145 fps= 48 q=31.0 size=    6343kB time=00:00:38.33 bitrate=1355.4kbits/s speed=1.61x    
frame= 1170 fps= 48 q=31.0 size=    6481kB time=00:00:39.16 bitrate=1355.5kbits/s speed=1.61x    
frame= 1195 fps= 48 q=31.0 size=    6657kB time=00:00:40.00 bitrate=1363.4kbits/s speed=1.61x    
frame= 1218 fps= 48 q=31.0 size=    6795kB time=00:00:40.76 bitrate=1365.5kbits/s speed=1.61x    
frame= 1243 fps= 48 q=31.0 size=    6930kB time=00:00:41.60 bitrate=1364.6kbits/s speed=1.61x    
frame= 1268 fps= 48 q=31.0 size=    7064kB time=00:00:42.43 bitrate=1363.8kbits/s speed=1.61x    
frame= 1294 fps= 48 q=31.0 size=    7201kB time=00:00:43.33 bitrate=1361.4kbits/s speed=1.61x    
frame= 1317 fps= 48 q=31.0 size=    7351kB time=00:00:44.10 bitrate=1365.6kbits/s speed=1.61x    
frame= 1340 fps= 48 q=31.0 size=    7483kB time=00:00:44.86 bitrate=1366.3kbits/s speed=1.61x    
frame= 1365 fps= 48 q=31.0 size=    7617kB time=00:00:45.70 bitrate=1365.5kbits/s speed=1.61x    
frame= 1390 fps= 48 q=31.0 size=    7751kB time=00:00:46.53 bitrate=1364.6kbits/s speed=1.61x    
frame= 1415 fps= 48 q=31.0 size=    7880kB time=00:00:47.36 bitrate=1362.8kbits/s speed=1.61x    
frame= 1440 fps= 48 q=31.0 size=    8007kB time=00:00:48.20 bitrate=1360.9kbits/s speed=1.61x    
frame= 1464 fps= 48 q=31.0 size=    8135kB time=00:00:49.00 bitrate=1360.0kbits/s speed=1.61x    
frame= 1488 fps= 48 q=31.0 size=    8261kB time=00:00:49.80 bitrate=1358.9kbits/s speed=1.61x    
frame= 1514 fps= 48 q=31.0 size=    8391kB time=00:00:50.66 bitrate=1356.7kbits/s speed=1.61x    
frame= 1539 fps= 48 q=31.0 size=    8520kB time=00:00:51.50 bitrate=1355.3kbits/s speed=1.61x    
frame= 1563 fps= 48 q=31.0 size=    8653kB time=00:00:52.33 bitrate=1354.5kbits/s speed=1.61x    
frame= 1588 fps= 48 q=31.0 size=    8798kB time=00:00:53.16 bitrate=1355.6kbits/s speed=1.61x    
frame= 1613 fps= 48 q=31.0 size=    8975kB time=00:00:54.00 bitrate=1361.5kbits/s speed=1.61x    
frame= 1638 fps= 48 q=31.0 size=    9110kB time=00:00:54.83 bitrate=1361.1kbits/s speed=1.61x    
frame= 1663 fps= 48 q=31.0 size=    9239kB time=00:00:55.66 bitrate=1359.6kbits/s speed=1.61x    
frame= 1688 fps= 48 q=31.0 size=    9373kB time=00:00:56.50 bitrate=1359.0kbits/s speed=1.61x    
frame= 1713 fps= 48 q=31.0 size=    9507kB time=00:00:57.33 bitrate=1358.4kbits/s speed=1.61x    
frame= 1738 fps= 48 q=31.0 size=    9639kB time=00:00:58.16 bitrate=1357.5kbits/s speed=1.62x    
frame= 1763 fps= 48 q=31.0 size=    9772kB time=00:00:59.00 bitrate=1356.8kbits/s speed=1.62x    
frame= 1788 fps= 48 q=31.0 size=    9899kB time=00:00:59.83 bitrate=1355.3kbits/s speed=1.62x    
frame= 1813 fps= 48 q=24.8 size=   10025kB time=00:01:00.66 bitrate=1353.7kbits/s speed=1.62x    
frame= 1838 fps= 48 q=31.0 size=   10151kB time=00:01:01.50 bitrate=1352.1kbits/s speed=1.62x    
frame= 1863 fps= 48 q=31.0 size=   10280kB time=00:01:02.33 bitrate=1351.0kbits/s speed=1.62x    
frame= 1888 fps= 48 q=31.0 size=   10407kB time=00:01:03.16 bitrate=1349.6kbits/s speed=1.62x    
frame= 1911 fps= 48 q=31.0 size=   10525kB time=00:01:03.93 bitrate=1348.7kbits/s speed=1.62x    
frame= 1936 fps= 48 q=31.0 size=   10648kB time=00:01:04.76 bitrate=1346.8kbits/s speed=1.62x    
frame= 1961 fps= 48 q=31.0 size=   10773kB time=00:01:05.60 bitrate=1345.3kbits/s speed=1.62x    
frame= 1984 fps= 48 q=31.0 size=   10900kB time=00:01:06.36 bitrate=1345.4kbits/s speed=1.61x    
frame= 2009 fps= 48 q=31.0 size=   11021kB time=00:01:07.20 bitrate=1343.6kbits/s speed=1.62x    
frame= 2034 fps= 48 q=31.0 size=   11197kB time=00:01:08.03 bitrate=1348.2kbits/s speed=1.61x    
frame= 2061 fps= 48 q=31.0 size=   11327kB time=00:01:08.93 bitrate=1346.1kbits/s speed=1.62x    
frame= 2086 fps= 48 q=31.0 size=   11462kB time=00:01:09.76 bitrate=1345.9kbits/s speed=1.62x    
frame= 2111 fps= 48 q=31.0 size=   11592kB time=00:01:10.60 bitrate=1345.1kbits/s speed=1.62x    
frame= 2134 fps= 48 q=31.0 size=   11724kB time=00:01:11.36 bitrate=1345.8kbits/s speed=1.62x    
frame= 2159 fps= 48 q=31.0 size=   11859kB time=00:01:12.20 bitrate=1345.5kbits/s speed=1.62x    
frame= 2182 fps= 48 q=31.0 size=   12007kB time=00:01:12.96 bitrate=1348.0kbits/s speed=1.61x    
frame= 2207 fps= 48 q=31.0 size=   12157kB time=00:01:13.80 bitrate=1349.5kbits/s speed=1.62x    
frame= 2233 fps= 48 q=24.8 size=   12304kB time=00:01:14.66 bitrate=1349.9kbits/s speed=1.62x    
frame= 2258 fps= 48 q=31.0 size=   12443kB time=00:01:15.50 bitrate=1350.1kbits/s speed=1.62x    
frame= 2281 fps= 48 q=24.8 size=   12571kB time=00:01:16.26 bitrate=1350.3kbits/s speed=1.62x    
frame= 2306 fps= 48 q=31.0 size=   12704kB time=00:01:17.10 bitrate=1349.8kbits/s speed=1.62x    
frame= 2331 fps= 48 q=31.0 size=   12849kB time=00:01:17.93 bitrate=1350.6kbits/s speed=1.62x    
frame= 2352 fps= 48 q=31.0 size=   12995kB time=00:01:18.63 bitrate=1353.8kbits/s speed=1.61x    
frame= 2377 fps= 48 q=24.8 size=   13145kB time=00:01:19.46 bitrate=1355.0kbits/s speed=1.61x    
frame= 2402 fps= 48 q=31.0 size=   13294kB time=00:01:20.30 bitrate=1356.2kbits/s speed=1.61x    
frame= 2427 fps= 48 q=31.0 size=   13450kB time=00:01:21.13 bitrate=1358.0kbits/s speed=1.61x    
frame= 2452 fps= 48 q=31.0 size=   13615kB time=00:01:21.96 bitrate=1360.8kbits/s speed=1.61x    
frame= 2477 fps= 48 q=31.0 size=   13769kB time=00:01:22.80 bitrate=1362.3kbits/s speed=1.61x    
frame= 2502 fps= 48 q=31.0 size=   13919kB time=00:01:23.63 bitrate=1363.3kbits/s speed=1.61x    
frame= 2527 fps= 48 q=31.0 size=   14109kB time=00:01:24.46 bitrate=1368.4kbits/s speed=1.61x    
frame= 2552 fps= 48 q=31.0 size=   14261kB time=00:01:25.30 bitrate=1369.6kbits/s speed=1.61x    
frame= 2575 fps= 48 q=31.0 size=   14416kB time=00:01:26.06 bitrate=1372.2kbits/s speed=1.61x    
frame= 2600 fps= 48 q=31.0 size=   14575kB time=00:01:26.90 bitrate=1374.0kbits/s speed=1.61x    
frame= 2625 fps= 48 q=31.0 size=   14726kB time=00:01:27.73 bitrate=1375.0kbits/s speed=1.61x    
frame= 2650 fps= 48 q=31.0 size=   14885kB time=00:01:28.56 bitrate=1376.8kbits/s speed=1.61x    
frame= 2675 fps= 48 q=31.0 size=   15037kB time=00:01:29.40 bitrate=1377.9kbits/s speed=1.61x    
frame= 2700 fps= 48 q=31.0 size=   15191kB time=00:01:30.23 bitrate=1379.2kbits/s speed=1.61x    
frame= 2725 fps= 48 q=24.8 size=   15338kB time=00:01:31.06 bitrate=1379.8kbits/s speed=1.62x    
frame= 2750 fps= 48 q=31.0 size=   15474kB time=00:01:31.90 bitrate=1379.4kbits/s speed=1.62x    
frame= 2775 fps= 48 q=31.0 size=   15605kB time=00:01:32.73 bitrate=1378.6kbits/s speed=1.62x    
frame= 2800 fps= 48 q=31.0 size=   15735kB time=00:01:33.56 bitrate=1377.7kbits/s speed=1.62x    
frame= 2825 fps= 48 q=31.0 size=   15913kB time=00:01:34.40 bitrate=1381.0kbits/s speed=1.62x    
frame= 2850 fps= 48 q=31.0 size=   15996kB time=00:01:35.23 bitrate=1376.0kbits/s speed=1.62x    
frame= 2875 fps= 48 q=31.0 size=   16167kB time=00:01:36.06 bitrate=1378.7kbits/s speed=1.62x    
frame= 2900 fps= 48 q=31.0 size=   16296kB time=00:01:36.90 bitrate=1377.7kbits/s speed=1.62x    
frame= 2923 fps= 48 q=31.0 size=   16431kB time=00:01:37.66 bitrate=1378.2kbits/s speed=1.62x    
frame= 2948 fps= 48 q=31.0 size=   16571kB time=00:01:38.50 bitrate=1378.1kbits/s speed=1.62x    
frame= 2973 fps= 48 q=31.0 size=   16709kB time=00:01:39.33 bitrate=1377.9kbits/s speed=1.62x    
frame= 2998 fps= 48 q=31.0 size=   16845kB time=00:01:40.16 bitrate=1377.7kbits/s speed=1.62x    
frame= 3023 fps= 48 q=31.0 size=   16986kB time=00:01:41.00 bitrate=1377.7kbits/s speed=1.62x    
frame= 3046 fps= 48 q=31.0 size=   17129kB time=00:01:41.76 bitrate=1378.8kbits/s speed=1.62x    
frame= 3071 fps= 48 q=31.0 size=   17268kB time=00:01:42.60 bitrate=1378.7kbits/s speed=1.62x    
frame= 3097 fps= 48 q=24.8 size=   17404kB time=00:01:43.46 bitrate=1378.0kbits/s speed=1.62x    
frame= 3120 fps= 48 q=31.0 size=   17535kB time=00:01:44.23 bitrate=1378.1kbits/s speed=1.62x    
frame= 3145 fps= 48 q=24.8 size=   17664kB time=00:01:45.06 bitrate=1377.2kbits/s speed=1.62x    
frame= 3170 fps= 48 q=31.0 size=   17797kB time=00:01:45.90 bitrate=1376.7kbits/s speed=1.62x    
frame= 3195 fps= 48 q=31.0 size=   17930kB time=00:01:46.73 bitrate=1376.2kbits/s speed=1.62x    
frame= 3220 fps= 48 q=31.0 size=   18060kB time=00:01:47.56 bitrate=1375.4kbits/s speed=1.62x    
frame= 3245 fps= 48 q=31.0 size=   18236kB time=00:01:48.40 bitrate=1378.1kbits/s speed=1.62x    
frame= 3270 fps= 48 q=31.0 size=   18375kB time=00:01:49.23 bitrate=1378.0kbits/s speed=1.62x    
frame= 3295 fps= 48 q=31.0 size=   18513kB time=00:01:50.06 bitrate=1377.9kbits/s speed=1.62x    
frame= 3320 fps= 48 q=31.0 size=   18655kB time=00:01:50.90 bitrate=1378.0kbits/s speed=1.62x    
frame= 3345 fps= 48 q=31.0 size=   18793kB time=00:01:51.73 bitrate=1377.8kbits/s speed=1.62x    
frame= 3370 fps= 48 q=31.0 size=   18929kB time=00:01:52.56 bitrate=1377.5kbits/s speed=1.62x    
frame= 3395 fps= 48 q=31.0 size=   19063kB time=00:01:53.40 bitrate=1377.1kbits/s speed=1.62x    
frame= 3420 fps= 48 q=31.0 size=   19197kB time=00:01:54.23 bitrate=1376.7kbits/s speed=1.62x    
frame= 3445 fps= 48 q=24.8 size=   19330kB time=00:01:55.06 bitrate=1376.2kbits/s speed=1.62x    
frame= 3470 fps= 48 q=31.0 size=   19465kB time=00:01:55.90 bitrate=1375.8kbits/s speed=1.62x    
frame= 3495 fps= 48 q=31.0 size=   19600kB time=00:01:56.73 bitrate=1375.5kbits/s speed=1.62x    
frame= 3520 fps= 48 q=31.0 size=   19735kB time=00:01:57.56 bitrate=1375.1kbits/s speed=1.62x    
frame= 3545 fps= 48 q=31.0 size=   19867kB time=00:01:58.40 bitrate=1374.6kbits/s speed=1.62x    
frame= 3570 fps= 48 q=31.0 size=   19996kB time=00:01:59.23 bitrate=1373.8kbits/s speed=1.62x    
frame= 3595 fps= 48 q=31.0 size=   20167kB time=00:02:00.06 bitrate=1375.9kbits/s speed=1.62x    
frame= 3620 fps= 48 q=31.0 size=   20294kB time=00:02:00.90 bitrate=1375.1kbits/s speed=1.62x    
frame= 3645 fps= 48 q=31.0 size=   20422kB time=00:02:01.73 bitrate=1374.3kbits/s speed=1.62x    
frame= 3670 fps= 48 q=31.0 size=   20553kB time=00:02:02.56 bitrate=1373.7kbits/s speed=1.62x    
frame= 3693 fps= 48 q=31.0 size=   20678kB time=00:02:03.33 bitrate=1373.5kbits/s speed=1.62x    
frame= 3718 fps= 48 q=31.0 size=   20806kB time=00:02:04.16 bitrate=1372.7kbits/s speed=1.62x    
frame= 3742 fps= 48 q=31.0 size=   20936kB time=00:02:04.96 bitrate=1372.5kbits/s speed=1.62x    
frame= 3767 fps= 48 q=31.0 size=   21138kB time=00:02:06.56 bitrate=1368.2kbits/s speed=1.63x    
frame= 3792 fps= 48 q=31.0 size=   21280kB time=00:02:08.30 bitrate=1358.7kbits/s speed=1.64x    
