ffmpeg version 3.1.7 Copyright (c) 2000-2017 the FFmpeg developers
  built with gcc 5.4.0 (GCC)
  configuration: --disable-static --prefix=/cvmfs/soft.computecanada.ca/nix/store/n7qiyrcpyixibg8mijm826nb3hdb23j1-ffmpeg-3.1.7 --enable-gpl --enable-version3 --enable-shared --disable-static --enable-pic --enable-runtime-cpudetect --enable-hardcoded-tables --enable-pthreads --disable-w32threads --disable-os2threads --enable-network --enable-pixelutils --enable-ffmpeg --disable-ffplay --enable-ffprobe --disable-ffserver --enable-avcodec --enable-avdevice --enable-avfilter --enable-avformat --enable-avresample --enable-avutil --enable-postproc --enable-swresample --enable-swscale --disable-doc --enable-bzlib --enable-gnutls --enable-fontconfig --enable-libfreetype --enable-libmp3lame --enable-iconv --enable-libtheora --enable-vaapi --enable-vdpau --enable-libvorbis --enable-libvpx --enable-lzma --disable-opengl --enable-libpulse --enable-sdl --enable-libsoxr --enable-libx264 --enable-libxvid --enable-zlib --enable-libopus --enable-libx265 --disable-debug --enable-optimizations --disable-extra-warnings --disable-stripping
  libavutil      55. 28.100 / 55. 28.100
  libavcodec     57. 48.101 / 57. 48.101
  libavformat    57. 41.100 / 57. 41.100
  libavdevice    57.  0.101 / 57.  0.101
  libavfilter     6. 47.100 /  6. 47.100
  libavresample   3.  0.  0 /  3.  0.  0
  libswscale      4.  1.100 /  4.  1.100
  libswresample   2.  1.100 /  2.  1.100
  libpostproc    54.  0.100 / 54.  0.100
Input #0, mov,mp4,m4a,3gp,3g2,mj2, from '/project/6001934/lingheng/ROM_Video_Process/ROM_raw_videos/Oct_03/Camera2_Oct_03_1500_1600_Prescribed_behavior.mp4':
  Metadata:
    major_brand     : isom
    minor_version   : 1
    compatible_brands: isom
    creation_time   : 2018-10-03 20:14:29
  Duration: 01:00:00.00, start: 0.000000, bitrate: 724 kb/s
    Stream #0:0(und): Video: h264 (Main) (avc1 / 0x31637661), yuvj420p(pc, bt709), 1920x1080 [SAR 1:1 DAR 16:9], 705 kb/s, 24.69 fps, 30 tbr, 16k tbn, 30 tbc (default)
    Metadata:
      handler_name    : VideoHandler
    Stream #0:1(und): Audio: aac (LC) (mp4a / 0x6134706D), 16000 Hz, mono, fltp, 16 kb/s (default)
    Metadata:
      creation_time   : 2018-10-03 20:14:34
      handler_name    : GPAC ISO Audio Handler
    Stream #0:2(eng): Subtitle: mov_text (tx3g / 0x67337874), 800x60, 0 kb/s (default)
    Metadata:
      rotate          : 0
      creation_time   : 2018-10-03 20:14:34
      handler_name    : 54c7aa25c159423092ec638ed6d9f8ae.subtitles.ttxt:hdlr=sbtl:lang=en:group=2:layer=1 - Imported with GPAC 0.5.0-rev4065
Input #1, png_pipe, from '/project/6001934/lingheng/ROM_Video_Process/Openpose_Video_Analysis_Code/camera2_transparent_img.png':
  Duration: N/A, bitrate: N/A
    Stream #1:0: Video: png, rgba(pc), 1920x1080, 25 tbr, 25 tbn, 25 tbc
[swscaler @ 0x18a3a80] deprecated pixel format used, make sure you did set range correctly
[libx264 @ 0x1883200] using SAR=1/1
[libx264 @ 0x1883200] using cpu capabilities: MMX2 SSE2Fast SSSE3 SSE4.2 AVX FMA3 AVX2 LZCNT BMI2
[libx264 @ 0x1883200] profile High, level 4.0
[libx264 @ 0x1883200] 264 - core 148 - H.264/MPEG-4 AVC codec - Copyleft 2003-2016 - http://www.videolan.org/x264.html - options: cabac=1 ref=3 deblock=1:0:0 analyse=0x3:0x113 me=hex subme=7 psy=1 psy_rd=1.00:0.00 mixed_ref=1 me_range=16 chroma_me=1 trellis=1 8x8dct=1 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=-2 threads=3 lookahead_threads=1 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=15 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=crf mbtree=1 crf=23.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
[mp4 @ 0x1b56200] Using AVStream.codec to pass codec parameters to muxers is deprecated, use AVStream.codecpar instead.
    Last message repeated 1 times
Output #0, mp4, to '/project/6001934/lingheng/ROM_Video_Process/ROM_raw_videos_with_interst_area_ffmpeg_new3/Oct_03/Camera2_Oct_03_1500_1600_Prescribed_behavior_ffmpeg_with_interest_area.mp4':
  Metadata:
    major_brand     : isom
    minor_version   : 1
    compatible_brands: isom
    encoder         : Lavf57.41.100
    Stream #0:0: Video: h264 (libx264) ([33][0][0][0] / 0x0021), yuv420p, 1920x1080 [SAR 1:1 DAR 16:9], q=-1--1, 15 fps, 15360 tbn, 15 tbc (default)
    Metadata:
      encoder         : Lavc57.48.101 libx264
    Side data:
      cpb: bitrate max/min/avg: 0/0/0 buffer size: 0 vbv_delay: -1
    Stream #0:1(und): Audio: aac (LC) ([64][0][0][0] / 0x0040), 16000 Hz, mono, 16 kb/s (default)
    Metadata:
      creation_time   : 2018-10-03 20:14:34
      handler_name    : GPAC ISO Audio Handler
Stream mapping:
  Stream #0:0 (h264) -> overlay:main
  Stream #1:0 (png) -> overlay:overlay
  overlay -> Stream #0:0 (libx264)
  Stream #0:1 -> #0:1 (copy)
Press [q] to stop, [?] for help
frame=   22 fps=0.0 q=0.0 size=       0kB time=00:00:00.96 bitrate=   0.4kbits/s dup=1 drop=0 speed=1.91x    
frame=   47 fps= 41 q=0.0 size=       0kB time=00:00:02.75 bitrate=   0.1kbits/s dup=1 drop=0 speed=2.38x    
frame=   58 fps= 34 q=27.0 size=     232kB time=00:00:03.20 bitrate= 593.3kbits/s dup=1 drop=0 speed=1.89x    
frame=   69 fps= 31 q=27.0 size=     270kB time=00:00:04.09 bitrate= 540.6kbits/s dup=1 drop=0 speed=1.85x    
frame=   81 fps= 30 q=27.0 size=     311kB time=00:00:04.99 bitrate= 510.3kbits/s dup=1 drop=0 speed=1.83x    
frame=   93 fps= 28 q=27.0 size=     354kB time=00:00:05.44 bitrate= 533.1kbits/s dup=1 drop=0 speed=1.66x    
frame=  102 fps= 26 q=27.0 size=     433kB time=00:00:06.33 bitrate= 559.6kbits/s dup=1 drop=0 speed=1.64x    
frame=  110 fps= 24 q=27.0 size=     594kB time=00:00:06.78 bitrate= 717.9kbits/s dup=1 drop=0 speed=1.49x    
frame=  120 fps= 24 q=27.0 size=     629kB time=00:00:07.23 bitrate= 712.7kbits/s dup=1 drop=0 speed=1.43x    
frame=  132 fps= 24 q=27.0 size=     682kB time=00:00:08.12 bitrate= 687.4kbits/s dup=1 drop=0 speed=1.45x    
frame=  142 fps= 23 q=27.0 size=     730kB time=00:00:08.64 bitrate= 691.8kbits/s dup=1 drop=0 speed=1.41x    
frame=  154 fps= 23 q=27.0 size=     786kB time=00:00:09.47 bitrate= 680.2kbits/s dup=1 drop=0 speed=1.43x    
frame=  163 fps= 23 q=27.0 size=     823kB time=00:00:09.98 bitrate= 675.1kbits/s dup=1 drop=0 speed= 1.4x    
frame=  172 fps= 22 q=27.0 size=     969kB time=00:00:10.81 bitrate= 733.6kbits/s dup=1 drop=0 speed=1.41x    
frame=  182 fps= 22 q=27.0 size=    1019kB time=00:00:11.26 bitrate= 740.9kbits/s dup=1 drop=0 speed=1.38x    
frame=  193 fps= 22 q=27.0 size=    1072kB time=00:00:12.16 bitrate= 721.9kbits/s dup=1 drop=0 speed= 1.4x    
frame=  204 fps= 22 q=27.0 size=    1109kB time=00:00:12.60 bitrate= 720.4kbits/s dup=1 drop=0 speed=1.36x    
frame=  216 fps= 22 q=27.0 size=    1145kB time=00:00:13.50 bitrate= 694.8kbits/s dup=1 drop=0 speed=1.38x    
frame=  224 fps= 22 q=27.0 size=    1198kB time=00:00:14.01 bitrate= 700.3kbits/s dup=1 drop=0 speed=1.36x    
frame=  231 fps= 21 q=27.0 size=    1328kB time=00:00:14.46 bitrate= 752.0kbits/s dup=1 drop=0 speed=1.34x    
frame=  242 fps= 21 q=27.0 size=    1394kB time=00:00:15.29 bitrate= 746.7kbits/s dup=1 drop=0 speed=1.34x    
frame=  251 fps= 21 q=27.0 size=    1449kB time=00:00:15.74 bitrate= 753.7kbits/s dup=1 drop=0 speed=1.32x    
frame=  260 fps= 21 q=27.0 size=    1492kB time=00:00:16.44 bitrate= 742.9kbits/s dup=1 drop=0 speed=1.32x    
frame=  270 fps= 21 q=27.0 size=    1562kB time=00:00:17.08 bitrate= 748.8kbits/s dup=1 drop=0 speed=1.31x    
frame=  278 fps= 21 q=27.0 size=    1607kB time=00:00:17.60 bitrate= 747.9kbits/s dup=1 drop=0 speed= 1.3x    
frame=  288 fps= 20 q=27.0 size=    1649kB time=00:00:18.30 bitrate= 737.8kbits/s dup=1 drop=0 speed= 1.3x    
frame=  293 fps= 20 q=27.0 size=    1784kB time=00:00:18.62 bitrate= 784.9kbits/s dup=1 drop=0 speed=1.28x    
frame=  305 fps= 20 q=27.0 size=    2046kB time=00:00:19.45 bitrate= 861.6kbits/s dup=1 drop=0 speed=1.29x    
frame=  314 fps= 20 q=27.0 size=    2113kB time=00:00:20.03 bitrate= 864.1kbits/s dup=1 drop=0 speed=1.28x    
frame=  324 fps= 20 q=27.0 size=    2168kB time=00:00:20.67 bitrate= 859.0kbits/s dup=1 drop=0 speed=1.28x    
frame=  333 fps= 20 q=27.0 size=    2232kB time=00:00:21.31 bitrate= 858.1kbits/s dup=1 drop=0 speed=1.28x    
frame=  342 fps= 20 q=27.0 size=    2290kB time=00:00:21.88 bitrate= 857.2kbits/s dup=1 drop=0 speed=1.27x    
frame=  349 fps= 20 q=27.0 size=    2440kB time=00:00:22.33 bitrate= 894.8kbits/s dup=1 drop=0 speed=1.26x    
frame=  361 fps= 20 q=27.0 size=    2498kB time=00:00:23.16 bitrate= 883.4kbits/s dup=1 drop=0 speed=1.26x    
frame=  373 fps= 20 q=27.0 size=    2544kB time=00:00:23.93 bitrate= 870.6kbits/s dup=1 drop=0 speed=1.27x    
frame=  384 fps= 20 q=27.0 size=    2593kB time=00:00:24.70 bitrate= 859.8kbits/s dup=1 drop=0 speed=1.27x    
frame=  393 fps= 20 q=27.0 size=    2651kB time=00:00:25.28 bitrate= 858.9kbits/s dup=1 drop=0 speed=1.26x    
frame=  404 fps= 20 q=27.0 size=    2696kB time=00:00:26.04 bitrate= 848.0kbits/s dup=1 drop=0 speed=1.27x    
frame=  411 fps= 20 q=27.0 size=    2846kB time=00:00:26.49 bitrate= 879.9kbits/s dup=1 drop=0 speed=1.26x    
frame=  421 fps= 20 q=27.0 size=    2887kB time=00:00:27.13 bitrate= 871.5kbits/s dup=1 drop=0 speed=1.26x    
frame=  431 fps= 19 q=27.0 size=    2963kB time=00:00:27.84 bitrate= 872.0kbits/s dup=1 drop=0 speed=1.26x    
frame=  440 fps= 19 q=27.0 size=    3032kB time=00:00:28.41 bitrate= 874.0kbits/s dup=1 drop=0 speed=1.25x    
frame=  451 fps= 19 q=27.0 size=    3090kB time=00:00:29.18 bitrate= 867.5kbits/s dup=1 drop=0 speed=1.26x    
frame=  463 fps= 19 q=27.0 size=    3139kB time=00:00:29.95 bitrate= 858.4kbits/s dup=1 drop=0 speed=1.26x    
frame=  470 fps= 19 q=27.0 size=    3286kB time=00:00:30.40 bitrate= 885.4kbits/s dup=1 drop=0 speed=1.25x    
frame=  481 fps= 19 q=27.0 size=    3335kB time=00:00:31.16 bitrate= 876.6kbits/s dup=1 drop=0 speed=1.26x    
frame=  491 fps= 19 q=27.0 size=    3400kB time=00:00:31.80 bitrate= 875.6kbits/s dup=1 drop=0 speed=1.25x    
frame=  502 fps= 19 q=27.0 size=    3452kB time=00:00:32.57 bitrate= 868.2kbits/s dup=1 drop=0 speed=1.26x    
frame=  512 fps= 19 q=27.0 size=    3497kB time=00:00:33.21 bitrate= 862.5kbits/s dup=1 drop=0 speed=1.26x    
frame=  523 fps= 19 q=27.0 size=    3537kB time=00:00:33.98 bitrate= 852.5kbits/s dup=1 drop=0 speed=1.26x    
frame=  529 fps= 19 q=27.0 size=    3691kB time=00:00:34.36 bitrate= 879.8kbits/s dup=1 drop=0 speed=1.25x    
frame=  540 fps= 19 q=27.0 size=    3718kB time=00:00:35.07 bitrate= 868.5kbits/s dup=1 drop=0 speed=1.25x    
frame=  551 fps= 19 q=27.0 size=    4003kB time=00:00:35.84 bitrate= 914.9kbits/s dup=1 drop=0 speed=1.26x    
frame=  563 fps= 19 q=27.0 size=    4058kB time=00:00:36.60 bitrate= 908.0kbits/s dup=1 drop=0 speed=1.26x    
frame=  574 fps= 19 q=27.0 size=    4097kB time=00:00:37.37 bitrate= 897.9kbits/s dup=1 drop=0 speed=1.27x    
frame=  583 fps= 19 q=27.0 size=    4161kB time=00:00:37.95 bitrate= 898.2kbits/s dup=1 drop=0 speed=1.26x    
frame=  588 fps= 19 q=27.0 size=    4310kB time=00:00:38.27 bitrate= 922.6kbits/s dup=1 drop=0 speed=1.25x    
frame=  599 fps= 19 q=27.0 size=    4352kB time=00:00:39.04 bitrate= 913.3kbits/s dup=1 drop=0 speed=1.26x    
frame=  610 fps= 19 q=27.0 size=    4395kB time=00:00:39.74 bitrate= 905.9kbits/s dup=1 drop=0 speed=1.26x    
frame=  620 fps= 19 q=27.0 size=    4455kB time=00:00:40.44 bitrate= 902.2kbits/s dup=1 drop=0 speed=1.26x    
frame=  630 fps= 19 q=27.0 size=    4510kB time=00:00:41.15 bitrate= 897.9kbits/s dup=1 drop=0 speed=1.26x    
frame=  639 fps= 19 q=27.0 size=    4573kB time=00:00:41.79 bitrate= 896.4kbits/s dup=1 drop=0 speed=1.26x    
frame=  647 fps= 19 q=27.0 size=    4728kB time=00:00:42.30 bitrate= 915.6kbits/s dup=1 drop=0 speed=1.25x    
frame=  658 fps= 19 q=27.0 size=    4779kB time=00:00:43.00 bitrate= 910.3kbits/s dup=1 drop=0 speed=1.25x    
frame=  668 fps= 19 q=27.0 size=    4822kB time=00:00:43.71 bitrate= 903.6kbits/s dup=1 drop=0 speed=1.25x    
frame=  676 fps= 19 q=27.0 size=    4921kB time=00:00:44.22 bitrate= 911.5kbits/s dup=1 drop=0 speed=1.25x    
frame=  684 fps= 19 q=27.0 size=    4987kB time=00:00:44.73 bitrate= 913.2kbits/s dup=1 drop=0 speed=1.24x    
frame=  693 fps= 19 q=27.0 size=    5050kB time=00:00:45.37 bitrate= 911.6kbits/s dup=1 drop=0 speed=1.24x    
frame=  703 fps= 19 q=27.0 size=    5105kB time=00:00:46.01 bitrate= 908.9kbits/s dup=1 drop=0 speed=1.24x    
frame=  709 fps= 19 q=27.0 size=    5249kB time=00:00:46.40 bitrate= 926.8kbits/s dup=1 drop=0 speed=1.23x    
frame=  721 fps= 19 q=27.0 size=    5287kB time=00:00:47.23 bitrate= 917.0kbits/s dup=1 drop=0 speed=1.23x    
frame=  730 fps= 19 q=27.0 size=    5336kB time=00:00:47.80 bitrate= 914.4kbits/s dup=1 drop=0 speed=1.23x    
frame=  736 fps= 19 q=27.0 size=    5468kB time=00:00:48.25 bitrate= 928.3kbits/s dup=1 drop=0 speed=1.23x    
frame=  745 fps= 19 q=27.0 size=    5535kB time=00:00:48.83 bitrate= 928.5kbits/s dup=1 drop=0 speed=1.22x    
frame=  753 fps= 19 q=27.0 size=    5597kB time=00:00:49.34 bitrate= 929.3kbits/s dup=1 drop=0 speed=1.22x    
frame=  762 fps= 19 q=27.0 size=    5660kB time=00:00:49.98 bitrate= 927.7kbits/s dup=1 drop=0 speed=1.22x    
frame=  769 fps= 18 q=27.0 size=    5812kB time=00:00:50.43 bitrate= 944.1kbits/s dup=1 drop=0 speed=1.21x    
frame=  777 fps= 18 q=27.0 size=    5918kB time=00:00:50.94 bitrate= 951.7kbits/s dup=1 drop=0 speed=1.21x    
frame=  787 fps= 18 q=27.0 size=    5976kB time=00:00:51.64 bitrate= 947.8kbits/s dup=1 drop=0 speed=1.21x    
frame=  798 fps= 18 q=27.0 size=    6264kB time=00:00:52.35 bitrate= 980.2kbits/s dup=1 drop=0 speed=1.21x    
frame=  811 fps= 18 q=27.0 size=    6325kB time=00:00:53.24 bitrate= 973.1kbits/s dup=1 drop=0 speed=1.21x    
frame=  820 fps= 18 q=27.0 size=    6382kB time=00:00:53.82 bitrate= 971.3kbits/s dup=1 drop=0 speed=1.21x    
frame=  829 fps= 18 q=27.0 size=    6551kB time=00:00:54.40 bitrate= 986.5kbits/s dup=1 drop=0 speed=1.21x    
frame=  841 fps= 18 q=27.0 size=    6598kB time=00:00:55.23 bitrate= 978.6kbits/s dup=1 drop=0 speed=1.21x    
frame=  851 fps= 18 q=27.0 size=    6655kB time=00:00:55.93 bitrate= 974.7kbits/s dup=1 drop=0 speed=1.21x    
frame=  861 fps= 18 q=27.0 size=    6723kB time=00:00:56.57 bitrate= 973.4kbits/s dup=2 drop=0 speed=1.21x    
frame=  871 fps= 18 q=27.0 size=    6765kB time=00:00:57.21 bitrate= 968.5kbits/s dup=2 drop=0 speed=1.21x    
frame=  881 fps= 18 q=27.0 size=    6816kB time=00:00:57.92 bitrate= 964.0kbits/s dup=2 drop=0 speed=1.21x    
frame=  889 fps= 18 q=27.0 size=    6942kB time=00:00:58.43 bitrate= 973.3kbits/s dup=2 drop=0 speed=1.21x    
frame=  897 fps= 18 q=27.0 size=    7038kB time=00:00:58.94 bitrate= 978.1kbits/s dup=2 drop=0 speed= 1.2x    
frame=  905 fps= 18 q=27.0 size=    7098kB time=00:00:59.52 bitrate= 976.9kbits/s dup=2 drop=0 speed= 1.2x    
frame=  913 fps= 18 q=27.0 size=    7171kB time=00:01:00.03 bitrate= 978.6kbits/s dup=2 drop=0 speed= 1.2x    
frame=  921 fps= 18 q=27.0 size=    7241kB time=00:01:00.54 bitrate= 979.8kbits/s dup=2 drop=0 speed=1.19x    
frame=  930 fps= 18 q=27.0 size=    7301kB time=00:01:01.18 bitrate= 977.6kbits/s dup=2 drop=0 speed=1.19x    
frame=  939 fps= 18 q=27.0 size=    7375kB time=00:01:01.76 bitrate= 978.2kbits/s dup=2 drop=0 speed=1.19x    
frame=  947 fps= 18 q=27.0 size=    7526kB time=00:01:02.27 bitrate= 990.1kbits/s dup=2 drop=0 speed=1.19x    
frame=  959 fps= 18 q=27.0 size=    7588kB time=00:01:03.10 bitrate= 985.0kbits/s dup=2 drop=0 speed=1.19x    
frame=  966 fps= 18 q=27.0 size=    7664kB time=00:01:03.55 bitrate= 987.9kbits/s dup=2 drop=0 speed=1.19x    
frame=  975 fps= 18 q=27.0 size=    7761kB time=00:01:04.19 bitrate= 990.5kbits/s dup=2 drop=0 speed=1.19x    
frame=  985 fps= 18 q=27.0 size=    7797kB time=00:01:04.83 bitrate= 985.2kbits/s dup=2 drop=0 speed=1.19x    
frame=  997 fps= 18 q=27.0 size=    7846kB time=00:01:05.60 bitrate= 979.8kbits/s dup=2 drop=0 speed=1.19x    
frame= 1006 fps= 18 q=27.0 size=    7915kB time=00:01:06.24 bitrate= 978.9kbits/s dup=2 drop=0 speed=1.19x    
frame= 1011 fps= 18 q=27.0 size=    8081kB time=00:01:06.56 bitrate= 994.6kbits/s dup=2 drop=0 speed=1.19x    
frame= 1021 fps= 18 q=27.0 size=    8138kB time=00:01:07.20 bitrate= 992.0kbits/s dup=2 drop=0 speed=1.19x    
frame= 1031 fps= 18 q=27.0 size=    8219kB time=00:01:07.90 bitrate= 991.6kbits/s dup=2 drop=0 speed=1.19x    
frame= 1041 fps= 18 q=27.0 size=    8280kB time=00:01:08.54 bitrate= 989.5kbits/s dup=2 drop=0 speed=1.19x    
frame= 1050 fps= 18 q=27.0 size=    8597kB time=00:01:09.18 bitrate=1018.0kbits/s dup=2 drop=0 speed=1.19x    
frame= 1060 fps= 18 q=27.0 size=    8649kB time=00:01:09.82 bitrate=1014.7kbits/s dup=2 drop=0 speed=1.19x    
frame= 1069 fps= 18 q=27.0 size=    8815kB time=00:01:10.40 bitrate=1025.8kbits/s dup=2 drop=0 speed=1.18x    
frame= 1079 fps= 18 q=27.0 size=    8873kB time=00:01:11.10 bitrate=1022.3kbits/s dup=2 drop=0 speed=1.18x    
frame= 1087 fps= 18 q=27.0 size=    8932kB time=00:01:11.61 bitrate=1021.7kbits/s dup=2 drop=0 speed=1.18x    
frame= 1093 fps= 18 q=27.0 size=    9031kB time=00:01:12.00 bitrate=1027.5kbits/s dup=2 drop=0 speed=1.18x    
frame= 1102 fps= 18 q=27.0 size=    9095kB time=00:01:12.64 bitrate=1025.7kbits/s dup=2 drop=0 speed=1.18x    
frame= 1112 fps= 18 q=27.0 size=    9163kB time=00:01:13.28 bitrate=1024.3kbits/s dup=2 drop=0 speed=1.18x    
frame= 1121 fps= 18 q=27.0 size=    9233kB time=00:01:13.92 bitrate=1023.2kbits/s dup=2 drop=0 speed=1.18x    
frame= 1129 fps= 18 q=27.0 size=    9385kB time=00:01:14.43 bitrate=1032.9kbits/s dup=2 drop=0 speed=1.17x    
frame= 1138 fps= 18 q=27.0 size=    9461kB time=00:01:15.00 bitrate=1033.3kbits/s dup=2 drop=0 speed=1.17x    
frame= 1148 fps= 18 q=27.0 size=    9518kB time=00:01:15.71 bitrate=1029.9kbits/s dup=2 drop=0 speed=1.17x    
frame= 1158 fps= 18 q=27.0 size=    9574kB time=00:01:16.35 bitrate=1027.2kbits/s dup=2 drop=0 speed=1.17x    
frame= 1165 fps= 18 q=27.0 size=    9664kB time=00:01:16.80 bitrate=1030.9kbits/s dup=2 drop=0 speed=1.17x    
frame= 1174 fps= 18 q=27.0 size=    9747kB time=00:01:17.37 bitrate=1031.9kbits/s dup=2 drop=0 speed=1.17x    
frame= 1184 fps= 18 q=27.0 size=    9788kB time=00:01:18.08 bitrate=1026.9kbits/s dup=2 drop=0 speed=1.17x    
frame= 1191 fps= 18 q=27.0 size=    9935kB time=00:01:18.59 bitrate=1035.6kbits/s dup=2 drop=0 speed=1.17x    
frame= 1201 fps= 18 q=27.0 size=    9993kB time=00:01:19.23 bitrate=1033.2kbits/s dup=2 drop=0 speed=1.17x    
frame= 1211 fps= 18 q=27.0 size=   10055kB time=00:01:19.87 bitrate=1031.3kbits/s dup=2 drop=0 speed=1.17x    
frame= 1222 fps= 18 q=27.0 size=   10116kB time=00:01:20.64 bitrate=1027.7kbits/s dup=2 drop=0 speed=1.17x    
frame= 1230 fps= 18 q=27.0 size=   10198kB time=00:01:21.15 bitrate=1029.5kbits/s dup=2 drop=0 speed=1.17x    
frame= 1240 fps= 18 q=27.0 size=   10263kB time=00:01:21.85 bitrate=1027.1kbits/s dup=2 drop=0 speed=1.17x    
frame= 1248 fps= 18 q=27.0 size=   10411kB time=00:01:22.11 bitrate=1038.6kbits/s dup=2 drop=0 speed=1.17x    
frame= 1256 fps= 18 q=27.0 size=   10485kB time=00:01:22.68 bitrate=1038.8kbits/s dup=2 drop=8 speed=1.17x    
frame= 1264 fps= 18 q=27.0 size=   10548kB time=00:01:23.20 bitrate=1038.6kbits/s dup=2 drop=16 speed=1.16x    
frame= 1271 fps= 18 q=27.0 size=   10594kB time=00:01:23.64 bitrate=1037.5kbits/s dup=2 drop=23 speed=1.16x    
frame= 1279 fps= 18 q=27.0 size=   10645kB time=00:01:24.22 bitrate=1035.4kbits/s dup=2 drop=31 speed=1.16x    
frame= 1286 fps= 18 q=27.0 size=   10687kB time=00:01:24.67 bitrate=1034.0kbits/s dup=2 drop=38 speed=1.16x    
frame= 1292 fps= 18 q=27.0 size=   10730kB time=00:01:25.12 bitrate=1032.7kbits/s dup=2 drop=44 speed=1.16x    
frame= 1301 fps= 18 q=27.0 size=   10978kB time=00:01:25.82 bitrate=1047.8kbits/s dup=2 drop=50 speed=1.16x    
frame= 1308 fps= 18 q=27.0 size=   11107kB time=00:01:26.27 bitrate=1054.7kbits/s dup=2 drop=50 speed=1.16x    
frame= 1315 fps= 17 q=27.0 size=   11212kB time=00:01:26.78 bitrate=1058.3kbits/s dup=2 drop=50 speed=1.15x    
frame= 1323 fps= 17 q=27.0 size=   11324kB time=00:01:27.29 bitrate=1062.7kbits/s dup=2 drop=50 speed=1.15x    
frame= 1331 fps= 17 q=27.0 size=   11461kB time=00:01:27.80 bitrate=1069.2kbits/s dup=2 drop=50 speed=1.15x    
frame= 1339 fps= 17 q=27.0 size=   11558kB time=00:01:28.38 bitrate=1071.3kbits/s dup=2 drop=50 speed=1.15x    
frame= 1347 fps= 17 q=27.0 size=   11681kB time=00:01:28.89 bitrate=1076.4kbits/s dup=2 drop=50 speed=1.15x    
frame= 1358 fps= 17 q=27.0 size=   11724kB time=00:01:29.60 bitrate=1071.9kbits/s dup=2 drop=50 speed=1.15x    
frame= 1367 fps= 17 q=27.0 size=   11784kB time=00:01:30.04 bitrate=1072.1kbits/s dup=2 drop=50 speed=1.15x    
frame= 1375 fps= 17 q=27.0 size=   11826kB time=00:01:30.62 bitrate=1069.1kbits/s dup=2 drop=58 speed=1.15x    
frame= 1383 fps= 17 q=27.0 size=   11866kB time=00:01:31.13 bitrate=1066.6kbits/s dup=2 drop=66 speed=1.15x    
frame= 1392 fps= 17 q=27.0 size=   11922kB time=00:01:31.71 bitrate=1064.9kbits/s dup=2 drop=74 speed=1.14x    
frame= 1400 fps= 17 q=27.0 size=   11958kB time=00:01:32.28 bitrate=1061.5kbits/s dup=2 drop=81 speed=1.14x    
frame= 1408 fps= 17 q=27.0 size=   12004kB time=00:01:32.80 bitrate=1059.7kbits/s dup=2 drop=89 speed=1.14x    
frame= 1417 fps= 17 q=27.0 size=   12038kB time=00:01:33.37 bitrate=1056.2kbits/s dup=2 drop=98 speed=1.14x    
frame= 1426 fps= 17 q=27.0 size=   12067kB time=00:01:34.01 bitrate=1051.5kbits/s dup=2 drop=107 speed=1.14x    
frame= 1431 fps= 17 q=27.0 size=   12199kB time=00:01:34.33 bitrate=1059.4kbits/s dup=2 drop=112 speed=1.14x    
frame= 1438 fps= 17 q=27.0 size=   12290kB time=00:01:34.84 bitrate=1061.5kbits/s dup=2 drop=119 speed=1.14x    
frame= 1446 fps= 17 q=27.0 size=   12358kB time=00:01:35.36 bitrate=1061.7kbits/s dup=2 drop=127 speed=1.14x    
frame= 1455 fps= 17 q=27.0 size=   12417kB time=00:01:35.93 bitrate=1060.3kbits/s dup=2 drop=136 speed=1.14x    
frame= 1464 fps= 17 q=27.0 size=   12468kB time=00:01:36.51 bitrate=1058.3kbits/s dup=2 drop=145 speed=1.14x    
frame= 1473 fps= 17 q=27.0 size=   12520kB time=00:01:37.15 bitrate=1055.7kbits/s dup=2 drop=154 speed=1.14x    
frame= 1481 fps= 17 q=27.0 size=   12563kB time=00:01:37.66 bitrate=1053.8kbits/s dup=2 drop=162 speed=1.14x    
frame= 1488 fps= 17 q=27.0 size=   12717kB time=00:01:38.11 bitrate=1061.8kbits/s dup=2 drop=169 speed=1.13x    
frame= 1497 fps= 17 q=27.0 size=   12764kB time=00:01:38.75 bitrate=1058.8kbits/s dup=2 drop=178 speed=1.13x    
frame= 1505 fps= 17 q=27.0 size=   12802kB time=00:01:39.32 bitrate=1055.8kbits/s dup=2 drop=186 speed=1.13x    
frame= 1514 fps= 17 q=27.0 size=   12861kB time=00:01:39.84 bitrate=1055.3kbits/s dup=2 drop=195 speed=1.13x    
frame= 1523 fps= 17 q=27.0 size=   12905kB time=00:01:40.41 bitrate=1052.8kbits/s dup=2 drop=204 speed=1.13x    
frame= 1531 fps= 17 q=27.0 size=   12949kB time=00:01:40.99 bitrate=1050.4kbits/s dup=2 drop=212 speed=1.13x    
