ffmpeg version 3.1.7 Copyright (c) 2000-2017 the FFmpeg developers
  built with gcc 5.4.0 (GCC)
  configuration: --disable-static --prefix=/cvmfs/soft.computecanada.ca/nix/store/n7qiyrcpyixibg8mijm826nb3hdb23j1-ffmpeg-3.1.7 --enable-gpl --enable-version3 --enable-shared --disable-static --enable-pic --enable-runtime-cpudetect --enable-hardcoded-tables --enable-pthreads --disable-w32threads --disable-os2threads --enable-network --enable-pixelutils --enable-ffmpeg --disable-ffplay --enable-ffprobe --disable-ffserver --enable-avcodec --enable-avdevice --enable-avfilter --enable-avformat --enable-avresample --enable-avutil --enable-postproc --enable-swresample --enable-swscale --disable-doc --enable-bzlib --enable-gnutls --enable-fontconfig --enable-libfreetype --enable-libmp3lame --enable-iconv --enable-libtheora --enable-vaapi --enable-vdpau --enable-libvorbis --enable-libvpx --enable-lzma --disable-opengl --enable-libpulse --enable-sdl --enable-libsoxr --enable-libx264 --enable-libxvid --enable-zlib --enable-libopus --enable-libx265 --disable-debug --enable-optimizations --disable-extra-warnings --disable-stripping
  libavutil      55. 28.100 / 55. 28.100
  libavcodec     57. 48.101 / 57. 48.101
  libavformat    57. 41.100 / 57. 41.100
  libavdevice    57.  0.101 / 57.  0.101
  libavfilter     6. 47.100 /  6. 47.100
  libavresample   3.  0.  0 /  3.  0.  0
  libswscale      4.  1.100 /  4.  1.100
  libswresample   2.  1.100 /  2.  1.100
  libpostproc    54.  0.100 / 54.  0.100
Input #0, mov,mp4,m4a,3gp,3g2,mj2, from '/project/6001934/lingheng/ROM_Video_Process/ROM_raw_videos/Oct_05/Camera2_Oct_05_1400_1500_Parameterized_Learning_Agent.mp4':
  Metadata:
    major_brand     : isom
    minor_version   : 1
    compatible_brands: isom
    creation_time   : 2018-10-05 21:46:33
  Duration: 01:00:00.51, start: 0.000000, bitrate: 796 kb/s
    Stream #0:0(und): Video: h264 (Main) (avc1 / 0x31637661), yuvj420p(pc, bt709), 1920x1080 [SAR 1:1 DAR 16:9], 776 kb/s, 27.20 fps, 30 tbr, 16k tbn, 60 tbc (default)
    Metadata:
      handler_name    : VideoHandler
    Stream #0:1(und): Audio: aac (LC) (mp4a / 0x6134706D), 16000 Hz, mono, fltp, 16 kb/s (default)
    Metadata:
      creation_time   : 2018-10-05 21:46:38
      handler_name    : GPAC ISO Audio Handler
    Stream #0:2(eng): Subtitle: mov_text (tx3g / 0x67337874), 800x60, 0 kb/s (default)
    Metadata:
      rotate          : 0
      creation_time   : 2018-10-05 21:46:38
      handler_name    : bcd38c5699c74943a57e5307dd1480bf.subtitles.ttxt:hdlr=sbtl:lang=en:group=2:layer=1 - Imported with GPAC 0.5.0-rev4065
Input #1, png_pipe, from '/project/6001934/lingheng/ROM_Video_Process/Openpose_Video_Analysis_Code/camera2_transparent_img.png':
  Duration: N/A, bitrate: N/A
    Stream #1:0: Video: png, rgba(pc), 1920x1080, 25 tbr, 25 tbn, 25 tbc
[swscaler @ 0xf6b360] deprecated pixel format used, make sure you did set range correctly
[avi @ 0xf31d80] Using AVStream.codec to pass codec parameters to muxers is deprecated, use AVStream.codecpar instead.
    Last message repeated 1 times
Output #0, avi, to '/project/6001934/lingheng/ROM_Video_Process/ROM_raw_videos_with_interst_area_ffmpeg_new2/Oct_05/Camera2_Oct_05_1400_1500_Parameterized_Learning_Agent_ffmpeg_with_interest_area.avi':
  Metadata:
    major_brand     : isom
    minor_version   : 1
    compatible_brands: isom
    ISFT            : Lavf57.41.100
    Stream #0:0: Video: mpeg4 (FMP4 / 0x34504D46), yuv420p, 1920x1080 [SAR 1:1 DAR 16:9], q=2-31, 200 kb/s, 30 fps, 30 tbn, 30 tbc (default)
    Metadata:
      encoder         : Lavc57.48.101 mpeg4
    Side data:
      cpb: bitrate max/min/avg: 0/0/200000 buffer size: 0 vbv_delay: -1
    Stream #0:1(und): Audio: aac (LC) ([255][0][0][0] / 0x00FF), 16000 Hz, mono, 16 kb/s (default)
    Metadata:
      creation_time   : 2018-10-05 21:46:38
      handler_name    : GPAC ISO Audio Handler
Stream mapping:
  Stream #0:0 (h264) -> overlay:main
  Stream #1:0 (png) -> overlay:overlay
  overlay -> Stream #0:0 (mpeg4)
  Stream #0:1 -> #0:1 (copy)
Press [q] to stop, [?] for help
frame=   15 fps=0.0 q=30.7 size=      10kB time=00:00:00.53 bitrate= 149.8kbits/s speed=1.06x    
frame=   36 fps= 36 q=31.0 size=     426kB time=00:00:01.23 bitrate=2827.4kbits/s speed=1.23x    
frame=   59 fps= 39 q=31.0 size=     501kB time=00:00:02.00 bitrate=2052.6kbits/s speed=1.32x    
frame=   82 fps= 41 q=31.0 size=     647kB time=00:00:02.76 bitrate=1916.0kbits/s speed=1.37x    
frame=  105 fps= 41 q=31.0 size=     722kB time=00:00:03.53 bitrate=1673.0kbits/s speed=1.39x    
frame=  129 fps= 42 q=31.0 size=     857kB time=00:00:04.33 bitrate=1619.7kbits/s speed=1.43x    
frame=  150 fps= 42 q=31.0 size=     933kB time=00:00:05.03 bitrate=1519.0kbits/s speed=1.42x    
frame=  173 fps= 43 q=31.0 size=    1124kB time=00:00:05.80 bitrate=1586.9kbits/s speed=1.43x    
frame=  194 fps= 42 q=31.0 size=    1206kB time=00:00:06.50 bitrate=1520.3kbits/s speed=1.42x    
frame=  219 fps= 43 q=31.0 size=    1348kB time=00:00:07.33 bitrate=1505.3kbits/s speed=1.44x    
frame=  238 fps= 42 q=31.0 size=    1482kB time=00:00:07.96 bitrate=1524.2kbits/s speed=1.42x    
frame=  258 fps= 42 q=31.0 size=    1572kB time=00:00:08.63 bitrate=1491.8kbits/s speed=1.41x    
frame=  280 fps= 42 q=31.0 size=    1703kB time=00:00:09.36 bitrate=1489.2kbits/s speed=1.42x    
frame=  303 fps= 42 q=31.0 size=    1842kB time=00:00:10.13 bitrate=1488.9kbits/s speed=1.42x    
frame=  324 fps= 42 q=31.0 size=    1966kB time=00:00:10.83 bitrate=1486.9kbits/s speed=1.42x    
frame=  347 fps= 43 q=31.0 size=    2093kB time=00:00:11.60 bitrate=1477.8kbits/s speed=1.42x    
frame=  368 fps= 43 q=31.0 size=    2226kB time=00:00:12.30 bitrate=1482.5kbits/s speed=1.42x    
frame=  388 fps= 42 q=31.0 size=    2308kB time=00:00:12.96 bitrate=1458.3kbits/s speed=1.41x    
frame=  407 fps= 42 q=31.0 size=    2438kB time=00:00:13.60 bitrate=1468.7kbits/s speed= 1.4x    
frame=  428 fps= 42 q=31.0 size=    2563kB time=00:00:14.30 bitrate=1468.3kbits/s speed= 1.4x    
frame=  451 fps= 42 q=31.0 size=    2703kB time=00:00:15.06 bitrate=1469.6kbits/s speed=1.41x    
frame=  474 fps= 42 q=31.0 size=    2785kB time=00:00:15.83 bitrate=1441.1kbits/s speed=1.41x    
frame=  495 fps= 42 q=31.0 size=    2914kB time=00:00:16.53 bitrate=1443.8kbits/s speed=1.41x    
frame=  518 fps= 42 q=31.0 size=    3057kB time=00:00:17.30 bitrate=1447.6kbits/s speed=1.41x    
frame=  539 fps= 42 q=31.0 size=    3192kB time=00:00:18.00 bitrate=1452.5kbits/s speed=1.41x    
frame=  562 fps= 42 q=31.0 size=    3338kB time=00:00:18.76 bitrate=1457.0kbits/s speed=1.41x    
frame=  585 fps= 42 q=31.0 size=    3474kB time=00:00:19.53 bitrate=1456.7kbits/s speed=1.42x    
frame=  608 fps= 43 q=31.0 size=    3599kB time=00:00:20.30 bitrate=1452.5kbits/s speed=1.42x    
frame=  628 fps= 42 q=31.0 size=    3686kB time=00:00:20.96 bitrate=1440.1kbits/s speed=1.42x    
frame=  648 fps= 42 q=31.0 size=    3823kB time=00:00:21.63 bitrate=1447.6kbits/s speed=1.41x    
frame=  673 fps= 42 q=24.8 size=    3963kB time=00:00:22.46 bitrate=1444.9kbits/s speed=1.42x    
frame=  696 fps= 43 q=31.0 size=    4126kB time=00:00:23.23 bitrate=1454.7kbits/s speed=1.42x    
frame=  719 fps= 43 q=31.0 size=    4273kB time=00:00:24.00 bitrate=1458.5kbits/s speed=1.42x    
frame=  744 fps= 43 q=31.0 size=    4409kB time=00:00:24.83 bitrate=1454.5kbits/s speed=1.43x    
frame=  763 fps= 43 q=31.0 size=    4538kB time=00:00:25.46 bitrate=1459.7kbits/s speed=1.42x    
frame=  788 fps= 43 q=31.0 size=    4667kB time=00:00:26.30 bitrate=1453.8kbits/s speed=1.43x    
frame=  811 fps= 43 q=31.0 size=    4801kB time=00:00:27.06 bitrate=1453.1kbits/s speed=1.43x    
frame=  836 fps= 43 q=31.0 size=    4930kB time=00:00:27.90 bitrate=1447.4kbits/s speed=1.44x    
frame=  859 fps= 43 q=31.0 size=    5060kB time=00:00:28.66 bitrate=1445.9kbits/s speed=1.44x    
frame=  884 fps= 43 q=31.0 size=    5188kB time=00:00:29.50 bitrate=1440.6kbits/s speed=1.44x    
frame=  907 fps= 43 q=31.0 size=    5320kB time=00:00:30.26 bitrate=1440.0kbits/s speed=1.44x    
frame=  932 fps= 43 q=31.0 size=    5454kB time=00:00:31.10 bitrate=1436.6kbits/s speed=1.45x    
frame=  955 fps= 43 q=31.0 size=    5590kB time=00:00:31.86 bitrate=1437.1kbits/s speed=1.45x    
frame=  980 fps= 44 q=31.0 size=    5732kB time=00:00:32.70 bitrate=1436.0kbits/s speed=1.45x    
frame= 1002 fps= 44 q=31.0 size=    5977kB time=00:00:34.06 bitrate=1437.3kbits/s speed=1.48x    
frame= 1026 fps= 44 q=31.0 size=    6160kB time=00:00:35.66 bitrate=1414.9kbits/s speed=1.52x    
frame= 1050 fps= 44 q=31.0 size=    6322kB time=00:00:37.26 bitrate=1389.7kbits/s speed=1.55x    
frame= 1071 fps= 44 q=31.0 size=    6464kB time=00:00:38.66 bitrate=1369.5kbits/s speed=1.58x    
frame= 1094 fps= 44 q=31.0 size=    6603kB time=00:00:40.20 bitrate=1345.7kbits/s speed=1.61x    
frame= 1118 fps= 44 q=31.0 size=    6762kB time=00:00:41.80 bitrate=1325.1kbits/s speed=1.64x    
frame= 1142 fps= 44 q=31.0 size=    6903kB time=00:00:43.40 bitrate=1303.0kbits/s speed=1.67x    
frame= 1166 fps= 44 q=31.0 size=    7046kB time=00:00:45.00 bitrate=1282.7kbits/s speed=1.69x    
frame= 1188 fps= 44 q=31.0 size=    7143kB time=00:00:46.46 bitrate=1259.2kbits/s speed=1.72x    
frame= 1211 fps= 44 q=31.0 size=    7294kB time=00:00:48.00 bitrate=1244.8kbits/s speed=1.74x    
frame= 1235 fps= 44 q=31.0 size=    7445kB time=00:00:49.60 bitrate=1229.6kbits/s speed=1.76x    
frame= 1257 fps= 44 q=31.0 size=    7587kB time=00:00:51.06 bitrate=1217.1kbits/s speed=1.78x    
frame= 1281 fps= 44 q=31.0 size=    7743kB time=00:00:52.66 bitrate=1204.3kbits/s speed=1.81x    
frame= 1305 fps= 44 q=31.0 size=    7894kB time=00:00:54.26 bitrate=1191.6kbits/s speed=1.83x    
frame= 1330 fps= 44 q=31.0 size=    7978kB time=00:00:55.46 bitrate=1178.2kbits/s speed=1.84x    
frame= 1353 fps= 44 q=31.0 size=    8107kB time=00:00:56.23 bitrate=1181.0kbits/s speed=1.83x    
frame= 1376 fps= 44 q=31.0 size=    8245kB time=00:00:57.00 bitrate=1184.9kbits/s speed=1.83x    
frame= 1400 fps= 44 q=31.0 size=    8381kB time=00:00:57.80 bitrate=1187.9kbits/s speed=1.82x    
frame= 1423 fps= 44 q=31.0 size=    8512kB time=00:00:58.56 bitrate=1190.6kbits/s speed=1.82x    
frame= 1446 fps= 44 q=31.0 size=    8606kB time=00:00:59.33 bitrate=1188.2kbits/s speed=1.81x    
frame= 1469 fps= 44 q=31.0 size=    8785kB time=00:01:00.10 bitrate=1197.4kbits/s speed=1.81x    
frame= 1494 fps= 44 q=31.0 size=    8873kB time=00:01:00.93 bitrate=1193.0kbits/s speed= 1.8x    
frame= 1517 fps= 44 q=31.0 size=    9049kB time=00:01:01.70 bitrate=1201.5kbits/s speed= 1.8x    
frame= 1542 fps= 44 q=31.0 size=    9137kB time=00:01:02.53 bitrate=1196.9kbits/s speed= 1.8x    
frame= 1563 fps= 44 q=31.0 size=    9263kB time=00:01:03.23 bitrate=1200.0kbits/s speed=1.79x    
frame= 1582 fps= 44 q=31.0 size=    9386kB time=00:01:03.86 bitrate=1204.0kbits/s speed=1.78x    
frame= 1607 fps= 44 q=31.0 size=    9514kB time=00:01:04.70 bitrate=1204.6kbits/s speed=1.78x    
frame= 1630 fps= 44 q=31.0 size=    9641kB time=00:01:05.46 bitrate=1206.4kbits/s speed=1.78x    
frame= 1651 fps= 44 q=31.0 size=    9762kB time=00:01:06.16 bitrate=1208.6kbits/s speed=1.77x    
frame= 1672 fps= 44 q=31.0 size=    9851kB time=00:01:06.86 bitrate=1206.8kbits/s speed=1.77x    
frame= 1697 fps= 44 q=31.0 size=    9983kB time=00:01:07.70 bitrate=1208.0kbits/s speed=1.77x    
frame= 1718 fps= 44 q=31.0 size=   10117kB time=00:01:08.40 bitrate=1211.7kbits/s speed=1.76x    
frame= 1739 fps= 44 q=31.0 size=   10244kB time=00:01:09.10 bitrate=1214.4kbits/s speed=1.76x    
frame= 1757 fps= 44 q=31.0 size=   10368kB time=00:01:09.70 bitrate=1218.6kbits/s speed=1.75x    
frame= 1778 fps= 44 q=31.0 size=   10454kB time=00:01:10.40 bitrate=1216.5kbits/s speed=1.74x    
frame= 1801 fps= 44 q=24.8 size=   10587kB time=00:01:11.16 bitrate=1218.7kbits/s speed=1.74x    
frame= 1822 fps= 44 q=31.0 size=   10716kB time=00:01:11.86 bitrate=1221.5kbits/s speed=1.74x    
frame= 1841 fps= 44 q=31.0 size=   10834kB time=00:01:12.50 bitrate=1224.2kbits/s speed=1.73x    
frame= 1860 fps= 44 q=31.0 size=   10913kB time=00:01:13.13 bitrate=1222.4kbits/s speed=1.72x    
frame= 1881 fps= 44 q=31.0 size=   11039kB time=00:01:13.83 bitrate=1224.8kbits/s speed=1.72x    
frame= 1904 fps= 44 q=31.0 size=   11174kB time=00:01:14.60 bitrate=1227.1kbits/s speed=1.72x    
frame= 1928 fps= 44 q=31.0 size=   11314kB time=00:01:15.40 bitrate=1229.2kbits/s speed=1.72x    
frame= 1949 fps= 44 q=31.0 size=   11415kB time=00:01:16.10 bitrate=1228.8kbits/s speed=1.71x    
frame= 1972 fps= 44 q=31.0 size=   11562kB time=00:01:16.86 bitrate=1232.2kbits/s speed=1.71x    
frame= 1995 fps= 44 q=31.0 size=   11704kB time=00:01:17.63 bitrate=1235.1kbits/s speed=1.71x    
frame= 2018 fps= 44 q=31.0 size=   11845kB time=00:01:18.40 bitrate=1237.7kbits/s speed= 1.7x    
frame= 2039 fps= 44 q=31.0 size=   11980kB time=00:01:19.10 bitrate=1240.7kbits/s speed= 1.7x    
frame= 2062 fps= 44 q=31.0 size=   12119kB time=00:01:19.86 bitrate=1243.1kbits/s speed= 1.7x    
frame= 2085 fps= 44 q=31.0 size=   12252kB time=00:01:20.63 bitrate=1244.7kbits/s speed= 1.7x    
frame= 2108 fps= 44 q=31.0 size=   12383kB time=00:01:21.40 bitrate=1246.2kbits/s speed=1.69x    
frame= 2129 fps= 44 q=31.0 size=   12507kB time=00:01:22.10 bitrate=1248.0kbits/s speed=1.69x    
frame= 2152 fps= 44 q=31.0 size=   12592kB time=00:01:22.86 bitrate=1244.8kbits/s speed=1.69x    
frame= 2173 fps= 44 q=24.8 size=   12722kB time=00:01:23.56 bitrate=1247.1kbits/s speed=1.69x    
frame= 2198 fps= 44 q=31.0 size=   12859kB time=00:01:24.40 bitrate=1248.1kbits/s speed=1.69x    
frame= 2221 fps= 44 q=24.8 size=   12990kB time=00:01:25.16 bitrate=1249.5kbits/s speed=1.68x    
frame= 2242 fps= 44 q=31.0 size=   13122kB time=00:01:25.86 bitrate=1251.9kbits/s speed=1.68x    
frame= 2267 fps= 44 q=31.0 size=   13257kB time=00:01:26.70 bitrate=1252.6kbits/s speed=1.68x    
frame= 2290 fps= 44 q=31.0 size=   13394kB time=00:01:27.46 bitrate=1254.4kbits/s speed=1.68x    
frame= 2310 fps= 44 q=31.0 size=   13528kB time=00:01:28.13 bitrate=1257.4kbits/s speed=1.67x    
frame= 2333 fps= 44 q=31.0 size=   13612kB time=00:01:28.90 bitrate=1254.3kbits/s speed=1.67x    
frame= 2356 fps= 44 q=31.0 size=   13745kB time=00:01:29.66 bitrate=1255.7kbits/s speed=1.67x    
frame= 2379 fps= 44 q=31.0 size=   13877kB time=00:01:30.43 bitrate=1257.1kbits/s speed=1.67x    
frame= 2402 fps= 44 q=31.0 size=   14010kB time=00:01:31.20 bitrate=1258.5kbits/s speed=1.67x    
frame= 2425 fps= 44 q=24.8 size=   14147kB time=00:01:31.96 bitrate=1260.1kbits/s speed=1.67x    
frame= 2448 fps= 44 q=31.0 size=   14282kB time=00:01:32.73 bitrate=1261.6kbits/s speed=1.66x    
frame= 2473 fps= 44 q=24.8 size=   14417kB time=00:01:33.56 bitrate=1262.3kbits/s speed=1.66x    
frame= 2494 fps= 44 q=31.0 size=   14545kB time=00:01:34.26 bitrate=1264.0kbits/s speed=1.66x    
frame= 2513 fps= 44 q=31.0 size=   14672kB time=00:01:34.90 bitrate=1266.5kbits/s speed=1.66x    
frame= 2536 fps= 44 q=31.0 size=   14763kB time=00:01:35.66 bitrate=1264.2kbits/s speed=1.66x    
frame= 2559 fps= 44 q=31.0 size=   14898kB time=00:01:36.43 bitrate=1265.6kbits/s speed=1.66x    
frame= 2584 fps= 44 q=31.0 size=   15037kB time=00:01:37.26 bitrate=1266.4kbits/s speed=1.65x    
frame= 2607 fps= 44 q=31.0 size=   15180kB time=00:01:38.03 bitrate=1268.5kbits/s speed=1.65x    
frame= 2628 fps= 44 q=31.0 size=   15314kB time=00:01:38.73 bitrate=1270.6kbits/s speed=1.65x    
frame= 2649 fps= 44 q=31.0 size=   15446kB time=00:01:39.43 bitrate=1272.5kbits/s speed=1.65x    
frame= 2669 fps= 44 q=31.0 size=   15529kB time=00:01:40.10 bitrate=1270.9kbits/s speed=1.64x    
frame= 2688 fps= 44 q=31.0 size=   15658kB time=00:01:40.73 bitrate=1273.4kbits/s speed=1.64x    
frame= 2707 fps= 44 q=31.0 size=   15790kB time=00:01:41.36 bitrate=1276.1kbits/s speed=1.64x    
frame= 2728 fps= 44 q=31.0 size=   15878kB time=00:01:42.06 bitrate=1274.4kbits/s speed=1.64x    
frame= 2753 fps= 44 q=31.0 size=   16013kB time=00:01:42.90 bitrate=1274.8kbits/s speed=1.63x    
frame= 2774 fps= 44 q=31.0 size=   16151kB time=00:01:43.60 bitrate=1277.1kbits/s speed=1.63x    
frame= 2797 fps= 44 q=24.8 size=   16287kB time=00:01:44.36 bitrate=1278.4kbits/s speed=1.63x    
frame= 2818 fps= 44 q=31.0 size=   16416kB time=00:01:45.06 bitrate=1279.9kbits/s speed=1.63x    
frame= 2840 fps= 44 q=31.0 size=   16557kB time=00:01:45.80 bitrate=1282.0kbits/s speed=1.63x    
frame= 2863 fps= 44 q=31.0 size=   16690kB time=00:01:46.56 bitrate=1283.0kbits/s speed=1.63x    
frame= 2886 fps= 44 q=31.0 size=   16831kB time=00:01:47.33 bitrate=1284.6kbits/s speed=1.63x    
frame= 2909 fps= 44 q=31.0 size=   16963kB time=00:01:48.10 bitrate=1285.5kbits/s speed=1.62x    
frame= 2932 fps= 44 q=31.0 size=   17051kB time=00:01:48.86 bitrate=1283.0kbits/s speed=1.62x    
frame= 2955 fps= 44 q=31.0 size=   17191kB time=00:01:49.63 bitrate=1284.5kbits/s speed=1.62x    
frame= 2980 fps= 44 q=31.0 size=   17329kB time=00:01:50.46 bitrate=1285.1kbits/s speed=1.62x    
frame= 3003 fps= 44 q=31.0 size=   17470kB time=00:01:51.23 bitrate=1286.6kbits/s speed=1.62x    
frame= 3024 fps= 44 q=31.0 size=   17598kB time=00:01:51.93 bitrate=1287.9kbits/s speed=1.62x    
frame= 3047 fps= 44 q=31.0 size=   17738kB time=00:01:52.70 bitrate=1289.3kbits/s speed=1.62x    
frame= 3070 fps= 44 q=31.0 size=   17878kB time=00:01:53.46 bitrate=1290.7kbits/s speed=1.62x    
frame= 3095 fps= 44 q=31.0 size=   18014kB time=00:01:54.30 bitrate=1291.1kbits/s speed=1.62x    
frame= 3118 fps= 44 q=31.0 size=   18146kB time=00:01:55.06 bitrate=1291.9kbits/s speed=1.62x    
frame= 3141 fps= 44 q=31.0 size=   18282kB time=00:01:55.83 bitrate=1292.9kbits/s speed=1.62x    
frame= 3162 fps= 44 q=31.0 size=   18369kB time=00:01:56.53 bitrate=1291.3kbits/s speed=1.62x    
frame= 3185 fps= 44 q=31.0 size=   18557kB time=00:01:57.30 bitrate=1296.0kbits/s speed=1.61x    
frame= 3210 fps= 44 q=31.0 size=   18664kB time=00:01:58.13 bitrate=1294.2kbits/s speed=1.61x    
frame= 3231 fps= 44 q=31.0 size=   18811kB time=00:01:58.83 bitrate=1296.8kbits/s speed=1.61x    
frame= 3252 fps= 44 q=31.0 size=   18950kB time=00:01:59.53 bitrate=1298.7kbits/s speed=1.61x    
frame= 3275 fps= 44 q=31.0 size=   19087kB time=00:02:00.30 bitrate=1299.8kbits/s speed=1.61x    
frame= 3296 fps= 44 q=31.0 size=   19226kB time=00:02:01.00 bitrate=1301.6kbits/s speed=1.61x    
frame= 3320 fps= 44 q=31.0 size=   19359kB time=00:02:01.80 bitrate=1302.0kbits/s speed=1.61x    
frame= 3343 fps= 44 q=31.0 size=   19497kB time=00:02:02.56 bitrate=1303.1kbits/s speed=1.61x    
frame= 3366 fps= 44 q=31.0 size=   19646kB time=00:02:03.33 bitrate=1304.9kbits/s speed=1.61x    
frame= 3389 fps= 44 q=31.0 size=   19787kB time=00:02:04.10 bitrate=1306.2kbits/s speed=1.61x    
frame= 3412 fps= 44 q=31.0 size=   19883kB time=00:02:04.86 bitrate=1304.5kbits/s speed=1.61x    
frame= 3437 fps= 44 q=31.0 size=   20029kB time=00:02:05.70 bitrate=1305.3kbits/s speed=1.61x    
frame= 3460 fps= 44 q=31.0 size=   20178kB time=00:02:06.46 bitrate=1307.0kbits/s speed=1.61x    
