ffmpeg version 3.1.7 Copyright (c) 2000-2017 the FFmpeg developers
  built with gcc 5.4.0 (GCC)
  configuration: --disable-static --prefix=/cvmfs/soft.computecanada.ca/nix/store/n7qiyrcpyixibg8mijm826nb3hdb23j1-ffmpeg-3.1.7 --enable-gpl --enable-version3 --enable-shared --disable-static --enable-pic --enable-runtime-cpudetect --enable-hardcoded-tables --enable-pthreads --disable-w32threads --disable-os2threads --enable-network --enable-pixelutils --enable-ffmpeg --disable-ffplay --enable-ffprobe --disable-ffserver --enable-avcodec --enable-avdevice --enable-avfilter --enable-avformat --enable-avresample --enable-avutil --enable-postproc --enable-swresample --enable-swscale --disable-doc --enable-bzlib --enable-gnutls --enable-fontconfig --enable-libfreetype --enable-libmp3lame --enable-iconv --enable-libtheora --enable-vaapi --enable-vdpau --enable-libvorbis --enable-libvpx --enable-lzma --disable-opengl --enable-libpulse --enable-sdl --enable-libsoxr --enable-libx264 --enable-libxvid --enable-zlib --enable-libopus --enable-libx265 --disable-debug --enable-optimizations --disable-extra-warnings --disable-stripping
  libavutil      55. 28.100 / 55. 28.100
  libavcodec     57. 48.101 / 57. 48.101
  libavformat    57. 41.100 / 57. 41.100
  libavdevice    57.  0.101 / 57.  0.101
  libavfilter     6. 47.100 /  6. 47.100
  libavresample   3.  0.  0 /  3.  0.  0
  libswscale      4.  1.100 /  4.  1.100
  libswresample   2.  1.100 /  2.  1.100
  libpostproc    54.  0.100 / 54.  0.100
Input #0, mov,mp4,m4a,3gp,3g2,mj2, from '/project/6001934/lingheng/ROM_Video_Process/ROM_raw_videos/Oct_05/Camera2_Oct_05_1500_1600_Single_Agent_Raw_Act.mp4':
  Metadata:
    major_brand     : isom
    minor_version   : 1
    compatible_brands: isom
    creation_time   : 2018-10-05 21:43:49
  Duration: 00:59:58.66, start: 0.000000, bitrate: 757 kb/s
    Stream #0:0(und): Video: h264 (Main) (avc1 / 0x31637661), yuvj420p(pc, bt709), 1920x1080 [SAR 1:1 DAR 16:9], 737 kb/s, 25.50 fps, 30 tbr, 16k tbn, 30 tbc (default)
    Metadata:
      handler_name    : VideoHandler
    Stream #0:1(und): Audio: aac (LC) (mp4a / 0x6134706D), 16000 Hz, mono, fltp, 16 kb/s (default)
    Metadata:
      creation_time   : 2018-10-05 21:43:54
      handler_name    : GPAC ISO Audio Handler
    Stream #0:2(eng): Subtitle: mov_text (tx3g / 0x67337874), 800x60, 0 kb/s (default)
    Metadata:
      rotate          : 0
      creation_time   : 2018-10-05 21:43:55
      handler_name    : fb1f685e501841cabf8e2a9a4b1070c5.subtitles.ttxt:hdlr=sbtl:lang=en:group=2:layer=1 - Imported with GPAC 0.5.0-rev4065
Input #1, png_pipe, from '/project/6001934/lingheng/ROM_Video_Process/Openpose_Video_Analysis_Code/camera2_transparent_img.png':
  Duration: N/A, bitrate: N/A
    Stream #1:0: Video: png, rgba(pc), 1920x1080, 25 tbr, 25 tbn, 25 tbc
[swscaler @ 0xfe74e0] deprecated pixel format used, make sure you did set range correctly
[avi @ 0xfcf360] Using AVStream.codec to pass codec parameters to muxers is deprecated, use AVStream.codecpar instead.
    Last message repeated 1 times
Output #0, avi, to '/project/6001934/lingheng/ROM_Video_Process/ROM_raw_videos_with_interst_area_ffmpeg_new2/Oct_05/Camera2_Oct_05_1500_1600_Single_Agent_Raw_Act_ffmpeg_with_interest_area.avi':
  Metadata:
    major_brand     : isom
    minor_version   : 1
    compatible_brands: isom
    ISFT            : Lavf57.41.100
    Stream #0:0: Video: mpeg4 (FMP4 / 0x34504D46), yuv420p, 1920x1080 [SAR 1:1 DAR 16:9], q=2-31, 200 kb/s, 15 fps, 15 tbn, 15 tbc (default)
    Metadata:
      encoder         : Lavc57.48.101 mpeg4
    Side data:
      cpb: bitrate max/min/avg: 0/0/200000 buffer size: 0 vbv_delay: -1
    Stream #0:1(und): Audio: aac (LC) ([255][0][0][0] / 0x00FF), 16000 Hz, mono, 16 kb/s (default)
    Metadata:
      creation_time   : 2018-10-05 21:43:54
      handler_name    : GPAC ISO Audio Handler
Stream mapping:
  Stream #0:0 (h264) -> overlay:main
  Stream #1:0 (png) -> overlay:overlay
  overlay -> Stream #0:0 (mpeg4)
  Stream #0:1 -> #0:1 (copy)
Press [q] to stop, [?] for help
frame=   13 fps=0.0 q=21.9 size=     310kB time=00:00:00.93 bitrate=2716.5kbits/s speed=1.83x    
frame=   29 fps= 29 q=31.0 size=     393kB time=00:00:02.00 bitrate=1611.1kbits/s speed=1.98x    
frame=   43 fps= 28 q=31.0 size=     467kB time=00:00:02.93 bitrate=1302.9kbits/s speed=1.91x    
frame=   59 fps= 29 q=31.0 size=     598kB time=00:00:04.00 bitrate=1224.2kbits/s speed=1.94x    
frame=   74 fps= 29 q=31.0 size=     672kB time=00:00:05.00 bitrate=1101.5kbits/s speed=1.94x    
frame=   85 fps= 28 q=24.8 size=     731kB time=00:00:05.73 bitrate=1044.7kbits/s dup=0 drop=7 speed=1.86x    
frame=   94 fps= 26 q=31.0 size=     748kB time=00:00:06.33 bitrate= 967.6kbits/s dup=0 drop=16 speed=1.77x    
frame=  104 fps= 25 q=31.0 size=     824kB time=00:00:07.00 bitrate= 963.9kbits/s dup=0 drop=26 speed=1.71x    
frame=  114 fps= 25 q=31.0 size=     883kB time=00:00:07.66 bitrate= 943.1kbits/s dup=0 drop=36 speed=1.66x    
frame=  124 fps= 24 q=31.0 size=     900kB time=00:00:08.33 bitrate= 885.0kbits/s dup=0 drop=46 speed=1.63x    
frame=  134 fps= 24 q=31.0 size=     973kB time=00:00:09.00 bitrate= 885.5kbits/s dup=0 drop=56 speed= 1.6x    
frame=  145 fps= 24 q=24.8 size=    1035kB time=00:00:09.73 bitrate= 870.9kbits/s dup=0 drop=67 speed=1.58x    
frame=  156 fps= 23 q=31.0 size=    1104kB time=00:00:10.46 bitrate= 864.4kbits/s dup=0 drop=78 speed=1.57x    
frame=  165 fps= 23 q=31.0 size=    1165kB time=00:00:11.06 bitrate= 862.1kbits/s dup=0 drop=87 speed=1.54x    
frame=  174 fps= 23 q=31.0 size=    1228kB time=00:00:11.66 bitrate= 862.5kbits/s dup=0 drop=96 speed=1.51x    
frame=  185 fps= 23 q=31.0 size=    1251kB time=00:00:12.40 bitrate= 826.2kbits/s dup=0 drop=107 speed=1.51x    
frame=  194 fps= 22 q=31.0 size=    1314kB time=00:00:13.00 bitrate= 828.2kbits/s dup=0 drop=116 speed=1.49x    
frame=  203 fps= 22 q=31.0 size=    1376kB time=00:00:13.60 bitrate= 828.9kbits/s dup=0 drop=125 speed=1.47x    
frame=  214 fps= 22 q=31.0 size=    1440kB time=00:00:14.33 bitrate= 822.9kbits/s dup=0 drop=136 speed=1.47x    
frame=  223 fps= 22 q=31.0 size=    1503kB time=00:00:14.93 bitrate= 824.3kbits/s dup=0 drop=145 speed=1.45x    
frame=  233 fps= 22 q=31.0 size=    1566kB time=00:00:15.60 bitrate= 822.5kbits/s dup=0 drop=155 speed=1.44x    
frame=  243 fps= 21 q=31.0 size=    1596kB time=00:00:16.26 bitrate= 803.9kbits/s dup=0 drop=165 speed=1.43x    
frame=  252 fps= 21 q=31.0 size=    1669kB time=00:00:16.86 bitrate= 810.8kbits/s dup=0 drop=174 speed=1.42x    
frame=  262 fps= 21 q=31.0 size=    1735kB time=00:00:17.53 bitrate= 810.8kbits/s dup=0 drop=184 speed=1.42x    
frame=  272 fps= 21 q=31.0 size=    1803kB time=00:00:18.20 bitrate= 811.7kbits/s dup=0 drop=194 speed=1.41x    
frame=  282 fps= 21 q=31.0 size=    1870kB time=00:00:18.86 bitrate= 812.2kbits/s dup=0 drop=204 speed=1.41x    
frame=  292 fps= 21 q=31.0 size=    1893kB time=00:00:19.53 bitrate= 793.9kbits/s dup=0 drop=214 speed=1.41x    
frame=  301 fps= 21 q=24.8 size=    1966kB time=00:00:20.13 bitrate= 800.1kbits/s dup=0 drop=223 speed= 1.4x    
frame=  312 fps= 21 q=31.0 size=    2034kB time=00:00:20.86 bitrate= 798.6kbits/s dup=0 drop=234 speed= 1.4x    
frame=  321 fps= 21 q=31.0 size=    2105kB time=00:00:21.46 bitrate= 803.2kbits/s dup=0 drop=243 speed=1.39x    
frame=  331 fps= 21 q=31.0 size=    2170kB time=00:00:22.13 bitrate= 803.0kbits/s dup=0 drop=253 speed=1.39x    
frame=  340 fps= 21 q=31.0 size=    2189kB time=00:00:22.73 bitrate= 788.9kbits/s dup=0 drop=262 speed=1.38x    
frame=  349 fps= 21 q=24.8 size=    2255kB time=00:00:23.33 bitrate= 791.6kbits/s dup=0 drop=271 speed=1.37x    
frame=  359 fps= 21 q=31.0 size=    2325kB time=00:00:24.00 bitrate= 793.5kbits/s dup=0 drop=281 speed=1.37x    
frame=  368 fps= 20 q=31.0 size=    2398kB time=00:00:24.60 bitrate= 798.4kbits/s dup=0 drop=290 speed=1.37x    
frame=  379 fps= 20 q=31.0 size=    2474kB time=00:00:25.33 bitrate= 800.2kbits/s dup=0 drop=301 speed=1.37x    
frame=  388 fps= 20 q=31.0 size=    2509kB time=00:00:25.93 bitrate= 792.7kbits/s dup=0 drop=310 speed=1.36x    
frame=  398 fps= 20 q=31.0 size=    2587kB time=00:00:26.60 bitrate= 796.9kbits/s dup=0 drop=320 speed=1.36x    
frame=  407 fps= 20 q=31.0 size=    2662kB time=00:00:27.20 bitrate= 801.6kbits/s dup=0 drop=329 speed=1.36x    
frame=  417 fps= 20 q=31.0 size=    2740kB time=00:00:27.86 bitrate= 805.6kbits/s dup=0 drop=339 speed=1.35x    
frame=  429 fps= 20 q=31.0 size=    2824kB time=00:00:28.66 bitrate= 806.9kbits/s dup=0 drop=351 speed=1.36x    
frame=  440 fps= 20 q=31.0 size=    2907kB time=00:00:29.40 bitrate= 810.0kbits/s dup=0 drop=362 speed=1.36x    
frame=  450 fps= 20 q=31.0 size=    2976kB time=00:00:30.06 bitrate= 810.8kbits/s dup=0 drop=372 speed=1.36x    
frame=  461 fps= 20 q=31.0 size=    3049kB time=00:00:30.80 bitrate= 810.9kbits/s dup=0 drop=383 speed=1.36x    
frame=  474 fps= 21 q=31.0 size=    3119kB time=00:00:31.66 bitrate= 807.0kbits/s dup=0 drop=396 speed=1.37x    
frame=  485 fps= 21 q=31.0 size=    3201kB time=00:00:32.40 bitrate= 809.3kbits/s dup=0 drop=407 speed=1.37x    
frame=  497 fps= 21 q=31.0 size=    3283kB time=00:00:33.20 bitrate= 810.2kbits/s dup=0 drop=419 speed=1.38x    
frame=  509 fps= 21 q=31.0 size=    3367kB time=00:00:34.00 bitrate= 811.2kbits/s dup=0 drop=431 speed=1.38x    
frame=  519 fps= 21 q=31.0 size=    3403kB time=00:00:34.66 bitrate= 804.2kbits/s dup=0 drop=441 speed=1.38x    
frame=  532 fps= 21 q=31.0 size=    3485kB time=00:00:35.53 bitrate= 803.4kbits/s dup=0 drop=454 speed=1.39x    
frame=  543 fps= 21 q=31.0 size=    3579kB time=00:00:36.26 bitrate= 808.4kbits/s dup=0 drop=465 speed=1.39x    
frame=  556 fps= 21 q=31.0 size=    3652kB time=00:00:37.13 bitrate= 805.6kbits/s dup=0 drop=478 speed=1.39x    
frame=  567 fps= 21 q=31.0 size=    3734kB time=00:00:37.86 bitrate= 807.9kbits/s dup=0 drop=489 speed=1.39x    
frame=  578 fps= 21 q=31.0 size=    3806kB time=00:00:38.60 bitrate= 807.7kbits/s dup=0 drop=500 speed= 1.4x    
frame=  586 fps= 21 q=31.0 size=    3878kB time=00:00:39.13 bitrate= 811.8kbits/s dup=0 drop=508 speed=1.39x    
frame=  596 fps= 21 q=31.0 size=    3944kB time=00:00:39.80 bitrate= 811.7kbits/s dup=0 drop=518 speed=1.39x    
frame=  604 fps= 21 q=31.0 size=    3973kB time=00:00:40.33 bitrate= 807.0kbits/s dup=0 drop=526 speed=1.38x    
frame=  613 fps= 21 q=24.8 size=    4043kB time=00:00:40.93 bitrate= 809.2kbits/s dup=0 drop=535 speed=1.38x    
frame=  624 fps= 21 q=31.0 size=    4114kB time=00:00:41.66 bitrate= 808.9kbits/s dup=0 drop=546 speed=1.38x    
frame=  634 fps= 21 q=31.0 size=    4190kB time=00:00:42.33 bitrate= 810.8kbits/s dup=0 drop=555 speed=1.38x    
frame=  644 fps= 21 q=31.0 size=    4261kB time=00:00:43.00 bitrate= 811.7kbits/s dup=0 drop=565 speed=1.38x    
frame=  652 fps= 21 q=31.0 size=    4344kB time=00:00:43.53 bitrate= 817.5kbits/s dup=0 drop=573 speed=1.37x    
frame=  661 fps= 20 q=24.8 size=    4377kB time=00:00:44.13 bitrate= 812.5kbits/s dup=0 drop=582 speed=1.37x    
frame=  671 fps= 20 q=31.0 size=    4443kB time=00:00:44.80 bitrate= 812.5kbits/s dup=0 drop=592 speed=1.37x    
frame=  680 fps= 20 q=31.0 size=    4512kB time=00:00:45.40 bitrate= 814.1kbits/s dup=0 drop=601 speed=1.36x    
frame=  690 fps= 20 q=31.0 size=    4584kB time=00:00:46.06 bitrate= 815.1kbits/s dup=0 drop=611 speed=1.36x    
frame=  701 fps= 20 q=31.0 size=    4649kB time=00:00:46.80 bitrate= 813.9kbits/s dup=0 drop=622 speed=1.36x    
frame=  712 fps= 20 q=31.0 size=    4673kB time=00:00:47.53 bitrate= 805.3kbits/s dup=0 drop=633 speed=1.36x    
frame=  723 fps= 20 q=31.0 size=    4746kB time=00:00:48.26 bitrate= 805.5kbits/s dup=0 drop=644 speed=1.37x    
frame=  733 fps= 20 q=24.8 size=    4814kB time=00:00:48.93 bitrate= 806.0kbits/s dup=0 drop=654 speed=1.36x    
frame=  744 fps= 20 q=31.0 size=    4879kB time=00:00:49.66 bitrate= 804.7kbits/s dup=0 drop=665 speed=1.37x    
frame=  753 fps= 20 q=31.0 size=    4947kB time=00:00:50.26 bitrate= 806.3kbits/s dup=0 drop=674 speed=1.36x    
frame=  763 fps= 20 q=31.0 size=    5011kB time=00:00:50.93 bitrate= 806.0kbits/s dup=0 drop=684 speed=1.36x    
frame=  772 fps= 20 q=31.0 size=    5034kB time=00:00:51.53 bitrate= 800.3kbits/s dup=0 drop=693 speed=1.36x    
frame=  781 fps= 20 q=24.8 size=    5102kB time=00:00:52.13 bitrate= 801.7kbits/s dup=0 drop=702 speed=1.36x    
frame=  792 fps= 20 q=31.0 size=    5169kB time=00:00:52.86 bitrate= 801.0kbits/s dup=0 drop=713 speed=1.36x    
frame=  802 fps= 20 q=31.0 size=    5235kB time=00:00:53.53 bitrate= 801.1kbits/s dup=0 drop=723 speed=1.36x    
frame=  812 fps= 20 q=31.0 size=    5296kB time=00:00:54.20 bitrate= 800.5kbits/s dup=0 drop=733 speed=1.36x    
frame=  821 fps= 20 q=31.0 size=    5360kB time=00:00:54.80 bitrate= 801.2kbits/s dup=0 drop=742 speed=1.35x    
frame=  829 fps= 20 q=24.8 size=    5377kB time=00:00:55.33 bitrate= 796.0kbits/s dup=0 drop=750 speed=1.35x    
frame=  839 fps= 20 q=31.0 size=    5449kB time=00:00:56.00 bitrate= 797.1kbits/s dup=0 drop=760 speed=1.35x    
frame=  848 fps= 20 q=31.0 size=    5518kB time=00:00:56.60 bitrate= 798.6kbits/s dup=0 drop=769 speed=1.35x    
frame=  859 fps= 20 q=31.0 size=    5581kB time=00:00:57.33 bitrate= 797.4kbits/s dup=0 drop=780 speed=1.35x    
frame=  868 fps= 20 q=31.0 size=    5644kB time=00:00:57.93 bitrate= 798.1kbits/s dup=0 drop=789 speed=1.35x    
frame=  877 fps= 20 q=24.8 size=    5664kB time=00:00:58.53 bitrate= 792.8kbits/s dup=0 drop=798 speed=1.34x    
frame=  887 fps= 20 q=31.0 size=    5726kB time=00:00:59.20 bitrate= 792.4kbits/s dup=0 drop=808 speed=1.34x    
frame=  896 fps= 20 q=31.0 size=    5791kB time=00:00:59.80 bitrate= 793.3kbits/s dup=0 drop=817 speed=1.34x    
frame=  906 fps= 20 q=31.0 size=    5855kB time=00:01:00.46 bitrate= 793.2kbits/s dup=0 drop=827 speed=1.34x    
frame=  915 fps= 20 q=31.0 size=    5875kB time=00:01:01.06 bitrate= 788.1kbits/s dup=0 drop=836 speed=1.34x    
frame=  923 fps= 20 q=31.0 size=    5939kB time=00:01:01.60 bitrate= 789.8kbits/s dup=0 drop=844 speed=1.34x    
frame=  934 fps= 20 q=31.0 size=    6001kB time=00:01:02.33 bitrate= 788.6kbits/s dup=0 drop=855 speed=1.34x    
frame=  944 fps= 20 q=31.0 size=    6065kB time=00:01:03.00 bitrate= 788.7kbits/s dup=0 drop=865 speed=1.34x    
frame=  956 fps= 20 q=31.0 size=    6133kB time=00:01:03.80 bitrate= 787.4kbits/s dup=0 drop=877 speed=1.34x    
frame=  968 fps= 20 q=31.0 size=    6202kB time=00:01:04.60 bitrate= 786.5kbits/s dup=0 drop=889 speed=1.34x    
frame=  980 fps= 20 q=31.0 size=    6269kB time=00:01:05.40 bitrate= 785.3kbits/s dup=0 drop=901 speed=1.34x    
frame=  989 fps= 20 q=31.0 size=    6328kB time=00:01:06.00 bitrate= 785.4kbits/s dup=0 drop=910 speed=1.34x    
frame=  999 fps= 20 q=31.0 size=    6347kB time=00:01:06.66 bitrate= 779.9kbits/s dup=0 drop=920 speed=1.34x    
frame= 1010 fps= 20 q=31.0 size=    6415kB time=00:01:07.40 bitrate= 779.7kbits/s dup=0 drop=931 speed=1.34x    
frame= 1020 fps= 20 q=31.0 size=    6486kB time=00:01:08.06 bitrate= 780.6kbits/s dup=0 drop=940 speed=1.34x    
frame= 1031 fps= 20 q=31.0 size=    6550kB time=00:01:08.80 bitrate= 779.9kbits/s dup=0 drop=951 speed=1.34x    
frame= 1041 fps= 20 q=31.0 size=    6630kB time=00:01:09.46 bitrate= 781.9kbits/s dup=0 drop=961 speed=1.34x    
frame= 1051 fps= 20 q=31.0 size=    6695kB time=00:01:10.13 bitrate= 782.0kbits/s dup=0 drop=971 speed=1.34x    
frame= 1062 fps= 20 q=31.0 size=    6760kB time=00:01:10.86 bitrate= 781.4kbits/s dup=0 drop=982 speed=1.34x    
frame= 1073 fps= 20 q=31.0 size=    6823kB time=00:01:11.60 bitrate= 780.7kbits/s dup=0 drop=993 speed=1.34x    
frame= 1082 fps= 20 q=31.0 size=    6846kB time=00:01:12.20 bitrate= 776.7kbits/s dup=0 drop=1002 speed=1.34x    
frame= 1093 fps= 20 q=24.8 size=    6913kB time=00:01:12.93 bitrate= 776.5kbits/s dup=0 drop=1013 speed=1.34x    
frame= 1104 fps= 20 q=31.0 size=    6980kB time=00:01:13.66 bitrate= 776.2kbits/s dup=0 drop=1024 speed=1.34x    
frame= 1115 fps= 20 q=31.0 size=    7047kB time=00:01:14.40 bitrate= 775.9kbits/s dup=0 drop=1035 speed=1.34x    
frame= 1126 fps= 20 q=31.0 size=    7114kB time=00:01:15.13 bitrate= 775.7kbits/s dup=0 drop=1046 speed=1.34x    
frame= 1134 fps= 20 q=31.0 size=    7185kB time=00:01:15.66 bitrate= 777.8kbits/s dup=0 drop=1054 speed=1.34x    
frame= 1145 fps= 20 q=31.0 size=    7216kB time=00:01:16.40 bitrate= 773.7kbits/s dup=0 drop=1065 speed=1.34x    
frame= 1154 fps= 20 q=31.0 size=    7292kB time=00:01:17.00 bitrate= 775.8kbits/s dup=0 drop=1074 speed=1.34x    
frame= 1165 fps= 20 q=24.8 size=    7368kB time=00:01:17.73 bitrate= 776.5kbits/s dup=0 drop=1085 speed=1.34x    
frame= 1176 fps= 20 q=31.0 size=    7439kB time=00:01:18.46 bitrate= 776.6kbits/s dup=0 drop=1096 speed=1.34x    
frame= 1185 fps= 20 q=31.0 size=    7526kB time=00:01:19.06 bitrate= 779.7kbits/s dup=0 drop=1105 speed=1.34x    
frame= 1195 fps= 20 q=31.0 size=    7611kB time=00:01:19.73 bitrate= 781.9kbits/s dup=0 drop=1115 speed=1.34x    
frame= 1206 fps= 20 q=31.0 size=    7696kB time=00:01:20.46 bitrate= 783.5kbits/s dup=0 drop=1125 speed=1.34x    
frame= 1217 fps= 20 q=31.0 size=    7799kB time=00:01:21.20 bitrate= 786.8kbits/s dup=0 drop=1136 speed=1.34x    
frame= 1227 fps= 20 q=31.0 size=    7836kB time=00:01:21.86 bitrate= 784.1kbits/s dup=0 drop=1146 speed=1.34x    
frame= 1237 fps= 20 q=24.8 size=    7914kB time=00:01:22.53 bitrate= 785.5kbits/s dup=0 drop=1156 speed=1.34x    
frame= 1247 fps= 20 q=31.0 size=    7989kB time=00:01:23.20 bitrate= 786.6kbits/s dup=0 drop=1166 speed=1.34x    
frame= 1256 fps= 20 q=31.0 size=    8057kB time=00:01:23.80 bitrate= 787.7kbits/s dup=0 drop=1175 speed=1.34x    
frame= 1265 fps= 20 q=31.0 size=    8084kB time=00:01:24.40 bitrate= 784.7kbits/s dup=0 drop=1184 speed=1.34x    
frame= 1274 fps= 20 q=31.0 size=    8154kB time=00:01:25.00 bitrate= 785.9kbits/s dup=0 drop=1193 speed=1.34x    
frame= 1283 fps= 20 q=31.0 size=    8228kB time=00:01:25.60 bitrate= 787.4kbits/s dup=0 drop=1202 speed=1.34x    
frame= 1294 fps= 20 q=31.0 size=    8299kB time=00:01:26.33 bitrate= 787.5kbits/s dup=0 drop=1213 speed=1.34x    
frame= 1304 fps= 20 q=31.0 size=    8380kB time=00:01:27.00 bitrate= 789.0kbits/s dup=0 drop=1223 speed=1.34x    
frame= 1314 fps= 20 q=31.0 size=    8456kB time=00:01:27.66 bitrate= 790.2kbits/s dup=0 drop=1233 speed=1.34x    
frame= 1324 fps= 20 q=31.0 size=    8483kB time=00:01:28.33 bitrate= 786.7kbits/s dup=0 drop=1243 speed=1.34x    
frame= 1334 fps= 20 q=31.0 size=    8549kB time=00:01:29.00 bitrate= 786.9kbits/s dup=0 drop=1253 speed=1.34x    
frame= 1346 fps= 20 q=31.0 size=    8617kB time=00:01:29.80 bitrate= 786.1kbits/s dup=0 drop=1265 speed=1.34x    
frame= 1359 fps= 20 q=31.0 size=    8693kB time=00:01:30.66 bitrate= 785.4kbits/s dup=0 drop=1278 speed=1.34x    
frame= 1373 fps= 20 q=31.0 size=    8807kB time=00:01:31.60 bitrate= 787.7kbits/s dup=0 drop=1292 speed=1.34x    
frame= 1387 fps= 20 q=31.0 size=    8886kB time=00:01:32.53 bitrate= 786.7kbits/s dup=0 drop=1306 speed=1.35x    
frame= 1400 fps= 20 q=31.0 size=    8974kB time=00:01:33.60 bitrate= 785.4kbits/s dup=0 drop=1317 speed=1.35x    
frame= 1415 fps= 20 q=31.0 size=    9130kB time=00:01:34.60 bitrate= 790.7kbits/s dup=0 drop=1329 speed=1.36x    
frame= 1428 fps= 20 q=31.0 size=    9208kB time=00:01:35.46 bitrate= 790.1kbits/s dup=0 drop=1342 speed=1.36x    
frame= 1440 fps= 20 q=31.0 size=    9279kB time=00:01:36.26 bitrate= 789.7kbits/s dup=0 drop=1354 speed=1.36x    
frame= 1450 fps= 20 q=31.0 size=    9356kB time=00:01:36.93 bitrate= 790.7kbits/s dup=0 drop=1364 speed=1.36x    
frame= 1459 fps= 20 q=31.0 size=    9377kB time=00:01:37.53 bitrate= 787.6kbits/s dup=0 drop=1373 speed=1.36x    
frame= 1468 fps= 20 q=31.0 size=    9444kB time=00:01:38.13 bitrate= 788.4kbits/s dup=0 drop=1382 speed=1.36x    
frame= 1478 fps= 20 q=31.0 size=    9507kB time=00:01:38.80 bitrate= 788.3kbits/s dup=0 drop=1392 speed=1.36x    
frame= 1487 fps= 20 q=31.0 size=    9574kB time=00:01:39.40 bitrate= 789.0kbits/s dup=0 drop=1401 speed=1.36x    
frame= 1495 fps= 20 q=31.0 size=    9602kB time=00:01:39.93 bitrate= 787.2kbits/s dup=0 drop=1409 speed=1.35x    
frame= 1504 fps= 20 q=31.0 size=    9676kB time=00:01:40.53 bitrate= 788.4kbits/s dup=0 drop=1418 speed=1.35x    
frame= 1513 fps= 20 q=31.0 size=    9744kB time=00:01:41.13 bitrate= 789.3kbits/s dup=0 drop=1427 speed=1.35x    
frame= 1522 fps= 20 q=31.0 size=    9812kB time=00:01:41.73 bitrate= 790.1kbits/s dup=0 drop=1436 speed=1.35x    
frame= 1532 fps= 20 q=31.0 size=    9835kB time=00:01:42.40 bitrate= 786.8kbits/s dup=0 drop=1446 speed=1.35x    
frame= 1542 fps= 20 q=31.0 size=    9905kB time=00:01:43.06 bitrate= 787.3kbits/s dup=0 drop=1456 speed=1.35x    
frame= 1553 fps= 20 q=24.8 size=    9985kB time=00:01:43.80 bitrate= 788.0kbits/s dup=0 drop=1467 speed=1.35x    
frame= 1563 fps= 20 q=31.0 size=   10071kB time=00:01:44.46 bitrate= 789.7kbits/s dup=0 drop=1477 speed=1.35x    
frame= 1574 fps= 20 q=31.0 size=   10149kB time=00:01:45.20 bitrate= 790.3kbits/s dup=0 drop=1488 speed=1.35x    
frame= 1582 fps= 20 q=31.0 size=   10225kB time=00:01:45.73 bitrate= 792.2kbits/s dup=0 drop=1496 speed=1.35x    
frame= 1592 fps= 20 q=31.0 size=   10261kB time=00:01:46.40 bitrate= 790.0kbits/s dup=0 drop=1506 speed=1.35x    
frame= 1601 fps= 20 q=24.8 size=   10336kB time=00:01:47.00 bitrate= 791.3kbits/s dup=0 drop=1515 speed=1.35x    
frame= 1612 fps= 20 q=31.0 size=   10415kB time=00:01:47.73 bitrate= 791.9kbits/s dup=0 drop=1526 speed=1.35x    
frame= 1624 fps= 20 q=31.0 size=   10490kB time=00:01:48.53 bitrate= 791.8kbits/s dup=0 drop=1538 speed=1.35x    
