ffmpeg version 3.1.7 Copyright (c) 2000-2017 the FFmpeg developers
  built with gcc 5.4.0 (GCC)
  configuration: --disable-static --prefix=/cvmfs/soft.computecanada.ca/nix/store/n7qiyrcpyixibg8mijm826nb3hdb23j1-ffmpeg-3.1.7 --enable-gpl --enable-version3 --enable-shared --disable-static --enable-pic --enable-runtime-cpudetect --enable-hardcoded-tables --enable-pthreads --disable-w32threads --disable-os2threads --enable-network --enable-pixelutils --enable-ffmpeg --disable-ffplay --enable-ffprobe --disable-ffserver --enable-avcodec --enable-avdevice --enable-avfilter --enable-avformat --enable-avresample --enable-avutil --enable-postproc --enable-swresample --enable-swscale --disable-doc --enable-bzlib --enable-gnutls --enable-fontconfig --enable-libfreetype --enable-libmp3lame --enable-iconv --enable-libtheora --enable-vaapi --enable-vdpau --enable-libvorbis --enable-libvpx --enable-lzma --disable-opengl --enable-libpulse --enable-sdl --enable-libsoxr --enable-libx264 --enable-libxvid --enable-zlib --enable-libopus --enable-libx265 --disable-debug --enable-optimizations --disable-extra-warnings --disable-stripping
  libavutil      55. 28.100 / 55. 28.100
  libavcodec     57. 48.101 / 57. 48.101
  libavformat    57. 41.100 / 57. 41.100
  libavdevice    57.  0.101 / 57.  0.101
  libavfilter     6. 47.100 /  6. 47.100
  libavresample   3.  0.  0 /  3.  0.  0
  libswscale      4.  1.100 /  4.  1.100
  libswresample   2.  1.100 /  2.  1.100
  libpostproc    54.  0.100 / 54.  0.100
Input #0, mov,mp4,m4a,3gp,3g2,mj2, from '/project/6001934/lingheng/ROM_Video_Process/ROM_raw_videos/Sep_17/Camera2_Sep_17_1400_1500_Parameterized_Learning_Agent.mp4':
  Metadata:
    major_brand     : isom
    minor_version   : 1
    compatible_brands: isom
    creation_time   : 2018-09-21 14:05:50
  Duration: 01:00:03.84, start: 0.000000, bitrate: 715 kb/s
    Stream #0:0(und): Video: h264 (Main) (avc1 / 0x31637661), yuvj420p(pc, bt709), 1920x1080 [SAR 1:1 DAR 16:9], 695 kb/s, 26.16 fps, 30 tbr, 16k tbn, 60 tbc (default)
    Metadata:
      handler_name    : VideoHandler
    Stream #0:1(und): Audio: aac (LC) (mp4a / 0x6134706D), 16000 Hz, mono, fltp, 16 kb/s (default)
    Metadata:
      creation_time   : 2018-09-21 14:05:56
      handler_name    : GPAC ISO Audio Handler
    Stream #0:2(eng): Subtitle: mov_text (tx3g / 0x67337874), 800x60, 0 kb/s (default)
    Metadata:
      rotate          : 0
      creation_time   : 2018-09-21 14:05:56
      handler_name    : 8ce22889e2774e3ea010dfef8f51915b.subtitles.ttxt:hdlr=sbtl:lang=en:group=2:layer=1 - Imported with GPAC 0.5.0-rev4065
Input #1, png_pipe, from '/project/6001934/lingheng/ROM_Video_Process/Openpose_Video_Analysis_Code/camera2_transparent_img.png':
  Duration: N/A, bitrate: N/A
    Stream #1:0: Video: png, rgba(pc), 1920x1080, 25 tbr, 25 tbn, 25 tbc
[swscaler @ 0x189d780] deprecated pixel format used, make sure you did set range correctly
[avi @ 0x15cb8a0] Using AVStream.codec to pass codec parameters to muxers is deprecated, use AVStream.codecpar instead.
    Last message repeated 1 times
Output #0, avi, to '/project/6001934/lingheng/ROM_Video_Process/ROM_raw_videos_with_interst_area_ffmpeg_new/Sep_17/Camera2_Sep_17_1400_1500_Parameterized_Learning_Agent_ffmpeg_with_interest_area.avi':
  Metadata:
    major_brand     : isom
    minor_version   : 1
    compatible_brands: isom
    ISFT            : Lavf57.41.100
    Stream #0:0: Video: mpeg4 (FMP4 / 0x34504D46), yuv420p, 1920x1080 [SAR 1:1 DAR 16:9], q=2-31, 200 kb/s, 30 fps, 30 tbn, 30 tbc (default)
    Metadata:
      encoder         : Lavc57.48.101 mpeg4
    Side data:
      cpb: bitrate max/min/avg: 0/0/200000 buffer size: 0 vbv_delay: -1
    Stream #0:1(und): Audio: aac (LC) ([255][0][0][0] / 0x00FF), 16000 Hz, mono, 16 kb/s (default)
    Metadata:
      creation_time   : 2018-09-21 14:05:56
      handler_name    : GPAC ISO Audio Handler
Stream mapping:
  Stream #0:0 (h264) -> overlay:main
  Stream #1:0 (png) -> overlay:overlay
  overlay -> Stream #0:0 (mpeg4)
  Stream #0:1 -> #0:1 (copy)
Press [q] to stop, [?] for help
frame=   13 fps=0.0 q=22.1 size=      10kB time=00:00:00.46 bitrate= 171.2kbits/s speed=0.901x    
frame=   29 fps= 28 q=31.0 size=     335kB time=00:00:01.00 bitrate=2747.1kbits/s speed=0.959x    
frame=   49 fps= 31 q=24.8 size=     461kB time=00:00:01.66 bitrate=2266.6kbits/s speed=1.07x    
frame=   68 fps= 33 q=31.0 size=     523kB time=00:00:02.30 bitrate=1863.3kbits/s speed=1.11x    
frame=   86 fps= 33 q=31.0 size=     589kB time=00:00:02.90 bitrate=1664.6kbits/s speed=1.12x    
frame=  105 fps= 34 q=31.0 size=     653kB time=00:00:03.53 bitrate=1514.7kbits/s speed=1.14x    
frame=  126 fps= 35 q=31.0 size=     774kB time=00:00:04.23 bitrate=1496.9kbits/s speed=1.17x    
frame=  148 fps= 36 q=31.0 size=     835kB time=00:00:04.96 bitrate=1377.7kbits/s speed=1.21x    
frame=  173 fps= 37 q=31.0 size=    1007kB time=00:00:05.80 bitrate=1422.9kbits/s speed=1.25x    
frame=  198 fps= 38 q=31.0 size=    1133kB time=00:00:06.63 bitrate=1399.1kbits/s speed=1.29x    
frame=  222 fps= 39 q=31.0 size=    1245kB time=00:00:07.43 bitrate=1372.6kbits/s speed=1.31x    
frame=  247 fps= 40 q=31.0 size=    1369kB time=00:00:08.26 bitrate=1356.9kbits/s speed=1.34x    
frame=  272 fps= 41 q=31.0 size=    1489kB time=00:00:09.10 bitrate=1340.1kbits/s speed=1.36x    
frame=  297 fps= 41 q=31.0 size=    1610kB time=00:00:09.93 bitrate=1327.9kbits/s speed=1.38x    
frame=  322 fps= 42 q=31.0 size=    1729kB time=00:00:10.76 bitrate=1315.2kbits/s speed= 1.4x    
frame=  347 fps= 42 q=31.0 size=    1854kB time=00:00:11.60 bitrate=1309.2kbits/s speed=1.41x    
frame=  372 fps= 43 q=31.0 size=    1976kB time=00:00:12.43 bitrate=1301.9kbits/s speed=1.43x    
frame=  397 fps= 43 q=24.8 size=    2098kB time=00:00:13.26 bitrate=1295.7kbits/s speed=1.44x    
frame=  422 fps= 43 q=31.0 size=    2223kB time=00:00:14.10 bitrate=1291.5kbits/s speed=1.45x    
frame=  447 fps= 44 q=31.0 size=    2346kB time=00:00:14.93 bitrate=1287.2kbits/s speed=1.46x    
frame=  472 fps= 44 q=31.0 size=    2470kB time=00:00:15.76 bitrate=1283.2kbits/s speed=1.47x    
frame=  497 fps= 44 q=31.0 size=    2593kB time=00:00:16.60 bitrate=1279.6kbits/s speed=1.47x    
frame=  522 fps= 44 q=31.0 size=    2718kB time=00:00:17.43 bitrate=1277.0kbits/s speed=1.48x    
frame=  546 fps= 44 q=31.0 size=    2955kB time=00:00:18.70 bitrate=1294.3kbits/s speed=1.52x    
frame=  571 fps= 45 q=31.0 size=    3082kB time=00:00:20.36 bitrate=1239.6kbits/s speed=1.59x    
frame=  597 fps= 45 q=31.0 size=    3155kB time=00:00:21.70 bitrate=1191.1kbits/s speed=1.63x    
frame=  622 fps= 45 q=31.0 size=    3268kB time=00:00:22.53 bitrate=1188.0kbits/s speed=1.63x    
frame=  645 fps= 45 q=31.0 size=    3395kB time=00:00:23.30 bitrate=1193.7kbits/s speed=1.63x    
frame=  670 fps= 45 q=31.0 size=    3524kB time=00:00:24.13 bitrate=1196.2kbits/s speed=1.63x    
frame=  695 fps= 45 q=31.0 size=    3651kB time=00:00:24.96 bitrate=1198.0kbits/s speed=1.63x    
frame=  720 fps= 45 q=31.0 size=    3775kB time=00:00:25.80 bitrate=1198.7kbits/s speed=1.63x    
frame=  743 fps= 45 q=31.0 size=    3902kB time=00:00:26.60 bitrate=1201.7kbits/s speed=1.63x    
frame=  768 fps= 46 q=31.0 size=    4031kB time=00:00:27.43 bitrate=1203.7kbits/s speed=1.63x    
frame=  793 fps= 46 q=24.8 size=    4156kB time=00:00:28.26 bitrate=1204.4kbits/s speed=1.63x    
frame=  818 fps= 46 q=31.0 size=    4284kB time=00:00:29.10 bitrate=1206.0kbits/s speed=1.63x    
frame=  843 fps= 46 q=31.0 size=    4411kB time=00:00:29.93 bitrate=1207.2kbits/s speed=1.63x    
frame=  864 fps= 46 q=31.0 size=    4534kB time=00:00:30.63 bitrate=1212.6kbits/s speed=1.62x    
frame=  889 fps= 46 q=24.8 size=    4662kB time=00:00:31.46 bitrate=1213.8kbits/s speed=1.62x    
frame=  914 fps= 46 q=31.0 size=    4791kB time=00:00:32.30 bitrate=1215.1kbits/s speed=1.62x    
frame=  939 fps= 46 q=31.0 size=    4915kB time=00:00:33.13 bitrate=1215.2kbits/s speed=1.62x    
frame=  964 fps= 46 q=31.0 size=    5054kB time=00:00:33.96 bitrate=1218.9kbits/s speed=1.62x    
frame=  989 fps= 46 q=31.0 size=    5187kB time=00:00:34.80 bitrate=1221.0kbits/s speed=1.62x    
frame= 1014 fps= 46 q=31.0 size=    5314kB time=00:00:35.63 bitrate=1221.7kbits/s speed=1.62x    
frame= 1039 fps= 46 q=31.0 size=    5484kB time=00:00:36.46 bitrate=1231.9kbits/s speed=1.62x    
frame= 1064 fps= 46 q=31.0 size=    5609kB time=00:00:37.30 bitrate=1232.0kbits/s speed=1.62x    
frame= 1089 fps= 46 q=31.0 size=    5731kB time=00:00:38.13 bitrate=1231.2kbits/s speed=1.62x    
frame= 1114 fps= 46 q=31.0 size=    5854kB time=00:00:38.96 bitrate=1230.6kbits/s speed=1.62x    
frame= 1139 fps= 46 q=31.0 size=    5976kB time=00:00:39.80 bitrate=1230.1kbits/s speed=1.62x    
frame= 1164 fps= 46 q=31.0 size=    6098kB time=00:00:40.63 bitrate=1229.5kbits/s speed=1.62x    
frame= 1188 fps= 46 q=31.0 size=    6221kB time=00:00:41.46 bitrate=1229.1kbits/s speed=1.62x    
frame= 1213 fps= 47 q=24.8 size=    6349kB time=00:00:42.30 bitrate=1229.5kbits/s speed=1.62x    
frame= 1238 fps= 47 q=31.0 size=    6473kB time=00:00:43.13 bitrate=1229.4kbits/s speed=1.62x    
frame= 1263 fps= 47 q=31.0 size=    6710kB time=00:00:44.36 bitrate=1238.9kbits/s speed=1.64x    
frame= 1288 fps= 47 q=31.0 size=    6840kB time=00:00:46.10 bitrate=1215.5kbits/s speed=1.67x    
frame= 1314 fps= 47 q=31.0 size=    6915kB time=00:00:47.10 bitrate=1202.7kbits/s speed=1.68x    
frame= 1339 fps= 47 q=31.0 size=    7033kB time=00:00:47.93 bitrate=1201.9kbits/s speed=1.67x    
frame= 1364 fps= 47 q=31.0 size=    7161kB time=00:00:48.76 bitrate=1202.9kbits/s speed=1.67x    
frame= 1389 fps= 47 q=31.0 size=    7289kB time=00:00:49.60 bitrate=1203.8kbits/s speed=1.67x    
frame= 1414 fps= 47 q=31.0 size=    7413kB time=00:00:50.43 bitrate=1204.1kbits/s speed=1.67x    
frame= 1439 fps= 47 q=31.0 size=    7535kB time=00:00:51.26 bitrate=1204.0kbits/s speed=1.67x    
frame= 1464 fps= 47 q=31.0 size=    7657kB time=00:00:52.10 bitrate=1204.0kbits/s speed=1.67x    
frame= 1489 fps= 47 q=24.8 size=    7780kB time=00:00:52.93 bitrate=1204.1kbits/s speed=1.67x    
frame= 1512 fps= 47 q=31.0 size=    7902kB time=00:00:53.70 bitrate=1205.5kbits/s speed=1.67x    
frame= 1536 fps= 47 q=31.0 size=    8028kB time=00:00:54.53 bitrate=1206.0kbits/s speed=1.67x    
frame= 1561 fps= 47 q=24.8 size=    8153kB time=00:00:55.36 bitrate=1206.2kbits/s speed=1.67x    
frame= 1586 fps= 47 q=31.0 size=    8274kB time=00:00:56.20 bitrate=1206.1kbits/s speed=1.67x    
frame= 1612 fps= 47 q=31.0 size=    8398kB time=00:00:57.06 bitrate=1205.5kbits/s speed=1.67x    
frame= 1637 fps= 47 q=31.0 size=    8525kB time=00:00:57.90 bitrate=1206.2kbits/s speed=1.67x    
frame= 1661 fps= 47 q=31.0 size=    8694kB time=00:00:58.73 bitrate=1212.7kbits/s speed=1.67x    
frame= 1686 fps= 47 q=31.0 size=    8824kB time=00:00:59.56 bitrate=1213.6kbits/s speed=1.66x    
frame= 1709 fps= 47 q=31.0 size=    8960kB time=00:01:00.33 bitrate=1216.6kbits/s speed=1.66x    
frame= 1734 fps= 47 q=31.0 size=    9089kB time=00:01:01.16 bitrate=1217.2kbits/s speed=1.66x    
frame= 1759 fps= 47 q=31.0 size=    9210kB time=00:01:02.00 bitrate=1216.9kbits/s speed=1.66x    
frame= 1784 fps= 47 q=31.0 size=    9338kB time=00:01:02.83 bitrate=1217.5kbits/s speed=1.66x    
frame= 1808 fps= 47 q=31.0 size=    9467kB time=00:01:03.66 bitrate=1218.1kbits/s speed=1.66x    
frame= 1833 fps= 47 q=31.0 size=    9595kB time=00:01:04.50 bitrate=1218.7kbits/s speed=1.66x    
frame= 1858 fps= 47 q=31.0 size=    9725kB time=00:01:05.33 bitrate=1219.3kbits/s speed=1.66x    
frame= 1883 fps= 47 q=31.0 size=    9848kB time=00:01:06.16 bitrate=1219.3kbits/s speed=1.66x    
frame= 1908 fps= 47 q=31.0 size=    9972kB time=00:01:07.00 bitrate=1219.3kbits/s speed=1.66x    
frame= 1933 fps= 47 q=24.8 size=   10094kB time=00:01:07.83 bitrate=1219.1kbits/s speed=1.66x    
frame= 1958 fps= 47 q=31.0 size=   10220kB time=00:01:08.66 bitrate=1219.2kbits/s speed=1.66x    
frame= 1981 fps= 47 q=24.8 size=   10357kB time=00:01:09.43 bitrate=1222.0kbits/s speed=1.66x    
frame= 2004 fps= 47 q=31.0 size=   10504kB time=00:01:10.20 bitrate=1225.7kbits/s speed=1.66x    
frame= 2029 fps= 47 q=24.8 size=   10636kB time=00:01:11.10 bitrate=1225.5kbits/s speed=1.66x    
frame= 2052 fps= 47 q=31.0 size=   10797kB time=00:01:11.86 bitrate=1230.7kbits/s speed=1.66x    
frame= 2077 fps= 47 q=24.8 size=   10926kB time=00:01:12.70 bitrate=1231.1kbits/s speed=1.66x    
frame= 2096 fps= 47 q=31.0 size=   11046kB time=00:01:13.33 bitrate=1233.9kbits/s speed=1.65x    
frame= 2119 fps= 47 q=31.0 size=   11163kB time=00:01:14.10 bitrate=1234.1kbits/s speed=1.65x    
frame= 2142 fps= 47 q=31.0 size=   11289kB time=00:01:14.86 bitrate=1235.2kbits/s speed=1.65x    
frame= 2167 fps= 47 q=31.0 size=   11406kB time=00:01:15.70 bitrate=1234.4kbits/s speed=1.65x    
frame= 2192 fps= 47 q=31.0 size=   11528kB time=00:01:16.53 bitrate=1233.9kbits/s speed=1.65x    
frame= 2216 fps= 47 q=31.0 size=   11653kB time=00:01:17.43 bitrate=1232.8kbits/s speed=1.65x    
frame= 2241 fps= 47 q=31.0 size=   11793kB time=00:01:18.26 bitrate=1234.4kbits/s speed=1.65x    
frame= 2264 fps= 47 q=31.0 size=   11920kB time=00:01:19.03 bitrate=1235.6kbits/s speed=1.65x    
frame= 2289 fps= 47 q=31.0 size=   12042kB time=00:01:19.86 bitrate=1235.1kbits/s speed=1.65x    
frame= 2314 fps= 47 q=31.0 size=   12163kB time=00:01:20.70 bitrate=1234.6kbits/s speed=1.65x    
frame= 2339 fps= 47 q=31.0 size=   12288kB time=00:01:21.53 bitrate=1234.6kbits/s speed=1.65x    
frame= 2364 fps= 47 q=31.0 size=   12410kB time=00:01:22.36 bitrate=1234.3kbits/s speed=1.65x    
frame= 2389 fps= 47 q=24.8 size=   12532kB time=00:01:23.20 bitrate=1233.9kbits/s speed=1.65x    
frame= 2414 fps= 47 q=31.0 size=   12651kB time=00:01:24.03 bitrate=1233.3kbits/s speed=1.65x    
frame= 2439 fps= 47 q=31.0 size=   12771kB time=00:01:24.86 bitrate=1232.7kbits/s speed=1.65x    
frame= 2464 fps= 47 q=31.0 size=   12891kB time=00:01:25.70 bitrate=1232.3kbits/s speed=1.65x    
frame= 2489 fps= 47 q=31.0 size=   13054kB time=00:01:26.53 bitrate=1235.8kbits/s speed=1.65x    
frame= 2514 fps= 47 q=31.0 size=   13191kB time=00:01:27.36 bitrate=1236.8kbits/s speed=1.65x    
frame= 2539 fps= 47 q=31.0 size=   13315kB time=00:01:28.20 bitrate=1236.7kbits/s speed=1.65x    
frame= 2565 fps= 47 q=31.0 size=   13444kB time=00:01:29.06 bitrate=1236.5kbits/s speed=1.65x    
frame= 2590 fps= 47 q=31.0 size=   13577kB time=00:01:29.90 bitrate=1237.2kbits/s speed=1.65x    
frame= 2615 fps= 47 q=31.0 size=   13720kB time=00:01:30.73 bitrate=1238.7kbits/s speed=1.65x    
frame= 2640 fps= 47 q=31.0 size=   13860kB time=00:01:31.56 bitrate=1240.0kbits/s speed=1.65x    
frame= 2665 fps= 47 q=24.8 size=   13994kB time=00:01:32.40 bitrate=1240.6kbits/s speed=1.65x    
frame= 2690 fps= 47 q=31.0 size=   14132kB time=00:01:33.23 bitrate=1241.7kbits/s speed=1.65x    
frame= 2715 fps= 47 q=31.0 size=   14271kB time=00:01:34.06 bitrate=1242.8kbits/s speed=1.65x    
frame= 2740 fps= 48 q=31.0 size=   14409kB time=00:01:34.90 bitrate=1243.8kbits/s speed=1.65x    
frame= 2765 fps= 48 q=31.0 size=   14549kB time=00:01:35.73 bitrate=1245.0kbits/s speed=1.65x    
frame= 2790 fps= 48 q=31.0 size=   14688kB time=00:01:36.56 bitrate=1246.1kbits/s speed=1.65x    
frame= 2815 fps= 48 q=31.0 size=   14858kB time=00:01:37.40 bitrate=1249.6kbits/s speed=1.65x    
frame= 2840 fps= 48 q=31.0 size=   14985kB time=00:01:38.23 bitrate=1249.6kbits/s speed=1.64x    
frame= 2865 fps= 48 q=31.0 size=   15111kB time=00:01:39.06 bitrate=1249.5kbits/s speed=1.64x    
frame= 2890 fps= 48 q=31.0 size=   15246kB time=00:01:39.90 bitrate=1250.2kbits/s speed=1.64x    
frame= 2914 fps= 48 q=31.0 size=   15448kB time=00:01:41.16 bitrate=1250.9kbits/s speed=1.65x    
frame= 2939 fps= 48 q=31.0 size=   15513kB time=00:01:42.13 bitrate=1244.3kbits/s speed=1.65x    
frame= 2964 fps= 48 q=31.0 size=   15633kB time=00:01:42.96 bitrate=1243.8kbits/s speed=1.65x    
frame= 2989 fps= 48 q=24.8 size=   15751kB time=00:01:43.80 bitrate=1243.1kbits/s speed=1.65x    
frame= 3014 fps= 48 q=31.0 size=   15871kB time=00:01:44.63 bitrate=1242.6kbits/s speed=1.65x    
frame= 3039 fps= 48 q=31.0 size=   15992kB time=00:01:45.46 bitrate=1242.1kbits/s speed=1.65x    
frame= 3064 fps= 48 q=31.0 size=   16115kB time=00:01:46.30 bitrate=1241.9kbits/s speed=1.65x    
frame= 3089 fps= 48 q=31.0 size=   16238kB time=00:01:47.13 bitrate=1241.7kbits/s speed=1.65x    
frame= 3114 fps= 48 q=31.0 size=   16360kB time=00:01:47.96 bitrate=1241.3kbits/s speed=1.65x    
frame= 3138 fps= 48 q=31.0 size=   16525kB time=00:01:48.76 bitrate=1244.6kbits/s speed=1.65x    
frame= 3163 fps= 48 q=31.0 size=   16704kB time=00:01:50.20 bitrate=1241.7kbits/s speed=1.66x    
frame= 3188 fps= 48 q=31.0 size=   16768kB time=00:01:51.03 bitrate=1237.2kbits/s speed=1.66x    
frame= 3213 fps= 48 q=31.0 size=   16890kB time=00:01:51.86 bitrate=1236.9kbits/s speed=1.66x    
frame= 3238 fps= 48 q=31.0 size=   17011kB time=00:01:52.70 bitrate=1236.5kbits/s speed=1.66x    
frame= 3263 fps= 48 q=31.0 size=   17132kB time=00:01:53.53 bitrate=1236.1kbits/s speed=1.66x    
frame= 3286 fps= 48 q=31.0 size=   17248kB time=00:01:54.30 bitrate=1236.1kbits/s speed=1.66x    
frame= 3311 fps= 48 q=31.0 size=   17369kB time=00:01:55.13 bitrate=1235.8kbits/s speed=1.66x    
frame= 3336 fps= 48 q=31.0 size=   17492kB time=00:01:55.96 bitrate=1235.6kbits/s speed=1.66x    
frame= 3361 fps= 48 q=24.8 size=   17611kB time=00:01:56.80 bitrate=1235.2kbits/s speed=1.66x    
frame= 3386 fps= 48 q=31.0 size=   17730kB time=00:01:57.63 bitrate=1234.7kbits/s speed=1.66x    
frame= 3411 fps= 48 q=31.0 size=   17851kB time=00:01:58.46 bitrate=1234.4kbits/s speed=1.66x    
frame= 3436 fps= 48 q=31.0 size=   17971kB time=00:01:59.30 bitrate=1234.0kbits/s speed=1.66x    
frame= 3461 fps= 48 q=31.0 size=   18090kB time=00:02:00.13 bitrate=1233.6kbits/s speed=1.66x    
frame= 3485 fps= 48 q=31.0 size=   18255kB time=00:02:00.96 bitrate=1236.3kbits/s speed=1.66x    
frame= 3510 fps= 48 q=31.0 size=   18377kB time=00:02:01.80 bitrate=1236.0kbits/s speed=1.66x    
frame= 3536 fps= 48 q=31.0 size=   18503kB time=00:02:02.66 bitrate=1235.7kbits/s speed=1.66x    
frame= 3561 fps= 48 q=31.0 size=   18627kB time=00:02:03.50 bitrate=1235.6kbits/s speed=1.66x    
frame= 3586 fps= 48 q=31.0 size=   18750kB time=00:02:04.33 bitrate=1235.4kbits/s speed=1.66x    
frame= 3609 fps= 48 q=31.0 size=   18873kB time=00:02:05.10 bitrate=1235.9kbits/s speed=1.66x    
frame= 3634 fps= 48 q=31.0 size=   18996kB time=00:02:05.93 bitrate=1235.7kbits/s speed=1.65x    
frame= 3659 fps= 48 q=31.0 size=   19122kB time=00:02:06.76 bitrate=1235.7kbits/s speed=1.65x    
frame= 3684 fps= 48 q=31.0 size=   19248kB time=00:02:07.60 bitrate=1235.7kbits/s speed=1.65x    
frame= 3709 fps= 48 q=24.8 size=   19370kB time=00:02:08.43 bitrate=1235.5kbits/s speed=1.65x    
frame= 3734 fps= 48 q=31.0 size=   19496kB time=00:02:09.26 bitrate=1235.5kbits/s speed=1.65x    
frame= 3759 fps= 48 q=31.0 size=   19620kB time=00:02:10.10 bitrate=1235.4kbits/s speed=1.65x    
