ffmpeg version 3.1.7 Copyright (c) 2000-2017 the FFmpeg developers
  built with gcc 5.4.0 (GCC)
  configuration: --disable-static --prefix=/cvmfs/soft.computecanada.ca/nix/store/n7qiyrcpyixibg8mijm826nb3hdb23j1-ffmpeg-3.1.7 --enable-gpl --enable-version3 --enable-shared --disable-static --enable-pic --enable-runtime-cpudetect --enable-hardcoded-tables --enable-pthreads --disable-w32threads --disable-os2threads --enable-network --enable-pixelutils --enable-ffmpeg --disable-ffplay --enable-ffprobe --disable-ffserver --enable-avcodec --enable-avdevice --enable-avfilter --enable-avformat --enable-avresample --enable-avutil --enable-postproc --enable-swresample --enable-swscale --disable-doc --enable-bzlib --enable-gnutls --enable-fontconfig --enable-libfreetype --enable-libmp3lame --enable-iconv --enable-libtheora --enable-vaapi --enable-vdpau --enable-libvorbis --enable-libvpx --enable-lzma --disable-opengl --enable-libpulse --enable-sdl --enable-libsoxr --enable-libx264 --enable-libxvid --enable-zlib --enable-libopus --enable-libx265 --disable-debug --enable-optimizations --disable-extra-warnings --disable-stripping
  libavutil      55. 28.100 / 55. 28.100
  libavcodec     57. 48.101 / 57. 48.101
  libavformat    57. 41.100 / 57. 41.100
  libavdevice    57.  0.101 / 57.  0.101
  libavfilter     6. 47.100 /  6. 47.100
  libavresample   3.  0.  0 /  3.  0.  0
  libswscale      4.  1.100 /  4.  1.100
  libswresample   2.  1.100 /  2.  1.100
  libpostproc    54.  0.100 / 54.  0.100
Input #0, mov,mp4,m4a,3gp,3g2,mj2, from '/project/6001934/lingheng/ROM_Video_Process/ROM_raw_videos/Sep_17/Camera2_Sep_17_1500_1600_Prescribed_Behavior.mp4':
  Metadata:
    major_brand     : isom
    minor_version   : 1
    compatible_brands: isom
    creation_time   : 2018-09-21 18:12:01
  Duration: 01:00:01.47, start: 0.000000, bitrate: 640 kb/s
    Stream #0:0(und): Video: h264 (Main) (avc1 / 0x31637661), yuvj420p(pc, bt709), 1920x1080 [SAR 1:1 DAR 16:9], 620 kb/s, 22.78 fps, 30 tbr, 16k tbn, 60 tbc (default)
    Metadata:
      handler_name    : VideoHandler
    Stream #0:1(und): Audio: aac (LC) (mp4a / 0x6134706D), 16000 Hz, mono, fltp, 16 kb/s (default)
    Metadata:
      creation_time   : 2018-09-21 18:12:05
      handler_name    : GPAC ISO Audio Handler
    Stream #0:2(eng): Subtitle: mov_text (tx3g / 0x67337874), 800x60, 0 kb/s (default)
    Metadata:
      rotate          : 0
      creation_time   : 2018-09-21 18:12:05
      handler_name    : eaca090644324541b852c45b625967ee.subtitles.ttxt:hdlr=sbtl:lang=en:group=2:layer=1 - Imported with GPAC 0.5.0-rev4065
Input #1, png_pipe, from '/project/6001934/lingheng/ROM_Video_Process/Openpose_Video_Analysis_Code/camera2_transparent_img.png':
  Duration: N/A, bitrate: N/A
    Stream #1:0: Video: png, rgba(pc), 1920x1080, 25 tbr, 25 tbn, 25 tbc
[swscaler @ 0x16d4ac0] deprecated pixel format used, make sure you did set range correctly
[avi @ 0x16b4360] Using AVStream.codec to pass codec parameters to muxers is deprecated, use AVStream.codecpar instead.
    Last message repeated 1 times
Output #0, avi, to '/project/6001934/lingheng/ROM_Video_Process/ROM_raw_videos_with_interst_area_ffmpeg_new/Sep_17/Camera2_Sep_17_1500_1600_Prescribed_Behavior_ffmpeg_with_interest_area.avi':
  Metadata:
    major_brand     : isom
    minor_version   : 1
    compatible_brands: isom
    ISFT            : Lavf57.41.100
    Stream #0:0: Video: mpeg4 (FMP4 / 0x34504D46), yuv420p, 1920x1080 [SAR 1:1 DAR 16:9], q=2-31, 200 kb/s, 30 fps, 30 tbn, 30 tbc (default)
    Metadata:
      encoder         : Lavc57.48.101 mpeg4
    Side data:
      cpb: bitrate max/min/avg: 0/0/200000 buffer size: 0 vbv_delay: -1
    Stream #0:1(und): Audio: aac (LC) ([255][0][0][0] / 0x00FF), 16000 Hz, mono, 16 kb/s (default)
    Metadata:
      creation_time   : 2018-09-21 18:12:05
      handler_name    : GPAC ISO Audio Handler
Stream mapping:
  Stream #0:0 (h264) -> overlay:main
  Stream #1:0 (png) -> overlay:overlay
  overlay -> Stream #0:0 (mpeg4)
  Stream #0:1 -> #0:1 (copy)
Press [q] to stop, [?] for help
frame=   15 fps=0.0 q=30.6 size=      10kB time=00:00:00.53 bitrate= 151.8kbits/s speed=1.01x    
frame=   37 fps= 36 q=24.8 size=     396kB time=00:00:01.26 bitrate=2562.1kbits/s speed=1.23x    
frame=   62 fps= 41 q=31.0 size=     521kB time=00:00:02.10 bitrate=2031.3kbits/s speed=1.37x    
frame=   88 fps= 43 q=31.0 size=     583kB time=00:00:02.96 bitrate=1608.8kbits/s speed=1.45x    
frame=  114 fps= 44 q=31.0 size=     705kB time=00:00:03.83 bitrate=1506.5kbits/s speed= 1.5x    
frame=  140 fps= 45 q=31.0 size=     826kB time=00:00:04.70 bitrate=1439.0kbits/s speed=1.53x    
frame=  165 fps= 46 q=31.0 size=     932kB time=00:00:05.53 bitrate=1380.4kbits/s speed=1.54x    
frame=  191 fps= 47 q=31.0 size=    1060kB time=00:00:06.40 bitrate=1356.4kbits/s speed=1.56x    
frame=  217 fps= 47 q=24.8 size=    1183kB time=00:00:07.26 bitrate=1333.1kbits/s speed=1.57x    
frame=  242 fps= 47 q=31.0 size=    1305kB time=00:00:08.10 bitrate=1320.2kbits/s speed=1.58x    
frame=  267 fps= 47 q=31.0 size=    1421kB time=00:00:08.93 bitrate=1303.1kbits/s speed=1.59x    
frame=  292 fps= 48 q=31.0 size=    1547kB time=00:00:09.76 bitrate=1297.3kbits/s speed=1.59x    
frame=  318 fps= 48 q=31.0 size=    1713kB time=00:00:10.63 bitrate=1319.9kbits/s speed= 1.6x    
frame=  345 fps= 48 q=31.0 size=    1839kB time=00:00:11.53 bitrate=1306.1kbits/s speed=1.61x    
frame=  370 fps= 48 q=31.0 size=    1963kB time=00:00:12.36 bitrate=1300.0kbits/s speed=1.61x    
frame=  395 fps= 48 q=31.0 size=    2090kB time=00:00:13.20 bitrate=1296.9kbits/s speed=1.61x    
frame=  422 fps= 48 q=31.0 size=    2215kB time=00:00:14.10 bitrate=1286.8kbits/s speed=1.62x    
frame=  447 fps= 48 q=31.0 size=    2340kB time=00:00:14.93 bitrate=1283.7kbits/s speed=1.62x    
frame=  472 fps= 48 q=31.0 size=    2464kB time=00:00:15.76 bitrate=1280.3kbits/s speed=1.62x    
frame=  497 fps= 49 q=31.0 size=    2588kB time=00:00:16.60 bitrate=1277.1kbits/s speed=1.62x    
frame=  520 fps= 48 q=31.0 size=    2714kB time=00:00:17.36 bitrate=1280.4kbits/s speed=1.62x    
frame=  545 fps= 48 q=31.0 size=    2848kB time=00:00:18.20 bitrate=1281.7kbits/s speed=1.62x    
frame=  570 fps= 48 q=31.0 size=    3023kB time=00:00:19.03 bitrate=1301.1kbits/s speed=1.62x    
frame=  595 fps= 49 q=31.0 size=    3157kB time=00:00:19.86 bitrate=1301.6kbits/s speed=1.62x    
frame=  620 fps= 49 q=31.0 size=    3285kB time=00:00:20.70 bitrate=1299.9kbits/s speed=1.62x    
frame=  645 fps= 49 q=31.0 size=    3416kB time=00:00:21.53 bitrate=1299.6kbits/s speed=1.62x    
frame=  670 fps= 49 q=31.0 size=    3550kB time=00:00:22.36 bitrate=1300.1kbits/s speed=1.63x    
frame=  695 fps= 49 q=31.0 size=    3680kB time=00:00:23.20 bitrate=1299.3kbits/s speed=1.63x    
frame=  720 fps= 49 q=31.0 size=    3809kB time=00:00:24.03 bitrate=1298.4kbits/s speed=1.63x    
frame=  745 fps= 49 q=24.8 size=    3937kB time=00:00:24.86 bitrate=1297.1kbits/s speed=1.63x    
frame=  770 fps= 49 q=31.0 size=    4066kB time=00:00:25.70 bitrate=1295.9kbits/s speed=1.63x    
frame=  795 fps= 49 q=31.0 size=    4193kB time=00:00:26.53 bitrate=1294.5kbits/s speed=1.63x    
frame=  820 fps= 49 q=31.0 size=    4320kB time=00:00:27.36 bitrate=1293.2kbits/s speed=1.63x    
frame=  845 fps= 49 q=31.0 size=    4449kB time=00:00:28.20 bitrate=1292.4kbits/s speed=1.63x    
frame=  870 fps= 49 q=31.0 size=    4576kB time=00:00:29.03 bitrate=1291.2kbits/s speed=1.63x    
frame=  894 fps= 49 q=31.0 size=    4749kB time=00:00:29.83 bitrate=1303.9kbits/s speed=1.63x    
frame=  921 fps= 49 q=31.0 size=    4877kB time=00:00:30.73 bitrate=1299.9kbits/s speed=1.63x    
frame=  946 fps= 49 q=31.0 size=    5004kB time=00:00:31.56 bitrate=1298.7kbits/s speed=1.63x    
frame=  969 fps= 49 q=31.0 size=    5128kB time=00:00:32.33 bitrate=1299.3kbits/s speed=1.63x    
frame=  994 fps= 49 q=31.0 size=    5251kB time=00:00:33.16 bitrate=1297.0kbits/s speed=1.63x    
frame= 1019 fps= 49 q=31.0 size=    5381kB time=00:00:34.00 bitrate=1296.6kbits/s speed=1.63x    
frame= 1044 fps= 49 q=31.0 size=    5510kB time=00:00:34.83 bitrate=1295.8kbits/s speed=1.63x    
frame= 1067 fps= 49 q=31.0 size=    5634kB time=00:00:35.60 bitrate=1296.4kbits/s speed=1.63x    
frame= 1092 fps= 49 q=31.0 size=    5762kB time=00:00:36.43 bitrate=1295.5kbits/s speed=1.63x    
frame= 1117 fps= 49 q=24.8 size=    5889kB time=00:00:37.26 bitrate=1294.6kbits/s speed=1.63x    
frame= 1142 fps= 49 q=31.0 size=    6018kB time=00:00:38.10 bitrate=1293.9kbits/s speed=1.63x    
frame= 1167 fps= 49 q=31.0 size=    6144kB time=00:00:38.93 bitrate=1292.8kbits/s speed=1.63x    
frame= 1190 fps= 49 q=31.0 size=    6268kB time=00:00:39.70 bitrate=1293.3kbits/s speed=1.63x    
frame= 1215 fps= 49 q=31.0 size=    6399kB time=00:00:40.53 bitrate=1293.2kbits/s speed=1.63x    
frame= 1239 fps= 49 q=31.0 size=    6597kB time=00:00:41.50 bitrate=1302.3kbits/s speed=1.63x    
frame= 1264 fps= 49 q=31.0 size=    6804kB time=00:00:43.16 bitrate=1291.2kbits/s speed=1.66x    
frame= 1289 fps= 49 q=31.0 size=    6944kB time=00:00:44.83 bitrate=1268.8kbits/s speed=1.69x    
frame= 1314 fps= 49 q=31.0 size=    7085kB time=00:00:46.56 bitrate=1246.3kbits/s speed=1.73x    
frame= 1339 fps= 49 q=31.0 size=    7224kB time=00:00:48.23 bitrate=1226.9kbits/s speed=1.76x    
frame= 1364 fps= 49 q=31.0 size=    7366kB time=00:00:49.90 bitrate=1209.3kbits/s speed=1.78x    
frame= 1389 fps= 49 q=31.0 size=    7502kB time=00:00:51.56 bitrate=1191.7kbits/s speed=1.81x    
frame= 1414 fps= 49 q=31.0 size=    7632kB time=00:00:53.23 bitrate=1174.5kbits/s speed=1.84x    
frame= 1439 fps= 49 q=31.0 size=    7759kB time=00:00:54.90 bitrate=1157.7kbits/s speed=1.86x    
frame= 1464 fps= 49 q=31.0 size=    7891kB time=00:00:56.56 bitrate=1142.8kbits/s speed=1.89x    
frame= 1489 fps= 49 q=24.8 size=    8033kB time=00:00:58.23 bitrate=1130.1kbits/s speed=1.91x    
frame= 1514 fps= 49 q=31.0 size=    8213kB time=00:00:59.90 bitrate=1123.2kbits/s speed=1.93x    
frame= 1539 fps= 49 q=31.0 size=    8384kB time=00:01:01.56 bitrate=1115.5kbits/s speed=1.95x    
frame= 1564 fps= 49 q=31.0 size=    8529kB time=00:01:03.23 bitrate=1105.0kbits/s speed=1.97x    
frame= 1589 fps= 49 q=31.0 size=    8604kB time=00:01:04.23 bitrate=1097.3kbits/s speed=1.98x    
frame= 1614 fps= 49 q=31.0 size=    8731kB time=00:01:05.06 bitrate=1099.2kbits/s speed=1.97x    
frame= 1639 fps= 49 q=31.0 size=    8866kB time=00:01:05.90 bitrate=1102.1kbits/s speed=1.97x    
frame= 1664 fps= 49 q=31.0 size=    8995kB time=00:01:06.73 bitrate=1104.2kbits/s speed=1.96x    
frame= 1689 fps= 49 q=31.0 size=    9125kB time=00:01:07.56 bitrate=1106.4kbits/s speed=1.96x    
frame= 1712 fps= 49 q=31.0 size=    9252kB time=00:01:08.33 bitrate=1109.1kbits/s speed=1.95x    
frame= 1737 fps= 49 q=31.0 size=    9389kB time=00:01:09.16 bitrate=1112.0kbits/s speed=1.95x    
frame= 1762 fps= 49 q=31.0 size=    9514kB time=00:01:10.00 bitrate=1113.5kbits/s speed=1.94x    
frame= 1789 fps= 49 q=24.8 size=    9639kB time=00:01:10.90 bitrate=1113.7kbits/s speed=1.94x    
frame= 1814 fps= 49 q=31.0 size=    9764kB time=00:01:11.73 bitrate=1115.0kbits/s speed=1.94x    
frame= 1839 fps= 49 q=31.0 size=   10008kB time=00:01:13.26 bitrate=1119.0kbits/s speed=1.95x    
frame= 1864 fps= 49 q=31.0 size=   10140kB time=00:01:14.93 bitrate=1108.5kbits/s speed=1.97x    
frame= 1890 fps= 49 q=31.0 size=   10270kB time=00:01:16.66 bitrate=1097.3kbits/s speed=1.99x    
frame= 1916 fps= 49 q=31.0 size=   10397kB time=00:01:18.40 bitrate=1086.4kbits/s speed=   2x    
frame= 1943 fps= 49 q=31.0 size=   10522kB time=00:01:20.06 bitrate=1076.6kbits/s speed=2.02x    
frame= 1968 fps= 49 q=31.0 size=   10590kB time=00:01:20.90 bitrate=1072.4kbits/s speed=2.02x    
frame= 1993 fps= 49 q=24.8 size=   10724kB time=00:01:21.73 bitrate=1074.8kbits/s speed=2.01x    
frame= 2018 fps= 49 q=31.0 size=   10855kB time=00:01:22.56 bitrate=1077.0kbits/s speed=2.01x    
frame= 2043 fps= 49 q=31.0 size=   10981kB time=00:01:23.40 bitrate=1078.6kbits/s speed=   2x    
frame= 2068 fps= 49 q=31.0 size=   11105kB time=00:01:24.26 bitrate=1079.5kbits/s speed=   2x    
frame= 2093 fps= 49 q=31.0 size=   11243kB time=00:01:25.10 bitrate=1082.3kbits/s speed=1.99x    
frame= 2118 fps= 49 q=31.0 size=   11371kB time=00:01:25.93 bitrate=1084.0kbits/s speed=1.99x    
frame= 2143 fps= 49 q=31.0 size=   11537kB time=00:01:26.76 bitrate=1089.2kbits/s speed=1.99x    
frame= 2168 fps= 49 q=31.0 size=   11662kB time=00:01:27.60 bitrate=1090.6kbits/s speed=1.98x    
frame= 2193 fps= 49 q=31.0 size=   11859kB time=00:01:28.90 bitrate=1092.8kbits/s speed=1.99x    
frame= 2219 fps= 49 q=31.0 size=   11927kB time=00:01:29.90 bitrate=1086.9kbits/s speed=1.99x    
frame= 2246 fps= 49 q=31.0 size=   12048kB time=00:01:30.80 bitrate=1086.9kbits/s speed=1.98x    
frame= 2271 fps= 49 q=31.0 size=   12170kB time=00:01:31.63 bitrate=1088.0kbits/s speed=1.98x    
frame= 2296 fps= 49 q=31.0 size=   12318kB time=00:01:32.46 bitrate=1091.3kbits/s speed=1.98x    
frame= 2321 fps= 49 q=31.0 size=   12489kB time=00:01:33.30 bitrate=1096.6kbits/s speed=1.97x    
frame= 2346 fps= 49 q=31.0 size=   12613kB time=00:01:34.13 bitrate=1097.7kbits/s speed=1.97x    
frame= 2372 fps= 49 q=31.0 size=   12802kB time=00:01:35.36 bitrate=1099.7kbits/s speed=1.97x    
frame= 2397 fps= 49 q=31.0 size=   12928kB time=00:01:37.03 bitrate=1091.4kbits/s speed=1.99x    
frame= 2422 fps= 49 q=31.0 size=   13055kB time=00:01:38.70 bitrate=1083.6kbits/s speed=   2x    
frame= 2449 fps= 49 q=24.8 size=   13130kB time=00:01:39.83 bitrate=1077.4kbits/s speed=   2x    
frame= 2472 fps= 49 q=31.0 size=   13256kB time=00:01:40.60 bitrate=1079.4kbits/s speed=   2x    
frame= 2499 fps= 49 q=31.0 size=   13385kB time=00:01:41.50 bitrate=1080.3kbits/s speed=   2x    
frame= 2524 fps= 49 q=31.0 size=   13511kB time=00:01:42.33 bitrate=1081.5kbits/s speed=1.99x    
frame= 2551 fps= 49 q=31.0 size=   13674kB time=00:01:43.23 bitrate=1085.1kbits/s speed=1.99x    
frame= 2574 fps= 49 q=31.0 size=   13751kB time=00:01:44.00 bitrate=1083.2kbits/s speed=1.99x    
frame= 2597 fps= 49 q=31.0 size=   13988kB time=00:01:45.16 bitrate=1089.6kbits/s speed=1.99x    
frame= 2624 fps= 49 q=31.0 size=   14059kB time=00:01:46.56 bitrate=1080.8kbits/s speed=   2x    
frame= 2649 fps= 49 q=31.0 size=   14173kB time=00:01:47.40 bitrate=1081.1kbits/s speed=1.99x    
frame= 2675 fps= 49 q=31.0 size=   14296kB time=00:01:48.26 bitrate=1081.7kbits/s speed=1.99x    
frame= 2698 fps= 49 q=31.0 size=   14423kB time=00:01:49.03 bitrate=1083.7kbits/s speed=1.98x    
frame= 2723 fps= 49 q=31.0 size=   14548kB time=00:01:49.86 bitrate=1084.8kbits/s speed=1.98x    
frame= 2748 fps= 49 q=31.0 size=   14670kB time=00:01:50.70 bitrate=1085.6kbits/s speed=1.98x    
frame= 2773 fps= 49 q=24.8 size=   14797kB time=00:01:51.53 bitrate=1086.8kbits/s speed=1.97x    
frame= 2797 fps= 49 q=24.8 size=   14926kB time=00:01:52.36 bitrate=1088.1kbits/s speed=1.97x    
frame= 2823 fps= 49 q=31.0 size=   15105kB time=00:01:53.30 bitrate=1092.1kbits/s speed=1.97x    
frame= 2849 fps= 49 q=31.0 size=   15282kB time=00:01:54.93 bitrate=1089.2kbits/s speed=1.98x    
frame= 2876 fps= 49 q=31.0 size=   15350kB time=00:01:55.83 bitrate=1085.6kbits/s speed=1.98x    
frame= 2901 fps= 49 q=31.0 size=   15473kB time=00:01:56.70 bitrate=1086.2kbits/s speed=1.98x    
frame= 2926 fps= 49 q=31.0 size=   15602kB time=00:01:57.56 bitrate=1087.1kbits/s speed=1.97x    
frame= 2951 fps= 49 q=31.0 size=   15749kB time=00:01:58.40 bitrate=1089.7kbits/s speed=1.97x    
frame= 2978 fps= 49 q=31.0 size=   15877kB time=00:01:59.30 bitrate=1090.2kbits/s speed=1.97x    
frame= 3003 fps= 49 q=31.0 size=   16007kB time=00:02:00.13 bitrate=1091.6kbits/s speed=1.97x    
frame= 3029 fps= 49 q=31.0 size=   16179kB time=00:02:01.00 bitrate=1095.3kbits/s speed=1.96x    
frame= 3056 fps= 49 q=31.0 size=   16311kB time=00:02:01.90 bitrate=1096.1kbits/s speed=1.96x    
frame= 3081 fps= 49 q=31.0 size=   16444kB time=00:02:02.73 bitrate=1097.6kbits/s speed=1.96x    
frame= 3106 fps= 49 q=31.0 size=   16569kB time=00:02:03.56 bitrate=1098.4kbits/s speed=1.96x    
frame= 3133 fps= 49 q=24.8 size=   16694kB time=00:02:04.46 bitrate=1098.7kbits/s speed=1.95x    
frame= 3158 fps= 49 q=31.0 size=   16825kB time=00:02:05.30 bitrate=1100.0kbits/s speed=1.95x    
frame= 3183 fps= 49 q=31.0 size=   16958kB time=00:02:06.13 bitrate=1101.4kbits/s speed=1.95x    
frame= 3208 fps= 49 q=31.0 size=   17089kB time=00:02:06.96 bitrate=1102.6kbits/s speed=1.95x    
frame= 3233 fps= 49 q=31.0 size=   17235kB time=00:02:07.80 bitrate=1104.8kbits/s speed=1.95x    
frame= 3257 fps= 49 q=31.0 size=   17427kB time=00:02:08.70 bitrate=1109.2kbits/s speed=1.94x    
frame= 3282 fps= 49 q=31.0 size=   17642kB time=00:02:09.96 bitrate=1112.0kbits/s speed=1.95x    
frame= 3308 fps= 49 q=31.0 size=   17773kB time=00:02:11.70 bitrate=1105.5kbits/s speed=1.96x    
frame= 3333 fps= 49 q=31.0 size=   17839kB time=00:02:12.66 bitrate=1101.5kbits/s speed=1.96x    
frame= 3360 fps= 49 q=31.0 size=   17960kB time=00:02:13.56 bitrate=1101.5kbits/s speed=1.96x    
frame= 3385 fps= 49 q=24.8 size=   18086kB time=00:02:14.40 bitrate=1102.4kbits/s speed=1.95x    
frame= 3411 fps= 49 q=31.0 size=   18214kB time=00:02:15.36 bitrate=1102.3kbits/s speed=1.95x    
frame= 3436 fps= 49 q=31.0 size=   18360kB time=00:02:16.20 bitrate=1104.3kbits/s speed=1.95x    
frame= 3460 fps= 49 q=31.0 size=   18490kB time=00:02:17.00 bitrate=1105.6kbits/s speed=1.95x    
frame= 3487 fps= 49 q=31.0 size=   18659kB time=00:02:17.90 bitrate=1108.5kbits/s speed=1.95x    
frame= 3512 fps= 49 q=31.0 size=   18788kB time=00:02:18.73 bitrate=1109.4kbits/s speed=1.95x    
frame= 3535 fps= 49 q=31.0 size=   18913kB time=00:02:19.50 bitrate=1110.7kbits/s speed=1.94x    
frame= 3562 fps= 49 q=31.0 size=   19037kB time=00:02:20.40 bitrate=1110.8kbits/s speed=1.94x    
frame= 3587 fps= 49 q=31.0 size=   19163kB time=00:02:21.23 bitrate=1111.5kbits/s speed=1.94x    
frame= 3612 fps= 49 q=31.0 size=   19279kB time=00:02:22.06 bitrate=1111.7kbits/s speed=1.94x    
frame= 3637 fps= 49 q=24.8 size=   19470kB time=00:02:23.66 bitrate=1110.2kbits/s speed=1.94x    
frame= 3662 fps= 49 q=31.0 size=   19575kB time=00:02:24.63 bitrate=1108.7kbits/s speed=1.94x    
frame= 3689 fps= 49 q=31.0 size=   19662kB time=00:02:25.53 bitrate=1106.8kbits/s speed=1.94x    
frame= 3714 fps= 49 q=31.0 size=   19828kB time=00:02:26.36 bitrate=1109.8kbits/s speed=1.94x    
frame= 3741 fps= 49 q=31.0 size=   19949kB time=00:02:27.26 bitrate=1109.7kbits/s speed=1.94x    
frame= 3766 fps= 49 q=31.0 size=   20074kB time=00:02:28.10 bitrate=1110.4kbits/s speed=1.94x    
frame= 3791 fps= 49 q=31.0 size=   20201kB time=00:02:28.93 bitrate=1111.1kbits/s speed=1.94x    
frame= 3817 fps= 49 q=24.8 size=   20385kB time=00:02:30.40 bitrate=1110.3kbits/s speed=1.94x    
frame= 3842 fps= 49 q=31.0 size=   20450kB time=00:02:31.23 bitrate=1107.7kbits/s speed=1.94x    
frame= 3867 fps= 49 q=31.0 size=   20571kB time=00:02:32.06 bitrate=1108.2kbits/s speed=1.94x    
