ffmpeg version 3.1.7 Copyright (c) 2000-2017 the FFmpeg developers
  built with gcc 5.4.0 (GCC)
  configuration: --disable-static --prefix=/cvmfs/soft.computecanada.ca/nix/store/n7qiyrcpyixibg8mijm826nb3hdb23j1-ffmpeg-3.1.7 --enable-gpl --enable-version3 --enable-shared --disable-static --enable-pic --enable-runtime-cpudetect --enable-hardcoded-tables --enable-pthreads --disable-w32threads --disable-os2threads --enable-network --enable-pixelutils --enable-ffmpeg --disable-ffplay --enable-ffprobe --disable-ffserver --enable-avcodec --enable-avdevice --enable-avfilter --enable-avformat --enable-avresample --enable-avutil --enable-postproc --enable-swresample --enable-swscale --disable-doc --enable-bzlib --enable-gnutls --enable-fontconfig --enable-libfreetype --enable-libmp3lame --enable-iconv --enable-libtheora --enable-vaapi --enable-vdpau --enable-libvorbis --enable-libvpx --enable-lzma --disable-opengl --enable-libpulse --enable-sdl --enable-libsoxr --enable-libx264 --enable-libxvid --enable-zlib --enable-libopus --enable-libx265 --disable-debug --enable-optimizations --disable-extra-warnings --disable-stripping
  libavutil      55. 28.100 / 55. 28.100
  libavcodec     57. 48.101 / 57. 48.101
  libavformat    57. 41.100 / 57. 41.100
  libavdevice    57.  0.101 / 57.  0.101
  libavfilter     6. 47.100 /  6. 47.100
  libavresample   3.  0.  0 /  3.  0.  0
  libswscale      4.  1.100 /  4.  1.100
  libswresample   2.  1.100 /  2.  1.100
  libpostproc    54.  0.100 / 54.  0.100
Input #0, mov,mp4,m4a,3gp,3g2,mj2, from '/project/6001934/lingheng/ROM_Video_Process/ROM_raw_videos/Sep_17/Camera2_Sep_17_1500_1600_Prescribed_Behavior.mp4':
  Metadata:
    major_brand     : isom
    minor_version   : 1
    compatible_brands: isom
    creation_time   : 2018-09-21 18:12:01
  Duration: 01:00:01.47, start: 0.000000, bitrate: 640 kb/s
    Stream #0:0(und): Video: h264 (Main) (avc1 / 0x31637661), yuvj420p(pc, bt709), 1920x1080 [SAR 1:1 DAR 16:9], 620 kb/s, 22.78 fps, 30 tbr, 16k tbn, 60 tbc (default)
    Metadata:
      handler_name    : VideoHandler
    Stream #0:1(und): Audio: aac (LC) (mp4a / 0x6134706D), 16000 Hz, mono, fltp, 16 kb/s (default)
    Metadata:
      creation_time   : 2018-09-21 18:12:05
      handler_name    : GPAC ISO Audio Handler
    Stream #0:2(eng): Subtitle: mov_text (tx3g / 0x67337874), 800x60, 0 kb/s (default)
    Metadata:
      rotate          : 0
      creation_time   : 2018-09-21 18:12:05
      handler_name    : eaca090644324541b852c45b625967ee.subtitles.ttxt:hdlr=sbtl:lang=en:group=2:layer=1 - Imported with GPAC 0.5.0-rev4065
Input #1, png_pipe, from '/project/6001934/lingheng/ROM_Video_Process/Openpose_Video_Analysis_Code/camera2_transparent_img.png':
  Duration: N/A, bitrate: N/A
    Stream #1:0: Video: png, rgba(pc), 1920x1080, 25 tbr, 25 tbn, 25 tbc
[swscaler @ 0x1f7aac0] deprecated pixel format used, make sure you did set range correctly
[avi @ 0x1f5a360] Using AVStream.codec to pass codec parameters to muxers is deprecated, use AVStream.codecpar instead.
    Last message repeated 1 times
Output #0, avi, to '/project/6001934/lingheng/ROM_Video_Process/ROM_raw_videos_with_interst_area_ffmpeg_new2/Sep_17/Camera2_Sep_17_1500_1600_Prescribed_Behavior_ffmpeg_with_interest_area.avi':
  Metadata:
    major_brand     : isom
    minor_version   : 1
    compatible_brands: isom
    ISFT            : Lavf57.41.100
    Stream #0:0: Video: mpeg4 (FMP4 / 0x34504D46), yuv420p, 1920x1080 [SAR 1:1 DAR 16:9], q=2-31, 200 kb/s, 30 fps, 30 tbn, 30 tbc (default)
    Metadata:
      encoder         : Lavc57.48.101 mpeg4
    Side data:
      cpb: bitrate max/min/avg: 0/0/200000 buffer size: 0 vbv_delay: -1
    Stream #0:1(und): Audio: aac (LC) ([255][0][0][0] / 0x00FF), 16000 Hz, mono, 16 kb/s (default)
    Metadata:
      creation_time   : 2018-09-21 18:12:05
      handler_name    : GPAC ISO Audio Handler
Stream mapping:
  Stream #0:0 (h264) -> overlay:main
  Stream #1:0 (png) -> overlay:overlay
  overlay -> Stream #0:0 (mpeg4)
  Stream #0:1 -> #0:1 (copy)
Press [q] to stop, [?] for help
frame=   18 fps=0.0 q=31.0 size=     335kB time=00:00:00.63 bitrate=4333.5kbits/s speed=1.24x    
frame=   40 fps= 40 q=31.0 size=     396kB time=00:00:01.36 bitrate=2374.7kbits/s speed=1.35x    
frame=   65 fps= 42 q=31.0 size=     521kB time=00:00:02.20 bitrate=1939.0kbits/s speed=1.44x    
frame=   90 fps= 44 q=31.0 size=     583kB time=00:00:03.03 bitrate=1573.5kbits/s speed=1.49x    
frame=  113 fps= 44 q=31.0 size=     705kB time=00:00:03.80 bitrate=1519.8kbits/s speed=1.49x    
frame=  138 fps= 45 q=31.0 size=     826kB time=00:00:04.63 bitrate=1459.7kbits/s speed=1.52x    
frame=  162 fps= 45 q=31.0 size=     932kB time=00:00:05.43 bitrate=1405.8kbits/s speed=1.53x    
frame=  186 fps= 46 q=31.0 size=    1060kB time=00:00:06.23 bitrate=1392.6kbits/s speed=1.53x    
frame=  210 fps= 46 q=31.0 size=    1175kB time=00:00:07.03 bitrate=1368.3kbits/s speed=1.54x    
frame=  236 fps= 46 q=31.0 size=    1291kB time=00:00:07.90 bitrate=1338.7kbits/s speed=1.55x    
frame=  259 fps= 46 q=31.0 size=    1413kB time=00:00:08.66 bitrate=1335.7kbits/s speed=1.55x    
frame=  282 fps= 46 q=31.0 size=    1531kB time=00:00:09.43 bitrate=1329.2kbits/s speed=1.54x    
frame=  307 fps= 46 q=31.0 size=    1656kB time=00:00:10.26 bitrate=1321.1kbits/s speed=1.55x    
frame=  332 fps= 46 q=31.0 size=    1774kB time=00:00:11.10 bitrate=1309.5kbits/s speed=1.55x    
frame=  355 fps= 46 q=31.0 size=    1853kB time=00:00:11.86 bitrate=1279.3kbits/s speed=1.55x    
frame=  378 fps= 46 q=31.0 size=    1974kB time=00:00:12.63 bitrate=1279.9kbits/s speed=1.55x    
frame=  401 fps= 46 q=31.0 size=    2099kB time=00:00:13.40 bitrate=1283.2kbits/s speed=1.55x    
frame=  426 fps= 46 q=31.0 size=    2221kB time=00:00:14.23 bitrate=1278.1kbits/s speed=1.55x    
frame=  449 fps= 46 q=31.0 size=    2346kB time=00:00:15.00 bitrate=1281.2kbits/s speed=1.55x    
frame=  474 fps= 47 q=31.0 size=    2467kB time=00:00:15.83 bitrate=1276.4kbits/s speed=1.56x    
frame=  497 fps= 47 q=31.0 size=    2591kB time=00:00:16.60 bitrate=1278.6kbits/s speed=1.56x    
frame=  522 fps= 47 q=31.0 size=    2760kB time=00:00:17.43 bitrate=1296.7kbits/s speed=1.56x    
frame=  547 fps= 47 q=31.0 size=    2895kB time=00:00:18.26 bitrate=1298.2kbits/s speed=1.56x    
frame=  572 fps= 47 q=31.0 size=    3029kB time=00:00:19.10 bitrate=1299.0kbits/s speed=1.56x    
frame=  597 fps= 47 q=31.0 size=    3160kB time=00:00:19.93 bitrate=1298.6kbits/s speed=1.57x    
frame=  622 fps= 47 q=31.0 size=    3285kB time=00:00:20.76 bitrate=1295.8kbits/s speed=1.57x    
frame=  647 fps= 47 q=31.0 size=    3416kB time=00:00:21.60 bitrate=1295.6kbits/s speed=1.57x    
frame=  670 fps= 47 q=31.0 size=    3550kB time=00:00:22.36 bitrate=1300.1kbits/s speed=1.57x    
frame=  695 fps= 47 q=31.0 size=    3680kB time=00:00:23.20 bitrate=1299.3kbits/s speed=1.57x    
frame=  720 fps= 47 q=31.0 size=    3809kB time=00:00:24.03 bitrate=1298.4kbits/s speed=1.57x    
frame=  745 fps= 47 q=24.8 size=    3937kB time=00:00:24.86 bitrate=1297.1kbits/s speed=1.57x    
frame=  770 fps= 47 q=31.0 size=    4069kB time=00:00:25.70 bitrate=1297.0kbits/s speed=1.57x    
frame=  795 fps= 47 q=31.0 size=    4196kB time=00:00:26.53 bitrate=1295.5kbits/s speed=1.57x    
frame=  820 fps= 47 q=31.0 size=    4320kB time=00:00:27.36 bitrate=1293.2kbits/s speed=1.58x    
frame=  843 fps= 47 q=31.0 size=    4449kB time=00:00:28.13 bitrate=1295.4kbits/s speed=1.57x    
frame=  868 fps= 47 q=31.0 size=    4573kB time=00:00:28.96 bitrate=1293.2kbits/s speed=1.58x    
frame=  891 fps= 47 q=31.0 size=    4702kB time=00:00:29.73 bitrate=1295.4kbits/s speed=1.57x    
frame=  916 fps= 47 q=31.0 size=    4828kB time=00:00:30.56 bitrate=1294.0kbits/s speed=1.57x    
frame=  941 fps= 47 q=31.0 size=    4953kB time=00:00:31.40 bitrate=1292.3kbits/s speed=1.58x    
frame=  964 fps= 47 q=31.0 size=    5077kB time=00:00:32.16 bitrate=1293.0kbits/s speed=1.57x    
frame=  989 fps= 47 q=31.0 size=    5199kB time=00:00:33.00 bitrate=1290.6kbits/s speed=1.58x    
frame= 1012 fps= 47 q=31.0 size=    5325kB time=00:00:33.76 bitrate=1292.0kbits/s speed=1.57x    
frame= 1035 fps= 47 q=31.0 size=    5455kB time=00:00:34.53 bitrate=1294.0kbits/s speed=1.57x    
frame= 1060 fps= 47 q=31.0 size=    5582kB time=00:00:35.36 bitrate=1292.9kbits/s speed=1.57x    
frame= 1085 fps= 47 q=31.0 size=    5710kB time=00:00:36.20 bitrate=1292.1kbits/s speed=1.57x    
frame= 1110 fps= 47 q=31.0 size=    5836kB time=00:00:37.03 bitrate=1291.0kbits/s speed=1.57x    
frame= 1136 fps= 47 q=31.0 size=    6006kB time=00:00:37.90 bitrate=1298.2kbits/s speed=1.58x    
frame= 1161 fps= 47 q=31.0 size=    6135kB time=00:00:38.73 bitrate=1297.6kbits/s speed=1.58x    
frame= 1184 fps= 47 q=31.0 size=    6261kB time=00:00:39.50 bitrate=1298.5kbits/s speed=1.58x    
frame= 1207 fps= 47 q=31.0 size=    6388kB time=00:00:40.26 bitrate=1299.7kbits/s speed=1.57x    
frame= 1227 fps= 47 q=31.0 size=    6468kB time=00:00:40.93 bitrate=1294.4kbits/s speed=1.57x    
frame= 1251 fps= 47 q=31.0 size=    6728kB time=00:00:42.30 bitrate=1303.1kbits/s speed=1.59x    
frame= 1274 fps= 47 q=31.0 size=    6869kB time=00:00:43.83 bitrate=1283.8kbits/s speed=1.62x    
frame= 1299 fps= 47 q=31.0 size=    7006kB time=00:00:45.50 bitrate=1261.3kbits/s speed=1.65x    
frame= 1323 fps= 47 q=31.0 size=    7146kB time=00:00:47.16 bitrate=1241.2kbits/s speed=1.68x    
frame= 1348 fps= 47 q=31.0 size=    7287kB time=00:00:48.83 bitrate=1222.4kbits/s speed= 1.7x    
frame= 1373 fps= 47 q=31.0 size=    7428kB time=00:00:50.50 bitrate=1204.9kbits/s speed=1.73x    
frame= 1398 fps= 47 q=31.0 size=    7561kB time=00:00:52.16 bitrate=1187.3kbits/s speed=1.76x    
frame= 1422 fps= 47 q=31.0 size=    7688kB time=00:00:53.76 bitrate=1171.4kbits/s speed=1.78x    
frame= 1446 fps= 47 q=31.0 size=    7813kB time=00:00:55.36 bitrate=1155.9kbits/s speed= 1.8x    
frame= 1470 fps= 47 q=31.0 size=    7947kB time=00:00:56.96 bitrate=1142.8kbits/s speed=1.83x    
frame= 1494 fps= 47 q=31.0 size=    8085kB time=00:00:58.56 bitrate=1130.8kbits/s speed=1.85x    
frame= 1517 fps= 47 q=31.0 size=    8222kB time=00:01:00.10 bitrate=1120.8kbits/s speed=1.87x    
frame= 1541 fps= 47 q=31.0 size=    8389kB time=00:01:01.70 bitrate=1113.8kbits/s speed=1.89x    
frame= 1565 fps= 47 q=31.0 size=    8531kB time=00:01:03.30 bitrate=1104.0kbits/s speed=1.91x    
frame= 1591 fps= 47 q=31.0 size=    8604kB time=00:01:04.30 bitrate=1096.1kbits/s speed=1.91x    
frame= 1614 fps= 47 q=31.0 size=    8731kB time=00:01:05.06 bitrate=1099.2kbits/s speed= 1.9x    
frame= 1639 fps= 47 q=31.0 size=    8866kB time=00:01:05.90 bitrate=1102.1kbits/s speed= 1.9x    
frame= 1664 fps= 47 q=31.0 size=    8992kB time=00:01:06.73 bitrate=1103.8kbits/s speed=1.89x    
frame= 1684 fps= 47 q=31.0 size=    9070kB time=00:01:07.40 bitrate=1102.4kbits/s speed=1.88x    
frame= 1705 fps= 47 q=24.8 size=    9193kB time=00:01:08.10 bitrate=1105.9kbits/s speed=1.88x    
frame= 1722 fps= 47 q=31.0 size=    9311kB time=00:01:08.66 bitrate=1110.8kbits/s speed=1.87x    
frame= 1741 fps= 47 q=24.8 size=    9392kB time=00:01:09.30 bitrate=1110.3kbits/s speed=1.86x    
frame= 1760 fps= 47 q=31.0 size=    9509kB time=00:01:09.93 bitrate=1113.8kbits/s speed=1.85x    
frame= 1780 fps= 46 q=31.0 size=    9583kB time=00:01:10.60 bitrate=1112.0kbits/s speed=1.84x    
frame= 1803 fps= 46 q=31.0 size=    9707kB time=00:01:11.36 bitrate=1114.2kbits/s speed=1.84x    
frame= 1826 fps= 46 q=31.0 size=    9891kB time=00:01:12.40 bitrate=1119.1kbits/s speed=1.84x    
frame= 1851 fps= 46 q=31.0 size=   10074kB time=00:01:14.06 bitrate=1114.2kbits/s speed=1.86x    
frame= 1874 fps= 46 q=31.0 size=   10199kB time=00:01:15.60 bitrate=1105.2kbits/s speed=1.87x    
frame= 1899 fps= 46 q=31.0 size=   10328kB time=00:01:17.26 bitrate=1095.0kbits/s speed=1.89x    
frame= 1923 fps= 46 q=31.0 size=   10453kB time=00:01:18.86 bitrate=1085.8kbits/s speed=1.91x    
frame= 1948 fps= 47 q=31.0 size=   10529kB time=00:01:20.23 bitrate=1075.0kbits/s speed=1.92x    
frame= 1973 fps= 47 q=31.0 size=   10600kB time=00:01:21.06 bitrate=1071.2kbits/s speed=1.91x    
frame= 1996 fps= 47 q=31.0 size=   10734kB time=00:01:21.83 bitrate=1074.5kbits/s speed=1.91x    
frame= 2021 fps= 47 q=31.0 size=   10905kB time=00:01:22.66 bitrate=1080.6kbits/s speed= 1.9x    
frame= 2044 fps= 47 q=31.0 size=   10986kB time=00:01:23.43 bitrate=1078.6kbits/s speed= 1.9x    
frame= 2068 fps= 47 q=31.0 size=   11149kB time=00:01:24.26 bitrate=1083.8kbits/s speed= 1.9x    
frame= 2093 fps= 47 q=31.0 size=   11290kB time=00:01:25.10 bitrate=1086.8kbits/s speed=1.89x    
frame= 2118 fps= 47 q=31.0 size=   11418kB time=00:01:25.93 bitrate=1088.5kbits/s speed=1.89x    
frame= 2143 fps= 47 q=31.0 size=   11541kB time=00:01:26.76 bitrate=1089.7kbits/s speed=1.89x    
frame= 2168 fps= 47 q=31.0 size=   11662kB time=00:01:27.60 bitrate=1090.6kbits/s speed=1.88x    
frame= 2190 fps= 47 q=31.0 size=   11850kB time=00:01:28.70 bitrate=1094.5kbits/s speed=1.89x    
frame= 2214 fps= 47 q=31.0 size=   11922kB time=00:01:29.73 bitrate=1088.4kbits/s speed=1.89x    
frame= 2239 fps= 47 q=31.0 size=   12040kB time=00:01:30.56 bitrate=1089.1kbits/s speed=1.89x    
frame= 2264 fps= 47 q=31.0 size=   12160kB time=00:01:31.40 bitrate=1089.8kbits/s speed=1.88x    
frame= 2287 fps= 47 q=31.0 size=   12305kB time=00:01:32.16 bitrate=1093.7kbits/s speed=1.88x    
frame= 2312 fps= 47 q=31.0 size=   12432kB time=00:01:33.00 bitrate=1095.0kbits/s speed=1.88x    
frame= 2335 fps= 47 q=31.0 size=   12554kB time=00:01:33.76 bitrate=1096.8kbits/s speed=1.87x    
frame= 2359 fps= 47 q=31.0 size=   12678kB time=00:01:34.56 bitrate=1098.2kbits/s speed=1.87x    
frame= 2384 fps= 47 q=31.0 size=   12864kB time=00:01:36.16 bitrate=1095.8kbits/s speed=1.88x    
frame= 2408 fps= 47 q=31.0 size=   12988kB time=00:01:37.76 bitrate=1088.3kbits/s speed=1.89x    
frame= 2432 fps= 47 q=31.0 size=   13112kB time=00:01:39.26 bitrate=1082.0kbits/s speed=1.91x    
frame= 2457 fps= 47 q=31.0 size=   13184kB time=00:01:40.10 bitrate=1079.0kbits/s speed= 1.9x    
frame= 2482 fps= 47 q=31.0 size=   13313kB time=00:01:40.93 bitrate=1080.5kbits/s speed= 1.9x    
frame= 2507 fps= 47 q=31.0 size=   13440kB time=00:01:41.76 bitrate=1081.9kbits/s speed= 1.9x    
frame= 2530 fps= 47 q=31.0 size=   13563kB time=00:01:42.53 bitrate=1083.6kbits/s speed=1.89x    
frame= 2555 fps= 47 q=31.0 size=   13682kB time=00:01:43.36 bitrate=1084.3kbits/s speed=1.89x    
frame= 2578 fps= 47 q=31.0 size=   13803kB time=00:01:44.13 bitrate=1085.8kbits/s speed=1.89x    
frame= 2601 fps= 47 q=31.0 size=   13994kB time=00:01:45.43 bitrate=1087.3kbits/s speed=1.89x    
frame= 2627 fps= 47 q=31.0 size=   14061kB time=00:01:46.66 bitrate=1079.9kbits/s speed= 1.9x    
frame= 2649 fps= 47 q=31.0 size=   14173kB time=00:01:47.40 bitrate=1081.1kbits/s speed=1.89x    
frame= 2673 fps= 47 q=31.0 size=   14296kB time=00:01:48.20 bitrate=1082.3kbits/s speed=1.89x    
frame= 2697 fps= 47 q=31.0 size=   14420kB time=00:01:49.00 bitrate=1083.8kbits/s speed=1.89x    
frame= 2723 fps= 47 q=31.0 size=   14545kB time=00:01:49.86 bitrate=1084.5kbits/s speed=1.89x    
frame= 2746 fps= 47 q=31.0 size=   14670kB time=00:01:50.63 bitrate=1086.3kbits/s speed=1.88x    
frame= 2771 fps= 47 q=31.0 size=   14794kB time=00:01:51.46 bitrate=1087.2kbits/s speed=1.88x    
frame= 2795 fps= 47 q=31.0 size=   14919kB time=00:01:52.30 bitrate=1088.3kbits/s speed=1.88x    
frame= 2818 fps= 47 q=31.0 size=   15047kB time=00:01:53.06 bitrate=1090.2kbits/s speed=1.88x    
frame= 2842 fps= 47 q=31.0 size=   15234kB time=00:01:54.56 bitrate=1089.3kbits/s speed=1.88x    
frame= 2866 fps= 47 q=31.0 size=   15297kB time=00:01:55.50 bitrate=1085.0kbits/s speed=1.88x    
frame= 2889 fps= 47 q=31.0 size=   15412kB time=00:01:56.26 bitrate=1085.9kbits/s speed=1.88x    
frame= 2909 fps= 47 q=31.0 size=   15528kB time=00:01:57.00 bitrate=1087.3kbits/s speed=1.88x    
frame= 2935 fps= 47 q=31.0 size=   15669kB time=00:01:57.86 bitrate=1089.0kbits/s speed=1.87x    
frame= 2960 fps= 47 q=31.0 size=   15804kB time=00:01:58.70 bitrate=1090.7kbits/s speed=1.87x    
frame= 2985 fps= 47 q=31.0 size=   15932kB time=00:01:59.53 bitrate=1091.8kbits/s speed=1.87x    
frame= 3010 fps= 47 q=31.0 size=   16059kB time=00:02:00.36 bitrate=1092.9kbits/s speed=1.87x    
frame= 3033 fps= 47 q=31.0 size=   16188kB time=00:02:01.13 bitrate=1094.7kbits/s speed=1.87x    
frame= 3058 fps= 47 q=31.0 size=   16320kB time=00:02:01.96 bitrate=1096.2kbits/s speed=1.86x    
frame= 3083 fps= 47 q=31.0 size=   16447kB time=00:02:02.80 bitrate=1097.2kbits/s speed=1.86x    
frame= 3108 fps= 47 q=31.0 size=   16572kB time=00:02:03.63 bitrate=1098.0kbits/s speed=1.86x    
frame= 3133 fps= 47 q=24.8 size=   16697kB time=00:02:04.46 bitrate=1098.9kbits/s speed=1.86x    
frame= 3158 fps= 47 q=31.0 size=   16829kB time=00:02:05.30 bitrate=1100.2kbits/s speed=1.86x    
frame= 3183 fps= 47 q=31.0 size=   16962kB time=00:02:06.13 bitrate=1101.6kbits/s speed=1.85x    
frame= 3208 fps= 47 q=31.0 size=   17089kB time=00:02:06.96 bitrate=1102.6kbits/s speed=1.85x    
frame= 3231 fps= 47 q=31.0 size=   17235kB time=00:02:07.73 bitrate=1105.4kbits/s speed=1.85x    
frame= 3255 fps= 47 q=31.0 size=   17376kB time=00:02:08.63 bitrate=1106.6kbits/s speed=1.85x    
frame= 3279 fps= 47 q=31.0 size=   17589kB time=00:02:09.76 bitrate=1110.4kbits/s speed=1.85x    
frame= 3304 fps= 47 q=31.0 size=   17767kB time=00:02:11.43 bitrate=1107.4kbits/s speed=1.86x    
frame= 3329 fps= 47 q=31.0 size=   17833kB time=00:02:12.53 bitrate=1102.3kbits/s speed=1.86x    
frame= 3352 fps= 47 q=31.0 size=   17904kB time=00:02:13.30 bitrate=1100.3kbits/s speed=1.86x    
frame= 3377 fps= 47 q=31.0 size=   18028kB time=00:02:14.13 bitrate=1101.1kbits/s speed=1.86x    
frame= 3401 fps= 47 q=31.0 size=   18199kB time=00:02:15.03 bitrate=1104.0kbits/s speed=1.86x    
frame= 3424 fps= 47 q=31.0 size=   18335kB time=00:02:15.80 bitrate=1106.1kbits/s speed=1.86x    
frame= 3449 fps= 47 q=31.0 size=   18469kB time=00:02:16.63 bitrate=1107.3kbits/s speed=1.85x    
frame= 3474 fps= 47 q=31.0 size=   18599kB time=00:02:17.46 bitrate=1108.4kbits/s speed=1.85x    
frame= 3499 fps= 47 q=31.0 size=   18727kB time=00:02:18.30 bitrate=1109.3kbits/s speed=1.85x    
frame= 3524 fps= 47 q=31.0 size=   18853kB time=00:02:19.13 bitrate=1110.1kbits/s speed=1.85x    
frame= 3549 fps= 47 q=31.0 size=   18978kB time=00:02:19.96 bitrate=1110.7kbits/s speed=1.85x    
frame= 3574 fps= 47 q=31.0 size=   19101kB time=00:02:20.80 bitrate=1111.4kbits/s speed=1.85x    
frame= 3595 fps= 47 q=31.0 size=   19216kB time=00:02:21.50 bitrate=1112.5kbits/s speed=1.84x    
frame= 3615 fps= 47 q=31.0 size=   19333kB time=00:02:22.20 bitrate=1113.7kbits/s speed=1.84x    
frame= 3639 fps= 47 q=31.0 size=   19516kB time=00:02:23.80 bitrate=1111.8kbits/s speed=1.85x    
frame= 3664 fps= 47 q=31.0 size=   19575kB time=00:02:24.70 bitrate=1108.2kbits/s speed=1.85x    
