ffmpeg version 3.1.7 Copyright (c) 2000-2017 the FFmpeg developers
  built with gcc 5.4.0 (GCC)
  configuration: --disable-static --prefix=/cvmfs/soft.computecanada.ca/nix/store/n7qiyrcpyixibg8mijm826nb3hdb23j1-ffmpeg-3.1.7 --enable-gpl --enable-version3 --enable-shared --disable-static --enable-pic --enable-runtime-cpudetect --enable-hardcoded-tables --enable-pthreads --disable-w32threads --disable-os2threads --enable-network --enable-pixelutils --enable-ffmpeg --disable-ffplay --enable-ffprobe --disable-ffserver --enable-avcodec --enable-avdevice --enable-avfilter --enable-avformat --enable-avresample --enable-avutil --enable-postproc --enable-swresample --enable-swscale --disable-doc --enable-bzlib --enable-gnutls --enable-fontconfig --enable-libfreetype --enable-libmp3lame --enable-iconv --enable-libtheora --enable-vaapi --enable-vdpau --enable-libvorbis --enable-libvpx --enable-lzma --disable-opengl --enable-libpulse --enable-sdl --enable-libsoxr --enable-libx264 --enable-libxvid --enable-zlib --enable-libopus --enable-libx265 --disable-debug --enable-optimizations --disable-extra-warnings --disable-stripping
  libavutil      55. 28.100 / 55. 28.100
  libavcodec     57. 48.101 / 57. 48.101
  libavformat    57. 41.100 / 57. 41.100
  libavdevice    57.  0.101 / 57.  0.101
  libavfilter     6. 47.100 /  6. 47.100
  libavresample   3.  0.  0 /  3.  0.  0
  libswscale      4.  1.100 /  4.  1.100
  libswresample   2.  1.100 /  2.  1.100
  libpostproc    54.  0.100 / 54.  0.100
Input #0, mov,mp4,m4a,3gp,3g2,mj2, from '/project/6001934/lingheng/ROM_Video_Process/ROM_raw_videos/Sep_18/Camera2_Sep_18_1500_1600_Prescribed_Behavior.mp4':
  Metadata:
    major_brand     : isom
    minor_version   : 1
    compatible_brands: isom
    creation_time   : 2018-09-19 02:02:51
  Duration: 01:00:02.88, start: 0.000000, bitrate: 660 kb/s
    Stream #0:0(und): Video: h264 (Main) (avc1 / 0x31637661), yuvj420p(pc, bt709), 1920x1080 [SAR 1:1 DAR 16:9], 640 kb/s, 22.55 fps, 30 tbr, 16k tbn, 30 tbc (default)
    Metadata:
      handler_name    : VideoHandler
    Stream #0:1(und): Audio: aac (LC) (mp4a / 0x6134706D), 16000 Hz, mono, fltp, 16 kb/s (default)
    Metadata:
      creation_time   : 2018-09-19 02:02:55
      handler_name    : GPAC ISO Audio Handler
    Stream #0:2(eng): Subtitle: mov_text (tx3g / 0x67337874), 800x60, 0 kb/s (default)
    Metadata:
      rotate          : 0
      creation_time   : 2018-09-19 02:02:55
      handler_name    : 809ab82c4d73442a907a9383096ee4d2.subtitles.ttxt:hdlr=sbtl:lang=en:group=2:layer=1 - Imported with GPAC 0.5.0-rev4065
Input #1, png_pipe, from '/project/6001934/lingheng/ROM_Video_Process/Openpose_Video_Analysis_Code/camera2_transparent_img.png':
  Duration: N/A, bitrate: N/A
    Stream #1:0: Video: png, rgba(pc), 1920x1080, 25 tbr, 25 tbn, 25 tbc
[swscaler @ 0x1f7d840] deprecated pixel format used, make sure you did set range correctly
[avi @ 0x1ccf9a0] Using AVStream.codec to pass codec parameters to muxers is deprecated, use AVStream.codecpar instead.
    Last message repeated 1 times
Output #0, avi, to '/project/6001934/lingheng/ROM_Video_Process/ROM_raw_videos_with_interst_area_ffmpeg_new2/Sep_18/Camera2_Sep_18_1500_1600_Prescribed_Behavior_ffmpeg_with_interest_area.avi':
  Metadata:
    major_brand     : isom
    minor_version   : 1
    compatible_brands: isom
    ISFT            : Lavf57.41.100
    Stream #0:0: Video: mpeg4 (FMP4 / 0x34504D46), yuv420p, 1920x1080 [SAR 1:1 DAR 16:9], q=2-31, 200 kb/s, 15 fps, 15 tbn, 15 tbc (default)
    Metadata:
      encoder         : Lavc57.48.101 mpeg4
    Side data:
      cpb: bitrate max/min/avg: 0/0/200000 buffer size: 0 vbv_delay: -1
    Stream #0:1(und): Audio: aac (LC) ([255][0][0][0] / 0x00FF), 16000 Hz, mono, 16 kb/s (default)
    Metadata:
      creation_time   : 2018-09-19 02:02:55
      handler_name    : GPAC ISO Audio Handler
Stream mapping:
  Stream #0:0 (h264) -> overlay:main
  Stream #1:0 (png) -> overlay:overlay
  overlay -> Stream #0:0 (mpeg4)
  Stream #0:1 -> #0:1 (copy)
Press [q] to stop, [?] for help
frame=   14 fps=0.0 q=27.1 size=     294kB time=00:00:01.00 bitrate=2404.7kbits/s speed=1.97x    
frame=   32 fps= 31 q=31.0 size=     420kB time=00:00:02.20 bitrate=1565.5kbits/s speed=2.13x    
frame=   50 fps= 32 q=31.0 size=     498kB time=00:00:03.40 bitrate=1200.0kbits/s speed=2.17x    
frame=   73 fps= 35 q=24.8 size=     655kB time=00:00:04.93 bitrate=1087.2kbits/s speed=2.38x    
frame=   95 fps= 37 q=31.0 size=     816kB time=00:00:06.40 bitrate=1044.0kbits/s speed=2.48x    
frame=  117 fps= 38 q=31.0 size=     924kB time=00:00:07.86 bitrate= 961.7kbits/s speed=2.55x    
frame=  139 fps= 39 q=31.0 size=    1070kB time=00:00:09.33 bitrate= 938.7kbits/s speed=2.59x    
frame=  161 fps= 39 q=31.0 size=    1220kB time=00:00:10.80 bitrate= 925.2kbits/s speed=2.62x    
frame=  182 fps= 39 q=31.0 size=    1328kB time=00:00:12.20 bitrate= 891.6kbits/s speed=2.64x    
frame=  204 fps= 40 q=31.0 size=    1473kB time=00:00:13.66 bitrate= 883.2kbits/s speed=2.67x    
frame=  228 fps= 40 q=31.0 size=    1625kB time=00:00:15.26 bitrate= 872.1kbits/s speed=2.71x    
frame=  247 fps= 40 q=31.0 size=    1749kB time=00:00:16.53 bitrate= 866.4kbits/s dup=0 drop=2 speed=2.69x    
frame=  260 fps= 39 q=31.0 size=    1818kB time=00:00:17.40 bitrate= 856.0kbits/s dup=0 drop=15 speed=2.62x    
frame=  272 fps= 38 q=31.0 size=    1889kB time=00:00:18.20 bitrate= 850.4kbits/s dup=0 drop=27 speed=2.54x    
frame=  285 fps= 37 q=31.0 size=    1965kB time=00:00:19.06 bitrate= 844.3kbits/s dup=0 drop=40 speed=2.49x    
frame=  298 fps= 36 q=31.0 size=    2055kB time=00:00:19.93 bitrate= 844.5kbits/s dup=0 drop=53 speed=2.44x    
frame=  311 fps= 36 q=31.0 size=    2127kB time=00:00:20.80 bitrate= 837.7kbits/s dup=0 drop=66 speed=2.39x    
frame=  322 fps= 35 q=31.0 size=    2203kB time=00:00:21.53 bitrate= 837.9kbits/s dup=0 drop=77 speed=2.34x    
frame=  336 fps= 35 q=31.0 size=    2274kB time=00:00:22.46 bitrate= 829.3kbits/s dup=0 drop=91 speed=2.31x    
frame=  347 fps= 34 q=31.0 size=    2345kB time=00:00:23.20 bitrate= 828.1kbits/s dup=0 drop=102 speed=2.27x    
frame=  360 fps= 34 q=31.0 size=    2414kB time=00:00:24.06 bitrate= 821.7kbits/s dup=0 drop=115 speed=2.25x    
frame=  368 fps= 33 q=31.0 size=    2479kB time=00:00:24.60 bitrate= 825.5kbits/s dup=0 drop=123 speed=2.19x    
frame=  380 fps= 32 q=31.0 size=    2545kB time=00:00:25.40 bitrate= 820.8kbits/s dup=0 drop=135 speed=2.17x    
frame=  392 fps= 32 q=31.0 size=    2618kB time=00:00:26.20 bitrate= 818.6kbits/s dup=0 drop=147 speed=2.14x    
frame=  405 fps= 32 q=31.0 size=    2690kB time=00:00:27.06 bitrate= 814.1kbits/s dup=0 drop=160 speed=2.12x    
frame=  416 fps= 31 q=31.0 size=    2761kB time=00:00:27.80 bitrate= 813.6kbits/s dup=0 drop=171 speed=2.09x    
frame=  430 fps= 31 q=31.0 size=    2835kB time=00:00:28.73 bitrate= 808.3kbits/s dup=0 drop=185 speed=2.08x    
frame=  442 fps= 31 q=31.0 size=    2907kB time=00:00:29.53 bitrate= 806.2kbits/s dup=0 drop=197 speed=2.06x    
frame=  455 fps= 31 q=31.0 size=    2981kB time=00:00:30.40 bitrate= 803.4kbits/s dup=0 drop=210 speed=2.05x    
frame=  468 fps= 31 q=31.0 size=    3056kB time=00:00:31.26 bitrate= 800.6kbits/s dup=0 drop=223 speed=2.04x    
frame=  482 fps= 30 q=31.0 size=    3126kB time=00:00:32.20 bitrate= 795.3kbits/s dup=0 drop=236 speed=2.03x    
frame=  494 fps= 30 q=31.0 size=    3210kB time=00:00:33.00 bitrate= 796.9kbits/s dup=0 drop=248 speed=2.02x    
frame=  507 fps= 30 q=31.0 size=    3283kB time=00:00:33.86 bitrate= 794.1kbits/s dup=0 drop=261 speed=2.01x    
frame=  519 fps= 30 q=31.0 size=    3351kB time=00:00:34.66 bitrate= 792.0kbits/s dup=0 drop=273 speed=   2x    
frame=  532 fps= 30 q=31.0 size=    3421kB time=00:00:35.53 bitrate= 788.7kbits/s dup=0 drop=286 speed=1.99x    
frame=  544 fps= 30 q=31.0 size=    3489kB time=00:00:36.33 bitrate= 786.6kbits/s dup=0 drop=298 speed=1.98x    
frame=  557 fps= 29 q=31.0 size=    3606kB time=00:00:37.20 bitrate= 794.1kbits/s dup=0 drop=311 speed=1.97x    
frame=  571 fps= 29 q=31.0 size=    3682kB time=00:00:38.13 bitrate= 790.9kbits/s dup=0 drop=325 speed=1.96x    
frame=  584 fps= 29 q=31.0 size=    3759kB time=00:00:39.00 bitrate= 789.5kbits/s dup=0 drop=338 speed=1.96x    
frame=  596 fps= 29 q=31.0 size=    3829kB time=00:00:39.80 bitrate= 788.1kbits/s dup=0 drop=350 speed=1.95x    
frame=  609 fps= 29 q=31.0 size=    3898kB time=00:00:40.66 bitrate= 785.2kbits/s dup=0 drop=363 speed=1.94x    
frame=  622 fps= 29 q=31.0 size=    3967kB time=00:00:41.53 bitrate= 782.5kbits/s dup=0 drop=376 speed=1.94x    
frame=  634 fps= 29 q=31.0 size=    4052kB time=00:00:42.33 bitrate= 784.2kbits/s dup=0 drop=388 speed=1.93x    
frame=  646 fps= 29 q=31.0 size=    4137kB time=00:00:43.13 bitrate= 785.6kbits/s dup=0 drop=400 speed=1.92x    
frame=  659 fps= 29 q=31.0 size=    4213kB time=00:00:44.00 bitrate= 784.4kbits/s dup=0 drop=412 speed=1.91x    
frame=  672 fps= 29 q=31.0 size=    4310kB time=00:00:44.86 bitrate= 787.0kbits/s dup=0 drop=425 speed=1.91x    
frame=  695 fps= 29 q=31.0 size=    4453kB time=00:00:46.40 bitrate= 786.1kbits/s dup=0 drop=426 speed=1.93x    
frame=  718 fps= 29 q=31.0 size=    4589kB time=00:00:47.93 bitrate= 784.2kbits/s dup=0 drop=426 speed=1.96x    
frame=  741 fps= 30 q=31.0 size=    4726kB time=00:00:49.46 bitrate= 782.6kbits/s dup=0 drop=426 speed=1.98x    
frame=  764 fps= 30 q=31.0 size=    4881kB time=00:00:51.00 bitrate= 784.1kbits/s dup=0 drop=426 speed=   2x    
frame=  786 fps= 30 q=31.0 size=    5015kB time=00:00:52.46 bitrate= 783.1kbits/s dup=0 drop=426 speed=2.01x    
frame=  809 fps= 30 q=31.0 size=    5165kB time=00:00:54.00 bitrate= 783.5kbits/s dup=0 drop=426 speed=2.03x    
frame=  832 fps= 31 q=31.0 size=    5311kB time=00:00:55.53 bitrate= 783.5kbits/s dup=0 drop=426 speed=2.05x    
frame=  854 fps= 31 q=31.0 size=    5451kB time=00:00:57.00 bitrate= 783.4kbits/s dup=0 drop=426 speed=2.07x    
frame=  877 fps= 31 q=24.8 size=    5550kB time=00:00:58.53 bitrate= 776.8kbits/s dup=0 drop=426 speed=2.08x    
frame=  900 fps= 31 q=31.0 size=    5698kB time=00:01:00.06 bitrate= 777.2kbits/s dup=0 drop=426 speed= 2.1x    
frame=  922 fps= 32 q=31.0 size=    5840kB time=00:01:01.53 bitrate= 777.5kbits/s dup=0 drop=426 speed=2.11x    
frame=  945 fps= 32 q=31.0 size=    5986kB time=00:01:03.06 bitrate= 777.5kbits/s dup=0 drop=426 speed=2.13x    
frame=  968 fps= 32 q=31.0 size=    6129kB time=00:01:04.60 bitrate= 777.2kbits/s dup=0 drop=426 speed=2.14x    
frame=  991 fps= 32 q=31.0 size=    6264kB time=00:01:06.13 bitrate= 775.9kbits/s dup=0 drop=426 speed=2.16x    
frame= 1014 fps= 33 q=31.0 size=    6396kB time=00:01:07.66 bitrate= 774.3kbits/s dup=0 drop=426 speed=2.17x    
frame= 1037 fps= 33 q=31.0 size=    6536kB time=00:01:09.20 bitrate= 773.7kbits/s dup=0 drop=426 speed=2.18x    
frame= 1060 fps= 33 q=31.0 size=    6672kB time=00:01:10.73 bitrate= 772.7kbits/s dup=0 drop=426 speed= 2.2x    
frame= 1083 fps= 33 q=31.0 size=    6810kB time=00:01:12.26 bitrate= 771.9kbits/s dup=0 drop=426 speed=2.21x    
frame= 1106 fps= 33 q=31.0 size=    6948kB time=00:01:13.80 bitrate= 771.2kbits/s dup=0 drop=426 speed=2.22x    
frame= 1128 fps= 33 q=31.0 size=    7042kB time=00:01:15.26 bitrate= 766.4kbits/s dup=0 drop=426 speed=2.23x    
frame= 1152 fps= 34 q=31.0 size=    7189kB time=00:01:16.86 bitrate= 766.2kbits/s dup=0 drop=426 speed=2.24x    
frame= 1177 fps= 34 q=24.8 size=    7336kB time=00:01:18.53 bitrate= 765.3kbits/s dup=0 drop=426 speed=2.26x    
frame= 1202 fps= 34 q=31.0 size=    7528kB time=00:01:20.20 bitrate= 769.0kbits/s dup=0 drop=426 speed=2.27x    
frame= 1227 fps= 34 q=31.0 size=    7689kB time=00:01:21.86 bitrate= 769.4kbits/s dup=0 drop=426 speed=2.29x    
frame= 1252 fps= 34 q=31.0 size=    7847kB time=00:01:23.53 bitrate= 769.5kbits/s dup=0 drop=426 speed= 2.3x    
frame= 1277 fps= 35 q=31.0 size=    7999kB time=00:01:25.20 bitrate= 769.1kbits/s dup=0 drop=426 speed=2.31x    
frame= 1302 fps= 35 q=31.0 size=    8137kB time=00:01:26.86 bitrate= 767.3kbits/s dup=0 drop=426 speed=2.33x    
frame= 1327 fps= 35 q=31.0 size=    8275kB time=00:01:28.53 bitrate= 765.7kbits/s dup=0 drop=426 speed=2.34x    
frame= 1352 fps= 35 q=31.0 size=    8413kB time=00:01:30.20 bitrate= 764.0kbits/s dup=0 drop=426 speed=2.35x    
frame= 1378 fps= 35 q=31.0 size=    8548kB time=00:01:31.93 bitrate= 761.7kbits/s dup=0 drop=426 speed=2.37x    
frame= 1402 fps= 36 q=31.0 size=    8680kB time=00:01:33.53 bitrate= 760.2kbits/s dup=0 drop=426 speed=2.38x    
frame= 1427 fps= 36 q=31.0 size=    8823kB time=00:01:35.20 bitrate= 759.2kbits/s dup=0 drop=426 speed=2.39x    
frame= 1450 fps= 36 q=31.0 size=    8952kB time=00:01:36.73 bitrate= 758.1kbits/s dup=0 drop=426 speed=2.39x    
frame= 1476 fps= 36 q=31.0 size=    9089kB time=00:01:38.46 bitrate= 756.2kbits/s dup=0 drop=426 speed=2.41x    
frame= 1501 fps= 36 q=24.8 size=    9220kB time=00:01:40.13 bitrate= 754.3kbits/s dup=0 drop=426 speed=2.42x    
frame= 1526 fps= 36 q=31.0 size=    9398kB time=00:01:41.80 bitrate= 756.3kbits/s dup=0 drop=426 speed=2.43x    
frame= 1551 fps= 37 q=31.0 size=    9530kB time=00:01:43.46 bitrate= 754.5kbits/s dup=0 drop=426 speed=2.44x    
frame= 1576 fps= 37 q=31.0 size=    9663kB time=00:01:45.13 bitrate= 752.9kbits/s dup=0 drop=426 speed=2.45x    
frame= 1601 fps= 37 q=31.0 size=    9797kB time=00:01:46.80 bitrate= 751.4kbits/s dup=0 drop=426 speed=2.46x    
frame= 1625 fps= 37 q=31.0 size=    9931kB time=00:01:48.40 bitrate= 750.5kbits/s dup=0 drop=426 speed=2.47x    
frame= 1649 fps= 37 q=31.0 size=   10071kB time=00:01:50.00 bitrate= 750.0kbits/s dup=0 drop=426 speed=2.47x    
frame= 1673 fps= 37 q=31.0 size=   10200kB time=00:01:51.60 bitrate= 748.7kbits/s dup=0 drop=427 speed=2.48x    
frame= 1687 fps= 37 q=31.0 size=   10275kB time=00:01:52.53 bitrate= 748.0kbits/s dup=0 drop=441 speed=2.47x    
frame= 1702 fps= 37 q=31.0 size=   10356kB time=00:01:53.53 bitrate= 747.3kbits/s dup=0 drop=456 speed=2.47x    
frame= 1716 fps= 37 q=31.0 size=   10430kB time=00:01:54.46 bitrate= 746.4kbits/s dup=0 drop=470 speed=2.46x    
frame= 1730 fps= 37 q=31.0 size=   10503kB time=00:01:55.40 bitrate= 745.6kbits/s dup=0 drop=484 speed=2.45x    
frame= 1743 fps= 37 q=31.0 size=   10575kB time=00:01:56.26 bitrate= 745.1kbits/s dup=0 drop=497 speed=2.45x    
frame= 1759 fps= 37 q=31.0 size=   10707kB time=00:01:57.33 bitrate= 747.5kbits/s dup=0 drop=500 speed=2.44x    
frame= 1780 fps= 37 q=31.0 size=   10840kB time=00:01:58.73 bitrate= 747.9kbits/s dup=0 drop=500 speed=2.45x    
frame= 1803 fps= 37 q=31.0 size=   10974kB time=00:02:00.26 bitrate= 747.5kbits/s dup=0 drop=500 speed=2.45x    
frame= 1827 fps= 37 q=31.0 size=   11108kB time=00:02:01.86 bitrate= 746.7kbits/s dup=0 drop=500 speed=2.46x    
frame= 1851 fps= 37 q=31.0 size=   11239kB time=00:02:03.46 bitrate= 745.7kbits/s dup=0 drop=500 speed=2.47x    
frame= 1875 fps= 37 q=31.0 size=   11381kB time=00:02:05.06 bitrate= 745.5kbits/s dup=0 drop=500 speed=2.47x    
frame= 1898 fps= 37 q=31.0 size=   11484kB time=00:02:06.60 bitrate= 743.1kbits/s dup=0 drop=500 speed=2.48x    
frame= 1922 fps= 37 q=31.0 size=   11630kB time=00:02:08.20 bitrate= 743.2kbits/s dup=0 drop=500 speed=2.48x    
frame= 1946 fps= 37 q=31.0 size=   11768kB time=00:02:09.80 bitrate= 742.7kbits/s dup=0 drop=500 speed=2.49x    
frame= 1970 fps= 37 q=31.0 size=   11906kB time=00:02:11.40 bitrate= 742.3kbits/s dup=0 drop=500 speed= 2.5x    
frame= 1994 fps= 38 q=31.0 size=   12045kB time=00:02:13.00 bitrate= 741.9kbits/s dup=0 drop=500 speed= 2.5x    
frame= 2018 fps= 38 q=31.0 size=   12179kB time=00:02:14.60 bitrate= 741.2kbits/s dup=0 drop=500 speed=2.51x    
frame= 2042 fps= 38 q=31.0 size=   12321kB time=00:02:16.20 bitrate= 741.1kbits/s dup=0 drop=500 speed=2.51x    
frame= 2066 fps= 38 q=31.0 size=   12456kB time=00:02:17.80 bitrate= 740.5kbits/s dup=0 drop=500 speed=2.52x    
frame= 2089 fps= 38 q=24.8 size=   12588kB time=00:02:19.33 bitrate= 740.1kbits/s dup=0 drop=500 speed=2.52x    
frame= 2113 fps= 38 q=24.8 size=   12725kB time=00:02:20.93 bitrate= 739.7kbits/s dup=0 drop=500 speed=2.53x    
frame= 2137 fps= 38 q=24.8 size=   12860kB time=00:02:22.53 bitrate= 739.1kbits/s dup=0 drop=500 speed=2.53x    
frame= 2160 fps= 38 q=31.0 size=   12992kB time=00:02:24.06 bitrate= 738.7kbits/s dup=0 drop=500 speed=2.54x    
frame= 2184 fps= 38 q=31.0 size=   13130kB time=00:02:25.66 bitrate= 738.4kbits/s dup=0 drop=500 speed=2.54x    
frame= 2208 fps= 38 q=31.0 size=   13263kB time=00:02:27.26 bitrate= 737.8kbits/s dup=0 drop=500 speed=2.55x    
frame= 2233 fps= 38 q=24.8 size=   13406kB time=00:02:28.93 bitrate= 737.4kbits/s dup=0 drop=500 speed=2.55x    
frame= 2258 fps= 38 q=31.0 size=   13556kB time=00:02:30.60 bitrate= 737.4kbits/s dup=0 drop=500 speed=2.56x    
frame= 2283 fps= 38 q=31.0 size=   13746kB time=00:02:32.26 bitrate= 739.5kbits/s dup=0 drop=500 speed=2.57x    
frame= 2308 fps= 39 q=31.0 size=   13899kB time=00:02:33.93 bitrate= 739.6kbits/s dup=0 drop=500 speed=2.57x    
frame= 2333 fps= 39 q=31.0 size=   14048kB time=00:02:35.60 bitrate= 739.6kbits/s dup=0 drop=500 speed=2.58x    
frame= 2358 fps= 39 q=31.0 size=   14197kB time=00:02:37.26 bitrate= 739.5kbits/s dup=0 drop=500 speed=2.59x    
frame= 2383 fps= 39 q=31.0 size=   14343kB time=00:02:38.93 bitrate= 739.3kbits/s dup=0 drop=500 speed=2.59x    
frame= 2408 fps= 39 q=31.0 size=   14497kB time=00:02:40.60 bitrate= 739.5kbits/s dup=0 drop=500 speed= 2.6x    
frame= 2423 fps= 39 q=31.0 size=   14577kB time=00:02:41.60 bitrate= 738.9kbits/s dup=0 drop=514 speed=2.59x    
frame= 2436 fps= 39 q=31.0 size=   14661kB time=00:02:42.46 bitrate= 739.3kbits/s dup=0 drop=527 speed=2.58x    
frame= 2451 fps= 39 q=31.0 size=   14743kB time=00:02:43.46 bitrate= 738.8kbits/s dup=0 drop=542 speed=2.58x    
frame= 2465 fps= 39 q=31.0 size=   14833kB time=00:02:44.40 bitrate= 739.1kbits/s dup=0 drop=556 speed=2.57x    
frame= 2478 fps= 38 q=31.0 size=   14973kB time=00:02:45.26 bitrate= 742.2kbits/s dup=0 drop=569 speed=2.57x    
frame= 2492 fps= 38 q=31.0 size=   15062kB time=00:02:46.20 bitrate= 742.4kbits/s dup=0 drop=583 speed=2.56x    
frame= 2506 fps= 38 q=31.0 size=   15153kB time=00:02:47.13 bitrate= 742.7kbits/s dup=0 drop=597 speed=2.56x    
frame= 2520 fps= 38 q=31.0 size=   15245kB time=00:02:48.06 bitrate= 743.1kbits/s dup=0 drop=611 speed=2.55x    
frame= 2534 fps= 38 q=31.0 size=   15337kB time=00:02:49.00 bitrate= 743.4kbits/s dup=0 drop=625 speed=2.54x    
frame= 2548 fps= 38 q=31.0 size=   15427kB time=00:02:49.93 bitrate= 743.7kbits/s dup=0 drop=639 speed=2.54x    
frame= 2563 fps= 38 q=31.0 size=   15558kB time=00:02:50.93 bitrate= 745.6kbits/s dup=0 drop=654 speed=2.53x    
frame= 2576 fps= 38 q=31.0 size=   15640kB time=00:02:51.80 bitrate= 745.8kbits/s dup=0 drop=667 speed=2.53x    
frame= 2591 fps= 38 q=31.0 size=   15714kB time=00:02:52.80 bitrate= 745.0kbits/s dup=0 drop=682 speed=2.52x    
frame= 2604 fps= 38 q=31.0 size=   15801kB time=00:02:53.66 bitrate= 745.3kbits/s dup=0 drop=695 speed=2.52x    
frame= 2619 fps= 38 q=31.0 size=   15875kB time=00:02:54.66 bitrate= 744.6kbits/s dup=0 drop=710 speed=2.51x    
frame= 2633 fps= 38 q=31.0 size=   15990kB time=00:02:55.60 bitrate= 746.0kbits/s dup=0 drop=724 speed=2.51x    
frame= 2647 fps= 38 q=31.0 size=   16063kB time=00:02:56.53 bitrate= 745.4kbits/s dup=0 drop=738 speed= 2.5x    
frame= 2661 fps= 37 q=31.0 size=   16135kB time=00:02:57.46 bitrate= 744.8kbits/s dup=0 drop=752 speed= 2.5x    
frame= 2675 fps= 37 q=31.0 size=   16208kB time=00:02:58.40 bitrate= 744.3kbits/s dup=0 drop=766 speed=2.49x    
frame= 2690 fps= 37 q=31.0 size=   16280kB time=00:02:59.40 bitrate= 743.4kbits/s dup=0 drop=781 speed=2.49x    
frame= 2704 fps= 37 q=31.0 size=   16352kB time=00:03:00.33 bitrate= 742.8kbits/s dup=0 drop=795 speed=2.49x    
frame= 2718 fps= 37 q=31.0 size=   16488kB time=00:03:01.26 bitrate= 745.1kbits/s dup=0 drop=809 speed=2.48x    
frame= 2732 fps= 37 q=31.0 size=   16559kB time=00:03:02.20 bitrate= 744.5kbits/s dup=0 drop=823 speed=2.48x    
frame= 2746 fps= 37 q=31.0 size=   16633kB time=00:03:03.13 bitrate= 744.0kbits/s dup=0 drop=837 speed=2.47x    
frame= 2760 fps= 37 q=31.0 size=   16704kB time=00:03:04.06 bitrate= 743.4kbits/s dup=0 drop=851 speed=2.47x    
frame= 2773 fps= 37 q=24.8 size=   16778kB time=00:03:04.93 bitrate= 743.2kbits/s dup=0 drop=864 speed=2.46x    
frame= 2787 fps= 37 q=31.0 size=   16855kB time=00:03:05.86 bitrate= 742.9kbits/s dup=0 drop=878 speed=2.46x    
frame= 2801 fps= 37 q=31.0 size=   16972kB time=00:03:06.80 bitrate= 744.3kbits/s dup=0 drop=892 speed=2.45x    
frame= 2815 fps= 37 q=31.0 size=   17050kB time=00:03:07.73 bitrate= 744.0kbits/s dup=0 drop=905 speed=2.45x    
frame= 2828 fps= 37 q=31.0 size=   17120kB time=00:03:08.60 bitrate= 743.6kbits/s dup=0 drop=918 speed=2.45x    
frame= 2842 fps= 37 q=31.0 size=   17198kB time=00:03:09.53 bitrate= 743.3kbits/s dup=0 drop=932 speed=2.44x    
frame= 2856 fps= 37 q=31.0 size=   17270kB time=00:03:10.46 bitrate= 742.8kbits/s dup=0 drop=946 speed=2.44x    
frame= 2870 fps= 36 q=31.0 size=   17343kB time=00:03:11.40 bitrate= 742.3kbits/s dup=0 drop=960 speed=2.43x    
frame= 2883 fps= 36 q=31.0 size=   17412kB time=00:03:12.26 bitrate= 741.9kbits/s dup=0 drop=973 speed=2.43x    
frame= 2896 fps= 36 q=31.0 size=   17495kB time=00:03:13.13 bitrate= 742.1kbits/s dup=0 drop=986 speed=2.42x    
frame= 2910 fps= 36 q=31.0 size=   17613kB time=00:03:14.06 bitrate= 743.5kbits/s dup=0 drop=1000 speed=2.42x    
frame= 2923 fps= 36 q=31.0 size=   17684kB time=00:03:14.93 bitrate= 743.2kbits/s dup=0 drop=1013 speed=2.42x    
frame= 2936 fps= 36 q=31.0 size=   17761kB time=00:03:15.80 bitrate= 743.1kbits/s dup=0 drop=1026 speed=2.41x    
frame= 2951 fps= 36 q=31.0 size=   17834kB time=00:03:16.80 bitrate= 742.4kbits/s dup=0 drop=1041 speed=2.41x    
frame= 2964 fps= 36 q=31.0 size=   17915kB time=00:03:17.66 bitrate= 742.4kbits/s dup=0 drop=1054 speed= 2.4x    
frame= 2978 fps= 36 q=31.0 size=   17986kB time=00:03:18.60 bitrate= 741.9kbits/s dup=0 drop=1068 speed= 2.4x    
frame= 2992 fps= 36 q=31.0 size=   18058kB time=00:03:19.53 bitrate= 741.4kbits/s dup=0 drop=1082 speed= 2.4x    
frame= 3003 fps= 36 q=31.0 size=   18122kB time=00:03:20.26 bitrate= 741.3kbits/s dup=0 drop=1093 speed=2.39x    
frame= 3013 fps= 36 q=24.8 size=   18188kB time=00:03:20.93 bitrate= 741.5kbits/s dup=0 drop=1103 speed=2.38x    
frame= 3025 fps= 36 q=24.8 size=   18257kB time=00:03:21.73 bitrate= 741.4kbits/s dup=0 drop=1115 speed=2.38x    
frame= 3038 fps= 36 q=31.0 size=   18329kB time=00:03:22.60 bitrate= 741.1kbits/s dup=0 drop=1128 speed=2.37x    
frame= 3052 fps= 36 q=31.0 size=   18396kB time=00:03:23.53 bitrate= 740.4kbits/s dup=0 drop=1142 speed=2.37x    
