ffmpeg version 3.1.7 Copyright (c) 2000-2017 the FFmpeg developers
  built with gcc 5.4.0 (GCC)
  configuration: --disable-static --prefix=/cvmfs/soft.computecanada.ca/nix/store/n7qiyrcpyixibg8mijm826nb3hdb23j1-ffmpeg-3.1.7 --enable-gpl --enable-version3 --enable-shared --disable-static --enable-pic --enable-runtime-cpudetect --enable-hardcoded-tables --enable-pthreads --disable-w32threads --disable-os2threads --enable-network --enable-pixelutils --enable-ffmpeg --disable-ffplay --enable-ffprobe --disable-ffserver --enable-avcodec --enable-avdevice --enable-avfilter --enable-avformat --enable-avresample --enable-avutil --enable-postproc --enable-swresample --enable-swscale --disable-doc --enable-bzlib --enable-gnutls --enable-fontconfig --enable-libfreetype --enable-libmp3lame --enable-iconv --enable-libtheora --enable-vaapi --enable-vdpau --enable-libvorbis --enable-libvpx --enable-lzma --disable-opengl --enable-libpulse --enable-sdl --enable-libsoxr --enable-libx264 --enable-libxvid --enable-zlib --enable-libopus --enable-libx265 --disable-debug --enable-optimizations --disable-extra-warnings --disable-stripping
  libavutil      55. 28.100 / 55. 28.100
  libavcodec     57. 48.101 / 57. 48.101
  libavformat    57. 41.100 / 57. 41.100
  libavdevice    57.  0.101 / 57.  0.101
  libavfilter     6. 47.100 /  6. 47.100
  libavresample   3.  0.  0 /  3.  0.  0
  libswscale      4.  1.100 /  4.  1.100
  libswresample   2.  1.100 /  2.  1.100
  libpostproc    54.  0.100 / 54.  0.100
Input #0, mov,mp4,m4a,3gp,3g2,mj2, from '/project/6001934/lingheng/ROM_Video_Process/ROM_raw_videos/Sep_19/Camera2_Sep_19_1500_1600_Prescribed_Behavior.mp4':
  Metadata:
    major_brand     : isom
    minor_version   : 1
    compatible_brands: isom
    creation_time   : 2018-09-21 03:26:25
  Duration: 01:00:03.20, start: 0.000000, bitrate: 545 kb/s
    Stream #0:0(und): Video: h264 (Main) (avc1 / 0x31637661), yuvj420p(pc, bt709), 1920x1080 [SAR 1:1 DAR 16:9], 526 kb/s, 16.91 fps, 15 tbr, 16k tbn, 30 tbc (default)
    Metadata:
      handler_name    : VideoHandler
    Stream #0:1(und): Audio: aac (LC) (mp4a / 0x6134706D), 16000 Hz, mono, fltp, 16 kb/s (default)
    Metadata:
      creation_time   : 2018-09-21 03:26:27
      handler_name    : GPAC ISO Audio Handler
    Stream #0:2(eng): Subtitle: mov_text (tx3g / 0x67337874), 800x60, 0 kb/s (default)
    Metadata:
      rotate          : 0
      creation_time   : 2018-09-21 03:26:28
      handler_name    : dd66586339de4df0ba9f0af70a954b31.subtitles.ttxt:hdlr=sbtl:lang=en:group=2:layer=1 - Imported with GPAC 0.5.0-rev4065
Input #1, png_pipe, from '/project/6001934/lingheng/ROM_Video_Process/Openpose_Video_Analysis_Code/camera2_transparent_img.png':
  Duration: N/A, bitrate: N/A
    Stream #1:0: Video: png, rgba(pc), 1920x1080, 25 tbr, 25 tbn, 25 tbc
[swscaler @ 0x21e9b00] deprecated pixel format used, make sure you did set range correctly
[libx264 @ 0x21c9a60] using SAR=1/1
[libx264 @ 0x21c9a60] using cpu capabilities: MMX2 SSE2Fast SSSE3 SSE4.2 AVX FMA3 AVX2 LZCNT BMI2
[libx264 @ 0x21c9a60] profile High, level 4.0
[libx264 @ 0x21c9a60] 264 - core 148 - H.264/MPEG-4 AVC codec - Copyleft 2003-2016 - http://www.videolan.org/x264.html - options: cabac=1 ref=3 deblock=1:0:0 analyse=0x3:0x113 me=hex subme=7 psy=1 psy_rd=1.00:0.00 mixed_ref=1 me_range=16 chroma_me=1 trellis=1 8x8dct=1 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=-2 threads=3 lookahead_threads=1 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=15 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=crf mbtree=1 crf=23.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
[mp4 @ 0x21c8d80] Using AVStream.codec to pass codec parameters to muxers is deprecated, use AVStream.codecpar instead.
    Last message repeated 1 times
Output #0, mp4, to '/project/6001934/lingheng/ROM_Video_Process/ROM_raw_videos_with_interst_area_ffmpeg_new3/Sep_19/Camera2_Sep_19_1500_1600_Prescribed_Behavior_ffmpeg_with_interest_area.mp4':
  Metadata:
    major_brand     : isom
    minor_version   : 1
    compatible_brands: isom
    encoder         : Lavf57.41.100
    Stream #0:0: Video: h264 (libx264) ([33][0][0][0] / 0x0021), yuv420p, 1920x1080 [SAR 1:1 DAR 16:9], q=-1--1, 15 fps, 15360 tbn, 15 tbc (default)
    Metadata:
      encoder         : Lavc57.48.101 libx264
    Side data:
      cpb: bitrate max/min/avg: 0/0/0 buffer size: 0 vbv_delay: -1
    Stream #0:1(und): Audio: aac (LC) ([64][0][0][0] / 0x0040), 16000 Hz, mono, 16 kb/s (default)
    Metadata:
      creation_time   : 2018-09-21 03:26:27
      handler_name    : GPAC ISO Audio Handler
Stream mapping:
  Stream #0:0 (h264) -> overlay:main
  Stream #1:0 (png) -> overlay:overlay
  overlay -> Stream #0:0 (libx264)
  Stream #0:1 -> #0:1 (copy)
Press [q] to stop, [?] for help
frame=   17 fps=0.0 q=0.0 size=       0kB time=00:00:00.96 bitrate=   0.4kbits/s dup=1 drop=0 speed=1.91x    
frame=   38 fps= 37 q=0.0 size=       0kB time=00:00:02.30 bitrate=   0.2kbits/s dup=1 drop=0 speed=2.25x    
frame=   48 fps= 31 q=27.0 size=     157kB time=00:00:02.75 bitrate= 466.4kbits/s dup=1 drop=0 speed=1.77x    
frame=   55 fps= 26 q=27.0 size=     190kB time=00:00:03.20 bitrate= 485.6kbits/s dup=1 drop=0 speed=1.51x    
frame=   63 fps= 24 q=27.0 size=     224kB time=00:00:03.64 bitrate= 503.1kbits/s dup=1 drop=0 speed=1.37x    
frame=   71 fps= 22 q=27.0 size=     269kB time=00:00:04.16 bitrate= 529.3kbits/s dup=1 drop=0 speed=1.31x    
frame=   80 fps= 21 q=27.0 size=     330kB time=00:00:04.99 bitrate= 541.2kbits/s dup=1 drop=0 speed=1.32x    
frame=   88 fps= 21 q=27.0 size=     378kB time=00:00:05.44 bitrate= 569.9kbits/s dup=1 drop=0 speed=1.27x    
frame=   96 fps= 20 q=27.0 size=     434kB time=00:00:05.88 bitrate= 603.9kbits/s dup=1 drop=0 speed=1.22x    
frame=  104 fps= 20 q=27.0 size=     472kB time=00:00:06.33 bitrate= 610.6kbits/s dup=1 drop=0 speed=1.19x    
frame=  109 fps= 18 q=27.0 size=     598kB time=00:00:06.78 bitrate= 722.5kbits/s dup=1 drop=0 speed=1.15x    
frame=  117 fps= 18 q=27.0 size=     641kB time=00:00:07.23 bitrate= 726.0kbits/s dup=1 drop=0 speed=1.12x    
frame=  125 fps= 18 q=27.0 size=     678kB time=00:00:07.68 bitrate= 722.9kbits/s dup=1 drop=0 speed=1.09x    
frame=  134 fps= 18 q=27.0 size=     713kB time=00:00:08.12 bitrate= 718.4kbits/s dup=1 drop=0 speed=1.08x    
frame=  141 fps= 18 q=27.0 size=     742kB time=00:00:08.64 bitrate= 703.7kbits/s dup=1 drop=0 speed=1.07x    
frame=  151 fps= 18 q=27.0 size=     777kB time=00:00:09.47 bitrate= 671.7kbits/s dup=1 drop=0 speed= 1.1x    
frame=  159 fps= 17 q=27.0 size=     810kB time=00:00:09.92 bitrate= 668.7kbits/s dup=1 drop=0 speed=1.09x    
frame=  167 fps= 17 q=27.0 size=     839kB time=00:00:10.36 bitrate= 663.0kbits/s dup=1 drop=0 speed=1.07x    
frame=  171 fps= 17 q=27.0 size=     962kB time=00:00:10.81 bitrate= 728.3kbits/s dup=1 drop=0 speed=1.07x    
frame=  176 fps= 16 q=27.0 size=     992kB time=00:00:10.88 bitrate= 747.1kbits/s dup=1 drop=0 speed=1.02x    
frame=  185 fps= 16 q=27.0 size=    1039kB time=00:00:11.71 bitrate= 726.7kbits/s dup=1 drop=0 speed=1.04x    
frame=  193 fps= 16 q=27.0 size=    1082kB time=00:00:12.16 bitrate= 729.0kbits/s dup=1 drop=0 speed=1.02x    
frame=  201 fps= 16 q=27.0 size=    1121kB time=00:00:12.60 bitrate= 728.1kbits/s dup=1 drop=0 speed=1.01x    
frame=  210 fps= 16 q=27.0 size=    1150kB time=00:00:13.05 bitrate= 721.7kbits/s dup=1 drop=0 speed=   1x    
frame=  217 fps= 16 q=27.0 size=    1174kB time=00:00:13.56 bitrate= 708.7kbits/s dup=1 drop=0 speed=   1x    
frame=  227 fps= 16 q=27.0 size=    1208kB time=00:00:14.40 bitrate= 687.5kbits/s dup=1 drop=0 speed=1.03x    
frame=  231 fps= 16 q=27.0 size=    1329kB time=00:00:14.46 bitrate= 752.9kbits/s dup=1 drop=0 speed=0.993x    
frame=  243 fps= 16 q=27.0 size=    1382kB time=00:00:15.29 bitrate= 740.2kbits/s dup=1 drop=0 speed=1.01x    
frame=  250 fps= 16 q=27.0 size=    1415kB time=00:00:15.74 bitrate= 736.3kbits/s dup=1 drop=0 speed=1.01x    
frame=  257 fps= 16 q=27.0 size=    1441kB time=00:00:16.19 bitrate= 729.1kbits/s dup=1 drop=0 speed=   1x    
frame=  264 fps= 16 q=27.0 size=    1466kB time=00:00:16.70 bitrate= 718.8kbits/s dup=1 drop=0 speed=0.999x    
frame=  271 fps= 16 q=27.0 size=    1493kB time=00:00:17.15 bitrate= 713.3kbits/s dup=1 drop=0 speed=0.992x    
frame=  279 fps= 16 q=27.0 size=    1529kB time=00:00:17.66 bitrate= 709.2kbits/s dup=1 drop=0 speed=0.991x    
frame=  287 fps= 16 q=27.0 size=    1566kB time=00:00:18.24 bitrate= 703.3kbits/s dup=1 drop=0 speed=0.993x    
frame=  290 fps= 15 q=27.0 size=    1688kB time=00:00:18.43 bitrate= 750.4kbits/s dup=1 drop=0 speed=0.976x    
frame=  298 fps= 15 q=27.0 size=    1932kB time=00:00:18.88 bitrate= 838.1kbits/s dup=1 drop=0 speed=0.972x    
frame=  304 fps= 15 q=27.0 size=    1964kB time=00:00:19.39 bitrate= 829.7kbits/s dup=1 drop=0 speed=0.969x    
frame=  311 fps= 15 q=27.0 size=    1995kB time=00:00:19.84 bitrate= 823.8kbits/s dup=1 drop=0 speed=0.964x    
frame=  319 fps= 15 q=27.0 size=    2032kB time=00:00:20.35 bitrate= 817.8kbits/s dup=1 drop=0 speed=0.961x    
frame=  327 fps= 15 q=27.0 size=    2078kB time=00:00:20.86 bitrate= 816.0kbits/s dup=1 drop=0 speed=0.962x    
frame=  336 fps= 15 q=27.0 size=    2128kB time=00:00:21.50 bitrate= 810.6kbits/s dup=1 drop=0 speed=0.967x    
frame=  344 fps= 15 q=27.0 size=    2162kB time=00:00:22.01 bitrate= 804.6kbits/s dup=1 drop=0 speed=0.966x    
frame=  349 fps= 15 q=27.0 size=    2280kB time=00:00:22.33 bitrate= 836.4kbits/s dup=1 drop=0 speed=0.958x    
frame=  356 fps= 15 q=27.0 size=    2318kB time=00:00:22.84 bitrate= 831.2kbits/s dup=1 drop=0 speed=0.959x    
frame=  364 fps= 15 q=27.0 size=    2352kB time=00:00:23.36 bitrate= 824.9kbits/s dup=1 drop=0 speed=0.958x    
frame=  371 fps= 15 q=27.0 size=    2378kB time=00:00:23.80 bitrate= 818.3kbits/s dup=1 drop=0 speed=0.954x    
frame=  378 fps= 15 q=27.0 size=    2394kB time=00:00:24.32 bitrate= 806.4kbits/s dup=1 drop=0 speed=0.954x    
frame=  385 fps= 15 q=27.0 size=    2420kB time=00:00:24.76 bitrate= 800.6kbits/s dup=1 drop=0 speed=0.953x    
frame=  393 fps= 15 q=27.0 size=    2447kB time=00:00:25.28 bitrate= 793.1kbits/s dup=1 drop=0 speed=0.953x    
frame=  401 fps= 15 q=27.0 size=    2478kB time=00:00:25.85 bitrate= 785.1kbits/s dup=1 drop=0 speed=0.956x    
frame=  407 fps= 15 q=27.0 size=    2621kB time=00:00:26.24 bitrate= 818.4kbits/s dup=1 drop=0 speed=0.946x    
frame=  415 fps= 15 q=27.0 size=    2648kB time=00:00:26.75 bitrate= 810.9kbits/s dup=1 drop=0 speed=0.947x    
frame=  423 fps= 15 q=27.0 size=    2672kB time=00:00:27.26 bitrate= 803.0kbits/s dup=1 drop=0 speed=0.948x    
frame=  431 fps= 15 q=27.0 size=    2707kB time=00:00:27.84 bitrate= 796.5kbits/s dup=1 drop=0 speed=0.95x    
frame=  438 fps= 15 q=27.0 size=    2727kB time=00:00:28.28 bitrate= 789.7kbits/s dup=1 drop=0 speed=0.948x    
frame=  445 fps= 15 q=27.0 size=    2753kB time=00:00:28.73 bitrate= 784.8kbits/s dup=1 drop=0 speed=0.945x    
frame=  453 fps= 15 q=27.0 size=    2779kB time=00:00:29.31 bitrate= 776.6kbits/s dup=1 drop=0 speed=0.947x    
frame=  460 fps= 15 q=27.0 size=    2805kB time=00:00:29.76 bitrate= 772.1kbits/s dup=1 drop=0 speed=0.945x    
frame=  467 fps= 14 q=27.0 size=    2940kB time=00:00:30.20 bitrate= 797.2kbits/s dup=1 drop=0 speed=0.933x    
frame=  474 fps= 14 q=27.0 size=    2959kB time=00:00:30.72 bitrate= 789.0kbits/s dup=1 drop=0 speed=0.934x    
frame=  479 fps= 14 q=27.0 size=    3012kB time=00:00:31.04 bitrate= 794.9kbits/s dup=1 drop=0 speed=0.926x    
frame=  486 fps= 14 q=27.0 size=    3037kB time=00:00:31.48 bitrate= 790.2kbits/s dup=1 drop=0 speed=0.923x    
frame=  491 fps= 14 q=27.0 size=    3071kB time=00:00:31.80 bitrate= 791.0kbits/s dup=1 drop=0 speed=0.918x    
frame=  498 fps= 14 q=27.0 size=    3095kB time=00:00:32.32 bitrate= 784.4kbits/s dup=1 drop=0 speed=0.918x    
frame=  504 fps= 14 q=27.0 size=    3119kB time=00:00:32.70 bitrate= 781.3kbits/s dup=1 drop=0 speed=0.915x    
frame=  510 fps= 14 q=27.0 size=    3143kB time=00:00:33.08 bitrate= 778.2kbits/s dup=1 drop=0 speed=0.912x    
frame=  514 fps= 14 q=27.0 size=    3174kB time=00:00:33.34 bitrate= 779.8kbits/s dup=1 drop=0 speed=0.906x    
frame=  519 fps= 14 q=27.0 size=    3209kB time=00:00:33.66 bitrate= 781.0kbits/s dup=1 drop=0 speed=0.901x    
frame=  526 fps= 14 q=27.0 size=    3231kB time=00:00:34.17 bitrate= 774.5kbits/s dup=1 drop=0 speed=0.901x    
frame=  529 fps= 14 q=27.0 size=    3368kB time=00:00:34.36 bitrate= 802.7kbits/s dup=1 drop=0 speed=0.894x    
frame=  535 fps= 14 q=27.0 size=    3393kB time=00:00:34.75 bitrate= 799.9kbits/s dup=1 drop=0 speed=0.891x    
frame=  542 fps= 14 q=27.0 size=    3415kB time=00:00:35.20 bitrate= 794.8kbits/s dup=1 drop=0 speed=0.89x    
frame=  549 fps= 14 q=27.0 size=    3683kB time=00:00:35.71 bitrate= 845.0kbits/s dup=1 drop=0 speed=0.891x    
frame=  558 fps= 14 q=27.0 size=    3714kB time=00:00:36.28 bitrate= 838.5kbits/s dup=1 drop=0 speed=0.894x    
frame=  567 fps= 14 q=27.0 size=    3765kB time=00:00:36.86 bitrate= 836.6kbits/s dup=1 drop=0 speed=0.897x    
frame=  574 fps= 14 q=27.0 size=    3792kB time=00:00:37.37 bitrate= 831.2kbits/s dup=1 drop=0 speed=0.897x    
frame=  579 fps= 14 q=27.0 size=    3828kB time=00:00:37.69 bitrate= 831.9kbits/s dup=1 drop=0 speed=0.894x    
frame=  585 fps= 14 q=27.0 size=    3860kB time=00:00:38.08 bitrate= 830.3kbits/s dup=1 drop=0 speed=0.892x    
frame=  588 fps= 14 q=27.0 size=    3991kB time=00:00:38.27 bitrate= 854.3kbits/s dup=1 drop=0 speed=0.885x    
frame=  594 fps= 14 q=27.0 size=    4016kB time=00:00:38.72 bitrate= 849.7kbits/s dup=1 drop=0 speed=0.885x    
frame=  599 fps= 14 q=27.0 size=    4049kB time=00:00:39.04 bitrate= 849.7kbits/s dup=1 drop=0 speed=0.882x    
frame=  605 fps= 14 q=27.0 size=    4077kB time=00:00:39.42 bitrate= 847.2kbits/s dup=1 drop=0 speed=0.88x    
frame=  613 fps= 14 q=27.0 size=    4117kB time=00:00:39.93 bitrate= 844.6kbits/s dup=1 drop=0 speed=0.882x    
frame=  622 fps= 14 q=27.0 size=    4154kB time=00:00:40.57 bitrate= 838.6kbits/s dup=1 drop=0 speed=0.885x    
frame=  632 fps= 14 q=27.0 size=    4192kB time=00:00:41.21 bitrate= 833.2kbits/s dup=1 drop=0 speed=0.889x    
frame=  642 fps= 14 q=27.0 size=    4219kB time=00:00:41.92 bitrate= 824.5kbits/s dup=1 drop=0 speed=0.893x    
frame=  647 fps= 14 q=27.0 size=    4362kB time=00:00:42.24 bitrate= 845.9kbits/s dup=1 drop=0 speed=0.889x    
frame=  658 fps= 14 q=27.0 size=    4392kB time=00:00:42.94 bitrate= 837.8kbits/s dup=1 drop=0 speed=0.894x    
frame=  667 fps= 14 q=27.0 size=    4427kB time=00:00:43.58 bitrate= 832.2kbits/s dup=1 drop=0 speed=0.896x    
frame=  675 fps= 14 q=27.0 size=    4451kB time=00:00:44.09 bitrate= 826.9kbits/s dup=1 drop=0 speed=0.896x    
frame=  682 fps= 14 q=27.0 size=    4472kB time=00:00:44.54 bitrate= 822.4kbits/s dup=1 drop=0 speed=0.895x    
frame=  689 fps= 14 q=27.0 size=    4503kB time=00:00:45.05 bitrate= 818.7kbits/s dup=1 drop=0 speed=0.896x    
frame=  695 fps= 14 q=27.0 size=    4534kB time=00:00:45.44 bitrate= 817.4kbits/s dup=1 drop=0 speed=0.894x    
frame=  702 fps= 14 q=27.0 size=    4555kB time=00:00:45.88 bitrate= 813.2kbits/s dup=1 drop=0 speed=0.893x    
frame=  707 fps= 14 q=27.0 size=    4689kB time=00:00:46.20 bitrate= 831.3kbits/s dup=1 drop=0 speed=0.887x    
frame=  712 fps= 14 q=27.0 size=    4740kB time=00:00:46.59 bitrate= 833.3kbits/s dup=1 drop=0 speed=0.886x    
frame=  718 fps= 13 q=27.0 size=    4785kB time=00:00:46.97 bitrate= 834.5kbits/s dup=1 drop=0 speed=0.882x    
frame=  723 fps= 13 q=27.0 size=    4836kB time=00:00:47.29 bitrate= 837.6kbits/s dup=1 drop=0 speed=0.878x    
frame=  729 fps= 13 q=27.0 size=    4874kB time=00:00:47.68 bitrate= 837.4kbits/s dup=1 drop=0 speed=0.877x    
frame=  735 fps= 13 q=27.0 size=    4923kB time=00:00:48.06 bitrate= 839.1kbits/s dup=1 drop=0 speed=0.873x    
frame=  741 fps= 13 q=27.0 size=    4961kB time=00:00:48.51 bitrate= 837.7kbits/s dup=1 drop=0 speed=0.873x    
frame=  746 fps= 13 q=27.0 size=    4994kB time=00:00:48.83 bitrate= 837.7kbits/s dup=1 drop=0 speed=0.871x    
frame=  751 fps= 13 q=27.0 size=    5041kB time=00:00:49.15 bitrate= 840.1kbits/s dup=1 drop=0 speed=0.868x    
frame=  757 fps= 13 q=27.0 size=    5077kB time=00:00:49.53 bitrate= 839.6kbits/s dup=1 drop=0 speed=0.866x    
frame=  762 fps= 13 q=27.0 size=    5110kB time=00:00:49.92 bitrate= 838.6kbits/s dup=1 drop=0 speed=0.865x    
frame=  767 fps= 13 q=27.0 size=    5269kB time=00:00:50.24 bitrate= 859.1kbits/s dup=1 drop=0 speed=0.859x    
frame=  774 fps= 13 q=27.0 size=    5303kB time=00:00:50.68 bitrate= 857.0kbits/s dup=1 drop=0 speed=0.858x    
frame=  780 fps= 13 q=27.0 size=    5343kB time=00:00:51.07 bitrate= 856.9kbits/s dup=1 drop=0 speed=0.856x    
frame=  786 fps= 13 q=27.0 size=    5369kB time=00:00:51.52 bitrate= 853.7kbits/s dup=1 drop=0 speed=0.856x    
frame=  792 fps= 13 q=27.0 size=    5401kB time=00:00:51.90 bitrate= 852.5kbits/s dup=1 drop=0 speed=0.855x    
frame=  798 fps= 13 q=27.0 size=    5650kB time=00:00:52.28 bitrate= 885.2kbits/s dup=1 drop=0 speed=0.854x    
frame=  805 fps= 13 q=27.0 size=    5682kB time=00:00:52.73 bitrate= 882.7kbits/s dup=1 drop=0 speed=0.854x    
frame=  812 fps= 13 q=27.0 size=    5713kB time=00:00:53.24 bitrate= 878.9kbits/s dup=1 drop=0 speed=0.854x    
frame=  819 fps= 13 q=27.0 size=    5736kB time=00:00:53.69 bitrate= 875.1kbits/s dup=1 drop=0 speed=0.854x    
frame=  827 fps= 13 q=27.0 size=    5883kB time=00:00:54.20 bitrate= 889.0kbits/s dup=1 drop=0 speed=0.85x    
frame=  834 fps= 13 q=27.0 size=    5905kB time=00:00:54.72 bitrate= 884.0kbits/s dup=1 drop=0 speed=0.851x    
frame=  840 fps= 13 q=27.0 size=    5933kB time=00:00:55.10 bitrate= 882.1kbits/s dup=1 drop=0 speed=0.85x    
frame=  847 fps= 13 q=27.0 size=    5974kB time=00:00:55.55 bitrate= 881.0kbits/s dup=1 drop=0 speed=0.848x    
frame=  852 fps= 13 q=27.0 size=    6008kB time=00:00:55.87 bitrate= 880.9kbits/s dup=1 drop=0 speed=0.847x    
frame=  858 fps= 13 q=27.0 size=    6039kB time=00:00:56.32 bitrate= 878.4kbits/s dup=1 drop=0 speed=0.846x    
frame=  863 fps= 13 q=27.0 size=    6075kB time=00:00:56.64 bitrate= 878.7kbits/s dup=1 drop=0 speed=0.844x    
frame=  869 fps= 13 q=27.0 size=    6102kB time=00:00:57.02 bitrate= 876.5kbits/s dup=1 drop=0 speed=0.843x    
frame=  874 fps= 13 q=27.0 size=    6125kB time=00:00:57.34 bitrate= 875.1kbits/s dup=1 drop=0 speed=0.841x    
frame=  879 fps= 13 q=27.0 size=    6163kB time=00:00:57.66 bitrate= 875.5kbits/s dup=1 drop=0 speed=0.839x    
frame=  885 fps= 13 q=27.0 size=    6186kB time=00:00:58.11 bitrate= 872.1kbits/s dup=1 drop=0 speed=0.84x    
frame=  888 fps= 13 q=27.0 size=    6320kB time=00:00:58.30 bitrate= 888.0kbits/s dup=1 drop=0 speed=0.836x    
frame=  895 fps= 13 q=27.0 size=    6355kB time=00:00:58.75 bitrate= 886.2kbits/s dup=1 drop=0 speed=0.835x    
frame=  902 fps= 13 q=27.0 size=    6382kB time=00:00:59.20 bitrate= 883.1kbits/s dup=1 drop=0 speed=0.834x    
frame=  908 fps= 13 q=27.0 size=    6415kB time=00:00:59.64 bitrate= 881.1kbits/s dup=1 drop=0 speed=0.834x    
frame=  915 fps= 13 q=27.0 size=    6444kB time=00:01:00.09 bitrate= 878.4kbits/s dup=1 drop=0 speed=0.833x    
frame=  922 fps= 13 q=27.0 size=    6461kB time=00:01:00.54 bitrate= 874.3kbits/s dup=1 drop=0 speed=0.833x    
frame=  927 fps= 13 q=27.0 size=    6506kB time=00:01:00.86 bitrate= 875.6kbits/s dup=1 drop=0 speed=0.83x    
frame=  933 fps= 13 q=27.0 size=    6539kB time=00:01:01.31 bitrate= 873.7kbits/s dup=1 drop=0 speed=0.83x    
frame=  939 fps= 13 q=27.0 size=    6567kB time=00:01:01.69 bitrate= 871.9kbits/s dup=1 drop=0 speed=0.829x    
frame=  945 fps= 13 q=27.0 size=    6585kB time=00:01:02.08 bitrate= 868.9kbits/s dup=1 drop=0 speed=0.828x    
frame=  948 fps= 13 q=27.0 size=    6721kB time=00:01:02.27 bitrate= 884.2kbits/s dup=1 drop=0 speed=0.825x    
frame=  954 fps= 13 q=27.0 size=    6739kB time=00:01:02.72 bitrate= 880.2kbits/s dup=1 drop=0 speed=0.825x    
frame=  960 fps= 13 q=27.0 size=    6771kB time=00:01:03.10 bitrate= 879.0kbits/s dup=1 drop=0 speed=0.824x    
frame=  967 fps= 13 q=27.0 size=    6804kB time=00:01:03.55 bitrate= 877.1kbits/s dup=1 drop=0 speed=0.823x    
frame=  974 fps= 13 q=27.0 size=    6825kB time=00:01:04.00 bitrate= 873.6kbits/s dup=1 drop=0 speed=0.823x    
frame=  982 fps= 13 q=27.0 size=    6856kB time=00:01:04.57 bitrate= 869.8kbits/s dup=1 drop=0 speed=0.825x    
frame=  990 fps= 13 q=27.0 size=    6883kB time=00:01:05.08 bitrate= 866.3kbits/s dup=1 drop=0 speed=0.826x    
frame=  995 fps= 13 q=27.0 size=    6929kB time=00:01:05.40 bitrate= 867.8kbits/s dup=1 drop=0 speed=0.823x    
frame= 1001 fps= 13 q=27.0 size=    6954kB time=00:01:05.85 bitrate= 865.0kbits/s dup=1 drop=0 speed=0.823x    
frame= 1007 fps= 12 q=27.0 size=    7092kB time=00:01:06.24 bitrate= 877.1kbits/s dup=1 drop=0 speed=0.82x    
frame= 1015 fps= 12 q=27.0 size=    7120kB time=00:01:06.75 bitrate= 873.8kbits/s dup=1 drop=0 speed=0.821x    
frame= 1022 fps= 12 q=27.0 size=    7144kB time=00:01:07.20 bitrate= 870.8kbits/s dup=1 drop=0 speed=0.821x    
frame= 1027 fps= 12 q=27.0 size=    7184kB time=00:01:07.58 bitrate= 870.8kbits/s dup=1 drop=0 speed=0.82x    
frame= 1033 fps= 12 q=27.0 size=    7218kB time=00:01:07.96 bitrate= 869.9kbits/s dup=1 drop=0 speed=0.82x    
frame= 1038 fps= 12 q=27.0 size=    7255kB time=00:01:08.28 bitrate= 870.3kbits/s dup=1 drop=0 speed=0.818x    
frame= 1043 fps= 12 q=27.0 size=    7314kB time=00:01:08.60 bitrate= 873.3kbits/s dup=1 drop=0 speed=0.816x    
frame= 1049 fps= 12 q=27.0 size=    7584kB time=00:01:09.05 bitrate= 899.7kbits/s dup=1 drop=0 speed=0.816x    
frame= 1056 fps= 12 q=27.0 size=    7612kB time=00:01:09.50 bitrate= 897.1kbits/s dup=1 drop=0 speed=0.816x    
frame= 1061 fps= 12 q=27.0 size=    7648kB time=00:01:09.82 bitrate= 897.3kbits/s dup=1 drop=0 speed=0.815x    
frame= 1068 fps= 12 q=27.0 size=    7677kB time=00:01:10.27 bitrate= 894.9kbits/s dup=1 drop=0 speed=0.815x    
frame= 1071 fps= 12 q=27.0 size=    7808kB time=00:01:10.46 bitrate= 907.7kbits/s dup=1 drop=0 speed=0.813x    
frame= 1077 fps= 12 q=27.0 size=    7847kB time=00:01:10.91 bitrate= 906.5kbits/s dup=1 drop=0 speed=0.812x    
frame= 1084 fps= 12 q=27.0 size=    7880kB time=00:01:11.36 bitrate= 904.6kbits/s dup=1 drop=0 speed=0.812x    
frame= 1090 fps= 12 q=27.0 size=    7921kB time=00:01:11.74 bitrate= 904.4kbits/s dup=1 drop=0 speed=0.811x    
frame= 1096 fps= 12 q=27.0 size=    7952kB time=00:01:12.19 bitrate= 902.3kbits/s dup=1 drop=0 speed=0.812x    
frame= 1101 fps= 12 q=27.0 size=    7995kB time=00:01:12.51 bitrate= 903.2kbits/s dup=1 drop=0 speed=0.81x    
frame= 1107 fps= 12 q=27.0 size=    8033kB time=00:01:12.89 bitrate= 902.7kbits/s dup=1 drop=0 speed=0.81x    
frame= 1112 fps= 12 q=27.0 size=    8064kB time=00:01:13.21 bitrate= 902.3kbits/s dup=1 drop=0 speed=0.809x    
frame= 1117 fps= 12 q=27.0 size=    8105kB time=00:01:13.53 bitrate= 902.9kbits/s dup=1 drop=0 speed=0.808x    
frame= 1124 fps= 12 q=27.0 size=    8136kB time=00:01:14.04 bitrate= 900.0kbits/s dup=1 drop=0 speed=0.808x    
