ffmpeg version 3.1.7 Copyright (c) 2000-2017 the FFmpeg developers
  built with gcc 5.4.0 (GCC)
  configuration: --disable-static --prefix=/cvmfs/soft.computecanada.ca/nix/store/n7qiyrcpyixibg8mijm826nb3hdb23j1-ffmpeg-3.1.7 --enable-gpl --enable-version3 --enable-shared --disable-static --enable-pic --enable-runtime-cpudetect --enable-hardcoded-tables --enable-pthreads --disable-w32threads --disable-os2threads --enable-network --enable-pixelutils --enable-ffmpeg --disable-ffplay --enable-ffprobe --disable-ffserver --enable-avcodec --enable-avdevice --enable-avfilter --enable-avformat --enable-avresample --enable-avutil --enable-postproc --enable-swresample --enable-swscale --disable-doc --enable-bzlib --enable-gnutls --enable-fontconfig --enable-libfreetype --enable-libmp3lame --enable-iconv --enable-libtheora --enable-vaapi --enable-vdpau --enable-libvorbis --enable-libvpx --enable-lzma --disable-opengl --enable-libpulse --enable-sdl --enable-libsoxr --enable-libx264 --enable-libxvid --enable-zlib --enable-libopus --enable-libx265 --disable-debug --enable-optimizations --disable-extra-warnings --disable-stripping
  libavutil      55. 28.100 / 55. 28.100
  libavcodec     57. 48.101 / 57. 48.101
  libavformat    57. 41.100 / 57. 41.100
  libavdevice    57.  0.101 / 57.  0.101
  libavfilter     6. 47.100 /  6. 47.100
  libavresample   3.  0.  0 /  3.  0.  0
  libswscale      4.  1.100 /  4.  1.100
  libswresample   2.  1.100 /  2.  1.100
  libpostproc    54.  0.100 / 54.  0.100
Input #0, mov,mp4,m4a,3gp,3g2,mj2, from '/project/6001934/lingheng/ROM_Video_Process/ROM_raw_videos/Sep_21/Camera2_Sep_21_1300_1400_Raw_Single_Learning_Agent.mp4':
  Metadata:
    major_brand     : isom
    minor_version   : 1
    compatible_brands: isom
    creation_time   : 2018-09-21 18:58:18
  Duration: 01:00:02.33, start: 0.000000, bitrate: 649 kb/s
    Stream #0:0(und): Video: h264 (Main) (avc1 / 0x31637661), yuvj420p(pc, bt709), 1920x1080 [SAR 1:1 DAR 16:9], 629 kb/s, 20.79 fps, 30 tbr, 16k tbn, 30 tbc (default)
    Metadata:
      handler_name    : VideoHandler
    Stream #0:1(und): Audio: aac (LC) (mp4a / 0x6134706D), 16000 Hz, mono, fltp, 16 kb/s (default)
    Metadata:
      creation_time   : 2018-09-21 18:58:22
      handler_name    : GPAC ISO Audio Handler
    Stream #0:2(eng): Subtitle: mov_text (tx3g / 0x67337874), 800x60, 0 kb/s (default)
    Metadata:
      rotate          : 0
      creation_time   : 2018-09-21 18:58:22
      handler_name    : 67c164d6f47841eb9402e6f2b816b37d.subtitles.ttxt:hdlr=sbtl:lang=en:group=2:layer=1 - Imported with GPAC 0.5.0-rev4065
Input #1, png_pipe, from '/project/6001934/lingheng/ROM_Video_Process/Openpose_Video_Analysis_Code/camera2_transparent_img.png':
  Duration: N/A, bitrate: N/A
    Stream #1:0: Video: png, rgba(pc), 1920x1080, 25 tbr, 25 tbn, 25 tbc
[swscaler @ 0x1b13760] deprecated pixel format used, make sure you did set range correctly
[libx264 @ 0x1907120] using SAR=1/1
[libx264 @ 0x1907120] using cpu capabilities: MMX2 SSE2Fast SSSE3 SSE4.2 AVX FMA3 AVX2 LZCNT BMI2
[libx264 @ 0x1907120] profile High, level 4.0
[libx264 @ 0x1907120] 264 - core 148 - H.264/MPEG-4 AVC codec - Copyleft 2003-2016 - http://www.videolan.org/x264.html - options: cabac=1 ref=3 deblock=1:0:0 analyse=0x3:0x113 me=hex subme=7 psy=1 psy_rd=1.00:0.00 mixed_ref=1 me_range=16 chroma_me=1 trellis=1 8x8dct=1 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=-2 threads=3 lookahead_threads=1 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=15 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=crf mbtree=1 crf=23.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
[mp4 @ 0x1905e80] Using AVStream.codec to pass codec parameters to muxers is deprecated, use AVStream.codecpar instead.
    Last message repeated 1 times
Output #0, mp4, to '/project/6001934/lingheng/ROM_Video_Process/ROM_raw_videos_with_interst_area_ffmpeg_new3/Sep_21/Camera2_Sep_21_1300_1400_Raw_Single_Learning_Agent_ffmpeg_with_interest_area.mp4':
  Metadata:
    major_brand     : isom
    minor_version   : 1
    compatible_brands: isom
    encoder         : Lavf57.41.100
    Stream #0:0: Video: h264 (libx264) ([33][0][0][0] / 0x0021), yuv420p, 1920x1080 [SAR 1:1 DAR 16:9], q=-1--1, 15 fps, 15360 tbn, 15 tbc (default)
    Metadata:
      encoder         : Lavc57.48.101 libx264
    Side data:
      cpb: bitrate max/min/avg: 0/0/0 buffer size: 0 vbv_delay: -1
    Stream #0:1(und): Audio: aac (LC) ([64][0][0][0] / 0x0040), 16000 Hz, mono, 16 kb/s (default)
    Metadata:
      creation_time   : 2018-09-21 18:58:22
      handler_name    : GPAC ISO Audio Handler
Stream mapping:
  Stream #0:0 (h264) -> overlay:main
  Stream #1:0 (png) -> overlay:overlay
  overlay -> Stream #0:0 (libx264)
  Stream #0:1 -> #0:1 (copy)
Press [q] to stop, [?] for help
frame=   18 fps=0.0 q=0.0 size=       0kB time=00:00:00.96 bitrate=   0.4kbits/s dup=1 drop=0 speed=1.85x    
frame=   41 fps= 39 q=0.0 size=       0kB time=00:00:02.30 bitrate=   0.2kbits/s dup=1 drop=0 speed=2.21x    
frame=   49 fps= 32 q=27.0 size=     181kB time=00:00:02.75 bitrate= 538.8kbits/s dup=1 drop=0 speed=1.78x    
frame=   62 fps= 30 q=27.0 size=     227kB time=00:00:03.64 bitrate= 510.3kbits/s dup=1 drop=0 speed=1.77x    
frame=   74 fps= 29 q=27.0 size=     268kB time=00:00:04.54 bitrate= 482.3kbits/s dup=1 drop=0 speed=1.75x    
frame=   86 fps= 27 q=27.0 size=     354kB time=00:00:04.99 bitrate= 580.2kbits/s dup=1 drop=0 speed=1.54x    
frame=   98 fps= 26 q=27.0 size=     405kB time=00:00:05.88 bitrate= 563.2kbits/s dup=1 drop=0 speed=1.55x    
frame=  110 fps= 24 q=27.0 size=     548kB time=00:00:06.78 bitrate= 662.0kbits/s dup=1 drop=0 speed=1.48x    
frame=  121 fps= 23 q=27.0 size=     595kB time=00:00:07.29 bitrate= 668.1kbits/s dup=1 drop=0 speed=1.41x    
frame=  131 fps= 23 q=27.0 size=     655kB time=00:00:08.12 bitrate= 660.3kbits/s dup=1 drop=0 speed=1.43x    
frame=  140 fps= 23 q=27.0 size=     709kB time=00:00:08.57 bitrate= 677.6kbits/s dup=1 drop=0 speed=1.39x    
frame=  149 fps= 22 q=27.0 size=     769kB time=00:00:09.08 bitrate= 692.9kbits/s dup=1 drop=0 speed=1.35x    
frame=  158 fps= 22 q=27.0 size=     805kB time=00:00:09.92 bitrate= 664.7kbits/s dup=1 drop=0 speed=1.37x    
frame=  169 fps= 22 q=27.0 size=     965kB time=00:00:10.36 bitrate= 762.2kbits/s dup=1 drop=0 speed=1.34x    
frame=  174 fps= 21 q=27.0 size=     985kB time=00:00:10.81 bitrate= 746.4kbits/s dup=1 drop=0 speed=1.31x    
frame=  186 fps= 21 q=27.0 size=    1035kB time=00:00:11.71 bitrate= 724.2kbits/s dup=1 drop=0 speed=1.33x    
frame=  197 fps= 21 q=27.0 size=    1079kB time=00:00:12.22 bitrate= 723.2kbits/s dup=1 drop=0 speed=1.31x    
frame=  210 fps= 21 q=27.0 size=    1142kB time=00:00:13.05 bitrate= 716.8kbits/s dup=1 drop=0 speed=1.32x    
frame=  218 fps= 21 q=27.0 size=    1203kB time=00:00:13.63 bitrate= 722.8kbits/s dup=1 drop=0 speed=1.31x    
frame=  230 fps= 21 q=27.0 size=    1363kB time=00:00:14.40 bitrate= 775.1kbits/s dup=1 drop=0 speed=1.29x    
frame=  242 fps= 21 q=27.0 size=    1408kB time=00:00:15.29 bitrate= 754.0kbits/s dup=1 drop=0 speed=1.31x    
frame=  252 fps= 21 q=27.0 size=    1436kB time=00:00:15.93 bitrate= 738.1kbits/s dup=1 drop=0 speed= 1.3x    
frame=  262 fps= 20 q=27.0 size=    1522kB time=00:00:16.64 bitrate= 749.4kbits/s dup=1 drop=0 speed= 1.3x    
frame=  271 fps= 20 q=27.0 size=    1571kB time=00:00:17.21 bitrate= 747.7kbits/s dup=1 drop=0 speed=1.29x    
frame=  281 fps= 20 q=27.0 size=    1659kB time=00:00:17.92 bitrate= 758.2kbits/s dup=1 drop=0 speed=1.28x    
frame=  290 fps= 20 q=27.0 size=    1860kB time=00:00:18.43 bitrate= 826.5kbits/s dup=1 drop=0 speed=1.25x    
frame=  300 fps= 20 q=27.0 size=    2108kB time=00:00:19.13 bitrate= 902.5kbits/s dup=1 drop=0 speed=1.26x    
frame=  312 fps= 20 q=27.0 size=    2144kB time=00:00:19.96 bitrate= 879.8kbits/s dup=1 drop=0 speed=1.27x    
frame=  325 fps= 20 q=27.0 size=    2186kB time=00:00:20.80 bitrate= 860.8kbits/s dup=1 drop=0 speed=1.28x    
frame=  337 fps= 20 q=27.0 size=    2226kB time=00:00:21.63 bitrate= 842.8kbits/s dup=1 drop=0 speed=1.29x    
frame=  347 fps= 20 q=27.0 size=    2383kB time=00:00:22.27 bitrate= 876.7kbits/s dup=1 drop=0 speed=1.27x    
frame=  359 fps= 20 q=27.0 size=    2421kB time=00:00:23.10 bitrate= 858.5kbits/s dup=1 drop=0 speed=1.28x    
frame=  370 fps= 20 q=27.0 size=    2462kB time=00:00:23.80 bitrate= 847.1kbits/s dup=1 drop=0 speed=1.29x    
frame=  379 fps= 20 q=27.0 size=    2529kB time=00:00:24.44 bitrate= 847.3kbits/s dup=1 drop=0 speed=1.28x    
frame=  387 fps= 20 q=27.0 size=    2600kB time=00:00:24.96 bitrate= 853.4kbits/s dup=1 drop=0 speed=1.28x    
frame=  396 fps= 20 q=27.0 size=    2658kB time=00:00:25.53 bitrate= 852.6kbits/s dup=1 drop=0 speed=1.27x    
frame=  407 fps= 20 q=27.0 size=    2808kB time=00:00:26.30 bitrate= 874.6kbits/s dup=1 drop=0 speed=1.26x    
frame=  418 fps= 20 q=27.0 size=    2854kB time=00:00:27.00 bitrate= 865.5kbits/s dup=2 drop=0 speed=1.26x    
frame=  428 fps= 20 q=27.0 size=    2920kB time=00:00:27.71 bitrate= 863.2kbits/s dup=2 drop=0 speed=1.27x    
frame=  435 fps= 19 q=27.0 size=    3022kB time=00:00:28.16 bitrate= 879.2kbits/s dup=2 drop=0 speed=1.26x    
frame=  445 fps= 19 q=27.0 size=    3079kB time=00:00:28.80 bitrate= 875.7kbits/s dup=2 drop=0 speed=1.26x    
frame=  453 fps= 19 q=27.0 size=    3138kB time=00:00:29.37 bitrate= 875.2kbits/s dup=2 drop=0 speed=1.25x    
frame=  459 fps= 19 q=27.0 size=    3233kB time=00:00:29.76 bitrate= 890.0kbits/s dup=2 drop=0 speed=1.24x    
frame=  467 fps= 19 q=27.0 size=    3390kB time=00:00:30.27 bitrate= 917.3kbits/s dup=2 drop=0 speed=1.23x    
frame=  480 fps= 19 q=27.0 size=    3428kB time=00:00:31.16 bitrate= 901.0kbits/s dup=2 drop=0 speed=1.24x    
frame=  491 fps= 19 q=27.0 size=    3482kB time=00:00:31.87 bitrate= 895.1kbits/s dup=2 drop=0 speed=1.24x    
frame=  499 fps= 19 q=27.0 size=    3562kB time=00:00:32.44 bitrate= 899.2kbits/s dup=2 drop=0 speed=1.24x    
frame=  508 fps= 19 q=27.0 size=    3623kB time=00:00:33.02 bitrate= 898.8kbits/s dup=2 drop=0 speed=1.23x    
frame=  518 fps= 19 q=27.0 size=    3699kB time=00:00:33.66 bitrate= 900.2kbits/s dup=4 drop=0 speed=1.23x    
frame=  530 fps= 19 q=27.0 size=    3876kB time=00:00:34.49 bitrate= 920.5kbits/s dup=4 drop=0 speed=1.22x    
frame=  542 fps= 19 q=27.0 size=    3912kB time=00:00:35.26 bitrate= 908.7kbits/s dup=4 drop=0 speed=1.22x    
frame=  553 fps= 19 q=27.0 size=    4203kB time=00:00:36.03 bitrate= 955.5kbits/s dup=4 drop=0 speed=1.22x    
frame=  562 fps= 19 q=27.0 size=    4277kB time=00:00:36.60 bitrate= 957.2kbits/s dup=4 drop=0 speed=1.22x    
frame=  573 fps= 19 q=27.0 size=    4325kB time=00:00:37.37 bitrate= 947.9kbits/s dup=4 drop=0 speed=1.23x    
frame=  585 fps= 19 q=27.0 size=    4371kB time=00:00:38.14 bitrate= 938.8kbits/s dup=4 drop=0 speed=1.23x    
frame=  592 fps= 19 q=27.0 size=    4517kB time=00:00:38.65 bitrate= 957.2kbits/s dup=4 drop=0 speed=1.22x    
frame=  603 fps= 19 q=27.0 size=    4561kB time=00:00:39.36 bitrate= 949.2kbits/s dup=4 drop=0 speed=1.23x    
frame=  614 fps= 19 q=27.0 size=    4612kB time=00:00:40.06 bitrate= 942.9kbits/s dup=4 drop=0 speed=1.23x    
frame=  625 fps= 19 q=27.0 size=    4681kB time=00:00:40.83 bitrate= 939.0kbits/s dup=4 drop=0 speed=1.23x    
frame=  635 fps= 19 q=27.0 size=    4731kB time=00:00:41.47 bitrate= 934.5kbits/s dup=4 drop=0 speed=1.23x    
frame=  645 fps= 19 q=27.0 size=    4798kB time=00:00:42.17 bitrate= 932.0kbits/s dup=4 drop=0 speed=1.23x    
frame=  650 fps= 19 q=27.0 size=    4945kB time=00:00:42.49 bitrate= 953.2kbits/s dup=4 drop=0 speed=1.22x    
frame=  662 fps= 19 q=27.0 size=    4986kB time=00:00:43.26 bitrate= 944.1kbits/s dup=4 drop=0 speed=1.22x    
frame=  673 fps= 19 q=27.0 size=    5034kB time=00:00:44.03 bitrate= 936.5kbits/s dup=4 drop=0 speed=1.23x    
frame=  685 fps= 19 q=27.0 size=    5081kB time=00:00:44.80 bitrate= 929.1kbits/s dup=4 drop=0 speed=1.23x    
frame=  695 fps= 19 q=27.0 size=    5162kB time=00:00:45.50 bitrate= 929.2kbits/s dup=4 drop=0 speed=1.23x    
frame=  707 fps= 19 q=27.0 size=    5202kB time=00:00:46.27 bitrate= 920.9kbits/s dup=4 drop=0 speed=1.24x    
frame=  714 fps= 19 q=27.0 size=    5338kB time=00:00:46.78 bitrate= 934.8kbits/s dup=4 drop=0 speed=1.23x    
frame=  725 fps= 19 q=27.0 size=    5388kB time=00:00:47.48 bitrate= 929.5kbits/s dup=4 drop=0 speed=1.23x    
frame=  736 fps= 19 q=27.0 size=    5433kB time=00:00:48.25 bitrate= 922.3kbits/s dup=4 drop=0 speed=1.24x    
frame=  747 fps= 19 q=27.0 size=    5485kB time=00:00:48.96 bitrate= 917.7kbits/s dup=4 drop=0 speed=1.24x    
frame=  758 fps= 19 q=27.0 size=    5536kB time=00:00:49.66 bitrate= 913.2kbits/s dup=4 drop=0 speed=1.24x    
frame=  771 fps= 19 q=27.0 size=    5692kB time=00:00:50.56 bitrate= 922.2kbits/s dup=4 drop=0 speed=1.24x    
frame=  783 fps= 19 q=27.0 size=    5756kB time=00:00:51.39 bitrate= 917.5kbits/s dup=4 drop=0 speed=1.24x    
frame=  793 fps= 19 q=27.0 size=    5808kB time=00:00:52.03 bitrate= 914.4kbits/s dup=4 drop=0 speed=1.24x    
frame=  804 fps= 19 q=27.0 size=    6087kB time=00:00:52.73 bitrate= 945.6kbits/s dup=4 drop=0 speed=1.24x    
frame=  814 fps= 19 q=27.0 size=    6131kB time=00:00:53.44 bitrate= 939.9kbits/s dup=4 drop=0 speed=1.24x    
frame=  826 fps= 19 q=27.0 size=    6172kB time=00:00:54.20 bitrate= 932.7kbits/s dup=4 drop=0 speed=1.24x    
frame=  833 fps= 19 q=27.0 size=    6312kB time=00:00:54.72 bitrate= 945.0kbits/s dup=4 drop=0 speed=1.24x    
frame=  843 fps= 19 q=27.0 size=    6360kB time=00:00:55.36 bitrate= 941.2kbits/s dup=4 drop=0 speed=1.24x    
frame=  853 fps= 19 q=27.0 size=    6416kB time=00:00:56.00 bitrate= 938.6kbits/s dup=4 drop=0 speed=1.24x    
frame=  865 fps= 19 q=27.0 size=    6468kB time=00:00:56.83 bitrate= 932.4kbits/s dup=4 drop=0 speed=1.24x    
frame=  877 fps= 19 q=27.0 size=    6513kB time=00:00:57.60 bitrate= 926.3kbits/s dup=4 drop=0 speed=1.25x    
frame=  886 fps= 19 q=27.0 size=    6561kB time=00:00:58.24 bitrate= 922.9kbits/s dup=4 drop=0 speed=1.25x    
frame=  891 fps= 19 q=27.0 size=    6724kB time=00:00:58.56 bitrate= 940.6kbits/s dup=4 drop=0 speed=1.24x    
frame=  902 fps= 19 q=27.0 size=    6774kB time=00:00:59.26 bitrate= 936.3kbits/s dup=4 drop=0 speed=1.24x    
frame=  912 fps= 19 q=27.0 size=    6829kB time=00:00:59.96 bitrate= 932.9kbits/s dup=4 drop=0 speed=1.24x    
frame=  923 fps= 19 q=27.0 size=    6862kB time=00:01:00.67 bitrate= 926.5kbits/s dup=4 drop=0 speed=1.24x    
frame=  934 fps= 19 q=27.0 size=    6898kB time=00:01:01.44 bitrate= 919.8kbits/s dup=4 drop=0 speed=1.25x    
frame=  945 fps= 19 q=27.0 size=    6929kB time=00:01:02.14 bitrate= 913.4kbits/s dup=4 drop=0 speed=1.25x    
frame=  952 fps= 19 q=27.0 size=    7067kB time=00:01:02.65 bitrate= 924.0kbits/s dup=4 drop=0 speed=1.24x    
frame=  963 fps= 19 q=27.0 size=    7124kB time=00:01:03.36 bitrate= 921.1kbits/s dup=4 drop=0 speed=1.24x    
frame=  973 fps= 19 q=27.0 size=    7179kB time=00:01:04.00 bitrate= 918.9kbits/s dup=4 drop=0 speed=1.24x    
frame=  983 fps= 19 q=27.0 size=    7244kB time=00:01:04.70 bitrate= 917.1kbits/s dup=4 drop=0 speed=1.25x    
frame=  993 fps= 19 q=27.0 size=    7296kB time=00:01:05.34 bitrate= 914.7kbits/s dup=4 drop=0 speed=1.25x    
frame= 1003 fps= 19 q=27.0 size=    7357kB time=00:01:06.04 bitrate= 912.5kbits/s dup=4 drop=0 speed=1.25x    
frame= 1011 fps= 19 q=27.0 size=    7510kB time=00:01:06.56 bitrate= 924.3kbits/s dup=4 drop=0 speed=1.24x    
frame= 1022 fps= 19 q=27.0 size=    7558kB time=00:01:07.26 bitrate= 920.4kbits/s dup=4 drop=0 speed=1.24x    
frame= 1033 fps= 19 q=27.0 size=    7625kB time=00:01:08.03 bitrate= 918.2kbits/s dup=4 drop=0 speed=1.24x    
frame= 1042 fps= 19 q=27.0 size=    7677kB time=00:01:08.60 bitrate= 916.6kbits/s dup=4 drop=0 speed=1.24x    
frame= 1053 fps= 19 q=27.0 size=    7973kB time=00:01:09.37 bitrate= 941.5kbits/s dup=4 drop=0 speed=1.24x    
frame= 1063 fps= 19 q=27.0 size=    8012kB time=00:01:10.01 bitrate= 937.4kbits/s dup=4 drop=0 speed=1.24x    
frame= 1069 fps= 19 q=27.0 size=    8162kB time=00:01:10.40 bitrate= 949.8kbits/s dup=4 drop=0 speed=1.24x    
frame= 1081 fps= 19 q=27.0 size=    8208kB time=00:01:11.23 bitrate= 943.9kbits/s dup=4 drop=0 speed=1.24x    
frame= 1091 fps= 19 q=27.0 size=    8259kB time=00:01:11.87 bitrate= 941.4kbits/s dup=4 drop=0 speed=1.24x    
frame= 1102 fps= 19 q=27.0 size=    8312kB time=00:01:12.64 bitrate= 937.4kbits/s dup=4 drop=0 speed=1.24x    
frame= 1111 fps= 19 q=27.0 size=    8390kB time=00:01:13.21 bitrate= 938.8kbits/s dup=4 drop=0 speed=1.24x    
frame= 1122 fps= 19 q=27.0 size=    8434kB time=00:01:13.98 bitrate= 933.9kbits/s dup=4 drop=0 speed=1.24x    
frame= 1131 fps= 19 q=27.0 size=    8600kB time=00:01:14.56 bitrate= 944.9kbits/s dup=4 drop=0 speed=1.24x    
frame= 1142 fps= 19 q=27.0 size=    8654kB time=00:01:15.26 bitrate= 941.9kbits/s dup=4 drop=0 speed=1.24x    
frame= 1153 fps= 19 q=27.0 size=    8705kB time=00:01:16.03 bitrate= 937.9kbits/s dup=4 drop=0 speed=1.24x    
frame= 1163 fps= 19 q=27.0 size=    8761kB time=00:01:16.67 bitrate= 936.0kbits/s dup=4 drop=0 speed=1.24x    
frame= 1175 fps= 19 q=27.0 size=    8817kB time=00:01:17.50 bitrate= 931.9kbits/s dup=4 drop=0 speed=1.24x    
frame= 1185 fps= 19 q=27.0 size=    8872kB time=00:01:18.14 bitrate= 930.1kbits/s dup=4 drop=0 speed=1.24x    
frame= 1191 fps= 19 q=27.0 size=    9017kB time=00:01:18.59 bitrate= 939.9kbits/s dup=4 drop=0 speed=1.24x    
frame= 1201 fps= 19 q=27.0 size=    9068kB time=00:01:19.23 bitrate= 937.5kbits/s dup=4 drop=0 speed=1.24x    
frame= 1209 fps= 19 q=27.0 size=    9160kB time=00:01:19.74 bitrate= 941.0kbits/s dup=4 drop=0 speed=1.23x    
frame= 1219 fps= 19 q=27.0 size=    9215kB time=00:01:20.44 bitrate= 938.3kbits/s dup=4 drop=0 speed=1.23x    
frame= 1227 fps= 19 q=27.0 size=    9289kB time=00:01:20.96 bitrate= 939.9kbits/s dup=4 drop=0 speed=1.23x    
frame= 1235 fps= 19 q=27.0 size=    9357kB time=00:01:21.47 bitrate= 940.8kbits/s dup=4 drop=0 speed=1.23x    
frame= 1243 fps= 19 q=27.0 size=    9409kB time=00:01:22.04 bitrate= 939.4kbits/s dup=4 drop=0 speed=1.23x    
frame= 1251 fps= 19 q=27.0 size=    9583kB time=00:01:22.56 bitrate= 950.8kbits/s dup=4 drop=0 speed=1.22x    
frame= 1262 fps= 19 q=27.0 size=    9630kB time=00:01:23.26 bitrate= 947.4kbits/s dup=4 drop=0 speed=1.22x    
frame= 1273 fps= 19 q=27.0 size=    9695kB time=00:01:24.03 bitrate= 945.1kbits/s dup=4 drop=0 speed=1.22x    
frame= 1284 fps= 19 q=27.0 size=    9751kB time=00:01:24.73 bitrate= 942.7kbits/s dup=4 drop=0 speed=1.23x    
frame= 1293 fps= 19 q=27.0 size=    9808kB time=00:01:25.37 bitrate= 941.1kbits/s dup=4 drop=0 speed=1.23x    
frame= 1303 fps= 19 q=27.0 size=   10086kB time=00:01:26.01 bitrate= 960.6kbits/s dup=4 drop=0 speed=1.23x    
frame= 1311 fps= 19 q=27.0 size=   10246kB time=00:01:26.59 bitrate= 969.3kbits/s dup=4 drop=0 speed=1.22x    
frame= 1322 fps= 19 q=27.0 size=   10300kB time=00:01:27.29 bitrate= 966.6kbits/s dup=4 drop=0 speed=1.22x    
frame= 1332 fps= 19 q=27.0 size=   10356kB time=00:01:27.93 bitrate= 964.8kbits/s dup=4 drop=0 speed=1.22x    
frame= 1341 fps= 19 q=27.0 size=   10434kB time=00:01:28.57 bitrate= 965.0kbits/s dup=4 drop=0 speed=1.22x    
frame= 1351 fps= 19 q=27.0 size=   10488kB time=00:01:29.21 bitrate= 963.0kbits/s dup=4 drop=0 speed=1.22x    
frame= 1360 fps= 18 q=27.0 size=   10544kB time=00:01:29.85 bitrate= 961.3kbits/s dup=4 drop=0 speed=1.22x    
frame= 1370 fps= 18 q=27.0 size=   10588kB time=00:01:30.49 bitrate= 958.5kbits/s dup=4 drop=0 speed=1.22x    
frame= 1376 fps= 18 q=27.0 size=   10741kB time=00:01:30.88 bitrate= 968.2kbits/s dup=4 drop=0 speed=1.22x    
frame= 1384 fps= 18 q=27.0 size=   10795kB time=00:01:31.45 bitrate= 967.0kbits/s dup=4 drop=0 speed=1.22x    
frame= 1393 fps= 18 q=27.0 size=   10849kB time=00:01:32.03 bitrate= 965.7kbits/s dup=4 drop=0 speed=1.22x    
frame= 1401 fps= 18 q=27.0 size=   10908kB time=00:01:32.54 bitrate= 965.6kbits/s dup=4 drop=0 speed=1.22x    
frame= 1411 fps= 18 q=27.0 size=   10958kB time=00:01:33.24 bitrate= 962.7kbits/s dup=4 drop=0 speed=1.22x    
frame= 1420 fps= 18 q=27.0 size=   11014kB time=00:01:33.82 bitrate= 961.7kbits/s dup=4 drop=0 speed=1.22x    
frame= 1429 fps= 18 q=27.0 size=   11193kB time=00:01:34.40 bitrate= 971.3kbits/s dup=4 drop=0 speed=1.21x    
frame= 1440 fps= 18 q=27.0 size=   11247kB time=00:01:35.16 bitrate= 968.1kbits/s dup=4 drop=0 speed=1.21x    
frame= 1450 fps= 18 q=27.0 size=   11301kB time=00:01:35.80 bitrate= 966.3kbits/s dup=4 drop=0 speed=1.21x    
frame= 1461 fps= 18 q=27.0 size=   11355kB time=00:01:36.57 bitrate= 963.2kbits/s dup=4 drop=0 speed=1.21x    
frame= 1472 fps= 18 q=27.0 size=   11398kB time=00:01:37.28 bitrate= 959.8kbits/s dup=4 drop=0 speed=1.21x    
frame= 1484 fps= 18 q=27.0 size=   11448kB time=00:01:38.11 bitrate= 955.9kbits/s dup=4 drop=0 speed=1.22x    
frame= 1491 fps= 18 q=27.0 size=   11600kB time=00:01:38.56 bitrate= 964.1kbits/s dup=4 drop=0 speed=1.21x    
frame= 1502 fps= 18 q=27.0 size=   11649kB time=00:01:39.26 bitrate= 961.4kbits/s dup=4 drop=0 speed=1.21x    
frame= 1513 fps= 18 q=27.0 size=   11708kB time=00:01:40.03 bitrate= 958.8kbits/s dup=4 drop=0 speed=1.22x    
frame= 1524 fps= 18 q=27.0 size=   11754kB time=00:01:40.73 bitrate= 955.8kbits/s dup=4 drop=0 speed=1.22x    
frame= 1535 fps= 18 q=27.0 size=   11801kB time=00:01:41.50 bitrate= 952.4kbits/s dup=4 drop=0 speed=1.22x    
frame= 1546 fps= 18 q=24.0 size=   11847kB time=00:01:42.20 bitrate= 949.6kbits/s dup=4 drop=0 speed=1.22x    
frame= 1554 fps= 18 q=27.0 size=   12212kB time=00:01:42.78 bitrate= 973.3kbits/s dup=4 drop=0 speed=1.22x    
frame= 1565 fps= 18 q=27.0 size=   12272kB time=00:01:43.48 bitrate= 971.4kbits/s dup=4 drop=0 speed=1.22x    
frame= 1576 fps= 18 q=27.0 size=   12324kB time=00:01:44.25 bitrate= 968.4kbits/s dup=4 drop=0 speed=1.22x    
frame= 1585 fps= 18 q=27.0 size=   12407kB time=00:01:44.83 bitrate= 969.6kbits/s dup=4 drop=0 speed=1.22x    
frame= 1595 fps= 18 q=27.0 size=   12450kB time=00:01:45.47 bitrate= 967.0kbits/s dup=4 drop=0 speed=1.22x    
frame= 1606 fps= 18 q=27.0 size=   12490kB time=00:01:46.24 bitrate= 963.1kbits/s dup=4 drop=0 speed=1.22x    
frame= 1612 fps= 18 q=27.0 size=   12631kB time=00:01:46.62 bitrate= 970.4kbits/s dup=4 drop=0 speed=1.22x    
frame= 1621 fps= 18 q=27.0 size=   12678kB time=00:01:47.20 bitrate= 968.8kbits/s dup=4 drop=0 speed=1.22x    
frame= 1630 fps= 18 q=27.0 size=   12735kB time=00:01:47.84 bitrate= 967.4kbits/s dup=4 drop=0 speed=1.22x    
frame= 1639 fps= 18 q=27.0 size=   12799kB time=00:01:48.41 bitrate= 967.1kbits/s dup=4 drop=0 speed=1.22x    
frame= 1650 fps= 18 q=27.0 size=   12846kB time=00:01:49.18 bitrate= 963.8kbits/s dup=5 drop=0 speed=1.22x    
frame= 1659 fps= 18 q=27.0 size=   12899kB time=00:01:49.76 bitrate= 962.7kbits/s dup=5 drop=0 speed=1.22x    
frame= 1670 fps= 18 q=27.0 size=   12939kB time=00:01:50.46 bitrate= 959.5kbits/s dup=5 drop=0 speed=1.22x    
