ffmpeg version 3.1.7 Copyright (c) 2000-2017 the FFmpeg developers
  built with gcc 5.4.0 (GCC)
  configuration: --disable-static --prefix=/cvmfs/soft.computecanada.ca/nix/store/n7qiyrcpyixibg8mijm826nb3hdb23j1-ffmpeg-3.1.7 --enable-gpl --enable-version3 --enable-shared --disable-static --enable-pic --enable-runtime-cpudetect --enable-hardcoded-tables --enable-pthreads --disable-w32threads --disable-os2threads --enable-network --enable-pixelutils --enable-ffmpeg --disable-ffplay --enable-ffprobe --disable-ffserver --enable-avcodec --enable-avdevice --enable-avfilter --enable-avformat --enable-avresample --enable-avutil --enable-postproc --enable-swresample --enable-swscale --disable-doc --enable-bzlib --enable-gnutls --enable-fontconfig --enable-libfreetype --enable-libmp3lame --enable-iconv --enable-libtheora --enable-vaapi --enable-vdpau --enable-libvorbis --enable-libvpx --enable-lzma --disable-opengl --enable-libpulse --enable-sdl --enable-libsoxr --enable-libx264 --enable-libxvid --enable-zlib --enable-libopus --enable-libx265 --disable-debug --enable-optimizations --disable-extra-warnings --disable-stripping
  libavutil      55. 28.100 / 55. 28.100
  libavcodec     57. 48.101 / 57. 48.101
  libavformat    57. 41.100 / 57. 41.100
  libavdevice    57.  0.101 / 57.  0.101
  libavfilter     6. 47.100 /  6. 47.100
  libavresample   3.  0.  0 /  3.  0.  0
  libswscale      4.  1.100 /  4.  1.100
  libswresample   2.  1.100 /  2.  1.100
  libpostproc    54.  0.100 / 54.  0.100
Input #0, mov,mp4,m4a,3gp,3g2,mj2, from '/project/6001934/lingheng/ROM_Video_Process/ROM_raw_videos/Sep_21/Camera2_Sep_21_1500_1600_Parameterized_Learning_Agent.mp4':
  Metadata:
    major_brand     : isom
    minor_version   : 1
    compatible_brands: isom
    creation_time   : 2018-09-21 20:20:32
  Duration: 01:00:03.20, start: 0.000000, bitrate: 775 kb/s
    Stream #0:0(und): Video: h264 (Main) (avc1 / 0x31637661), yuvj420p(pc, bt709), 1920x1080 [SAR 1:1 DAR 16:9], 755 kb/s, 27.94 fps, 30 tbr, 16k tbn, 60 tbc (default)
    Metadata:
      handler_name    : VideoHandler
    Stream #0:1(und): Audio: aac (LC) (mp4a / 0x6134706D), 16000 Hz, mono, fltp, 16 kb/s (default)
    Metadata:
      creation_time   : 2018-09-21 20:20:38
      handler_name    : GPAC ISO Audio Handler
    Stream #0:2(eng): Subtitle: mov_text (tx3g / 0x67337874), 800x60, 0 kb/s (default)
    Metadata:
      rotate          : 0
      creation_time   : 2018-09-21 20:20:39
      handler_name    : ea0cb55ae92c4985aef1ac9afdecf8a7.subtitles.ttxt:hdlr=sbtl:lang=en:group=2:layer=1 - Imported with GPAC 0.5.0-rev4065
Input #1, png_pipe, from '/project/6001934/lingheng/ROM_Video_Process/Openpose_Video_Analysis_Code/camera2_transparent_img.png':
  Duration: N/A, bitrate: N/A
    Stream #1:0: Video: png, rgba(pc), 1920x1080, 25 tbr, 25 tbn, 25 tbc
[swscaler @ 0x22b73c0] deprecated pixel format used, make sure you did set range correctly
[avi @ 0x227e7e0] Using AVStream.codec to pass codec parameters to muxers is deprecated, use AVStream.codecpar instead.
    Last message repeated 1 times
Output #0, avi, to '/project/6001934/lingheng/ROM_Video_Process/ROM_raw_videos_with_interst_area_ffmpeg_new2/Sep_21/Camera2_Sep_21_1500_1600_Parameterized_Learning_Agent_ffmpeg_with_interest_area.avi':
  Metadata:
    major_brand     : isom
    minor_version   : 1
    compatible_brands: isom
    ISFT            : Lavf57.41.100
    Stream #0:0: Video: mpeg4 (FMP4 / 0x34504D46), yuv420p, 1920x1080 [SAR 1:1 DAR 16:9], q=2-31, 200 kb/s, 30 fps, 30 tbn, 30 tbc (default)
    Metadata:
      encoder         : Lavc57.48.101 mpeg4
    Side data:
      cpb: bitrate max/min/avg: 0/0/200000 buffer size: 0 vbv_delay: -1
    Stream #0:1(und): Audio: aac (LC) ([255][0][0][0] / 0x00FF), 16000 Hz, mono, 16 kb/s (default)
    Metadata:
      creation_time   : 2018-09-21 20:20:38
      handler_name    : GPAC ISO Audio Handler
Stream mapping:
  Stream #0:0 (h264) -> overlay:main
  Stream #1:0 (png) -> overlay:overlay
  overlay -> Stream #0:0 (mpeg4)
  Stream #0:1 -> #0:1 (copy)
Press [q] to stop, [?] for help
frame=   15 fps=0.0 q=30.5 size=      10kB time=00:00:00.53 bitrate= 149.8kbits/s speed=1.05x    
frame=   36 fps= 35 q=31.0 size=     374kB time=00:00:01.23 bitrate=2485.7kbits/s speed=1.21x    
frame=   60 fps= 39 q=31.0 size=     441kB time=00:00:02.03 bitrate=1778.1kbits/s speed=1.32x    
frame=   83 fps= 40 q=31.0 size=     571kB time=00:00:02.80 bitrate=1671.8kbits/s speed=1.36x    
frame=  105 fps= 41 q=31.0 size=     639kB time=00:00:03.53 bitrate=1481.8kbits/s speed=1.38x    
frame=  127 fps= 41 q=31.0 size=     767kB time=00:00:04.26 bitrate=1473.4kbits/s speed=1.39x    
frame=  150 fps= 42 q=31.0 size=     878kB time=00:00:05.03 bitrate=1429.5kbits/s speed= 1.4x    
frame=  175 fps= 43 q=31.0 size=    1007kB time=00:00:05.86 bitrate=1406.2kbits/s speed=1.43x    
frame=  197 fps= 43 q=31.0 size=    1140kB time=00:00:06.60 bitrate=1414.9kbits/s speed=1.44x    
frame=  221 fps= 43 q=31.0 size=    1212kB time=00:00:07.40 bitrate=1342.2kbits/s speed=1.45x    
frame=  243 fps= 43 q=31.0 size=    1344kB time=00:00:08.13 bitrate=1353.5kbits/s speed=1.45x    
frame=  263 fps= 43 q=31.0 size=    1464kB time=00:00:08.80 bitrate=1362.5kbits/s speed=1.43x    
frame=  282 fps= 42 q=31.0 size=    1536kB time=00:00:09.43 bitrate=1333.9kbits/s speed=1.42x    
frame=  299 fps= 42 q=31.0 size=    1655kB time=00:00:10.00 bitrate=1355.9kbits/s speed=1.39x    
frame=  315 fps= 41 q=31.0 size=    1726kB time=00:00:10.53 bitrate=1342.0kbits/s speed=1.37x    
frame=  334 fps= 41 q=31.0 size=    1845kB time=00:00:11.16 bitrate=1353.7kbits/s speed=1.36x    
frame=  353 fps= 40 q=31.0 size=    1924kB time=00:00:11.80 bitrate=1335.8kbits/s speed=1.35x    
frame=  376 fps= 41 q=31.0 size=    2053kB time=00:00:12.56 bitrate=1338.5kbits/s speed=1.36x    
frame=  399 fps= 41 q=31.0 size=    2184kB time=00:00:13.33 bitrate=1342.1kbits/s speed=1.37x    
frame=  422 fps= 41 q=31.0 size=    2327kB time=00:00:14.10 bitrate=1352.1kbits/s speed=1.37x    
frame=  443 fps= 41 q=31.0 size=    2454kB time=00:00:14.80 bitrate=1358.3kbits/s speed=1.37x    
frame=  464 fps= 41 q=31.0 size=    2586kB time=00:00:15.50 bitrate=1366.6kbits/s speed=1.37x    
frame=  487 fps= 41 q=31.0 size=    2722kB time=00:00:16.26 bitrate=1370.8kbits/s speed=1.38x    
frame=  512 fps= 42 q=31.0 size=    2852kB time=00:00:17.10 bitrate=1366.1kbits/s speed=1.39x    
frame=  534 fps= 42 q=31.0 size=    2942kB time=00:00:17.83 bitrate=1351.6kbits/s speed=1.39x    
frame=  557 fps= 42 q=31.0 size=    3077kB time=00:00:18.60 bitrate=1355.4kbits/s speed=1.39x    
frame=  582 fps= 42 q=31.0 size=    3208kB time=00:00:19.43 bitrate=1352.4kbits/s speed= 1.4x    
frame=  605 fps= 42 q=31.0 size=    3331kB time=00:00:20.20 bitrate=1350.7kbits/s speed=1.41x    
frame=  628 fps= 42 q=31.0 size=    3457kB time=00:00:20.96 bitrate=1350.8kbits/s speed=1.41x    
frame=  653 fps= 42 q=31.0 size=    3585kB time=00:00:21.80 bitrate=1347.2kbits/s speed=1.42x    
frame=  676 fps= 43 q=31.0 size=    3713kB time=00:00:22.56 bitrate=1347.9kbits/s speed=1.42x    
frame=  701 fps= 43 q=31.0 size=    3837kB time=00:00:23.40 bitrate=1343.4kbits/s speed=1.43x    
frame=  724 fps= 43 q=31.0 size=    3962kB time=00:00:24.16 bitrate=1342.9kbits/s speed=1.43x    
frame=  747 fps= 43 q=31.0 size=    4083kB time=00:00:24.93 bitrate=1341.5kbits/s speed=1.43x    
frame=  772 fps= 43 q=31.0 size=    4205kB time=00:00:25.76 bitrate=1337.0kbits/s speed=1.44x    
frame=  795 fps= 43 q=31.0 size=    4332kB time=00:00:26.53 bitrate=1337.6kbits/s speed=1.44x    
frame=  816 fps= 43 q=31.0 size=    4455kB time=00:00:27.23 bitrate=1340.1kbits/s speed=1.44x    
frame=  839 fps= 43 q=31.0 size=    4575kB time=00:00:28.00 bitrate=1338.4kbits/s speed=1.44x    
frame=  860 fps= 43 q=31.0 size=    4692kB time=00:00:28.70 bitrate=1339.3kbits/s speed=1.44x    
frame=  883 fps= 43 q=31.0 size=    4822kB time=00:00:29.46 bitrate=1340.6kbits/s speed=1.44x    
frame=  906 fps= 43 q=31.0 size=    4900kB time=00:00:30.23 bitrate=1327.8kbits/s speed=1.44x    
frame=  927 fps= 43 q=31.0 size=    5024kB time=00:00:30.93 bitrate=1330.5kbits/s speed=1.44x    
frame=  948 fps= 43 q=31.0 size=    5144kB time=00:00:31.63 bitrate=1332.1kbits/s speed=1.44x    
frame=  971 fps= 43 q=31.0 size=    5266kB time=00:00:32.40 bitrate=1331.6kbits/s speed=1.44x    
frame=  994 fps= 43 q=31.0 size=    5389kB time=00:00:33.16 bitrate=1331.1kbits/s speed=1.44x    
frame= 1015 fps= 43 q=31.0 size=    5516kB time=00:00:33.86 bitrate=1334.2kbits/s speed=1.44x    
frame= 1037 fps= 43 q=31.0 size=    5596kB time=00:00:34.60 bitrate=1324.9kbits/s speed=1.44x    
frame= 1060 fps= 43 q=31.0 size=    5718kB time=00:00:35.36 bitrate=1324.4kbits/s speed=1.44x    
frame= 1081 fps= 43 q=24.8 size=    5841kB time=00:00:36.06 bitrate=1326.7kbits/s speed=1.44x    
frame= 1104 fps= 43 q=31.0 size=    5966kB time=00:00:36.83 bitrate=1327.0kbits/s speed=1.44x    
frame= 1127 fps= 43 q=31.0 size=    6091kB time=00:00:37.60 bitrate=1327.0kbits/s speed=1.44x    
frame= 1150 fps= 43 q=31.0 size=    6216kB time=00:00:38.36 bitrate=1327.3kbits/s speed=1.44x    
frame= 1171 fps= 43 q=31.0 size=    6289kB time=00:00:39.06 bitrate=1318.8kbits/s speed=1.44x    
frame= 1194 fps= 43 q=31.0 size=    6459kB time=00:00:39.83 bitrate=1328.3kbits/s speed=1.44x    
frame= 1217 fps= 43 q=31.0 size=    6538kB time=00:00:40.60 bitrate=1319.3kbits/s speed=1.44x    
frame= 1239 fps= 43 q=31.0 size=    6666kB time=00:00:41.33 bitrate=1321.1kbits/s speed=1.44x    
frame= 1262 fps= 43 q=31.0 size=    6807kB time=00:00:42.10 bitrate=1324.6kbits/s speed=1.44x    
frame= 1287 fps= 43 q=31.0 size=    6934kB time=00:00:42.93 bitrate=1323.1kbits/s speed=1.44x    
frame= 1310 fps= 43 q=31.0 size=    7063kB time=00:00:43.70 bitrate=1324.0kbits/s speed=1.44x    
frame= 1335 fps= 43 q=31.0 size=    7186kB time=00:00:44.53 bitrate=1321.9kbits/s speed=1.45x    
frame= 1356 fps= 43 q=31.0 size=    7308kB time=00:00:45.23 bitrate=1323.6kbits/s speed=1.45x    
frame= 1381 fps= 43 q=24.8 size=    7431kB time=00:00:46.06 bitrate=1321.4kbits/s speed=1.45x    
frame= 1404 fps= 43 q=31.0 size=    7553kB time=00:00:46.83 bitrate=1321.1kbits/s speed=1.45x    
frame= 1427 fps= 44 q=31.0 size=    7678kB time=00:00:47.60 bitrate=1321.3kbits/s speed=1.45x    
frame= 1450 fps= 44 q=31.0 size=    7800kB time=00:00:48.36 bitrate=1321.1kbits/s speed=1.45x    
frame= 1473 fps= 44 q=31.0 size=    7922kB time=00:00:49.13 bitrate=1320.9kbits/s speed=1.45x    
frame= 1498 fps= 44 q=31.0 size=    8049kB time=00:00:49.96 bitrate=1319.6kbits/s speed=1.45x    
frame= 1521 fps= 44 q=31.0 size=    8174kB time=00:00:50.73 bitrate=1319.9kbits/s speed=1.46x    
frame= 1545 fps= 44 q=31.0 size=    8309kB time=00:00:51.66 bitrate=1317.4kbits/s speed=1.46x    
frame= 1566 fps= 44 q=31.0 size=    8484kB time=00:00:53.06 bitrate=1309.7kbits/s speed=1.48x    
frame= 1587 fps= 44 q=31.0 size=    8612kB time=00:00:54.46 bitrate=1295.2kbits/s speed= 1.5x    
frame= 1612 fps= 44 q=31.0 size=    8691kB time=00:00:55.73 bitrate=1277.4kbits/s speed=1.51x    
frame= 1633 fps= 44 q=24.8 size=    8765kB time=00:00:56.43 bitrate=1272.3kbits/s speed=1.51x    
frame= 1654 fps= 44 q=31.0 size=    8889kB time=00:00:57.13 bitrate=1274.5kbits/s speed=1.51x    
frame= 1679 fps= 44 q=31.0 size=    9011kB time=00:00:57.96 bitrate=1273.4kbits/s speed=1.51x    
frame= 1702 fps= 44 q=31.0 size=    9135kB time=00:00:58.73 bitrate=1274.1kbits/s speed=1.51x    
frame= 1727 fps= 44 q=31.0 size=    9256kB time=00:00:59.56 bitrate=1272.9kbits/s speed=1.51x    
frame= 1750 fps= 44 q=31.0 size=    9375kB time=00:01:00.33 bitrate=1273.0kbits/s speed=1.51x    
frame= 1773 fps= 44 q=31.0 size=    9500kB time=00:01:01.10 bitrate=1273.7kbits/s speed=1.51x    
frame= 1798 fps= 44 q=31.0 size=    9618kB time=00:01:01.93 bitrate=1272.2kbits/s speed=1.51x    
frame= 1821 fps= 44 q=31.0 size=    9737kB time=00:01:02.70 bitrate=1272.2kbits/s speed=1.51x    
frame= 1841 fps= 44 q=31.0 size=    9857kB time=00:01:03.36 bitrate=1274.4kbits/s speed=1.51x    
frame= 1860 fps= 44 q=31.0 size=    9939kB time=00:01:04.00 bitrate=1272.2kbits/s speed=1.51x    
frame= 1877 fps= 44 q=31.0 size=   10051kB time=00:01:04.56 bitrate=1275.3kbits/s speed= 1.5x    
frame= 1896 fps= 44 q=31.0 size=   10123kB time=00:01:05.20 bitrate=1271.9kbits/s speed= 1.5x    
frame= 1914 fps= 43 q=31.0 size=   10232kB time=00:01:05.80 bitrate=1273.9kbits/s speed=1.49x    
frame= 1931 fps= 43 q=31.0 size=   10355kB time=00:01:06.53 bitrate=1275.0kbits/s speed=1.49x    
frame= 1951 fps= 43 q=31.0 size=   10475kB time=00:01:07.63 bitrate=1268.8kbits/s speed= 1.5x    
frame= 1974 fps= 43 q=31.0 size=   10542kB time=00:01:08.40 bitrate=1262.5kbits/s speed= 1.5x    
frame= 1999 fps= 43 q=31.0 size=   10663kB time=00:01:09.23 bitrate=1261.7kbits/s speed= 1.5x    
frame= 2024 fps= 43 q=31.0 size=   10789kB time=00:01:10.06 bitrate=1261.5kbits/s speed= 1.5x    
frame= 2047 fps= 43 q=31.0 size=   10914kB time=00:01:10.83 bitrate=1262.2kbits/s speed= 1.5x    
frame= 2072 fps= 44 q=31.0 size=   11035kB time=00:01:11.66 bitrate=1261.4kbits/s speed=1.51x    
frame= 2095 fps= 44 q=31.0 size=   11161kB time=00:01:12.43 bitrate=1262.3kbits/s speed=1.51x    
frame= 2120 fps= 44 q=31.0 size=   11282kB time=00:01:13.26 bitrate=1261.4kbits/s speed=1.51x    
frame= 2143 fps= 44 q=31.0 size=   11406kB time=00:01:14.03 bitrate=1262.1kbits/s speed=1.51x    
frame= 2168 fps= 44 q=31.0 size=   11524kB time=00:01:14.86 bitrate=1261.0kbits/s speed=1.51x    
frame= 2188 fps= 44 q=31.0 size=   11650kB time=00:01:15.63 bitrate=1261.8kbits/s speed=1.51x    
frame= 2212 fps= 44 q=31.0 size=   11781kB time=00:01:16.93 bitrate=1254.5kbits/s speed=1.52x    
frame= 2235 fps= 44 q=31.0 size=   11845kB time=00:01:17.70 bitrate=1248.9kbits/s speed=1.52x    
frame= 2260 fps= 44 q=31.0 size=   11964kB time=00:01:18.53 bitrate=1248.0kbits/s speed=1.52x    
frame= 2284 fps= 44 q=31.0 size=   12085kB time=00:01:19.36 bitrate=1247.4kbits/s speed=1.52x    
frame= 2305 fps= 44 q=24.8 size=   12218kB time=00:01:20.06 bitrate=1250.1kbits/s speed=1.52x    
frame= 2330 fps= 44 q=31.0 size=   12342kB time=00:01:20.90 bitrate=1249.7kbits/s speed=1.52x    
frame= 2355 fps= 44 q=31.0 size=   12465kB time=00:01:21.73 bitrate=1249.4kbits/s speed=1.52x    
frame= 2378 fps= 44 q=31.0 size=   12589kB time=00:01:22.50 bitrate=1250.0kbits/s speed=1.52x    
frame= 2399 fps= 44 q=31.0 size=   12707kB time=00:01:23.20 bitrate=1251.1kbits/s speed=1.52x    
frame= 2424 fps= 44 q=31.0 size=   12828kB time=00:01:24.03 bitrate=1250.6kbits/s speed=1.52x    
frame= 2443 fps= 44 q=31.0 size=   12944kB time=00:01:24.66 bitrate=1252.4kbits/s speed=1.52x    
frame= 2462 fps= 44 q=31.0 size=   13020kB time=00:01:25.30 bitrate=1250.4kbits/s speed=1.52x    
frame= 2483 fps= 44 q=31.0 size=   13140kB time=00:01:26.00 bitrate=1251.7kbits/s speed=1.51x    
frame= 2504 fps= 44 q=31.0 size=   13262kB time=00:01:26.70 bitrate=1253.1kbits/s speed=1.51x    
frame= 2522 fps= 44 q=31.0 size=   13347kB time=00:01:27.30 bitrate=1252.4kbits/s speed=1.51x    
frame= 2539 fps= 44 q=31.0 size=   13467kB time=00:01:27.86 bitrate=1255.5kbits/s speed=1.51x    
frame= 2558 fps= 43 q=31.0 size=   13547kB time=00:01:28.50 bitrate=1253.9kbits/s speed= 1.5x    
frame= 2577 fps= 43 q=31.0 size=   13666kB time=00:01:29.13 bitrate=1256.0kbits/s speed= 1.5x    
frame= 2597 fps= 43 q=31.0 size=   13748kB time=00:01:29.80 bitrate=1254.1kbits/s speed= 1.5x    
frame= 2621 fps= 43 q=31.0 size=   13919kB time=00:01:30.60 bitrate=1258.5kbits/s speed= 1.5x    
frame= 2645 fps= 43 q=31.0 size=   14001kB time=00:01:31.40 bitrate=1254.9kbits/s speed= 1.5x    
frame= 2668 fps= 43 q=31.0 size=   14129kB time=00:01:32.16 bitrate=1255.9kbits/s speed= 1.5x    
frame= 2693 fps= 43 q=31.0 size=   14255kB time=00:01:33.00 bitrate=1255.7kbits/s speed= 1.5x    
frame= 2716 fps= 44 q=31.0 size=   14384kB time=00:01:33.76 bitrate=1256.7kbits/s speed= 1.5x    
frame= 2740 fps= 44 q=31.0 size=   14512kB time=00:01:34.60 bitrate=1256.7kbits/s speed= 1.5x    
frame= 2763 fps= 44 q=31.0 size=   14646kB time=00:01:35.36 bitrate=1258.1kbits/s speed= 1.5x    
frame= 2788 fps= 44 q=31.0 size=   14775kB time=00:01:36.20 bitrate=1258.2kbits/s speed= 1.5x    
frame= 2811 fps= 44 q=31.0 size=   14912kB time=00:01:36.96 bitrate=1259.8kbits/s speed= 1.5x    
frame= 2836 fps= 44 q=31.0 size=   15048kB time=00:01:37.80 bitrate=1260.4kbits/s speed=1.51x    
frame= 2861 fps= 44 q=31.0 size=   15184kB time=00:01:38.66 bitrate=1260.7kbits/s speed=1.51x    
frame= 2883 fps= 44 q=31.0 size=   15313kB time=00:01:39.40 bitrate=1262.0kbits/s speed=1.51x    
frame= 2906 fps= 44 q=31.0 size=   15455kB time=00:01:40.16 bitrate=1263.9kbits/s speed=1.51x    
frame= 2931 fps= 44 q=31.0 size=   15580kB time=00:01:41.00 bitrate=1263.7kbits/s speed=1.51x    
frame= 2955 fps= 44 q=31.0 size=   15710kB time=00:01:41.80 bitrate=1264.2kbits/s speed=1.51x    
frame= 2979 fps= 44 q=31.0 size=   15887kB time=00:01:42.66 bitrate=1267.7kbits/s speed=1.51x    
frame= 3003 fps= 44 q=31.0 size=   16023kB time=00:01:44.20 bitrate=1259.7kbits/s speed=1.52x    
frame= 3027 fps= 44 q=31.0 size=   16089kB time=00:01:45.00 bitrate=1255.3kbits/s speed=1.52x    
frame= 3051 fps= 44 q=31.0 size=   16209kB time=00:01:45.80 bitrate=1255.1kbits/s speed=1.52x    
frame= 3074 fps= 44 q=31.0 size=   16336kB time=00:01:46.56 bitrate=1255.8kbits/s speed=1.52x    
frame= 3098 fps= 44 q=31.0 size=   16461kB time=00:01:47.40 bitrate=1255.6kbits/s speed=1.52x    
frame= 3122 fps= 44 q=31.0 size=   16593kB time=00:01:48.20 bitrate=1256.3kbits/s speed=1.52x    
frame= 3146 fps= 44 q=31.0 size=   16720kB time=00:01:49.00 bitrate=1256.6kbits/s speed=1.52x    
frame= 3167 fps= 44 q=31.0 size=   16844kB time=00:01:49.70 bitrate=1257.9kbits/s speed=1.52x    
frame= 3190 fps= 44 q=31.0 size=   16966kB time=00:01:50.46 bitrate=1258.1kbits/s speed=1.52x    
frame= 3211 fps= 44 q=31.0 size=   17096kB time=00:01:51.16 bitrate=1259.9kbits/s speed=1.52x    
frame= 3235 fps= 44 q=31.0 size=   17222kB time=00:01:52.00 bitrate=1259.6kbits/s speed=1.52x    
frame= 3259 fps= 44 q=31.0 size=   17358kB time=00:01:52.80 bitrate=1260.6kbits/s speed=1.52x    
frame= 3281 fps= 44 q=31.0 size=   17500kB time=00:01:53.53 bitrate=1262.7kbits/s speed=1.52x    
frame= 3306 fps= 44 q=31.0 size=   17592kB time=00:01:54.36 bitrate=1260.1kbits/s speed=1.52x    
frame= 3329 fps= 44 q=31.0 size=   17723kB time=00:01:55.13 bitrate=1261.1kbits/s speed=1.52x    
frame= 3352 fps= 44 q=31.0 size=   17858kB time=00:01:55.90 bitrate=1262.3kbits/s speed=1.52x    
frame= 3375 fps= 44 q=31.0 size=   17985kB time=00:01:56.66 bitrate=1262.9kbits/s speed=1.52x    
frame= 3394 fps= 44 q=31.0 size=   18113kB time=00:01:57.30 bitrate=1265.0kbits/s speed=1.52x    
frame= 3413 fps= 44 q=31.0 size=   18233kB time=00:01:57.93 bitrate=1266.5kbits/s speed=1.52x    
frame= 3434 fps= 44 q=31.0 size=   18316kB time=00:01:58.63 bitrate=1264.8kbits/s speed=1.52x    
frame= 3456 fps= 44 q=31.0 size=   18443kB time=00:01:59.36 bitrate=1265.7kbits/s speed=1.51x    
