ffmpeg version 3.1.7 Copyright (c) 2000-2017 the FFmpeg developers
  built with gcc 5.4.0 (GCC)
  configuration: --disable-static --prefix=/cvmfs/soft.computecanada.ca/nix/store/n7qiyrcpyixibg8mijm826nb3hdb23j1-ffmpeg-3.1.7 --enable-gpl --enable-version3 --enable-shared --disable-static --enable-pic --enable-runtime-cpudetect --enable-hardcoded-tables --enable-pthreads --disable-w32threads --disable-os2threads --enable-network --enable-pixelutils --enable-ffmpeg --disable-ffplay --enable-ffprobe --disable-ffserver --enable-avcodec --enable-avdevice --enable-avfilter --enable-avformat --enable-avresample --enable-avutil --enable-postproc --enable-swresample --enable-swscale --disable-doc --enable-bzlib --enable-gnutls --enable-fontconfig --enable-libfreetype --enable-libmp3lame --enable-iconv --enable-libtheora --enable-vaapi --enable-vdpau --enable-libvorbis --enable-libvpx --enable-lzma --disable-opengl --enable-libpulse --enable-sdl --enable-libsoxr --enable-libx264 --enable-libxvid --enable-zlib --enable-libopus --enable-libx265 --disable-debug --enable-optimizations --disable-extra-warnings --disable-stripping
  libavutil      55. 28.100 / 55. 28.100
  libavcodec     57. 48.101 / 57. 48.101
  libavformat    57. 41.100 / 57. 41.100
  libavdevice    57.  0.101 / 57.  0.101
  libavfilter     6. 47.100 /  6. 47.100
  libavresample   3.  0.  0 /  3.  0.  0
  libswscale      4.  1.100 /  4.  1.100
  libswresample   2.  1.100 /  2.  1.100
  libpostproc    54.  0.100 / 54.  0.100
Input #0, mov,mp4,m4a,3gp,3g2,mj2, from '/project/6001934/lingheng/ROM_Video_Process/ROM_raw_videos/Sep_24/Camera2_Sep_24_1300_1400_Parameterized_Learning_Agent.mp4':
  Metadata:
    major_brand     : isom
    minor_version   : 1
    compatible_brands: isom
    creation_time   : 2018-09-24 18:44:15
  Duration: 01:00:01.03, start: 0.000000, bitrate: 561 kb/s
    Stream #0:0(und): Video: h264 (Main) (avc1 / 0x31637661), yuvj420p(pc, bt709), 1920x1080 [SAR 1:1 DAR 16:9], 542 kb/s, 16.96 fps, 15 tbr, 16k tbn, 30 tbc (default)
    Metadata:
      handler_name    : VideoHandler
    Stream #0:1(und): Audio: aac (LC) (mp4a / 0x6134706D), 16000 Hz, mono, fltp, 16 kb/s (default)
    Metadata:
      creation_time   : 2018-09-24 18:44:18
      handler_name    : GPAC ISO Audio Handler
    Stream #0:2(eng): Subtitle: mov_text (tx3g / 0x67337874), 800x60, 0 kb/s (default)
    Metadata:
      rotate          : 0
      creation_time   : 2018-09-24 18:44:18
      handler_name    : 8c04a198ecdd44949d6ff8803e7b3379.subtitles.ttxt:hdlr=sbtl:lang=en:group=2:layer=1 - Imported with GPAC 0.5.0-rev4065
Input #1, png_pipe, from '/project/6001934/lingheng/ROM_Video_Process/Openpose_Video_Analysis_Code/camera2_transparent_img.png':
  Duration: N/A, bitrate: N/A
    Stream #1:0: Video: png, rgba(pc), 1920x1080, 25 tbr, 25 tbn, 25 tbc
[swscaler @ 0x133d800] deprecated pixel format used, make sure you did set range correctly
[libx264 @ 0x11a5fe0] using SAR=1/1
[libx264 @ 0x11a5fe0] using cpu capabilities: MMX2 SSE2Fast SSSE3 SSE4.2 AVX FMA3 AVX2 LZCNT BMI2
[libx264 @ 0x11a5fe0] profile High, level 4.0
[libx264 @ 0x11a5fe0] 264 - core 148 - H.264/MPEG-4 AVC codec - Copyleft 2003-2016 - http://www.videolan.org/x264.html - options: cabac=1 ref=3 deblock=1:0:0 analyse=0x3:0x113 me=hex subme=7 psy=1 psy_rd=1.00:0.00 mixed_ref=1 me_range=16 chroma_me=1 trellis=1 8x8dct=1 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=-2 threads=3 lookahead_threads=1 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=15 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=crf mbtree=1 crf=23.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
[mp4 @ 0x116b740] Using AVStream.codec to pass codec parameters to muxers is deprecated, use AVStream.codecpar instead.
    Last message repeated 1 times
Output #0, mp4, to '/project/6001934/lingheng/ROM_Video_Process/ROM_raw_videos_with_interst_area_ffmpeg_new3/Sep_24/Camera2_Sep_24_1300_1400_Parameterized_Learning_Agent_ffmpeg_with_interest_area.mp4':
  Metadata:
    major_brand     : isom
    minor_version   : 1
    compatible_brands: isom
    encoder         : Lavf57.41.100
    Stream #0:0: Video: h264 (libx264) ([33][0][0][0] / 0x0021), yuv420p, 1920x1080 [SAR 1:1 DAR 16:9], q=-1--1, 15 fps, 15360 tbn, 15 tbc (default)
    Metadata:
      encoder         : Lavc57.48.101 libx264
    Side data:
      cpb: bitrate max/min/avg: 0/0/0 buffer size: 0 vbv_delay: -1
    Stream #0:1(und): Audio: aac (LC) ([64][0][0][0] / 0x0040), 16000 Hz, mono, 16 kb/s (default)
    Metadata:
      creation_time   : 2018-09-24 18:44:18
      handler_name    : GPAC ISO Audio Handler
Stream mapping:
  Stream #0:0 (h264) -> overlay:main
  Stream #1:0 (png) -> overlay:overlay
  overlay -> Stream #0:0 (libx264)
  Stream #0:1 -> #0:1 (copy)
Press [q] to stop, [?] for help
frame=   20 fps=0.0 q=0.0 size=       0kB time=00:00:00.96 bitrate=   0.4kbits/s dup=1 drop=0 speed=1.87x    
frame=   46 fps= 45 q=0.0 size=       0kB time=00:00:02.75 bitrate=   0.1kbits/s dup=1 drop=0 speed=2.67x    
frame=   53 fps= 33 q=27.0 size=     231kB time=00:00:03.20 bitrate= 590.2kbits/s dup=1 drop=0 speed=2.01x    
frame=   63 fps= 30 q=27.0 size=     278kB time=00:00:03.64 bitrate= 624.9kbits/s dup=1 drop=0 speed=1.73x    
frame=   75 fps= 29 q=27.0 size=     327kB time=00:00:04.54 bitrate= 589.5kbits/s dup=1 drop=0 speed=1.73x    
frame=   85 fps= 27 q=27.0 size=     361kB time=00:00:05.05 bitrate= 585.0kbits/s dup=1 drop=0 speed= 1.6x    
frame=   97 fps= 26 q=27.0 size=     406kB time=00:00:05.88 bitrate= 565.6kbits/s dup=1 drop=0 speed= 1.6x    
frame=  108 fps= 25 q=27.0 size=     556kB time=00:00:06.78 bitrate= 671.0kbits/s dup=1 drop=0 speed=1.55x    
frame=  120 fps= 24 q=27.0 size=     592kB time=00:00:07.23 bitrate= 671.0kbits/s dup=1 drop=0 speed=1.47x    
frame=  131 fps= 24 q=27.0 size=     638kB time=00:00:08.12 bitrate= 643.1kbits/s dup=1 drop=0 speed=1.49x    
frame=  141 fps= 24 q=27.0 size=     679kB time=00:00:08.64 bitrate= 643.4kbits/s dup=1 drop=0 speed=1.45x    
frame=  153 fps= 24 q=27.0 size=     729kB time=00:00:09.47 bitrate= 630.6kbits/s dup=1 drop=0 speed=1.47x    
frame=  162 fps= 23 q=27.0 size=     761kB time=00:00:09.98 bitrate= 624.8kbits/s dup=1 drop=0 speed=1.43x    
frame=  169 fps= 22 q=27.0 size=     907kB time=00:00:10.43 bitrate= 712.0kbits/s dup=1 drop=0 speed=1.38x    
frame=  181 fps= 22 q=27.0 size=     971kB time=00:00:11.26 bitrate= 706.2kbits/s dup=1 drop=0 speed=1.39x    
frame=  190 fps= 22 q=27.0 size=    1008kB time=00:00:11.71 bitrate= 705.4kbits/s dup=1 drop=0 speed=1.36x    
frame=  202 fps= 22 q=27.0 size=    1056kB time=00:00:12.60 bitrate= 686.0kbits/s dup=1 drop=0 speed=1.38x    
frame=  214 fps= 22 q=27.0 size=    1108kB time=00:00:13.50 bitrate= 672.1kbits/s dup=1 drop=0 speed=1.39x    
frame=  224 fps= 22 q=27.0 size=    1149kB time=00:00:14.01 bitrate= 671.8kbits/s dup=1 drop=0 speed=1.37x    
frame=  231 fps= 22 q=27.0 size=    1295kB time=00:00:14.46 bitrate= 733.5kbits/s dup=1 drop=0 speed=1.35x    
frame=  242 fps= 21 q=27.0 size=    1343kB time=00:00:15.29 bitrate= 719.3kbits/s dup=1 drop=0 speed=1.36x    
frame=  252 fps= 21 q=27.0 size=    1392kB time=00:00:15.87 bitrate= 718.5kbits/s dup=1 drop=0 speed=1.35x    
frame=  263 fps= 21 q=27.0 size=    1459kB time=00:00:16.64 bitrate= 718.2kbits/s dup=1 drop=0 speed=1.35x    
frame=  272 fps= 21 q=27.0 size=    1500kB time=00:00:17.21 bitrate= 713.6kbits/s dup=1 drop=0 speed=1.34x    
frame=  283 fps= 21 q=27.0 size=    1555kB time=00:00:17.98 bitrate= 708.4kbits/s dup=1 drop=0 speed=1.35x    
frame=  290 fps= 21 q=27.0 size=    1709kB time=00:00:18.43 bitrate= 759.5kbits/s dup=1 drop=0 speed=1.33x    
frame=  300 fps= 21 q=27.0 size=    1996kB time=00:00:19.07 bitrate= 857.5kbits/s dup=1 drop=0 speed=1.32x    
frame=  311 fps= 21 q=27.0 size=    2046kB time=00:00:19.84 bitrate= 844.8kbits/s dup=1 drop=0 speed=1.33x    
frame=  322 fps= 21 q=27.0 size=    2101kB time=00:00:20.54 bitrate= 837.7kbits/s dup=1 drop=0 speed=1.33x    
frame=  333 fps= 21 q=27.0 size=    2168kB time=00:00:21.31 bitrate= 833.2kbits/s dup=1 drop=0 speed=1.33x    
frame=  344 fps= 21 q=27.0 size=    2207kB time=00:00:22.01 bitrate= 821.0kbits/s dup=1 drop=0 speed=1.33x    
frame=  351 fps= 21 q=27.0 size=    2352kB time=00:00:22.46 bitrate= 857.6kbits/s dup=1 drop=0 speed=1.32x    
frame=  361 fps= 21 q=27.0 size=    2401kB time=00:00:23.16 bitrate= 849.0kbits/s dup=1 drop=0 speed=1.32x    
frame=  369 fps= 20 q=27.0 size=    2460kB time=00:00:23.68 bitrate= 851.2kbits/s dup=1 drop=0 speed=1.31x    
frame=  379 fps= 20 q=27.0 size=    2514kB time=00:00:24.38 bitrate= 844.5kbits/s dup=1 drop=0 speed=1.31x    
frame=  389 fps= 20 q=27.0 size=    2568kB time=00:00:25.02 bitrate= 840.6kbits/s dup=1 drop=0 speed=1.31x    
frame=  399 fps= 20 q=27.0 size=    2630kB time=00:00:25.66 bitrate= 839.7kbits/s dup=1 drop=0 speed=1.31x    
frame=  409 fps= 20 q=27.0 size=    2799kB time=00:00:26.36 bitrate= 869.5kbits/s dup=1 drop=0 speed=1.29x    
frame=  420 fps= 20 q=27.0 size=    2855kB time=00:00:27.07 bitrate= 863.9kbits/s dup=1 drop=0 speed=1.29x    
frame=  429 fps= 20 q=27.0 size=    2921kB time=00:00:27.71 bitrate= 863.4kbits/s dup=1 drop=0 speed=1.29x    
frame=  440 fps= 20 q=27.0 size=    2982kB time=00:00:28.41 bitrate= 859.7kbits/s dup=1 drop=0 speed=1.29x    
frame=  451 fps= 20 q=27.0 size=    3040kB time=00:00:29.18 bitrate= 853.4kbits/s dup=1 drop=0 speed=1.29x    
frame=  462 fps= 20 q=27.0 size=    3092kB time=00:00:29.88 bitrate= 847.5kbits/s dup=1 drop=0 speed=1.29x    
frame=  469 fps= 20 q=27.0 size=    3249kB time=00:00:30.33 bitrate= 877.5kbits/s dup=1 drop=0 speed=1.28x    
frame=  481 fps= 20 q=27.0 size=    3300kB time=00:00:31.16 bitrate= 867.5kbits/s dup=1 drop=0 speed=1.29x    
frame=  492 fps= 20 q=27.0 size=    3355kB time=00:00:31.87 bitrate= 862.3kbits/s dup=1 drop=0 speed=1.29x    
frame=  501 fps= 20 q=27.0 size=    3412kB time=00:00:32.51 bitrate= 859.8kbits/s dup=1 drop=0 speed=1.29x    
frame=  511 fps= 20 q=27.0 size=    3457kB time=00:00:33.15 bitrate= 854.2kbits/s dup=1 drop=0 speed=1.29x    
frame=  523 fps= 20 q=27.0 size=    3510kB time=00:00:33.98 bitrate= 846.0kbits/s dup=1 drop=0 speed=1.29x    
frame=  530 fps= 20 q=27.0 size=    3659kB time=00:00:34.43 bitrate= 870.5kbits/s dup=1 drop=0 speed=1.28x    
frame=  541 fps= 20 q=27.0 size=    3708kB time=00:00:35.13 bitrate= 864.6kbits/s dup=1 drop=0 speed=1.28x    
frame=  551 fps= 20 q=27.0 size=    4006kB time=00:00:35.84 bitrate= 915.6kbits/s dup=1 drop=0 speed=1.28x    
frame=  562 fps= 20 q=27.0 size=    4067kB time=00:00:36.54 bitrate= 911.7kbits/s dup=1 drop=0 speed=1.28x    
frame=  573 fps= 20 q=27.0 size=    4126kB time=00:00:37.31 bitrate= 906.0kbits/s dup=1 drop=0 speed=1.28x    
frame=  584 fps= 20 q=27.0 size=    4168kB time=00:00:38.01 bitrate= 898.2kbits/s dup=1 drop=0 speed=1.28x    
frame=  591 fps= 20 q=27.0 size=    4308kB time=00:00:38.46 bitrate= 917.5kbits/s dup=1 drop=0 speed=1.28x    
frame=  600 fps= 20 q=27.0 size=    4355kB time=00:00:39.10 bitrate= 912.4kbits/s dup=1 drop=0 speed=1.27x    
frame=  609 fps= 19 q=27.0 size=    4427kB time=00:00:39.68 bitrate= 914.0kbits/s dup=1 drop=0 speed=1.27x    
frame=  619 fps= 19 q=27.0 size=    4499kB time=00:00:40.38 bitrate= 912.7kbits/s dup=1 drop=0 speed=1.27x    
frame=  628 fps= 19 q=27.0 size=    4560kB time=00:00:40.96 bitrate= 912.1kbits/s dup=1 drop=0 speed=1.27x    
frame=  637 fps= 19 q=27.0 size=    4618kB time=00:00:41.53 bitrate= 910.9kbits/s dup=1 drop=0 speed=1.26x    
frame=  646 fps= 19 q=27.0 size=    4693kB time=00:00:42.17 bitrate= 911.6kbits/s dup=1 drop=0 speed=1.26x    
frame=  652 fps= 19 q=27.0 size=    4837kB time=00:00:42.56 bitrate= 931.0kbits/s dup=1 drop=0 speed=1.25x    
frame=  661 fps= 19 q=27.0 size=    4911kB time=00:00:43.13 bitrate= 932.6kbits/s dup=1 drop=0 speed=1.25x    
frame=  670 fps= 19 q=27.0 size=    4970kB time=00:00:43.77 bitrate= 930.0kbits/s dup=1 drop=0 speed=1.25x    
frame=  681 fps= 19 q=27.0 size=    5050kB time=00:00:44.48 bitrate= 930.0kbits/s dup=1 drop=0 speed=1.25x    
frame=  691 fps= 19 q=27.0 size=    5116kB time=00:00:45.18 bitrate= 927.5kbits/s dup=1 drop=0 speed=1.25x    
frame=  701 fps= 19 q=27.0 size=    5164kB time=00:00:45.82 bitrate= 923.2kbits/s dup=1 drop=0 speed=1.25x    
frame=  709 fps= 19 q=27.0 size=    5331kB time=00:00:46.33 bitrate= 942.6kbits/s dup=1 drop=0 speed=1.24x    
frame=  720 fps= 19 q=27.0 size=    5377kB time=00:00:47.10 bitrate= 935.2kbits/s dup=1 drop=0 speed=1.25x    
frame=  729 fps= 19 q=27.0 size=    5443kB time=00:00:47.68 bitrate= 935.2kbits/s dup=1 drop=0 speed=1.25x    
frame=  740 fps= 19 q=27.0 size=    5496kB time=00:00:48.44 bitrate= 929.3kbits/s dup=1 drop=0 speed=1.25x    
frame=  749 fps= 19 q=27.0 size=    5553kB time=00:00:49.02 bitrate= 928.0kbits/s dup=1 drop=0 speed=1.25x    
frame=  759 fps= 19 q=27.0 size=    5615kB time=00:00:49.66 bitrate= 926.2kbits/s dup=1 drop=0 speed=1.25x    
frame=  769 fps= 19 q=27.0 size=    5786kB time=00:00:50.36 bitrate= 941.1kbits/s dup=1 drop=0 speed=1.24x    
frame=  779 fps= 19 q=27.0 size=    5835kB time=00:00:51.00 bitrate= 937.2kbits/s dup=1 drop=0 speed=1.24x    
frame=  788 fps= 19 q=27.0 size=    5886kB time=00:00:51.64 bitrate= 933.6kbits/s dup=1 drop=0 speed=1.24x    
frame=  798 fps= 19 q=27.0 size=    6187kB time=00:00:52.28 bitrate= 969.3kbits/s dup=1 drop=0 speed=1.24x    
frame=  809 fps= 19 q=27.0 size=    6249kB time=00:00:53.05 bitrate= 964.8kbits/s dup=1 drop=0 speed=1.24x    
frame=  818 fps= 19 q=27.0 size=    6299kB time=00:00:53.63 bitrate= 962.1kbits/s dup=1 drop=0 speed=1.24x    
frame=  828 fps= 19 q=27.0 size=    6358kB time=00:00:54.27 bitrate= 959.7kbits/s dup=1 drop=0 speed=1.24x    
frame=  833 fps= 19 q=27.0 size=    6508kB time=00:00:54.65 bitrate= 975.5kbits/s dup=1 drop=0 speed=1.24x    
frame=  843 fps= 19 q=27.0 size=    6572kB time=00:00:55.29 bitrate= 973.6kbits/s dup=1 drop=0 speed=1.24x    
frame=  854 fps= 19 q=27.0 size=    6628kB time=00:00:56.00 bitrate= 969.6kbits/s dup=1 drop=0 speed=1.24x    
frame=  864 fps= 19 q=27.0 size=    6691kB time=00:00:56.70 bitrate= 966.6kbits/s dup=1 drop=0 speed=1.24x    
frame=  873 fps= 19 q=27.0 size=    6755kB time=00:00:57.28 bitrate= 966.0kbits/s dup=1 drop=0 speed=1.24x    
frame=  883 fps= 19 q=27.0 size=    6807kB time=00:00:57.98 bitrate= 961.7kbits/s dup=1 drop=0 speed=1.24x    
frame=  890 fps= 19 q=27.0 size=    6966kB time=00:00:58.43 bitrate= 976.6kbits/s dup=1 drop=0 speed=1.23x    
frame=  899 fps= 19 q=27.0 size=    7019kB time=00:00:59.00 bitrate= 974.5kbits/s dup=1 drop=0 speed=1.23x    
frame=  909 fps= 19 q=27.0 size=    7087kB time=00:00:59.71 bitrate= 972.3kbits/s dup=1 drop=0 speed=1.23x    
frame=  919 fps= 19 q=27.0 size=    7161kB time=00:01:00.35 bitrate= 972.1kbits/s dup=1 drop=0 speed=1.23x    
frame=  929 fps= 19 q=27.0 size=    7216kB time=00:01:00.92 bitrate= 970.2kbits/s dup=1 drop=0 speed=1.23x    
frame=  938 fps= 19 q=27.0 size=    7265kB time=00:01:01.44 bitrate= 968.7kbits/s dup=1 drop=8 speed=1.23x    
frame=  947 fps= 19 q=27.0 size=    7445kB time=00:01:02.08 bitrate= 982.4kbits/s dup=1 drop=17 speed=1.22x    
frame=  955 fps= 19 q=27.0 size=    7489kB time=00:01:02.59 bitrate= 980.1kbits/s dup=1 drop=25 speed=1.22x    
frame=  964 fps= 19 q=27.0 size=    7548kB time=00:01:03.23 bitrate= 977.9kbits/s dup=1 drop=34 speed=1.22x    
frame=  972 fps= 19 q=27.0 size=    7608kB time=00:01:03.68 bitrate= 978.7kbits/s dup=1 drop=42 speed=1.22x    
frame=  981 fps= 19 q=27.0 size=    7629kB time=00:01:04.38 bitrate= 970.7kbits/s dup=1 drop=51 speed=1.22x    
frame=  991 fps= 18 q=27.0 size=    7783kB time=00:01:05.21 bitrate= 977.7kbits/s dup=1 drop=60 speed=1.21x    
frame= 1001 fps= 18 q=27.0 size=    7837kB time=00:01:05.85 bitrate= 974.8kbits/s dup=1 drop=60 speed=1.21x    
frame= 1011 fps= 18 q=27.0 size=    7883kB time=00:01:06.49 bitrate= 971.2kbits/s dup=1 drop=60 speed=1.21x    
frame= 1023 fps= 18 q=27.0 size=    8030kB time=00:01:07.32 bitrate= 977.1kbits/s dup=1 drop=60 speed=1.21x    
frame= 1034 fps= 18 q=27.0 size=    8111kB time=00:01:08.03 bitrate= 976.7kbits/s dup=1 drop=60 speed=1.21x    
frame= 1042 fps= 18 q=27.0 size=    8228kB time=00:01:08.60 bitrate= 982.4kbits/s dup=1 drop=60 speed=1.21x    
frame= 1052 fps= 18 q=27.0 size=    8496kB time=00:01:09.24 bitrate=1005.0kbits/s dup=1 drop=60 speed=1.21x    
frame= 1059 fps= 18 q=27.0 size=    8559kB time=00:01:09.69 bitrate=1006.1kbits/s dup=1 drop=60 speed=1.21x    
frame= 1068 fps= 18 q=27.0 size=    8613kB time=00:01:10.33 bitrate=1003.2kbits/s dup=1 drop=60 speed=1.21x    
frame= 1077 fps= 18 q=27.0 size=    8686kB time=00:01:10.91 bitrate=1003.5kbits/s dup=1 drop=60 speed= 1.2x    
frame= 1086 fps= 18 q=27.0 size=    8740kB time=00:01:11.55 bitrate=1000.7kbits/s dup=1 drop=60 speed= 1.2x    
frame= 1095 fps= 18 q=27.0 size=    8807kB time=00:01:12.12 bitrate=1000.3kbits/s dup=1 drop=60 speed= 1.2x    
frame= 1104 fps= 18 q=27.0 size=    8871kB time=00:01:12.70 bitrate= 999.6kbits/s dup=1 drop=60 speed= 1.2x    
frame= 1111 fps= 18 q=27.0 size=    8937kB time=00:01:13.21 bitrate=1000.0kbits/s dup=1 drop=60 speed= 1.2x    
frame= 1119 fps= 18 q=27.0 size=    8993kB time=00:01:13.72 bitrate= 999.2kbits/s dup=1 drop=60 speed= 1.2x    
frame= 1129 fps= 18 q=27.0 size=    9182kB time=00:01:14.36 bitrate=1011.4kbits/s dup=1 drop=60 speed=1.19x    
frame= 1141 fps= 18 q=27.0 size=    9225kB time=00:01:15.20 bitrate=1005.0kbits/s dup=1 drop=60 speed=1.19x    
frame= 1152 fps= 18 q=27.0 size=    9279kB time=00:01:15.90 bitrate=1001.5kbits/s dup=1 drop=60 speed= 1.2x    
frame= 1163 fps= 18 q=27.0 size=    9326kB time=00:01:16.67 bitrate= 996.4kbits/s dup=1 drop=60 speed= 1.2x    
frame= 1174 fps= 18 q=27.0 size=    9381kB time=00:01:17.37 bitrate= 993.2kbits/s dup=1 drop=60 speed= 1.2x    
frame= 1186 fps= 18 q=27.0 size=    9434kB time=00:01:18.20 bitrate= 988.2kbits/s dup=1 drop=60 speed= 1.2x    
frame= 1192 fps= 18 q=27.0 size=    9580kB time=00:01:18.59 bitrate= 998.6kbits/s dup=1 drop=60 speed= 1.2x    
frame= 1204 fps= 18 q=27.0 size=    9636kB time=00:01:19.42 bitrate= 993.8kbits/s dup=1 drop=60 speed= 1.2x    
frame= 1215 fps= 18 q=27.0 size=    9684kB time=00:01:20.12 bitrate= 990.1kbits/s dup=1 drop=60 speed= 1.2x    
frame= 1226 fps= 18 q=27.0 size=    9740kB time=00:01:20.83 bitrate= 987.1kbits/s dup=1 drop=60 speed= 1.2x    
frame= 1238 fps= 18 q=27.0 size=    9792kB time=00:01:21.66 bitrate= 982.3kbits/s dup=1 drop=60 speed=1.21x    
frame= 1246 fps= 18 q=27.0 size=    9954kB time=00:01:22.17 bitrate= 992.3kbits/s dup=1 drop=60 speed= 1.2x    
frame= 1257 fps= 18 q=27.0 size=   10010kB time=00:01:22.94 bitrate= 988.7kbits/s dup=1 drop=60 speed= 1.2x    
frame= 1267 fps= 18 q=27.0 size=   10069kB time=00:01:23.58 bitrate= 986.8kbits/s dup=1 drop=60 speed= 1.2x    
frame= 1279 fps= 18 q=27.0 size=   10101kB time=00:01:24.41 bitrate= 980.3kbits/s dup=1 drop=60 speed=1.21x    
frame= 1290 fps= 18 q=27.0 size=   10144kB time=00:01:25.12 bitrate= 976.3kbits/s dup=1 drop=60 speed=1.21x    
frame= 1300 fps= 18 q=27.0 size=   10429kB time=00:01:25.82 bitrate= 995.5kbits/s dup=1 drop=60 speed=1.21x    
frame= 1309 fps= 18 q=27.0 size=   10581kB time=00:01:26.40 bitrate=1003.3kbits/s dup=1 drop=60 speed=1.21x    
frame= 1319 fps= 18 q=27.0 size=   10626kB time=00:01:27.04 bitrate=1000.1kbits/s dup=1 drop=60 speed=1.21x    
frame= 1329 fps= 18 q=27.0 size=   10686kB time=00:01:27.74 bitrate= 997.7kbits/s dup=1 drop=60 speed=1.21x    
frame= 1339 fps= 18 q=27.0 size=   10733kB time=00:01:28.38 bitrate= 994.8kbits/s dup=1 drop=60 speed=1.21x    
frame= 1349 fps= 18 q=27.0 size=   10788kB time=00:01:29.08 bitrate= 992.0kbits/s dup=1 drop=60 speed=1.21x    
frame= 1359 fps= 18 q=27.0 size=   10843kB time=00:01:29.72 bitrate= 989.9kbits/s dup=1 drop=60 speed=1.21x    
frame= 1369 fps= 18 q=27.0 size=   11010kB time=00:01:30.36 bitrate= 998.1kbits/s dup=1 drop=60 speed=1.21x    
frame= 1381 fps= 18 q=27.0 size=   11044kB time=00:01:31.20 bitrate= 992.0kbits/s dup=1 drop=60 speed=1.21x    
frame= 1392 fps= 18 q=27.0 size=   11101kB time=00:01:31.90 bitrate= 989.5kbits/s dup=1 drop=60 speed=1.21x    
frame= 1402 fps= 18 q=27.0 size=   11179kB time=00:01:32.60 bitrate= 988.9kbits/s dup=1 drop=60 speed=1.21x    
frame= 1413 fps= 18 q=27.0 size=   11242kB time=00:01:33.31 bitrate= 987.0kbits/s dup=1 drop=60 speed=1.21x    
frame= 1424 fps= 18 q=27.0 size=   11283kB time=00:01:34.08 bitrate= 982.5kbits/s dup=1 drop=60 speed=1.21x    
frame= 1432 fps= 18 q=27.0 size=   11458kB time=00:01:34.59 bitrate= 992.3kbits/s dup=1 drop=60 speed=1.21x    
frame= 1443 fps= 18 q=27.0 size=   11523kB time=00:01:35.29 bitrate= 990.6kbits/s dup=1 drop=60 speed=1.21x    
frame= 1452 fps= 18 q=27.0 size=   11583kB time=00:01:35.93 bitrate= 989.1kbits/s dup=1 drop=60 speed=1.21x    
frame= 1464 fps= 18 q=27.0 size=   11644kB time=00:01:36.70 bitrate= 986.4kbits/s dup=1 drop=60 speed=1.21x    
frame= 1475 fps= 18 q=27.0 size=   11687kB time=00:01:37.47 bitrate= 982.3kbits/s dup=1 drop=60 speed=1.21x    
frame= 1486 fps= 18 q=27.0 size=   11735kB time=00:01:38.17 bitrate= 979.2kbits/s dup=1 drop=60 speed=1.21x    
frame= 1492 fps= 18 q=27.0 size=   11882kB time=00:01:38.62 bitrate= 986.9kbits/s dup=1 drop=60 speed=1.21x    
frame= 1503 fps= 18 q=27.0 size=   11939kB time=00:01:39.32 bitrate= 984.6kbits/s dup=1 drop=60 speed=1.21x    
frame= 1512 fps= 18 q=27.0 size=   12007kB time=00:01:39.90 bitrate= 984.6kbits/s dup=1 drop=60 speed=1.21x    
frame= 1522 fps= 18 q=27.0 size=   12068kB time=00:01:40.60 bitrate= 982.6kbits/s dup=1 drop=60 speed=1.21x    
frame= 1531 fps= 18 q=27.0 size=   12130kB time=00:01:41.18 bitrate= 982.1kbits/s dup=1 drop=60 speed=1.21x    
frame= 1541 fps= 18 q=27.0 size=   12182kB time=00:01:41.88 bitrate= 979.4kbits/s dup=1 drop=60 speed=1.21x    
frame= 1549 fps= 18 q=27.0 size=   12563kB time=00:01:42.40 bitrate=1005.1kbits/s dup=1 drop=60 speed=1.21x    
frame= 1559 fps= 18 q=27.0 size=   12620kB time=00:01:43.04 bitrate=1003.3kbits/s dup=1 drop=60 speed=1.21x    
frame= 1569 fps= 18 q=27.0 size=   12695kB time=00:01:43.74 bitrate=1002.5kbits/s dup=1 drop=60 speed=1.21x    
frame= 1579 fps= 18 q=27.0 size=   12751kB time=00:01:44.38 bitrate=1000.7kbits/s dup=1 drop=60 speed=1.21x    
frame= 1589 fps= 18 q=27.0 size=   12810kB time=00:01:45.08 bitrate= 998.6kbits/s dup=1 drop=60 speed=1.21x    
frame= 1599 fps= 18 q=27.0 size=   12873kB time=00:01:45.72 bitrate= 997.4kbits/s dup=1 drop=60 speed=1.21x    
frame= 1609 fps= 18 q=27.0 size=   13036kB time=00:01:46.36 bitrate=1003.9kbits/s dup=1 drop=60 speed=1.21x    
frame= 1619 fps= 18 q=27.0 size=   13082kB time=00:01:47.07 bitrate=1000.9kbits/s dup=1 drop=60 speed=1.21x    
frame= 1628 fps= 18 q=27.0 size=   13134kB time=00:01:47.64 bitrate= 999.5kbits/s dup=1 drop=60 speed=1.21x    
frame= 1636 fps= 18 q=27.0 size=   13201kB time=00:01:48.22 bitrate= 999.2kbits/s dup=1 drop=60 speed=1.21x    
