ffmpeg version 3.1.7 Copyright (c) 2000-2017 the FFmpeg developers
  built with gcc 5.4.0 (GCC)
  configuration: --disable-static --prefix=/cvmfs/soft.computecanada.ca/nix/store/n7qiyrcpyixibg8mijm826nb3hdb23j1-ffmpeg-3.1.7 --enable-gpl --enable-version3 --enable-shared --disable-static --enable-pic --enable-runtime-cpudetect --enable-hardcoded-tables --enable-pthreads --disable-w32threads --disable-os2threads --enable-network --enable-pixelutils --enable-ffmpeg --disable-ffplay --enable-ffprobe --disable-ffserver --enable-avcodec --enable-avdevice --enable-avfilter --enable-avformat --enable-avresample --enable-avutil --enable-postproc --enable-swresample --enable-swscale --disable-doc --enable-bzlib --enable-gnutls --enable-fontconfig --enable-libfreetype --enable-libmp3lame --enable-iconv --enable-libtheora --enable-vaapi --enable-vdpau --enable-libvorbis --enable-libvpx --enable-lzma --disable-opengl --enable-libpulse --enable-sdl --enable-libsoxr --enable-libx264 --enable-libxvid --enable-zlib --enable-libopus --enable-libx265 --disable-debug --enable-optimizations --disable-extra-warnings --disable-stripping
  libavutil      55. 28.100 / 55. 28.100
  libavcodec     57. 48.101 / 57. 48.101
  libavformat    57. 41.100 / 57. 41.100
  libavdevice    57.  0.101 / 57.  0.101
  libavfilter     6. 47.100 /  6. 47.100
  libavresample   3.  0.  0 /  3.  0.  0
  libswscale      4.  1.100 /  4.  1.100
  libswresample   2.  1.100 /  2.  1.100
  libpostproc    54.  0.100 / 54.  0.100
Input #0, mov,mp4,m4a,3gp,3g2,mj2, from '/project/6001934/lingheng/ROM_Video_Process/ROM_raw_videos/Sep_25/Camera2_Sep_25_1300_1400_Prescribed_behavior.mp4':
  Metadata:
    major_brand     : isom
    minor_version   : 1
    compatible_brands: isom
    creation_time   : 2018-09-25 21:09:56
  Duration: 01:00:04.10, start: 0.000000, bitrate: 553 kb/s
    Stream #0:0(und): Video: h264 (Main) (avc1 / 0x31637661), yuvj420p(pc, bt709), 1920x1080 [SAR 1:1 DAR 16:9], 534 kb/s, 16.58 fps, 15 tbr, 16k tbn, 30 tbc (default)
    Metadata:
      handler_name    : VideoHandler
    Stream #0:1(und): Audio: aac (LC) (mp4a / 0x6134706D), 16000 Hz, mono, fltp, 16 kb/s (default)
    Metadata:
      creation_time   : 2018-09-25 21:09:58
      handler_name    : GPAC ISO Audio Handler
    Stream #0:2(eng): Subtitle: mov_text (tx3g / 0x67337874), 800x60, 0 kb/s (default)
    Metadata:
      rotate          : 0
      creation_time   : 2018-09-25 21:09:58
      handler_name    : 112cf78b40ac457d882fa7b080801dff.subtitles.ttxt:hdlr=sbtl:lang=en:group=2:layer=1 - Imported with GPAC 0.5.0-rev4065
Input #1, png_pipe, from '/project/6001934/lingheng/ROM_Video_Process/Openpose_Video_Analysis_Code/camera2_transparent_img.png':
  Duration: N/A, bitrate: N/A
    Stream #1:0: Video: png, rgba(pc), 1920x1080, 25 tbr, 25 tbn, 25 tbc
[swscaler @ 0x15f3020] deprecated pixel format used, make sure you did set range correctly
[avi @ 0x141ae60] Using AVStream.codec to pass codec parameters to muxers is deprecated, use AVStream.codecpar instead.
    Last message repeated 1 times
Output #0, avi, to '/project/6001934/lingheng/ROM_Video_Process/ROM_raw_videos_with_interst_area_ffmpeg_new2/Sep_25/Camera2_Sep_25_1300_1400_Prescribed_behavior_ffmpeg_with_interest_area.avi':
  Metadata:
    major_brand     : isom
    minor_version   : 1
    compatible_brands: isom
    ISFT            : Lavf57.41.100
    Stream #0:0: Video: mpeg4 (FMP4 / 0x34504D46), yuv420p, 1920x1080 [SAR 1:1 DAR 16:9], q=2-31, 200 kb/s, 15 fps, 15 tbn, 15 tbc (default)
    Metadata:
      encoder         : Lavc57.48.101 mpeg4
    Side data:
      cpb: bitrate max/min/avg: 0/0/200000 buffer size: 0 vbv_delay: -1
    Stream #0:1(und): Audio: aac (LC) ([255][0][0][0] / 0x00FF), 16000 Hz, mono, 16 kb/s (default)
    Metadata:
      creation_time   : 2018-09-25 21:09:58
      handler_name    : GPAC ISO Audio Handler
Stream mapping:
  Stream #0:0 (h264) -> overlay:main
  Stream #1:0 (png) -> overlay:overlay
  overlay -> Stream #0:0 (mpeg4)
  Stream #0:1 -> #0:1 (copy)
Press [q] to stop, [?] for help
frame=   14 fps=0.0 q=21.7 size=     299kB time=00:00:01.00 bitrate=2453.3kbits/s speed=1.93x    
frame=   35 fps= 34 q=31.0 size=     429kB time=00:00:02.40 bitrate=1463.0kbits/s speed=2.33x    
frame=   61 fps= 39 q=24.8 size=     553kB time=00:00:04.13 bitrate=1095.8kbits/s speed=2.67x    
frame=   86 fps= 42 q=31.0 size=     681kB time=00:00:05.80 bitrate= 961.6kbits/s speed=2.82x    
frame=  111 fps= 43 q=31.0 size=     799kB time=00:00:07.46 bitrate= 876.7kbits/s speed=2.91x    
frame=  133 fps= 43 q=24.8 size=     916kB time=00:00:08.93 bitrate= 840.2kbits/s speed= 2.9x    
frame=  159 fps= 44 q=31.0 size=    1047kB time=00:00:10.66 bitrate= 804.1kbits/s speed=2.96x    
frame=  184 fps= 45 q=31.0 size=    1185kB time=00:00:12.33 bitrate= 787.0kbits/s speed=   3x    
frame=  209 fps= 45 q=31.0 size=    1309kB time=00:00:14.00 bitrate= 766.0kbits/s speed=3.03x    
frame=  233 fps= 45 q=31.0 size=    1441kB time=00:00:15.60 bitrate= 757.0kbits/s speed=3.04x    
frame=  256 fps= 45 q=31.0 size=    1560kB time=00:00:17.13 bitrate= 745.8kbits/s speed=3.03x    
frame=  280 fps= 45 q=31.0 size=    1683kB time=00:00:18.73 bitrate= 735.8kbits/s speed=3.04x    
frame=  304 fps= 46 q=31.0 size=    1760kB time=00:00:20.33 bitrate= 709.1kbits/s dup=0 drop=2 speed=3.05x    
frame=  317 fps= 44 q=31.0 size=    1867kB time=00:00:21.20 bitrate= 721.4kbits/s dup=0 drop=15 speed=2.95x    
frame=  331 fps= 43 q=31.0 size=    1940kB time=00:00:22.13 bitrate= 717.9kbits/s dup=0 drop=29 speed=2.87x    
frame=  344 fps= 42 q=31.0 size=    2007kB time=00:00:23.00 bitrate= 714.8kbits/s dup=0 drop=42 speed= 2.8x    
frame=  357 fps= 41 q=31.0 size=    2074kB time=00:00:23.86 bitrate= 712.0kbits/s dup=0 drop=55 speed=2.74x    
frame=  371 fps= 40 q=31.0 size=    2144kB time=00:00:24.80 bitrate= 708.3kbits/s dup=0 drop=69 speed=2.69x    
frame=  388 fps= 40 q=31.0 size=    2265kB time=00:00:25.93 bitrate= 715.4kbits/s dup=0 drop=76 speed=2.66x    
frame=  413 fps= 40 q=31.0 size=    2395kB time=00:00:27.60 bitrate= 710.9kbits/s dup=0 drop=76 speed=2.69x    
frame=  438 fps= 41 q=31.0 size=    2526kB time=00:00:29.26 bitrate= 707.2kbits/s dup=0 drop=76 speed=2.72x    
frame=  462 fps= 41 q=31.0 size=    2654kB time=00:00:30.86 bitrate= 704.4kbits/s dup=0 drop=76 speed=2.73x    
frame=  487 fps= 41 q=31.0 size=    2787kB time=00:00:32.53 bitrate= 701.8kbits/s dup=0 drop=76 speed=2.75x    
frame=  512 fps= 42 q=31.0 size=    2920kB time=00:00:34.20 bitrate= 699.4kbits/s dup=0 drop=76 speed=2.77x    
frame=  536 fps= 42 q=31.0 size=    3051kB time=00:00:35.80 bitrate= 698.1kbits/s dup=0 drop=76 speed=2.79x    
frame=  561 fps= 42 q=31.0 size=    3187kB time=00:00:37.46 bitrate= 696.8kbits/s dup=0 drop=76 speed= 2.8x    
frame=  584 fps= 42 q=31.0 size=    3319kB time=00:00:39.00 bitrate= 697.1kbits/s dup=0 drop=76 speed=2.81x    
frame=  607 fps= 42 q=31.0 size=    3452kB time=00:00:40.53 bitrate= 697.6kbits/s dup=0 drop=76 speed=2.82x    
frame=  632 fps= 42 q=31.0 size=    3588kB time=00:00:42.20 bitrate= 696.4kbits/s dup=0 drop=76 speed=2.84x    
frame=  656 fps= 43 q=31.0 size=    3721kB time=00:00:43.80 bitrate= 695.9kbits/s dup=0 drop=76 speed=2.85x    
frame=  681 fps= 43 q=31.0 size=    3861kB time=00:00:45.46 bitrate= 695.6kbits/s dup=0 drop=76 speed=2.86x    
frame=  706 fps= 43 q=31.0 size=    3999kB time=00:00:47.13 bitrate= 695.0kbits/s dup=0 drop=76 speed=2.87x    
frame=  731 fps= 43 q=31.0 size=    4138kB time=00:00:48.80 bitrate= 694.7kbits/s dup=0 drop=76 speed=2.88x    
frame=  756 fps= 43 q=31.0 size=    4274kB time=00:00:50.46 bitrate= 693.8kbits/s dup=0 drop=76 speed=2.89x    
frame=  780 fps= 43 q=31.0 size=    4404kB time=00:00:52.06 bitrate= 692.9kbits/s dup=0 drop=76 speed= 2.9x    
frame=  805 fps= 44 q=24.8 size=    4532kB time=00:00:53.73 bitrate= 690.9kbits/s dup=0 drop=76 speed=2.91x    
frame=  827 fps= 44 q=31.0 size=    4654kB time=00:00:55.20 bitrate= 690.7kbits/s dup=0 drop=76 speed=2.91x    
frame=  852 fps= 44 q=31.0 size=    4782kB time=00:00:56.86 bitrate= 688.9kbits/s dup=0 drop=76 speed=2.92x    
frame=  877 fps= 44 q=24.8 size=    4910kB time=00:00:58.53 bitrate= 687.2kbits/s dup=0 drop=76 speed=2.93x    
frame=  902 fps= 44 q=31.0 size=    5046kB time=00:01:00.20 bitrate= 686.7kbits/s dup=0 drop=76 speed=2.93x    
frame=  927 fps= 44 q=31.0 size=    5222kB time=00:01:01.86 bitrate= 691.5kbits/s dup=0 drop=76 speed=2.94x    
frame=  950 fps= 44 q=31.0 size=    5307kB time=00:01:03.40 bitrate= 685.7kbits/s dup=0 drop=76 speed=2.94x    
frame=  974 fps= 44 q=31.0 size=    5434kB time=00:01:05.00 bitrate= 684.8kbits/s dup=0 drop=76 speed=2.95x    
frame=  999 fps= 44 q=31.0 size=    5605kB time=00:01:06.66 bitrate= 688.7kbits/s dup=0 drop=76 speed=2.95x    
frame= 1024 fps= 44 q=31.0 size=    5738kB time=00:01:08.33 bitrate= 687.9kbits/s dup=0 drop=76 speed=2.96x    
frame= 1049 fps= 44 q=31.0 size=    5867kB time=00:01:10.00 bitrate= 686.6kbits/s dup=0 drop=76 speed=2.97x    
frame= 1074 fps= 45 q=31.0 size=    5992kB time=00:01:11.66 bitrate= 685.0kbits/s dup=0 drop=76 speed=2.97x    
frame= 1098 fps= 45 q=31.0 size=    6122kB time=00:01:13.26 bitrate= 684.5kbits/s dup=0 drop=76 speed=2.98x    
frame= 1122 fps= 45 q=31.0 size=    6248kB time=00:01:14.86 bitrate= 683.6kbits/s dup=0 drop=76 speed=2.98x    
frame= 1147 fps= 45 q=31.0 size=    6381kB time=00:01:16.53 bitrate= 683.0kbits/s dup=0 drop=76 speed=2.99x    
frame= 1172 fps= 45 q=31.0 size=    6515kB time=00:01:18.20 bitrate= 682.5kbits/s dup=0 drop=76 speed=2.99x    
frame= 1195 fps= 45 q=31.0 size=    6651kB time=00:01:19.73 bitrate= 683.3kbits/s dup=0 drop=76 speed=2.99x    
frame= 1217 fps= 45 q=31.0 size=    6794kB time=00:01:21.20 bitrate= 685.4kbits/s dup=0 drop=76 speed=2.99x    
frame= 1240 fps= 45 q=31.0 size=    6928kB time=00:01:22.73 bitrate= 686.0kbits/s dup=0 drop=76 speed=2.99x    
frame= 1265 fps= 45 q=31.0 size=    7065kB time=00:01:24.40 bitrate= 685.7kbits/s dup=0 drop=76 speed=2.99x    
frame= 1290 fps= 45 q=31.0 size=    7195kB time=00:01:26.06 bitrate= 684.8kbits/s dup=0 drop=76 speed=   3x    
frame= 1313 fps= 45 q=31.0 size=    7318kB time=00:01:27.60 bitrate= 684.4kbits/s dup=0 drop=76 speed=   3x    
frame= 1338 fps= 45 q=31.0 size=    7447kB time=00:01:29.26 bitrate= 683.4kbits/s dup=0 drop=76 speed=   3x    
frame= 1363 fps= 45 q=31.0 size=    7572kB time=00:01:30.93 bitrate= 682.1kbits/s dup=0 drop=76 speed=3.01x    
frame= 1388 fps= 45 q=31.0 size=    7697kB time=00:01:32.60 bitrate= 680.9kbits/s dup=0 drop=76 speed=3.01x    
frame= 1413 fps= 45 q=31.0 size=    7823kB time=00:01:34.26 bitrate= 679.9kbits/s dup=0 drop=76 speed=3.01x    
frame= 1437 fps= 45 q=31.0 size=    7952kB time=00:01:35.86 bitrate= 679.5kbits/s dup=0 drop=76 speed=3.02x    
frame= 1462 fps= 45 q=31.0 size=    8086kB time=00:01:37.53 bitrate= 679.2kbits/s dup=0 drop=76 speed=3.02x    
frame= 1487 fps= 45 q=31.0 size=    8219kB time=00:01:39.20 bitrate= 678.7kbits/s dup=0 drop=76 speed=3.02x    
frame= 1512 fps= 45 q=31.0 size=    8344kB time=00:01:40.86 bitrate= 677.7kbits/s dup=0 drop=76 speed=3.03x    
frame= 1537 fps= 45 q=24.8 size=    8469kB time=00:01:42.53 bitrate= 676.6kbits/s dup=0 drop=76 speed=3.03x    
frame= 1562 fps= 45 q=31.0 size=    8592kB time=00:01:44.20 bitrate= 675.5kbits/s dup=0 drop=76 speed=3.03x    
frame= 1587 fps= 46 q=31.0 size=    8758kB time=00:01:45.86 bitrate= 677.7kbits/s dup=0 drop=76 speed=3.04x    
frame= 1612 fps= 46 q=31.0 size=    8883kB time=00:01:47.53 bitrate= 676.7kbits/s dup=0 drop=76 speed=3.04x    
frame= 1637 fps= 46 q=31.0 size=    9010kB time=00:01:49.20 bitrate= 675.9kbits/s dup=0 drop=76 speed=3.04x    
frame= 1662 fps= 46 q=31.0 size=    9135kB time=00:01:50.86 bitrate= 675.0kbits/s dup=0 drop=76 speed=3.05x    
frame= 1687 fps= 46 q=31.0 size=    9270kB time=00:01:52.53 bitrate= 674.8kbits/s dup=0 drop=76 speed=3.05x    
frame= 1712 fps= 46 q=31.0 size=    9408kB time=00:01:54.20 bitrate= 674.9kbits/s dup=0 drop=76 speed=3.05x    
frame= 1737 fps= 46 q=31.0 size=    9546kB time=00:01:55.86 bitrate= 674.9kbits/s dup=0 drop=76 speed=3.05x    
frame= 1762 fps= 46 q=31.0 size=    9676kB time=00:01:57.53 bitrate= 674.4kbits/s dup=0 drop=76 speed=3.06x    
frame= 1787 fps= 46 q=31.0 size=    9812kB time=00:01:59.20 bitrate= 674.3kbits/s dup=0 drop=76 speed=3.06x    
frame= 1812 fps= 46 q=31.0 size=    9948kB time=00:02:00.86 bitrate= 674.2kbits/s dup=0 drop=76 speed=3.06x    
frame= 1837 fps= 46 q=24.8 size=   10081kB time=00:02:02.53 bitrate= 674.0kbits/s dup=0 drop=76 speed=3.06x    
frame= 1862 fps= 46 q=31.0 size=   10215kB time=00:02:04.20 bitrate= 673.7kbits/s dup=0 drop=76 speed=3.06x    
frame= 1887 fps= 46 q=31.0 size=   10386kB time=00:02:05.86 bitrate= 676.0kbits/s dup=0 drop=76 speed=3.07x    
frame= 1912 fps= 46 q=31.0 size=   10514kB time=00:02:07.53 bitrate= 675.4kbits/s dup=0 drop=76 speed=3.07x    
frame= 1937 fps= 46 q=31.0 size=   10644kB time=00:02:09.20 bitrate= 674.9kbits/s dup=0 drop=76 speed=3.07x    
frame= 1962 fps= 46 q=31.0 size=   10770kB time=00:02:10.86 bitrate= 674.2kbits/s dup=0 drop=76 speed=3.07x    
frame= 1987 fps= 46 q=31.0 size=   10894kB time=00:02:12.53 bitrate= 673.3kbits/s dup=0 drop=76 speed=3.08x    
frame= 2010 fps= 46 q=31.0 size=   11018kB time=00:02:14.06 bitrate= 673.3kbits/s dup=0 drop=76 speed=3.08x    
frame= 2035 fps= 46 q=31.0 size=   11145kB time=00:02:15.73 bitrate= 672.6kbits/s dup=0 drop=76 speed=3.08x    
frame= 2060 fps= 46 q=31.0 size=   11273kB time=00:02:17.40 bitrate= 672.1kbits/s dup=0 drop=76 speed=3.08x    
frame= 2078 fps= 46 q=31.0 size=   11342kB time=00:02:18.60 bitrate= 670.4kbits/s dup=0 drop=84 speed=3.07x    
frame= 2092 fps= 46 q=31.0 size=   11405kB time=00:02:19.53 bitrate= 669.6kbits/s dup=0 drop=98 speed=3.06x    
frame= 2104 fps= 46 q=31.0 size=   11473kB time=00:02:20.33 bitrate= 669.8kbits/s dup=0 drop=110 speed=3.04x    
frame= 2117 fps= 45 q=31.0 size=   11586kB time=00:02:21.20 bitrate= 672.2kbits/s dup=0 drop=123 speed=3.03x    
frame= 2132 fps= 45 q=31.0 size=   11653kB time=00:02:22.20 bitrate= 671.3kbits/s dup=0 drop=138 speed=3.02x    
frame= 2145 fps= 45 q=31.0 size=   11726kB time=00:02:23.06 bitrate= 671.5kbits/s dup=0 drop=151 speed=   3x    
frame= 2160 fps= 45 q=31.0 size=   11796kB time=00:02:24.06 bitrate= 670.8kbits/s dup=0 drop=166 speed=2.99x    
frame= 2173 fps= 45 q=24.8 size=   11870kB time=00:02:24.93 bitrate= 670.9kbits/s dup=0 drop=179 speed=2.98x    
frame= 2188 fps= 44 q=31.0 size=   11939kB time=00:02:25.93 bitrate= 670.2kbits/s dup=0 drop=194 speed=2.97x    
frame= 2202 fps= 44 q=31.0 size=   12054kB time=00:02:26.86 bitrate= 672.4kbits/s dup=0 drop=208 speed=2.96x    
frame= 2215 fps= 44 q=31.0 size=   12140kB time=00:02:27.73 bitrate= 673.2kbits/s dup=0 drop=221 speed=2.94x    
frame= 2230 fps= 44 q=31.0 size=   12226kB time=00:02:28.73 bitrate= 673.4kbits/s dup=0 drop=236 speed=2.93x    
frame= 2247 fps= 44 q=31.0 size=   12374kB time=00:02:29.86 bitrate= 676.4kbits/s dup=0 drop=245 speed=2.93x    
frame= 2272 fps= 44 q=31.0 size=   12529kB time=00:02:31.53 bitrate= 677.3kbits/s dup=0 drop=245 speed=2.93x    
frame= 2297 fps= 44 q=31.0 size=   12676kB time=00:02:33.20 bitrate= 677.8kbits/s dup=0 drop=245 speed=2.93x    
frame= 2322 fps= 44 q=31.0 size=   12844kB time=00:02:34.86 bitrate= 679.4kbits/s dup=0 drop=245 speed=2.93x    
frame= 2347 fps= 44 q=31.0 size=   13005kB time=00:02:36.53 bitrate= 680.6kbits/s dup=0 drop=245 speed=2.94x    
frame= 2372 fps= 44 q=31.0 size=   13151kB time=00:02:38.20 bitrate= 681.0kbits/s dup=0 drop=245 speed=2.94x    
frame= 2395 fps= 44 q=31.0 size=   13293kB time=00:02:39.73 bitrate= 681.8kbits/s dup=0 drop=245 speed=2.94x    
frame= 2420 fps= 44 q=31.0 size=   13436kB time=00:02:41.40 bitrate= 681.9kbits/s dup=0 drop=245 speed=2.94x    
frame= 2445 fps= 44 q=31.0 size=   13573kB time=00:02:43.06 bitrate= 681.9kbits/s dup=0 drop=245 speed=2.95x    
frame= 2470 fps= 44 q=31.0 size=   13709kB time=00:02:44.73 bitrate= 681.7kbits/s dup=0 drop=245 speed=2.95x    
frame= 2495 fps= 44 q=31.0 size=   13843kB time=00:02:46.40 bitrate= 681.5kbits/s dup=0 drop=245 speed=2.95x    
frame= 2518 fps= 44 q=31.0 size=   13971kB time=00:02:47.93 bitrate= 681.5kbits/s dup=0 drop=245 speed=2.95x    
frame= 2542 fps= 44 q=31.0 size=   14102kB time=00:02:49.53 bitrate= 681.4kbits/s dup=0 drop=245 speed=2.95x    
frame= 2567 fps= 44 q=31.0 size=   14231kB time=00:02:51.20 bitrate= 681.0kbits/s dup=0 drop=245 speed=2.96x    
frame= 2589 fps= 44 q=31.0 size=   14354kB time=00:02:52.66 bitrate= 681.0kbits/s dup=0 drop=245 speed=2.96x    
frame= 2614 fps= 44 q=31.0 size=   14481kB time=00:02:54.33 bitrate= 680.5kbits/s dup=0 drop=245 speed=2.96x    
frame= 2637 fps= 44 q=31.0 size=   14602kB time=00:02:55.86 bitrate= 680.2kbits/s dup=0 drop=245 speed=2.96x    
frame= 2662 fps= 44 q=31.0 size=   14727kB time=00:02:57.53 bitrate= 679.5kbits/s dup=0 drop=245 speed=2.96x    
frame= 2685 fps= 44 q=31.0 size=   14854kB time=00:02:59.06 bitrate= 679.6kbits/s dup=0 drop=245 speed=2.96x    
frame= 2710 fps= 44 q=31.0 size=   14982kB time=00:03:00.73 bitrate= 679.1kbits/s dup=0 drop=245 speed=2.96x    
frame= 2735 fps= 44 q=31.0 size=   15106kB time=00:03:02.40 bitrate= 678.5kbits/s dup=0 drop=245 speed=2.97x    
frame= 2760 fps= 45 q=31.0 size=   15230kB time=00:03:04.06 bitrate= 677.8kbits/s dup=0 drop=245 speed=2.97x    
frame= 2785 fps= 45 q=24.8 size=   15358kB time=00:03:05.73 bitrate= 677.4kbits/s dup=0 drop=245 speed=2.97x    
frame= 2810 fps= 45 q=31.0 size=   15483kB time=00:03:07.40 bitrate= 676.8kbits/s dup=0 drop=245 speed=2.97x    
frame= 2835 fps= 45 q=31.0 size=   15653kB time=00:03:09.06 bitrate= 678.2kbits/s dup=0 drop=245 speed=2.98x    
frame= 2860 fps= 45 q=31.0 size=   15780kB time=00:03:10.73 bitrate= 677.8kbits/s dup=0 drop=245 speed=2.98x    
frame= 2884 fps= 45 q=31.0 size=   15901kB time=00:03:12.33 bitrate= 677.3kbits/s dup=0 drop=245 speed=2.98x    
frame= 2909 fps= 45 q=31.0 size=   16025kB time=00:03:14.00 bitrate= 676.7kbits/s dup=0 drop=245 speed=2.98x    
frame= 2934 fps= 45 q=31.0 size=   16151kB time=00:03:15.66 bitrate= 676.2kbits/s dup=0 drop=245 speed=2.98x    
frame= 2959 fps= 45 q=31.0 size=   16278kB time=00:03:17.33 bitrate= 675.8kbits/s dup=0 drop=245 speed=2.99x    
frame= 2982 fps= 45 q=31.0 size=   16402kB time=00:03:18.86 bitrate= 675.7kbits/s dup=0 drop=245 speed=2.99x    
frame= 3007 fps= 45 q=31.0 size=   16528kB time=00:03:20.53 bitrate= 675.2kbits/s dup=0 drop=245 speed=2.99x    
frame= 3032 fps= 45 q=31.0 size=   16657kB time=00:03:22.20 bitrate= 674.9kbits/s dup=0 drop=245 speed=2.99x    
frame= 3057 fps= 45 q=31.0 size=   16785kB time=00:03:23.86 bitrate= 674.5kbits/s dup=0 drop=245 speed=2.99x    
frame= 3079 fps= 45 q=31.0 size=   16916kB time=00:03:25.33 bitrate= 674.9kbits/s dup=0 drop=245 speed=2.99x    
frame= 3104 fps= 45 q=31.0 size=   17048kB time=00:03:27.00 bitrate= 674.7kbits/s dup=0 drop=245 speed=2.99x    
frame= 3129 fps= 45 q=31.0 size=   17181kB time=00:03:28.66 bitrate= 674.5kbits/s dup=0 drop=245 speed=   3x    
frame= 3152 fps= 45 q=31.0 size=   17314kB time=00:03:30.20 bitrate= 674.8kbits/s dup=0 drop=245 speed=   3x    
frame= 3177 fps= 45 q=31.0 size=   17453kB time=00:03:31.86 bitrate= 674.8kbits/s dup=0 drop=245 speed=   3x    
frame= 3202 fps= 45 q=31.0 size=   17591kB time=00:03:33.53 bitrate= 674.9kbits/s dup=0 drop=245 speed=   3x    
frame= 3226 fps= 45 q=31.0 size=   17731kB time=00:03:35.13 bitrate= 675.2kbits/s dup=0 drop=245 speed=   3x    
frame= 3251 fps= 45 q=31.0 size=   17871kB time=00:03:36.80 bitrate= 675.3kbits/s dup=0 drop=245 speed=   3x    
frame= 3276 fps= 45 q=31.0 size=   18011kB time=00:03:38.46 bitrate= 675.4kbits/s dup=0 drop=245 speed=   3x    
frame= 3300 fps= 45 q=31.0 size=   18150kB time=00:03:40.06 bitrate= 675.6kbits/s dup=0 drop=245 speed=3.01x    
frame= 3325 fps= 45 q=24.8 size=   18297kB time=00:03:41.73 bitrate= 676.0kbits/s dup=0 drop=245 speed=3.01x    
frame= 3348 fps= 45 q=31.0 size=   18433kB time=00:03:43.26 bitrate= 676.3kbits/s dup=0 drop=245 speed=3.01x    
frame= 3373 fps= 45 q=24.8 size=   18566kB time=00:03:44.93 bitrate= 676.2kbits/s dup=0 drop=245 speed=3.01x    
frame= 3398 fps= 45 q=31.0 size=   18697kB time=00:03:46.60 bitrate= 675.9kbits/s dup=0 drop=245 speed=3.01x    
frame= 3422 fps= 45 q=31.0 size=   18825kB time=00:03:48.20 bitrate= 675.8kbits/s dup=0 drop=245 speed=3.01x    
frame= 3447 fps= 45 q=31.0 size=   19001kB time=00:03:49.86 bitrate= 677.2kbits/s dup=0 drop=245 speed=3.01x    
frame= 3472 fps= 45 q=31.0 size=   19131kB time=00:03:51.53 bitrate= 676.9kbits/s dup=0 drop=245 speed=3.01x    
frame= 3497 fps= 45 q=31.0 size=   19262kB time=00:03:53.20 bitrate= 676.6kbits/s dup=0 drop=245 speed=3.02x    
frame= 3521 fps= 45 q=31.0 size=   19389kB time=00:03:54.80 bitrate= 676.5kbits/s dup=0 drop=245 speed=3.02x    
frame= 3545 fps= 45 q=31.0 size=   19516kB time=00:03:56.40 bitrate= 676.3kbits/s dup=0 drop=245 speed=3.02x    
frame= 3570 fps= 45 q=31.0 size=   19645kB time=00:03:58.06 bitrate= 676.0kbits/s dup=0 drop=245 speed=3.02x    
frame= 3595 fps= 45 q=31.0 size=   19770kB time=00:03:59.73 bitrate= 675.6kbits/s dup=0 drop=245 speed=3.02x    
frame= 3620 fps= 45 q=31.0 size=   19895kB time=00:04:01.40 bitrate= 675.1kbits/s dup=0 drop=245 speed=3.02x    
frame= 3645 fps= 45 q=31.0 size=   20021kB time=00:04:03.06 bitrate= 674.8kbits/s dup=0 drop=245 speed=3.02x    
frame= 3670 fps= 45 q=31.0 size=   20149kB time=00:04:04.73 bitrate= 674.5kbits/s dup=0 drop=245 speed=3.02x    
frame= 3695 fps= 45 q=31.0 size=   20281kB time=00:04:06.40 bitrate= 674.3kbits/s dup=0 drop=245 speed=3.03x    
frame= 3718 fps= 45 q=31.0 size=   20403kB time=00:04:07.93 bitrate= 674.1kbits/s dup=0 drop=248 speed=3.03x    
frame= 3731 fps= 45 q=31.0 size=   20473kB time=00:04:08.80 bitrate= 674.1kbits/s dup=0 drop=261 speed=3.02x    
frame= 3745 fps= 45 q=24.8 size=   20544kB time=00:04:09.73 bitrate= 673.9kbits/s dup=0 drop=275 speed=3.01x    
frame= 3759 fps= 45 q=31.0 size=   20617kB time=00:04:10.66 bitrate= 673.8kbits/s dup=0 drop=289 speed=   3x    
frame= 3772 fps= 45 q=31.0 size=   20686kB time=00:04:11.53 bitrate= 673.7kbits/s dup=0 drop=302 speed=2.99x    
frame= 3786 fps= 45 q=31.0 size=   20802kB time=00:04:12.46 bitrate= 675.0kbits/s dup=0 drop=316 speed=2.99x    
frame= 3799 fps= 45 q=31.0 size=   20880kB time=00:04:13.33 bitrate= 675.2kbits/s dup=0 drop=329 speed=2.98x    
frame= 3813 fps= 45 q=31.0 size=   20950kB time=00:04:14.26 bitrate= 675.0kbits/s dup=0 drop=343 speed=2.97x    
frame= 3827 fps= 44 q=31.0 size=   21019kB time=00:04:15.20 bitrate= 674.7kbits/s dup=0 drop=357 speed=2.97x    
frame= 3840 fps= 44 q=31.0 size=   21086kB time=00:04:16.06 bitrate= 674.6kbits/s dup=0 drop=370 speed=2.96x    
frame= 3853 fps= 44 q=24.8 size=   21160kB time=00:04:16.93 bitrate= 674.7kbits/s dup=0 drop=383 speed=2.95x    
frame= 3867 fps= 44 q=31.0 size=   21235kB time=00:04:17.86 bitrate= 674.6kbits/s dup=0 drop=397 speed=2.94x    
