ffmpeg version 3.1.7 Copyright (c) 2000-2017 the FFmpeg developers
  built with gcc 5.4.0 (GCC)
  configuration: --disable-static --prefix=/cvmfs/soft.computecanada.ca/nix/store/n7qiyrcpyixibg8mijm826nb3hdb23j1-ffmpeg-3.1.7 --enable-gpl --enable-version3 --enable-shared --disable-static --enable-pic --enable-runtime-cpudetect --enable-hardcoded-tables --enable-pthreads --disable-w32threads --disable-os2threads --enable-network --enable-pixelutils --enable-ffmpeg --disable-ffplay --enable-ffprobe --disable-ffserver --enable-avcodec --enable-avdevice --enable-avfilter --enable-avformat --enable-avresample --enable-avutil --enable-postproc --enable-swresample --enable-swscale --disable-doc --enable-bzlib --enable-gnutls --enable-fontconfig --enable-libfreetype --enable-libmp3lame --enable-iconv --enable-libtheora --enable-vaapi --enable-vdpau --enable-libvorbis --enable-libvpx --enable-lzma --disable-opengl --enable-libpulse --enable-sdl --enable-libsoxr --enable-libx264 --enable-libxvid --enable-zlib --enable-libopus --enable-libx265 --disable-debug --enable-optimizations --disable-extra-warnings --disable-stripping
  libavutil      55. 28.100 / 55. 28.100
  libavcodec     57. 48.101 / 57. 48.101
  libavformat    57. 41.100 / 57. 41.100
  libavdevice    57.  0.101 / 57.  0.101
  libavfilter     6. 47.100 /  6. 47.100
  libavresample   3.  0.  0 /  3.  0.  0
  libswscale      4.  1.100 /  4.  1.100
  libswresample   2.  1.100 /  2.  1.100
  libpostproc    54.  0.100 / 54.  0.100
Input #0, mov,mp4,m4a,3gp,3g2,mj2, from '/project/6001934/lingheng/ROM_Video_Process/ROM_raw_videos/Sep_26/Camera2_Sep_26_1500_1600_Agent_Community_raw_act.mp4':
  Metadata:
    major_brand     : isom
    minor_version   : 1
    compatible_brands: isom
    creation_time   : 2018-09-26 20:06:11
  Duration: 01:00:01.41, start: 0.000000, bitrate: 604 kb/s
    Stream #0:0(und): Video: h264 (Main) (avc1 / 0x31637661), yuvj420p(pc, bt709), 1920x1080 [SAR 1:1 DAR 16:9], 585 kb/s, 18.83 fps, 30 tbr, 16k tbn, 30 tbc (default)
    Metadata:
      handler_name    : VideoHandler
    Stream #0:1(und): Audio: aac (LC) (mp4a / 0x6134706D), 16000 Hz, mono, fltp, 16 kb/s (default)
    Metadata:
      creation_time   : 2018-09-26 20:06:14
      handler_name    : GPAC ISO Audio Handler
    Stream #0:2(eng): Subtitle: mov_text (tx3g / 0x67337874), 800x60, 0 kb/s (default)
    Metadata:
      rotate          : 0
      creation_time   : 2018-09-26 20:06:15
      handler_name    : f0dec9d69ad24f7eab04463a1084ff17.subtitles.ttxt:hdlr=sbtl:lang=en:group=2:layer=1 - Imported with GPAC 0.5.0-rev4065
Input #1, png_pipe, from '/project/6001934/lingheng/ROM_Video_Process/Openpose_Video_Analysis_Code/camera2_transparent_img.png':
  Duration: N/A, bitrate: N/A
    Stream #1:0: Video: png, rgba(pc), 1920x1080, 25 tbr, 25 tbn, 25 tbc
[swscaler @ 0x14a12e0] deprecated pixel format used, make sure you did set range correctly
[libx264 @ 0x1494cc0] using SAR=1/1
[libx264 @ 0x1494cc0] using cpu capabilities: MMX2 SSE2Fast SSSE3 SSE4.2 AVX FMA3 AVX2 LZCNT BMI2
[libx264 @ 0x1494cc0] profile High, level 4.0
[libx264 @ 0x1494cc0] 264 - core 148 - H.264/MPEG-4 AVC codec - Copyleft 2003-2016 - http://www.videolan.org/x264.html - options: cabac=1 ref=3 deblock=1:0:0 analyse=0x3:0x113 me=hex subme=7 psy=1 psy_rd=1.00:0.00 mixed_ref=1 me_range=16 chroma_me=1 trellis=1 8x8dct=1 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=-2 threads=3 lookahead_threads=1 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=15 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=crf mbtree=1 crf=23.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
[mp4 @ 0x12a3ee0] Using AVStream.codec to pass codec parameters to muxers is deprecated, use AVStream.codecpar instead.
    Last message repeated 1 times
Output #0, mp4, to '/project/6001934/lingheng/ROM_Video_Process/ROM_raw_videos_with_interst_area_ffmpeg_new3/Sep_26/Camera2_Sep_26_1500_1600_Agent_Community_raw_act_ffmpeg_with_interest_area.mp4':
  Metadata:
    major_brand     : isom
    minor_version   : 1
    compatible_brands: isom
    encoder         : Lavf57.41.100
    Stream #0:0: Video: h264 (libx264) ([33][0][0][0] / 0x0021), yuv420p, 1920x1080 [SAR 1:1 DAR 16:9], q=-1--1, 15 fps, 15360 tbn, 15 tbc (default)
    Metadata:
      encoder         : Lavc57.48.101 libx264
    Side data:
      cpb: bitrate max/min/avg: 0/0/0 buffer size: 0 vbv_delay: -1
    Stream #0:1(und): Audio: aac (LC) ([64][0][0][0] / 0x0040), 16000 Hz, mono, 16 kb/s (default)
    Metadata:
      creation_time   : 2018-09-26 20:06:14
      handler_name    : GPAC ISO Audio Handler
Stream mapping:
  Stream #0:0 (h264) -> overlay:main
  Stream #1:0 (png) -> overlay:overlay
  overlay -> Stream #0:0 (libx264)
  Stream #0:1 -> #0:1 (copy)
Press [q] to stop, [?] for help
frame=   19 fps=0.0 q=0.0 size=       0kB time=00:00:00.96 bitrate=   0.4kbits/s dup=1 drop=0 speed= 1.9x    
frame=   36 fps= 35 q=0.0 size=       0kB time=00:00:01.85 bitrate=   0.2kbits/s dup=1 drop=8 speed=1.83x    
frame=   46 fps= 30 q=0.0 size=       0kB time=00:00:02.30 bitrate=   0.2kbits/s dup=1 drop=18 speed=1.52x    
frame=   54 fps= 26 q=27.0 size=     226kB time=00:00:02.81 bitrate= 658.3kbits/s dup=1 drop=26 speed=1.37x    
frame=   63 fps= 25 q=27.0 size=     281kB time=00:00:03.64 bitrate= 630.2kbits/s dup=1 drop=35 speed=1.42x    
frame=   71 fps= 23 q=27.0 size=     331kB time=00:00:04.09 bitrate= 661.8kbits/s dup=1 drop=43 speed=1.32x    
frame=   80 fps= 22 q=27.0 size=     359kB time=00:00:04.54 bitrate= 647.2kbits/s dup=1 drop=52 speed=1.26x    
frame=   90 fps= 22 q=27.0 size=     394kB time=00:00:04.99 bitrate= 646.1kbits/s dup=1 drop=62 speed=1.22x    
frame=   95 fps= 20 q=27.0 size=     522kB time=00:00:05.44 bitrate= 785.4kbits/s dup=1 drop=67 speed=1.17x    
frame=  104 fps= 20 q=27.0 size=     572kB time=00:00:05.88 bitrate= 796.0kbits/s dup=1 drop=76 speed=1.14x    
frame=  113 fps= 20 q=27.0 size=     629kB time=00:00:06.46 bitrate= 796.6kbits/s dup=1 drop=85 speed=1.13x    
frame=  121 fps= 19 q=27.0 size=     765kB time=00:00:06.97 bitrate= 898.6kbits/s dup=1 drop=93 speed= 1.1x    
frame=  130 fps= 19 q=27.0 size=     813kB time=00:00:07.68 bitrate= 867.0kbits/s dup=1 drop=102 speed=1.12x    
frame=  139 fps= 19 q=27.0 size=     861kB time=00:00:08.19 bitrate= 860.8kbits/s dup=1 drop=111 speed=1.11x    
frame=  148 fps= 19 q=27.0 size=     899kB time=00:00:08.76 bitrate= 840.2kbits/s dup=1 drop=120 speed=1.11x    
frame=  157 fps= 18 q=27.0 size=     957kB time=00:00:09.40 bitrate= 833.3kbits/s dup=1 drop=129 speed=1.11x    
frame=  165 fps= 18 q=27.0 size=     997kB time=00:00:09.98 bitrate= 818.3kbits/s dup=1 drop=137 speed=1.11x    
frame=  174 fps= 18 q=27.0 size=    1044kB time=00:00:10.56 bitrate= 810.2kbits/s dup=1 drop=146 speed=1.11x    
frame=  181 fps= 18 q=27.0 size=    1183kB time=00:00:11.00 bitrate= 880.2kbits/s dup=1 drop=153 speed=1.09x    
frame=  190 fps= 18 q=27.0 size=    1237kB time=00:00:11.58 bitrate= 874.5kbits/s dup=1 drop=162 speed=1.09x    
frame=  199 fps= 18 q=27.0 size=    1290kB time=00:00:12.16 bitrate= 869.1kbits/s dup=1 drop=171 speed=1.09x    
frame=  207 fps= 18 q=27.0 size=    1340kB time=00:00:12.67 bitrate= 866.0kbits/s dup=1 drop=179 speed=1.08x    
frame=  215 fps= 18 q=27.0 size=    1393kB time=00:00:13.24 bitrate= 861.1kbits/s dup=1 drop=187 speed=1.08x    
frame=  224 fps= 18 q=27.0 size=    1444kB time=00:00:13.88 bitrate= 851.7kbits/s dup=1 drop=196 speed=1.09x    
frame=  233 fps= 18 q=27.0 size=    1506kB time=00:00:14.40 bitrate= 856.9kbits/s dup=1 drop=205 speed=1.09x    
frame=  241 fps= 17 q=27.0 size=    1648kB time=00:00:14.97 bitrate= 901.4kbits/s dup=1 drop=213 speed=1.06x    
frame=  251 fps= 17 q=27.0 size=    1691kB time=00:00:15.61 bitrate= 887.1kbits/s dup=1 drop=223 speed=1.07x    
frame=  259 fps= 17 q=27.0 size=    1729kB time=00:00:16.25 bitrate= 871.5kbits/s dup=1 drop=231 speed=1.08x    
frame=  268 fps= 17 q=27.0 size=    1777kB time=00:00:16.76 bitrate= 868.4kbits/s dup=1 drop=240 speed=1.07x    
frame=  278 fps= 17 q=27.0 size=    1819kB time=00:00:17.40 bitrate= 855.9kbits/s dup=1 drop=250 speed=1.08x    
frame=  286 fps= 17 q=27.0 size=    1855kB time=00:00:17.98 bitrate= 845.0kbits/s dup=1 drop=258 speed=1.08x    
frame=  295 fps= 17 q=27.0 size=    1888kB time=00:00:18.62 bitrate= 830.6kbits/s dup=1 drop=267 speed=1.08x    
frame=  301 fps= 17 q=27.0 size=    2223kB time=00:00:19.00 bitrate= 958.0kbits/s dup=1 drop=273 speed=1.07x    
frame=  310 fps= 17 q=27.0 size=    2265kB time=00:00:19.58 bitrate= 947.6kbits/s dup=1 drop=282 speed=1.08x    
frame=  319 fps= 17 q=27.0 size=    2307kB time=00:00:20.16 bitrate= 937.6kbits/s dup=1 drop=291 speed=1.08x    
frame=  327 fps= 17 q=27.0 size=    2343kB time=00:00:20.73 bitrate= 925.5kbits/s dup=1 drop=299 speed=1.08x    
frame=  336 fps= 17 q=27.0 size=    2388kB time=00:00:21.31 bitrate= 918.0kbits/s dup=1 drop=308 speed=1.08x    
frame=  346 fps= 17 q=27.0 size=    2426kB time=00:00:21.95 bitrate= 905.2kbits/s dup=1 drop=318 speed=1.08x    
frame=  353 fps= 17 q=27.0 size=    2465kB time=00:00:22.52 bitrate= 896.3kbits/s dup=1 drop=325 speed=1.08x    
frame=  359 fps= 17 q=27.0 size=    2598kB time=00:00:22.84 bitrate= 931.5kbits/s dup=1 drop=331 speed=1.07x    
frame=  368 fps= 17 q=27.0 size=    2645kB time=00:00:23.48 bitrate= 922.5kbits/s dup=1 drop=340 speed=1.08x    
frame=  377 fps= 17 q=27.0 size=    2689kB time=00:00:24.00 bitrate= 917.9kbits/s dup=1 drop=349 speed=1.07x    
frame=  385 fps= 17 q=27.0 size=    2728kB time=00:00:24.57 bitrate= 909.3kbits/s dup=1 drop=357 speed=1.07x    
frame=  394 fps= 17 q=27.0 size=    2766kB time=00:00:25.21 bitrate= 898.5kbits/s dup=1 drop=366 speed=1.08x    
frame=  403 fps= 17 q=27.0 size=    2817kB time=00:00:25.79 bitrate= 894.6kbits/s dup=1 drop=375 speed=1.08x    
frame=  412 fps= 17 q=27.0 size=    2864kB time=00:00:26.36 bitrate= 889.9kbits/s dup=1 drop=384 speed=1.08x    
frame=  420 fps= 17 q=27.0 size=    2899kB time=00:00:26.94 bitrate= 881.4kbits/s dup=1 drop=392 speed=1.08x    
frame=  426 fps= 17 q=27.0 size=    3034kB time=00:00:27.39 bitrate= 907.4kbits/s dup=1 drop=398 speed=1.07x    
frame=  435 fps= 17 q=27.0 size=    3078kB time=00:00:27.90 bitrate= 903.7kbits/s dup=1 drop=407 speed=1.07x    
frame=  443 fps= 17 q=27.0 size=    3130kB time=00:00:28.48 bitrate= 900.2kbits/s dup=1 drop=415 speed=1.07x    
frame=  453 fps= 17 q=27.0 size=    3186kB time=00:00:29.24 bitrate= 892.3kbits/s dup=1 drop=418 speed=1.08x    
frame=  463 fps= 17 q=27.0 size=    3243kB time=00:00:29.88 bitrate= 888.8kbits/s dup=1 drop=418 speed=1.08x    
frame=  473 fps= 17 q=27.0 size=    3288kB time=00:00:30.46 bitrate= 884.2kbits/s dup=1 drop=421 speed=1.08x    
frame=  481 fps= 17 q=27.0 size=    3426kB time=00:00:30.97 bitrate= 906.2kbits/s dup=1 drop=429 speed=1.08x    
frame=  490 fps= 17 q=27.0 size=    3472kB time=00:00:31.61 bitrate= 899.7kbits/s dup=1 drop=438 speed=1.08x    
frame=  499 fps= 17 q=27.0 size=    3516kB time=00:00:32.19 bitrate= 894.7kbits/s dup=1 drop=447 speed=1.08x    
frame=  507 fps= 17 q=27.0 size=    3560kB time=00:00:32.70 bitrate= 891.8kbits/s dup=1 drop=455 speed=1.08x    
frame=  516 fps= 17 q=27.0 size=    3619kB time=00:00:33.34 bitrate= 889.0kbits/s dup=1 drop=464 speed=1.08x    
frame=  523 fps= 17 q=27.0 size=    3669kB time=00:00:33.85 bitrate= 887.8kbits/s dup=1 drop=471 speed=1.08x    
frame=  531 fps= 17 q=27.0 size=    3723kB time=00:00:34.30 bitrate= 889.1kbits/s dup=1 drop=479 speed=1.07x    
frame=  539 fps= 17 q=27.0 size=    3774kB time=00:00:35.13 bitrate= 879.8kbits/s dup=1 drop=481 speed=1.08x    
frame=  548 fps= 17 q=27.0 size=    4016kB time=00:00:35.71 bitrate= 921.3kbits/s dup=1 drop=481 speed=1.08x    
frame=  554 fps= 16 q=27.0 size=    4146kB time=00:00:36.09 bitrate= 941.0kbits/s dup=1 drop=481 speed=1.07x    
frame=  565 fps= 16 q=27.0 size=    4203kB time=00:00:36.86 bitrate= 934.0kbits/s dup=2 drop=481 speed=1.08x    
frame=  574 fps= 16 q=27.0 size=    4278kB time=00:00:37.44 bitrate= 936.1kbits/s dup=2 drop=481 speed=1.07x    
frame=  582 fps= 16 q=27.0 size=    4401kB time=00:00:38.01 bitrate= 948.3kbits/s dup=2 drop=481 speed=1.07x    
frame=  590 fps= 16 q=27.0 size=    4486kB time=00:00:38.52 bitrate= 953.8kbits/s dup=2 drop=481 speed=1.07x    
frame=  598 fps= 16 q=27.0 size=    4583kB time=00:00:39.04 bitrate= 961.8kbits/s dup=2 drop=481 speed=1.06x    
frame=  606 fps= 16 q=27.0 size=    4663kB time=00:00:39.61 bitrate= 964.2kbits/s dup=2 drop=481 speed=1.06x    
frame=  615 fps= 16 q=27.0 size=    4722kB time=00:00:40.19 bitrate= 962.4kbits/s dup=2 drop=481 speed=1.06x    
frame=  622 fps= 16 q=27.0 size=    4791kB time=00:00:40.64 bitrate= 965.8kbits/s dup=2 drop=481 speed=1.06x    
frame=  631 fps= 16 q=27.0 size=    4869kB time=00:00:41.28 bitrate= 966.3kbits/s dup=2 drop=481 speed=1.06x    
frame=  640 fps= 16 q=27.0 size=    4935kB time=00:00:41.85 bitrate= 965.8kbits/s dup=2 drop=481 speed=1.06x    
frame=  648 fps= 16 q=27.0 size=    5124kB time=00:00:42.36 bitrate= 990.8kbits/s dup=2 drop=481 speed=1.05x    
frame=  659 fps= 16 q=27.0 size=    5173kB time=00:00:43.13 bitrate= 982.4kbits/s dup=2 drop=481 speed=1.06x    
frame=  669 fps= 16 q=27.0 size=    5229kB time=00:00:43.77 bitrate= 978.6kbits/s dup=2 drop=481 speed=1.06x    
frame=  678 fps= 16 q=27.0 size=    5299kB time=00:00:44.41 bitrate= 977.4kbits/s dup=2 drop=481 speed=1.06x    
frame=  688 fps= 16 q=27.0 size=    5364kB time=00:00:45.05 bitrate= 975.3kbits/s dup=2 drop=481 speed=1.06x    
frame=  698 fps= 16 q=27.0 size=    5419kB time=00:00:45.69 bitrate= 971.4kbits/s dup=2 drop=481 speed=1.07x    
frame=  708 fps= 16 q=27.0 size=    5600kB time=00:00:46.40 bitrate= 988.7kbits/s dup=2 drop=481 speed=1.06x    
frame=  718 fps= 16 q=27.0 size=    5661kB time=00:00:47.04 bitrate= 985.9kbits/s dup=2 drop=481 speed=1.07x    
frame=  728 fps= 16 q=27.0 size=    5741kB time=00:00:47.74 bitrate= 985.0kbits/s dup=2 drop=481 speed=1.07x    
frame=  738 fps= 16 q=27.0 size=    5803kB time=00:00:48.38 bitrate= 982.6kbits/s dup=2 drop=481 speed=1.07x    
frame=  747 fps= 16 q=27.0 size=    5852kB time=00:00:49.02 bitrate= 977.9kbits/s dup=2 drop=481 speed=1.07x    
frame=  756 fps= 16 q=27.0 size=    5918kB time=00:00:49.60 bitrate= 977.4kbits/s dup=2 drop=481 speed=1.07x    
frame=  767 fps= 16 q=27.0 size=    5965kB time=00:00:50.30 bitrate= 971.4kbits/s dup=2 drop=481 speed=1.07x    
frame=  774 fps= 16 q=27.0 size=    6142kB time=00:00:50.81 bitrate= 990.1kbits/s dup=2 drop=481 speed=1.07x    
frame=  784 fps= 16 q=27.0 size=    6201kB time=00:00:51.45 bitrate= 987.2kbits/s dup=2 drop=481 speed=1.07x    
frame=  793 fps= 16 q=27.0 size=    6263kB time=00:00:52.03 bitrate= 986.0kbits/s dup=2 drop=481 speed=1.07x    
frame=  803 fps= 16 q=27.0 size=    6584kB time=00:00:52.73 bitrate=1022.8kbits/s dup=2 drop=481 speed=1.07x    
frame=  813 fps= 16 q=27.0 size=    6639kB time=00:00:53.37 bitrate=1019.0kbits/s dup=2 drop=481 speed=1.08x    
frame=  824 fps= 16 q=27.0 size=    6682kB time=00:00:54.14 bitrate=1011.0kbits/s dup=2 drop=481 speed=1.08x    
frame=  830 fps= 16 q=27.0 size=    6840kB time=00:00:54.52 bitrate=1027.5kbits/s dup=2 drop=481 speed=1.08x    
frame=  840 fps= 16 q=27.0 size=    6909kB time=00:00:55.16 bitrate=1026.0kbits/s dup=2 drop=481 speed=1.08x    
frame=  850 fps= 16 q=27.0 size=    6963kB time=00:00:55.87 bitrate=1020.9kbits/s dup=2 drop=481 speed=1.08x    
frame=  860 fps= 16 q=27.0 size=    7023kB time=00:00:56.51 bitrate=1018.1kbits/s dup=2 drop=481 speed=1.08x    
frame=  870 fps= 16 q=27.0 size=    7093kB time=00:00:57.02 bitrate=1019.0kbits/s dup=2 drop=481 speed=1.08x    
frame=  879 fps= 16 q=27.0 size=    7133kB time=00:00:57.53 bitrate=1015.6kbits/s dup=2 drop=488 speed=1.08x    
frame=  887 fps= 16 q=27.0 size=    7173kB time=00:00:58.11 bitrate=1011.2kbits/s dup=2 drop=496 speed=1.08x    
frame=  893 fps= 16 q=27.0 size=    7327kB time=00:00:58.49 bitrate=1026.1kbits/s dup=2 drop=502 speed=1.08x    
frame=  901 fps= 16 q=27.0 size=    7391kB time=00:00:58.94 bitrate=1027.2kbits/s dup=2 drop=510 speed=1.07x    
frame=  908 fps= 16 q=27.0 size=    7436kB time=00:00:59.45 bitrate=1024.6kbits/s dup=2 drop=517 speed=1.07x    
frame=  917 fps= 16 q=27.0 size=    7480kB time=00:01:00.22 bitrate=1017.5kbits/s dup=2 drop=525 speed=1.08x    
frame=  927 fps= 16 q=27.0 size=    7509kB time=00:01:00.86 bitrate=1010.7kbits/s dup=2 drop=525 speed=1.08x    
frame=  933 fps= 16 q=27.0 size=    7656kB time=00:01:01.24 bitrate=1023.9kbits/s dup=2 drop=525 speed=1.08x    
frame=  942 fps= 16 q=27.0 size=    7719kB time=00:01:01.88 bitrate=1021.7kbits/s dup=2 drop=525 speed=1.08x    
frame=  952 fps= 16 q=27.0 size=    7786kB time=00:01:02.52 bitrate=1020.1kbits/s dup=2 drop=525 speed=1.08x    
frame=  961 fps= 16 q=27.0 size=    7851kB time=00:01:03.10 bitrate=1019.1kbits/s dup=2 drop=525 speed=1.08x    
frame=  966 fps= 16 q=27.0 size=    8003kB time=00:01:03.48 bitrate=1032.6kbits/s dup=2 drop=525 speed=1.07x    
frame=  978 fps= 16 q=27.0 size=    8057kB time=00:01:04.25 bitrate=1027.2kbits/s dup=2 drop=525 speed=1.08x    
frame=  989 fps= 16 q=27.0 size=    8106kB time=00:01:05.02 bitrate=1021.2kbits/s dup=2 drop=525 speed=1.08x    
frame= 1001 fps= 16 q=27.0 size=    8149kB time=00:01:05.79 bitrate=1014.6kbits/s dup=2 drop=525 speed=1.08x    
frame= 1013 fps= 17 q=27.0 size=    8198kB time=00:01:06.62 bitrate=1008.0kbits/s dup=2 drop=525 speed=1.09x    
frame= 1023 fps= 17 q=27.0 size=    8357kB time=00:01:07.26 bitrate=1017.8kbits/s dup=2 drop=525 speed=1.09x    
frame= 1035 fps= 17 q=27.0 size=    8417kB time=00:01:08.03 bitrate=1013.6kbits/s dup=2 drop=525 speed=1.09x    
frame= 1045 fps= 17 q=27.0 size=    8475kB time=00:01:08.73 bitrate=1010.0kbits/s dup=2 drop=525 speed=1.09x    
frame= 1057 fps= 17 q=27.0 size=    8752kB time=00:01:09.50 bitrate=1031.6kbits/s dup=2 drop=525 speed= 1.1x    
frame= 1070 fps= 17 q=27.0 size=    8792kB time=00:01:10.40 bitrate=1023.1kbits/s dup=2 drop=525 speed= 1.1x    
frame= 1083 fps= 17 q=27.0 size=    8818kB time=00:01:11.23 bitrate=1014.2kbits/s dup=2 drop=525 speed= 1.1x    
frame= 1092 fps= 17 q=27.0 size=    8954kB time=00:01:11.87 bitrate=1020.6kbits/s dup=2 drop=525 speed=1.11x    
frame= 1105 fps= 17 q=27.0 size=    8993kB time=00:01:12.70 bitrate=1013.2kbits/s dup=2 drop=525 speed=1.11x    
frame= 1119 fps= 17 q=27.0 size=    9025kB time=00:01:13.66 bitrate=1003.7kbits/s dup=2 drop=525 speed=1.11x    
frame= 1131 fps= 17 q=27.0 size=    9073kB time=00:01:14.43 bitrate= 998.6kbits/s dup=2 drop=525 speed=1.12x    
frame= 1142 fps= 17 q=27.0 size=    9124kB time=00:01:15.20 bitrate= 993.9kbits/s dup=2 drop=525 speed=1.12x    
frame= 1149 fps= 17 q=27.0 size=    9248kB time=00:01:15.64 bitrate=1001.5kbits/s dup=2 drop=525 speed=1.12x    
frame= 1161 fps= 17 q=27.0 size=    9302kB time=00:01:16.48 bitrate= 996.3kbits/s dup=2 drop=525 speed=1.12x    
frame= 1171 fps= 17 q=27.0 size=    9372kB time=00:01:17.12 bitrate= 995.5kbits/s dup=2 drop=525 speed=1.12x    
frame= 1181 fps= 17 q=27.0 size=    9418kB time=00:01:17.82 bitrate= 991.4kbits/s dup=2 drop=525 speed=1.12x    
frame= 1193 fps= 17 q=27.0 size=    9462kB time=00:01:18.59 bitrate= 986.3kbits/s dup=2 drop=525 speed=1.13x    
frame= 1204 fps= 17 q=27.0 size=    9497kB time=00:01:19.29 bitrate= 981.2kbits/s dup=2 drop=525 speed=1.13x    
frame= 1212 fps= 17 q=27.0 size=    9631kB time=00:01:19.87 bitrate= 987.8kbits/s dup=2 drop=525 speed=1.13x    
frame= 1222 fps= 17 q=27.0 size=    9693kB time=00:01:20.51 bitrate= 986.3kbits/s dup=2 drop=525 speed=1.13x    
frame= 1232 fps= 17 q=27.0 size=    9756kB time=00:01:21.21 bitrate= 984.0kbits/s dup=2 drop=525 speed=1.13x    
frame= 1244 fps= 17 q=27.0 size=    9819kB time=00:01:21.98 bitrate= 981.1kbits/s dup=2 drop=525 speed=1.13x    
frame= 1255 fps= 17 q=27.0 size=    9874kB time=00:01:22.75 bitrate= 977.4kbits/s dup=2 drop=525 speed=1.13x    
frame= 1264 fps= 17 q=27.0 size=   10029kB time=00:01:23.32 bitrate= 986.0kbits/s dup=2 drop=525 speed=1.13x    
frame= 1276 fps= 17 q=27.0 size=   10090kB time=00:01:24.09 bitrate= 982.8kbits/s dup=2 drop=525 speed=1.14x    
frame= 1287 fps= 17 q=27.0 size=   10151kB time=00:01:24.86 bitrate= 979.9kbits/s dup=2 drop=525 speed=1.14x    
frame= 1298 fps= 17 q=27.0 size=   10386kB time=00:01:25.56 bitrate= 994.3kbits/s dup=2 drop=525 speed=1.14x    
frame= 1311 fps= 17 q=27.0 size=   10443kB time=00:01:26.46 bitrate= 989.4kbits/s dup=2 drop=525 speed=1.14x    
frame= 1323 fps= 17 q=27.0 size=   10591kB time=00:01:27.23 bitrate= 994.6kbits/s dup=2 drop=525 speed=1.14x    
frame= 1335 fps= 17 q=27.0 size=   10642kB time=00:01:28.06 bitrate= 989.9kbits/s dup=2 drop=525 speed=1.15x    
frame= 1347 fps= 17 q=27.0 size=   10686kB time=00:01:28.83 bitrate= 985.4kbits/s dup=2 drop=525 speed=1.15x    
frame= 1360 fps= 17 q=27.0 size=   10720kB time=00:01:29.72 bitrate= 978.7kbits/s dup=2 drop=525 speed=1.15x    
frame= 1372 fps= 18 q=27.0 size=   10759kB time=00:01:30.49 bitrate= 974.0kbits/s dup=2 drop=525 speed=1.15x    
frame= 1383 fps= 17 q=27.0 size=   10911kB time=00:01:31.26 bitrate= 979.4kbits/s dup=2 drop=525 speed=1.15x    
frame= 1395 fps= 18 q=27.0 size=   10957kB time=00:01:32.03 bitrate= 975.3kbits/s dup=2 drop=525 speed=1.16x    
frame= 1407 fps= 18 q=27.0 size=   11003kB time=00:01:32.86 bitrate= 970.7kbits/s dup=2 drop=525 speed=1.16x    
frame= 1417 fps= 18 q=27.0 size=   11075kB time=00:01:33.50 bitrate= 970.3kbits/s dup=2 drop=525 speed=1.16x    
frame= 1428 fps= 18 q=27.0 size=   11129kB time=00:01:34.27 bitrate= 967.1kbits/s dup=2 drop=525 speed=1.16x    
frame= 1440 fps= 18 q=27.0 size=   11189kB time=00:01:35.04 bitrate= 964.5kbits/s dup=2 drop=525 speed=1.16x    
frame= 1448 fps= 18 q=27.0 size=   11338kB time=00:01:35.61 bitrate= 971.4kbits/s dup=2 drop=525 speed=1.16x    
frame= 1460 fps= 18 q=27.0 size=   11387kB time=00:01:36.38 bitrate= 967.8kbits/s dup=2 drop=525 speed=1.16x    
frame= 1472 fps= 18 q=27.0 size=   11438kB time=00:01:37.21 bitrate= 963.9kbits/s dup=2 drop=525 speed=1.17x    
frame= 1484 fps= 18 q=27.0 size=   11483kB time=00:01:37.98 bitrate= 960.0kbits/s dup=2 drop=525 speed=1.17x    
frame= 1497 fps= 18 q=27.0 size=   11523kB time=00:01:38.88 bitrate= 954.6kbits/s dup=2 drop=525 speed=1.17x    
frame= 1506 fps= 18 q=27.0 size=   11667kB time=00:01:39.45 bitrate= 961.0kbits/s dup=2 drop=525 speed=1.17x    
frame= 1518 fps= 18 q=27.0 size=   11706kB time=00:01:40.28 bitrate= 956.2kbits/s dup=2 drop=525 speed=1.17x    
frame= 1531 fps= 18 q=27.0 size=   11749kB time=00:01:41.12 bitrate= 951.8kbits/s dup=2 drop=525 speed=1.18x    
frame= 1543 fps= 18 q=27.0 size=   11780kB time=00:01:41.95 bitrate= 946.5kbits/s dup=2 drop=525 speed=1.18x    
frame= 1555 fps= 18 q=27.0 size=   12036kB time=00:01:42.72 bitrate= 959.9kbits/s dup=2 drop=525 speed=1.18x    
frame= 1565 fps= 18 q=27.0 size=   12179kB time=00:01:43.42 bitrate= 964.7kbits/s dup=2 drop=525 speed=1.18x    
frame= 1577 fps= 18 q=27.0 size=   12223kB time=00:01:44.19 bitrate= 961.0kbits/s dup=2 drop=525 speed=1.18x    
frame= 1589 fps= 18 q=27.0 size=   12274kB time=00:01:45.02 bitrate= 957.4kbits/s dup=2 drop=525 speed=1.18x    
frame= 1601 fps= 18 q=27.0 size=   12315kB time=00:01:45.79 bitrate= 953.6kbits/s dup=2 drop=525 speed=1.19x    
