ffmpeg version 3.1.7 Copyright (c) 2000-2017 the FFmpeg developers
  built with gcc 5.4.0 (GCC)
  configuration: --disable-static --prefix=/cvmfs/soft.computecanada.ca/nix/store/n7qiyrcpyixibg8mijm826nb3hdb23j1-ffmpeg-3.1.7 --enable-gpl --enable-version3 --enable-shared --disable-static --enable-pic --enable-runtime-cpudetect --enable-hardcoded-tables --enable-pthreads --disable-w32threads --disable-os2threads --enable-network --enable-pixelutils --enable-ffmpeg --disable-ffplay --enable-ffprobe --disable-ffserver --enable-avcodec --enable-avdevice --enable-avfilter --enable-avformat --enable-avresample --enable-avutil --enable-postproc --enable-swresample --enable-swscale --disable-doc --enable-bzlib --enable-gnutls --enable-fontconfig --enable-libfreetype --enable-libmp3lame --enable-iconv --enable-libtheora --enable-vaapi --enable-vdpau --enable-libvorbis --enable-libvpx --enable-lzma --disable-opengl --enable-libpulse --enable-sdl --enable-libsoxr --enable-libx264 --enable-libxvid --enable-zlib --enable-libopus --enable-libx265 --disable-debug --enable-optimizations --disable-extra-warnings --disable-stripping
  libavutil      55. 28.100 / 55. 28.100
  libavcodec     57. 48.101 / 57. 48.101
  libavformat    57. 41.100 / 57. 41.100
  libavdevice    57.  0.101 / 57.  0.101
  libavfilter     6. 47.100 /  6. 47.100
  libavresample   3.  0.  0 /  3.  0.  0
  libswscale      4.  1.100 /  4.  1.100
  libswresample   2.  1.100 /  2.  1.100
  libpostproc    54.  0.100 / 54.  0.100
Input #0, mov,mp4,m4a,3gp,3g2,mj2, from '/project/6001934/lingheng/ROM_Video_Process/ROM_raw_videos/Sep_27/Camera2_Sep_27_1300_1400_Prescribed_behavior.mp4':
  Metadata:
    major_brand     : isom
    minor_version   : 1
    compatible_brands: isom
    creation_time   : 2018-09-28 01:33:43
  Duration: 01:00:01.86, start: 0.000000, bitrate: 598 kb/s
    Stream #0:0(und): Video: h264 (Main) (avc1 / 0x31637661), yuvj420p(pc, bt709), 1920x1080 [SAR 1:1 DAR 16:9], 579 kb/s, 18.83 fps, 30 tbr, 16k tbn, 60 tbc (default)
    Metadata:
      handler_name    : VideoHandler
    Stream #0:1(und): Audio: aac (LC) (mp4a / 0x6134706D), 16000 Hz, mono, fltp, 16 kb/s (default)
    Metadata:
      creation_time   : 2018-09-28 01:33:46
      handler_name    : GPAC ISO Audio Handler
    Stream #0:2(eng): Subtitle: mov_text (tx3g / 0x67337874), 800x60, 0 kb/s (default)
    Metadata:
      rotate          : 0
      creation_time   : 2018-09-28 01:33:46
      handler_name    : ba304a2f79c34d9ca82101bda54996c3.subtitles.ttxt:hdlr=sbtl:lang=en:group=2:layer=1 - Imported with GPAC 0.5.0-rev4065
Input #1, png_pipe, from '/project/6001934/lingheng/ROM_Video_Process/Openpose_Video_Analysis_Code/camera2_transparent_img.png':
  Duration: N/A, bitrate: N/A
    Stream #1:0: Video: png, rgba(pc), 1920x1080, 25 tbr, 25 tbn, 25 tbc
[swscaler @ 0xe92ac0] deprecated pixel format used, make sure you did set range correctly
[libx264 @ 0xcfe7c0] using SAR=1/1
[libx264 @ 0xcfe7c0] using cpu capabilities: MMX2 SSE2Fast SSSE3 SSE4.2 AVX FMA3 AVX2 LZCNT BMI2
[libx264 @ 0xcfe7c0] profile High, level 4.0
[libx264 @ 0xcfe7c0] 264 - core 148 - H.264/MPEG-4 AVC codec - Copyleft 2003-2016 - http://www.videolan.org/x264.html - options: cabac=1 ref=3 deblock=1:0:0 analyse=0x3:0x113 me=hex subme=7 psy=1 psy_rd=1.00:0.00 mixed_ref=1 me_range=16 chroma_me=1 trellis=1 8x8dct=1 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=-2 threads=3 lookahead_threads=1 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=crf mbtree=1 crf=23.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
[mp4 @ 0xcc3d40] Using AVStream.codec to pass codec parameters to muxers is deprecated, use AVStream.codecpar instead.
    Last message repeated 1 times
Output #0, mp4, to '/project/6001934/lingheng/ROM_Video_Process/ROM_raw_videos_with_interst_area_ffmpeg_new3/Sep_27/Camera2_Sep_27_1300_1400_Prescribed_behavior_ffmpeg_with_interest_area.mp4':
  Metadata:
    major_brand     : isom
    minor_version   : 1
    compatible_brands: isom
    encoder         : Lavf57.41.100
    Stream #0:0: Video: h264 (libx264) ([33][0][0][0] / 0x0021), yuv420p, 1920x1080 [SAR 1:1 DAR 16:9], q=-1--1, 30 fps, 15360 tbn, 30 tbc (default)
    Metadata:
      encoder         : Lavc57.48.101 libx264
    Side data:
      cpb: bitrate max/min/avg: 0/0/0 buffer size: 0 vbv_delay: -1
    Stream #0:1(und): Audio: aac (LC) ([64][0][0][0] / 0x0040), 16000 Hz, mono, 16 kb/s (default)
    Metadata:
      creation_time   : 2018-09-28 01:33:46
      handler_name    : GPAC ISO Audio Handler
Stream mapping:
  Stream #0:0 (h264) -> overlay:main
  Stream #1:0 (png) -> overlay:overlay
  overlay -> Stream #0:0 (libx264)
  Stream #0:1 -> #0:1 (copy)
Press [q] to stop, [?] for help
frame=   19 fps=0.0 q=0.0 size=       0kB time=00:00:00.51 bitrate=   0.8kbits/s speed=1.02x    
frame=   44 fps= 43 q=0.0 size=       0kB time=00:00:00.96 bitrate=   0.4kbits/s speed=0.939x    
frame=   53 fps= 34 q=29.0 size=     186kB time=00:00:01.40 bitrate=1083.4kbits/s speed=0.896x    
frame=   64 fps= 31 q=29.0 size=     218kB time=00:00:01.85 bitrate= 960.1kbits/s speed=0.887x    
frame=   77 fps= 29 q=29.0 size=     271kB time=00:00:02.30 bitrate= 962.7kbits/s speed=0.877x    
frame=   88 fps= 28 q=29.0 size=     305kB time=00:00:02.30 bitrate=1084.5kbits/s speed=0.728x    
frame=   99 fps= 27 q=29.0 size=     352kB time=00:00:02.75 bitrate=1046.9kbits/s speed=0.75x    
frame=  110 fps= 26 q=29.0 size=     404kB time=00:00:03.20 bitrate=1034.3kbits/s speed=0.758x    
frame=  121 fps= 25 q=29.0 size=     454kB time=00:00:03.64 bitrate=1018.6kbits/s speed=0.766x    
frame=  133 fps= 25 q=29.0 size=     500kB time=00:00:03.64 bitrate=1122.7kbits/s speed=0.689x    
frame=  144 fps= 25 q=29.0 size=     533kB time=00:00:04.09 bitrate=1066.1kbits/s speed=0.705x    
frame=  156 fps= 25 q=29.0 size=     573kB time=00:00:04.54 bitrate=1033.2kbits/s speed=0.72x    
frame=  166 fps= 24 q=29.0 size=     702kB time=00:00:04.99 bitrate=1151.6kbits/s speed=0.719x    
frame=  178 fps= 24 q=29.0 size=     740kB time=00:00:05.05 bitrate=1198.7kbits/s speed=0.677x    
frame=  192 fps= 24 q=29.0 size=     779kB time=00:00:05.44 bitrate=1173.0kbits/s speed=0.68x    
frame=  204 fps= 24 q=29.0 size=     820kB time=00:00:05.88 bitrate=1141.0kbits/s speed=0.691x    
frame=  216 fps= 24 q=29.0 size=     857kB time=00:00:06.33 bitrate=1108.6kbits/s speed=0.703x    
frame=  228 fps= 24 q=29.0 size=     896kB time=00:00:06.78 bitrate=1082.3kbits/s speed=0.711x    
frame=  238 fps= 24 q=29.0 size=     932kB time=00:00:07.04 bitrate=1085.1kbits/s speed=0.701x    
frame=  251 fps= 24 q=29.0 size=     973kB time=00:00:07.42 bitrate=1073.6kbits/s speed=0.703x    
frame=  263 fps= 24 q=29.0 size=    1008kB time=00:00:07.80 bitrate=1057.4kbits/s speed=0.705x    
frame=  274 fps= 24 q=29.0 size=    1041kB time=00:00:08.25 bitrate=1033.3kbits/s speed=0.713x    
frame=  286 fps= 23 q=29.0 size=    1165kB time=00:00:08.57 bitrate=1113.2kbits/s speed=0.701x    
frame=  299 fps= 23 q=29.0 size=    1395kB time=00:00:09.02 bitrate=1266.3kbits/s speed=0.706x    
frame=  313 fps= 24 q=29.0 size=    1430kB time=00:00:09.47 bitrate=1237.1kbits/s speed=0.713x    
frame=  326 fps= 24 q=29.0 size=    1461kB time=00:00:09.92 bitrate=1206.5kbits/s speed=0.719x    
frame=  338 fps= 24 q=29.0 size=    1489kB time=00:00:10.36 bitrate=1176.2kbits/s speed=0.722x    
frame=  351 fps= 24 q=29.0 size=    1518kB time=00:00:10.81 bitrate=1149.4kbits/s speed=0.728x    
frame=  365 fps= 24 q=29.0 size=    1552kB time=00:00:11.20 bitrate=1134.8kbits/s speed=0.727x    
frame=  378 fps= 24 q=29.0 size=    1581kB time=00:00:11.64 bitrate=1111.6kbits/s speed=0.731x    
frame=  390 fps= 24 q=29.0 size=    1616kB time=00:00:12.03 bitrate=1100.0kbits/s speed=0.733x    
frame=  401 fps= 24 q=29.0 size=    1648kB time=00:00:12.48 bitrate=1081.6kbits/s speed=0.735x    
frame=  409 fps= 23 q=29.0 size=    1757kB time=00:00:12.73 bitrate=1129.8kbits/s speed=0.727x    
frame=  422 fps= 23 q=29.0 size=    1790kB time=00:00:13.18 bitrate=1112.4kbits/s speed=0.731x    
frame=  434 fps= 23 q=29.0 size=    1832kB time=00:00:13.56 bitrate=1106.1kbits/s speed=0.73x    
frame=  447 fps= 23 q=29.0 size=    1870kB time=00:00:13.95 bitrate=1098.1kbits/s speed=0.731x    
frame=  459 fps= 23 q=29.0 size=    1905kB time=00:00:14.40 bitrate=1083.6kbits/s speed=0.734x    
frame=  472 fps= 23 q=29.0 size=    1940kB time=00:00:14.78 bitrate=1074.7kbits/s speed=0.734x    
frame=  484 fps= 23 q=29.0 size=    1973kB time=00:00:15.16 bitrate=1065.6kbits/s speed=0.734x    
frame=  497 fps= 23 q=29.0 size=    2017kB time=00:00:15.68 bitrate=1053.9kbits/s speed=0.739x    
frame=  509 fps= 23 q=29.0 size=    2051kB time=00:00:16.06 bitrate=1046.1kbits/s speed=0.739x    
frame=  522 fps= 23 q=29.0 size=    2084kB time=00:00:16.51 bitrate=1034.1kbits/s speed=0.741x    
frame=  530 fps= 23 q=29.0 size=    2200kB time=00:00:16.76 bitrate=1075.0kbits/s speed=0.736x    
frame=  543 fps= 23 q=29.0 size=    2239kB time=00:00:17.15 bitrate=1069.5kbits/s speed=0.736x    
frame=  555 fps= 23 q=29.0 size=    2478kB time=00:00:17.60 bitrate=1153.5kbits/s speed=0.739x    
frame=  570 fps= 23 q=29.0 size=    2519kB time=00:00:18.04 bitrate=1143.6kbits/s speed=0.741x    
frame=  582 fps= 23 q=29.0 size=    2553kB time=00:00:18.49 bitrate=1130.8kbits/s speed=0.743x    
frame=  597 fps= 23 q=29.0 size=    2598kB time=00:00:18.94 bitrate=1123.6kbits/s speed=0.744x    
frame=  608 fps= 23 q=29.0 size=    2623kB time=00:00:19.39 bitrate=1108.0kbits/s speed=0.747x    
frame=  622 fps= 23 q=29.0 size=    2668kB time=00:00:19.77 bitrate=1105.3kbits/s speed=0.746x    
frame=  635 fps= 23 q=29.0 size=    2698kB time=00:00:20.22 bitrate=1093.0kbits/s speed=0.747x    
frame=  647 fps= 23 q=29.0 size=    2824kB time=00:00:20.67 bitrate=1119.0kbits/s speed=0.745x    
frame=  660 fps= 23 q=29.0 size=    2855kB time=00:00:21.12 bitrate=1107.6kbits/s speed=0.747x    
frame=  672 fps= 23 q=29.0 size=    2890kB time=00:00:21.50 bitrate=1101.1kbits/s speed=0.747x    
frame=  685 fps= 23 q=29.0 size=    2937kB time=00:00:21.88 bitrate=1099.2kbits/s speed=0.746x    
frame=  695 fps= 23 q=29.0 size=    2979kB time=00:00:22.27 bitrate=1095.6kbits/s speed=0.746x    
frame=  708 fps= 23 q=29.0 size=    3021kB time=00:00:22.65 bitrate=1092.5kbits/s speed=0.746x    
frame=  718 fps= 23 q=29.0 size=    3069kB time=00:00:22.97 bitrate=1094.3kbits/s speed=0.744x    
frame=  729 fps= 23 q=29.0 size=    3117kB time=00:00:23.36 bitrate=1093.0kbits/s speed=0.744x    
frame=  739 fps= 23 q=29.0 size=    3154kB time=00:00:23.68 bitrate=1091.0kbits/s speed=0.742x    
frame=  749 fps= 23 q=29.0 size=    3198kB time=00:00:24.06 bitrate=1088.6kbits/s speed=0.741x    
frame=  760 fps= 23 q=29.0 size=    3231kB time=00:00:24.44 bitrate=1082.8kbits/s speed=0.742x    
frame=  768 fps= 23 q=29.0 size=    3356kB time=00:00:24.70 bitrate=1112.8kbits/s speed=0.737x    
frame=  781 fps= 23 q=29.0 size=    3412kB time=00:00:25.08 bitrate=1114.3kbits/s speed=0.737x    
frame=  793 fps= 23 q=29.0 size=    3460kB time=00:00:25.47 bitrate=1112.8kbits/s speed=0.735x    
frame=  804 fps= 23 q=29.0 size=    3707kB time=00:00:25.92 bitrate=1171.7kbits/s speed=0.737x    
frame=  816 fps= 23 q=29.0 size=    3746kB time=00:00:26.30 bitrate=1166.7kbits/s speed=0.737x    
frame=  829 fps= 23 q=29.0 size=    3790kB time=00:00:26.68 bitrate=1163.4kbits/s speed=0.737x    
frame=  841 fps= 23 q=29.0 size=    3826kB time=00:00:27.07 bitrate=1157.7kbits/s speed=0.737x    
frame=  852 fps= 23 q=29.0 size=    3860kB time=00:00:27.52 bitrate=1149.1kbits/s speed=0.739x    
frame=  866 fps= 23 q=29.0 size=    3899kB time=00:00:27.90 bitrate=1144.5kbits/s speed=0.739x    
frame=  879 fps= 23 q=29.0 size=    3937kB time=00:00:28.35 bitrate=1137.6kbits/s speed=0.741x    
frame=  887 fps= 23 q=29.0 size=    4054kB time=00:00:28.67 bitrate=1158.3kbits/s speed=0.738x    
frame=  900 fps= 23 q=29.0 size=    4095kB time=00:00:29.12 bitrate=1151.9kbits/s speed=0.739x    
frame=  914 fps= 23 q=29.0 size=    4132kB time=00:00:29.50 bitrate=1147.2kbits/s speed=0.74x    
frame=  927 fps= 23 q=29.0 size=    4175kB time=00:00:29.95 bitrate=1141.8kbits/s speed=0.741x    
frame=  939 fps= 23 q=29.0 size=    4207kB time=00:00:30.40 bitrate=1133.7kbits/s speed=0.742x    
frame=  952 fps= 23 q=29.0 size=    4237kB time=00:00:30.84 bitrate=1125.1kbits/s speed=0.743x    
frame=  966 fps= 23 q=29.0 size=    4268kB time=00:00:31.23 bitrate=1119.5kbits/s speed=0.743x    
frame=  977 fps= 23 q=29.0 size=    4295kB time=00:00:31.68 bitrate=1110.6kbits/s speed=0.744x    
frame=  992 fps= 23 q=29.0 size=    4329kB time=00:00:32.12 bitrate=1103.7kbits/s speed=0.745x    
frame= 1004 fps= 23 q=29.0 size=    4357kB time=00:00:32.51 bitrate=1097.8kbits/s speed=0.745x    
frame= 1012 fps= 23 q=29.0 size=    4469kB time=00:00:32.76 bitrate=1117.2kbits/s speed=0.742x    
frame= 1025 fps= 23 q=29.0 size=    4502kB time=00:00:33.21 bitrate=1110.4kbits/s speed=0.744x    
frame= 1038 fps= 23 q=29.0 size=    4533kB time=00:00:33.72 bitrate=1100.9kbits/s speed=0.746x    
frame= 1052 fps= 23 q=29.0 size=    4774kB time=00:00:34.11 bitrate=1146.5kbits/s speed=0.746x    
frame= 1065 fps= 23 q=29.0 size=    4808kB time=00:00:34.62 bitrate=1137.6kbits/s speed=0.748x    
frame= 1079 fps= 23 q=29.0 size=    4846kB time=00:00:35.00 bitrate=1133.9kbits/s speed=0.748x    
frame= 1092 fps= 23 q=29.0 size=    4882kB time=00:00:35.45 bitrate=1127.9kbits/s speed=0.749x    
frame= 1104 fps= 23 q=29.0 size=    4909kB time=00:00:35.90 bitrate=1120.2kbits/s speed=0.75x    
frame= 1119 fps= 23 q=29.0 size=    4938kB time=00:00:36.35 bitrate=1112.7kbits/s speed=0.751x    
frame= 1127 fps= 23 q=29.0 size=    5047kB time=00:00:36.67 bitrate=1127.4kbits/s speed=0.749x    
frame= 1140 fps= 23 q=29.0 size=    5082kB time=00:00:37.12 bitrate=1121.7kbits/s speed=0.751x    
frame= 1152 fps= 23 q=29.0 size=    5118kB time=00:00:37.50 bitrate=1118.0kbits/s speed=0.75x    
frame= 1165 fps= 23 q=29.0 size=    5154kB time=00:00:37.95 bitrate=1112.5kbits/s speed=0.751x    
frame= 1179 fps= 23 q=29.0 size=    5193kB time=00:00:38.33 bitrate=1109.6kbits/s speed=0.751x    
frame= 1190 fps= 23 q=29.0 size=    5219kB time=00:00:38.78 bitrate=1102.5kbits/s speed=0.753x    
frame= 1202 fps= 23 q=29.0 size=    5250kB time=00:00:39.16 bitrate=1098.0kbits/s speed=0.752x    
frame= 1215 fps= 23 q=29.0 size=    5283kB time=00:00:39.61 bitrate=1092.4kbits/s speed=0.753x    
frame= 1229 fps= 23 q=29.0 size=    5326kB time=00:00:40.00 bitrate=1090.7kbits/s speed=0.753x    
frame= 1240 fps= 23 q=29.0 size=    5356kB time=00:00:40.44 bitrate=1084.8kbits/s speed=0.753x    
frame= 1248 fps= 23 q=29.0 size=    5464kB time=00:00:40.64 bitrate=1101.4kbits/s speed=0.749x    
frame= 1261 fps= 23 q=29.0 size=    5502kB time=00:00:41.08 bitrate=1097.0kbits/s speed=0.75x    
frame= 1273 fps= 23 q=29.0 size=    5535kB time=00:00:41.53 bitrate=1091.6kbits/s speed=0.751x    
frame= 1286 fps= 23 q=29.0 size=    5569kB time=00:00:41.98 bitrate=1086.7kbits/s speed=0.752x    
frame= 1298 fps= 23 q=29.0 size=    5810kB time=00:00:42.36 bitrate=1123.3kbits/s speed=0.752x    
frame= 1313 fps= 23 q=29.0 size=    5853kB time=00:00:42.81 bitrate=1119.9kbits/s speed=0.752x    
frame= 1325 fps= 23 q=29.0 size=    5883kB time=00:00:43.20 bitrate=1115.7kbits/s speed=0.752x    
frame= 1338 fps= 23 q=29.0 size=    5915kB time=00:00:43.64 bitrate=1110.2kbits/s speed=0.753x    
frame= 1350 fps= 23 q=29.0 size=    5947kB time=00:00:44.09 bitrate=1104.8kbits/s speed=0.754x    
frame= 1363 fps= 23 q=29.0 size=    5978kB time=00:00:44.54 bitrate=1099.4kbits/s speed=0.755x    
frame= 1371 fps= 23 q=29.0 size=    6092kB time=00:00:44.80 bitrate=1113.9kbits/s speed=0.752x    
frame= 1386 fps= 23 q=29.0 size=    6134kB time=00:00:45.24 bitrate=1110.6kbits/s speed=0.752x    
frame= 1398 fps= 23 q=29.0 size=    6164kB time=00:00:45.69 bitrate=1105.0kbits/s speed=0.753x    
frame= 1411 fps= 23 q=29.0 size=    6199kB time=00:00:46.08 bitrate=1102.0kbits/s speed=0.753x    
frame= 1424 fps= 23 q=29.0 size=    6235kB time=00:00:46.52 bitrate=1097.8kbits/s speed=0.753x    
frame= 1436 fps= 23 q=29.0 size=    6271kB time=00:00:46.91 bitrate=1095.1kbits/s speed=0.753x    
frame= 1446 fps= 23 q=29.0 size=    6305kB time=00:00:47.29 bitrate=1092.1kbits/s speed=0.753x    
frame= 1459 fps= 23 q=29.0 size=    6346kB time=00:00:47.68 bitrate=1090.4kbits/s speed=0.753x    
frame= 1469 fps= 23 q=29.0 size=    6386kB time=00:00:48.06 bitrate=1088.3kbits/s speed=0.753x    
frame= 1482 fps= 23 q=29.0 size=    6422kB time=00:00:48.57 bitrate=1083.0kbits/s dup=6 drop=0 speed=0.755x    
frame= 1492 fps= 23 q=29.0 size=    6537kB time=00:00:48.89 bitrate=1095.2kbits/s dup=11 drop=0 speed=0.753x    
frame= 1506 fps= 23 q=29.0 size=    6590kB time=00:00:49.40 bitrate=1092.6kbits/s dup=18 drop=0 speed=0.755x    
frame= 1520 fps= 23 q=29.0 size=    6661kB time=00:00:49.85 bitrate=1094.6kbits/s dup=25 drop=0 speed=0.755x    
frame= 1534 fps= 23 q=29.0 size=    6713kB time=00:00:50.30 bitrate=1093.2kbits/s dup=32 drop=0 speed=0.755x    
frame= 1546 fps= 23 q=26.0 size=    6754kB time=00:00:50.75 bitrate=1090.2kbits/s dup=38 drop=0 speed=0.756x    
frame= 1558 fps= 23 q=29.0 size=    7020kB time=00:00:51.13 bitrate=1124.5kbits/s dup=44 drop=0 speed=0.756x    
frame= 1570 fps= 23 q=29.0 size=    7063kB time=00:00:51.52 bitrate=1123.1kbits/s dup=50 drop=0 speed=0.756x    
frame= 1582 fps= 23 q=29.0 size=    7109kB time=00:00:51.90 bitrate=1122.0kbits/s dup=56 drop=0 speed=0.756x    
frame= 1596 fps= 23 q=29.0 size=    7156kB time=00:00:52.41 bitrate=1118.4kbits/s dup=63 drop=0 speed=0.758x    
frame= 1610 fps= 23 q=29.0 size=    7211kB time=00:00:52.86 bitrate=1117.4kbits/s dup=70 drop=0 speed=0.757x    
frame= 1622 fps= 23 q=29.0 size=    7258kB time=00:00:53.24 bitrate=1116.6kbits/s dup=76 drop=0 speed=0.757x    
frame= 1634 fps= 23 q=29.0 size=    7302kB time=00:00:53.63 bitrate=1115.3kbits/s dup=82 drop=0 speed=0.757x    
frame= 1646 fps= 23 q=29.0 size=    7348kB time=00:00:54.08 bitrate=1113.1kbits/s dup=88 drop=0 speed=0.758x    
frame= 1658 fps= 23 q=29.0 size=    7390kB time=00:00:54.46 bitrate=1111.6kbits/s dup=94 drop=0 speed=0.758x    
frame= 1670 fps= 23 q=29.0 size=    7441kB time=00:00:54.84 bitrate=1111.3kbits/s dup=100 drop=0 speed=0.757x    
frame= 1682 fps= 23 q=29.0 size=    7487kB time=00:00:55.23 bitrate=1110.4kbits/s dup=106 drop=0 speed=0.757x    
frame= 1694 fps= 23 q=29.0 size=    7519kB time=00:00:55.68 bitrate=1106.2kbits/s dup=112 drop=0 speed=0.758x    
frame= 1706 fps= 23 q=29.0 size=    7645kB time=00:00:56.06 bitrate=1117.1kbits/s dup=118 drop=0 speed=0.757x    
frame= 1720 fps= 23 q=29.0 size=    7692kB time=00:00:56.51 bitrate=1115.1kbits/s dup=125 drop=0 speed=0.757x    
frame= 1732 fps= 23 q=29.0 size=    7734kB time=00:00:56.89 bitrate=1113.5kbits/s dup=131 drop=0 speed=0.757x    
frame= 1744 fps= 23 q=29.0 size=    7778kB time=00:00:57.34 bitrate=1111.1kbits/s dup=137 drop=0 speed=0.758x    
frame= 1756 fps= 23 q=29.0 size=    7825kB time=00:00:57.72 bitrate=1110.4kbits/s dup=143 drop=0 speed=0.758x    
frame= 1768 fps= 23 q=29.0 size=    7873kB time=00:00:58.11 bitrate=1109.8kbits/s dup=149 drop=0 speed=0.757x    
frame= 1780 fps= 23 q=29.0 size=    7929kB time=00:00:58.49 bitrate=1110.5kbits/s dup=155 drop=0 speed=0.757x    
frame= 1792 fps= 23 q=29.0 size=    7978kB time=00:00:58.94 bitrate=1108.8kbits/s dup=161 drop=0 speed=0.757x    
frame= 1806 fps= 23 q=29.0 size=    8218kB time=00:00:59.39 bitrate=1133.5kbits/s dup=168 drop=0 speed=0.757x    
frame= 1816 fps= 23 q=29.0 size=    8353kB time=00:00:59.71 bitrate=1146.0kbits/s dup=173 drop=0 speed=0.755x    
frame= 1830 fps= 23 q=29.0 size=    8388kB time=00:01:00.22 bitrate=1141.0kbits/s dup=180 drop=0 speed=0.757x    
frame= 1844 fps= 23 q=29.0 size=    8440kB time=00:01:00.67 bitrate=1139.5kbits/s dup=187 drop=0 speed=0.757x    
frame= 1858 fps= 23 q=29.0 size=    8482kB time=00:01:01.12 bitrate=1136.9kbits/s dup=194 drop=0 speed=0.757x    
frame= 1872 fps= 23 q=29.0 size=    8526kB time=00:01:01.56 bitrate=1134.4kbits/s dup=201 drop=0 speed=0.757x    
frame= 1886 fps= 23 q=29.0 size=    8564kB time=00:01:02.08 bitrate=1130.1kbits/s dup=208 drop=0 speed=0.758x    
frame= 1898 fps= 23 q=29.0 size=    8603kB time=00:01:02.46 bitrate=1128.2kbits/s dup=214 drop=0 speed=0.758x    
frame= 1912 fps= 23 q=29.0 size=    8653kB time=00:01:02.91 bitrate=1126.8kbits/s dup=221 drop=0 speed=0.759x    
frame= 1926 fps= 23 q=29.0 size=    8688kB time=00:01:03.42 bitrate=1122.1kbits/s dup=228 drop=0 speed=0.76x    
frame= 1936 fps= 23 q=29.0 size=    8817kB time=00:01:03.74 bitrate=1133.1kbits/s dup=233 drop=0 speed=0.759x    
frame= 1950 fps= 23 q=29.0 size=    8850kB time=00:01:04.19 bitrate=1129.4kbits/s dup=240 drop=0 speed=0.759x    
frame= 1964 fps= 23 q=29.0 size=    8899kB time=00:01:04.64 bitrate=1127.8kbits/s dup=247 drop=0 speed=0.759x    
frame= 1978 fps= 23 q=29.0 size=    8940kB time=00:01:05.15 bitrate=1124.1kbits/s dup=254 drop=0 speed=0.76x    
frame= 1992 fps= 23 q=29.0 size=    8988kB time=00:01:05.60 bitrate=1122.4kbits/s dup=261 drop=0 speed=0.76x    
frame= 2004 fps= 23 q=29.0 size=    9028kB time=00:01:05.98 bitrate=1120.8kbits/s dup=267 drop=0 speed=0.76x    
frame= 2016 fps= 23 q=29.0 size=    9068kB time=00:01:06.36 bitrate=1119.3kbits/s dup=273 drop=0 speed=0.76x    
