ffmpeg version 3.1.7 Copyright (c) 2000-2017 the FFmpeg developers
  built with gcc 5.4.0 (GCC)
  configuration: --disable-static --prefix=/cvmfs/soft.computecanada.ca/nix/store/n7qiyrcpyixibg8mijm826nb3hdb23j1-ffmpeg-3.1.7 --enable-gpl --enable-version3 --enable-shared --disable-static --enable-pic --enable-runtime-cpudetect --enable-hardcoded-tables --enable-pthreads --disable-w32threads --disable-os2threads --enable-network --enable-pixelutils --enable-ffmpeg --disable-ffplay --enable-ffprobe --disable-ffserver --enable-avcodec --enable-avdevice --enable-avfilter --enable-avformat --enable-avresample --enable-avutil --enable-postproc --enable-swresample --enable-swscale --disable-doc --enable-bzlib --enable-gnutls --enable-fontconfig --enable-libfreetype --enable-libmp3lame --enable-iconv --enable-libtheora --enable-vaapi --enable-vdpau --enable-libvorbis --enable-libvpx --enable-lzma --disable-opengl --enable-libpulse --enable-sdl --enable-libsoxr --enable-libx264 --enable-libxvid --enable-zlib --enable-libopus --enable-libx265 --disable-debug --enable-optimizations --disable-extra-warnings --disable-stripping
  libavutil      55. 28.100 / 55. 28.100
  libavcodec     57. 48.101 / 57. 48.101
  libavformat    57. 41.100 / 57. 41.100
  libavdevice    57.  0.101 / 57.  0.101
  libavfilter     6. 47.100 /  6. 47.100
  libavresample   3.  0.  0 /  3.  0.  0
  libswscale      4.  1.100 /  4.  1.100
  libswresample   2.  1.100 /  2.  1.100
  libpostproc    54.  0.100 / 54.  0.100
Input #0, mov,mp4,m4a,3gp,3g2,mj2, from '/project/6001934/lingheng/ROM_Video_Process/ROM_raw_videos/Sep_27/Camera2_Sep_27_1400_1500_Parameterized_Learning_Agent.mp4':
  Metadata:
    major_brand     : isom
    minor_version   : 1
    compatible_brands: isom
    creation_time   : 2018-09-28 01:36:29
  Duration: 00:59:59.94, start: 0.000000, bitrate: 611 kb/s
    Stream #0:0(und): Video: h264 (Main) (avc1 / 0x31637661), yuvj420p(pc, bt709), 1920x1080 [SAR 1:1 DAR 16:9], 592 kb/s, 19.59 fps, 15 tbr, 16k tbn, 30 tbc (default)
    Metadata:
      handler_name    : VideoHandler
    Stream #0:1(und): Audio: aac (LC) (mp4a / 0x6134706D), 16000 Hz, mono, fltp, 16 kb/s (default)
    Metadata:
      creation_time   : 2018-09-28 01:36:32
      handler_name    : GPAC ISO Audio Handler
    Stream #0:2(eng): Subtitle: mov_text (tx3g / 0x67337874), 800x60, 0 kb/s (default)
    Metadata:
      rotate          : 0
      creation_time   : 2018-09-28 01:36:33
      handler_name    : 83cfab8e695a4f5c85a5cd9498d1c8d7.subtitles.ttxt:hdlr=sbtl:lang=en:group=2:layer=1 - Imported with GPAC 0.5.0-rev4065
Input #1, png_pipe, from '/project/6001934/lingheng/ROM_Video_Process/Openpose_Video_Analysis_Code/camera2_transparent_img.png':
  Duration: N/A, bitrate: N/A
    Stream #1:0: Video: png, rgba(pc), 1920x1080, 25 tbr, 25 tbn, 25 tbc
[swscaler @ 0x2502180] deprecated pixel format used, make sure you did set range correctly
[avi @ 0x24c9160] Using AVStream.codec to pass codec parameters to muxers is deprecated, use AVStream.codecpar instead.
    Last message repeated 1 times
Output #0, avi, to '/project/6001934/lingheng/ROM_Video_Process/ROM_raw_videos_with_interst_area_ffmpeg_new2/Sep_27/Camera2_Sep_27_1400_1500_Parameterized_Learning_Agent_ffmpeg_with_interest_area.avi':
  Metadata:
    major_brand     : isom
    minor_version   : 1
    compatible_brands: isom
    ISFT            : Lavf57.41.100
    Stream #0:0: Video: mpeg4 (FMP4 / 0x34504D46), yuv420p, 1920x1080 [SAR 1:1 DAR 16:9], q=2-31, 200 kb/s, 15 fps, 15 tbn, 15 tbc (default)
    Metadata:
      encoder         : Lavc57.48.101 mpeg4
    Side data:
      cpb: bitrate max/min/avg: 0/0/200000 buffer size: 0 vbv_delay: -1
    Stream #0:1(und): Audio: aac (LC) ([255][0][0][0] / 0x00FF), 16000 Hz, mono, 16 kb/s (default)
    Metadata:
      creation_time   : 2018-09-28 01:36:32
      handler_name    : GPAC ISO Audio Handler
Stream mapping:
  Stream #0:0 (h264) -> overlay:main
  Stream #1:0 (png) -> overlay:overlay
  overlay -> Stream #0:0 (mpeg4)
  Stream #0:1 -> #0:1 (copy)
Press [q] to stop, [?] for help
frame=   14 fps=0.0 q=19.1 size=     300kB time=00:00:01.00 bitrate=2459.0kbits/s speed=1.96x    
frame=   34 fps= 33 q=31.0 size=     433kB time=00:00:02.33 bitrate=1518.8kbits/s speed=2.26x    
frame=   55 fps= 36 q=31.0 size=     508kB time=00:00:03.73 bitrate=1115.6kbits/s speed=2.41x    
frame=   80 fps= 39 q=31.0 size=     683kB time=00:00:05.40 bitrate=1036.0kbits/s speed=2.61x    
frame=  105 fps= 41 q=31.0 size=     769kB time=00:00:07.06 bitrate= 891.1kbits/s speed=2.73x    
frame=  126 fps= 41 q=31.0 size=     896kB time=00:00:08.46 bitrate= 867.3kbits/s speed=2.73x    
frame=  151 fps= 42 q=31.0 size=    1034kB time=00:00:10.13 bitrate= 835.8kbits/s speed=2.81x    
frame=  175 fps= 42 q=31.0 size=    1163kB time=00:00:11.73 bitrate= 812.1kbits/s speed=2.85x    
frame=  201 fps= 43 q=31.0 size=    1297kB time=00:00:13.46 bitrate= 788.9kbits/s speed= 2.9x    
frame=  224 fps= 44 q=31.0 size=    1421kB time=00:00:15.00 bitrate= 776.1kbits/s speed=2.91x    
frame=  244 fps= 43 q=31.0 size=    1494kB time=00:00:16.33 bitrate= 749.2kbits/s dup=0 drop=7 speed=2.89x    
frame=  257 fps= 42 q=31.0 size=    1601kB time=00:00:17.20 bitrate= 762.5kbits/s dup=0 drop=20 speed= 2.8x    
frame=  270 fps= 41 q=31.0 size=    1671kB time=00:00:18.06 bitrate= 757.7kbits/s dup=0 drop=33 speed=2.71x    
frame=  283 fps= 39 q=31.0 size=    1735kB time=00:00:18.93 bitrate= 750.9kbits/s dup=0 drop=46 speed=2.64x    
frame=  296 fps= 39 q=31.0 size=    1801kB time=00:00:19.80 bitrate= 745.0kbits/s dup=0 drop=59 speed=2.58x    
frame=  310 fps= 38 q=31.0 size=    1868kB time=00:00:20.73 bitrate= 738.2kbits/s dup=0 drop=73 speed=2.53x    
frame=  322 fps= 37 q=31.0 size=    1938kB time=00:00:21.53 bitrate= 737.3kbits/s dup=0 drop=85 speed=2.47x    
frame=  336 fps= 36 q=31.0 size=    2006kB time=00:00:22.46 bitrate= 731.6kbits/s dup=0 drop=99 speed=2.44x    
frame=  350 fps= 36 q=31.0 size=    2075kB time=00:00:23.40 bitrate= 726.5kbits/s dup=0 drop=113 speed=2.41x    
frame=  364 fps= 36 q=31.0 size=    2145kB time=00:00:24.33 bitrate= 722.1kbits/s dup=0 drop=127 speed=2.38x    
frame=  377 fps= 35 q=31.0 size=    2255kB time=00:00:25.20 bitrate= 733.2kbits/s dup=0 drop=140 speed=2.35x    
frame=  391 fps= 35 q=31.0 size=    2327kB time=00:00:26.13 bitrate= 729.4kbits/s dup=0 drop=154 speed=2.32x    
frame=  405 fps= 34 q=31.0 size=    2394kB time=00:00:27.06 bitrate= 724.4kbits/s dup=0 drop=168 speed= 2.3x    
frame=  416 fps= 34 q=31.0 size=    2459kB time=00:00:27.80 bitrate= 724.6kbits/s dup=0 drop=179 speed=2.26x    
frame=  427 fps= 33 q=31.0 size=    2524kB time=00:00:28.53 bitrate= 724.7kbits/s dup=0 drop=190 speed=2.23x    
frame=  440 fps= 33 q=31.0 size=    2598kB time=00:00:29.40 bitrate= 723.8kbits/s dup=0 drop=197 speed=2.21x    
frame=  460 fps= 33 q=31.0 size=    2721kB time=00:00:30.73 bitrate= 725.2kbits/s dup=0 drop=197 speed=2.23x    
frame=  484 fps= 34 q=31.0 size=    2848kB time=00:00:32.33 bitrate= 721.6kbits/s dup=0 drop=197 speed=2.26x    
frame=  509 fps= 34 q=31.0 size=    2980kB time=00:00:34.00 bitrate= 718.0kbits/s dup=0 drop=197 speed=2.29x    
frame=  533 fps= 35 q=31.0 size=    3112kB time=00:00:35.60 bitrate= 716.0kbits/s dup=0 drop=197 speed=2.32x    
frame=  557 fps= 35 q=31.0 size=    3247kB time=00:00:37.20 bitrate= 715.0kbits/s dup=0 drop=197 speed=2.34x    
frame=  579 fps= 35 q=31.0 size=    3378kB time=00:00:38.66 bitrate= 715.7kbits/s dup=0 drop=197 speed=2.36x    
frame=  603 fps= 36 q=31.0 size=    3514kB time=00:00:40.26 bitrate= 714.9kbits/s dup=0 drop=197 speed=2.38x    
frame=  628 fps= 36 q=31.0 size=    3648kB time=00:00:41.93 bitrate= 712.6kbits/s dup=0 drop=197 speed=2.41x    
frame=  652 fps= 36 q=31.0 size=    3776kB time=00:00:43.53 bitrate= 710.6kbits/s dup=0 drop=197 speed=2.43x    
frame=  674 fps= 37 q=31.0 size=    3856kB time=00:00:45.00 bitrate= 701.9kbits/s dup=0 drop=197 speed=2.44x    
frame=  698 fps= 37 q=31.0 size=    3982kB time=00:00:46.60 bitrate= 700.0kbits/s dup=0 drop=197 speed=2.46x    
frame=  723 fps= 37 q=31.0 size=    4155kB time=00:00:48.26 bitrate= 705.3kbits/s dup=0 drop=197 speed=2.48x    
frame=  747 fps= 37 q=31.0 size=    4281kB time=00:00:49.86 bitrate= 703.3kbits/s dup=0 drop=197 speed= 2.5x    
frame=  772 fps= 38 q=31.0 size=    4407kB time=00:00:51.53 bitrate= 700.6kbits/s dup=0 drop=197 speed=2.52x    
frame=  797 fps= 38 q=31.0 size=    4535kB time=00:00:53.20 bitrate= 698.4kbits/s dup=0 drop=197 speed=2.53x    
frame=  822 fps= 38 q=31.0 size=    4664kB time=00:00:54.86 bitrate= 696.4kbits/s dup=0 drop=197 speed=2.55x    
frame=  847 fps= 38 q=31.0 size=    4793kB time=00:00:56.53 bitrate= 694.6kbits/s dup=0 drop=197 speed=2.57x    
frame=  872 fps= 39 q=31.0 size=    4921kB time=00:00:58.20 bitrate= 692.6kbits/s dup=0 drop=197 speed=2.58x    
frame=  896 fps= 39 q=31.0 size=    5045kB time=00:00:59.80 bitrate= 691.1kbits/s dup=0 drop=197 speed=2.59x    
frame=  921 fps= 39 q=31.0 size=    5175kB time=00:01:01.46 bitrate= 689.7kbits/s dup=0 drop=197 speed=2.61x    
frame=  945 fps= 39 q=31.0 size=    5300kB time=00:01:03.06 bitrate= 688.4kbits/s dup=0 drop=197 speed=2.62x    
frame=  970 fps= 39 q=31.0 size=    5430kB time=00:01:04.73 bitrate= 687.2kbits/s dup=0 drop=197 speed=2.63x    
frame=  995 fps= 40 q=31.0 size=    5560kB time=00:01:06.40 bitrate= 685.9kbits/s dup=0 drop=197 speed=2.64x    
frame= 1019 fps= 40 q=31.0 size=    5691kB time=00:01:08.00 bitrate= 685.6kbits/s dup=0 drop=197 speed=2.65x    
frame= 1044 fps= 40 q=31.0 size=    5819kB time=00:01:09.66 bitrate= 684.3kbits/s dup=0 drop=197 speed=2.66x    
frame= 1067 fps= 40 q=31.0 size=    5946kB time=00:01:11.20 bitrate= 684.1kbits/s dup=0 drop=197 speed=2.67x    
frame= 1091 fps= 40 q=31.0 size=    6071kB time=00:01:12.80 bitrate= 683.2kbits/s dup=0 drop=197 speed=2.68x    
frame= 1109 fps= 40 q=31.0 size=    6185kB time=00:01:14.00 bitrate= 684.7kbits/s dup=0 drop=200 speed=2.67x    
frame= 1123 fps= 40 q=31.0 size=    6251kB time=00:01:14.93 bitrate= 683.3kbits/s dup=0 drop=214 speed=2.66x    
frame= 1133 fps= 39 q=31.0 size=    6311kB time=00:01:15.60 bitrate= 683.9kbits/s dup=0 drop=224 speed=2.64x    
frame= 1144 fps= 39 q=31.0 size=    6334kB time=00:01:16.33 bitrate= 679.7kbits/s dup=0 drop=235 speed=2.61x    
frame= 1154 fps= 39 q=31.0 size=    6395kB time=00:01:17.00 bitrate= 680.3kbits/s dup=0 drop=245 speed=2.59x    
frame= 1163 fps= 38 q=31.0 size=    6456kB time=00:01:17.60 bitrate= 681.5kbits/s dup=0 drop=254 speed=2.57x    
frame= 1175 fps= 38 q=31.0 size=    6516kB time=00:01:18.40 bitrate= 680.9kbits/s dup=0 drop=266 speed=2.55x    
frame= 1186 fps= 38 q=31.0 size=    6581kB time=00:01:19.13 bitrate= 681.2kbits/s dup=0 drop=277 speed=2.53x    
frame= 1198 fps= 38 q=31.0 size=    6648kB time=00:01:19.93 bitrate= 681.4kbits/s dup=0 drop=289 speed=2.52x    
frame= 1208 fps= 37 q=31.0 size=    6712kB time=00:01:20.60 bitrate= 682.2kbits/s dup=0 drop=299 speed= 2.5x    
frame= 1219 fps= 37 q=31.0 size=    6772kB time=00:01:21.33 bitrate= 682.1kbits/s dup=0 drop=310 speed=2.48x    
frame= 1228 fps= 37 q=31.0 size=    6833kB time=00:01:21.93 bitrate= 683.2kbits/s dup=0 drop=319 speed=2.46x    
frame= 1239 fps= 37 q=31.0 size=    6853kB time=00:01:22.66 bitrate= 679.1kbits/s dup=0 drop=330 speed=2.45x    
frame= 1250 fps= 36 q=31.0 size=    6915kB time=00:01:23.40 bitrate= 679.2kbits/s dup=0 drop=341 speed=2.43x    
frame= 1260 fps= 36 q=31.0 size=    6978kB time=00:01:24.06 bitrate= 680.0kbits/s dup=0 drop=351 speed=2.41x    
frame= 1271 fps= 36 q=31.0 size=    7036kB time=00:01:24.80 bitrate= 679.7kbits/s dup=0 drop=362 speed= 2.4x    
frame= 1281 fps= 36 q=31.0 size=    7097kB time=00:01:25.46 bitrate= 680.3kbits/s dup=0 drop=372 speed=2.38x    
frame= 1291 fps= 36 q=31.0 size=    7157kB time=00:01:26.13 bitrate= 680.7kbits/s dup=0 drop=382 speed=2.37x    
frame= 1301 fps= 35 q=31.0 size=    7216kB time=00:01:26.80 bitrate= 681.1kbits/s dup=0 drop=392 speed=2.35x    
frame= 1311 fps= 35 q=31.0 size=    7239kB time=00:01:27.46 bitrate= 678.0kbits/s dup=0 drop=402 speed=2.34x    
frame= 1323 fps= 35 q=31.0 size=    7305kB time=00:01:28.26 bitrate= 678.0kbits/s dup=0 drop=414 speed=2.33x    
frame= 1335 fps= 35 q=31.0 size=    7374kB time=00:01:29.06 bitrate= 678.3kbits/s dup=0 drop=426 speed=2.32x    
frame= 1348 fps= 35 q=31.0 size=    7444kB time=00:01:29.93 bitrate= 678.1kbits/s dup=0 drop=439 speed=2.31x    
frame= 1361 fps= 35 q=31.0 size=    7561kB time=00:01:30.80 bitrate= 682.1kbits/s dup=0 drop=452 speed= 2.3x    
frame= 1374 fps= 34 q=31.0 size=    7640kB time=00:01:31.66 bitrate= 682.8kbits/s dup=0 drop=465 speed= 2.3x    
frame= 1388 fps= 34 q=31.0 size=    7716kB time=00:01:32.60 bitrate= 682.6kbits/s dup=0 drop=479 speed=2.29x    
frame= 1407 fps= 34 q=31.0 size=    7854kB time=00:01:33.86 bitrate= 685.4kbits/s dup=0 drop=487 speed=2.29x    
frame= 1432 fps= 35 q=31.0 size=    7992kB time=00:01:35.53 bitrate= 685.3kbits/s dup=0 drop=487 speed= 2.3x    
frame= 1456 fps= 35 q=31.0 size=    8124kB time=00:01:37.13 bitrate= 685.2kbits/s dup=0 drop=487 speed=2.31x    
frame= 1481 fps= 35 q=31.0 size=    8256kB time=00:01:38.80 bitrate= 684.6kbits/s dup=0 drop=487 speed=2.32x    
frame= 1504 fps= 35 q=31.0 size=    8385kB time=00:01:40.33 bitrate= 684.6kbits/s dup=0 drop=487 speed=2.33x    
frame= 1528 fps= 35 q=31.0 size=    8521kB time=00:01:41.93 bitrate= 684.8kbits/s dup=0 drop=487 speed=2.34x    
frame= 1552 fps= 35 q=31.0 size=    8657kB time=00:01:43.53 bitrate= 685.0kbits/s dup=0 drop=487 speed=2.35x    
frame= 1574 fps= 35 q=31.0 size=    8747kB time=00:01:45.00 bitrate= 682.4kbits/s dup=0 drop=487 speed=2.36x    
frame= 1596 fps= 35 q=31.0 size=    8879kB time=00:01:46.46 bitrate= 683.2kbits/s dup=0 drop=487 speed=2.36x    
frame= 1618 fps= 36 q=31.0 size=    9011kB time=00:01:47.93 bitrate= 683.9kbits/s dup=0 drop=487 speed=2.37x    
frame= 1638 fps= 36 q=31.0 size=    9142kB time=00:01:49.26 bitrate= 685.4kbits/s dup=0 drop=487 speed=2.37x    
frame= 1659 fps= 36 q=31.0 size=    9274kB time=00:01:50.66 bitrate= 686.5kbits/s dup=0 drop=487 speed=2.37x    
frame= 1682 fps= 36 q=31.0 size=    9371kB time=00:01:52.20 bitrate= 684.2kbits/s dup=0 drop=487 speed=2.38x    
frame= 1703 fps= 36 q=31.0 size=    9514kB time=00:01:53.60 bitrate= 686.1kbits/s dup=0 drop=487 speed=2.39x    
frame= 1726 fps= 36 q=31.0 size=    9665kB time=00:01:55.13 bitrate= 687.7kbits/s dup=0 drop=487 speed=2.39x    
frame= 1750 fps= 36 q=31.0 size=    9812kB time=00:01:56.73 bitrate= 688.6kbits/s dup=0 drop=487 speed= 2.4x    
frame= 1773 fps= 36 q=31.0 size=    9949kB time=00:01:58.26 bitrate= 689.2kbits/s dup=0 drop=487 speed=2.41x    
frame= 1792 fps= 36 q=31.0 size=   10077kB time=00:01:59.53 bitrate= 690.6kbits/s dup=0 drop=487 speed=2.41x    
frame= 1813 fps= 36 q=24.8 size=   10165kB time=00:02:00.93 bitrate= 688.6kbits/s dup=0 drop=487 speed=2.41x    
frame= 1835 fps= 36 q=31.0 size=   10294kB time=00:02:02.40 bitrate= 688.9kbits/s dup=0 drop=487 speed=2.41x    
frame= 1854 fps= 36 q=31.0 size=   10419kB time=00:02:03.66 bitrate= 690.2kbits/s dup=0 drop=487 speed=2.41x    
frame= 1876 fps= 36 q=31.0 size=   10559kB time=00:02:05.13 bitrate= 691.2kbits/s dup=0 drop=487 speed=2.42x    
frame= 1901 fps= 36 q=31.0 size=   10698kB time=00:02:06.80 bitrate= 691.2kbits/s dup=0 drop=487 speed=2.43x    
frame= 1926 fps= 37 q=31.0 size=   10837kB time=00:02:08.46 bitrate= 691.0kbits/s dup=0 drop=487 speed=2.44x    
frame= 1951 fps= 37 q=31.0 size=   10978kB time=00:02:10.13 bitrate= 691.1kbits/s dup=0 drop=487 speed=2.44x    
frame= 1973 fps= 37 q=31.0 size=   11110kB time=00:02:11.60 bitrate= 691.6kbits/s dup=0 drop=487 speed=2.45x    
frame= 1993 fps= 37 q=24.8 size=   11192kB time=00:02:12.93 bitrate= 689.7kbits/s dup=0 drop=487 speed=2.45x    
frame= 2014 fps= 37 q=31.0 size=   11315kB time=00:02:14.33 bitrate= 690.0kbits/s dup=0 drop=487 speed=2.45x    
frame= 2038 fps= 37 q=31.0 size=   11442kB time=00:02:15.93 bitrate= 689.5kbits/s dup=0 drop=487 speed=2.46x    
frame= 2061 fps= 37 q=31.0 size=   11571kB time=00:02:17.46 bitrate= 689.5kbits/s dup=0 drop=487 speed=2.46x    
frame= 2086 fps= 37 q=31.0 size=   11706kB time=00:02:19.13 bitrate= 689.2kbits/s dup=0 drop=487 speed=2.47x    
frame= 2111 fps= 37 q=31.0 size=   11839kB time=00:02:20.80 bitrate= 688.8kbits/s dup=0 drop=487 speed=2.48x    
frame= 2136 fps= 37 q=31.0 size=   11969kB time=00:02:22.46 bitrate= 688.2kbits/s dup=0 drop=487 speed=2.48x    
frame= 2159 fps= 37 q=31.0 size=   12095kB time=00:02:24.00 bitrate= 688.1kbits/s dup=0 drop=487 speed=2.49x    
frame= 2183 fps= 37 q=31.0 size=   12225kB time=00:02:25.60 bitrate= 687.8kbits/s dup=0 drop=487 speed=2.49x    
frame= 2208 fps= 37 q=31.0 size=   12354kB time=00:02:27.26 bitrate= 687.2kbits/s dup=0 drop=487 speed= 2.5x    
frame= 2232 fps= 38 q=31.0 size=   12482kB time=00:02:28.86 bitrate= 686.9kbits/s dup=0 drop=487 speed=2.51x    
frame= 2257 fps= 38 q=24.8 size=   12608kB time=00:02:30.53 bitrate= 686.1kbits/s dup=0 drop=487 speed=2.51x    
frame= 2282 fps= 38 q=31.0 size=   12733kB time=00:02:32.20 bitrate= 685.3kbits/s dup=0 drop=487 speed=2.52x    
frame= 2307 fps= 38 q=31.0 size=   12904kB time=00:02:33.86 bitrate= 687.0kbits/s dup=0 drop=487 speed=2.52x    
frame= 2332 fps= 38 q=31.0 size=   13028kB time=00:02:35.53 bitrate= 686.2kbits/s dup=0 drop=487 speed=2.53x    
frame= 2357 fps= 38 q=31.0 size=   13153kB time=00:02:37.20 bitrate= 685.4kbits/s dup=0 drop=487 speed=2.54x    
frame= 2382 fps= 38 q=31.0 size=   13276kB time=00:02:38.86 bitrate= 684.6kbits/s dup=0 drop=487 speed=2.54x    
frame= 2407 fps= 38 q=31.0 size=   13402kB time=00:02:40.53 bitrate= 683.9kbits/s dup=0 drop=487 speed=2.55x    
frame= 2432 fps= 38 q=31.0 size=   13527kB time=00:02:42.20 bitrate= 683.2kbits/s dup=0 drop=487 speed=2.55x    
frame= 2457 fps= 38 q=31.0 size=   13651kB time=00:02:43.86 bitrate= 682.5kbits/s dup=0 drop=487 speed=2.56x    
frame= 2482 fps= 38 q=31.0 size=   13777kB time=00:02:45.53 bitrate= 681.8kbits/s dup=0 drop=487 speed=2.57x    
frame= 2507 fps= 39 q=31.0 size=   13902kB time=00:02:47.20 bitrate= 681.1kbits/s dup=0 drop=487 speed=2.57x    
frame= 2531 fps= 39 q=31.0 size=   14025kB time=00:02:48.80 bitrate= 680.6kbits/s dup=0 drop=487 speed=2.58x    
frame= 2556 fps= 39 q=31.0 size=   14148kB time=00:02:50.46 bitrate= 679.9kbits/s dup=0 drop=487 speed=2.58x    
frame= 2581 fps= 39 q=24.8 size=   14272kB time=00:02:52.13 bitrate= 679.2kbits/s dup=0 drop=487 speed=2.59x    
frame= 2605 fps= 39 q=24.8 size=   14397kB time=00:02:53.73 bitrate= 678.9kbits/s dup=0 drop=487 speed=2.59x    
frame= 2630 fps= 39 q=31.0 size=   14523kB time=00:02:55.40 bitrate= 678.3kbits/s dup=0 drop=487 speed=2.59x    
frame= 2655 fps= 39 q=31.0 size=   14691kB time=00:02:57.06 bitrate= 679.7kbits/s dup=0 drop=487 speed= 2.6x    
frame= 2680 fps= 39 q=31.0 size=   14817kB time=00:02:58.73 bitrate= 679.1kbits/s dup=0 drop=487 speed= 2.6x    
frame= 2705 fps= 39 q=31.0 size=   14943kB time=00:03:00.40 bitrate= 678.5kbits/s dup=0 drop=487 speed=2.61x    
frame= 2730 fps= 39 q=31.0 size=   15072kB time=00:03:02.06 bitrate= 678.1kbits/s dup=0 drop=487 speed=2.61x    
frame= 2752 fps= 39 q=31.0 size=   15194kB time=00:03:03.53 bitrate= 678.2kbits/s dup=0 drop=487 speed=2.62x    
frame= 2777 fps= 39 q=31.0 size=   15319kB time=00:03:05.20 bitrate= 677.6kbits/s dup=0 drop=487 speed=2.62x    
frame= 2802 fps= 39 q=31.0 size=   15446kB time=00:03:06.86 bitrate= 677.1kbits/s dup=0 drop=487 speed=2.62x    
frame= 2827 fps= 39 q=31.0 size=   15571kB time=00:03:08.53 bitrate= 676.6kbits/s dup=0 drop=487 speed=2.63x    
frame= 2852 fps= 39 q=31.0 size=   15694kB time=00:03:10.20 bitrate= 676.0kbits/s dup=0 drop=487 speed=2.63x    
frame= 2877 fps= 40 q=31.0 size=   15817kB time=00:03:11.86 bitrate= 675.3kbits/s dup=0 drop=487 speed=2.64x    
frame= 2902 fps= 40 q=31.0 size=   15939kB time=00:03:13.53 bitrate= 674.7kbits/s dup=0 drop=487 speed=2.64x    
frame= 2927 fps= 40 q=31.0 size=   16063kB time=00:03:15.20 bitrate= 674.1kbits/s dup=0 drop=487 speed=2.65x    
frame= 2952 fps= 40 q=31.0 size=   16187kB time=00:03:16.86 bitrate= 673.6kbits/s dup=0 drop=487 speed=2.65x    
frame= 2977 fps= 40 q=24.8 size=   16310kB time=00:03:18.53 bitrate= 673.0kbits/s dup=0 drop=487 speed=2.65x    
frame= 3002 fps= 40 q=31.0 size=   16434kB time=00:03:20.20 bitrate= 672.5kbits/s dup=0 drop=487 speed=2.66x    
frame= 3027 fps= 40 q=31.0 size=   16607kB time=00:03:21.86 bitrate= 673.9kbits/s dup=0 drop=487 speed=2.66x    
frame= 3052 fps= 40 q=31.0 size=   16734kB time=00:03:23.53 bitrate= 673.5kbits/s dup=0 drop=487 speed=2.67x    
frame= 3077 fps= 40 q=31.0 size=   16859kB time=00:03:25.20 bitrate= 673.1kbits/s dup=0 drop=487 speed=2.67x    
frame= 3095 fps= 40 q=31.0 size=   16925kB time=00:03:26.40 bitrate= 671.7kbits/s dup=0 drop=496 speed=2.67x    
frame= 3109 fps= 40 q=24.8 size=   16988kB time=00:03:27.33 bitrate= 671.2kbits/s dup=0 drop=510 speed=2.66x    
frame= 3119 fps= 40 q=31.0 size=   17046kB time=00:03:28.00 bitrate= 671.3kbits/s dup=0 drop=520 speed=2.65x    
frame= 3130 fps= 40 q=31.0 size=   17105kB time=00:03:28.73 bitrate= 671.3kbits/s dup=0 drop=531 speed=2.65x    
frame= 3140 fps= 40 q=31.0 size=   17163kB time=00:03:29.40 bitrate= 671.5kbits/s dup=0 drop=541 speed=2.64x    
frame= 3151 fps= 39 q=31.0 size=   17223kB time=00:03:30.13 bitrate= 671.4kbits/s dup=0 drop=552 speed=2.63x    
frame= 3162 fps= 39 q=31.0 size=   17283kB time=00:03:30.86 bitrate= 671.4kbits/s dup=0 drop=563 speed=2.62x    
frame= 3173 fps= 39 q=31.0 size=   17344kB time=00:03:31.60 bitrate= 671.5kbits/s dup=0 drop=574 speed=2.61x    
frame= 3195 fps= 39 q=31.0 size=   17428kB time=00:03:33.06 bitrate= 670.1kbits/s dup=0 drop=577 speed=2.62x    
frame= 3210 fps= 39 q=31.0 size=   17538kB time=00:03:34.06 bitrate= 671.2kbits/s dup=0 drop=587 speed=2.61x    
frame= 3221 fps= 39 q=31.0 size=   17602kB time=00:03:34.80 bitrate= 671.3kbits/s dup=0 drop=598 speed= 2.6x    
frame= 3234 fps= 39 q=31.0 size=   17666kB time=00:03:35.66 bitrate= 671.0kbits/s dup=0 drop=611 speed= 2.6x    
frame= 3247 fps= 39 q=31.0 size=   17734kB time=00:03:36.53 bitrate= 670.9kbits/s dup=0 drop=624 speed=2.59x    
frame= 3261 fps= 39 q=31.0 size=   17800kB time=00:03:37.46 bitrate= 670.5kbits/s dup=0 drop=638 speed=2.59x    
frame= 3275 fps= 39 q=31.0 size=   17867kB time=00:03:38.40 bitrate= 670.2kbits/s dup=0 drop=652 speed=2.58x    
frame= 3288 fps= 39 q=31.0 size=   17931kB time=00:03:39.26 bitrate= 669.9kbits/s dup=0 drop=665 speed=2.58x    
frame= 3301 fps= 39 q=24.8 size=   18000kB time=00:03:40.13 bitrate= 669.8kbits/s dup=0 drop=678 speed=2.57x    
