ffmpeg version 3.1.7 Copyright (c) 2000-2017 the FFmpeg developers
  built with gcc 5.4.0 (GCC)
  configuration: --disable-static --prefix=/cvmfs/soft.computecanada.ca/nix/store/n7qiyrcpyixibg8mijm826nb3hdb23j1-ffmpeg-3.1.7 --enable-gpl --enable-version3 --enable-shared --disable-static --enable-pic --enable-runtime-cpudetect --enable-hardcoded-tables --enable-pthreads --disable-w32threads --disable-os2threads --enable-network --enable-pixelutils --enable-ffmpeg --disable-ffplay --enable-ffprobe --disable-ffserver --enable-avcodec --enable-avdevice --enable-avfilter --enable-avformat --enable-avresample --enable-avutil --enable-postproc --enable-swresample --enable-swscale --disable-doc --enable-bzlib --enable-gnutls --enable-fontconfig --enable-libfreetype --enable-libmp3lame --enable-iconv --enable-libtheora --enable-vaapi --enable-vdpau --enable-libvorbis --enable-libvpx --enable-lzma --disable-opengl --enable-libpulse --enable-sdl --enable-libsoxr --enable-libx264 --enable-libxvid --enable-zlib --enable-libopus --enable-libx265 --disable-debug --enable-optimizations --disable-extra-warnings --disable-stripping
  libavutil      55. 28.100 / 55. 28.100
  libavcodec     57. 48.101 / 57. 48.101
  libavformat    57. 41.100 / 57. 41.100
  libavdevice    57.  0.101 / 57.  0.101
  libavfilter     6. 47.100 /  6. 47.100
  libavresample   3.  0.  0 /  3.  0.  0
  libswscale      4.  1.100 /  4.  1.100
  libswresample   2.  1.100 /  2.  1.100
  libpostproc    54.  0.100 / 54.  0.100
Input #0, mov,mp4,m4a,3gp,3g2,mj2, from '/project/6001934/lingheng/ROM_Video_Process/ROM_raw_videos/Sep_28/Camera2_Sep_28_1400_1500_Single_Agent_Raw_Act.mp4':
  Metadata:
    major_brand     : isom
    minor_version   : 1
    compatible_brands: isom
    creation_time   : 2018-09-28 21:36:29
  Duration: 01:00:00.90, start: 0.000000, bitrate: 710 kb/s
    Stream #0:0(und): Video: h264 (Main) (avc1 / 0x31637661), yuvj420p(pc, bt709), 1920x1080 [SAR 1:1 DAR 16:9], 690 kb/s, 24.43 fps, 30 tbr, 16k tbn, 60 tbc (default)
    Metadata:
      handler_name    : VideoHandler
    Stream #0:1(und): Audio: aac (LC) (mp4a / 0x6134706D), 16000 Hz, mono, fltp, 16 kb/s (default)
    Metadata:
      creation_time   : 2018-09-28 21:36:33
      handler_name    : GPAC ISO Audio Handler
    Stream #0:2(eng): Subtitle: mov_text (tx3g / 0x67337874), 800x60, 0 kb/s (default)
    Metadata:
      rotate          : 0
      creation_time   : 2018-09-28 21:36:34
      handler_name    : 301f849d3fa44efab5ae570c929e7326.subtitles.ttxt:hdlr=sbtl:lang=en:group=2:layer=1 - Imported with GPAC 0.5.0-rev4065
Input #1, png_pipe, from '/project/6001934/lingheng/ROM_Video_Process/Openpose_Video_Analysis_Code/camera2_transparent_img.png':
  Duration: N/A, bitrate: N/A
    Stream #1:0: Video: png, rgba(pc), 1920x1080, 25 tbr, 25 tbn, 25 tbc
[swscaler @ 0xce5c60] deprecated pixel format used, make sure you did set range correctly
[avi @ 0xa10ce0] Using AVStream.codec to pass codec parameters to muxers is deprecated, use AVStream.codecpar instead.
    Last message repeated 1 times
Output #0, avi, to '/project/6001934/lingheng/ROM_Video_Process/ROM_raw_videos_with_interst_area_ffmpeg_new2/Sep_28/Camera2_Sep_28_1400_1500_Single_Agent_Raw_Act_ffmpeg_with_interest_area.avi':
  Metadata:
    major_brand     : isom
    minor_version   : 1
    compatible_brands: isom
    ISFT            : Lavf57.41.100
    Stream #0:0: Video: mpeg4 (FMP4 / 0x34504D46), yuv420p, 1920x1080 [SAR 1:1 DAR 16:9], q=2-31, 200 kb/s, 30 fps, 30 tbn, 30 tbc (default)
    Metadata:
      encoder         : Lavc57.48.101 mpeg4
    Side data:
      cpb: bitrate max/min/avg: 0/0/200000 buffer size: 0 vbv_delay: -1
    Stream #0:1(und): Audio: aac (LC) ([255][0][0][0] / 0x00FF), 16000 Hz, mono, 16 kb/s (default)
    Metadata:
      creation_time   : 2018-09-28 21:36:33
      handler_name    : GPAC ISO Audio Handler
Stream mapping:
  Stream #0:0 (h264) -> overlay:main
  Stream #1:0 (png) -> overlay:overlay
  overlay -> Stream #0:0 (mpeg4)
  Stream #0:1 -> #0:1 (copy)
Press [q] to stop, [?] for help
frame=   15 fps=0.0 q=30.6 size=      10kB time=00:00:00.53 bitrate= 149.8kbits/s speed=1.04x    
frame=   36 fps= 35 q=31.0 size=     394kB time=00:00:01.23 bitrate=2617.4kbits/s speed=1.21x    
frame=   59 fps= 38 q=31.0 size=     457kB time=00:00:02.00 bitrate=1872.5kbits/s speed= 1.3x    
frame=   82 fps= 40 q=31.0 size=     579kB time=00:00:02.76 bitrate=1714.7kbits/s speed=1.34x    
frame=  107 fps= 42 q=31.0 size=     700kB time=00:00:03.60 bitrate=1593.0kbits/s speed= 1.4x    
frame=  132 fps= 43 q=31.0 size=     760kB time=00:00:04.43 bitrate=1404.4kbits/s speed=1.44x    
frame=  157 fps= 44 q=24.8 size=     928kB time=00:00:05.26 bitrate=1443.9kbits/s speed=1.47x    
frame=  182 fps= 44 q=31.0 size=    1052kB time=00:00:06.10 bitrate=1413.2kbits/s speed=1.49x    
frame=  207 fps= 45 q=31.0 size=    1116kB time=00:00:06.93 bitrate=1318.9kbits/s speed=1.51x    
frame=  232 fps= 45 q=31.0 size=    1237kB time=00:00:07.76 bitrate=1304.3kbits/s speed=1.52x    
frame=  257 fps= 46 q=31.0 size=    1359kB time=00:00:08.60 bitrate=1294.3kbits/s speed=1.53x    
frame=  282 fps= 46 q=31.0 size=    1477kB time=00:00:09.43 bitrate=1282.5kbits/s speed=1.54x    
frame=  307 fps= 46 q=31.0 size=    1600kB time=00:00:10.26 bitrate=1277.1kbits/s speed=1.55x    
frame=  330 fps= 46 q=31.0 size=    1763kB time=00:00:11.03 bitrate=1308.8kbits/s speed=1.54x    
frame=  355 fps= 46 q=31.0 size=    1884kB time=00:00:11.86 bitrate=1300.9kbits/s speed=1.55x    
frame=  380 fps= 47 q=31.0 size=    2005kB time=00:00:12.70 bitrate=1293.3kbits/s speed=1.55x    
frame=  405 fps= 47 q=31.0 size=    2129kB time=00:00:13.53 bitrate=1288.9kbits/s speed=1.56x    
frame=  430 fps= 47 q=31.0 size=    2253kB time=00:00:14.36 bitrate=1285.0kbits/s speed=1.56x    
frame=  455 fps= 47 q=31.0 size=    2376kB time=00:00:15.20 bitrate=1280.8kbits/s speed=1.57x    
frame=  480 fps= 47 q=31.0 size=    2499kB time=00:00:16.03 bitrate=1277.1kbits/s speed=1.57x    
frame=  505 fps= 47 q=24.8 size=    2623kB time=00:00:16.86 bitrate=1274.1kbits/s speed=1.58x    
frame=  530 fps= 47 q=31.0 size=    2747kB time=00:00:17.70 bitrate=1271.4kbits/s speed=1.58x    
frame=  555 fps= 47 q=31.0 size=    2871kB time=00:00:18.53 bitrate=1268.9kbits/s speed=1.58x    
frame=  580 fps= 47 q=31.0 size=    2994kB time=00:00:19.36 bitrate=1266.2kbits/s speed=1.58x    
frame=  605 fps= 48 q=31.0 size=    3116kB time=00:00:20.20 bitrate=1263.6kbits/s speed=1.59x    
frame=  630 fps= 48 q=31.0 size=    3236kB time=00:00:21.03 bitrate=1260.5kbits/s speed=1.59x    
frame=  656 fps= 48 q=31.0 size=    3402kB time=00:00:21.90 bitrate=1272.6kbits/s speed=1.59x    
frame=  681 fps= 48 q=31.0 size=    3526kB time=00:00:22.73 bitrate=1270.7kbits/s speed=1.59x    
frame=  705 fps= 48 q=31.0 size=    3656kB time=00:00:23.60 bitrate=1269.1kbits/s speed= 1.6x    
frame=  731 fps= 48 q=31.0 size=    3828kB time=00:00:24.96 bitrate=1256.0kbits/s speed=1.63x    
frame=  756 fps= 48 q=31.0 size=    3894kB time=00:00:25.80 bitrate=1236.5kbits/s speed=1.63x    
frame=  780 fps= 48 q=31.0 size=    4018kB time=00:00:26.60 bitrate=1237.5kbits/s speed=1.63x    
frame=  805 fps= 48 q=24.8 size=    4140kB time=00:00:27.43 bitrate=1236.3kbits/s speed=1.63x    
frame=  830 fps= 48 q=31.0 size=    4264kB time=00:00:28.26 bitrate=1235.9kbits/s speed=1.63x    
frame=  855 fps= 48 q=31.0 size=    4386kB time=00:00:29.10 bitrate=1234.6kbits/s speed=1.63x    
frame=  880 fps= 48 q=31.0 size=    4561kB time=00:00:30.06 bitrate=1242.7kbits/s speed=1.64x    
frame=  905 fps= 48 q=31.0 size=    4690kB time=00:00:31.40 bitrate=1223.6kbits/s speed=1.67x    
frame=  930 fps= 48 q=31.0 size=    4816kB time=00:00:32.23 bitrate=1224.0kbits/s speed=1.67x    
frame=  955 fps= 48 q=31.0 size=    4946kB time=00:00:33.06 bitrate=1225.3kbits/s speed=1.67x    
frame=  980 fps= 48 q=31.0 size=    5070kB time=00:00:33.90 bitrate=1225.1kbits/s speed=1.67x    
frame= 1005 fps= 48 q=31.0 size=    5196kB time=00:00:34.73 bitrate=1225.5kbits/s speed=1.67x    
frame= 1028 fps= 48 q=31.0 size=    5321kB time=00:00:35.50 bitrate=1227.8kbits/s speed=1.66x    
frame= 1051 fps= 48 q=31.0 size=    5444kB time=00:00:36.26 bitrate=1229.7kbits/s speed=1.66x    
frame= 1076 fps= 48 q=31.0 size=    5570kB time=00:00:37.13 bitrate=1228.9kbits/s speed=1.66x    
frame= 1101 fps= 48 q=31.0 size=    5745kB time=00:00:38.53 bitrate=1221.4kbits/s speed=1.68x    
frame= 1126 fps= 48 q=31.0 size=    5811kB time=00:00:39.36 bitrate=1209.3kbits/s speed=1.68x    
frame= 1149 fps= 48 q=31.0 size=    5935kB time=00:00:40.13 bitrate=1211.5kbits/s speed=1.68x    
frame= 1172 fps= 48 q=31.0 size=    6061kB time=00:00:40.90 bitrate=1213.9kbits/s speed=1.67x    
frame= 1197 fps= 48 q=31.0 size=    6187kB time=00:00:41.73 bitrate=1214.4kbits/s speed=1.67x    
frame= 1222 fps= 48 q=31.0 size=    6310kB time=00:00:42.56 bitrate=1214.3kbits/s speed=1.67x    
frame= 1245 fps= 48 q=31.0 size=    6440kB time=00:00:43.33 bitrate=1217.4kbits/s speed=1.67x    
frame= 1269 fps= 48 q=31.0 size=    6631kB time=00:00:44.60 bitrate=1217.9kbits/s speed=1.68x    
frame= 1294 fps= 48 q=31.0 size=    6756kB time=00:00:46.26 bitrate=1196.2kbits/s speed=1.71x    
frame= 1318 fps= 48 q=31.0 size=    6879kB time=00:00:47.86 bitrate=1177.3kbits/s speed=1.74x    
frame= 1343 fps= 48 q=31.0 size=    7007kB time=00:00:49.53 bitrate=1158.8kbits/s speed=1.77x    
frame= 1368 fps= 48 q=31.0 size=    7140kB time=00:00:51.20 bitrate=1142.5kbits/s speed=1.79x    
frame= 1392 fps= 48 q=31.0 size=    7270kB time=00:00:52.80 bitrate=1128.0kbits/s speed=1.82x    
frame= 1417 fps= 48 q=24.8 size=    7402kB time=00:00:54.46 bitrate=1113.3kbits/s speed=1.84x    
frame= 1442 fps= 48 q=31.0 size=    7535kB time=00:00:56.13 bitrate=1099.6kbits/s speed=1.87x    
frame= 1468 fps= 48 q=31.0 size=    7651kB time=00:00:57.20 bitrate=1095.8kbits/s speed=1.87x    
frame= 1493 fps= 48 q=31.0 size=    7734kB time=00:00:58.03 bitrate=1091.7kbits/s speed=1.87x    
frame= 1518 fps= 48 q=31.0 size=    7864kB time=00:00:58.86 bitrate=1094.4kbits/s speed=1.86x    
frame= 1543 fps= 48 q=31.0 size=    8035kB time=00:00:59.70 bitrate=1102.5kbits/s speed=1.86x    
frame= 1566 fps= 48 q=31.0 size=    8119kB time=00:01:00.46 bitrate=1099.9kbits/s speed=1.85x    
frame= 1589 fps= 48 q=31.0 size=    8288kB time=00:01:01.23 bitrate=1108.8kbits/s speed=1.85x    
frame= 1614 fps= 48 q=31.0 size=    8416kB time=00:01:02.06 bitrate=1110.9kbits/s speed=1.85x    
frame= 1637 fps= 48 q=31.0 size=    8493kB time=00:01:02.83 bitrate=1107.4kbits/s speed=1.84x    
frame= 1654 fps= 48 q=31.0 size=    8611kB time=00:01:03.40 bitrate=1112.6kbits/s speed=1.83x    
frame= 1673 fps= 48 q=31.0 size=    8733kB time=00:01:04.10 bitrate=1116.1kbits/s speed=1.82x    
frame= 1695 fps= 47 q=31.0 size=    8870kB time=00:01:05.56 bitrate=1108.3kbits/s speed=1.84x    
frame= 1718 fps= 47 q=31.0 size=    8938kB time=00:01:06.36 bitrate=1103.3kbits/s speed=1.83x    
frame= 1743 fps= 47 q=31.0 size=    9065kB time=00:01:07.20 bitrate=1105.1kbits/s speed=1.83x    
frame= 1768 fps= 47 q=31.0 size=    9198kB time=00:01:08.03 bitrate=1107.6kbits/s speed=1.83x    
frame= 1793 fps= 48 q=31.0 size=    9325kB time=00:01:08.86 bitrate=1109.3kbits/s speed=1.82x    
frame= 1818 fps= 48 q=31.0 size=    9450kB time=00:01:09.70 bitrate=1110.7kbits/s speed=1.82x    
frame= 1843 fps= 48 q=31.0 size=    9618kB time=00:01:10.53 bitrate=1117.1kbits/s speed=1.82x    
frame= 1867 fps= 48 q=31.0 size=    9810kB time=00:01:11.60 bitrate=1122.4kbits/s speed=1.82x    
frame= 1892 fps= 48 q=31.0 size=    9952kB time=00:01:13.26 bitrate=1112.8kbits/s speed=1.84x    
frame= 1917 fps= 48 q=31.0 size=   10081kB time=00:01:14.93 bitrate=1102.1kbits/s speed=1.86x    
frame= 1942 fps= 48 q=31.0 size=   10147kB time=00:01:15.96 bitrate=1094.2kbits/s speed=1.86x    
frame= 1967 fps= 48 q=31.0 size=   10272kB time=00:01:16.80 bitrate=1095.7kbits/s speed=1.86x    
frame= 1992 fps= 48 q=31.0 size=   10401kB time=00:01:17.63 bitrate=1097.6kbits/s speed=1.86x    
frame= 2017 fps= 48 q=24.8 size=   10531kB time=00:01:18.46 bitrate=1099.4kbits/s speed=1.85x    
frame= 2042 fps= 48 q=31.0 size=   10655kB time=00:01:19.30 bitrate=1100.7kbits/s speed=1.85x    
frame= 2067 fps= 48 q=31.0 size=   10783kB time=00:01:20.13 bitrate=1102.3kbits/s speed=1.85x    
frame= 2090 fps= 48 q=31.0 size=   10910kB time=00:01:20.90 bitrate=1104.8kbits/s speed=1.84x    
frame= 2115 fps= 48 q=31.0 size=   11037kB time=00:01:21.73 bitrate=1106.2kbits/s speed=1.84x    
frame= 2140 fps= 48 q=31.0 size=   11273kB time=00:01:23.33 bitrate=1108.2kbits/s speed=1.86x    
frame= 2165 fps= 48 q=31.0 size=   11403kB time=00:01:25.00 bitrate=1099.0kbits/s speed=1.87x    
frame= 2190 fps= 48 q=31.0 size=   11534kB time=00:01:26.66 bitrate=1090.2kbits/s speed=1.89x    
frame= 2215 fps= 48 q=31.0 size=   11666kB time=00:01:28.33 bitrate=1081.9kbits/s speed= 1.9x    
frame= 2239 fps= 48 q=31.0 size=   11796kB time=00:01:29.93 bitrate=1074.5kbits/s speed=1.92x    
frame= 2264 fps= 48 q=31.0 size=   11869kB time=00:01:31.00 bitrate=1068.5kbits/s speed=1.92x    
frame= 2289 fps= 48 q=31.0 size=   11992kB time=00:01:31.83 bitrate=1069.7kbits/s speed=1.91x    
frame= 2314 fps= 48 q=31.0 size=   12120kB time=00:01:32.66 bitrate=1071.4kbits/s speed=1.91x    
frame= 2339 fps= 48 q=31.0 size=   12244kB time=00:01:33.50 bitrate=1072.8kbits/s speed=1.91x    
frame= 2364 fps= 48 q=31.0 size=   12369kB time=00:01:34.33 bitrate=1074.2kbits/s speed=1.91x    
frame= 2389 fps= 48 q=24.8 size=   12493kB time=00:01:35.16 bitrate=1075.4kbits/s speed= 1.9x    
frame= 2406 fps= 48 q=31.0 size=   12618kB time=00:01:35.73 bitrate=1079.8kbits/s speed=1.89x    
frame= 2427 fps= 48 q=31.0 size=   12694kB time=00:01:36.43 bitrate=1078.4kbits/s speed=1.89x    
frame= 2452 fps= 48 q=31.0 size=   12816kB time=00:01:37.26 bitrate=1079.4kbits/s speed=1.89x    
frame= 2475 fps= 48 q=31.0 size=   13050kB time=00:01:38.60 bitrate=1084.2kbits/s speed=1.89x    
frame= 2500 fps= 48 q=31.0 size=   13178kB time=00:01:40.26 bitrate=1076.7kbits/s speed=1.91x    
frame= 2521 fps= 48 q=24.8 size=   13255kB time=00:01:41.66 bitrate=1068.1kbits/s speed=1.92x    
frame= 2545 fps= 48 q=24.8 size=   13394kB time=00:01:43.26 bitrate=1062.5kbits/s speed=1.93x    
frame= 2570 fps= 48 q=31.0 size=   13572kB time=00:01:44.93 bitrate=1059.6kbits/s speed=1.94x    
frame= 2595 fps= 48 q=31.0 size=   13703kB time=00:01:46.60 bitrate=1053.0kbits/s speed=1.95x    
frame= 2620 fps= 48 q=31.0 size=   13840kB time=00:01:48.26 bitrate=1047.2kbits/s speed=1.96x    
frame= 2646 fps= 48 q=31.0 size=   13963kB time=00:01:49.86 bitrate=1041.1kbits/s speed=1.98x    
frame= 2671 fps= 48 q=31.0 size=   14031kB time=00:01:50.70 bitrate=1038.3kbits/s speed=1.97x    
frame= 2696 fps= 48 q=31.0 size=   14159kB time=00:01:51.53 bitrate=1039.9kbits/s speed=1.97x    
frame= 2721 fps= 48 q=31.0 size=   14285kB time=00:01:52.36 bitrate=1041.4kbits/s speed=1.97x    
frame= 2744 fps= 48 q=31.0 size=   14406kB time=00:01:53.13 bitrate=1043.2kbits/s speed=1.96x    
frame= 2767 fps= 48 q=31.0 size=   14531kB time=00:01:53.90 bitrate=1045.1kbits/s speed=1.96x    
frame= 2792 fps= 48 q=31.0 size=   14655kB time=00:01:54.73 bitrate=1046.4kbits/s speed=1.96x    
frame= 2816 fps= 48 q=31.0 size=   14855kB time=00:01:55.96 bitrate=1049.3kbits/s speed=1.96x    
frame= 2841 fps= 48 q=31.0 size=   14927kB time=00:01:57.16 bitrate=1043.7kbits/s speed=1.96x    
frame= 2866 fps= 48 q=31.0 size=   15043kB time=00:01:58.00 bitrate=1044.3kbits/s speed=1.96x    
frame= 2891 fps= 48 q=31.0 size=   15167kB time=00:01:58.83 bitrate=1045.6kbits/s speed=1.96x    
frame= 2916 fps= 48 q=31.0 size=   15290kB time=00:01:59.66 bitrate=1046.7kbits/s speed=1.95x    
frame= 2941 fps= 48 q=24.8 size=   15416kB time=00:02:00.50 bitrate=1048.1kbits/s speed=1.95x    
frame= 2964 fps= 48 q=31.0 size=   15540kB time=00:02:01.26 bitrate=1049.8kbits/s speed=1.95x    
frame= 2988 fps= 48 q=31.0 size=   15721kB time=00:02:02.20 bitrate=1053.9kbits/s speed=1.95x    
frame= 3013 fps= 48 q=24.8 size=   15864kB time=00:02:03.93 bitrate=1048.6kbits/s speed=1.96x    
frame= 3038 fps= 48 q=31.0 size=   15992kB time=00:02:05.50 bitrate=1043.9kbits/s speed=1.97x    
frame= 3063 fps= 48 q=31.0 size=   16062kB time=00:02:06.33 bitrate=1041.5kbits/s speed=1.97x    
frame= 3088 fps= 48 q=31.0 size=   16187kB time=00:02:07.16 bitrate=1042.8kbits/s speed=1.96x    
frame= 3113 fps= 48 q=31.0 size=   16358kB time=00:02:08.06 bitrate=1046.4kbits/s speed=1.96x    
frame= 3138 fps= 48 q=31.0 size=   16508kB time=00:02:08.90 bitrate=1049.1kbits/s speed=1.96x    
frame= 3163 fps= 48 q=31.0 size=   16635kB time=00:02:09.73 bitrate=1050.4kbits/s speed=1.96x    
frame= 3188 fps= 48 q=31.0 size=   16763kB time=00:02:10.56 bitrate=1051.8kbits/s speed=1.95x    
frame= 3214 fps= 48 q=31.0 size=   16953kB time=00:02:12.03 bitrate=1051.8kbits/s speed=1.96x    
frame= 3239 fps= 48 q=31.0 size=   17020kB time=00:02:12.86 bitrate=1049.4kbits/s speed=1.96x    
frame= 3262 fps= 48 q=31.0 size=   17145kB time=00:02:13.63 bitrate=1051.0kbits/s speed=1.96x    
frame= 3287 fps= 48 q=31.0 size=   17272kB time=00:02:14.46 bitrate=1052.2kbits/s speed=1.95x    
frame= 3310 fps= 48 q=31.0 size=   17397kB time=00:02:15.23 bitrate=1053.9kbits/s speed=1.95x    
frame= 3329 fps= 48 q=31.0 size=   17513kB time=00:02:15.86 bitrate=1055.9kbits/s speed=1.94x    
frame= 3352 fps= 48 q=31.0 size=   17591kB time=00:02:16.63 bitrate=1054.7kbits/s speed=1.94x    
frame= 3375 fps= 48 q=31.0 size=   17784kB time=00:02:17.76 bitrate=1057.5kbits/s speed=1.94x    
frame= 3401 fps= 48 q=31.0 size=   17920kB time=00:02:18.86 bitrate=1057.1kbits/s speed=1.94x    
frame= 3424 fps= 48 q=31.0 size=   17997kB time=00:02:19.70 bitrate=1055.3kbits/s speed=1.94x    
frame= 3449 fps= 48 q=31.0 size=   18148kB time=00:02:20.53 bitrate=1057.9kbits/s speed=1.94x    
frame= 3474 fps= 48 q=31.0 size=   18281kB time=00:02:21.36 bitrate=1059.4kbits/s speed=1.94x    
frame= 3499 fps= 48 q=31.0 size=   18455kB time=00:02:22.20 bitrate=1063.2kbits/s speed=1.94x    
frame= 3524 fps= 48 q=31.0 size=   18587kB time=00:02:23.03 bitrate=1064.6kbits/s speed=1.93x    
frame= 3548 fps= 48 q=31.0 size=   18778kB time=00:02:24.23 bitrate=1066.5kbits/s speed=1.94x    
frame= 3573 fps= 48 q=31.0 size=   18896kB time=00:02:25.73 bitrate=1062.2kbits/s speed=1.94x    
frame= 3598 fps= 48 q=31.0 size=   18969kB time=00:02:26.56 bitrate=1060.3kbits/s speed=1.94x    
frame= 3623 fps= 48 q=31.0 size=   19098kB time=00:02:27.40 bitrate=1061.4kbits/s speed=1.94x    
frame= 3649 fps= 48 q=24.8 size=   19230kB time=00:02:28.26 bitrate=1062.5kbits/s speed=1.94x    
frame= 3674 fps= 48 q=31.0 size=   19361kB time=00:02:29.10 bitrate=1063.8kbits/s speed=1.93x    
frame= 3699 fps= 48 q=31.0 size=   19491kB time=00:02:29.93 bitrate=1064.9kbits/s speed=1.93x    
frame= 3722 fps= 48 q=31.0 size=   19618kB time=00:02:30.70 bitrate=1066.5kbits/s speed=1.93x    
frame= 3747 fps= 48 q=31.0 size=   19796kB time=00:02:31.70 bitrate=1069.0kbits/s speed=1.93x    
