Time,Occupancy
88.16491366064243,3
220.41228415160606,3
352.6596546425697,3
484.9070251335333,3
617.1543956244969,3
749.4017661154605,3
881.6491366064242,4
1013.8965070973878,4
1146.1438775883514,4
1278.3912480793151,3
1410.6386185702788,5
1542.8859890612423,6
1675.133359552206,5
1807.3807300431697,5
1939.6281005341332,5
2071.875471025097,5
2204.1228415160604,5
2336.3702120070243,5
2468.6175824979878,5
2600.8649529889512,5
2733.112323479915,4
2865.3596939708787,4
2997.607064461842,4
3129.854434952806,5
3262.1018054437695,5
3394.349175934733,5
3526.596546425697,6
3658.8439169166604,6
3791.091287407624,6
3923.338657898588,4
4055.5860283895513,5
4187.833398880515,5
4320.080769371479,6
4452.328139862442,5
4584.575510353406,5
4716.822880844369,5
4849.0702513353335,5
4981.317621826297,5
5113.5649923172605,4
5245.812362808224,4
5378.059733299187,5
5510.307103790151,5
5642.554474281115,5
5774.801844772079,5
5907.049215263042,5
6039.296585754006,5
6171.543956244969,5
6303.791326735933,4
6436.038697226897,5
6568.2860677178605,6
6700.533438208824,6
6832.7808086997875,6
6965.028179190751,6
7097.275549681715,6
7229.522920172679,4
7361.770290663642,6
7494.017661154606,5
7626.265031645569,5
7758.512402136533,5
7890.759772627497,4
8023.007143118461,4
8155.254513609424,4
8287.501884100388,4
8419.749254591352,4
8551.996625082314,4
8684.243995573279,4
8816.491366064241,4
8948.738736555206,5
9080.98610704617,5
9213.233477537133,5
9345.480848028097,5
9477.72821851906,4
9609.975589010024,4
9742.222959500987,4
9874.470329991951,5
10006.717700482915,5
10138.965070973878,5
10271.212441464842,5
10403.459811955805,5
10535.70718244677,5
10667.954552937734,5
10800.201923428696,5
10932.44929391966,5
11064.696664410623,4
11196.944034901588,5
11329.191405392552,4
11461.438775883515,4
11593.686146374479,5
11725.933516865442,4
11858.180887356406,4
11990.428257847369,4
12122.675628338333,4
12254.922998829297,4
12387.17036932026,5
12519.417739811224,5
12651.665110302187,4
12783.912480793151,4
12916.159851284116,5
13048.407221775078,5
13180.654592266043,4
13312.901962757005,4
13445.14933324797,4
13577.396703738932,5
13709.644074229896,4
13841.89144472086,4
13974.138815211823,5
14106.386185702788,3
14238.63355619375,4
14370.880926684715,4
14503.12829717568,4
14635.375667666642,4
14767.623038157606,4
14899.870408648569,4
15032.117779139533,4
15164.365149630496,4
15296.61252012146,4
15428.859890612424,4
15561.107261103387,4
15693.354631594351,4
15825.602002085314,4
15957.849372576278,5
16090.096743067243,5
16222.344113558205,5
16354.59148404917,5
16486.838854540132,5
16619.086225031097,4
16751.33359552206,3
16883.580966013025,2
17015.828336503986,2
17148.07570699495,3
17280.323077485915,3
17412.57044797688,3
17544.817818467844,4
17677.065188958804,3
17809.31255944977,3
17941.559929940733,2
18073.807300431698,5
18206.05467092266,4
18338.302041413623,4
18470.549411904587,4
18602.79678239555,4
18735.044152886516,4
18867.291523377477,4
18999.53889386844,4
19131.786264359405,4
19264.03363485037,4
19396.281005341334,4
19528.528375832295,4
19660.77574632326,4
19793.023116814224,4
19925.270487305188,4
20057.517857796152,4
20189.765228287113,4
20322.012598778078,4
20454.259969269042,4
20586.507339760006,4
20718.75471025097,4
20851.00208074193,3
20983.249451232896,3
21115.49682172386,3
21247.744192214825,4
21379.99156270579,4
21512.23893319675,4
21644.486303687714,4
21776.73367417868,5
21908.981044669643,2
22041.228415160604,4
22173.475785651568,4
22305.723156142532,5
22437.970526633497,5
22570.21789712446,5
22702.465267615422,5
22834.712638106386,4
22966.96000859735,5
23099.207379088315,5
23231.45474957928,5
23363.70212007024,5
23495.949490561205,5
23628.19686105217,5
23760.444231543133,4
23892.691602034098,4
24024.93897252506,4
24157.186343016023,4
24289.433713506987,3
24421.68108399795,3
24553.928454488916,3
24686.175824979877,3
24818.42319547084,4
24950.670565961806,5
25082.91793645277,5
25215.16530694373,5
25347.412677434695,4
25479.66004792566,5
25611.907418416624,6
25744.15478890759,6
25876.40215939855,5
26008.649529889513,5
26140.896900380478,5
26273.144270871442,5
26405.391641362407,5
26537.639011853367,4
26669.88638234433,5
26802.133752835296,5
26934.38112332626,5
27066.628493817225,5
27198.875864308186,5
27331.12323479915,4
27463.370605290114,4
27595.61797578108,4
27727.865346272043,4
27860.112716763004,4
27992.36008725397,3
28124.607457744933,5
28256.854828235897,3
28389.10219872686,3
28521.349569217822,3
28653.596939708787,3
