Time,Occupancy
80.51082077051926,3
201.27705192629816,3
322.04328308207704,3
442.809514237856,2
563.5757453936349,2
684.3419765494137,2
805.1082077051926,3
925.8744388609715,3
1046.6406700167504,3
1167.4069011725294,3
1288.1731323283082,3
1408.9393634840872,3
1529.7055946398661,3
1650.471825795645,3
1771.238056951424,2
1892.0042881072027,2
2012.7705192629817,2
2133.5367504187607,5
2254.3029815745394,6
2375.069212730318,4
2495.8354438860974,4
2616.601675041876,4
2737.367906197655,4
2858.1341373534337,4
2978.900368509213,4
3099.6665996649917,5
3220.4328308207705,5
3341.1990619765497,4
3461.9652931323285,4
3582.7315242881073,4
3703.497755443886,4
3824.2639865996653,3
3945.030217755444,3
4065.796448911223,4
4186.562680067002,4
4307.32891122278,4
4428.09514237856,4
4548.861373534339,4
4669.627604690118,4
4790.393835845896,3
4911.160067001675,4
5031.926298157454,4
5152.692529313233,3
5273.458760469012,3
5394.224991624791,4
5514.99122278057,4
5635.757453936349,3
5756.523685092127,3
5877.289916247906,4
5998.056147403685,3
6118.822378559465,4
6239.588609715243,4
6360.354840871022,3
6481.121072026801,3
6601.88730318258,3
6722.653534338358,3
6843.419765494137,3
6964.185996649917,3
7084.952227805696,3
7205.718458961474,3
7326.484690117253,4
7447.250921273032,4
7568.017152428811,3
7688.7833835845895,3
7809.549614740369,2
7930.315845896148,2
8051.082077051927,2
8171.8483082077055,2
8292.614539363485,3
8413.380770519263,2
8534.147001675043,2
8654.91323283082,2
8775.6794639866,2
8896.445695142378,3
9017.211926298158,2
9137.978157453937,3
9258.744388609715,3
9379.510619765495,3
9500.276850921273,4
9621.043082077053,5
9741.80931323283,5
9862.57554438861,5
9983.34177554439,5
10104.108006700168,5
10224.874237855947,5
10345.640469011725,5
10466.406700167505,5
10587.172931323283,5
10707.939162479062,5
10828.705393634842,5
10949.47162479062,5
11070.2378559464,5
11191.004087102177,5
11311.770318257957,5
11432.536549413735,5
11553.302780569515,5
11674.069011725294,5
11794.835242881072,5
11915.601474036852,5
12036.36770519263,5
12157.13393634841,3
12277.900167504187,4
12398.666398659967,4
12519.432629815747,3
12640.198860971524,3
12760.965092127304,3
12881.731323283082,3
13002.497554438862,4
13123.26378559464,4
13244.03001675042,4
13364.796247906199,6
13485.562479061977,4
13606.328710217756,4
13727.094941373534,4
