Time,Occupancy
73.60566522031412,0
184.0141630507853,0
294.4226608812565,0
404.8311587117277,0
515.2396565421989,0
625.6481543726701,0
736.0566522031412,1
846.4651500336124,1
956.8736478640836,0
1067.2821456945549,0
1177.690643525026,0
1288.099141355497,0
1398.5076391859684,0
1508.9161370164395,1
1619.3246348469108,0
1729.733132677382,1
1840.141630507853,0
1950.5501283383244,0
2060.9586261687955,0
2171.367123999267,0
2281.7756218297377,0
2392.184119660209,0
2502.5926174906804,2
2613.0011153211512,1
2723.4096131516226,1
2833.818110982094,1
2944.226608812565,1
3054.635106643036,1
3165.0436044735075,1
3275.4521023039783,1
3385.8606001344497,1
3496.269097964921,1
3606.677595795392,1
3717.086093625863,2
3827.4945914563345,1
3937.9030892868054,1
4048.3115871172768,2
4158.720084947748,1
4269.128582778219,0
4379.53708060869,0
4489.945578439161,0
4600.354076269633,0
4710.762574100104,0
4821.171071930575,0
4931.5795697610465,0
5041.988067591517,0
5152.396565421988,0
5262.80506325246,0
5373.213561082931,0
5483.622058913402,0
5594.030556743874,0
5704.4390545743445,0
5814.847552404816,0
5925.256050235287,0
6035.664548065758,0
6146.07304589623,0
6256.481543726701,0
6366.890041557172,0
6477.298539387643,0
6587.707037218114,0
6698.115535048585,0
6808.524032879057,0
6918.932530709528,0
7029.341028539999,0
7139.74952637047,0
7250.158024200941,0
7360.566522031412,0
7470.975019861884,0
7581.383517692355,0
7691.792015522826,0
7802.2005133532975,1
7912.609011183768,1
8023.017509014239,1
8133.426006844711,1
8243.834504675182,1
8354.243002505653,1
8464.651500336124,0
8575.059998166595,1
8685.468495997067,1
8795.876993827538,2
8906.285491658009,1
9016.69398948848,1
9127.10248731895,0
9237.510985149424,0
9347.919482979894,0
9458.327980810365,0
9568.736478640836,0
9679.144976471307,0
9789.553474301778,0
9899.96197213225,0
10010.370469962721,0
10120.778967793192,0
10231.187465623663,0
10341.595963454134,0
10452.004461284605,0
10562.412959115078,0
10672.821456945549,0
10783.22995477602,0
10893.63845260649,0
11004.046950436961,0
11114.455448267432,0
11224.863946097905,0
11335.272443928376,0
11445.680941758847,0
11556.089439589317,0
11666.497937419788,0
11776.90643525026,0
11887.314933080732,0
11997.723430911203,0
12108.131928741674,0
12218.540426572144,0
12328.948924402615,0
12439.357422233086,0
12549.765920063559,0
12660.17441789403,0
12770.5829157245,0
12880.991413554972,0
12991.399911385442,0
13101.808409215913,0
13212.216907046386,0
13322.625404876857,2
13433.033902707328,2
13543.442400537799,2
13653.85089836827,1
13764.25939619874,1
13874.667894029213,1
13985.076391859684,1
14095.484889690155,1
14205.893387520626,1
14316.301885351097,1
14426.710383181568,1
14537.11888101204,1
14647.527378842511,1
14757.935876672982,1
14868.344374503453,0
14978.752872333924,0
15089.161370164395,0
15199.569867994867,0
15309.978365825338,0
15420.386863655809,0
15530.79536148628,0
15641.20385931675,1
15751.612357147222,0
15862.020854977694,1
15972.429352808165,1
16082.837850638636,1
16193.246348469107,0
16303.654846299578,1
16414.06334413005,1
16524.47184196052,0
16634.88033979099,1
16745.288837621465,1
16855.697335451936,1
16966.105833282407,1
17076.514331112878,1
17186.92282894335,2
17297.33132677382,2
17407.73982460429,2
17518.14832243476,2
17628.556820265232,1
17738.965318095703,1
17849.373815926174,1
17959.782313756645,1
18070.19081158712,1
18180.59930941759,1
18291.00780724806,0
18401.416305078532,0
18511.824802909003,0
18622.233300739474,0
18732.641798569945,0
18843.050296400415,0
18953.458794230886,0
19063.867292061357,0
19174.275789891828,1
19284.6842877223,0
19395.092785552773,0
19505.501283383244,1
19615.909781213715,1
19726.318279044186,1
19836.726776874657,1
19947.135274705128,1
20057.5437725356,2
20167.95227036607,2
20278.36076819654,2
20388.76926602701,2
20499.177763857482,2
20609.586261687953,2
20719.994759518428,1
20830.4032573489,2
20940.81175517937,1
21051.22025300984,0
21161.62875084031,1
21272.037248670782,1
21382.445746501253,1
21492.854244331724,2
21603.262742162195,0
21713.671239992666,0
21824.079737823136,1
21934.488235653607,0
22044.89673348408,0
22155.305231314553,0
22265.713729145024,0
22376.122226975494,2
22486.530724805965,2
22596.939222636436,2
22707.347720466907,1
22817.756218297378,1
22928.16471612785,1
23038.57321395832,1
23148.98171178879,0
23259.390209619265,2
23369.798707449736,0
23480.207205280207,1
23590.615703110678,1
23701.02420094115,1
23811.43269877162,1
23921.84119660209,1
24032.24969443256,2
24142.658192263032,1
24253.066690093503,0
24363.475187923974,1
24473.883685754445,1
24584.29218358492,0
24694.70068141539,0
24805.10917924586,2
24915.517677076332,2
25025.926174906803,1
25136.334672737274,2
25246.743170567745,1
25357.151668398215,1
25467.560166228686,1
25577.968664059157,0
25688.377161889628,0
25798.7856597201,0
25909.194157550573,0
26019.602655381044,0
26130.011153211515,0
26240.419651041986,0
26350.828148872457,0
26461.236646702928,0
26571.6451445334,1
26682.05364236387,1
26792.46214019434,1
26902.87063802481,0
27013.279135855282,1
27123.687633685753,0
27234.096131516228,0
27344.5046293467,0
27454.91312717717,0
27565.32162500764,0
27675.73012283811,0
27786.138620668582,0
27896.547118499053,1
28006.955616329524,1
28117.364114159995,1
28227.772611990466,1
28338.181109820936,0
28448.589607651407,1
28558.99810548188,0
28669.406603312353,0
28779.815101142824,0
28890.223598973294,1
29000.632096803765,0
29111.040594634236,0
29221.449092464707,0
29331.857590295178,0
29442.26608812565,0
29552.67458595612,0
29663.08308378659,0
29773.491581617065,0
29883.900079447536,0
29994.308577278007,0
30104.717075108478,1
30215.12557293895,1
30325.53407076942,1
30435.94256859989,1
30546.35106643036,0
30656.759564260832,0
30767.168062091303,0
30877.576559921774,0
30987.985057752245,1
31098.39355558272,1
31208.80205341319,1
31319.21055124366,1
31429.619049074132,0
31540.027546904603,0
31650.436044735074,1
31760.844542565545,0
31871.253040396015,1
31981.661538226486,0
32092.070036056957,0
32202.478533887428,0
32312.8870317179,0
32423.295529548373,1
32533.704027378844,0
32644.112525209315,0
32754.521023039786,0
32864.92952087025,1
32975.33801870073,0
33085.7465165312,0
33196.15501436167,0
33306.563512192144,0
33416.97201002261,1
33527.380507853086,1
33637.78900568355,0
33748.19750351403,0
33858.606001344495,0
33969.01449917497,0
34079.42299700544,0
34189.83149483591,0
34300.23999266638,0
34410.64849049685,0
34521.05698832733,1
34631.465486157795,1
34741.87398398827,1
34852.28248181874,0
34962.69097964921,0
35073.09947747968,0
35183.50797531015,1
35293.91647314062,0
35404.324970971094,0
35514.73346880156,0
35625.141966632036,1
35735.55046446251,1
35845.95896229298,1
35956.36746012345,1
36066.77595795392,0
36177.184455784394,0
36287.59295361486,0
36398.001451445336,0
36508.4099492758,1
36618.81844710628,2
36729.226944936745,1
36839.63544276722,2
36950.043940597694,1
37060.45243842816,1
37170.860936258636,2
37281.2694340891,1
37391.67793191958,1
37502.086429750045,1
37612.49492758052,1
37722.90342541099,1
37833.31192324146,1
37943.72042107193,1
38054.1289189024,0
38164.53741673287,0
38274.945914563345,0
38385.35441239382,0
38495.762910224286,1
38606.17140805476,2
38716.57990588523,2
38826.9884037157,1
38937.39690154617,1
39047.805399376644,1
39158.21389720711,1
39268.622395037586,1
39379.03089286805,1
39489.43939069853,1
39599.847888529,1
39710.25638635947,1
39820.664884189944,1
39931.07338202041,1
40041.481879850886,2
40151.89037768135,1
40262.29887551183,1
40372.707373342295,1
40483.11587117277,1
40593.52436900324,1
40703.93286683371,1
40814.34136466418,1
40924.74986249465,2
41035.15836032513,2
41145.566858155595,1
41255.97535598607,1
41366.38385381654,1
41476.79235164701,1
41587.20084947748,1
41697.60934730795,1
41808.01784513842,1
41918.426342968894,1
42028.83484079936,1
42139.243338629836,1
42249.65183646031,1
42360.06033429078,1
42470.46883212125,0
42580.87732995172,0
42691.285827782194,1
42801.69432561266,1
42912.102823443136,1
43022.5113212736,1
43132.91981910408,0
43243.328316934545,0
43353.73681476502,1
43464.145312595494,1
43574.55381042596,1
43684.962308256436,1
43795.3708060869,0
43905.77930391738,0
44016.187801747845,0
44126.59629957832,0
44237.00479740879,0
44347.41329523926,1
44457.82179306973,1
44568.2302909002,1
44678.63878873067,1
44789.047286561145,1
44899.45578439162,1
45009.864282222086,1
45120.27278005256,1
45230.68127788303,1
45341.0897757135,2
45451.49827354397,1
45561.906771374444,1
45672.31526920491,1
45782.723767035386,1
45893.13226486585,1
46003.54076269633,1
46113.9492605268,1
46224.35775835727,1
46334.766256187744,0
46445.17475401821,1
46555.583251848686,1
46665.99174967915,1
46776.40024750963,1
46886.808745340095,0
46997.21724317057,0
47107.62574100104,0
47218.03423883151,0
47328.44273666198,0
47438.85123449245,0
47549.25973232293,0
47659.668230153395,0
47770.07672798387,0
47880.48522581434,0
47990.89372364481,0
48101.30222147528,0
48211.71071930575,1
48322.11921713622,1
48432.527714966694,0
48542.93621279716,1
48653.344710627636,1
48763.75320845811,1
48874.16170628858,2
48984.57020411905,1
49094.97870194952,1
49205.387199779994,0
49315.79569761046,0
49426.204195440936,1
49536.6126932714,1
49647.02119110188,0
49757.429688932345,0
49867.83818676282,0
49978.24668459329,0
50088.65518242376,0
50199.063680254236,0
50309.4721780847,1
50419.88067591518,1
50530.289173745645,0
50640.69767157612,0
50751.10616940659,1
50861.51466723706,1
50971.92316506753,1
51082.331662898,0
51192.74016072847,0
51303.148658558945,1
51413.55715638942,1
51523.965654219886,0
51634.37415205036,0
51744.78264988083,0
51855.1911477113,0
51965.59964554177,0
52076.008143372244,0
52186.41664120271,0
52296.825139033186,0
52407.23363686365,0
52517.64213469413,0
52628.0506325246,1
52738.45913035507,1
52848.867628185544,1
52959.27612601601,1
53069.684623846486,2
53180.09312167695,1
53290.50161950743,1
53400.910117337895,0
53511.31861516837,1
53621.72711299884,1
53732.13561082931,0
53842.54410865978,0
53952.95260649025,1
54063.36110432073,0
54173.769602151195,1
54284.17809998167,0
54394.58659781214,1
54504.99509564261,1
54615.40359347308,1
54725.81209130355,1
54836.22058913402,1
54946.629086964494,0
55057.03758479496,0
55167.446082625436,0
55277.85458045591,0
55388.26307828638,1
55498.67157611685,1
55609.08007394732,1
55719.488571777794,1
55829.89706960826,1
55940.305567438736,1
56050.7140652692,1
56161.12256309968,1
56271.531060930145,1
56381.93955876062,0
56492.34805659109,1
56602.75655442156,1
56713.165052252036,2
56823.5735500825,3
56933.98204791298,1
57044.390545743445,0
57154.79904357392,0
57265.20754140439,0
57375.61603923486,0
57486.02453706533,0
57596.4330348958,0
57706.84153272627,0
57817.250030556745,0
57927.65852838722,0
58038.067026217686,0
58148.47552404816,0
58258.88402187863,1
58369.2925197091,1
58479.70101753957,0
58590.109515370044,0
58700.51801320051,1
58810.926511030986,1
58921.33500886145,1
59031.74350669193,1
59142.1520045224,1
59252.56050235287,0
59362.969000183344,0
59473.37749801381,0
59583.785995844286,0
59694.19449367475,0
59804.60299150523,0
59915.011489335695,0
60025.41998716617,0
60135.82848499664,0
60246.23698282711,0
60356.64548065758,1
60467.05397848805,1
60577.46247631853,1
60687.870974148995,1
60798.27947197947,1
60908.68796980994,1
61019.09646764041,1
61129.50496547088,1
61239.91346330135,1
61350.32196113182,0
61460.730458962295,0
61571.13895679276,0
61681.547454623236,1
61791.95595245371,4
61902.36445028418,1
62012.77294811465,1
62123.18144594512,1
62233.589943775594,0
62343.99844160606,0
62454.406939436536,0
62564.815437267,0
62675.22393509748,0
62785.632432927945,0
62896.04093075842,0
63006.44942858889,0
63116.85792641936,0
63227.266424249836,0
63337.6749220803,0
63448.08341991078,0
63558.491917741245,0
63668.90041557172,0
63779.30891340219,0
63889.71741123266,0
64000.12590906313,0
64110.5344068936,0
64220.94290472407,0
64331.351402554545,0
64441.75990038502,0
64552.16839821549,0
64662.57689604596,0
64772.98539387643,0
64883.3938917069,0
64993.80238953737,0
65104.210887367844,0
65214.61938519831,0
65325.027883028786,0
65435.43638085925,2
65545.84487868972,1
65656.2533765202,0
65766.66187435067,0
65877.07037218114,0
65987.47887001162,0
66097.88736784208,0
66208.29586567255,0
66318.70436350303,1
66429.1128613335,1
66539.52135916396,1
66649.92985699444,2
66760.33835482491,2
66870.74685265539,1
66981.15535048586,1
67091.56384831632,1
67201.9723461468,1
67312.38084397727,2
67422.78934180774,2
67533.1978396382,1
67643.60633746868,1
67754.01483529915,1
67864.42333312963,2
67974.83183096009,1
68085.24032879056,1
68195.64882662104,1
68306.05732445151,2
68416.46582228199,1
68526.87432011245,1
68637.28281794292,1
68747.6913157734,1
68858.09981360387,1
68968.50831143433,1
69078.9168092648,1
69189.32530709528,1
69299.73380492575,1
69410.14230275621,1
69520.55080058669,1
69630.95929841716,1
69741.36779624764,1
69851.77629407811,1
69962.18479190857,1
